time,Phoenix,pts.away,score,pts.home,Golden State
7:04.0,,,40-32,2,A. Bogut makes 2-pt shot from 1 ft (assist by K. Thompson)
6:51.0,I. Thomas misses 3-pt shot from 25 ft,,40-32,,
6:50.0,,,40-32,,Defensive rebound by Team
6:50.0,E. Bledsoe enters the game for I. Thomas,,40-32,,
6:50.0,A. Len enters the game for B. Wright,,40-32,,
6:37.0,,,40-32,,Turnover by D. Green (bad pass; steal by G. Green)
6:29.0,G. Dragic makes 2-pt shot from 13 ft,2,42-32,,
6:19.0,,,42-35,3,S. Curry makes 3-pt shot from 26 ft
6:01.0,M. Morris misses 2-pt shot from 18 ft,,42-35,,
6:00.0,,,42-35,,Defensive rebound by S. Curry
5:54.0,,,42-38,3,S. Curry makes 3-pt shot from 22 ft
5:45.0,Phoenix full timeout,,42-38,,
5:45.0,P. Tucker enters the game for G. Green,,42-38,,
5:45.0,M. Morris enters the game for M. Morris,,42-38,,
5:36.0,Shooting foul by A. Bogut (drawn by P. Tucker),,42-38,,
5:36.0,P. Tucker misses free throw 1 of 2,,42-38,,
5:36.0,Offensive rebound by Team,,42-38,,
5:36.0,,,42-38,,D. Lee enters the game for A. Bogut
5:36.0,P. Tucker makes free throw 2 of 2,1,43-38,,
5:24.0,,,43-38,,S. Curry misses 2-pt shot from 10 ft
5:23.0,Defensive rebound by M. Morris,,43-38,,
5:09.0,Turnover by E. Bledsoe (traveling),,43-38,,
4:59.0,,,43-38,,Turnover by K. Thompson (bad pass; steal by E. Bledsoe)
4:57.0,E. Bledsoe makes 2-pt shot from 1 ft,2,45-38,,
4:39.0,,,45-41,3,S. Curry makes 3-pt shot from 25 ft (assist by D. Lee)
4:11.0,M. Morris misses 2-pt shot from 17 ft,,45-41,,
4:10.0,Offensive rebound by P. Tucker,,45-41,,
4:10.0,P. Tucker makes 2-pt shot at rim,2,47-41,,
3:59.0,,,47-41,,S. Curry misses 3-pt shot from 28 ft
3:58.0,Defensive rebound by P. Tucker,,47-41,,
3:50.0,,,47-41,,Personal foul by D. Green (drawn by E. Bledsoe)
3:50.0,Technical foul by M. Morris,,47-41,,
3:50.0,,,47-42,1,S. Curry makes technical free throw
3:45.0,Turnover by E. Bledsoe (bad pass; steal by H. Barnes),,47-42,,
3:42.0,,,47-42,,Shooting foul by M. Morris (drawn by H. Barnes)
3:42.0,,,47-43,1,H. Barnes makes free throw 1 of 2
3:42.0,,,47-43,,H. Barnes misses free throw 2 of 2
3:39.0,Defensive rebound by M. Morris,,47-43,,
3:22.0,E. Bledsoe misses 3-pt shot from 25 ft,,47-43,,
3:21.0,,,47-43,,Defensive rebound by D. Lee
2:59.0,,,47-43,,Shooting foul by E. Bledsoe (drawn by D. Green)
2:59.0,Official timeout,,47-43,,
2:59.0,I. Thomas enters the game for A. Len,,47-43,,
2:59.0,,,47-43,,D. Green misses free throw 1 of 2
2:59.0,,,47-43,,Offensive rebound by Team
2:59.0,,,47-44,1,D. Green makes free throw 2 of 2
2:42.0,Turnover by M. Morris (bad pass; steal by D. Lee),,47-44,,
2:29.0,,,47-47,3,K. Thompson makes 3-pt shot from 25 ft (assist by H. Barnes)
2:12.0,P. Tucker misses 3-pt shot from 23 ft,,47-47,,
2:11.0,Offensive rebound by I. Thomas,,47-47,,
2:07.0,E. Bledsoe misses 2-pt shot from 1 ft,,47-47,,
2:03.0,Offensive rebound by P. Tucker,,47-47,,
1:49.0,Jump ball: S. Curry vs. G. Dragic (D. Lee gains possession),,,,Jump ball: S. Curry vs. G. Dragic (D. Lee gains possession)
1:49.0,Turnover by G. Dragic (lost ball; steal by S. Curry),,47-47,,
1:29.0,,,47-49,2,K. Thompson makes 2-pt shot from 17 ft (assist by D. Green)
1:18.0,M. Morris makes 2-pt shot from 13 ft (assist by I. Thomas),2,49-49,,
1:08.0,,,49-52,3,D. Green makes 3-pt shot from 27 ft (assist by S. Curry)
0:58.0,,,49-52,,Personal foul by S. Curry (drawn by I. Thomas)
0:58.0,I. Thomas makes free throw 1 of 2,1,50-52,,
0:58.0,I. Thomas makes free throw 2 of 2,1,51-52,,
0:46.0,,,51-52,,Offensive foul by K. Thompson
0:46.0,,,51-52,,Turnover by K. Thompson (offensive foul)
0:30.0,P. Tucker misses 2-pt shot from 18 ft,,51-52,,
0:29.0,,,51-52,,Defensive rebound by D. Green
0:10.0,,,51-52,,K. Thompson misses 3-pt shot from 25 ft
0:09.0,Defensive rebound by M. Morris,,51-52,,
0:04.0,G. Dragic misses 2-pt shot from 1 ft,,51-52,,
0:03.0,,,51-52,,Defensive rebound by D. Green
0:01.0,,,51-52,,S. Curry misses 3-pt shot from 53 ft
0:00.0,,,51-52,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:36.0,M. Morris makes 2-pt shot from 12 ft,2,53-52,,
11:14.0,,,53-52,,K. Thompson misses 2-pt shot from 12 ft
11:13.0,Defensive rebound by P. Tucker,,53-52,,
10:58.0,G. Dragic misses 3-pt shot from 23 ft,,53-52,,
10:57.0,,,53-52,,Defensive rebound by A. Bogut
10:37.0,,,53-52,,Turnover by A. Bogut (lost ball; steal by P. Tucker)
10:36.0,,,53-52,,Personal foul by K. Thompson (drawn by P. Tucker)
10:18.0,M. Morris misses 2-pt shot from 17 ft,,53-52,,
10:17.0,,,53-52,,Defensive rebound by K. Thompson
10:11.0,,,53-55,3,K. Thompson makes 3-pt shot from 26 ft
9:55.0,Turnover by E. Bledsoe (lost ball),,53-55,,
9:55.0,Violation by Team (delay of game),,53-55,,
9:33.0,,,53-55,,H. Barnes misses 2-pt shot from 19 ft
9:31.0,Defensive rebound by A. Len,,53-55,,
9:23.0,A. Len misses 2-pt shot from 17 ft,,53-55,,
9:22.0,,,53-55,,Defensive rebound by D. Green
9:12.0,,,53-57,2,K. Thompson makes 2-pt shot from 20 ft (assist by A. Bogut)
8:50.0,Turnover by G. Dragic (lost ball; steal by A. Bogut),,53-57,,
8:50.0,Loose ball foul by G. Dragic (drawn by K. Thompson),,53-57,,
8:35.0,,,53-57,,Turnover by S. Curry (bad pass; steal by P. Tucker)
8:25.0,Turnover by G. Dragic (step out of bounds),,53-57,,
8:13.0,,,53-57,,D. Green misses 3-pt shot from 26 ft
8:12.0,Defensive rebound by A. Len,,53-57,,
7:56.0,Turnover by G. Dragic (bad pass; steal by S. Curry),,53-57,,
7:51.0,,,53-57,,S. Curry misses 3-pt shot from 27 ft
7:50.0,Defensive rebound by G. Dragic,,53-57,,
7:44.0,G. Dragic misses 2-pt shot from 10 ft,,53-57,,
7:43.0,Offensive rebound by Team,,53-57,,
7:38.0,E. Bledsoe misses 2-pt shot from 17 ft,,53-57,,
7:37.0,,,53-57,,Defensive rebound by K. Thompson
7:32.0,,,53-57,,Offensive foul by D. Green
7:32.0,,,53-57,,Turnover by D. Green (offensive foul)
7:14.0,G. Dragic misses 3-pt shot from 22 ft (block by H. Barnes),,53-57,,
7:13.0,Offensive rebound by A. Len,,53-57,,
7:12.0,Turnover by A. Len (step out of bounds),,53-57,,
7:12.0,,,53-57,,Golden State full timeout
6:48.0,,,53-59,2,H. Barnes makes 2-pt shot from 18 ft (assist by K. Thompson)
6:26.0,Turnover by P. Tucker (bad pass),,53-59,,
6:17.0,,,53-59,,D. Green misses 3-pt shot from 25 ft
6:16.0,Defensive rebound by P. Tucker,,53-59,,
5:57.0,M. Morris makes 2-pt shot from 9 ft (assist by G. Dragic),2,55-59,,
5:49.0,,,55-61,2,K. Thompson makes 2-pt shot from 16 ft
5:30.0,Shooting foul by D. Green (drawn by E. Bledsoe),,55-61,,
5:30.0,E. Bledsoe makes free throw 1 of 2,1,56-61,,
5:30.0,,,56-61,,A. Iguodala enters the game for D. Green
5:30.0,E. Bledsoe makes free throw 2 of 2,1,57-61,,
5:21.0,Personal foul by E. Bledsoe (drawn by S. Curry),,57-61,,
5:12.0,,,57-61,,S. Curry misses 2-pt shot from 2 ft
5:11.0,Defensive rebound by A. Len,,57-61,,
5:00.0,G. Dragic misses 2-pt shot from 8 ft,,57-61,,
4:59.0,Offensive rebound by G. Dragic,,57-61,,
4:57.0,G. Dragic makes 2-pt shot from 2 ft,2,59-61,,
4:47.0,,,59-63,2,S. Curry makes 2-pt shot from 14 ft
4:27.0,Turnover by G. Dragic (3 sec),,59-63,,
4:27.0,,,59-63,,L. Barbosa enters the game for K. Thompson
4:14.0,,,59-65,2,A. Bogut makes 2-pt shot at rim (assist by S. Curry)
4:06.0,Offensive foul by A. Len,,59-65,,
4:06.0,Turnover by A. Len (offensive foul),,59-65,,
4:06.0,I. Thomas enters the game for G. Dragic,,59-65,,
4:06.0,B. Wright enters the game for A. Len,,59-65,,
3:44.0,,,59-65,,A. Iguodala misses 2-pt shot from 19 ft
3:43.0,Defensive rebound by E. Bledsoe,,59-65,,
3:28.0,P. Tucker misses 2-pt shot from 19 ft,,59-65,,
3:27.0,Offensive rebound by E. Bledsoe,,59-65,,
3:18.0,P. Tucker misses 3-pt shot from 26 ft,,59-65,,
3:16.0,,,59-65,,Defensive rebound by H. Barnes
3:06.0,,,59-67,2,L. Barbosa makes 2-pt shot from 2 ft (assist by S. Curry)
3:05.0,Phoenix full timeout,,59-67,,
3:05.0,,,59-67,,D. Lee enters the game for A. Bogut
2:43.0,E. Bledsoe makes 2-pt shot from 2 ft,2,61-67,,
2:31.0,G. Green enters the game for P. Tucker,,61-67,,
2:25.0,,,61-69,2,L. Barbosa makes 2-pt shot from 2 ft (assist by D. Lee)
2:16.0,M. Morris misses 3-pt shot from 26 ft,,61-69,,
2:15.0,,,61-69,,Defensive rebound by Team
2:15.0,M. Morris enters the game for M. Morris,,61-69,,
2:05.0,,,61-72,3,A. Iguodala makes 3-pt shot from 23 ft (assist by D. Lee)
1:54.0,I. Thomas misses 3-pt shot from 26 ft,,61-72,,
1:52.0,Offensive rebound by B. Wright,,61-72,,
1:51.0,G. Green makes 3-pt shot from 26 ft (assist by B. Wright),3,64-72,,
1:26.0,,,64-74,2,D. Lee makes 2-pt shot from 8 ft
1:03.0,I. Thomas misses 2-pt shot from 1 ft,,64-74,,
1:02.0,,,64-74,,Defensive rebound by A. Iguodala
0:57.0,,,64-74,,L. Barbosa misses 2-pt shot from 3 ft
0:56.0,Defensive rebound by G. Green,,64-74,,
0:49.0,I. Thomas makes 3-pt shot from 23 ft (assist by G. Green),3,67-74,,
0:40.0,,,67-74,,Shooting foul by I. Thomas (drawn by S. Curry)
0:40.0,,,67-75,1,S. Curry makes free throw 1 of 2
0:40.0,,,67-76,1,S. Curry makes free throw 2 of 2
0:34.0,E. Bledsoe makes 2-pt shot from 2 ft,2,69-76,,
0:34.0,Shooting foul by D. Lee (drawn by E. Bledsoe),,69-76,,
0:34.0,E. Bledsoe makes free throw 1 of 1,1,70-76,,
0:17.0,,,70-76,,S. Curry misses 2-pt shot from 22 ft
0:16.0,,,70-76,,Offensive rebound by D. Lee
0:15.0,,,70-76,,Shooting foul by M. Morris (drawn by D. Lee)
0:15.0,,,70-77,1,D. Lee makes free throw 1 of 2
0:15.0,,,70-77,,S. Livingston enters the game for S. Curry
0:15.0,,,70-78,1,D. Lee makes free throw 2 of 2
0:04.0,G. Green misses 3-pt shot from 25 ft,,70-78,,
0:03.0,Offensive rebound by B. Wright,,70-78,,
0:03.0,B. Wright misses 2-pt shot from 1 ft,,70-78,,
0:02.0,,,70-78,,Defensive rebound by A. Iguodala
0:01.0,,,70-78,,A. Iguodala misses 3-pt shot from 51 ft
0:00.0,,,70-78,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:48.0,,,70-78,,D. Lee misses 2-pt shot from 5 ft
11:46.0,Defensive rebound by G. Green,,70-78,,
11:41.0,G. Green misses 2-pt shot from 2 ft (block by A. Iguodala),,70-78,,
11:41.0,Offensive rebound by Team,,70-78,,
11:34.0,I. Thomas makes 2-pt shot from 1 ft,2,72-78,,
11:19.0,,,72-78,,L. Barbosa misses 3-pt shot from 27 ft
11:18.0,,,72-78,,Offensive rebound by D. Green
11:11.0,,,72-80,2,L. Barbosa makes 2-pt shot from 1 ft (assist by D. Green)
10:57.0,,,72-80,,Personal foul by L. Barbosa (drawn by I. Thomas)
10:49.0,I. Thomas misses 3-pt shot from 25 ft,,72-80,,
10:48.0,,,72-80,,Defensive rebound by S. Livingston
10:34.0,,,72-80,,Turnover by L. Barbosa (bad pass; steal by I. Thomas)
10:30.0,Turnover by G. Green (lost ball),,72-80,,
10:21.0,Personal foul by G. Green (drawn by A. Iguodala),,72-80,,
10:12.0,,,72-80,,D. Green misses 2-pt shot from 4 ft
10:11.0,Defensive rebound by G. Green,,72-80,,
9:59.0,Turnover by I. Thomas (bad pass; steal by A. Iguodala),,72-80,,
9:57.0,,,72-82,2,A. Iguodala makes 2-pt shot from 2 ft
9:57.0,,,72-82,,Shooting foul by G. Green (drawn by A. Iguodala)
9:57.0,M. Morris enters the game for G. Green,,72-82,,
9:57.0,,,72-82,,A. Iguodala misses free throw 1 of 1
9:54.0,Defensive rebound by M. Morris,,72-82,,
9:39.0,,,72-82,,Personal foul by L. Barbosa (drawn by M. Morris)
9:30.0,M. Morris misses 3-pt shot from 27 ft,,72-82,,
9:29.0,,,72-82,,Defensive rebound by S. Livingston
9:15.0,,,72-82,,A. Iguodala misses 3-pt shot from 25 ft
9:14.0,Defensive rebound by I. Thomas,,72-82,,
9:09.0,,,72-82,,Personal foul by S. Livingston (drawn by M. Morris)
8:54.0,B. Wright makes 2-pt shot at rim (assist by M. Morris),2,74-82,,
8:38.0,Personal foul by M. Morris (drawn by D. Green),,74-82,,
8:38.0,Official timeout,,74-82,,
8:38.0,,,74-82,,Technical foul by D. Green
8:38.0,I. Thomas makes technical free throw,1,75-82,,
8:38.0,,,75-82,,K. Thompson enters the game for L. Barbosa
8:25.0,,,75-84,2,K. Thompson makes 2-pt shot from 12 ft (assist by S. Livingston)
8:06.0,Turnover by M. Morris (bad pass; steal by D. Lee),,75-84,,
7:59.0,,,75-84,,Turnover by K. Thompson (lost ball)
7:41.0,G. Dragic misses 2-pt shot from 10 ft,,75-84,,
7:40.0,,,75-84,,Defensive rebound by K. Thompson
7:32.0,,,75-84,,K. Thompson misses 3-pt shot from 26 ft (block by I. Thomas)
7:30.0,Defensive rebound by M. Morris,,75-84,,
7:26.0,B. Wright makes 2-pt shot at rim (assist by I. Thomas),2,77-84,,
7:16.0,,,77-84,,Golden State full timeout
7:16.0,,,77-84,,A. Bogut enters the game for D. Lee
7:16.0,,,77-84,,S. Curry enters the game for S. Livingston
7:16.0,E. Bledsoe enters the game for M. Morris,,77-84,,
7:07.0,,,77-84,,S. Curry misses 2-pt shot from 10 ft (block by G. Dragic)
7:06.0,,,77-84,,Offensive rebound by S. Curry
7:04.0,,,77-84,,S. Curry misses 2-pt shot from 5 ft
7:02.0,Defensive rebound by G. Dragic,,77-84,,
7:00.0,Turnover by G. Dragic (bad pass; steal by A. Bogut),,77-84,,
6:44.0,,,77-86,2,A. Iguodala makes 2-pt shot from 14 ft (assist by D. Green)
6:25.0,M. Morris misses 2-pt shot from 20 ft,,77-86,,
6:24.0,,,77-86,,Defensive rebound by A. Iguodala
6:12.0,,,77-88,2,K. Thompson makes 2-pt shot at rim (assist by S. Curry)
6:12.0,,,77-88,,Shooting foul by G. Dragic (drawn by K. Thompson)
6:12.0,P. Tucker enters the game for G. Dragic,,77-88,,
6:12.0,,,77-89,1,K. Thompson makes free throw 1 of 1
5:58.0,I. Thomas misses 2-pt shot from 11 ft,,77-89,,
5:57.0,,,77-89,,Defensive rebound by D. Green
5:46.0,,,77-89,,K. Thompson misses 3-pt shot from 27 ft
5:45.0,Defensive rebound by I. Thomas,,77-89,,
5:40.0,Shooting foul by A. Iguodala (drawn by E. Bledsoe),,77-89,,
5:40.0,E. Bledsoe makes free throw 1 of 2,1,78-89,,
5:40.0,M. Morris enters the game for B. Wright,,78-89,,
5:40.0,E. Bledsoe makes free throw 2 of 2,1,79-89,,
5:24.0,,,79-89,,D. Green misses 2-pt shot from 1 ft
5:23.0,,,79-89,,Offensive rebound by D. Green
