time,Detroit,pts.away,score,pts.home,Golden State
6:52.0,,,8-12,,Defensive rebound by D. Green
6:44.0,,,8-14,2,D. Green makes 2-pt shot at rim
6:39.0,Detroit full timeout,,8-14,,
6:39.0,T. Prince enters the game for A. Drummond,,8-14,,
6:34.0,G. Monroe misses 2-pt shot from 2 ft,,8-14,,
6:33.0,,,8-14,,Defensive rebound by H. Barnes
6:18.0,,,8-14,,A. Bogut misses 2-pt shot from 2 ft (block by G. Monroe)
6:17.0,Defensive rebound by G. Monroe,,8-14,,
6:06.0,C. Butler makes 2-pt shot from 11 ft,2,10-14,,
5:56.0,,,10-16,2,S. Curry makes 2-pt shot from 20 ft
5:31.0,R. Jackson makes 2-pt shot from 13 ft,2,12-16,,
5:19.0,,,12-18,2,K. Thompson makes 2-pt shot from 2 ft (assist by S. Curry)
4:55.0,R. Jackson misses 2-pt shot from 7 ft (block by A. Bogut),,12-18,,
4:53.0,,,12-18,,Defensive rebound by A. Bogut
4:44.0,,,12-20,2,K. Thompson makes 2-pt shot from 1 ft (assist by A. Bogut)
4:31.0,R. Jackson makes 2-pt shot from 1 ft,2,14-20,,
4:20.0,,,14-20,,S. Curry misses 3-pt shot from 25 ft
4:19.0,,,14-20,,Offensive rebound by H. Barnes
4:13.0,,,14-22,2,A. Bogut makes 2-pt shot from 1 ft (assist by K. Thompson)
4:00.0,K. Caldwell-Pope misses 3-pt shot from 26 ft,,14-22,,
3:59.0,,,14-22,,Defensive rebound by H. Barnes
3:48.0,,,14-22,,K. Thompson misses 3-pt shot from 28 ft
3:47.0,Defensive rebound by G. Monroe,,14-22,,
3:39.0,Offensive foul by R. Jackson,,14-22,,
3:39.0,Turnover by R. Jackson (offensive foul),,14-22,,
3:39.0,,,14-22,,A. Iguodala enters the game for H. Barnes
3:39.0,,,14-22,,M. Speights enters the game for A. Bogut
3:39.0,C. Martin enters the game for C. Butler,,14-22,,
3:39.0,J. Meeks enters the game for K. Caldwell-Pope,,14-22,,
3:21.0,,,14-22,,S. Curry misses 2-pt shot from 14 ft
3:20.0,Defensive rebound by J. Meeks,,14-22,,
3:13.0,C. Martin misses 3-pt shot from 25 ft,,14-22,,
3:12.0,,,14-22,,Defensive rebound by M. Speights
3:04.0,,,14-22,,K. Thompson misses 3-pt shot from 25 ft
3:03.0,Defensive rebound by G. Monroe,,14-22,,
2:41.0,G. Monroe misses 2-pt shot at rim,,14-22,,
2:40.0,Offensive rebound by T. Prince,,14-22,,
2:40.0,T. Prince makes 2-pt shot at rim,2,16-22,,
2:40.0,,,16-22,,Golden State full timeout
2:40.0,S. Dinwiddie enters the game for G. Monroe,,16-22,,
2:40.0,A. Drummond enters the game for R. Jackson,,16-22,,
2:40.0,,,16-22,,L. Barbosa enters the game for K. Thompson
2:23.0,,,16-24,2,M. Speights makes 2-pt shot from 8 ft (assist by S. Curry)
2:08.0,T. Prince misses 2-pt shot from 18 ft,,16-24,,
2:07.0,,,16-24,,Defensive rebound by L. Barbosa
2:01.0,,,16-24,,Shooting foul by J. Meeks (drawn by D. Green)
2:01.0,,,16-25,1,D. Green makes free throw 1 of 2
2:01.0,,,16-26,1,D. Green makes free throw 2 of 2
1:50.0,J. Meeks makes 2-pt shot from 17 ft (assist by S. Dinwiddie),2,18-26,,
1:30.0,,,18-26,,D. Green misses 3-pt shot from 25 ft
1:29.0,Defensive rebound by T. Prince,,18-26,,
1:20.0,A. Drummond misses 2-pt shot from 2 ft,,18-26,,
1:18.0,,,18-26,,Defensive rebound by A. Iguodala
1:12.0,,,18-26,,S. Curry misses 3-pt shot from 26 ft
1:12.0,Defensive rebound by A. Drummond,,18-26,,
1:00.0,A. Drummond misses 2-pt shot from 1 ft,,18-26,,
0:59.0,Offensive rebound by A. Drummond,,18-26,,
0:59.0,A. Drummond makes 2-pt shot from 1 ft,2,20-26,,
0:51.0,,,20-28,2,M. Speights makes 2-pt shot from 15 ft (assist by S. Curry)
0:42.0,S. Dinwiddie makes 3-pt shot from 25 ft,3,23-28,,
0:32.0,,,23-28,,S. Curry misses 2-pt shot from 4 ft (block by A. Drummond)
0:30.0,Defensive rebound by C. Martin,,23-28,,
0:25.0,Shooting foul by D. Green (drawn by T. Prince),,23-28,,
0:25.0,T. Prince makes free throw 1 of 2,1,24-28,,
0:25.0,,,24-28,,H. Barnes enters the game for D. Green
0:25.0,T. Prince makes free throw 2 of 2,1,25-28,,
0:03.0,,,25-28,,H. Barnes misses 3-pt shot from 23 ft
0:01.0,,,25-28,,Offensive rebound by A. Iguodala
0:00.0,,,25-30,2,A. Iguodala makes 2-pt shot from 13 ft
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,,,25-30,,M. Speights misses 2-pt shot from 16 ft
11:44.0,Defensive rebound by J. Meeks,,25-30,,
11:27.0,J. Meeks misses 2-pt shot from 2 ft (block by M. Speights),,25-30,,
11:27.0,Offensive rebound by Team,,25-30,,
11:23.0,S. Dinwiddie misses 2-pt shot from 18 ft,,25-30,,
11:21.0,Offensive rebound by A. Drummond,,25-30,,
11:20.0,A. Drummond makes 2-pt shot from 2 ft,2,27-30,,
10:58.0,,,27-32,2,M. Speights makes 2-pt shot from 17 ft (assist by S. Livingston)
10:42.0,A. Drummond makes 2-pt shot from 9 ft (assist by C. Martin),2,29-32,,
10:30.0,,,29-35,3,A. Iguodala makes 3-pt shot from 26 ft (assist by S. Livingston)
10:30.0,,,29-35,,Shooting foul by C. Martin (drawn by A. Iguodala)
10:30.0,,,29-35,,A. Iguodala misses free throw 1 of 1
10:28.0,Defensive rebound by A. Drummond,,29-35,,
10:10.0,A. Drummond misses 2-pt shot from 7 ft (block by M. Speights),,29-35,,
10:07.0,Offensive rebound by A. Drummond,,29-35,,
10:05.0,A. Drummond misses 2-pt shot from 3 ft,,29-35,,
10:03.0,,,29-35,,Defensive rebound by S. Livingston
9:59.0,,,29-37,2,L. Barbosa makes 2-pt shot from 2 ft (assist by S. Livingston)
9:59.0,,,29-37,,Shooting foul by A. Drummond (drawn by L. Barbosa)
9:59.0,K. Caldwell-Pope enters the game for C. Martin,,29-37,,
9:59.0,,,29-38,1,L. Barbosa makes free throw 1 of 1
9:42.0,T. Prince misses 2-pt shot from 13 ft,,29-38,,
9:41.0,,,29-38,,Defensive rebound by M. Speights
9:30.0,,,29-38,,M. Speights misses 2-pt shot from 18 ft
9:29.0,Defensive rebound by S. Dinwiddie,,29-38,,
9:23.0,Offensive charge foul by S. Dinwiddie,,29-38,,
9:23.0,Turnover by S. Dinwiddie (offensive foul),,29-38,,
9:13.0,,,29-40,2,L. Barbosa makes 2-pt shot from 6 ft (assist by A. Iguodala)
9:00.0,S. Dinwiddie misses 2-pt shot from 3 ft (block by A. Iguodala),,29-40,,
8:59.0,Offensive rebound by Team,,29-40,,
8:59.0,Official timeout,,29-40,,
8:46.0,K. Caldwell-Pope misses 2-pt shot from 1 ft,,29-40,,
8:45.0,,,29-40,,Defensive rebound by M. Speights
8:35.0,,,29-40,,Turnover by L. Barbosa (bad pass; steal by A. Drummond)
8:30.0,J. Meeks makes 2-pt shot from 1 ft (assist by K. Caldwell-Pope),2,31-40,,
8:11.0,,,31-42,2,M. Speights makes 2-pt shot from 4 ft
7:55.0,A. Drummond misses 2-pt shot from 12 ft,,31-42,,
7:54.0,,,31-42,,Defensive rebound by H. Barnes
7:43.0,,,31-44,2,M. Speights makes 2-pt shot from 2 ft (assist by S. Livingston)
7:22.0,A. Drummond makes 2-pt shot at rim (assist by K. Caldwell-Pope),2,33-44,,
7:07.0,,,33-44,,S. Livingston misses 2-pt shot from 9 ft
7:06.0,Defensive rebound by S. Dinwiddie,,33-44,,
6:45.0,T. Prince misses 2-pt shot from 8 ft,,33-44,,
6:44.0,Offensive rebound by A. Drummond,,33-44,,
6:42.0,Turnover by Team (shot clock),,33-44,,
6:42.0,R. Jackson enters the game for S. Dinwiddie,,33-44,,
6:32.0,,,33-44,,Offensive foul by M. Speights
6:32.0,,,33-44,,Turnover by M. Speights (offensive foul)
6:32.0,A. Tolliver enters the game for T. Prince,,33-44,,
6:32.0,,,33-44,,A. Bogut enters the game for M. Speights
6:20.0,R. Jackson misses 2-pt shot from 12 ft,,33-44,,
6:19.0,Offensive rebound by A. Drummond,,33-44,,
6:19.0,A. Drummond makes 2-pt shot from 1 ft,2,35-44,,
6:05.0,,,35-44,,L. Barbosa misses 2-pt shot from 17 ft
6:04.0,Defensive rebound by A. Drummond,,35-44,,
5:45.0,K. Caldwell-Pope makes 2-pt shot from 17 ft,2,37-44,,
5:43.0,,,37-44,,Golden State full timeout
5:43.0,C. Butler enters the game for A. Drummond,,37-44,,
5:43.0,G. Monroe enters the game for J. Meeks,,37-44,,
5:43.0,,,37-44,,D. Green enters the game for H. Barnes
5:43.0,,,37-44,,K. Thompson enters the game for L. Barbosa
5:33.0,,,37-44,,Turnover by D. Green (bad pass)
5:15.0,Turnover by G. Monroe (lost ball),,37-44,,
5:15.0,,,37-44,,S. Curry enters the game for A. Iguodala
4:58.0,,,37-46,2,K. Thompson makes 2-pt shot from 1 ft (assist by A. Bogut)
4:34.0,C. Butler misses 2-pt shot from 22 ft,,37-46,,
4:33.0,,,37-46,,Defensive rebound by S. Curry
4:30.0,,,37-46,,Turnover by S. Curry (traveling)
4:10.0,A. Tolliver misses 2-pt shot from 20 ft (block by K. Thompson),,37-46,,
4:09.0,Offensive rebound by Team,,37-46,,
4:04.0,G. Monroe misses 2-pt shot from 16 ft,,37-46,,
4:04.0,Offensive rebound by Team,,37-46,,
4:04.0,Turnover by Team (shot clock),,37-46,,
3:54.0,,,37-48,2,K. Thompson makes 2-pt shot from 3 ft
3:47.0,Shooting foul by S. Curry (drawn by C. Butler),,37-48,,
3:47.0,C. Butler makes free throw 1 of 2,1,38-48,,
3:47.0,C. Butler makes free throw 2 of 2,1,39-48,,
3:31.0,,,39-48,,Turnover by K. Thompson (lost ball; steal by A. Tolliver)
3:28.0,,,39-48,,Personal foul by D. Green (drawn by A. Tolliver)
3:17.0,G. Monroe makes 2-pt shot from 1 ft (assist by R. Jackson),2,41-48,,
3:02.0,,,41-50,2,A. Bogut makes 2-pt shot at rim (assist by S. Curry)
2:45.0,A. Tolliver makes 2-pt shot from 1 ft (assist by R. Jackson),2,43-50,,
2:23.0,,,43-50,,Shooting foul by G. Monroe (drawn by K. Thompson)
2:23.0,Detroit full timeout,,43-50,,
2:23.0,,,43-51,1,K. Thompson makes free throw 1 of 2
2:23.0,,,43-52,1,K. Thompson makes free throw 2 of 2
2:05.0,R. Jackson makes 2-pt shot from 13 ft,2,45-52,,
1:54.0,Personal foul by R. Jackson (drawn by D. Green),,45-52,,
1:54.0,S. Dinwiddie enters the game for R. Jackson,,45-52,,
1:39.0,,,45-52,,S. Livingston misses 2-pt shot from 16 ft
1:38.0,,,45-52,,Offensive rebound by S. Livingston
1:34.0,,,45-52,,S. Livingston misses 2-pt shot from 7 ft
1:33.0,,,45-52,,Offensive rebound by A. Bogut
1:33.0,,,45-54,2,A. Bogut makes 2-pt shot at rim
1:21.0,Shooting foul by D. Green (drawn by G. Monroe),,45-54,,
1:21.0,G. Monroe makes free throw 1 of 2,1,46-54,,
1:21.0,,,46-54,,H. Barnes enters the game for D. Green
1:21.0,G. Monroe makes free throw 2 of 2,1,47-54,,
1:04.0,,,47-54,,Turnover by A. Bogut (bad pass)
0:44.0,G. Monroe misses 2-pt shot from 9 ft,,47-54,,
0:43.0,,,47-54,,Defensive rebound by H. Barnes
0:35.0,,,47-54,,Turnover by S. Livingston (bad pass; steal by K. Caldwell-Pope)
0:31.0,K. Caldwell-Pope makes 2-pt shot from 1 ft (assist by C. Butler),2,49-54,,
0:13.0,,,49-56,2,A. Bogut makes 2-pt shot from 1 ft (assist by K. Thompson)
0:03.0,S. Dinwiddie makes 2-pt shot from 16 ft,2,51-56,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,,,51-56,,S. Curry misses 3-pt shot from 27 ft
11:43.0,,,51-56,,Offensive rebound by D. Green
11:43.0,,,51-56,,D. Green misses 2-pt shot from 1 ft
11:41.0,Defensive rebound by A. Drummond,,51-56,,
11:27.0,Turnover by A. Drummond (offensive goaltending),,51-56,,
11:17.0,,,51-58,2,K. Thompson makes 2-pt shot from 12 ft
11:01.0,G. Monroe makes 2-pt shot from 6 ft,2,53-58,,
10:51.0,,,53-58,,K. Thompson misses 3-pt shot from 26 ft
10:51.0,Defensive rebound by Team,,53-58,,
10:28.0,R. Jackson makes 2-pt shot at rim,2,55-58,,
10:22.0,,,55-58,,Shooting foul by G. Monroe (drawn by D. Green)
10:22.0,,,55-59,1,D. Green makes free throw 1 of 2
10:22.0,,,55-59,,D. Green misses free throw 2 of 2
10:21.0,Defensive rebound by A. Drummond,,55-59,,
10:03.0,K. Caldwell-Pope misses 2-pt shot from 4 ft,,55-59,,
10:01.0,Offensive rebound by A. Drummond,,55-59,,
9:57.0,Turnover by A. Drummond (bad pass),,55-59,,
9:54.0,,,55-59,,A. Bogut misses 2-pt shot at rim (block by G. Monroe)
9:52.0,,,55-59,,Offensive rebound by S. Curry
9:46.0,,,55-61,2,H. Barnes makes 2-pt shot from 1 ft (assist by S. Curry)
9:29.0,K. Caldwell-Pope makes 2-pt shot from 3 ft (assist by R. Jackson),2,57-61,,
9:20.0,,,57-61,,S. Curry misses 2-pt shot from 22 ft
9:19.0,Defensive rebound by A. Drummond,,57-61,,
9:03.0,G. Monroe misses 2-pt shot from 4 ft,,57-61,,
9:02.0,Offensive rebound by A. Drummond,,57-61,,
9:02.0,A. Drummond misses 2-pt shot from 1 ft,,57-61,,
8:59.0,,,57-61,,Defensive rebound by S. Curry
8:40.0,,,57-63,2,D. Green makes 2-pt shot from 3 ft (assist by S. Curry)
8:18.0,K. Caldwell-Pope misses 3-pt shot from 24 ft,,57-63,,
8:15.0,,,57-63,,Defensive rebound by S. Curry
8:04.0,,,57-63,,D. Green misses 3-pt shot from 26 ft
8:03.0,Defensive rebound by A. Drummond,,57-63,,
7:56.0,K. Caldwell-Pope makes 2-pt shot from 14 ft,2,59-63,,
7:35.0,,,59-63,,D. Green misses 2-pt shot from 4 ft
7:35.0,Defensive rebound by G. Monroe,,59-63,,
7:24.0,G. Monroe makes 2-pt shot from 1 ft (assist by R. Jackson),2,61-63,,
7:13.0,,,61-63,,S. Curry misses 2-pt shot from 20 ft
7:11.0,Defensive rebound by A. Drummond,,61-63,,
6:59.0,G. Monroe makes 2-pt shot from 2 ft (assist by R. Jackson),2,63-63,,
6:40.0,,,63-65,2,S. Curry makes 2-pt shot from 12 ft (assist by H. Barnes)
6:18.0,R. Jackson misses 2-pt shot from 2 ft,,63-65,,
6:17.0,Offensive rebound by A. Drummond,,63-65,,
6:17.0,A. Drummond makes 2-pt shot at rim,2,65-65,,
5:54.0,,,65-65,,S. Curry misses 3-pt shot from 26 ft
5:53.0,Defensive rebound by A. Drummond,,65-65,,
5:44.0,K. Caldwell-Pope misses 3-pt shot from 25 ft,,65-65,,
5:43.0,,,65-65,,Defensive rebound by D. Green
5:41.0,,,65-65,,Turnover by S. Curry (lost ball)
5:41.0,,,65-65,,Golden State full timeout
5:41.0,,,65-65,,A. Iguodala enters the game for H. Barnes
5:41.0,T. Prince enters the game for C. Butler,,65-65,,
5:41.0,C. Martin enters the game for G. Monroe,,65-65,,
5:26.0,T. Prince makes 2-pt shot from 19 ft (assist by R. Jackson),2,67-65,,
5:07.0,,,67-67,2,K. Thompson makes 2-pt shot from 21 ft (assist by A. Bogut)
4:56.0,R. Jackson misses 2-pt shot from 11 ft,,67-67,,
4:54.0,Offensive rebound by R. Jackson,,67-67,,
4:52.0,R. Jackson makes 2-pt shot from 1 ft,2,69-67,,
4:38.0,,,69-67,,K. Thompson misses 2-pt shot from 16 ft
4:37.0,Defensive rebound by T. Prince,,69-67,,
4:19.0,K. Caldwell-Pope misses 2-pt shot from 19 ft,,69-67,,
4:18.0,Offensive rebound by A. Drummond,,69-67,,
4:18.0,A. Drummond misses 2-pt shot at rim,,69-67,,
4:17.0,Offensive rebound by A. Drummond,,69-67,,
4:17.0,A. Drummond misses 2-pt shot at rim,,69-67,,
4:16.0,Offensive rebound by A. Drummond,,69-67,,
4:16.0,A. Drummond misses 2-pt shot at rim,,69-67,,
4:14.0,,,69-67,,Defensive rebound by A. Bogut
4:01.0,,,69-67,,Turnover by S. Curry (bad pass)
3:44.0,A. Drummond misses 2-pt shot from 9 ft,,69-67,,
3:43.0,,,69-67,,Defensive rebound by D. Green
3:37.0,,,69-67,,D. Green misses 2-pt shot from 14 ft
3:36.0,,,69-67,,Offensive rebound by A. Iguodala
3:35.0,,,69-67,,Turnover by D. Green (bad pass; steal by K. Caldwell-Pope)
3:30.0,C. Martin misses 2-pt shot from 2 ft (block by A. Bogut),,69-67,,
3:28.0,Offensive rebound by K. Caldwell-Pope,,69-67,,
3:16.0,T. Prince makes 2-pt shot from 17 ft (assist by R. Jackson),2,71-67,,
3:03.0,,,71-69,2,S. Curry makes 2-pt shot from 18 ft
2:44.0,R. Jackson misses 2-pt shot from 15 ft,,71-69,,
2:43.0,,,71-69,,Defensive rebound by A. Bogut
2:34.0,,,71-72,3,K. Thompson makes 3-pt shot from 23 ft (assist by D. Green)
2:25.0,Detroit full timeout,,71-72,,
2:25.0,,,71-72,,S. Livingston enters the game for D. Green
2:25.0,,,71-72,,L. Barbosa enters the game for K. Thompson
2:25.0,J. Meeks enters the game for K. Caldwell-Pope,,71-72,,
2:25.0,S. Dinwiddie enters the game for R. Jackson,,71-72,,
2:06.0,A. Drummond misses 2-pt shot from 8 ft,,71-72,,
2:05.0,Offensive rebound by A. Drummond,,71-72,,
2:04.0,A. Drummond makes 2-pt shot at rim,2,73-72,,
1:55.0,,,73-72,,S. Curry misses 2-pt shot from 19 ft
1:53.0,,,73-72,,Offensive rebound by Team
1:48.0,,,73-72,,S. Curry misses 3-pt shot from 25 ft
1:47.0,,,73-72,,Offensive rebound by S. Livingston
1:27.0,,,73-74,2,A. Iguodala makes 2-pt shot from 10 ft
1:09.0,T. Prince misses 2-pt shot from 16 ft,,73-74,,
1:08.0,,,73-74,,Defensive rebound by S. Livingston
1:00.0,,,73-76,2,S. Livingston makes 2-pt shot from 5 ft
0:40.0,S. Dinwiddie misses 2-pt shot from 17 ft,,73-76,,
0:39.0,,,73-76,,Defensive rebound by A. Iguodala
0:30.0,,,73-79,3,L. Barbosa makes 3-pt shot from 23 ft (assist by S. Curry)
0:05.0,S. Dinwiddie misses 3-pt shot from 28 ft,,73-79,,
0:02.0,Offensive rebound by T. Prince,,73-79,,
0:02.0,,,73-79,,M. Speights enters the game for A. Bogut
0:00.0,S. Dinwiddie makes 3-pt shot from 24 ft (assist by C. Martin),3,76-79,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,G. Monroe misses 2-pt shot from 7 ft,,76-79,,
11:46.0,,,76-79,,Defensive rebound by A. Iguodala
11:30.0,,,76-79,,S. Livingston misses 2-pt shot from 2 ft
11:29.0,Defensive rebound by C. Martin,,76-79,,
11:19.0,S. Dinwiddie misses 2-pt shot from 16 ft,,76-79,,
11:18.0,,,76-79,,Defensive rebound by A. Iguodala
10:58.0,,,76-79,,K. Thompson misses 2-pt shot from 16 ft
10:58.0,Defensive rebound by G. Monroe,,76-79,,
10:35.0,J. Meeks makes 3-pt shot from 27 ft (assist by T. Prince),3,79-79,,
10:21.0,,,79-79,,S. Livingston misses 2-pt shot from 10 ft
10:20.0,Defensive rebound by G. Monroe,,79-79,,
10:12.0,Turnover by S. Dinwiddie (bad pass; steal by A. Iguodala),,79-79,,
10:07.0,,,79-79,,A. Iguodala misses 2-pt shot from 4 ft (block by J. Meeks)
10:05.0,Defensive rebound by J. Meeks,,79-79,,
9:52.0,Offensive charge foul by S. Dinwiddie,,79-79,,
9:52.0,Turnover by S. Dinwiddie (offensive foul),,79-79,,
9:35.0,,,79-79,,M. Speights misses 2-pt shot from 16 ft
9:34.0,Defensive rebound by G. Monroe,,79-79,,
9:26.0,Shooting foul by M. Speights (drawn by G. Monroe),,79-79,,
9:26.0,G. Monroe makes free throw 1 of 2,1,80-79,,
9:26.0,G. Monroe makes free throw 2 of 2,1,81-79,,
9:08.0,,,81-81,2,S. Livingston makes 2-pt shot from 12 ft
8:53.0,Official timeout,,81-81,,
8:49.0,Offensive charge foul by G. Monroe,,81-81,,
8:49.0,Turnover by G. Monroe (offensive foul),,81-81,,
8:27.0,,,81-83,2,K. Thompson makes 2-pt shot from 15 ft (assist by L. Barbosa)
8:02.0,S. Dinwiddie misses 3-pt shot from 24 ft,,81-83,,
8:01.0,,,81-83,,Defensive rebound by M. Speights
7:55.0,,,81-83,,Offensive charge foul by M. Speights
7:55.0,,,81-83,,Turnover by M. Speights (offensive foul)
7:42.0,K. Caldwell-Pope enters the game for C. Martin,,81-83,,
7:33.0,G. Monroe misses 2-pt shot from 8 ft,,81-83,,
7:32.0,,,81-83,,Defensive rebound by M. Speights
7:25.0,,,81-85,2,A. Iguodala makes 2-pt shot at rim
7:14.0,Detroit full timeout,,81-85,,
7:14.0,R. Jackson enters the game for G. Monroe,,81-85,,
7:14.0,A. Drummond enters the game for S. Dinwiddie,,81-85,,
7:06.0,R. Jackson makes 2-pt shot from 8 ft,2,83-85,,
6:46.0,,,83-88,3,K. Thompson makes 3-pt shot from 26 ft (assist by S. Livingston)
6:32.0,Turnover by R. Jackson (bad pass; steal by L. Barbosa),,83-88,,
6:28.0,,,83-88,,Shooting foul by J. Meeks (drawn by L. Barbosa)
6:28.0,,,83-89,1,L. Barbosa makes free throw 1 of 2
6:28.0,,,83-89,,S. Curry enters the game for S. Livingston
6:28.0,,,83-90,1,L. Barbosa makes free throw 2 of 2
6:06.0,Turnover by A. Drummond (bad pass; steal by A. Iguodala),,83-90,,
6:00.0,,,83-90,,L. Barbosa misses 2-pt shot from 1 ft
5:58.0,,,83-90,,Offensive rebound by A. Iguodala
5:56.0,,,83-90,,Turnover by A. Iguodala (bad pass)
5:56.0,,,83-90,,D. Green enters the game for L. Barbosa
5:45.0,R. Jackson misses 2-pt shot from 10 ft,,83-90,,
5:44.0,,,83-90,,Defensive rebound by D. Green
5:37.0,,,83-93,3,K. Thompson makes 3-pt shot from 25 ft (assist by D. Green)
5:36.0,Detroit full timeout,,83-93,,
5:36.0,G. Monroe enters the game for T. Prince,,83-93,,
5:11.0,K. Caldwell-Pope misses 2-pt shot from 18 ft,,83-93,,
5:10.0,,,83-93,,Defensive rebound by K. Thompson
5:04.0,,,83-95,2,M. Speights makes 2-pt shot at rim (assist by A. Iguodala)
4:50.0,Offensive charge foul by R. Jackson,,83-95,,
4:50.0,Turnover by R. Jackson (offensive foul),,83-95,,
4:39.0,,,83-97,2,K. Thompson makes 2-pt shot from 10 ft (assist by S. Curry)
4:20.0,K. Caldwell-Pope makes 3-pt shot from 25 ft (assist by G. Monroe),3,86-97,,
3:59.0,,,86-97,,K. Thompson misses 2-pt shot from 2 ft
3:58.0,Defensive rebound by K. Caldwell-Pope,,86-97,,
3:44.0,G. Monroe misses 2-pt shot from 1 ft,,86-97,,
3:43.0,Offensive rebound by A. Drummond,,86-97,,
3:43.0,A. Drummond makes 2-pt shot at rim,2,88-97,,
3:30.0,,,88-97,,Offensive foul by A. Iguodala
3:30.0,,,88-97,,Turnover by A. Iguodala (offensive foul)
3:30.0,,,88-97,,A. Bogut enters the game for M. Speights
3:15.0,K. Caldwell-Pope misses 3-pt shot from 26 ft,,88-97,,
3:14.0,,,88-97,,Defensive rebound by K. Thompson
3:06.0,,,88-99,2,D. Green makes 2-pt shot at rim (assist by S. Curry)
3:06.0,,,88-99,,Shooting foul by A. Drummond (drawn by D. Green)
3:06.0,,,88-100,1,D. Green makes free throw 1 of 1
2:59.0,,,88-100,,Personal foul by K. Thompson (drawn by R. Jackson)
2:41.0,R. Jackson misses 3-pt shot from 25 ft,,88-100,,
2:39.0,Offensive rebound by A. Drummond,,88-100,,
2:36.0,A. Drummond makes 2-pt shot from 1 ft,2,90-100,,
2:18.0,,,90-100,,K. Thompson misses 2-pt shot from 13 ft
2:17.0,Defensive rebound by G. Monroe,,90-100,,
2:07.0,Turnover by G. Monroe (lost ball; steal by K. Thompson),,90-100,,
1:56.0,,,90-102,2,A. Iguodala makes 2-pt shot at rim (assist by S. Curry)
1:49.0,Turnover by R. Jackson (lost ball; steal by S. Curry),,90-102,,
1:46.0,,,90-104,2,A. Iguodala makes 2-pt shot at rim (assist by D. Green)
1:46.0,Detroit full timeout,,90-104,,
1:46.0,,,90-104,,L. Barbosa enters the game for K. Thompson
1:46.0,,,90-104,,S. Livingston enters the game for S. Curry
