time,Miami,pts.away,score,pts.home,Oklahoma City
3:19.0,,,19-21,,Turnover by M. McGary (offensive foul)
2:57.0,L. Deng misses 2-pt shot from 21 ft,,19-21,,
2:56.0,Offensive rebound by H. Whiteside,,19-21,,
2:54.0,Shooting foul by E. Kanter (drawn by H. Whiteside),,19-21,,
2:54.0,,,19-21,,Oklahoma City full timeout
2:54.0,H. Whiteside misses free throw 1 of 2,,19-21,,
2:54.0,Offensive rebound by Team,,19-21,,
2:54.0,H. Whiteside misses free throw 2 of 2,,19-21,,
2:54.0,,,19-21,,Defensive rebound by D. Waiters
2:37.0,,,19-21,,R. Westbrook misses 2-pt shot from 2 ft
2:35.0,,,19-21,,Offensive rebound by E. Kanter
2:35.0,,,19-23,2,E. Kanter makes 2-pt shot from 2 ft
2:14.0,G. Dragic misses 2-pt shot from 14 ft,,19-23,,
2:13.0,,,19-23,,Defensive rebound by E. Kanter
2:04.0,,,19-23,,R. Westbrook misses 2-pt shot from 1 ft
2:03.0,,,19-23,,Offensive rebound by R. Westbrook
1:56.0,,,19-23,,A. Morrow misses 3-pt shot from 24 ft
1:55.0,,,19-23,,Offensive rebound by Team
1:54.0,,,19-23,,D. Augustin enters the game for R. Westbrook
1:54.0,C. Andersen enters the game for M. Beasley,,19-23,,
1:37.0,Personal foul by H. Whiteside (drawn by E. Kanter),,19-23,,
1:37.0,M. Beasley enters the game for H. Whiteside,,19-23,,
1:29.0,,,19-23,,M. McGary misses 2-pt shot from 8 ft
1:27.0,Defensive rebound by M. Chalmers,,19-23,,
1:18.0,M. Chalmers misses 2-pt shot from 5 ft,,19-23,,
1:17.0,,,19-23,,Defensive rebound by Team
1:03.0,,,19-23,,D. Waiters misses 2-pt shot from 1 ft (block by M. Beasley)
1:02.0,,,19-23,,Offensive rebound by Team
1:01.0,,,19-25,2,A. Morrow makes 2-pt shot from 1 ft (assist by D. Waiters)
0:42.0,Shooting foul by D. Waiters (drawn by G. Dragic),,19-25,,
0:42.0,G. Dragic makes free throw 1 of 2,1,20-25,,
0:42.0,H. Walker enters the game for L. Deng,,20-25,,
0:42.0,G. Dragic makes free throw 2 of 2,1,21-25,,
0:18.0,,,21-25,,Turnover by Team (shot clock)
0:06.0,C. Andersen misses 2-pt shot at rim (block by M. McGary),,21-25,,
0:04.0,,,21-25,,Defensive rebound by E. Kanter
0:00.0,,,21-25,,D. Waiters misses 3-pt shot from 25 ft
0:00.0,,,21-25,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,Turnover by M. Beasley (lost ball; steal by A. Morrow),,21-25,,
11:36.0,,,21-25,,Offensive foul by A. Morrow
11:36.0,,,21-25,,Turnover by A. Morrow (offensive foul)
11:16.0,M. Beasley misses 2-pt shot from 22 ft,,21-25,,
11:15.0,,,21-25,,Defensive rebound by S. Adams
11:02.0,,,21-25,,S. Adams misses 2-pt shot from 3 ft
11:01.0,Defensive rebound by H. Walker,,21-25,,
10:57.0,Turnover by M. Beasley (offensive foul),,21-25,,
10:57.0,Offensive foul by M. Beasley,,21-25,,
10:51.0,,,21-25,,Turnover by D. Augustin (lost ball)
10:37.0,H. Walker misses 3-pt shot from 22 ft,,21-25,,
10:36.0,,,21-25,,Defensive rebound by D. Augustin
10:31.0,,,21-25,,D. Augustin misses 2-pt shot at rim
10:30.0,Defensive rebound by G. Dragic,,21-25,,
10:27.0,G. Dragic makes 2-pt shot from 1 ft,2,23-25,,
10:27.0,Shooting foul by S. Adams (drawn by G. Dragic),,23-25,,
10:27.0,G. Dragic makes free throw 1 of 1,1,24-25,,
10:10.0,,,24-25,,Turnover by D. Augustin (lost ball; steal by M. Chalmers)
10:00.0,Turnover by G. Dragic (bad pass; steal by M. McGary),,24-25,,
9:50.0,,,24-28,3,A. Morrow makes 3-pt shot from 24 ft (assist by D. Augustin)
9:28.0,M. Beasley makes 2-pt shot at rim,2,26-28,,
9:14.0,Personal foul by M. Chalmers (drawn by A. Morrow),,26-28,,
9:06.0,,,26-28,,Turnover by S. Adams (3 sec)
8:54.0,C. Andersen misses 2-pt shot at rim (block by A. Morrow),,26-28,,
8:53.0,Offensive rebound by C. Andersen,,26-28,,
8:52.0,C. Andersen misses 2-pt shot from 3 ft (block by S. Adams),,26-28,,
8:51.0,Offensive rebound by C. Andersen,,26-28,,
8:50.0,C. Andersen misses 2-pt shot from 1 ft,,26-28,,
8:49.0,,,26-28,,Defensive rebound by S. Adams
8:39.0,,,26-28,,D. Augustin misses 2-pt shot from 17 ft
8:37.0,,,26-28,,Offensive rebound by M. McGary
8:37.0,,,26-30,2,M. McGary makes 2-pt shot from 1 ft
8:18.0,M. Chalmers misses 3-pt shot from 22 ft,,26-30,,
8:17.0,,,26-30,,Defensive rebound by S. Adams
8:10.0,,,26-33,3,D. Augustin makes 3-pt shot from 24 ft
8:09.0,Miami full timeout,,26-33,,
8:09.0,,,26-33,,R. Westbrook enters the game for A. Morrow
8:09.0,D. Wade enters the game for G. Dragic,,26-33,,
7:55.0,M. Beasley misses 2-pt shot from 10 ft,,26-33,,
7:54.0,,,26-33,,Defensive rebound by R. Westbrook
7:48.0,,,26-33,,D. Augustin misses 3-pt shot from 23 ft
7:47.0,,,26-33,,Offensive rebound by M. McGary
7:46.0,,,26-33,,M. McGary misses 2-pt shot from 5 ft
7:45.0,,,26-33,,Offensive rebound by Team
7:42.0,,,26-33,,R. Westbrook misses 2-pt shot from 18 ft
7:41.0,Defensive rebound by M. Chalmers,,26-33,,
7:37.0,Turnover by M. Chalmers (bad pass),,26-33,,
7:19.0,,,26-33,,M. McGary misses 2-pt shot from 13 ft
7:18.0,,,26-33,,Offensive rebound by R. Westbrook
7:11.0,,,26-35,2,M. McGary makes 2-pt shot from 6 ft (assist by R. Westbrook)
7:11.0,,,26-35,,Shooting foul by M. Beasley (drawn by M. McGary)
7:11.0,H. Whiteside enters the game for C. Andersen,,26-35,,
7:11.0,L. Deng enters the game for M. Beasley,,26-35,,
7:11.0,,,26-35,,M. McGary misses free throw 1 of 1
7:10.0,Defensive rebound by H. Whiteside,,26-35,,
6:56.0,M. Chalmers misses 2-pt shot from 4 ft,,26-35,,
6:55.0,Offensive rebound by H. Whiteside,,26-35,,
6:54.0,H. Whiteside makes 2-pt shot from 1 ft,2,28-35,,
6:29.0,,,28-35,,D. Augustin misses 3-pt shot from 24 ft
6:28.0,,,28-35,,Offensive rebound by S. Adams
6:26.0,,,28-35,,S. Adams misses 2-pt shot from 1 ft
6:24.0,,,28-35,,Offensive rebound by D. Augustin
6:22.0,,,28-35,,D. Augustin misses 2-pt shot from 1 ft
6:20.0,,,28-35,,Offensive rebound by R. Westbrook
6:18.0,,,28-35,,Turnover by R. Westbrook (bad pass; steal by H. Whiteside)
6:13.0,Turnover by M. Chalmers (bad pass; steal by K. Singler),,28-35,,
5:57.0,,,28-37,2,R. Westbrook makes 2-pt shot from 13 ft
5:38.0,Shooting foul by M. McGary (drawn by H. Whiteside),,28-37,,
5:38.0,Official timeout,,28-37,,
5:38.0,,,28-37,,E. Kanter enters the game for M. McGary
5:38.0,,,28-37,,D. Waiters enters the game for K. Singler
5:38.0,H. Whiteside makes free throw 1 of 2,1,29-37,,
5:38.0,H. Whiteside misses free throw 2 of 2,,29-37,,
5:36.0,,,29-37,,Defensive rebound by D. Augustin
5:33.0,,,29-37,,Turnover by D. Augustin (bad pass)
5:20.0,H. Whiteside makes 2-pt shot at rim (assist by D. Wade),2,31-37,,
4:59.0,,,31-37,,R. Westbrook misses 2-pt shot from 13 ft
4:58.0,Defensive rebound by H. Whiteside,,31-37,,
4:50.0,L. Deng misses 3-pt shot from 22 ft,,31-37,,
4:48.0,Offensive rebound by H. Whiteside,,31-37,,
4:46.0,H. Whiteside makes 2-pt shot from 3 ft,2,33-37,,
4:26.0,,,33-39,2,E. Kanter makes 2-pt shot from 3 ft
4:08.0,D. Wade misses 2-pt shot from 13 ft,,33-39,,
4:07.0,Offensive rebound by Team,,33-39,,
4:07.0,,,33-39,,Loose ball foul by D. Waiters (drawn by D. Wade)
4:07.0,G. Dragic enters the game for M. Chalmers,,33-39,,
3:56.0,D. Wade misses 2-pt shot from 10 ft,,33-39,,
3:55.0,,,33-39,,Defensive rebound by E. Kanter
3:48.0,,,33-41,2,S. Adams makes 2-pt shot at rim (assist by R. Westbrook)
3:26.0,Turnover by H. Walker (offensive foul),,33-41,,
3:26.0,Offensive charge foul by H. Walker,,33-41,,
3:26.0,,,33-41,,A. Morrow enters the game for D. Augustin
3:02.0,,,33-41,,E. Kanter misses 2-pt shot from 1 ft (block by H. Whiteside)
3:00.0,Defensive rebound by L. Deng,,33-41,,
2:52.0,G. Dragic makes 3-pt shot from 25 ft (assist by L. Deng),3,36-41,,
2:48.0,,,36-41,,Oklahoma City full timeout
2:37.0,,,36-41,,R. Westbrook misses 2-pt shot from 16 ft
2:37.0,Defensive rebound by G. Dragic,,36-41,,
2:17.0,H. Walker misses 3-pt shot from 24 ft,,36-41,,
2:16.0,Offensive rebound by Team,,36-41,,
2:16.0,,,36-41,,Personal foul by S. Adams (drawn by H. Whiteside)
2:16.0,Personal foul by H. Whiteside,,36-41,,
2:16.0,C. Andersen enters the game for H. Whiteside,,36-41,,
2:16.0,,,36-41,,S. Novak enters the game for S. Adams
2:16.0,Jump ball: L. Deng vs. E. Kanter (D. Wade gains possession),,,,Jump ball: L. Deng vs. E. Kanter (D. Wade gains possession)
2:03.0,H. Walker misses 2-pt shot from 13 ft,,36-41,,
2:02.0,Offensive rebound by H. Walker,,36-41,,
2:01.0,H. Walker misses 2-pt shot from 6 ft,,36-41,,
2:00.0,,,36-41,,Defensive rebound by S. Novak
1:52.0,,,36-41,,A. Morrow misses 3-pt shot from 24 ft
1:51.0,Defensive rebound by C. Andersen,,36-41,,
1:37.0,D. Wade misses 2-pt shot from 15 ft,,36-41,,
1:36.0,Offensive rebound by G. Dragic,,36-41,,
1:35.0,G. Dragic misses 2-pt shot from 4 ft,,36-41,,
1:34.0,,,36-41,,Defensive rebound by E. Kanter
1:29.0,,,36-41,,Offensive foul by R. Westbrook
1:29.0,,,36-41,,Turnover by R. Westbrook (offensive foul)
1:17.0,D. Wade misses 2-pt shot from 12 ft,,36-41,,
1:16.0,Offensive rebound by C. Andersen,,36-41,,
1:12.0,D. Wade misses 2-pt shot from 7 ft,,36-41,,
1:11.0,,,36-41,,Defensive rebound by D. Waiters
1:03.0,,,36-44,3,S. Novak makes 3-pt shot from 23 ft (assist by D. Waiters)
0:52.0,D. Wade makes 2-pt shot from 6 ft,2,38-44,,
0:43.0,,,38-44,,Turnover by D. Waiters (lost ball; steal by D. Wade)
0:39.0,Turnover by G. Dragic (bad pass; steal by R. Westbrook),,38-44,,
0:35.0,,,38-46,2,D. Waiters makes 2-pt shot at rim (assist by R. Westbrook)
0:18.0,Turnover by L. Deng (lost ball; steal by R. Westbrook),,38-46,,
0:02.0,,,38-46,,R. Westbrook misses 3-pt shot from 24 ft
0:02.0,,,38-46,,Offensive rebound by E. Kanter
0:02.0,,,38-48,2,E. Kanter makes 2-pt shot from 1 ft
0:00.0,H. Walker misses 3-pt shot from 54 ft,,38-48,,
0:00.0,Offensive rebound by Team,,38-48,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,L. Deng makes 2-pt shot from 11 ft,2,40-48,,
11:18.0,,,40-48,,Turnover by Team (shot clock)
11:02.0,L. Deng makes 2-pt shot from 13 ft,2,42-48,,
10:43.0,,,42-48,,E. Kanter misses 2-pt shot from 3 ft (block by H. Whiteside)
10:42.0,,,42-48,,Offensive rebound by S. Adams
10:36.0,,,42-48,,D. Waiters misses 2-pt shot from 1 ft
10:35.0,,,42-48,,Offensive rebound by E. Kanter
10:28.0,,,42-48,,Shooting foul by G. Dragic (drawn by R. Westbrook)
10:28.0,,,42-49,1,R. Westbrook makes free throw 1 of 2
10:28.0,,,42-49,,R. Westbrook misses free throw 2 of 2
10:27.0,,,42-49,,Offensive rebound by S. Adams
10:22.0,,,42-49,,Shooting foul by H. Whiteside (drawn by D. Waiters)
10:22.0,,,42-49,,D. Waiters misses free throw 1 of 2
10:22.0,,,42-49,,Offensive rebound by Team
10:22.0,C. Andersen enters the game for H. Whiteside,,42-49,,
10:22.0,,,42-49,,D. Waiters misses free throw 2 of 2
10:21.0,,,42-49,,Offensive rebound by E. Kanter
10:20.0,,,42-49,,E. Kanter misses 2-pt shot from 1 ft (block by C. Andersen)
10:18.0,Defensive rebound by U. Haslem,,42-49,,
9:58.0,U. Haslem makes 2-pt shot from 16 ft (assist by L. Deng),2,44-49,,
9:48.0,Personal block foul by U. Haslem (drawn by R. Westbrook),,44-49,,
9:38.0,,,44-49,,E. Kanter misses 2-pt shot from 18 ft
9:37.0,Defensive rebound by L. Deng,,44-49,,
9:25.0,Turnover by U. Haslem (bad pass; steal by K. Singler),,44-49,,
9:21.0,,,44-51,2,R. Westbrook makes 2-pt shot at rim (assist by K. Singler)
9:04.0,D. Wade makes 2-pt shot from 11 ft (assist by G. Dragic),2,46-51,,
8:50.0,,,46-53,2,D. Waiters makes 2-pt shot from 17 ft
8:35.0,Turnover by D. Wade (lost ball; steal by R. Westbrook),,46-53,,
8:31.0,,,46-55,2,E. Kanter makes 2-pt shot at rim (assist by R. Westbrook)
8:12.0,U. Haslem makes 2-pt shot from 15 ft (assist by G. Dragic),2,48-55,,
7:49.0,,,48-55,,Offensive charge foul by E. Kanter
7:49.0,,,48-55,,Turnover by E. Kanter (offensive foul)
7:34.0,D. Wade misses 3-pt shot from 22 ft,,48-55,,
7:33.0,,,48-55,,Defensive rebound by Team
7:20.0,,,48-57,2,K. Singler makes 2-pt shot from 1 ft (assist by R. Westbrook)
7:05.0,,,48-57,,Personal foul by R. Westbrook (drawn by C. Andersen)
7:05.0,M. Chalmers enters the game for G. Dragic,,48-57,,
6:54.0,Jump ball: L. Deng vs. E. Kanter (C. Andersen gains possession),,,,Jump ball: L. Deng vs. E. Kanter (C. Andersen gains possession)
6:47.0,M. Chalmers misses 3-pt shot from 25 ft,,48-57,,
6:46.0,,,48-57,,Defensive rebound by S. Adams
6:37.0,,,48-57,,R. Westbrook misses 2-pt shot from 11 ft
6:36.0,Defensive rebound by U. Haslem,,48-57,,
6:19.0,D. Wade misses 2-pt shot from 6 ft,,48-57,,
6:18.0,Offensive rebound by C. Andersen,,48-57,,
6:06.0,M. Chalmers makes 2-pt shot from 1 ft,2,50-57,,
5:51.0,,,50-57,,S. Adams misses 2-pt shot from 4 ft
5:50.0,Defensive rebound by Team,,50-57,,
5:50.0,,,50-57,,Loose ball foul by R. Westbrook (drawn by M. Chalmers)
5:50.0,,,50-57,,Oklahoma City full timeout
5:29.0,Turnover by D. Wade (lost ball),,50-57,,
5:05.0,,,50-59,2,R. Westbrook makes 2-pt shot from 1 ft
4:41.0,Turnover by M. Chalmers (lost ball),,50-59,,
4:27.0,,,50-59,,S. Adams misses 2-pt shot from 9 ft
4:26.0,Defensive rebound by D. Wade,,50-59,,
4:20.0,C. Andersen makes 2-pt shot from 1 ft (assist by D. Wade),2,52-59,,
3:52.0,,,52-59,,R. Westbrook misses 3-pt shot from 25 ft
3:51.0,Defensive rebound by D. Wade,,52-59,,
3:31.0,U. Haslem makes 2-pt shot at rim (assist by C. Andersen),2,54-59,,
3:09.0,,,54-61,2,E. Kanter makes 2-pt shot from 14 ft (assist by D. Waiters)
2:54.0,,,54-61,,Personal block foul by S. Adams (drawn by M. Chalmers)
2:54.0,Miami full timeout,,54-61,,
2:54.0,,,54-61,,A. Morrow enters the game for S. Adams
2:54.0,,,54-61,,M. McGary enters the game for K. Singler
2:54.0,H. Walker enters the game for L. Deng,,54-61,,
2:54.0,G. Dragic enters the game for D. Wade,,54-61,,
2:41.0,M. Chalmers misses 2-pt shot from 17 ft,,54-61,,
2:39.0,,,54-61,,Defensive rebound by R. Westbrook
2:19.0,,,54-61,,D. Waiters misses 2-pt shot from 4 ft
2:18.0,,,54-61,,Offensive rebound by M. McGary
2:16.0,,,54-61,,Turnover by M. McGary (lost ball; steal by U. Haslem)
2:08.0,U. Haslem misses 2-pt shot at rim (block by R. Westbrook),,54-61,,
2:07.0,,,54-61,,Defensive rebound by M. McGary
2:02.0,,,54-61,,E. Kanter misses 2-pt shot from 1 ft
2:00.0,Defensive rebound by H. Walker,,54-61,,
1:47.0,M. Chalmers misses 2-pt shot from 3 ft,,54-61,,
1:46.0,,,54-61,,Defensive rebound by E. Kanter
1:40.0,,,54-61,,Turnover by D. Waiters (bad pass)
1:40.0,,,54-61,,D. Augustin enters the game for D. Waiters
1:29.0,Turnover by C. Andersen (bad pass; steal by E. Kanter),,54-61,,
1:14.0,,,54-63,2,M. McGary makes 2-pt shot from 4 ft (assist by R. Westbrook)
0:55.0,H. Walker misses 3-pt shot from 25 ft,,54-63,,
0:54.0,Offensive rebound by C. Andersen,,54-63,,
0:49.0,M. Chalmers misses 3-pt shot from 24 ft,,54-63,,
0:47.0,Offensive rebound by U. Haslem,,54-63,,
0:42.0,C. Andersen makes 2-pt shot from 3 ft (assist by G. Dragic),2,56-63,,
0:33.0,,,56-66,3,R. Westbrook makes 3-pt shot from 25 ft
0:12.0,M. Chalmers makes 2-pt shot from 1 ft,2,58-66,,
0:02.0,,,58-66,,R. Westbrook misses 2-pt shot from 16 ft
0:00.0,,,58-66,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,,,58-66,,A. Morrow misses 2-pt shot from 11 ft
11:40.0,,,58-66,,Offensive rebound by M. McGary
11:26.0,,,58-66,,M. McGary misses 2-pt shot from 17 ft
11:25.0,,,58-66,,Offensive rebound by D. Augustin
11:20.0,,,58-66,,D. Augustin misses 2-pt shot from 3 ft
11:19.0,Defensive rebound by M. Beasley,,58-66,,
11:12.0,G. Dragic makes 2-pt shot from 4 ft,2,60-66,,
10:53.0,,,60-66,,Shooting foul by H. Walker (drawn by E. Kanter)
10:53.0,,,60-67,1,E. Kanter makes free throw 1 of 2
10:53.0,,,60-68,1,E. Kanter makes free throw 2 of 2
10:41.0,G. Dragic misses 3-pt shot from 24 ft,,60-68,,
10:40.0,,,60-68,,Defensive rebound by M. McGary
10:34.0,,,60-68,,A. Morrow misses 3-pt shot from 24 ft
10:32.0,Defensive rebound by G. Dragic,,60-68,,
10:12.0,H. Whiteside enters the game for C. Andersen,,60-68,,
10:09.0,Turnover by Team (shot clock),,60-68,,
9:52.0,,,60-71,3,A. Morrow makes 3-pt shot from 24 ft (assist by M. McGary)
9:51.0,Miami full timeout,,60-71,,
9:41.0,M. Chalmers misses 2-pt shot from 5 ft (block by D. Augustin),,60-71,,
9:39.0,,,60-71,,Defensive rebound by M. McGary
9:33.0,,,60-71,,Shooting foul by G. Dragic (drawn by M. McGary)
9:33.0,,,60-72,1,M. McGary makes free throw 1 of 2
9:33.0,D. Wade enters the game for H. Walker,,60-72,,
9:33.0,,,60-73,1,M. McGary makes free throw 2 of 2
9:15.0,M. Beasley makes 2-pt shot from 1 ft,2,62-73,,
8:53.0,,,62-73,,A. Morrow misses 3-pt shot from 25 ft
8:52.0,,,62-73,,Offensive rebound by E. Kanter
8:52.0,,,62-75,2,E. Kanter makes 2-pt shot from 1 ft
8:31.0,G. Dragic misses 3-pt shot from 24 ft,,62-75,,
8:30.0,,,62-75,,Defensive rebound by D. Waiters
8:24.0,,,62-75,,E. Kanter misses 2-pt shot at rim
8:23.0,,,62-75,,Offensive rebound by A. Morrow
8:23.0,,,62-77,2,A. Morrow makes 2-pt shot at rim
8:23.0,Miami full timeout,,62-77,,
8:07.0,Shooting foul by D. Waiters (drawn by D. Wade),,62-77,,
8:07.0,D. Wade misses free throw 1 of 2,,62-77,,
8:07.0,Offensive rebound by Team,,62-77,,
8:07.0,D. Wade misses free throw 2 of 2,,62-77,,
8:06.0,,,62-77,,Defensive rebound by Team
7:49.0,Violation by H. Whiteside (def goaltending),,62-77,,
7:49.0,,,62-79,2,D. Waiters makes 2-pt shot at rim (assist by A. Morrow)
7:36.0,M. Beasley misses 2-pt shot from 17 ft,,62-79,,
7:35.0,,,62-79,,Defensive rebound by E. Kanter
7:29.0,Personal foul by H. Whiteside (drawn by D. Augustin),,62-79,,
7:20.0,,,62-79,,D. Waiters misses 2-pt shot from 2 ft (block by M. Beasley)
7:19.0,Defensive rebound by M. Beasley,,62-79,,
7:13.0,M. Chalmers makes 3-pt shot from 24 ft (assist by M. Beasley),3,65-79,,
7:13.0,,,65-79,,Oklahoma City full timeout
7:13.0,,,65-79,,R. Westbrook enters the game for D. Waiters
7:13.0,,,65-79,,S. Adams enters the game for E. Kanter
6:51.0,,,65-81,2,M. McGary makes 2-pt shot from 13 ft (assist by D. Augustin)
6:34.0,D. Wade misses 2-pt shot from 15 ft,,65-81,,
6:33.0,,,65-81,,Defensive rebound by R. Westbrook
6:27.0,,,65-83,2,M. McGary makes 2-pt shot from 1 ft (assist by R. Westbrook)
6:10.0,M. Beasley makes 2-pt shot from 1 ft,2,67-83,,
5:53.0,,,67-83,,Turnover by R. Westbrook (bad pass)
5:34.0,H. Whiteside misses 2-pt shot at rim (block by M. McGary),,67-83,,
5:32.0,,,67-83,,Defensive rebound by R. Westbrook
5:27.0,,,67-85,2,S. Adams makes 2-pt shot at rim (assist by R. Westbrook)
5:13.0,G. Dragic makes 2-pt shot at rim,2,69-85,,
4:57.0,,,69-85,,S. Adams misses 2-pt shot from 3 ft
4:56.0,,,69-85,,Offensive rebound by R. Westbrook
4:54.0,,,69-85,,Turnover by R. Westbrook (lost ball; steal by M. Chalmers)
4:52.0,Shooting foul by D. Augustin (drawn by M. Chalmers),,69-85,,
4:52.0,M. Chalmers makes free throw 1 of 2,1,70-85,,
4:52.0,U. Haslem enters the game for M. Beasley,,70-85,,
4:52.0,M. Chalmers makes free throw 2 of 2,1,71-85,,
4:30.0,,,71-87,2,S. Adams makes 2-pt shot from 3 ft (assist by R. Westbrook)
4:15.0,Turnover by U. Haslem (bad pass; steal by R. Westbrook),,71-87,,
4:12.0,,,71-89,2,M. McGary makes 2-pt shot at rim
3:47.0,D. Wade misses 2-pt shot from 15 ft,,71-89,,
3:46.0,,,71-89,,Defensive rebound by M. McGary
3:32.0,,,71-91,2,S. Adams makes 2-pt shot at rim (assist by R. Westbrook)
