time,Washington,pts.away,score,pts.home,Minnesota
7:10.0,J. Wall misses 2-pt shot at rim,,11-1,,
7:09.0,Offensive rebound by N. Hilario,,11-1,,
7:01.0,,,11-1,,Minnesota full timeout
7:01.0,,,11-1,,A. Payne enters the game for K. Garnett
6:48.0,N. Hilario misses 2-pt shot from 2 ft,,11-1,,
6:47.0,Offensive rebound by M. Gortat,,11-1,,
6:47.0,M. Gortat misses 2-pt shot from 1 ft,,11-1,,
6:45.0,,,11-1,,Defensive rebound by A. Payne
6:34.0,,,11-1,,N. Pekovic misses 2-pt shot from 1 ft
6:33.0,Defensive rebound by M. Gortat,,11-1,,
6:28.0,M. Gortat makes 2-pt shot from 2 ft (assist by J. Wall),2,13-1,,
6:15.0,,,13-1,,Offensive foul by K. Martin
6:15.0,,,13-1,,Turnover by K. Martin (offensive foul)
6:15.0,K. Humphries enters the game for N. Hilario,,13-1,,
6:15.0,,,13-1,,G. Neal enters the game for K. Martin
6:04.0,M. Gortat misses 2-pt shot from 9 ft,,13-1,,
6:03.0,,,13-1,,Defensive rebound by N. Pekovic
5:47.0,,,13-1,,A. Payne misses 3-pt shot from 25 ft
5:46.0,Defensive rebound by M. Gortat,,13-1,,
5:37.0,G. Temple misses 3-pt shot from 22 ft,,13-1,,
5:36.0,,,13-1,,Defensive rebound by R. Rubio
5:27.0,,,13-3,2,N. Pekovic makes 2-pt shot from 1 ft (assist by R. Rubio)
5:09.0,K. Humphries makes 2-pt shot at rim,2,15-3,,
4:51.0,,,15-3,,R. Rubio misses 2-pt shot from 14 ft
4:49.0,Defensive rebound by M. Gortat,,15-3,,
4:37.0,J. Wall misses 2-pt shot from 13 ft,,15-3,,
4:36.0,,,15-3,,Defensive rebound by A. Payne
4:24.0,,,15-3,,R. Rubio misses 3-pt shot from 25 ft
4:23.0,Defensive rebound by K. Humphries,,15-3,,
4:18.0,M. Gortat makes 2-pt shot from 1 ft (assist by J. Wall),2,17-3,,
4:18.0,Shooting foul by N. Pekovic (drawn by M. Gortat),,17-3,,
4:18.0,M. Gortat makes free throw 1 of 1,1,18-3,,
4:09.0,Personal foul by O. Porter (drawn by A. Wiggins),,18-3,,
3:55.0,,,18-3,,Offensive foul by A. Payne
3:55.0,,,18-3,,Turnover by A. Payne (offensive foul)
3:49.0,Offensive foul by O. Porter,,18-3,,
3:49.0,Turnover by O. Porter (offensive foul),,18-3,,
3:49.0,R. Butler enters the game for O. Porter,,18-3,,
3:34.0,,,18-5,2,A. Wiggins makes 2-pt shot at rim
3:18.0,K. Humphries misses 2-pt shot from 1 ft,,18-5,,
3:17.0,,,18-5,,Defensive rebound by N. Pekovic
3:06.0,,,18-5,,A. Wiggins misses 2-pt shot from 18 ft
3:05.0,,,18-5,,Offensive rebound by N. Pekovic
3:02.0,,,18-5,,N. Pekovic misses 2-pt shot from 4 ft
3:01.0,,,18-5,,Offensive rebound by N. Pekovic
3:00.0,,,18-7,2,N. Pekovic makes 2-pt shot from 1 ft
2:50.0,Washington full timeout,,18-7,,
2:50.0,,,18-7,,G. Dieng enters the game for N. Pekovic
2:33.0,J. Wall misses 2-pt shot from 20 ft,,18-7,,
2:32.0,,,18-7,,Defensive rebound by A. Wiggins
2:15.0,,,18-7,,Turnover by A. Payne (traveling)
2:15.0,R. Sessions enters the game for J. Wall,,18-7,,
1:55.0,M. Gortat misses 2-pt shot from 18 ft,,18-7,,
1:54.0,,,18-7,,Defensive rebound by R. Rubio
1:46.0,,,18-9,2,G. Neal makes 2-pt shot from 19 ft
1:32.0,Turnover by R. Butler (lost ball),,18-9,,
1:32.0,K. Seraphin enters the game for M. Gortat,,18-9,,
1:10.0,,,18-9,,Turnover by A. Payne (lost ball)
1:00.0,G. Temple misses 3-pt shot from 24 ft,,18-9,,
1:00.0,,,18-9,,Defensive rebound by A. Payne
0:50.0,,,18-9,,G. Dieng misses 2-pt shot from 13 ft
0:49.0,Defensive rebound by R. Butler,,18-9,,
0:41.0,R. Sessions makes 2-pt shot from 8 ft,2,20-9,,
0:41.0,,,20-9,,Violation by A. Payne (def goaltending)
0:35.0,Personal foul by R. Sessions (drawn by A. Wiggins),,20-9,,
0:35.0,M. Webster enters the game for G. Temple,,20-9,,
0:29.0,,,20-11,2,A. Payne makes 2-pt shot from 2 ft
0:10.0,,,20-11,,Personal foul by R. Rubio (drawn by R. Sessions)
0:10.0,,,20-11,,Z. LaVine enters the game for R. Rubio
0:10.0,J. Wall enters the game for K. Humphries,,20-11,,
0:01.0,J. Wall misses 2-pt shot from 2 ft,,20-11,,
0:00.0,,,20-11,,Defensive rebound by A. Wiggins
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,K. Humphries misses 2-pt shot from 21 ft,,20-11,,
11:43.0,,,20-11,,Defensive rebound by A. Payne
11:33.0,,,20-11,,Z. LaVine misses 2-pt shot from 4 ft (block by K. Seraphin)
11:32.0,,,20-11,,Offensive rebound by Team
11:30.0,,,20-11,,G. Neal misses 2-pt shot from 16 ft
11:29.0,Defensive rebound by R. Butler,,20-11,,
11:19.0,R. Butler misses 3-pt shot from 23 ft,,20-11,,
11:18.0,,,20-11,,Defensive rebound by G. Dieng
11:09.0,,,20-11,,Shooting foul by M. Webster (drawn by G. Neal)
11:09.0,,,20-12,1,G. Neal makes free throw 1 of 2
11:09.0,,,20-12,,K. Martin enters the game for A. Wiggins
11:09.0,,,20-13,1,G. Neal makes free throw 2 of 2
10:55.0,K. Seraphin makes 2-pt shot from 8 ft,2,22-13,,
10:30.0,,,22-13,,Turnover by A. Payne (lost ball; steal by K. Humphries)
10:25.0,,,22-13,,Personal foul by A. Payne (drawn by M. Webster)
10:17.0,R. Butler misses 2-pt shot from 14 ft,,22-13,,
10:16.0,,,22-13,,Defensive rebound by G. Neal
10:11.0,,,22-15,2,K. Martin makes 2-pt shot at rim (assist by G. Neal)
9:58.0,M. Webster makes 3-pt shot from 25 ft (assist by R. Sessions),3,25-15,,
9:40.0,,,25-15,,K. Martin misses 2-pt shot from 11 ft
9:39.0,Defensive rebound by K. Seraphin,,25-15,,
9:32.0,Turnover by R. Sessions (bad pass; steal by G. Dieng),,25-15,,
9:24.0,,,25-18,3,K. Martin makes 3-pt shot from 22 ft (assist by G. Neal)
8:58.0,K. Humphries makes 2-pt shot from 21 ft (assist by R. Butler),2,27-18,,
8:40.0,,,27-18,,A. Payne misses 2-pt shot from 20 ft
8:39.0,Defensive rebound by M. Webster,,27-18,,
8:33.0,M. Webster misses 3-pt shot from 24 ft,,27-18,,
8:31.0,Offensive rebound by K. Seraphin,,27-18,,
8:28.0,K. Seraphin misses 2-pt shot at rim,,27-18,,
8:27.0,Offensive rebound by M. Webster,,27-18,,
8:27.0,M. Webster makes 2-pt shot from 1 ft,2,29-18,,
8:21.0,,,29-18,,Shooting foul by K. Seraphin (drawn by Z. LaVine)
8:21.0,,,29-18,,Minnesota full timeout
8:21.0,,,29-19,1,Z. LaVine makes free throw 1 of 2
8:21.0,,,29-20,1,Z. LaVine makes free throw 2 of 2
8:07.0,Offensive foul by K. Humphries,,29-20,,
8:07.0,Turnover by K. Humphries (offensive foul),,29-20,,
7:47.0,,,29-20,,G. Neal misses 2-pt shot from 16 ft
7:46.0,,,29-20,,Offensive rebound by A. Payne
7:43.0,,,29-22,2,A. Payne makes 2-pt shot at rim
7:29.0,K. Seraphin makes 2-pt shot from 2 ft (assist by R. Sessions),2,31-22,,
7:15.0,,,31-24,2,K. Martin makes 2-pt shot from 5 ft (assist by Z. LaVine)
7:15.0,,,31-24,,Shooting foul by R. Butler (drawn by K. Martin)
7:15.0,G. Temple enters the game for R. Butler,,31-24,,
7:15.0,J. Wall enters the game for R. Sessions,,31-24,,
7:15.0,,,31-24,,N. Pekovic enters the game for A. Payne
7:15.0,,,31-24,,K. Martin misses free throw 1 of 1
7:15.0,Defensive rebound by K. Humphries,,31-24,,
6:58.0,K. Seraphin makes 2-pt shot from 3 ft (assist by G. Temple),2,33-24,,
6:40.0,,,33-27,3,Z. LaVine makes 3-pt shot from 24 ft (assist by N. Pekovic)
6:27.0,Turnover by M. Webster (lost ball; steal by K. Martin),,33-27,,
6:23.0,,,33-29,2,K. Martin makes 2-pt shot at rim
5:56.0,G. Temple misses 3-pt shot from 25 ft,,33-29,,
5:55.0,,,33-29,,Defensive rebound by G. Dieng
5:49.0,,,33-29,,Shooting foul by M. Webster (drawn by K. Martin)
5:49.0,,,33-31,2,K. Martin makes 2-pt shot from 10 ft
5:49.0,,,33-31,,Minnesota full timeout
5:49.0,M. Gortat enters the game for K. Humphries,,33-31,,
5:49.0,O. Porter enters the game for M. Webster,,33-31,,
5:49.0,N. Hilario enters the game for K. Seraphin,,33-31,,
5:49.0,,,33-32,1,K. Martin makes free throw 1 of 1
5:34.0,O. Porter makes 2-pt shot from 17 ft (assist by J. Wall),2,35-32,,
5:16.0,,,35-32,,G. Dieng misses 2-pt shot from 1 ft
5:15.0,,,35-32,,Offensive rebound by G. Dieng
5:13.0,,,35-32,,G. Dieng misses 2-pt shot from 1 ft
5:12.0,Defensive rebound by M. Gortat,,35-32,,
4:54.0,N. Hilario misses 2-pt shot from 15 ft,,35-32,,
4:53.0,,,35-32,,Defensive rebound by G. Neal
4:41.0,,,35-32,,G. Dieng misses 2-pt shot from 19 ft
4:39.0,Defensive rebound by N. Hilario,,35-32,,
4:33.0,,,35-32,,Personal foul by Z. LaVine (drawn by J. Wall)
4:33.0,,,35-32,,K. Garnett enters the game for G. Dieng
4:33.0,,,35-32,,A. Wiggins enters the game for G. Neal
4:33.0,,,35-32,,R. Rubio enters the game for Z. LaVine
4:27.0,M. Gortat makes 2-pt shot from 5 ft,2,37-32,,
4:15.0,,,37-32,,Shooting foul by N. Hilario (drawn by K. Garnett)
4:15.0,,,37-33,1,K. Garnett makes free throw 1 of 2
4:15.0,,,37-33,,K. Garnett misses free throw 2 of 2
4:15.0,Defensive rebound by M. Gortat,,37-33,,
3:56.0,O. Porter misses 2-pt shot from 20 ft,,37-33,,
3:55.0,,,37-33,,Defensive rebound by N. Pekovic
3:44.0,,,37-33,,K. Garnett misses 2-pt shot from 20 ft
3:43.0,,,37-33,,Offensive rebound by N. Pekovic
3:32.0,,,37-35,2,K. Garnett makes 2-pt shot from 17 ft (assist by A. Wiggins)
3:19.0,J. Wall misses 2-pt shot from 18 ft,,37-35,,
3:17.0,Offensive rebound by M. Gortat,,37-35,,
3:08.0,Turnover by N. Hilario (bad pass; steal by R. Rubio),,37-35,,
3:03.0,,,37-35,,R. Rubio misses 2-pt shot at rim
3:02.0,Defensive rebound by G. Temple,,37-35,,
2:55.0,G. Temple makes 3-pt shot from 22 ft (assist by J. Wall),3,40-35,,
2:37.0,,,40-35,,Turnover by R. Rubio (bad pass)
2:37.0,Washington full timeout,,40-35,,
2:37.0,Turnover by N. Hilario (bad pass; steal by K. Martin),,40-35,,
2:34.0,Personal foul by G. Temple (drawn by K. Martin),,40-35,,
2:34.0,,,40-36,1,K. Martin makes free throw 1 of 2
2:34.0,,,40-37,1,K. Martin makes free throw 2 of 2
2:22.0,Turnover by J. Wall (bad pass),,40-37,,
2:02.0,,,40-39,2,K. Martin makes 2-pt shot at rim
1:51.0,M. Webster enters the game for O. Porter,,40-39,,
1:38.0,M. Gortat makes 2-pt shot from 12 ft (assist by J. Wall),2,42-39,,
1:19.0,,,42-41,2,N. Pekovic makes 2-pt shot at rim (assist by R. Rubio)
1:10.0,Turnover by J. Wall (bad pass; steal by R. Rubio),,42-41,,
1:08.0,,,42-41,,Turnover by R. Rubio (bad pass; steal by M. Webster)
0:48.0,N. Hilario misses 2-pt shot from 20 ft,,42-41,,
0:47.0,,,42-41,,Defensive rebound by K. Garnett
0:32.0,Personal foul by M. Gortat (drawn by N. Pekovic),,42-41,,
0:32.0,,,42-42,1,N. Pekovic makes free throw 1 of 2
0:32.0,,,42-42,,G. Neal enters the game for K. Martin
0:32.0,K. Seraphin enters the game for M. Gortat,,42-42,,
0:32.0,D. Gooden enters the game for N. Hilario,,42-42,,
0:32.0,,,42-42,,N. Pekovic misses free throw 2 of 2
0:32.0,Defensive rebound by D. Gooden,,42-42,,
0:16.0,M. Webster misses 3-pt shot from 22 ft,,42-42,,
0:15.0,Offensive rebound by K. Seraphin,,42-42,,
0:01.0,D. Gooden misses 2-pt shot from 21 ft (block by K. Garnett),,42-42,,
0:00.0,,,42-42,,Defensive rebound by G. Neal
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,O. Porter misses 2-pt shot from 18 ft,,42-42,,
11:46.0,,,42-42,,Defensive rebound by K. Garnett
11:34.0,,,42-44,2,A. Wiggins makes 2-pt shot at rim (assist by K. Garnett)
11:14.0,G. Temple makes 2-pt shot from 15 ft,2,44-44,,
10:59.0,,,44-44,,K. Garnett misses 2-pt shot from 18 ft
10:58.0,,,44-44,,Offensive rebound by N. Pekovic
10:48.0,,,44-44,,K. Garnett misses 2-pt shot from 5 ft
10:47.0,Defensive rebound by M. Gortat,,44-44,,
10:36.0,G. Temple makes 2-pt shot at rim (assist by N. Hilario),2,46-44,,
10:22.0,,,46-44,,Shooting foul by G. Temple (drawn by K. Martin)
10:22.0,,,46-45,1,K. Martin makes free throw 1 of 2
10:22.0,,,46-46,1,K. Martin makes free throw 2 of 2
10:07.0,N. Hilario makes 2-pt shot at rim (assist by O. Porter),2,48-46,,
9:59.0,,,48-48,2,R. Rubio makes 2-pt shot from 12 ft
9:44.0,G. Temple misses 3-pt shot from 24 ft,,48-48,,
9:42.0,,,48-48,,Defensive rebound by N. Pekovic
9:32.0,,,48-51,3,K. Martin makes 3-pt shot from 25 ft (assist by K. Garnett)
9:15.0,G. Temple misses 2-pt shot from 13 ft,,48-51,,
9:14.0,,,48-51,,Defensive rebound by K. Garnett
9:02.0,,,48-53,2,K. Garnett makes 2-pt shot at rim (assist by R. Rubio)
8:59.0,Washington full timeout,,48-53,,
8:50.0,,,48-53,,Personal foul by R. Rubio (drawn by J. Wall)
8:41.0,Turnover by N. Hilario (lost ball; steal by N. Pekovic),,48-53,,
8:36.0,,,48-53,,A. Wiggins misses 2-pt shot at rim
8:35.0,Defensive rebound by M. Gortat,,48-53,,
8:29.0,O. Porter misses 3-pt shot from 24 ft,,48-53,,
8:28.0,,,48-53,,Defensive rebound by K. Martin
8:12.0,Personal foul by M. Gortat (drawn by R. Rubio),,48-53,,
8:04.0,,,48-53,,N. Pekovic misses 2-pt shot from 4 ft
8:03.0,Defensive rebound by M. Gortat,,48-53,,
7:54.0,G. Temple misses 2-pt shot from 19 ft,,48-53,,
7:53.0,,,48-53,,Defensive rebound by N. Pekovic
7:44.0,,,48-55,2,N. Pekovic makes 2-pt shot at rim (assist by R. Rubio)
7:24.0,M. Gortat misses 2-pt shot from 7 ft,,48-55,,
7:23.0,,,48-55,,Defensive rebound by R. Rubio
7:15.0,,,48-55,,R. Rubio misses 2-pt shot from 18 ft
7:14.0,,,48-55,,Offensive rebound by N. Pekovic
7:13.0,,,48-55,,Turnover by N. Pekovic (lost ball)
7:13.0,,,48-55,,G. Dieng enters the game for K. Garnett
6:56.0,Turnover by N. Hilario (lost ball; steal by R. Rubio),,48-55,,
6:42.0,,,48-55,,K. Martin misses 2-pt shot from 4 ft
6:41.0,Defensive rebound by M. Gortat,,48-55,,
6:31.0,G. Temple misses 3-pt shot from 22 ft,,48-55,,
6:30.0,,,48-55,,Defensive rebound by R. Rubio
6:24.0,,,48-55,,N. Pekovic misses 2-pt shot from 14 ft
6:24.0,,,48-55,,Offensive rebound by Team
6:24.0,Loose ball foul by O. Porter (drawn by A. Wiggins),,48-55,,
6:24.0,K. Seraphin enters the game for N. Hilario,,48-55,,
6:18.0,,,48-55,,A. Wiggins misses 2-pt shot from 16 ft
6:17.0,,,48-55,,Offensive rebound by Team
6:17.0,Personal foul by M. Gortat (drawn by G. Dieng),,48-55,,
6:17.0,D. Gooden enters the game for M. Gortat,,48-55,,
6:14.0,,,48-55,,Shooting foul by K. Seraphin (drawn by A. Wiggins)
6:14.0,,,48-56,1,A. Wiggins makes free throw 1 of 2
6:14.0,,,48-57,1,A. Wiggins makes free throw 2 of 2
5:59.0,J. Wall makes 2-pt shot from 21 ft (assist by G. Temple),2,50-57,,
5:50.0,Personal foul by J. Wall (drawn by R. Rubio),,50-57,,
5:50.0,,,50-58,1,R. Rubio makes free throw 1 of 2
5:50.0,,,50-58,,G. Neal enters the game for K. Martin
5:50.0,,,50-59,1,R. Rubio makes free throw 2 of 2
5:39.0,J. Wall misses 2-pt shot from 16 ft,,50-59,,
5:38.0,,,50-59,,Defensive rebound by R. Rubio
5:29.0,,,50-61,2,N. Pekovic makes 2-pt shot from 3 ft (assist by R. Rubio)
5:17.0,Turnover by G. Temple (bad pass),,50-61,,
5:17.0,R. Butler enters the game for G. Temple,,50-61,,
4:59.0,,,50-63,2,R. Rubio makes 2-pt shot from 17 ft
4:45.0,R. Butler misses 3-pt shot from 23 ft,,50-63,,
4:44.0,Offensive rebound by D. Gooden,,50-63,,
4:39.0,O. Porter makes 2-pt shot from 1 ft (assist by D. Gooden),2,52-63,,
4:16.0,,,52-65,2,A. Wiggins makes 2-pt shot from 21 ft
4:02.0,O. Porter makes 2-pt shot from 18 ft,2,54-65,,
3:45.0,,,54-67,2,A. Wiggins makes 2-pt shot from 10 ft
3:45.0,,,54-67,,Shooting foul by R. Butler (drawn by A. Wiggins)
3:45.0,,,54-68,1,A. Wiggins makes free throw 1 of 1
3:40.0,Turnover by R. Butler (lost ball),,54-68,,
3:30.0,,,54-68,,Shooting foul by R. Butler (drawn by A. Wiggins)
3:30.0,,,54-69,1,A. Wiggins makes free throw 1 of 2
3:30.0,R. Sessions enters the game for J. Wall,,54-69,,
3:30.0,,,54-70,1,A. Wiggins makes free throw 2 of 2
3:18.0,O. Porter makes 2-pt shot from 21 ft (assist by K. Seraphin),2,56-70,,
3:03.0,,,56-70,,A. Wiggins misses 2-pt shot from 21 ft
3:02.0,Defensive rebound by R. Sessions,,56-70,,
2:46.0,K. Seraphin misses 2-pt shot from 6 ft,,56-70,,
2:45.0,,,56-70,,Defensive rebound by A. Wiggins
2:40.0,Personal foul by K. Seraphin (drawn by N. Pekovic),,56-70,,
2:40.0,,,56-70,,Minnesota full timeout
2:40.0,,,56-70,,Z. LaVine enters the game for R. Rubio
2:40.0,,,56-71,1,N. Pekovic makes free throw 1 of 2
2:40.0,,,56-72,1,N. Pekovic makes free throw 2 of 2
2:22.0,R. Butler misses 3-pt shot from 24 ft,,56-72,,
2:22.0,Offensive rebound by Team,,56-72,,
2:22.0,,,56-72,,Loose ball foul by G. Neal (drawn by O. Porter)
2:12.0,R. Butler misses 3-pt shot from 24 ft,,56-72,,
2:10.0,Offensive rebound by O. Porter,,56-72,,
2:10.0,O. Porter misses 2-pt shot from 1 ft,,56-72,,
2:09.0,,,56-72,,Defensive rebound by Z. LaVine
1:49.0,,,56-72,,N. Pekovic misses 2-pt shot from 6 ft
1:48.0,Defensive rebound by D. Gooden,,56-72,,
1:43.0,R. Sessions misses 2-pt shot from 2 ft,,56-72,,
1:40.0,,,56-72,,Defensive rebound by N. Pekovic
1:38.0,,,56-72,,Turnover by Z. LaVine (offensive foul)
1:38.0,,,56-72,,Offensive charge foul by Z. LaVine
1:27.0,Shooting foul by Z. LaVine (drawn by R. Sessions),,56-72,,
1:27.0,R. Sessions makes free throw 1 of 2,1,57-72,,
1:27.0,R. Sessions makes free throw 2 of 2,1,58-72,,
1:09.0,,,58-72,,Turnover by G. Dieng (traveling)
0:49.0,Turnover by R. Sessions (bad pass; steal by A. Wiggins),,58-72,,
0:47.0,,,58-74,2,A. Wiggins makes 2-pt shot at rim
0:37.0,K. Seraphin makes 2-pt shot from 15 ft,2,60-74,,
0:30.0,,,60-74,,Z. LaVine misses 3-pt shot from 24 ft
0:29.0,,,60-74,,Offensive rebound by G. Dieng
0:04.0,,,60-74,,A. Wiggins misses 3-pt shot from 25 ft
0:02.0,Defensive rebound by Team,,60-74,,
0:00.0,D. Gooden misses 3-pt shot from 58 ft,,60-74,,
0:00.0,Offensive rebound by Team,,60-74,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,,,60-74,,N. Pekovic misses 2-pt shot from 10 ft
11:41.0,Defensive rebound by D. Gooden,,60-74,,
11:27.0,D. Gooden makes 2-pt shot from 14 ft (assist by J. Wall),2,62-74,,
11:08.0,,,62-76,2,G. Dieng makes 2-pt shot from 14 ft
10:45.0,R. Butler makes 2-pt shot from 14 ft,2,64-76,,
10:24.0,,,64-78,2,G. Dieng makes 2-pt shot from 13 ft (assist by Z. LaVine)
10:12.0,R. Butler misses 2-pt shot from 14 ft (block by A. Wiggins),,64-78,,
10:11.0,,,64-78,,Defensive rebound by G. Dieng
9:50.0,,,64-78,,K. Martin enters the game for A. Wiggins
9:50.0,,,64-78,,A. Payne enters the game for N. Pekovic
9:47.0,,,64-80,2,G. Dieng makes 2-pt shot from 1 ft (assist by K. Martin)
9:36.0,,,64-80,,Personal foul by G. Dieng (drawn by N. Hilario)
9:34.0,Turnover by J. Wall (step out of bounds),,64-80,,
9:20.0,,,64-80,,K. Martin misses 3-pt shot from 24 ft
9:19.0,Defensive rebound by J. Wall,,64-80,,
9:09.0,R. Sessions misses 2-pt shot from 6 ft,,64-80,,
9:08.0,,,64-80,,Defensive rebound by A. Payne
8:58.0,,,64-82,2,K. Martin makes 2-pt shot from 7 ft
8:35.0,D. Gooden misses 2-pt shot from 21 ft,,64-82,,
8:34.0,,,64-82,,Defensive rebound by G. Neal
8:26.0,,,64-82,,Turnover by A. Payne (traveling)
8:26.0,Washington full timeout,,64-82,,
8:26.0,M. Gortat enters the game for D. Gooden,,64-82,,
8:01.0,R. Butler misses 2-pt shot from 15 ft,,64-82,,
8:00.0,,,64-82,,Defensive rebound by Z. LaVine
7:47.0,,,64-82,,A. Payne misses 3-pt shot from 22 ft
7:45.0,Defensive rebound by R. Butler,,64-82,,
7:38.0,J. Wall misses 2-pt shot from 15 ft,,64-82,,
7:37.0,,,64-82,,Defensive rebound by A. Payne
7:25.0,,,64-82,,G. Neal misses 3-pt shot from 24 ft
7:24.0,Defensive rebound by J. Wall,,64-82,,
7:19.0,R. Sessions misses 2-pt shot from 1 ft,,64-82,,
7:17.0,,,64-82,,Defensive rebound by G. Dieng
6:54.0,,,64-82,,Z. LaVine misses 2-pt shot from 21 ft
6:52.0,Defensive rebound by Team,,64-82,,
6:52.0,M. Webster enters the game for R. Butler,,64-82,,
6:39.0,N. Hilario makes 2-pt shot at rim,2,66-82,,
6:17.0,,,66-82,,Turnover by G. Dieng (traveling)
6:17.0,,,66-82,,R. Rubio enters the game for Z. LaVine
6:09.0,N. Hilario makes 2-pt shot at rim (assist by J. Wall),2,68-82,,
6:08.0,,,68-82,,Minnesota full timeout
6:08.0,,,68-82,,N. Pekovic enters the game for A. Payne
6:08.0,,,68-82,,A. Wiggins enters the game for G. Neal
6:08.0,,,68-82,,K. Garnett enters the game for G. Dieng
5:48.0,,,68-84,2,N. Pekovic makes 2-pt shot from 2 ft (assist by R. Rubio)
5:32.0,,,68-84,,Personal foul by K. Garnett (drawn by N. Hilario)
5:18.0,N. Hilario makes 2-pt shot from 15 ft (assist by J. Wall),2,70-84,,
5:07.0,Personal foul by R. Sessions (drawn by R. Rubio),,70-84,,
5:07.0,O. Porter enters the game for R. Sessions,,70-84,,
5:02.0,,,70-84,,Shooting foul by M. Gortat (drawn by A. Wiggins)
5:02.0,,,70-85,1,A. Wiggins makes free throw 1 of 2
5:02.0,,,70-85,,A. Wiggins misses free throw 2 of 2
5:02.0,Defensive rebound by M. Gortat,,70-85,,
4:50.0,M. Webster misses 2-pt shot from 21 ft,,70-85,,
4:49.0,,,70-85,,Defensive rebound by K. Garnett
4:39.0,,,70-85,,R. Rubio misses 2-pt shot from 19 ft
4:37.0,Defensive rebound by N. Hilario,,70-85,,
4:22.0,N. Hilario makes 2-pt shot from 2 ft,2,72-85,,
4:22.0,Shooting foul by R. Rubio (drawn by N. Hilario),,72-85,,
4:22.0,N. Hilario misses free throw 1 of 1,,72-85,,
4:22.0,,,72-85,,Defensive rebound by K. Garnett
