time,Dallas,pts.away,score,pts.home,Philadelphia
8:15.0,,,4-6,,Offensive charge foul by L. Mbah a Moute
8:15.0,,,4-6,,Turnover by L. Mbah a Moute (offensive foul)
8:05.0,Shooting foul by N. Noel (drawn by M. Ellis),,4-6,,
8:05.0,M. Ellis makes free throw 1 of 2,1,5-6,,
8:05.0,M. Ellis makes free throw 2 of 2,1,6-6,,
7:52.0,,,6-6,,M. Carter-Williams misses 2-pt shot from 5 ft (block by D. Harris)
7:52.0,,,6-6,,Offensive rebound by Team
7:47.0,,,6-6,,M. Carter-Williams misses 2-pt shot from 3 ft
7:45.0,Defensive rebound by A. Aminu,,6-6,,
7:38.0,D. Harris makes 3-pt shot from 25 ft (assist by C. Parsons),3,9-6,,
7:32.0,,,9-9,3,H. Thompson makes 3-pt shot from 26 ft (assist by M. Carter-Williams)
7:07.0,C. Parsons makes 2-pt shot from 18 ft (assist by A. Aminu),2,11-9,,
7:01.0,,,11-9,,Turnover by H. Thompson (bad pass)
7:01.0,,,11-9,,K. McDaniels enters the game for M. Carter-Williams
7:01.0,,,11-9,,A. Shved enters the game for L. Mbah a Moute
6:46.0,A. Aminu misses 2-pt shot from 19 ft,,11-9,,
6:44.0,,,11-9,,Defensive rebound by K. McDaniels
6:32.0,,,11-9,,Turnover by K. McDaniels (bad pass)
6:23.0,T. Chandler misses 2-pt shot at rim,,11-9,,
6:20.0,Offensive rebound by D. Harris,,11-9,,
6:14.0,B. Wright enters the game for D. Harris,,11-9,,
6:14.0,R. Jefferson enters the game for T. Chandler,,11-9,,
6:14.0,J. Barea enters the game for A. Aminu,,11-9,,
6:09.0,M. Ellis misses 3-pt shot from 25 ft,,11-9,,
6:08.0,,,11-9,,Defensive rebound by A. Shved
6:04.0,,,11-11,2,N. Noel makes 2-pt shot at rim (assist by A. Shved)
5:46.0,R. Jefferson misses 3-pt shot from 25 ft,,11-11,,
5:44.0,Offensive rebound by C. Parsons,,11-11,,
5:44.0,C. Parsons misses 2-pt shot from 2 ft,,11-11,,
5:41.0,,,11-11,,Defensive rebound by K. McDaniels
5:32.0,,,11-11,,H. Thompson misses 2-pt shot from 7 ft
5:30.0,Defensive rebound by C. Parsons,,11-11,,
5:25.0,J. Barea makes 2-pt shot from 20 ft (assist by C. Parsons),2,13-11,,
5:22.0,,,13-11,,Philadelphia full timeout
5:01.0,,,13-13,2,N. Noel makes 2-pt shot from 6 ft (assist by H. Thompson)
4:44.0,B. Wright makes 2-pt shot from 2 ft (assist by C. Parsons),2,15-13,,
4:44.0,Shooting foul by K. McDaniels (drawn by B. Wright),,15-13,,
4:44.0,,,15-13,,B. Davies enters the game for H. Sims
4:44.0,B. Wright misses free throw 1 of 1,,15-13,,
4:42.0,Offensive rebound by R. Jefferson,,15-13,,
4:38.0,J. Barea misses 3-pt shot from 26 ft,,15-13,,
4:37.0,,,15-13,,Defensive rebound by A. Shved
4:32.0,,,15-13,,Turnover by A. Shved (lost ball; steal by J. Barea)
4:26.0,C. Parsons makes 2-pt shot at rim (assist by J. Barea),2,17-13,,
4:13.0,,,17-13,,K. McDaniels misses 3-pt shot from 26 ft
4:11.0,,,17-13,,Offensive rebound by Team
4:11.0,,,17-13,,M. Carter-Williams enters the game for H. Thompson
4:11.0,C. Villanueva enters the game for C. Parsons,,17-13,,
4:08.0,,,17-13,,A. Shved misses 2-pt shot from 1 ft
4:08.0,,,17-13,,Offensive rebound by K. McDaniels
4:08.0,,,17-13,,K. McDaniels misses 2-pt shot from 2 ft
4:04.0,Defensive rebound by M. Ellis,,17-13,,
3:50.0,C. Villanueva makes 3-pt shot from 26 ft (assist by R. Jefferson),3,20-13,,
3:33.0,,,20-15,2,N. Noel makes 2-pt shot from 5 ft (assist by M. Carter-Williams)
3:14.0,R. Jefferson makes 2-pt shot from 23 ft,2,22-15,,
3:05.0,,,22-17,2,K. McDaniels makes 2-pt shot from 3 ft (assist by M. Carter-Williams)
2:51.0,C. Villanueva makes 3-pt shot from 25 ft (assist by R. Jefferson),3,25-17,,
2:38.0,,,25-17,,B. Davies misses 2-pt shot from 2 ft
2:37.0,,,25-17,,Offensive rebound by K. McDaniels
2:37.0,,,25-19,2,K. McDaniels makes 2-pt shot at rim
2:37.0,Dallas full timeout,,25-19,,
2:37.0,,,25-19,,J. Grant enters the game for N. Noel
2:18.0,C. Villanueva misses 3-pt shot from 24 ft,,25-19,,
2:16.0,,,25-19,,Defensive rebound by M. Carter-Williams
2:10.0,Personal foul by M. Ellis (drawn by M. Carter-Williams),,25-19,,
2:10.0,J. Crowder enters the game for M. Ellis,,25-19,,
1:58.0,,,25-22,3,K. McDaniels makes 3-pt shot from 25 ft (assist by M. Carter-Williams)
1:47.0,Turnover by J. Barea (bad pass; steal by K. McDaniels),,25-22,,
1:45.0,Personal foul by R. Jefferson (drawn by J. Grant),,25-22,,
1:45.0,,,25-22,,L. Mbah a Moute enters the game for A. Shved
1:36.0,,,25-22,,B. Davies misses 2-pt shot from 3 ft (block by B. Wright)
1:33.0,Defensive rebound by J. Barea,,25-22,,
1:18.0,J. Crowder misses 2-pt shot from 20 ft,,25-22,,
1:16.0,,,25-22,,Defensive rebound by M. Carter-Williams
1:10.0,,,25-22,,M. Carter-Williams misses 2-pt shot from 13 ft (block by B. Wright)
1:06.0,Defensive rebound by J. Barea,,25-22,,
1:03.0,Shooting foul by B. Davies (drawn by R. Jefferson),,25-22,,
1:03.0,R. Jefferson makes free throw 1 of 2,1,26-22,,
1:03.0,R. Jefferson misses free throw 2 of 2,,26-22,,
1:02.0,,,26-22,,Defensive rebound by B. Davies
0:55.0,,,26-22,,Shooting foul by C. Villanueva (drawn by M. Carter-Williams)
0:55.0,,,26-23,1,M. Carter-Williams makes free throw 1 of 2
0:55.0,,,26-24,1,M. Carter-Williams makes free throw 2 of 2
0:42.0,Turnover by C. Villanueva (bad pass; steal by L. Mbah a Moute),,26-24,,
0:38.0,,,26-24,,Turnover by K. McDaniels (bad pass; steal by J. Crowder)
0:31.0,J. Barea makes 2-pt shot from 2 ft,2,28-24,,
0:27.0,,,28-24,,Shooting foul by J. Crowder (drawn by M. Carter-Williams)
0:27.0,,,28-25,1,M. Carter-Williams makes free throw 1 of 2
0:27.0,,,28-25,,J. Sampson enters the game for B. Davies
0:27.0,,,28-26,1,M. Carter-Williams makes free throw 2 of 2
0:03.0,J. Barea misses 2-pt shot from 18 ft (block by J. Grant),,28-26,,
0:02.0,,,28-26,,Defensive rebound by J. Grant
0:00.0,,,28-26,,M. Carter-Williams misses 3-pt shot from 26 ft
0:00.0,,,28-26,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,C. Villanueva makes 2-pt shot from 4 ft (assist by T. Chandler),2,30-26,,
11:31.0,,,30-26,,L. Mbah a Moute misses 2-pt shot from 21 ft
11:30.0,Defensive rebound by T. Chandler,,30-26,,
11:23.0,D. Harris misses 2-pt shot from 1 ft (block by K. McDaniels),,30-26,,
11:21.0,Offensive rebound by T. Chandler,,30-26,,
11:20.0,T. Chandler makes 2-pt shot from 1 ft,2,32-26,,
11:05.0,,,32-26,,K. McDaniels misses 2-pt shot from 11 ft
11:04.0,Defensive rebound by C. Villanueva,,32-26,,
10:56.0,Turnover by D. Harris (bad pass),,32-26,,
10:56.0,,,32-26,,H. Thompson enters the game for K. McDaniels
10:42.0,,,32-26,,Turnover by M. Carter-Williams (bad pass; steal by T. Chandler)
10:34.0,C. Villanueva makes 3-pt shot from 24 ft (assist by J. Crowder),3,35-26,,
10:15.0,,,35-26,,Shooting foul by T. Chandler (drawn by H. Sims)
10:15.0,,,35-27,1,H. Sims makes free throw 1 of 2
10:15.0,,,35-27,,N. Noel enters the game for B. Davies
10:15.0,,,35-28,1,H. Sims makes free throw 2 of 2
10:02.0,C. Villanueva misses 2-pt shot from 19 ft,,35-28,,
10:00.0,,,35-28,,Defensive rebound by H. Thompson
9:48.0,Personal foul by C. Villanueva (drawn by N. Noel),,35-28,,
9:48.0,C. Parsons enters the game for C. Villanueva,,35-28,,
9:41.0,,,35-30,2,M. Carter-Williams makes 2-pt shot from 2 ft
9:31.0,,,35-30,,Def 3 sec tech foul by H. Thompson
9:31.0,D. Harris misses technical free throw,,35-30,,
9:31.0,Offensive rebound by Team,,35-30,,
9:23.0,A. Aminu misses 3-pt shot from 24 ft,,35-30,,
9:21.0,,,35-30,,Defensive rebound by H. Thompson
9:15.0,,,35-30,,Turnover by L. Mbah a Moute (step out of bounds)
9:01.0,J. Crowder misses 3-pt shot from 24 ft,,35-30,,
8:58.0,,,35-30,,Defensive rebound by M. Carter-Williams
8:53.0,,,35-30,,Turnover by M. Carter-Williams (bad pass; steal by A. Aminu)
8:46.0,C. Parsons misses 2-pt shot at rim,,35-30,,
8:44.0,Offensive rebound by J. Crowder,,35-30,,
8:41.0,D. Harris misses 3-pt shot from 25 ft,,35-30,,
8:41.0,Offensive rebound by Team,,35-30,,
8:41.0,Official timeout,,35-30,,
8:41.0,M. Ellis enters the game for A. Aminu,,35-30,,
8:41.0,B. Wright enters the game for J. Crowder,,35-30,,
8:24.0,Turnover by C. Parsons (lost ball; steal by L. Mbah a Moute),,35-30,,
7:59.0,,,35-30,,H. Thompson misses 3-pt shot from 26 ft
7:57.0,Defensive rebound by B. Wright,,35-30,,
7:54.0,D. Harris makes 2-pt shot from 1 ft (assist by M. Ellis),2,37-30,,
7:31.0,,,37-30,,N. Noel misses 2-pt shot from 1 ft
7:29.0,,,37-30,,Offensive rebound by M. Carter-Williams
7:28.0,,,37-30,,M. Carter-Williams misses 2-pt shot from 1 ft (block by B. Wright)
7:26.0,Defensive rebound by C. Parsons,,37-30,,
7:05.0,M. Ellis misses 2-pt shot from 18 ft,,37-30,,
7:04.0,,,37-30,,Defensive rebound by H. Sims
6:45.0,,,37-32,2,L. Mbah a Moute makes 2-pt shot from 19 ft (assist by H. Sims)
6:36.0,C. Parsons makes 2-pt shot from 2 ft (assist by M. Ellis),2,39-32,,
6:24.0,,,39-32,,M. Carter-Williams misses 3-pt shot from 24 ft
6:22.0,Defensive rebound by C. Parsons,,39-32,,
6:12.0,B. Wright makes 2-pt shot at rim (assist by C. Parsons),2,41-32,,
6:11.0,,,41-32,,Philadelphia full timeout
6:11.0,J. Barea enters the game for T. Chandler,,41-32,,
6:11.0,R. Jefferson enters the game for D. Harris,,41-32,,
6:11.0,,,41-32,,A. Shved enters the game for L. Mbah a Moute
6:11.0,,,41-32,,K. McDaniels enters the game for M. Carter-Williams
5:57.0,,,41-32,,Turnover by K. McDaniels (lost ball; steal by M. Ellis)
5:55.0,Shooting foul by H. Sims (drawn by R. Jefferson),,41-32,,
5:55.0,,,41-32,,Technical foul by H. Sims (drawn by R. Jefferson)
5:55.0,M. Ellis misses technical free throw,,41-32,,
5:55.0,Offensive rebound by Team,,41-32,,
5:55.0,R. Jefferson misses free throw 1 of 2,,41-32,,
5:55.0,Offensive rebound by Team,,41-32,,
5:55.0,,,41-32,,Violation by A. Shved (lane)
5:55.0,R. Jefferson makes free throw 2 of 2,1,42-32,,
5:39.0,,,42-34,2,A. Shved makes 2-pt shot from 18 ft
5:22.0,C. Parsons makes 2-pt shot from 5 ft (assist by B. Wright),2,44-34,,
5:07.0,,,44-36,2,K. McDaniels makes 2-pt shot at rim (assist by A. Shved)
4:55.0,,,44-36,,Personal foul by H. Thompson (drawn by C. Parsons)
4:55.0,,,44-36,,B. Davies enters the game for H. Sims
4:55.0,,,44-36,,R. Covington enters the game for H. Thompson
4:43.0,B. Wright makes 2-pt shot from 1 ft (assist by J. Barea),2,46-36,,
4:30.0,,,46-38,2,K. McDaniels makes 2-pt shot from 5 ft (assist by R. Covington)
4:30.0,,,46-38,,Shooting foul by M. Ellis (drawn by K. McDaniels)
4:30.0,,,46-39,1,K. McDaniels makes free throw 1 of 1
4:26.0,Dallas full timeout,,46-39,,
4:26.0,T. Chandler enters the game for R. Jefferson,,46-39,,
4:26.0,A. Aminu enters the game for B. Wright,,46-39,,
4:18.0,Turnover by M. Ellis (lost ball; steal by N. Noel),,46-39,,
4:13.0,,,46-39,,Shooting foul by C. Parsons (drawn by A. Shved)
4:13.0,,,46-40,1,A. Shved makes free throw 1 of 2
4:13.0,,,46-40,,A. Shved misses free throw 2 of 2
4:12.0,Defensive rebound by T. Chandler,,46-40,,
4:11.0,,,46-40,,Personal foul by B. Davies (drawn by T. Chandler)
3:55.0,C. Parsons misses 2-pt shot from 5 ft,,46-40,,
3:53.0,Offensive rebound by T. Chandler,,46-40,,
3:43.0,J. Barea misses 2-pt shot from 1 ft (block by K. McDaniels),,46-40,,
3:41.0,Offensive rebound by J. Barea,,46-40,,
3:39.0,C. Parsons misses 3-pt shot from 26 ft,,46-40,,
3:38.0,,,46-40,,Defensive rebound by K. McDaniels
3:34.0,,,46-40,,Turnover by K. McDaniels (bad pass; steal by M. Ellis)
3:21.0,T. Chandler makes 2-pt shot at rim (assist by J. Barea),2,48-40,,
3:21.0,Shooting foul by B. Davies (drawn by T. Chandler),,48-40,,
3:21.0,T. Chandler makes free throw 1 of 1,1,49-40,,
3:07.0,,,49-43,3,A. Shved makes 3-pt shot from 25 ft
2:55.0,C. Parsons makes 3-pt shot from 26 ft (assist by M. Ellis),3,52-43,,
2:41.0,,,52-43,,N. Noel misses 2-pt shot from 18 ft
2:39.0,Defensive rebound by T. Chandler,,52-43,,
2:30.0,C. Parsons misses 3-pt shot from 25 ft,,52-43,,
2:29.0,,,52-43,,Defensive rebound by N. Noel
2:25.0,,,52-43,,M. Carter-Williams enters the game for B. Davies
2:25.0,D. Harris enters the game for J. Barea,,52-43,,
2:25.0,R. Jefferson enters the game for C. Parsons,,52-43,,
2:21.0,,,52-43,,Shooting foul by A. Aminu (drawn by R. Covington)
2:21.0,,,52-44,1,R. Covington makes free throw 1 of 2
2:21.0,,,52-45,1,R. Covington makes free throw 2 of 2
2:06.0,Turnover by T. Chandler (3 sec),,52-45,,
1:51.0,,,52-47,2,K. McDaniels makes 2-pt shot from 1 ft (assist by M. Carter-Williams)
1:44.0,Dallas full timeout,,52-47,,
1:44.0,C. Parsons enters the game for R. Jefferson,,52-47,,
1:24.0,D. Harris misses 3-pt shot from 25 ft,,52-47,,
1:22.0,,,52-47,,Defensive rebound by Team
1:11.0,Personal foul by D. Harris (drawn by M. Carter-Williams),,52-47,,
1:11.0,,,52-48,1,M. Carter-Williams makes free throw 1 of 2
1:11.0,,,52-49,1,M. Carter-Williams makes free throw 2 of 2
1:01.0,M. Ellis misses 2-pt shot from 3 ft,,52-49,,
1:00.0,Offensive rebound by T. Chandler,,52-49,,
1:00.0,T. Chandler makes 2-pt shot at rim,2,54-49,,
0:53.0,,,54-49,,A. Shved misses 2-pt shot from 17 ft
0:51.0,Defensive rebound by A. Aminu,,54-49,,
0:48.0,Shooting foul by M. Carter-Williams (drawn by D. Harris),,54-49,,
0:48.0,D. Harris makes free throw 1 of 2,1,55-49,,
0:48.0,D. Harris makes free throw 2 of 2,1,56-49,,
0:48.0,,,56-49,,Philadelphia full timeout
0:48.0,J. Crowder enters the game for M. Ellis,,56-49,,
0:38.0,,,56-51,2,R. Covington makes 2-pt shot from 2 ft (assist by M. Carter-Williams)
0:19.0,A. Aminu misses 3-pt shot from 22 ft,,56-51,,
0:15.0,Offensive rebound by T. Chandler,,56-51,,
0:14.0,A. Aminu makes 2-pt shot from 1 ft (assist by T. Chandler),2,58-51,,
0:00.0,,,58-51,,M. Carter-Williams misses 3-pt shot from 24 ft
0:00.0,Defensive rebound by C. Parsons,,58-51,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,,,58-51,,Personal foul by L. Mbah a Moute (drawn by M. Ellis)
11:37.0,T. Chandler makes 2-pt shot at rim (assist by C. Parsons),2,60-51,,
11:30.0,,,60-51,,Shooting foul by D. Harris (drawn by M. Carter-Williams)
11:30.0,,,60-52,1,M. Carter-Williams makes free throw 1 of 2
11:30.0,,,60-52,,M. Carter-Williams misses free throw 2 of 2
11:29.0,Defensive rebound by C. Parsons,,60-52,,
11:11.0,Shooting foul by N. Noel (drawn by A. Aminu),,60-52,,
11:11.0,A. Aminu makes free throw 1 of 2,1,61-52,,
11:11.0,A. Aminu makes free throw 2 of 2,1,62-52,,
11:00.0,,,62-54,2,H. Sims makes 2-pt shot from 14 ft (assist by M. Carter-Williams)
10:40.0,C. Parsons misses 3-pt shot from 25 ft,,62-54,,
10:38.0,Offensive rebound by M. Ellis,,62-54,,
10:23.0,A. Aminu misses 3-pt shot from 24 ft,,62-54,,
10:21.0,,,62-54,,Defensive rebound by N. Noel
10:12.0,,,62-54,,Turnover by H. Sims (traveling)
9:59.0,T. Chandler misses 2-pt shot from 17 ft,,62-54,,
9:57.0,,,62-54,,Defensive rebound by M. Carter-Williams
9:46.0,,,62-54,,L. Mbah a Moute misses 2-pt shot from 15 ft
9:44.0,Defensive rebound by T. Chandler,,62-54,,
9:41.0,D. Harris makes 2-pt shot from 1 ft (assist by T. Chandler),2,64-54,,
9:35.0,,,64-56,2,H. Sims makes 2-pt shot from 3 ft (assist by M. Carter-Williams)
9:17.0,A. Aminu makes 2-pt shot at rim (assist by C. Parsons),2,66-56,,
9:08.0,,,66-56,,Turnover by H. Sims (traveling)
8:53.0,C. Parsons misses 3-pt shot from 26 ft,,66-56,,
8:51.0,,,66-56,,Defensive rebound by N. Noel
8:45.0,,,66-59,3,H. Thompson makes 3-pt shot from 26 ft (assist by M. Carter-Williams)
8:33.0,Turnover by D. Harris (bad pass; steal by H. Sims),,66-59,,
8:27.0,,,66-61,2,L. Mbah a Moute makes 2-pt shot from 16 ft (assist by M. Carter-Williams)
8:27.0,Dallas full timeout,,66-61,,
8:27.0,,,66-61,,B. Davies enters the game for H. Sims
8:27.0,,,66-61,,K. McDaniels enters the game for L. Mbah a Moute
8:09.0,C. Parsons misses 2-pt shot from 13 ft,,66-61,,
8:09.0,Offensive rebound by Team,,66-61,,
8:09.0,,,66-61,,Loose ball foul by B. Davies (drawn by T. Chandler)
8:00.0,D. Harris misses 2-pt shot from 11 ft,,66-61,,
7:59.0,Offensive rebound by T. Chandler,,66-61,,
7:59.0,Shooting foul by M. Carter-Williams (drawn by T. Chandler),,66-61,,
7:59.0,T. Chandler makes free throw 1 of 2,1,67-61,,
7:59.0,,,67-61,,R. Covington enters the game for B. Davies
7:59.0,T. Chandler makes free throw 2 of 2,1,68-61,,
7:47.0,,,68-63,2,N. Noel makes 2-pt shot from 14 ft (assist by M. Carter-Williams)
7:33.0,M. Ellis misses 2-pt shot from 3 ft,,68-63,,
7:32.0,,,68-63,,Defensive rebound by N. Noel
7:27.0,,,68-63,,R. Covington misses 3-pt shot from 25 ft
7:25.0,Defensive rebound by D. Harris,,68-63,,
7:18.0,M. Ellis misses 3-pt shot from 26 ft,,68-63,,
7:17.0,,,68-63,,Defensive rebound by M. Carter-Williams
7:10.0,,,68-63,,R. Covington misses 3-pt shot from 25 ft
7:09.0,Defensive rebound by M. Ellis,,68-63,,
6:58.0,M. Ellis misses 2-pt shot from 18 ft,,68-63,,
6:56.0,Offensive rebound by Team,,68-63,,
6:56.0,,,68-63,,Loose ball foul by R. Covington (drawn by T. Chandler)
6:56.0,T. Chandler misses free throw 1 of 2,,68-63,,
6:56.0,Offensive rebound by Team,,68-63,,
6:56.0,R. Jefferson enters the game for A. Aminu,,68-63,,
6:56.0,T. Chandler makes free throw 2 of 2,1,69-63,,
6:48.0,,,69-63,,H. Thompson misses 3-pt shot from 24 ft
6:46.0,Defensive rebound by M. Ellis,,69-63,,
6:38.0,M. Ellis makes 2-pt shot from 3 ft (assist by D. Harris),2,71-63,,
6:28.0,,,71-65,2,N. Noel makes 2-pt shot from 15 ft (assist by M. Carter-Williams)
6:13.0,Shooting foul by M. Carter-Williams (drawn by M. Ellis),,71-65,,
6:13.0,M. Ellis makes free throw 1 of 2,1,72-65,,
6:13.0,,,72-65,,A. Shved enters the game for H. Thompson
6:13.0,B. Wright enters the game for D. Harris,,72-65,,
6:13.0,J. Barea enters the game for T. Chandler,,72-65,,
6:13.0,M. Ellis makes free throw 2 of 2,1,73-65,,
5:56.0,,,73-65,,Shooting foul by B. Wright (drawn by K. McDaniels)
5:56.0,,,73-66,1,K. McDaniels makes free throw 1 of 2
5:56.0,,,73-67,1,K. McDaniels makes free throw 2 of 2
5:42.0,Shooting foul by K. McDaniels (drawn by R. Jefferson),,73-67,,
5:42.0,R. Jefferson misses free throw 1 of 2,,73-67,,
5:42.0,Offensive rebound by Team,,73-67,,
5:42.0,R. Jefferson makes free throw 2 of 2,1,74-67,,
5:30.0,,,74-70,3,A. Shved makes 3-pt shot from 22 ft (assist by K. McDaniels)
5:14.0,Shooting foul by A. Shved (drawn by M. Ellis),,74-70,,
5:14.0,M. Ellis makes free throw 1 of 2,1,75-70,,
5:14.0,,,75-70,,H. Sims enters the game for N. Noel
5:14.0,J. Crowder enters the game for C. Parsons,,75-70,,
5:14.0,M. Ellis makes free throw 2 of 2,1,76-70,,
5:02.0,,,76-70,,M. Carter-Williams misses 2-pt shot from 1 ft (block by B. Wright)
4:59.0,,,76-70,,Offensive rebound by H. Sims
4:59.0,,,76-72,2,H. Sims makes 2-pt shot from 1 ft
4:47.0,M. Ellis makes 2-pt shot from 17 ft,2,78-72,,
4:30.0,,,78-72,,R. Covington misses 2-pt shot from 4 ft
4:27.0,,,78-72,,Offensive rebound by R. Covington
4:27.0,,,78-72,,R. Covington misses 2-pt shot from 4 ft
4:26.0,,,78-72,,Offensive rebound by K. McDaniels
4:26.0,,,78-72,,K. McDaniels misses 2-pt shot from 1 ft
4:25.0,,,78-72,,Offensive rebound by K. McDaniels
4:25.0,,,78-72,,K. McDaniels misses 2-pt shot from 2 ft
4:24.0,,,78-72,,Offensive rebound by K. McDaniels
4:24.0,,,78-72,,K. McDaniels misses 2-pt shot from 2 ft
4:22.0,,,78-72,,Offensive rebound by K. McDaniels
4:22.0,,,78-74,2,K. McDaniels makes 2-pt shot from 1 ft
4:15.0,Turnover by M. Ellis (bad pass; steal by A. Shved),,78-74,,
4:10.0,,,78-76,2,A. Shved makes 2-pt shot at rim
4:09.0,,,78-76,,L. Mbah a Moute enters the game for M. Carter-Williams
4:09.0,Dallas full timeout,,78-76,,
3:57.0,M. Ellis makes 2-pt shot from 15 ft,2,80-76,,
3:44.0,,,80-76,,Shooting foul by J. Barea (drawn by A. Shved)
3:44.0,,,80-77,1,A. Shved makes free throw 1 of 2
3:44.0,,,80-77,,A. Shved misses free throw 2 of 2
3:44.0,,,80-77,,Offensive rebound by Team
3:44.0,Loose ball foul by B. Wright (drawn by H. Sims),,80-77,,
3:33.0,,,80-79,2,L. Mbah a Moute makes 2-pt shot from 5 ft (assist by A. Shved)
3:33.0,Violation by B. Wright (def goaltending),,80-79,,
3:12.0,R. Jefferson misses 2-pt shot from 1 ft,,80-79,,
3:11.0,,,80-79,,Defensive rebound by L. Mbah a Moute
3:04.0,,,80-79,,Turnover by A. Shved (bad pass; steal by B. Wright)
3:01.0,Turnover by B. Wright (lost ball; steal by A. Shved),,80-79,,
3:01.0,,,80-79,,Shooting foul by B. Wright (drawn by A. Shved)
3:01.0,,,80-80,1,A. Shved makes free throw 1 of 2
3:01.0,T. Chandler enters the game for B. Wright,,80-80,,
3:01.0,C. Parsons enters the game for J. Crowder,,80-80,,
3:01.0,,,80-81,1,A. Shved makes free throw 2 of 2
2:46.0,R. Jefferson makes 2-pt shot from 4 ft,2,82-81,,
2:29.0,,,82-81,,H. Sims misses 2-pt shot from 2 ft
2:27.0,,,82-81,,Offensive rebound by H. Sims
2:27.0,,,82-83,2,H. Sims makes 2-pt shot from 2 ft
2:09.0,T. Chandler makes 2-pt shot from 2 ft (assist by M. Ellis),2,84-83,,
1:51.0,,,84-85,2,H. Sims makes 2-pt shot from 2 ft (assist by A. Shved)
1:41.0,,,84-85,,Personal foul by A. Shved (drawn by J. Barea)
1:41.0,,,84-85,,Philadelphia full timeout
1:41.0,J. Barea misses free throw 1 of 2,,84-85,,
1:41.0,Offensive rebound by Team,,84-85,,
1:41.0,D. Harris enters the game for M. Ellis,,84-85,,
1:41.0,J. Barea makes free throw 2 of 2,1,85-85,,
1:32.0,,,85-85,,Turnover by K. McDaniels (traveling)
1:12.0,J. Barea misses 3-pt shot from 25 ft,,85-85,,
1:11.0,Offensive rebound by T. Chandler,,85-85,,
1:11.0,Shooting foul by H. Sims (drawn by T. Chandler),,85-85,,
1:11.0,T. Chandler makes free throw 1 of 2,1,86-85,,
1:11.0,T. Chandler makes free throw 2 of 2,1,87-85,,
0:52.0,,,87-85,,L. Mbah a Moute misses 2-pt shot from 15 ft
0:50.0,,,87-85,,Offensive rebound by H. Sims
0:50.0,,,87-85,,Shooting foul by T. Chandler (drawn by H. Sims)
0:50.0,,,87-85,,H. Sims misses free throw 1 of 2
0:50.0,,,87-85,,Offensive rebound by Team
0:50.0,,,87-86,1,H. Sims makes free throw 2 of 2
0:34.0,C. Parsons makes 3-pt shot from 25 ft (assist by D. Harris),3,90-86,,
0:04.0,,,90-86,,A. Shved misses 3-pt shot from 25 ft
0:02.0,Defensive rebound by J. Barea,,90-86,,
0:01.0,J. Barea misses 3-pt shot from 55 ft,,90-86,,
0:00.0,Offensive rebound by Team,,90-86,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:38.0,,,90-86,,N. Noel misses 2-pt shot from 14 ft
11:36.0,Defensive rebound by T. Chandler,,90-86,,
