time,Indiana,pts.away,score,pts.home,Oklahoma City
9:01.0,I. Mahinmi misses 2-pt shot from 3 ft (block by M. McGary),,25-37,,
8:59.0,,,25-37,,Defensive rebound by M. McGary
8:46.0,Official timeout,,25-37,,
8:40.0,,,25-37,,D. Augustin misses 3-pt shot from 24 ft
8:39.0,Defensive rebound by I. Mahinmi,,25-37,,
8:22.0,L. Scola misses 2-pt shot from 16 ft,,25-37,,
8:21.0,,,25-37,,Defensive rebound by M. McGary
8:10.0,,,25-37,,D. Waiters misses 3-pt shot from 23 ft
8:09.0,,,25-37,,Offensive rebound by M. McGary
8:03.0,,,25-40,3,A. Morrow makes 3-pt shot from 24 ft (assist by D. Augustin)
7:47.0,Turnover by L. Scola (bad pass; steal by D. Augustin),,25-40,,
7:40.0,R. Hibbert enters the game for I. Mahinmi,,25-40,,
7:35.0,,,25-40,,Turnover by D. Augustin (traveling)
7:25.0,,,25-40,,Personal foul by M. McGary (drawn by R. Stuckey)
7:25.0,G. Hill enters the game for C. Watson,,25-40,,
7:25.0,,,25-40,,S. Ibaka enters the game for M. McGary
7:25.0,,,25-40,,R. Westbrook enters the game for D. Waiters
7:10.0,R. Stuckey misses 3-pt shot from 24 ft,,25-40,,
7:10.0,Offensive rebound by Team,,25-40,,
7:10.0,Turnover by Team (shot clock),,25-40,,
6:58.0,,,25-40,,S. Ibaka misses 2-pt shot from 5 ft
6:57.0,Defensive rebound by G. Hill,,25-40,,
6:51.0,G. Hill misses 2-pt shot from 8 ft,,25-40,,
6:50.0,Offensive rebound by L. Scola,,25-40,,
6:47.0,G. Hill makes 2-pt shot from 1 ft (assist by L. Scola),2,27-40,,
6:33.0,,,27-40,,D. Augustin misses 2-pt shot from 1 ft
6:32.0,,,27-40,,Offensive rebound by S. Ibaka
6:29.0,,,27-42,2,S. Ibaka makes 2-pt shot from 17 ft
6:15.0,D. Rudez misses 3-pt shot from 22 ft,,27-42,,
6:14.0,,,27-42,,Defensive rebound by R. Westbrook
6:08.0,,,27-42,,R. Westbrook misses 2-pt shot from 14 ft
6:07.0,Defensive rebound by G. Hill,,27-42,,
5:56.0,,,27-42,,Oklahoma City full timeout
5:56.0,,,27-42,,K. Singler enters the game for A. Morrow
5:56.0,,,27-42,,E. Kanter enters the game for N. Collison
5:56.0,C. Miles enters the game for D. Rudez,,27-42,,
5:45.0,R. Hibbert misses 2-pt shot from 6 ft,,27-42,,
5:44.0,,,27-42,,Defensive rebound by R. Westbrook
5:22.0,,,27-42,,K. Singler misses 3-pt shot from 24 ft
5:21.0,Defensive rebound by R. Stuckey,,27-42,,
5:05.0,L. Scola makes 2-pt shot from 20 ft (assist by R. Stuckey),2,29-42,,
4:51.0,Personal foul by C. Miles (drawn by E. Kanter),,29-42,,
4:37.0,,,29-42,,E. Kanter misses 2-pt shot from 3 ft
4:36.0,Defensive rebound by C. Miles,,29-42,,
4:22.0,G. Hill makes 3-pt shot from 24 ft (assist by R. Stuckey),3,32-42,,
4:09.0,,,32-42,,R. Westbrook misses 3-pt shot from 23 ft
4:08.0,Defensive rebound by L. Scola,,32-42,,
4:00.0,G. Hill makes 2-pt shot from 12 ft,2,34-42,,
3:59.0,,,34-42,,Oklahoma City full timeout
3:49.0,,,34-42,,R. Westbrook misses 2-pt shot from 19 ft
3:48.0,Defensive rebound by L. Scola,,34-42,,
3:35.0,R. Stuckey makes 2-pt shot from 4 ft,2,36-42,,
3:16.0,,,36-44,2,S. Ibaka makes 2-pt shot from 2 ft (assist by K. Singler)
2:57.0,C. Miles misses 3-pt shot from 22 ft,,36-44,,
2:57.0,,,36-44,,Defensive rebound by R. Westbrook
2:53.0,,,36-44,,Turnover by R. Westbrook (lost ball; steal by L. Scola)
2:49.0,L. Scola makes 2-pt shot at rim (assist by G. Hill),2,38-44,,
2:29.0,,,38-46,2,S. Ibaka makes 2-pt shot from 16 ft (assist by K. Singler)
2:21.0,Indiana full timeout,,38-46,,
2:21.0,,,38-46,,A. Morrow enters the game for D. Augustin
2:21.0,D. West enters the game for L. Scola,,38-46,,
2:06.0,R. Stuckey misses 2-pt shot from 14 ft,,38-46,,
2:04.0,Offensive rebound by R. Hibbert,,38-46,,
2:02.0,R. Hibbert misses 2-pt shot from 1 ft (block by S. Ibaka),,38-46,,
2:01.0,,,38-46,,Defensive rebound by E. Kanter
1:56.0,,,38-48,2,R. Westbrook makes 2-pt shot from 1 ft (assist by A. Morrow)
1:31.0,D. West misses 2-pt shot from 18 ft,,38-48,,
1:30.0,,,38-48,,Defensive rebound by E. Kanter
1:17.0,,,38-48,,Turnover by S. Ibaka (offensive foul)
1:17.0,,,38-48,,Offensive foul by S. Ibaka
1:01.0,R. Hibbert misses 2-pt shot from 13 ft,,38-48,,
1:00.0,,,38-48,,Defensive rebound by S. Ibaka
0:54.0,,,38-48,,R. Westbrook misses 2-pt shot from 14 ft
0:52.0,Defensive rebound by R. Hibbert,,38-48,,
0:41.0,D. West makes 2-pt shot from 7 ft,2,40-48,,
0:20.0,,,40-48,,S. Ibaka misses 2-pt shot from 15 ft
0:19.0,Defensive rebound by D. West,,40-48,,
0:05.0,,,40-48,,Personal take foul by A. Morrow (drawn by G. Hill)
0:05.0,,,40-48,,A. Roberson enters the game for A. Morrow
0:05.0,,,40-48,,N. Collison enters the game for S. Ibaka
0:05.0,Indiana full timeout,,40-48,,
0:00.0,C. Miles makes 2-pt shot from 17 ft (assist by R. Stuckey),2,42-48,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,,,42-48,,Turnover by K. Singler (lost ball; steal by C. Miles)
11:38.0,C. Miles makes 2-pt shot from 1 ft (assist by G. Hill),2,44-48,,
11:22.0,,,44-48,,E. Kanter misses 2-pt shot from 16 ft
11:21.0,Defensive rebound by R. Hibbert,,44-48,,
10:59.0,D. West misses 2-pt shot from 10 ft,,44-48,,
10:58.0,,,44-48,,Defensive rebound by R. Westbrook
10:54.0,,,44-48,,Turnover by R. Westbrook (bad pass; steal by G. Hill)
10:53.0,,,44-48,,Personal take foul by E. Kanter (drawn by G. Hill)
10:43.0,C. Miles makes 3-pt shot from 24 ft (assist by G. Hill),3,47-48,,
10:21.0,,,47-50,2,S. Ibaka makes 2-pt shot from 2 ft (assist by R. Westbrook)
10:02.0,G. Hill misses 3-pt shot from 22 ft,,47-50,,
10:01.0,,,47-50,,Defensive rebound by A. Roberson
9:49.0,,,47-52,2,R. Westbrook makes 2-pt shot from 8 ft
9:30.0,C. Miles misses 3-pt shot from 24 ft,,47-52,,
9:29.0,,,47-52,,Defensive rebound by S. Ibaka
9:21.0,,,47-52,,Shooting foul by G. Hill (drawn by R. Westbrook)
9:21.0,,,47-53,1,R. Westbrook makes free throw 1 of 2
9:21.0,,,47-54,1,R. Westbrook makes free throw 2 of 2
9:00.0,G. Hill misses 3-pt shot from 24 ft,,47-54,,
8:58.0,,,47-54,,Defensive rebound by R. Westbrook
8:47.0,Personal foul by D. West (drawn by S. Ibaka),,47-54,,
8:41.0,,,47-54,,K. Singler misses 2-pt shot from 17 ft
8:40.0,Defensive rebound by D. West,,47-54,,
8:28.0,G. Hill misses 2-pt shot from 4 ft,,47-54,,
8:27.0,Offensive rebound by R. Hibbert,,47-54,,
8:27.0,R. Hibbert makes 2-pt shot at rim,2,49-54,,
8:05.0,,,49-56,2,E. Kanter makes 2-pt shot from 3 ft
7:39.0,Shooting foul by A. Roberson (drawn by S. Hill),,49-56,,
7:39.0,S. Hill makes free throw 1 of 2,1,50-56,,
7:39.0,S. Hill misses free throw 2 of 2,,50-56,,
7:38.0,,,50-56,,Defensive rebound by A. Roberson
7:22.0,,,50-58,2,E. Kanter makes 2-pt shot from 2 ft (assist by R. Westbrook)
7:22.0,,,50-58,,Shooting foul by R. Hibbert (drawn by E. Kanter)
7:22.0,,,50-59,1,E. Kanter makes free throw 1 of 1
7:08.0,G. Hill makes 2-pt shot from 4 ft (assist by D. West),2,52-59,,
6:53.0,,,52-59,,Turnover by R. Westbrook (bad pass; steal by G. Hill)
6:48.0,S. Hill misses 2-pt shot from 1 ft (block by K. Singler),,52-59,,
6:46.0,Offensive rebound by C. Miles,,52-59,,
6:46.0,C. Miles makes 2-pt shot at rim,2,54-59,,
6:27.0,,,54-59,,Turnover by R. Westbrook (bad pass; steal by G. Hill)
6:27.0,,,54-59,,Personal foul by E. Kanter (drawn by G. Hill)
6:27.0,,,54-59,,D. Waiters enters the game for A. Roberson
6:16.0,C. Miles makes 2-pt shot from 11 ft (assist by G. Hill),2,56-59,,
6:04.0,,,56-59,,R. Westbrook misses 2-pt shot from 1 ft (block by R. Hibbert)
6:03.0,,,56-59,,Offensive rebound by E. Kanter
6:03.0,,,56-59,,Shooting foul by C. Miles (drawn by E. Kanter)
6:03.0,,,56-59,,Technical foul by R. Westbrook
6:03.0,C. Miles makes technical free throw,1,57-59,,
