time,Golden State,pts.away,score,pts.home,Phoenix
3:51.0,,,23-19,,I. Thomas enters the game for M. Morris
3:51.0,,,23-19,,P. Tucker enters the game for M. Plumlee
3:51.0,,,23-19,,A. Len enters the game for E. Bledsoe
3:51.0,A. Iguodala enters the game for H. Barnes,,23-19,,
3:51.0,S. Livingston enters the game for L. Barbosa,,23-19,,
3:37.0,,,23-19,,Turnover by M. Morris (bad pass; steal by A. Bogut)
3:31.0,A. Iguodala misses 2-pt shot from 12 ft,,23-19,,
3:30.0,,,23-19,,Defensive rebound by M. Morris
3:20.0,,,23-19,,M. Morris misses 3-pt shot from 24 ft
3:19.0,Defensive rebound by A. Iguodala,,23-19,,
3:10.0,Offensive charge foul by A. Bogut,,23-19,,
3:10.0,Turnover by A. Bogut (offensive foul),,23-19,,
3:10.0,F. Ezeli enters the game for A. Bogut,,23-19,,
3:10.0,,,23-19,,A. Tolliver enters the game for M. Morris
3:02.0,,,23-21,2,G. Dragic makes 2-pt shot from 2 ft (assist by I. Thomas)
2:45.0,F. Ezeli makes 2-pt shot from 2 ft (assist by S. Curry),2,25-21,,
2:34.0,,,25-21,,A. Len misses 2-pt shot from 1 ft (block by D. Green)
2:32.0,Defensive rebound by D. Green,,25-21,,
2:28.0,Turnover by S. Curry (bad pass; steal by P. Tucker),,25-21,,
2:19.0,,,25-23,2,A. Len makes 2-pt shot from 2 ft (assist by I. Thomas)
2:03.0,,,25-23,,Personal foul by A. Len (drawn by F. Ezeli)
2:03.0,Golden State full timeout,,25-23,,
2:03.0,L. Barbosa enters the game for S. Curry,,25-23,,
1:57.0,Turnover by A. Iguodala (bad pass; steal by G. Dragic),,25-23,,
1:39.0,,,25-26,3,G. Dragic makes 3-pt shot from 24 ft (assist by I. Thomas)
1:23.0,Shooting foul by A. Tolliver (drawn by D. Green),,25-26,,
1:23.0,D. Green makes free throw 1 of 3,1,26-26,,
1:23.0,D. Green makes free throw 2 of 3,1,27-26,,
1:23.0,D. Green makes free throw 3 of 3,1,28-26,,
1:16.0,Personal foul by F. Ezeli (drawn by A. Len),,28-26,,
1:08.0,,,28-28,2,I. Thomas makes 2-pt shot from 19 ft
0:48.0,L. Barbosa makes 2-pt shot from 4 ft,2,30-28,,
0:44.0,,,30-28,,I. Thomas misses 3-pt shot from 24 ft
0:42.0,,,30-28,,Offensive rebound by A. Tolliver
0:38.0,,,30-28,,Turnover by I. Thomas (lost ball; steal by D. Green)
0:34.0,Turnover by D. Green (bad pass),,30-28,,
0:15.0,,,30-28,,I. Thomas misses 2-pt shot from 2 ft (block by D. Green)
0:14.0,Defensive rebound by D. Green,,30-28,,
0:12.0,Turnover by D. Green (bad pass; steal by G. Dragic),,30-28,,
0:09.0,,,30-28,,G. Dragic misses 2-pt shot from 20 ft
0:08.0,Defensive rebound by F. Ezeli,,30-28,,
0:00.0,S. Livingston misses 2-pt shot from 12 ft,,30-28,,
0:00.0,Offensive rebound by Team,,30-28,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,Turnover by S. Livingston (traveling),,30-28,,
11:32.0,,,30-28,,Turnover by G. Green (traveling)
11:17.0,S. Livingston makes 2-pt shot from 16 ft,2,32-28,,
11:04.0,,,32-28,,G. Green misses 2-pt shot from 5 ft
11:03.0,Defensive rebound by H. Barnes,,32-28,,
10:55.0,H. Barnes misses 2-pt shot from 16 ft,,32-28,,
10:54.0,,,32-28,,Defensive rebound by I. Thomas
10:45.0,,,32-28,,A. Tolliver misses 3-pt shot from 23 ft
10:44.0,Defensive rebound by F. Ezeli,,32-28,,
10:22.0,F. Ezeli makes 2-pt shot from 5 ft,2,34-28,,
10:08.0,,,34-31,3,A. Tolliver makes 3-pt shot from 25 ft (assist by I. Thomas)
9:41.0,H. Barnes makes 3-pt shot from 23 ft (assist by S. Livingston),3,37-31,,
9:31.0,,,37-31,,Turnover by I. Thomas (discontinued dribble)
9:31.0,,,37-31,,M. Plumlee enters the game for A. Len
9:12.0,L. Barbosa makes 2-pt shot from 9 ft,2,39-31,,
8:58.0,Def 3 sec tech foul by F. Ezeli,,39-31,,
8:58.0,Official timeout,,39-31,,
8:58.0,,,39-32,1,I. Thomas makes technical free throw
8:48.0,,,39-32,,Shooting foul by F. Ezeli (drawn by M. Plumlee)
8:48.0,,,39-33,1,M. Plumlee makes free throw 1 of 2
8:48.0,,,39-34,1,M. Plumlee makes free throw 2 of 2
8:37.0,Turnover by F. Ezeli (bad pass),,39-34,,
8:27.0,,,39-37,3,G. Green makes 3-pt shot from 24 ft
8:11.0,Turnover by S. Livingston (bad pass; steal by M. Plumlee),,39-37,,
8:06.0,,,39-37,,G. Green misses 3-pt shot from 25 ft
8:04.0,Defensive rebound by H. Barnes,,39-37,,
7:56.0,H. Barnes misses 2-pt shot from 1 ft,,39-37,,
7:55.0,,,39-37,,Defensive rebound by M. Plumlee
7:39.0,,,39-37,,Turnover by I. Thomas (traveling)
7:18.0,Golden State full timeout,,39-37,,
7:18.0,A. Bogut enters the game for L. Barbosa,,39-37,,
7:18.0,S. Curry enters the game for F. Ezeli,,39-37,,
7:15.0,A. Iguodala misses 3-pt shot from 24 ft,,39-37,,
7:14.0,,,39-37,,Defensive rebound by A. Tolliver
7:00.0,,,39-37,,Turnover by G. Green (traveling)
6:42.0,S. Curry misses 2-pt shot from 8 ft,,39-37,,
6:41.0,,,39-37,,Defensive rebound by M. Plumlee
6:31.0,,,39-37,,G. Green misses 3-pt shot from 25 ft
6:30.0,Defensive rebound by S. Curry,,39-37,,
6:13.0,A. Bogut makes 2-pt shot from 4 ft (assist by S. Curry),2,41-37,,
5:56.0,,,41-37,,I. Thomas misses 3-pt shot from 25 ft
5:55.0,Defensive rebound by H. Barnes,,41-37,,
5:42.0,,,41-37,,Phoenix full timeout
5:42.0,,,41-37,,E. Bledsoe enters the game for A. Tolliver
5:42.0,,,41-37,,M. Morris enters the game for G. Green
5:42.0,D. Green enters the game for H. Barnes,,41-37,,
5:39.0,S. Curry makes 3-pt shot from 23 ft (assist by A. Bogut),3,44-37,,
5:23.0,,,44-37,,P. Tucker misses 2-pt shot from 18 ft
5:22.0,,,44-37,,Offensive rebound by M. Plumlee
5:14.0,,,44-37,,Shooting foul by S. Curry (drawn by E. Bledsoe)
5:14.0,,,44-38,1,E. Bledsoe makes free throw 1 of 2
5:14.0,,,44-38,,G. Dragic enters the game for I. Thomas
5:14.0,B. Rush enters the game for S. Livingston,,44-38,,
5:14.0,,,44-38,,E. Bledsoe misses free throw 2 of 2
5:13.0,Defensive rebound by D. Green,,44-38,,
4:56.0,,,44-38,,M. Morris enters the game for P. Tucker
4:52.0,Turnover by S. Curry (bad pass),,44-38,,
4:38.0,Def 3 sec tech foul by A. Bogut,,44-38,,
4:38.0,,,44-39,1,E. Bledsoe makes technical free throw
4:24.0,,,44-39,,M. Morris misses 2-pt shot from 11 ft
4:22.0,Defensive rebound by D. Green,,44-39,,
4:14.0,D. Green makes 3-pt shot from 24 ft (assist by S. Curry),3,47-39,,
3:54.0,,,47-39,,E. Bledsoe misses 2-pt shot from 10 ft
3:53.0,Defensive rebound by D. Green,,47-39,,
3:48.0,,,47-39,,Personal foul by E. Bledsoe (drawn by D. Green)
3:41.0,S. Curry makes 2-pt shot from 3 ft,2,49-39,,
3:24.0,,,49-39,,M. Plumlee misses 2-pt shot from 9 ft
3:24.0,,,49-39,,Offensive rebound by Team
3:24.0,Loose ball foul by B. Rush (drawn by M. Morris),,49-39,,
3:11.0,,,49-39,,Shooting foul by A. Bogut (drawn by M. Plumlee)
3:11.0,,,49-40,1,M. Plumlee makes free throw 1 of 2
3:11.0,F. Ezeli enters the game for A. Bogut,,49-40,,
3:11.0,,,49-41,1,M. Plumlee makes free throw 2 of 2
2:48.0,S. Curry makes 3-pt shot from 24 ft (assist by B. Rush),3,52-41,,
2:42.0,,,52-41,,Turnover by M. Morris (bad pass; steal by S. Curry)
2:39.0,S. Curry makes 2-pt shot at rim,2,54-41,,
2:31.0,Violation by A. Iguodala (kicked ball),,54-41,,
2:31.0,Golden State full timeout,,54-41,,
2:31.0,,,54-41,,P. Tucker enters the game for M. Plumlee
2:14.0,,,54-41,,Turnover by M. Morris (lost ball; steal by S. Curry)
2:06.0,B. Rush misses 2-pt shot from 21 ft,,54-41,,
2:06.0,,,54-41,,Defensive rebound by Team
2:06.0,Loose ball foul by F. Ezeli (drawn by M. Morris),,54-41,,
2:06.0,,,54-42,1,M. Morris makes free throw 1 of 2
2:06.0,M. Speights enters the game for F. Ezeli,,54-42,,
2:06.0,,,54-43,1,M. Morris makes free throw 2 of 2
1:51.0,,,54-43,,Personal foul by E. Bledsoe (drawn by S. Curry)
1:38.0,S. Curry misses 3-pt shot from 24 ft,,54-43,,
1:37.0,,,54-43,,Defensive rebound by P. Tucker
1:23.0,,,54-43,,Turnover by M. Morris (lost ball; steal by S. Curry)
1:17.0,,,54-43,,Shooting block foul by M. Morris (drawn by M. Speights)
1:17.0,M. Speights makes free throw 1 of 2,1,55-43,,
1:17.0,M. Speights makes free throw 2 of 2,1,56-43,,
1:08.0,,,56-45,2,M. Morris makes 2-pt shot from 2 ft (assist by P. Tucker)
0:58.0,Turnover by S. Curry (traveling),,56-45,,
0:38.0,,,56-45,,M. Morris misses 3-pt shot from 22 ft
0:37.0,,,56-45,,Offensive rebound by P. Tucker
0:35.0,,,56-45,,P. Tucker misses 2-pt shot from 3 ft
0:34.0,,,56-45,,Offensive rebound by P. Tucker
0:31.0,,,56-47,2,P. Tucker makes 2-pt shot from 5 ft
0:11.0,,,56-47,,Shooting block foul by M. Morris (drawn by S. Curry)
0:11.0,S. Curry makes free throw 1 of 2,1,57-47,,
0:11.0,S. Curry makes free throw 2 of 2,1,58-47,,
0:03.0,,,58-47,,E. Bledsoe misses 2-pt shot from 1 ft (block by D. Green)
0:03.0,,,58-47,,Offensive rebound by Team
0:01.0,,,58-47,,Turnover by P. Tucker (bad pass)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,S. Curry misses 3-pt shot from 25 ft,,58-47,,
11:41.0,Offensive rebound by H. Barnes,,58-47,,
11:33.0,S. Curry makes 2-pt shot at rim,2,60-47,,
11:16.0,,,60-49,2,G. Dragic makes 2-pt shot from 11 ft (assist by M. Plumlee)
11:08.0,,,60-49,,Personal foul by M. Morris (drawn by D. Green)
10:59.0,Turnover by L. Barbosa (bad pass),,60-49,,
10:54.0,,,60-49,,Offensive foul by M. Plumlee
10:54.0,,,60-49,,Turnover by M. Plumlee (offensive foul)
10:44.0,D. Green makes 2-pt shot from 2 ft (assist by S. Curry),2,62-49,,
10:29.0,,,62-51,2,M. Morris makes 2-pt shot from 10 ft
10:07.0,A. Bogut misses 2-pt shot from 8 ft,,62-51,,
10:05.0,,,62-51,,Defensive rebound by M. Morris
9:58.0,,,62-51,,M. Morris misses 3-pt shot from 24 ft
9:57.0,Defensive rebound by H. Barnes,,62-51,,
9:43.0,Turnover by S. Curry (bad pass; steal by G. Dragic),,62-51,,
9:38.0,,,62-53,2,G. Dragic makes 2-pt shot from 1 ft
9:38.0,Golden State full timeout,,62-53,,
9:20.0,S. Curry misses 2-pt shot from 17 ft,,62-53,,
9:19.0,,,62-53,,Defensive rebound by M. Morris
9:04.0,,,62-53,,Shooting foul by S. Curry (drawn by E. Bledsoe)
9:04.0,,,62-55,2,E. Bledsoe makes 2-pt shot from 21 ft (assist by G. Dragic)
9:04.0,,,62-56,1,E. Bledsoe makes free throw 1 of 1
8:56.0,D. Green misses 3-pt shot from 25 ft,,62-56,,
8:54.0,,,62-56,,Defensive rebound by G. Dragic
8:47.0,,,62-59,3,M. Morris makes 3-pt shot from 24 ft (assist by G. Dragic)
8:21.0,D. Green makes 2-pt shot from 8 ft,2,64-59,,
7:58.0,,,64-59,,Turnover by M. Plumlee (lost ball)
7:41.0,Turnover by A. Bogut (bad pass),,64-59,,
7:25.0,Personal foul by L. Barbosa (drawn by G. Dragic),,64-59,,
7:20.0,,,64-59,,Turnover by G. Dragic (lost ball; steal by A. Bogut)
7:13.0,L. Barbosa makes 3-pt shot from 24 ft,3,67-59,,
7:11.0,,,67-59,,Phoenix full timeout
6:55.0,,,67-59,,Turnover by E. Bledsoe (lost ball)
6:34.0,A. Bogut misses 2-pt shot from 6 ft,,67-59,,
6:33.0,,,67-59,,Defensive rebound by M. Morris
6:25.0,,,67-59,,Offensive charge foul by M. Morris
6:25.0,,,67-59,,Turnover by M. Morris (offensive foul)
6:15.0,,,67-59,,Personal foul by E. Bledsoe (drawn by S. Curry)
6:02.0,A. Bogut misses 2-pt shot from 18 ft,,67-59,,
6:01.0,,,67-59,,Defensive rebound by M. Morris
5:58.0,Personal foul by A. Bogut (drawn by M. Plumlee),,67-59,,
5:58.0,F. Ezeli enters the game for A. Bogut,,67-59,,
5:52.0,,,67-61,2,E. Bledsoe makes 2-pt shot at rim
5:37.0,Offensive foul by D. Green,,67-61,,
5:37.0,Turnover by D. Green (offensive foul),,67-61,,
5:15.0,,,67-61,,M. Morris misses 2-pt shot from 13 ft
5:15.0,Defensive rebound by D. Green,,67-61,,
5:09.0,Shooting foul by M. Morris (drawn by D. Green),,67-61,,
5:09.0,D. Green makes free throw 1 of 2,1,68-61,,
5:09.0,A. Iguodala enters the game for H. Barnes,,68-61,,
5:09.0,S. Livingston enters the game for L. Barbosa,,68-61,,
5:09.0,,,68-61,,P. Tucker enters the game for M. Morris
5:09.0,D. Green makes free throw 2 of 2,1,69-61,,
4:53.0,,,69-61,,Turnover by M. Morris (bad pass; steal by S. Curry)
4:45.0,Turnover by S. Curry (discontinued dribble),,69-61,,
4:36.0,,,69-61,,Shooting foul by F. Ezeli (drawn by E. Bledsoe)
4:36.0,,,69-62,1,E. Bledsoe makes free throw 1 of 2
4:36.0,M. Speights enters the game for F. Ezeli,,69-62,,
4:36.0,,,69-63,1,E. Bledsoe makes free throw 2 of 2
4:27.0,Offensive charge foul by D. Green,,69-63,,
4:27.0,Turnover by D. Green (offensive foul),,69-63,,
4:14.0,,,69-63,,Turnover by E. Bledsoe (offensive foul)
4:14.0,,,69-63,,Offensive foul by E. Bledsoe
4:14.0,,,69-63,,I. Thomas enters the game for E. Bledsoe
4:02.0,D. Green makes 3-pt shot from 24 ft (assist by S. Livingston),3,72-63,,
3:41.0,,,72-65,2,M. Morris makes 2-pt shot from 19 ft (assist by G. Dragic)
3:29.0,M. Speights misses 2-pt shot from 18 ft,,72-65,,
3:28.0,,,72-65,,Defensive rebound by M. Morris
3:20.0,,,72-67,2,G. Dragic makes 2-pt shot from 18 ft
2:56.0,A. Iguodala misses 2-pt shot from 20 ft,,72-67,,
2:56.0,,,72-67,,Defensive rebound by M. Morris
2:45.0,Personal foul by S. Livingston (drawn by M. Morris),,72-67,,
2:45.0,,,72-67,,M. Morris misses free throw 1 of 2
2:45.0,,,72-67,,Offensive rebound by Team
2:45.0,,,72-67,,M. Morris enters the game for M. Plumlee
2:45.0,L. Barbosa enters the game for S. Curry,,72-67,,
2:45.0,,,72-67,,M. Morris misses free throw 2 of 2
2:44.0,Defensive rebound by D. Green,,72-67,,
2:27.0,M. Speights misses 2-pt shot from 3 ft,,72-67,,
2:26.0,,,72-67,,Defensive rebound by M. Morris
2:20.0,,,72-67,,M. Morris misses 3-pt shot from 24 ft
2:19.0,,,72-67,,Offensive rebound by M. Morris
2:16.0,,,72-67,,Phoenix full timeout
2:08.0,,,72-67,,Shooting foul by L. Barbosa (drawn by M. Morris)
2:08.0,,,72-67,,M. Morris misses free throw 1 of 2
2:08.0,,,72-67,,Offensive rebound by Team
2:08.0,H. Barnes enters the game for D. Green,,72-67,,
2:08.0,,,72-67,,M. Morris misses free throw 2 of 2
2:07.0,Defensive rebound by H. Barnes,,72-67,,
1:43.0,Turnover by Team (shot clock),,72-67,,
1:43.0,,,72-67,,G. Green enters the game for M. Morris
1:32.0,,,72-67,,I. Thomas misses 2-pt shot from 17 ft
1:31.0,Defensive rebound by A. Iguodala,,72-67,,
1:22.0,,,72-67,,Personal foul by P. Tucker (drawn by M. Speights)
1:18.0,,,72-67,,Violation by P. Tucker (kicked ball)
1:05.0,H. Barnes makes 3-pt shot from 24 ft,3,75-67,,
0:57.0,,,75-67,,G. Dragic misses 2-pt shot from 2 ft (block by M. Speights)
0:56.0,Defensive rebound by Team,,75-67,,
0:56.0,,,75-67,,Personal foul by G. Dragic (drawn by S. Livingston)
0:56.0,S. Livingston makes free throw 1 of 2,1,76-67,,
0:56.0,S. Livingston makes free throw 2 of 2,1,77-67,,
0:40.0,,,77-67,,Turnover by G. Green (bad pass)
0:31.0,M. Speights makes 2-pt shot from 16 ft (assist by A. Iguodala),2,79-67,,
0:15.0,Personal foul by L. Barbosa (drawn by I. Thomas),,79-67,,
0:15.0,,,79-68,1,I. Thomas makes free throw 1 of 2
0:15.0,S. Curry enters the game for S. Livingston,,79-68,,
0:15.0,,,79-69,1,I. Thomas makes free throw 2 of 2
0:02.0,Offensive foul by S. Curry,,79-69,,
0:02.0,Turnover by S. Curry (offensive foul),,79-69,,
0:01.0,Personal foul by S. Curry (drawn by I. Thomas),,79-69,,
0:01.0,,,79-70,1,I. Thomas makes free throw 1 of 2
0:01.0,S. Livingston enters the game for S. Curry,,79-70,,
0:01.0,,,79-71,1,I. Thomas makes free throw 2 of 2
0:01.0,H. Barnes misses 3-pt shot from 75 ft,,79-71,,
0:00.0,Offensive rebound by Team,,79-71,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,,,79-71,,G. Green misses 2-pt shot from 9 ft
11:42.0,,,79-71,,Offensive rebound by M. Morris
11:41.0,Personal foul by L. Barbosa (drawn by I. Thomas),,79-71,,
11:41.0,,,79-72,1,I. Thomas makes free throw 1 of 3
11:41.0,,,79-72,,I. Thomas misses free throw 2 of 3
11:41.0,,,79-72,,Offensive rebound by Team
11:41.0,,,79-73,1,I. Thomas makes free throw 3 of 3
11:25.0,Shooting foul by M. Morris (drawn by H. Barnes),,79-73,,
11:25.0,H. Barnes misses free throw 1 of 2,,79-73,,
11:25.0,Offensive rebound by Team,,79-73,,
11:25.0,H. Barnes makes free throw 2 of 2,1,80-73,,
11:08.0,,,80-75,2,M. Morris makes 2-pt shot from 17 ft
10:50.0,M. Speights misses 2-pt shot from 12 ft,,80-75,,
10:47.0,,,80-75,,Defensive rebound by P. Tucker
10:47.0,,,80-75,,I. Thomas misses 2-pt shot from 4 ft (block by L. Barbosa)
10:44.0,,,80-75,,Offensive rebound by Team
10:40.0,,,80-77,2,G. Green makes 2-pt shot from 2 ft (assist by P. Tucker)
10:20.0,L. Barbosa misses 2-pt shot from 2 ft (block by P. Tucker),,80-77,,
10:18.0,,,80-77,,Defensive rebound by I. Thomas
10:14.0,,,80-80,3,G. Green makes 3-pt shot from 24 ft (assist by I. Thomas)
10:14.0,Golden State full timeout,,80-80,,
10:14.0,S. Curry enters the game for L. Barbosa,,80-80,,
10:14.0,D. Green enters the game for S. Livingston,,80-80,,
10:14.0,A. Bogut enters the game for M. Speights,,80-80,,
10:04.0,D. Green misses 2-pt shot from 8 ft,,80-80,,
10:03.0,,,80-80,,Defensive rebound by M. Plumlee
9:54.0,,,80-80,,P. Tucker misses 3-pt shot from 23 ft (block by D. Green)
9:54.0,,,80-80,,Offensive rebound by Team
9:46.0,,,80-80,,I. Thomas misses 3-pt shot from 24 ft
9:45.0,,,80-80,,Offensive rebound by I. Thomas
9:42.0,,,80-80,,I. Thomas misses 2-pt shot from 7 ft
9:41.0,Defensive rebound by A. Bogut,,80-80,,
9:20.0,H. Barnes makes 2-pt shot from 13 ft,2,82-80,,
9:05.0,Personal foul by H. Barnes (drawn by G. Green),,82-80,,
8:55.0,,,82-80,,Shooting foul by D. Green (drawn by G. Green)
8:55.0,,,82-81,1,G. Green makes free throw 1 of 3
8:55.0,,,82-82,1,G. Green makes free throw 2 of 3
8:55.0,,,82-83,1,G. Green makes free throw 3 of 3
8:45.0,S. Curry makes 2-pt shot from 11 ft,2,84-83,,
8:29.0,,,84-83,,G. Green misses 3-pt shot from 25 ft
8:28.0,Defensive rebound by A. Bogut,,84-83,,
8:19.0,Turnover by S. Curry (bad pass; steal by P. Tucker),,84-83,,
8:17.0,Personal foul by D. Green (drawn by P. Tucker),,84-83,,
8:04.0,,,84-85,2,I. Thomas makes 2-pt shot from 12 ft
7:52.0,S. Curry misses 3-pt shot from 24 ft,,84-85,,
7:51.0,,,84-85,,Defensive rebound by M. Morris
7:39.0,,,84-85,,P. Tucker misses 3-pt shot from 22 ft
7:38.0,Defensive rebound by A. Bogut,,84-85,,
7:29.0,S. Curry makes 2-pt shot from 3 ft,2,86-85,,
7:12.0,,,86-85,,Shooting foul by S. Curry (drawn by I. Thomas)
7:12.0,,,86-86,1,I. Thomas makes free throw 1 of 2
7:12.0,,,86-87,1,I. Thomas makes free throw 2 of 2
7:03.0,D. Green misses 3-pt shot from 25 ft,,86-87,,
7:03.0,,,86-87,,Defensive rebound by Team
6:49.0,,,86-87,,P. Tucker misses 2-pt shot at rim
6:47.0,Defensive rebound by A. Bogut,,86-87,,
6:34.0,A. Bogut misses 2-pt shot from 5 ft,,86-87,,
6:33.0,Offensive rebound by A. Iguodala,,86-87,,
6:30.0,,,86-87,,Personal foul by I. Thomas (drawn by A. Iguodala)
6:16.0,S. Curry misses 3-pt shot from 24 ft,,86-87,,
6:15.0,,,86-87,,Defensive rebound by G. Green
6:07.0,,,86-90,3,G. Green makes 3-pt shot from 24 ft (assist by I. Thomas)
5:47.0,D. Green misses 2-pt shot from 11 ft (block by P. Tucker),,86-90,,
5:45.0,,,86-90,,Defensive rebound by M. Morris
5:36.0,,,86-90,,G. Green misses 2-pt shot from 18 ft
5:33.0,Defensive rebound by A. Bogut,,86-90,,
5:24.0,A. Bogut makes 2-pt shot at rim (assist by S. Curry),2,88-90,,
5:23.0,,,88-90,,Phoenix full timeout
5:23.0,L. Barbosa enters the game for S. Curry,,88-90,,
5:15.0,Shooting block foul by H. Barnes (drawn by I. Thomas),,88-90,,
5:15.0,,,88-91,1,I. Thomas makes free throw 1 of 2
5:15.0,,,88-92,1,I. Thomas makes free throw 2 of 2
5:00.0,A. Iguodala misses 2-pt shot from 1 ft,,88-92,,
4:59.0,,,88-92,,Defensive rebound by G. Green
4:51.0,,,88-92,,M. Morris misses 3-pt shot from 24 ft
4:50.0,,,88-92,,Offensive rebound by G. Green
4:46.0,,,88-95,3,G. Green makes 3-pt shot from 22 ft
4:20.0,Turnover by H. Barnes (bad pass),,88-95,,
4:20.0,S. Curry enters the game for L. Barbosa,,88-95,,
4:09.0,,,88-95,,I. Thomas misses 2-pt shot from 21 ft
4:08.0,Defensive rebound by A. Bogut,,88-95,,
3:57.0,,,88-95,,Shooting block foul by M. Plumlee (drawn by A. Iguodala)
3:57.0,A. Iguodala misses free throw 1 of 2,,88-95,,
3:57.0,Offensive rebound by Team,,88-95,,
3:57.0,A. Iguodala makes free throw 2 of 2,1,89-95,,
