time,Sacramento,pts.away,score,pts.home,Memphis
9:51.0,D. Williams makes 2-pt shot from 12 ft (assist by N. Stauskas),2,67-78,,
9:42.0,,,67-78,,Offensive foul by K. Koufos
9:42.0,,,67-78,,Turnover by K. Koufos (offensive foul)
9:21.0,O. Casspi misses 2-pt shot from 6 ft,,67-78,,
9:19.0,,,67-78,,Defensive rebound by K. Koufos
9:12.0,,,67-78,,B. Udrih misses 2-pt shot from 18 ft
9:11.0,Defensive rebound by A. Miller,,67-78,,
9:04.0,O. Casspi makes 3-pt shot from 24 ft (assist by A. Miller),3,70-78,,
9:02.0,,,70-78,,Memphis full timeout
9:02.0,B. McLemore enters the game for N. Stauskas,,70-78,,
8:51.0,,,70-80,2,M. Gasol makes 2-pt shot from 4 ft (assist by N. Calathes)
8:40.0,Shooting foul by M. Gasol (drawn by D. Williams),,70-80,,
8:40.0,D. Williams makes free throw 1 of 2,1,71-80,,
8:40.0,,,71-80,,J. Green enters the game for M. Gasol
8:40.0,D. Williams misses free throw 2 of 2,,71-80,,
8:39.0,,,71-80,,Defensive rebound by K. Koufos
8:28.0,,,71-83,3,V. Carter makes 3-pt shot from 22 ft (assist by J. Green)
8:11.0,D. Williams misses 2-pt shot from 4 ft,,71-83,,
8:11.0,,,71-83,,Defensive rebound by Team
8:03.0,J. Thompson enters the game for D. Williams,,71-83,,
7:57.0,,,71-85,2,N. Calathes makes 2-pt shot from 1 ft
7:40.0,B. McLemore misses 2-pt shot from 9 ft,,71-85,,
7:38.0,,,71-85,,Defensive rebound by J. Green
7:28.0,,,71-85,,Turnover by V. Carter (bad pass; steal by O. Casspi)
7:24.0,O. Casspi makes 2-pt shot at rim (assist by J. Thompson),2,73-85,,
7:08.0,,,73-85,,K. Koufos misses 2-pt shot from 1 ft
7:06.0,Defensive rebound by B. McLemore,,73-85,,
6:55.0,A. Miller misses 2-pt shot from 1 ft (block by N. Calathes),,73-85,,
6:55.0,Offensive rebound by Team,,73-85,,
6:50.0,,,73-85,,Personal foul by N. Calathes (drawn by J. Thompson)
6:40.0,C. Landry makes 2-pt shot from 16 ft (assist by A. Miller),2,75-85,,
6:16.0,,,75-88,3,J. Green makes 3-pt shot from 22 ft
5:59.0,Turnover by C. Landry (lost ball; steal by J. Green),,75-88,,
5:46.0,Personal foul by O. Casspi (drawn by B. Udrih),,75-88,,
5:46.0,,,75-88,,Memphis full timeout
5:46.0,,,75-88,,M. Conley enters the game for B. Udrih
