time,Orlando,pts.away,score,pts.home,Miami
11:41.0,,,26-25,,Shooting foul by D. Dedmon (drawn by C. Bosh)
11:41.0,,,26-25,,C. Bosh misses free throw 1 of 2
11:41.0,,,26-25,,Offensive rebound by Team
11:41.0,,,26-26,1,C. Bosh makes free throw 2 of 2
11:26.0,B. Gordon misses 3-pt shot from 24 ft,,26-26,,
11:25.0,,,26-26,,Defensive rebound by H. Whiteside
11:08.0,,,26-26,,Turnover by N. Cole (bad pass; steal by E. Payton)
10:58.0,C. Frye makes 3-pt shot from 25 ft,3,29-26,,
10:33.0,,,29-26,,C. Bosh misses 2-pt shot from 20 ft
10:32.0,Defensive rebound by E. Fournier,,29-26,,
10:21.0,C. Frye misses 3-pt shot from 24 ft,,29-26,,
10:20.0,,,29-26,,Defensive rebound by M. Chalmers
10:13.0,,,29-26,,Shooting foul by E. Fournier (drawn by H. Whiteside)
10:13.0,,,29-27,1,H. Whiteside makes free throw 1 of 2
10:13.0,,,29-27,,H. Whiteside misses free throw 2 of 2
10:12.0,Defensive rebound by E. Fournier,,29-27,,
9:56.0,D. Dedmon misses 2-pt shot from 3 ft,,29-27,,
9:55.0,Offensive rebound by D. Dedmon,,29-27,,
9:48.0,Shooting foul by H. Whiteside (drawn by E. Fournier),,29-27,,
9:48.0,E. Fournier misses free throw 1 of 2,,29-27,,
9:48.0,Offensive rebound by Team,,29-27,,
9:48.0,E. Fournier misses free throw 2 of 2,,29-27,,
9:47.0,Offensive rebound by D. Dedmon,,29-27,,
9:47.0,,,29-27,,Personal foul by H. Whiteside (drawn by E. Fournier)
9:38.0,C. Frye misses 3-pt shot from 24 ft,,29-27,,
9:37.0,,,29-27,,Defensive rebound by H. Whiteside
9:27.0,,,29-27,,Shooting foul by B. Gordon (drawn by H. Whiteside)
9:27.0,,,29-28,1,H. Whiteside makes free throw 1 of 2
9:27.0,,,29-29,1,H. Whiteside makes free throw 2 of 2
9:08.0,B. Gordon misses 2-pt shot from 19 ft,,29-29,,
9:07.0,Offensive rebound by D. Dedmon,,29-29,,
9:01.0,Orlando full timeout,,29-29,,
9:01.0,V. Oladipo enters the game for E. Payton,,29-29,,
8:55.0,E. Fournier misses 2-pt shot from 4 ft,,29-29,,
8:54.0,,,29-29,,Defensive rebound by D. Granger
8:43.0,,,29-31,2,C. Bosh makes 2-pt shot from 12 ft
8:29.0,Offensive foul by C. Frye,,29-31,,
8:29.0,Turnover by C. Frye (offensive foul),,29-31,,
8:14.0,,,29-33,2,C. Bosh makes 2-pt shot from 11 ft (assist by H. Whiteside)
8:00.0,C. Frye misses 3-pt shot from 24 ft,,29-33,,
7:59.0,Offensive rebound by D. Dedmon,,29-33,,
7:58.0,D. Dedmon makes 2-pt shot at rim,2,31-33,,
7:36.0,,,31-36,3,D. Granger makes 3-pt shot from 24 ft (assist by N. Cole)
7:20.0,B. Gordon misses 3-pt shot from 24 ft,,31-36,,
7:19.0,,,31-36,,Defensive rebound by M. Chalmers
7:03.0,,,31-36,,C. Bosh misses 3-pt shot from 24 ft
7:02.0,Defensive rebound by D. Dedmon,,31-36,,
6:45.0,B. Gordon misses 2-pt shot from 2 ft (block by H. Whiteside),,31-36,,
6:43.0,,,31-36,,Defensive rebound by H. Whiteside
6:36.0,,,31-36,,D. Granger misses 2-pt shot from 1 ft
6:35.0,Defensive rebound by E. Fournier,,31-36,,
6:28.0,B. Gordon makes 3-pt shot from 23 ft (assist by V. Oladipo),3,34-36,,
6:28.0,,,34-36,,Miami full timeout
6:28.0,K. O'Quinn enters the game for C. Frye,,34-36,,
6:28.0,N. Vucevic enters the game for D. Dedmon,,34-36,,
6:28.0,T. Harris enters the game for B. Gordon,,34-36,,
6:28.0,,,34-36,,L. Deng enters the game for C. Bosh
6:28.0,,,34-36,,D. Wade enters the game for M. Chalmers
6:14.0,,,34-36,,D. Granger misses 2-pt shot from 17 ft
6:13.0,Defensive rebound by T. Harris,,34-36,,
6:00.0,V. Oladipo makes 2-pt shot from 1 ft,2,36-36,,
5:50.0,,,36-36,,C. Andersen enters the game for H. Whiteside
5:36.0,,,36-36,,N. Cole misses 3-pt shot from 23 ft
5:35.0,Defensive rebound by K. O'Quinn,,36-36,,
5:26.0,V. Oladipo makes 3-pt shot from 24 ft,3,39-36,,
5:08.0,Personal foul by T. Harris (drawn by C. Andersen),,39-36,,
4:57.0,,,39-38,2,D. Wade makes 2-pt shot from 18 ft
4:43.0,Turnover by K. O'Quinn (bad pass),,39-38,,
4:21.0,,,39-40,2,N. Cole makes 2-pt shot from 19 ft (assist by D. Wade)
4:07.0,N. Vucevic makes 2-pt shot from 14 ft (assist by E. Fournier),2,41-40,,
3:47.0,,,41-43,3,D. Granger makes 3-pt shot from 24 ft (assist by C. Andersen)
3:34.0,,,41-43,,Personal foul by N. Cole (drawn by V. Oladipo)
3:21.0,Turnover by E. Fournier (bad pass; steal by D. Granger),,41-43,,
3:17.0,,,41-45,2,N. Cole makes 2-pt shot from 1 ft (assist by D. Granger)
3:14.0,Orlando full timeout,,41-45,,
2:57.0,N. Vucevic makes 2-pt shot from 8 ft,2,43-45,,
2:36.0,,,43-47,2,D. Wade makes 2-pt shot from 13 ft
2:16.0,Offensive charge foul by V. Oladipo,,43-47,,
2:16.0,Turnover by V. Oladipo (offensive foul),,43-47,,
2:16.0,Official timeout,,43-47,,
2:16.0,E. Payton enters the game for K. O'Quinn,,43-47,,
1:58.0,,,43-49,2,D. Wade makes 2-pt shot from 17 ft
1:38.0,T. Harris misses 3-pt shot from 24 ft,,43-49,,
1:38.0,Offensive rebound by N. Vucevic,,43-49,,
1:38.0,,,43-49,,Personal foul by C. Andersen (drawn by N. Vucevic)
1:38.0,,,43-49,,M. Chalmers enters the game for N. Cole
1:23.0,N. Vucevic makes 2-pt shot from 19 ft (assist by T. Harris),2,45-49,,
1:06.0,,,45-49,,Shooting foul by E. Payton (drawn by C. Andersen)
1:06.0,,,45-50,1,C. Andersen makes free throw 1 of 2
1:06.0,,,45-50,,C. Andersen misses free throw 2 of 2
1:05.0,Defensive rebound by N. Vucevic,,45-50,,
0:49.0,N. Vucevic makes 2-pt shot from 16 ft (assist by E. Fournier),2,47-50,,
0:36.0,,,47-53,3,D. Granger makes 3-pt shot from 25 ft (assist by D. Wade)
0:24.0,V. Oladipo makes 3-pt shot from 24 ft,3,50-53,,
0:03.0,,,50-53,,D. Wade misses 3-pt shot from 24 ft
0:01.0,Defensive rebound by V. Oladipo,,50-53,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,,,50-53,,Turnover by M. Chalmers (bad pass)
11:33.0,T. Harris misses 2-pt shot from 15 ft,,50-53,,
11:32.0,,,50-53,,Defensive rebound by C. Andersen
11:24.0,,,50-53,,D. Wade misses 2-pt shot from 17 ft
11:23.0,,,50-53,,Offensive rebound by C. Bosh
11:20.0,,,50-55,2,C. Bosh makes 2-pt shot from 9 ft
11:01.0,T. Harris misses 3-pt shot from 25 ft,,50-55,,
11:00.0,,,50-55,,Defensive rebound by C. Andersen
10:48.0,,,50-58,3,L. Deng makes 3-pt shot from 22 ft (assist by C. Bosh)
10:26.0,N. Vucevic misses 2-pt shot from 17 ft,,50-58,,
10:25.0,,,50-58,,Defensive rebound by M. Chalmers
10:22.0,,,50-58,,Turnover by C. Bosh (lost ball)
9:58.0,E. Payton misses 3-pt shot from 24 ft,,50-58,,
9:57.0,,,50-58,,Defensive rebound by C. Andersen
9:48.0,,,50-58,,Shooting foul by V. Oladipo (drawn by D. Wade)
9:48.0,,,50-59,1,D. Wade makes free throw 1 of 2
9:48.0,,,50-60,1,D. Wade makes free throw 2 of 2
9:23.0,V. Oladipo misses 2-pt shot from 2 ft (block by C. Andersen),,50-60,,
9:22.0,,,50-60,,Defensive rebound by D. Wade
9:15.0,,,50-60,,L. Deng misses 3-pt shot from 25 ft
9:14.0,Defensive rebound by E. Payton,,50-60,,
9:10.0,T. Harris makes 2-pt shot at rim (assist by E. Payton),2,52-60,,
8:46.0,,,52-60,,C. Bosh misses 2-pt shot from 15 ft
8:45.0,Defensive rebound by T. Harris,,52-60,,
8:38.0,T. Harris makes 2-pt shot from 2 ft,2,54-60,,
8:17.0,,,54-60,,Turnover by D. Wade (lost ball; steal by V. Oladipo)
7:53.0,N. Vucevic makes 2-pt shot from 9 ft,2,56-60,,
7:38.0,,,56-60,,M. Chalmers misses 2-pt shot from 18 ft
7:37.0,Defensive rebound by N. Vucevic,,56-60,,
7:28.0,V. Oladipo misses 2-pt shot from 2 ft,,56-60,,
7:27.0,,,56-60,,Defensive rebound by C. Bosh
7:21.0,,,56-62,2,L. Deng makes 2-pt shot at rim (assist by M. Chalmers)
6:56.0,N. Vucevic makes 2-pt shot from 3 ft,2,58-62,,
6:31.0,,,58-64,2,C. Andersen makes 2-pt shot from 15 ft (assist by D. Wade)
6:06.0,T. Harris misses 2-pt shot from 11 ft,,58-64,,
6:05.0,,,58-64,,Defensive rebound by C. Andersen
6:02.0,,,58-64,,Shooting foul by T. Harris (drawn by L. Deng)
6:02.0,,,58-65,1,L. Deng makes free throw 1 of 2
6:02.0,C. Frye enters the game for K. O'Quinn,,58-65,,
6:02.0,,,58-65,,N. Cole enters the game for M. Chalmers
6:02.0,,,58-65,,L. Deng misses free throw 2 of 2
6:01.0,Defensive rebound by N. Vucevic,,58-65,,
5:52.0,,,58-65,,Personal foul by N. Cole (drawn by E. Payton)
5:52.0,,,58-65,,Miami full timeout
5:40.0,N. Vucevic makes 2-pt shot from 3 ft,2,60-65,,
5:21.0,,,60-67,2,C. Bosh makes 2-pt shot from 5 ft
4:58.0,V. Oladipo misses 2-pt shot at rim,,60-67,,
4:57.0,,,60-67,,Defensive rebound by D. Wade
4:55.0,,,60-67,,Turnover by D. Wade (bad pass; steal by E. Payton)
4:49.0,T. Harris makes 2-pt shot from 1 ft (assist by E. Payton),2,62-67,,
4:22.0,,,62-67,,Shooting foul by N. Vucevic (drawn by C. Bosh)
4:22.0,,,62-67,,C. Bosh misses free throw 1 of 2
4:22.0,,,62-67,,Offensive rebound by Team
4:22.0,,,62-67,,D. Granger enters the game for C. Andersen
4:22.0,,,62-67,,M. Chalmers enters the game for D. Wade
4:22.0,E. Fournier enters the game for E. Payton,,62-67,,
4:22.0,,,62-68,1,C. Bosh makes free throw 2 of 2
4:01.0,T. Harris makes 2-pt shot from 1 ft (assist by N. Vucevic),2,64-68,,
3:40.0,,,64-70,2,C. Bosh makes 2-pt shot from 19 ft (assist by D. Granger)
3:20.0,E. Fournier misses 2-pt shot from 13 ft,,64-70,,
3:19.0,,,64-70,,Defensive rebound by C. Bosh
3:01.0,,,64-72,2,L. Deng makes 2-pt shot from 1 ft
2:41.0,N. Vucevic misses 2-pt shot from 1 ft,,64-72,,
2:40.0,,,64-72,,Defensive rebound by L. Deng
2:22.0,,,64-72,,L. Deng misses 3-pt shot from 23 ft
2:21.0,Defensive rebound by V. Oladipo,,64-72,,
2:17.0,Shooting foul by M. Chalmers (drawn by V. Oladipo),,64-72,,
2:17.0,Orlando full timeout,,64-72,,
2:17.0,E. Payton enters the game for E. Fournier,,64-72,,
2:17.0,,,64-72,,H. Whiteside enters the game for C. Bosh
2:17.0,V. Oladipo makes free throw 1 of 2,1,65-72,,
2:17.0,D. Dedmon enters the game for N. Vucevic,,65-72,,
2:17.0,V. Oladipo makes free throw 2 of 2,1,66-72,,
2:04.0,,,66-74,2,D. Granger makes 2-pt shot at rim
2:04.0,,,66-74,,Shooting foul by D. Dedmon (drawn by D. Granger)
2:04.0,E. Fournier enters the game for V. Oladipo,,66-74,,
2:04.0,,,66-75,1,D. Granger makes free throw 1 of 1
1:53.0,,,66-75,,Personal foul by M. Chalmers (drawn by E. Fournier)
1:45.0,Turnover by E. Fournier (bad pass; steal by N. Cole),,66-75,,
1:31.0,,,66-75,,M. Chalmers misses 2-pt shot from 20 ft
1:30.0,Defensive rebound by E. Fournier,,66-75,,
1:22.0,C. Frye makes 3-pt shot from 25 ft (assist by E. Payton),3,69-75,,
1:08.0,Personal foul by C. Frye (drawn by D. Granger),,69-75,,
1:08.0,,,69-75,,D. Granger misses free throw 1 of 2
1:08.0,,,69-75,,Offensive rebound by Team
1:08.0,,,69-75,,D. Granger misses free throw 2 of 2
1:07.0,Defensive rebound by C. Frye,,69-75,,
0:58.0,E. Payton makes 2-pt shot from 1 ft,2,71-75,,
0:46.0,,,71-75,,Shooting foul by D. Dedmon (drawn by N. Cole)
0:46.0,,,71-76,1,N. Cole makes free throw 1 of 2
0:46.0,,,71-77,1,N. Cole makes free throw 2 of 2
0:31.0,C. Frye makes 3-pt shot from 24 ft (assist by E. Payton),3,74-77,,
0:15.0,,,74-77,,Turnover by N. Cole (bad pass; steal by E. Payton)
0:02.0,T. Harris makes 3-pt shot from 23 ft (assist by E. Payton),3,77-77,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:40.0,,,77-77,,Personal foul by C. Bosh (drawn by C. Frye)
11:32.0,Turnover by E. Payton (lost ball),,77-77,,
11:12.0,,,77-77,,C. Bosh misses 2-pt shot from 5 ft
11:11.0,,,77-77,,Offensive rebound by H. Whiteside
11:11.0,,,77-77,,Shooting foul by C. Frye (drawn by H. Whiteside)
11:11.0,,,77-77,,H. Whiteside misses free throw 1 of 2
11:11.0,,,77-77,,Offensive rebound by Team
11:11.0,,,77-78,1,H. Whiteside makes free throw 2 of 2
10:51.0,B. Gordon makes 2-pt shot from 17 ft,2,79-78,,
10:32.0,,,79-78,,Turnover by D. Granger (lost ball; steal by E. Fournier)
10:29.0,Shooting foul by M. Chalmers (drawn by E. Fournier),,79-78,,
10:29.0,E. Fournier makes free throw 1 of 2,1,80-78,,
10:29.0,E. Fournier makes free throw 2 of 2,1,81-78,,
10:17.0,,,81-78,,Shooting foul by E. Fournier (drawn by H. Whiteside)
10:17.0,,,81-79,1,H. Whiteside makes free throw 1 of 2
10:17.0,,,81-80,1,H. Whiteside makes free throw 2 of 2
10:03.0,D. Dedmon makes 2-pt shot from 5 ft (assist by E. Payton),2,83-80,,
9:46.0,,,83-80,,N. Cole misses 3-pt shot from 24 ft
9:46.0,Defensive rebound by Team,,83-80,,
9:46.0,,,83-80,,Loose ball foul by D. Granger (drawn by C. Frye)
9:32.0,Turnover by E. Fournier (step out of bounds),,83-80,,
9:12.0,,,83-80,,C. Bosh misses 2-pt shot from 11 ft
9:11.0,Defensive rebound by E. Payton,,83-80,,
8:50.0,C. Frye makes 2-pt shot from 16 ft,2,85-80,,
8:36.0,,,85-80,,Shooting foul by D. Dedmon (drawn by C. Bosh)
8:36.0,Official timeout,,85-80,,
8:36.0,N. Vucevic enters the game for D. Dedmon,,85-80,,
8:36.0,,,85-80,,D. Wade enters the game for M. Chalmers
8:36.0,,,85-80,,C. Bosh misses free throw 1 of 2
8:36.0,,,85-80,,Offensive rebound by Team
8:36.0,,,85-81,1,C. Bosh makes free throw 2 of 2
8:25.0,E. Payton makes 2-pt shot from 1 ft,2,87-81,,
8:12.0,,,87-83,2,D. Wade makes 2-pt shot from 5 ft
8:12.0,,,87-83,,Shooting foul by B. Gordon (drawn by D. Wade)
8:12.0,,,87-84,1,D. Wade makes free throw 1 of 1
7:50.0,C. Frye misses 3-pt shot from 24 ft,,87-84,,
7:49.0,,,87-84,,Defensive rebound by H. Whiteside
7:38.0,,,87-84,,Shooting foul by E. Fournier (drawn by D. Wade)
7:38.0,,,87-85,1,D. Wade makes free throw 1 of 2
7:38.0,,,87-85,,L. Deng enters the game for C. Bosh
7:38.0,V. Oladipo enters the game for B. Gordon,,87-85,,
7:38.0,T. Harris enters the game for E. Payton,,87-85,,
7:38.0,,,87-86,1,D. Wade makes free throw 2 of 2
7:23.0,Turnover by T. Harris (bad pass; steal by H. Whiteside),,87-86,,
7:12.0,,,87-88,2,D. Wade makes 2-pt shot from 15 ft
7:11.0,Orlando full timeout,,87-88,,
6:52.0,N. Vucevic makes 2-pt shot from 9 ft,2,89-88,,
6:33.0,,,89-90,2,H. Whiteside makes 2-pt shot from 4 ft
6:33.0,,,89-90,,Shooting foul by C. Frye (drawn by H. Whiteside)
6:33.0,,,89-90,,H. Whiteside misses free throw 1 of 1
6:32.0,Defensive rebound by C. Frye,,89-90,,
6:15.0,N. Vucevic makes 2-pt shot from 14 ft,2,91-90,,
6:15.0,Shooting foul by H. Whiteside (drawn by N. Vucevic),,91-90,,
6:15.0,N. Vucevic makes free throw 1 of 1,1,92-90,,
5:59.0,,,92-90,,Shooting foul by V. Oladipo (drawn by D. Wade)
5:59.0,,,92-91,1,D. Wade makes free throw 1 of 2
5:59.0,,,92-92,1,D. Wade makes free throw 2 of 2
5:48.0,V. Oladipo misses 2-pt shot from 2 ft,,92-92,,
5:47.0,Offensive rebound by N. Vucevic,,92-92,,
5:47.0,Shooting foul by L. Deng (drawn by N. Vucevic),,92-92,,
5:47.0,N. Vucevic makes free throw 1 of 2,1,93-92,,
5:47.0,N. Vucevic misses free throw 2 of 2,,93-92,,
5:46.0,,,93-92,,Defensive rebound by H. Whiteside
5:30.0,,,93-94,2,D. Wade makes 2-pt shot from 2 ft
5:14.0,,,93-94,,Personal foul by D. Granger (drawn by V. Oladipo)
5:14.0,V. Oladipo makes free throw 1 of 2,1,94-94,,
5:14.0,,,94-94,,C. Bosh enters the game for H. Whiteside
5:14.0,V. Oladipo makes free throw 2 of 2,1,95-94,,
4:58.0,,,95-94,,Turnover by L. Deng (lost ball; steal by V. Oladipo)
4:40.0,T. Harris misses 2-pt shot from 14 ft,,95-94,,
4:39.0,,,95-94,,Defensive rebound by D. Granger
4:29.0,,,95-94,,D. Wade misses 2-pt shot from 11 ft
4:28.0,Defensive rebound by N. Vucevic,,95-94,,
4:14.0,E. Fournier misses 3-pt shot from 24 ft,,95-94,,
4:13.0,,,95-94,,Defensive rebound by C. Bosh
3:57.0,,,95-94,,D. Granger misses 3-pt shot from 24 ft
3:56.0,,,95-94,,Offensive rebound by D. Wade
3:55.0,,,95-94,,Shooting foul by T. Harris (drawn by D. Wade)
3:55.0,,,95-95,1,D. Wade makes free throw 1 of 2
3:55.0,,,95-96,1,D. Wade makes free throw 2 of 2
3:29.0,C. Frye misses 3-pt shot from 24 ft,,95-96,,
3:28.0,,,95-96,,Defensive rebound by C. Bosh
3:10.0,,,95-98,2,D. Wade makes 2-pt shot from 13 ft (assist by N. Cole)
3:10.0,Orlando full timeout,,95-98,,
2:46.0,V. Oladipo makes 2-pt shot from 2 ft,2,97-98,,
2:21.0,,,97-98,,L. Deng misses 2-pt shot from 1 ft
2:20.0,Defensive rebound by T. Harris,,97-98,,
1:56.0,N. Vucevic misses 2-pt shot from 8 ft,,97-98,,
1:55.0,,,97-98,,Defensive rebound by N. Cole
1:38.0,,,97-101,3,D. Granger makes 3-pt shot from 25 ft (assist by D. Wade)
1:27.0,T. Harris makes 2-pt shot from 9 ft (assist by V. Oladipo),2,99-101,,
1:22.0,,,99-101,,Miami full timeout
1:22.0,E. Payton enters the game for V. Oladipo,,99-101,,
1:22.0,V. Oladipo enters the game for C. Frye,,99-101,,
1:09.0,,,99-101,,D. Wade misses 2-pt shot from 12 ft
1:08.0,,,99-101,,Offensive rebound by L. Deng
1:08.0,,,99-101,,L. Deng misses 2-pt shot from 2 ft (block by N. Vucevic)
1:08.0,Jump ball: L. Deng vs. N. Vucevic (E. Fournier gains possession),,,,Jump ball: L. Deng vs. N. Vucevic (E. Fournier gains possession)
1:07.0,Offensive rebound by Team,,99-101,,
0:43.0,V. Oladipo makes 2-pt shot from 3 ft,2,101-101,,
0:26.0,,,101-101,,D. Wade misses 2-pt shot from 19 ft
0:25.0,Defensive rebound by E. Fournier,,101-101,,
0:19.0,Orlando full timeout,,101-101,,
0:19.0,C. Frye enters the game for E. Payton,,101-101,,
0:07.0,Shooting foul by N. Cole (drawn by V. Oladipo),,101-101,,
0:07.0,V. Oladipo makes free throw 1 of 2,1,102-101,,
0:07.0,,,102-101,,C. Andersen enters the game for N. Cole
0:07.0,E. Payton enters the game for C. Frye,,102-101,,
0:07.0,V. Oladipo misses free throw 2 of 2,,102-101,,
0:06.0,,,102-101,,Defensive rebound by C. Bosh
0:06.0,,,102-101,,Miami full timeout
0:06.0,,,102-101,,N. Cole enters the game for C. Andersen
0:00.0,,,102-101,,D. Wade misses 2-pt shot from 19 ft
0:00.0,,,102-101,,Offensive rebound by Team
0:00.0,End of 4th quarter,,,,End of 4th quarter
