time,Houston,pts.away,score,pts.home,Cleveland
5:36.0,,,9-15,,Turnover by K. Irving (lost ball; steal by T. Ariza)
5:28.0,Turnover by J. Harden (lost ball; steal by J. Smith),,9-15,,
5:22.0,,,9-15,,Turnover by M. Miller (bad pass; steal by T. Ariza)
5:12.0,D. Motiejunas misses 2-pt shot from 5 ft (block by B. Haywood),,9-15,,
5:12.0,Offensive rebound by Team,,9-15,,
5:09.0,P. Beverley misses 2-pt shot from 16 ft,,9-15,,
5:08.0,Offensive rebound by P. Beverley,,9-15,,
4:59.0,J. Harden misses 2-pt shot from 1 ft,,9-15,,
4:58.0,,,9-15,,Defensive rebound by Team
4:35.0,,,9-15,,Turnover by B. Haywood (bad pass)
4:35.0,J. Smith enters the game for T. Ariza,,9-15,,
4:35.0,C. Brewer enters the game for D. Howard,,9-15,,
4:25.0,J. Smith makes 2-pt shot from 20 ft (assist by J. Harden),2,11-15,,
4:13.0,,,11-15,,Turnover by K. Irving (bad pass; steal by C. Brewer)
4:09.0,C. Brewer makes 2-pt shot from 1 ft,2,13-15,,
3:54.0,,,13-15,,J. Smith misses 3-pt shot from 25 ft
3:53.0,Defensive rebound by J. Harden,,13-15,,
3:50.0,Shooting foul by M. Miller (drawn by J. Harden),,13-15,,
3:50.0,J. Harden makes free throw 1 of 2,1,14-15,,
3:50.0,,,14-15,,S. Marion enters the game for M. Miller
3:50.0,J. Harden makes free throw 2 of 2,1,15-15,,
3:25.0,,,15-15,,J. Smith misses 2-pt shot from 21 ft
3:24.0,Defensive rebound by Team,,15-15,,
3:16.0,D. Motiejunas makes 2-pt shot from 4 ft (assist by J. Harden),2,17-15,,
2:57.0,,,17-15,,S. Marion misses 3-pt shot from 24 ft
2:55.0,Defensive rebound by P. Beverley,,17-15,,
2:44.0,Houston full timeout,,17-15,,
2:44.0,J. Terry enters the game for P. Beverley,,17-15,,
2:44.0,,,17-15,,M. Dellavedova enters the game for K. Irving
2:44.0,,,17-15,,J. Harris enters the game for B. Haywood
2:38.0,J. Harden makes 3-pt shot from 23 ft (assist by C. Brewer),3,20-15,,
2:21.0,,,20-15,,Turnover by J. Harris (lost ball; steal by J. Harden)
2:17.0,Turnover by J. Harden (bad pass; steal by J. Harris),,20-15,,
2:14.0,Personal foul by D. Motiejunas (drawn by S. Marion),,20-15,,
2:14.0,K. Papanikolaou enters the game for D. Motiejunas,,20-15,,
2:02.0,Personal foul by C. Brewer (drawn by K. Love),,20-15,,
1:55.0,,,20-15,,K. Love misses 2-pt shot from 14 ft
1:54.0,Defensive rebound by J. Harden,,20-15,,
1:48.0,J. Harden misses 2-pt shot at rim,,20-15,,
1:46.0,,,20-15,,Defensive rebound by K. Love
1:37.0,,,20-18,3,J. Harris makes 3-pt shot from 23 ft (assist by S. Marion)
1:24.0,J. Terry makes 3-pt shot from 23 ft (assist by J. Harden),3,23-18,,
1:10.0,,,23-18,,Shooting foul by J. Smith (drawn by K. Love)
1:10.0,,,23-19,1,K. Love makes free throw 1 of 2
1:10.0,T. Ariza enters the game for J. Harden,,23-19,,
1:10.0,,,23-20,1,K. Love makes free throw 2 of 2
1:00.0,J. Smith makes 2-pt shot from 1 ft (assist by J. Terry),2,25-20,,
0:45.0,,,25-20,,K. Love misses 2-pt shot from 7 ft
0:41.0,Defensive rebound by T. Ariza,,25-20,,
0:34.0,Shooting foul by K. Love (drawn by J. Smith),,25-20,,
0:34.0,J. Smith makes free throw 1 of 2,1,26-20,,
0:34.0,,,26-20,,J. Jones enters the game for K. Love
0:34.0,J. Smith misses free throw 2 of 2,,26-20,,
0:33.0,,,26-20,,Defensive rebound by S. Marion
0:15.0,,,26-23,3,J. Jones makes 3-pt shot from 23 ft (assist by M. Dellavedova)
0:05.0,J. Smith misses 2-pt shot from 20 ft,,26-23,,
0:04.0,,,26-23,,Defensive rebound by J. Harris
0:00.0,,,26-23,,J. Smith misses 3-pt shot from 40 ft
0:00.0,,,26-23,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,,,26-23,,S. Marion misses 2-pt shot from 1 ft
11:39.0,,,26-23,,Offensive rebound by S. Marion
11:36.0,,,26-23,,S. Marion misses 2-pt shot from 4 ft
11:35.0,Defensive rebound by J. Smith,,26-23,,
11:29.0,C. Brewer misses 3-pt shot from 25 ft,,26-23,,
11:27.0,,,26-23,,Defensive rebound by J. Jones
11:18.0,,,26-23,,J. Jones misses 3-pt shot from 28 ft
11:17.0,Defensive rebound by J. Terry,,26-23,,
11:01.0,J. Smith makes 2-pt shot at rim,2,28-23,,
10:40.0,,,28-23,,Turnover by S. Marion (lost ball; steal by J. Terry)
10:29.0,Turnover by J. Terry (bad pass),,28-23,,
10:29.0,,,28-23,,K. Irving enters the game for J. Harris
10:10.0,,,28-25,2,K. Irving makes 2-pt shot from 14 ft
9:55.0,C. Brewer makes 2-pt shot at rim,2,30-25,,
9:37.0,,,30-27,2,K. Irving makes 2-pt shot from 18 ft
9:21.0,K. Papanikolaou makes 3-pt shot from 24 ft (assist by C. Brewer),3,33-27,,
9:08.0,,,33-27,,J. Jones misses 3-pt shot from 23 ft (block by J. Smith)
9:08.0,,,33-27,,Offensive rebound by J. Jones
9:05.0,,,33-27,,M. Dellavedova misses 3-pt shot from 24 ft
9:04.0,,,33-27,,Offensive rebound by S. Marion
9:04.0,,,33-27,,S. Marion misses 2-pt shot at rim
9:03.0,,,33-27,,Offensive rebound by K. Irving
9:01.0,,,33-29,2,S. Marion makes 2-pt shot at rim (assist by K. Irving)
8:47.0,T. Ariza makes 2-pt shot from 1 ft,2,35-29,,
8:37.0,,,35-32,3,K. Irving makes 3-pt shot from 25 ft
8:27.0,Houston full timeout,,35-32,,
8:27.0,,,35-32,,K. Love enters the game for M. Dellavedova
8:27.0,,,35-32,,T. Thompson enters the game for J. Smith
8:27.0,,,35-32,,M. Miller enters the game for S. Marion
8:27.0,D. Howard enters the game for T. Ariza,,35-32,,
8:27.0,P. Beverley enters the game for J. Smith,,35-32,,
8:27.0,D. Motiejunas enters the game for K. Papanikolaou,,35-32,,
8:12.0,Turnover by D. Howard (lost ball; steal by J. Jones),,35-32,,
8:00.0,Personal foul by D. Motiejunas (drawn by K. Irving),,35-32,,
7:48.0,Personal foul by D. Howard (drawn by K. Love),,35-32,,
7:41.0,,,35-34,2,M. Miller makes 2-pt shot from 8 ft
7:34.0,C. Brewer misses 2-pt shot from 14 ft,,35-34,,
7:33.0,,,35-34,,Defensive rebound by Team
7:23.0,,,35-36,2,K. Irving makes 2-pt shot from 15 ft
7:02.0,D. Howard makes 2-pt shot from 5 ft,2,37-36,,
6:52.0,,,37-36,,Shooting foul by J. Terry (drawn by T. Thompson)
6:52.0,,,37-37,1,T. Thompson makes free throw 1 of 2
6:52.0,T. Ariza enters the game for J. Terry,,37-37,,
6:52.0,J. Harden enters the game for C. Brewer,,37-37,,
6:52.0,,,37-38,1,T. Thompson makes free throw 2 of 2
6:36.0,P. Beverley misses 3-pt shot from 25 ft,,37-38,,
6:35.0,,,37-38,,Defensive rebound by K. Love
6:23.0,,,37-38,,K. Love misses 3-pt shot from 25 ft
6:22.0,Defensive rebound by P. Beverley,,37-38,,
6:06.0,J. Harden misses 3-pt shot from 23 ft,,37-38,,
6:05.0,,,37-38,,Defensive rebound by K. Love
5:59.0,,,37-40,2,K. Irving makes 2-pt shot from 5 ft
5:38.0,Offensive charge foul by P. Beverley,,37-40,,
5:38.0,Turnover by P. Beverley (offensive foul),,37-40,,
5:38.0,Official timeout,,37-40,,
5:20.0,,,37-40,,T. Thompson misses 2-pt shot from 4 ft
5:19.0,Defensive rebound by J. Harden,,37-40,,
5:05.0,D. Motiejunas misses 2-pt shot from 7 ft,,37-40,,
5:04.0,Offensive rebound by D. Howard,,37-40,,
5:04.0,Shooting foul by K. Love (drawn by D. Howard),,37-40,,
5:04.0,D. Howard misses free throw 1 of 2,,37-40,,
5:04.0,Offensive rebound by Team,,37-40,,
5:04.0,D. Howard misses free throw 2 of 2,,37-40,,
5:04.0,Offensive rebound by T. Ariza,,37-40,,
4:56.0,J. Harden misses 2-pt shot from 2 ft,,37-40,,
4:54.0,Offensive rebound by D. Howard,,37-40,,
4:54.0,D. Howard misses 2-pt shot from 1 ft,,37-40,,
4:52.0,Offensive rebound by D. Howard,,37-40,,
4:50.0,T. Ariza makes 3-pt shot from 26 ft (assist by D. Howard),3,40-40,,
4:25.0,,,40-40,,K. Irving misses 3-pt shot from 24 ft
4:24.0,Defensive rebound by J. Harden,,40-40,,
4:07.0,T. Ariza makes 3-pt shot from 24 ft (assist by D. Howard),3,43-40,,
3:59.0,,,43-40,,Cleveland full timeout
3:59.0,,,43-40,,M. Dellavedova enters the game for J. Jones
3:50.0,,,43-40,,Turnover by M. Miller (lost ball)
3:32.0,P. Beverley misses 3-pt shot from 24 ft,,43-40,,
3:31.0,,,43-40,,Defensive rebound by M. Miller
3:26.0,,,43-42,2,K. Irving makes 2-pt shot from 1 ft
3:04.0,J. Harden makes 2-pt shot from 18 ft,2,45-42,,
2:39.0,,,45-42,,M. Miller misses 2-pt shot from 11 ft
2:36.0,Defensive rebound by D. Howard,,45-42,,
2:31.0,T. Ariza misses 3-pt shot from 24 ft,,45-42,,
2:30.0,Offensive rebound by J. Harden,,45-42,,
2:26.0,T. Ariza misses 3-pt shot from 25 ft,,45-42,,
2:25.0,,,45-42,,Defensive rebound by K. Love
2:07.0,,,45-42,,K. Love misses 2-pt shot from 11 ft
2:04.0,Defensive rebound by P. Beverley,,45-42,,
1:58.0,J. Harden misses 2-pt shot from 4 ft,,45-42,,
1:57.0,Offensive rebound by J. Harden,,45-42,,
1:54.0,Turnover by D. Howard (3 sec),,45-42,,
1:54.0,J. Smith enters the game for D. Motiejunas,,45-42,,
1:54.0,,,45-42,,S. Marion enters the game for K. Love
1:54.0,J. Terry enters the game for P. Beverley,,45-42,,
1:54.0,,,45-42,,J. Jones enters the game for M. Miller
1:30.0,,,45-45,3,J. Jones makes 3-pt shot from 23 ft (assist by S. Marion)
1:16.0,Shooting foul by T. Thompson (drawn by J. Harden),,45-45,,
1:16.0,J. Harden makes free throw 1 of 2,1,46-45,,
1:16.0,,,46-45,,B. Haywood enters the game for T. Thompson
1:16.0,Houston full timeout,,46-45,,
1:16.0,J. Harden makes free throw 2 of 2,1,47-45,,
1:03.0,,,47-45,,Turnover by B. Haywood (bad pass; steal by T. Ariza)
0:50.0,J. Harden misses 3-pt shot from 26 ft,,47-45,,
0:49.0,,,47-45,,Defensive rebound by K. Irving
0:43.0,,,47-45,,M. Dellavedova misses 3-pt shot from 25 ft
0:42.0,Defensive rebound by T. Ariza,,47-45,,
0:35.0,J. Smith makes 2-pt shot from 5 ft (assist by J. Harden),2,49-45,,
0:14.0,,,49-48,3,K. Irving makes 3-pt shot from 25 ft (assist by M. Dellavedova)
0:02.0,J. Harden misses 2-pt shot from 4 ft,,49-48,,
0:01.0,Offensive rebound by D. Howard,,49-48,,
0:01.0,D. Howard misses 2-pt shot from 1 ft,,49-48,,
0:00.0,Offensive rebound by D. Howard,,49-48,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,,,49-48,,K. Love misses 2-pt shot from 21 ft
11:40.0,,,49-48,,Offensive rebound by T. Thompson
11:29.0,,,49-48,,M. Dellavedova misses 2-pt shot from 10 ft
11:26.0,,,49-48,,Offensive rebound by K. Love
11:26.0,,,49-50,2,K. Love makes 2-pt shot at rim
11:04.0,T. Ariza misses 3-pt shot from 22 ft,,49-50,,
11:03.0,Offensive rebound by Team,,49-50,,
10:55.0,D. Motiejunas makes 2-pt shot from 1 ft (assist by J. Harden),2,51-50,,
10:36.0,Personal foul by D. Howard (drawn by K. Irving),,51-50,,
10:27.0,,,51-52,2,T. Thompson makes 2-pt shot at rim
10:07.0,D. Howard misses 2-pt shot from 4 ft,,51-52,,
10:06.0,,,51-52,,Defensive rebound by T. Thompson
10:05.0,Personal foul by P. Beverley (drawn by K. Irving),,51-52,,
9:43.0,,,51-54,2,K. Irving makes 2-pt shot from 11 ft
9:28.0,P. Beverley makes 2-pt shot from 4 ft,2,53-54,,
9:07.0,,,53-56,2,K. Love makes 2-pt shot from 5 ft (assist by M. Miller)
8:41.0,J. Harden misses 2-pt shot from 2 ft,,53-56,,
8:38.0,,,53-56,,Defensive rebound by K. Love
8:36.0,,,53-56,,Turnover by K. Love (bad pass; steal by T. Ariza)
8:32.0,J. Harden makes 2-pt shot at rim (assist by T. Ariza),2,55-56,,
8:20.0,,,55-59,3,K. Irving makes 3-pt shot from 27 ft (assist by K. Love)
8:01.0,D. Howard misses 2-pt shot from 5 ft,,55-59,,
8:00.0,,,55-59,,Defensive rebound by K. Love
7:46.0,,,55-59,,Turnover by K. Irving (bad pass)
7:29.0,D. Howard makes 2-pt shot at rim (assist by D. Motiejunas),2,57-59,,
7:29.0,Shooting foul by M. Miller (drawn by D. Howard),,57-59,,
7:29.0,D. Howard misses free throw 1 of 1,,57-59,,
7:29.0,,,57-59,,Defensive rebound by Team
7:29.0,Loose ball foul by T. Ariza (drawn by K. Love),,57-59,,
7:13.0,,,57-59,,K. Irving misses 3-pt shot from 25 ft
7:12.0,Defensive rebound by D. Howard,,57-59,,
7:08.0,Turnover by J. Harden (bad pass; steal by M. Miller),,57-59,,
7:01.0,,,57-61,2,K. Love makes 2-pt shot at rim (assist by K. Irving)
6:46.0,D. Howard misses 2-pt shot from 1 ft,,57-61,,
6:44.0,Offensive rebound by D. Motiejunas,,57-61,,
6:44.0,D. Motiejunas makes 2-pt shot at rim,2,59-61,,
6:29.0,,,59-61,,J. Smith enters the game for M. Dellavedova
6:29.0,Jump ball: D. Howard vs. K. Love (K. Irving gains possession),,,,Jump ball: D. Howard vs. K. Love (K. Irving gains possession)
6:19.0,,,59-63,2,K. Irving makes 2-pt shot at rim
6:19.0,Houston full timeout,,59-63,,
5:58.0,D. Motiejunas misses 3-pt shot from 23 ft,,59-63,,
5:57.0,Offensive rebound by D. Howard,,59-63,,
5:54.0,D. Howard misses 2-pt shot at rim (block by J. Smith),,59-63,,
5:52.0,Offensive rebound by T. Ariza,,59-63,,
5:45.0,P. Beverley misses 3-pt shot from 23 ft,,59-63,,
5:44.0,Offensive rebound by Team,,59-63,,
5:27.0,P. Beverley makes 3-pt shot from 22 ft (assist by T. Ariza),3,62-63,,
4:58.0,,,62-63,,K. Love misses 2-pt shot from 14 ft
4:55.0,,,62-63,,Offensive rebound by T. Thompson
4:49.0,,,62-65,2,K. Irving makes 2-pt shot at rim
4:33.0,D. Motiejunas makes 2-pt shot from 4 ft (assist by P. Beverley),2,64-65,,
4:18.0,,,64-65,,K. Irving misses 2-pt shot at rim
4:16.0,Defensive rebound by J. Harden,,64-65,,
4:08.0,T. Ariza misses 3-pt shot from 25 ft,,64-65,,
4:07.0,Offensive rebound by D. Howard,,64-65,,
3:59.0,J. Harden misses 2-pt shot from 2 ft (block by T. Thompson),,64-65,,
3:57.0,,,64-65,,Defensive rebound by K. Love
3:52.0,Personal block foul by D. Motiejunas (drawn by J. Smith),,64-65,,
3:52.0,J. Smith enters the game for D. Howard,,64-65,,
3:48.0,,,64-65,,Shooting foul by J. Smith (drawn by T. Thompson)
3:48.0,,,64-66,1,T. Thompson makes free throw 1 of 2
3:48.0,,,64-66,,J. Harris enters the game for M. Miller
3:48.0,J. Terry enters the game for P. Beverley,,64-66,,
3:48.0,,,64-67,1,T. Thompson makes free throw 2 of 2
3:35.0,,,64-67,,Personal foul by J. Smith (drawn by J. Harden)
3:35.0,,,64-67,,S. Marion enters the game for T. Thompson
3:20.0,J. Harden misses 3-pt shot from 24 ft,,64-67,,
3:18.0,,,64-67,,Defensive rebound by J. Smith
3:03.0,,,64-69,2,K. Irving makes 2-pt shot from 10 ft
2:51.0,J. Harden makes 2-pt shot at rim,2,66-69,,
2:37.0,,,66-69,,Cleveland full timeout
2:26.0,,,66-69,,J. Smith misses 3-pt shot from 25 ft
2:25.0,Defensive rebound by T. Ariza,,66-69,,
2:21.0,J. Harden makes 2-pt shot from 1 ft,2,68-69,,
2:21.0,Shooting foul by J. Smith (drawn by J. Harden),,68-69,,
2:21.0,J. Harden makes free throw 1 of 1,1,69-69,,
2:08.0,,,69-69,,K. Irving misses 2-pt shot from 6 ft
2:04.0,,,69-69,,Offensive rebound by K. Love
2:04.0,,,69-71,2,K. Love makes 2-pt shot at rim
1:48.0,D. Motiejunas misses 2-pt shot from 1 ft,,69-71,,
1:47.0,Offensive rebound by D. Motiejunas,,69-71,,
1:47.0,D. Motiejunas makes 2-pt shot from 1 ft,2,71-71,,
1:39.0,,,71-71,,K. Irving misses 2-pt shot at rim
1:36.0,Defensive rebound by T. Ariza,,71-71,,
1:16.0,C. Brewer enters the game for T. Ariza,,71-71,,
1:16.0,D. Howard enters the game for D. Motiejunas,,71-71,,
1:12.0,Jump ball: J. Harden vs. K. Irving (J. Smith gains possession),,,,Jump ball: J. Harden vs. K. Irving (J. Smith gains possession)
1:12.0,Turnover by J. Harden (lost ball; steal by K. Irving),,71-71,,
0:58.0,,,71-71,,K. Love misses 2-pt shot from 1 ft
0:56.0,Defensive rebound by J. Terry,,71-71,,
0:52.0,J. Harden misses 3-pt shot from 25 ft,,71-71,,
0:51.0,Offensive rebound by D. Howard,,71-71,,
0:50.0,Shooting foul by J. Harris (drawn by D. Howard),,71-71,,
0:50.0,D. Howard makes free throw 1 of 2,1,72-71,,
0:50.0,,,72-71,,M. Dellavedova enters the game for K. Irving
0:50.0,D. Howard makes free throw 2 of 2,1,73-71,,
0:31.0,,,73-71,,S. Marion misses 2-pt shot from 1 ft
0:30.0,,,73-71,,Offensive rebound by K. Love
0:30.0,,,73-73,2,K. Love makes 2-pt shot at rim
0:07.0,,,73-73,,Personal foul by J. Smith (drawn by D. Howard)
0:07.0,D. Howard misses free throw 1 of 2,,73-73,,
0:07.0,Offensive rebound by Team,,73-73,,
0:07.0,,,73-73,,K. Irving enters the game for S. Marion
0:07.0,T. Ariza enters the game for J. Smith,,73-73,,
0:07.0,D. Howard misses free throw 2 of 2,,73-73,,
0:06.0,,,73-73,,Defensive rebound by K. Love
0:06.0,Personal foul by C. Brewer (drawn by K. Love),,73-73,,
0:06.0,,,73-74,1,K. Love makes free throw 1 of 2
0:06.0,,,73-74,,S. Marion enters the game for K. Irving
0:06.0,J. Smith enters the game for D. Howard,,73-74,,
0:06.0,,,73-74,,K. Love misses free throw 2 of 2
0:05.0,Defensive rebound by J. Smith,,73-74,,
0:01.0,Turnover by J. Harden (lost ball),,73-74,,
0:00.0,,,73-74,,J. Smith misses 3-pt shot from 40 ft
0:00.0,,,73-74,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,J. Smith makes 2-pt shot from 13 ft,2,75-74,,
11:30.0,,,75-74,,Turnover by J. Smith (bad pass)
11:17.0,Turnover by J. Smith (bad pass),,75-74,,
11:03.0,,,75-74,,J. Harris misses 3-pt shot from 26 ft
11:02.0,Defensive rebound by D. Howard,,75-74,,
10:52.0,D. Howard makes 2-pt shot at rim (assist by C. Brewer),2,77-74,,
10:31.0,,,77-74,,Turnover by J. Smith (bad pass; steal by C. Brewer)
10:25.0,P. Beverley misses 3-pt shot from 22 ft,,77-74,,
10:24.0,,,77-74,,Defensive rebound by S. Marion
10:10.0,,,77-76,2,T. Thompson makes 2-pt shot from 1 ft (assist by M. Dellavedova)
10:10.0,,,77-76,,Shooting foul by D. Howard (drawn by T. Thompson)
10:10.0,,,77-76,,K. Irving enters the game for J. Harris
10:10.0,,,77-76,,M. Miller enters the game for J. Smith
10:10.0,,,77-77,1,T. Thompson makes free throw 1 of 1
9:58.0,C. Brewer misses 2-pt shot from 9 ft,,77-77,,
9:57.0,Offensive rebound by D. Howard,,77-77,,
9:57.0,D. Howard makes 2-pt shot at rim,2,79-77,,
9:43.0,,,79-77,,Offensive charge foul by T. Thompson
9:43.0,,,79-77,,Turnover by T. Thompson (offensive foul)
9:27.0,P. Beverley misses 3-pt shot from 24 ft,,79-77,,
9:25.0,Offensive rebound by D. Howard,,79-77,,
9:24.0,Shooting foul by K. Irving (drawn by D. Howard),,79-77,,
9:24.0,D. Howard makes free throw 1 of 2,1,80-77,,
9:24.0,D. Howard misses free throw 2 of 2,,80-77,,
9:24.0,Offensive rebound by C. Brewer,,80-77,,
9:24.0,C. Brewer misses 2-pt shot at rim,,80-77,,
9:23.0,,,80-77,,Defensive rebound by M. Miller
9:04.0,,,80-77,,M. Miller misses 3-pt shot from 22 ft
9:03.0,Defensive rebound by D. Howard,,80-77,,
8:56.0,Turnover by J. Terry (bad pass),,80-77,,
8:56.0,Official timeout,,80-77,,
8:56.0,,,80-77,,K. Love enters the game for S. Marion
8:38.0,,,80-79,2,M. Dellavedova makes 2-pt shot from 14 ft (assist by K. Love)
8:21.0,D. Howard makes 2-pt shot at rim (assist by J. Smith),2,82-79,,
8:02.0,Personal foul by J. Terry (drawn by K. Irving),,82-79,,
7:58.0,,,82-79,,Turnover by M. Dellavedova (bad pass)
7:45.0,J. Smith misses 2-pt shot from 19 ft,,82-79,,
7:44.0,Offensive rebound by P. Beverley,,82-79,,
7:30.0,C. Brewer makes 3-pt shot from 25 ft (assist by J. Smith),3,85-79,,
7:18.0,Personal foul by P. Beverley (drawn by K. Irving),,85-79,,
7:11.0,,,85-79,,K. Irving misses 2-pt shot from 8 ft
7:10.0,Defensive rebound by J. Smith,,85-79,,
6:56.0,J. Terry misses 3-pt shot from 22 ft,,85-79,,
6:55.0,,,85-79,,Defensive rebound by Team
6:55.0,,,85-79,,Cleveland full timeout
6:39.0,,,85-79,,K. Love misses 3-pt shot from 25 ft
6:38.0,Defensive rebound by D. Howard,,85-79,,
6:22.0,Turnover by D. Howard (bad pass; steal by M. Miller),,85-79,,
6:16.0,,,85-79,,K. Irving misses 2-pt shot from 1 ft (block by J. Smith)
6:14.0,Defensive rebound by J. Terry,,85-79,,
6:07.0,C. Brewer makes 3-pt shot from 23 ft (assist by J. Terry),3,88-79,,
5:56.0,Personal foul by P. Beverley (drawn by K. Irving),,88-79,,
5:56.0,,,88-79,,J. Harris enters the game for M. Miller
5:56.0,T. Ariza enters the game for P. Beverley,,88-79,,
5:48.0,,,88-82,3,M. Dellavedova makes 3-pt shot from 24 ft (assist by K. Love)
5:30.0,Turnover by J. Smith (bad pass; steal by T. Thompson),,88-82,,
5:08.0,,,88-82,,M. Dellavedova misses 3-pt shot from 22 ft
5:06.0,Defensive rebound by J. Smith,,88-82,,
5:03.0,Shooting foul by J. Harris (drawn by C. Brewer),,88-82,,
5:03.0,C. Brewer makes free throw 1 of 2,1,89-82,,
5:03.0,C. Brewer makes free throw 2 of 2,1,90-82,,
4:45.0,,,90-84,2,K. Love makes 2-pt shot at rim (assist by M. Dellavedova)
4:24.0,J. Smith makes 2-pt shot from 6 ft (assist by J. Terry),2,92-84,,
4:01.0,,,92-84,,K. Love misses 2-pt shot from 16 ft
4:00.0,Defensive rebound by J. Terry,,92-84,,
3:54.0,T. Ariza misses 3-pt shot from 25 ft,,92-84,,
3:51.0,,,92-84,,Defensive rebound by K. Love
3:35.0,,,92-84,,Shooting foul by D. Howard (drawn by K. Love)
3:35.0,J. Harden enters the game for C. Brewer,,92-84,,
3:35.0,,,92-84,,K. Love misses free throw 1 of 2
3:35.0,,,92-84,,Offensive rebound by Team
3:35.0,,,92-84,,K. Love misses free throw 2 of 2
3:32.0,Defensive rebound by D. Howard,,92-84,,
3:14.0,J. Terry makes 3-pt shot from 23 ft (assist by J. Harden),3,95-84,,
3:00.0,,,95-84,,K. Irving misses 2-pt shot from 17 ft
2:58.0,,,95-84,,Offensive rebound by T. Thompson
2:55.0,,,95-84,,T. Thompson misses 2-pt shot from 2 ft
2:54.0,Defensive rebound by D. Howard,,95-84,,
2:47.0,T. Ariza misses 3-pt shot from 24 ft,,95-84,,
2:46.0,,,95-84,,Defensive rebound by K. Love
