time,Dallas,pts.away,score,pts.home,Memphis
7:05.0,,,7-6,,Offensive rebound by Team
7:05.0,Loose ball foul by D. Harris (drawn by Z. Randolph),,7-6,,
6:51.0,,,7-6,,Z. Randolph misses 2-pt shot from 15 ft
6:50.0,Defensive rebound by D. Nowitzki,,7-6,,
6:43.0,,,7-6,,Personal foul by Z. Randolph (drawn by T. Chandler)
6:37.0,Turnover by M. Ellis (bad pass; steal by C. Lee),,7-6,,
6:22.0,,,7-6,,Shooting foul by M. Ellis (drawn by M. Gasol)
6:22.0,,,7-7,1,M. Gasol makes free throw 1 of 2
6:22.0,D. Powell enters the game for D. Nowitzki,,7-7,,
6:22.0,,,7-7,,B. Udrih enters the game for M. Conley
6:22.0,,,7-7,,M. Gasol misses free throw 2 of 2
6:20.0,Defensive rebound by D. Powell,,7-7,,
6:08.0,D. Harris makes 2-pt shot from 22 ft (assist by M. Ellis),2,9-7,,
5:47.0,,,9-7,,T. Allen misses 2-pt shot at rim
5:45.0,,,9-7,,Offensive rebound by Team
5:45.0,,,9-7,,Memphis full timeout
5:36.0,Personal foul by D. Powell (drawn by M. Gasol),,9-7,,
5:31.0,,,9-7,,Turnover by B. Udrih (bad pass; steal by D. Harris)
5:27.0,T. Chandler makes 2-pt shot at rim (assist by M. Ellis),2,11-7,,
5:27.0,Shooting foul by T. Allen (drawn by T. Chandler),,11-7,,
5:27.0,,,11-7,,J. Green enters the game for T. Allen
5:27.0,T. Chandler makes free throw 1 of 1,1,12-7,,
5:08.0,,,12-7,,J. Green misses 2-pt shot from 9 ft
5:06.0,Defensive rebound by D. Harris,,12-7,,
5:02.0,C. Parsons misses 2-pt shot at rim (block by J. Green),,12-7,,
4:59.0,Offensive rebound by D. Harris,,12-7,,
4:57.0,M. Ellis misses 2-pt shot from 15 ft,,12-7,,
4:55.0,,,12-7,,Defensive rebound by Z. Randolph
4:38.0,,,12-10,3,C. Lee makes 3-pt shot from 23 ft (assist by M. Gasol)
4:12.0,M. Ellis makes 3-pt shot from 22 ft (assist by C. Parsons),3,15-10,,
4:01.0,,,15-10,,B. Udrih misses 2-pt shot from 16 ft
3:59.0,Defensive rebound by T. Chandler,,15-10,,
3:50.0,D. Harris makes 2-pt shot from 19 ft,2,17-10,,
3:28.0,,,17-12,2,Z. Randolph makes 2-pt shot from 1 ft (assist by M. Gasol)
3:19.0,Turnover by D. Harris (traveling),,17-12,,
3:03.0,,,17-12,,Turnover by C. Lee (bad pass; steal by M. Ellis)
3:00.0,M. Ellis makes 2-pt shot at rim,2,19-12,,
3:00.0,Shooting foul by C. Lee (drawn by M. Ellis),,19-12,,
3:00.0,M. Ellis makes free throw 1 of 1,1,20-12,,
2:48.0,,,20-12,,Turnover by Z. Randolph (traveling)
2:48.0,Dallas full timeout,,20-12,,
2:48.0,,,20-12,,J. Adams enters the game for C. Lee
2:33.0,M. Ellis misses 2-pt shot from 20 ft,,20-12,,
2:32.0,,,20-12,,Defensive rebound by J. Green
2:13.0,,,20-12,,J. Adams misses 3-pt shot from 23 ft
2:12.0,Defensive rebound by T. Chandler,,20-12,,
2:06.0,D. Harris makes 2-pt shot at rim,2,22-12,,
1:45.0,,,22-14,2,Z. Randolph makes 2-pt shot at rim
1:34.0,D. Harris makes 3-pt shot from 25 ft,3,25-14,,
1:13.0,,,25-14,,J. Green misses 3-pt shot from 25 ft
1:11.0,Defensive rebound by M. Ellis,,25-14,,
1:01.0,T. Chandler misses 2-pt shot at rim,,25-14,,
1:00.0,Offensive rebound by T. Chandler,,25-14,,
1:00.0,T. Chandler misses 2-pt shot at rim,,25-14,,
0:58.0,,,25-14,,Defensive rebound by M. Gasol
0:56.0,,,25-16,2,J. Green makes 2-pt shot at rim (assist by B. Udrih)
0:56.0,Dallas full timeout,,25-16,,
0:56.0,R. Jefferson enters the game for C. Parsons,,25-16,,
0:56.0,D. Nowitzki enters the game for T. Chandler,,25-16,,
0:56.0,R. Rondo enters the game for M. Ellis,,25-16,,
0:56.0,,,25-16,,N. Calathes enters the game for M. Gasol
0:56.0,,,25-16,,K. Koufos enters the game for J. Adams
0:34.0,D. Harris misses 2-pt shot from 8 ft,,25-16,,
0:32.0,,,25-16,,Defensive rebound by N. Calathes
0:19.0,,,25-16,,Turnover by N. Calathes (bad pass)
0:02.0,D. Harris misses 3-pt shot from 25 ft,,25-16,,
0:02.0,,,25-16,,Defensive rebound by J. Green
0:00.0,,,25-16,,J. Green misses 3-pt shot from 83 ft
0:00.0,,,25-16,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:40.0,,,25-18,2,J. Green makes 2-pt shot from 7 ft
11:16.0,R. Jefferson misses 3-pt shot from 22 ft,,25-18,,
11:15.0,,,25-18,,Defensive rebound by K. Koufos
11:05.0,,,25-20,2,B. Udrih makes 2-pt shot from 3 ft
10:58.0,,,25-20,,Personal foul by B. Udrih (drawn by J. Barea)
10:44.0,D. Powell misses 2-pt shot from 19 ft,,25-20,,
10:43.0,,,25-20,,Defensive rebound by K. Koufos
10:35.0,,,25-22,2,J. Green makes 2-pt shot from 7 ft
10:24.0,Shooting foul by K. Koufos (drawn by D. Powell),,25-22,,
10:24.0,D. Powell makes free throw 1 of 2,1,26-22,,
10:24.0,D. Powell makes free throw 2 of 2,1,27-22,,
10:09.0,,,27-22,,N. Calathes misses 2-pt shot at rim
10:08.0,Defensive rebound by R. Jefferson,,27-22,,
10:03.0,,,27-22,,Personal foul by N. Calathes (drawn by R. Jefferson)
10:03.0,A. Aminu enters the game for D. Powell,,27-22,,
9:48.0,Shooting foul by B. Udrih (drawn by J. Barea),,27-22,,
9:48.0,J. Barea makes free throw 1 of 2,1,28-22,,
9:48.0,J. Barea makes free throw 2 of 2,1,29-22,,
9:35.0,,,29-22,,K. Koufos misses 2-pt shot from 6 ft
9:33.0,Defensive rebound by D. Nowitzki,,29-22,,
9:22.0,D. Nowitzki makes 2-pt shot from 20 ft (assist by J. Barea),2,31-22,,
9:08.0,Personal foul by D. Nowitzki (drawn by K. Koufos),,31-22,,
9:01.0,,,31-24,2,B. Udrih makes 2-pt shot from 12 ft (assist by V. Carter)
8:37.0,J. Barea misses 2-pt shot from 7 ft (block by V. Carter),,31-24,,
8:35.0,,,31-24,,Defensive rebound by K. Koufos
8:24.0,,,31-24,,V. Carter misses 3-pt shot from 26 ft
8:23.0,Defensive rebound by R. Jefferson,,31-24,,
8:14.0,Shooting foul by V. Carter (drawn by R. Jefferson),,31-24,,
8:14.0,Dallas full timeout,,31-24,,
8:14.0,,,31-24,,M. Conley enters the game for B. Udrih
8:14.0,R. Jefferson makes free throw 1 of 2,1,32-24,,
8:14.0,R. Jefferson makes free throw 2 of 2,1,33-24,,
7:58.0,,,33-26,2,J. Green makes 2-pt shot from 6 ft
7:40.0,A. Aminu makes 2-pt shot from 6 ft,2,35-26,,
7:40.0,Shooting foul by K. Koufos (drawn by A. Aminu),,35-26,,
7:40.0,A. Aminu makes free throw 1 of 1,1,36-26,,
7:25.0,,,36-28,2,N. Calathes makes 2-pt shot at rim (assist by M. Conley)
7:02.0,D. Nowitzki misses 2-pt shot from 18 ft,,36-28,,
7:01.0,,,36-28,,Defensive rebound by V. Carter
6:50.0,,,36-30,2,K. Koufos makes 2-pt shot from 8 ft (assist by J. Green)
6:49.0,Dallas full timeout,,36-30,,
6:49.0,T. Chandler enters the game for D. Nowitzki,,36-30,,
6:49.0,M. Ellis enters the game for R. Rondo,,36-30,,
6:49.0,D. Harris enters the game for J. Barea,,36-30,,
6:49.0,C. Parsons enters the game for A. Aminu,,36-30,,
6:26.0,M. Ellis misses 3-pt shot from 25 ft,,36-30,,
6:25.0,,,36-30,,Defensive rebound by J. Green
6:12.0,,,36-32,2,J. Green makes 2-pt shot from 6 ft
6:12.0,,,36-32,,Shooting foul by R. Jefferson (drawn by J. Green)
6:12.0,,,36-33,1,J. Green makes free throw 1 of 1
6:02.0,,,36-33,,Personal foul by J. Green (drawn by C. Parsons)
6:02.0,C. Parsons makes free throw 1 of 2,1,37-33,,
6:02.0,C. Parsons misses free throw 2 of 2,,37-33,,
6:00.0,,,37-33,,Defensive rebound by K. Koufos
5:52.0,,,37-33,,V. Carter misses 3-pt shot from 26 ft
5:52.0,,,37-33,,Offensive rebound by Team
5:52.0,Personal foul by C. Parsons (drawn by K. Koufos),,37-33,,
5:39.0,,,37-35,2,M. Conley makes 2-pt shot from 5 ft
5:10.0,R. Jefferson makes 3-pt shot from 26 ft (assist by T. Chandler),3,40-35,,
5:00.0,,,40-37,2,M. Conley makes 2-pt shot at rim (assist by N. Calathes)
4:51.0,C. Parsons makes 3-pt shot from 26 ft (assist by D. Harris),3,43-37,,
4:33.0,,,43-37,,M. Conley misses 3-pt shot from 26 ft
4:32.0,Defensive rebound by D. Harris,,43-37,,
4:17.0,M. Ellis makes 2-pt shot from 1 ft,2,45-37,,
4:11.0,,,45-37,,Turnover by N. Calathes (bad pass; steal by C. Parsons)
4:09.0,,,45-37,,Personal foul by M. Conley (drawn by C. Parsons)
4:09.0,C. Parsons misses free throw 1 of 2,,45-37,,
4:09.0,Offensive rebound by Team,,45-37,,
4:09.0,,,45-37,,M. Gasol enters the game for K. Koufos
4:09.0,D. Powell enters the game for R. Jefferson,,45-37,,
4:09.0,,,45-37,,Z. Randolph enters the game for V. Carter
4:09.0,C. Parsons makes free throw 2 of 2,1,46-37,,
3:53.0,,,46-37,,Shooting foul by D. Powell (drawn by M. Gasol)
3:53.0,,,46-38,1,M. Gasol makes free throw 1 of 2
3:53.0,,,46-39,1,M. Gasol makes free throw 2 of 2
3:42.0,D. Harris makes 2-pt shot from 9 ft,2,48-39,,
3:42.0,Shooting foul by M. Conley (drawn by D. Harris),,48-39,,
3:42.0,D. Harris makes free throw 1 of 1,1,49-39,,
3:28.0,,,49-39,,J. Green misses 2-pt shot at rim (block by C. Parsons)
3:25.0,,,49-39,,Offensive rebound by Z. Randolph
3:25.0,,,49-41,2,Z. Randolph makes 2-pt shot from 1 ft
3:04.0,C. Parsons misses 2-pt shot from 4 ft,,49-41,,
3:01.0,,,49-41,,Defensive rebound by Z. Randolph
2:56.0,,,49-41,,Shooting foul by D. Harris (drawn by M. Conley)
2:56.0,,,49-41,,Memphis full timeout
2:56.0,D. Nowitzki enters the game for D. Harris,,49-41,,
2:56.0,R. Rondo enters the game for D. Powell,,49-41,,
2:56.0,,,49-41,,M. Conley misses free throw 1 of 2
2:56.0,,,49-41,,Offensive rebound by Team
2:56.0,,,49-42,1,M. Conley makes free throw 2 of 2
2:42.0,C. Parsons misses 3-pt shot from 25 ft,,49-42,,
2:41.0,,,49-42,,Defensive rebound by N. Calathes
2:25.0,Personal foul by C. Parsons (drawn by M. Gasol),,49-42,,
2:25.0,,,49-43,1,M. Gasol makes free throw 1 of 2
2:25.0,,,49-44,1,M. Gasol makes free throw 2 of 2
2:12.0,Turnover by M. Ellis (lost ball; steal by N. Calathes),,49-44,,
2:06.0,,,49-44,,M. Conley misses 3-pt shot from 26 ft
2:04.0,,,49-44,,Offensive rebound by M. Gasol
2:04.0,,,49-46,2,M. Gasol makes 2-pt shot at rim
1:51.0,Turnover by M. Ellis (bad pass),,49-46,,
1:35.0,,,49-46,,M. Conley misses 2-pt shot from 21 ft
1:34.0,,,49-46,,Offensive rebound by Team
1:20.0,,,49-46,,M. Gasol misses 2-pt shot from 17 ft
1:19.0,Defensive rebound by C. Parsons,,49-46,,
0:56.0,M. Ellis misses 3-pt shot from 25 ft,,49-46,,
0:55.0,Offensive rebound by T. Chandler,,49-46,,
0:55.0,,,49-46,,Personal foul by M. Conley (drawn by T. Chandler)
0:55.0,T. Chandler misses free throw 1 of 2,,49-46,,
0:55.0,Offensive rebound by Team,,49-46,,
0:55.0,,,49-46,,C. Lee enters the game for M. Conley
0:55.0,T. Chandler makes free throw 2 of 2,1,50-46,,
0:39.0,,,50-46,,M. Gasol misses 2-pt shot from 10 ft
0:37.0,Defensive rebound by T. Chandler,,50-46,,
0:33.0,,,50-46,,Personal foul by N. Calathes (drawn by M. Ellis)
0:33.0,M. Ellis makes free throw 1 of 2,1,51-46,,
0:33.0,D. Harris enters the game for R. Rondo,,51-46,,
0:33.0,M. Ellis misses free throw 2 of 2,,51-46,,
0:33.0,,,51-46,,Defensive rebound by M. Gasol
0:20.0,,,51-46,,J. Green misses 2-pt shot from 16 ft
0:19.0,Defensive rebound by D. Nowitzki,,51-46,,
0:01.0,M. Ellis makes 2-pt shot from 21 ft,2,53-46,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:38.0,,,53-46,,C. Lee misses 2-pt shot from 16 ft
11:37.0,,,53-46,,Offensive rebound by C. Lee
11:33.0,,,53-49,3,M. Conley makes 3-pt shot from 25 ft (assist by C. Lee)
11:17.0,C. Parsons makes 3-pt shot from 27 ft (assist by M. Ellis),3,56-49,,
10:59.0,,,56-51,2,Z. Randolph makes 2-pt shot from 14 ft
10:42.0,Turnover by M. Ellis (bad pass; steal by Z. Randolph),,56-51,,
10:35.0,,,56-51,,C. Lee misses 2-pt shot from 2 ft
10:32.0,,,56-51,,Offensive rebound by Team
10:32.0,Loose ball foul by R. Rondo (drawn by M. Conley),,56-51,,
10:16.0,,,56-53,2,T. Allen makes 2-pt shot at rim (assist by M. Gasol)
10:04.0,R. Rondo misses 2-pt shot from 19 ft,,56-53,,
10:03.0,,,56-53,,Defensive rebound by Z. Randolph
9:50.0,,,56-55,2,M. Gasol makes 2-pt shot at rim (assist by M. Conley)
9:50.0,Dallas full timeout,,56-55,,
9:37.0,D. Nowitzki makes 2-pt shot from 14 ft (assist by C. Parsons),2,58-55,,
9:19.0,,,58-55,,M. Gasol misses 2-pt shot from 20 ft
9:18.0,Defensive rebound by C. Parsons,,58-55,,
9:12.0,C. Parsons misses 3-pt shot from 26 ft,,58-55,,
9:10.0,Offensive rebound by T. Chandler,,58-55,,
8:55.0,D. Nowitzki makes 3-pt shot from 26 ft (assist by M. Ellis),3,61-55,,
8:55.0,Shooting foul by T. Allen (drawn by D. Nowitzki),,61-55,,
8:55.0,D. Nowitzki makes free throw 1 of 1,1,62-55,,
8:31.0,,,62-57,2,Z. Randolph makes 2-pt shot from 22 ft (assist by M. Conley)
8:25.0,Turnover by R. Rondo (lost ball; steal by C. Lee),,62-57,,
8:22.0,,,62-59,2,C. Lee makes 2-pt shot at rim
8:08.0,Turnover by M. Ellis (bad pass; steal by M. Gasol),,62-59,,
8:02.0,,,62-59,,Turnover by Z. Randolph (lost ball)
7:47.0,C. Parsons makes 2-pt shot at rim,2,64-59,,
7:29.0,,,64-61,2,C. Lee makes 2-pt shot from 2 ft (assist by M. Gasol)
7:12.0,R. Rondo misses 2-pt shot from 1 ft,,64-61,,
7:11.0,,,64-61,,Defensive rebound by M. Gasol
6:59.0,,,64-61,,Turnover by Z. Randolph (traveling)
6:48.0,D. Nowitzki misses 2-pt shot from 21 ft,,64-61,,
6:46.0,,,64-61,,Defensive rebound by M. Gasol
6:44.0,,,64-61,,Turnover by M. Gasol (lost ball; steal by R. Rondo)
6:34.0,D. Nowitzki makes 3-pt shot from 25 ft (assist by M. Ellis),3,67-61,,
6:12.0,,,67-63,2,M. Gasol makes 2-pt shot from 4 ft
5:57.0,R. Rondo misses 2-pt shot from 16 ft,,67-63,,
5:54.0,,,67-63,,Defensive rebound by Z. Randolph
5:34.0,,,67-63,,C. Lee misses 3-pt shot from 22 ft
5:33.0,,,67-63,,Offensive rebound by Z. Randolph
5:29.0,,,67-65,2,M. Gasol makes 2-pt shot from 1 ft (assist by M. Conley)
5:29.0,,,67-65,,Shooting foul by T. Chandler (drawn by M. Gasol)
5:29.0,D. Harris enters the game for R. Rondo,,67-65,,
5:29.0,D. Powell enters the game for D. Nowitzki,,67-65,,
5:29.0,,,67-66,1,M. Gasol makes free throw 1 of 1
5:20.0,C. Parsons misses 3-pt shot from 26 ft,,67-66,,
5:19.0,,,67-66,,Defensive rebound by C. Lee
5:07.0,,,67-66,,C. Lee misses 3-pt shot from 25 ft
5:06.0,Defensive rebound by T. Chandler,,67-66,,
4:51.0,D. Powell misses 2-pt shot from 16 ft,,67-66,,
4:49.0,,,67-66,,Defensive rebound by M. Gasol
4:44.0,,,67-66,,Turnover by M. Conley (lost ball; steal by D. Harris)
4:37.0,C. Parsons makes 2-pt shot from 8 ft (assist by D. Harris),2,69-66,,
4:21.0,,,69-66,,Shooting foul by D. Harris (drawn by T. Allen)
4:21.0,,,69-67,1,T. Allen makes free throw 1 of 2
4:21.0,,,69-68,1,T. Allen makes free throw 2 of 2
3:56.0,C. Parsons misses 3-pt shot from 26 ft,,69-68,,
3:55.0,Offensive rebound by T. Chandler,,69-68,,
3:36.0,T. Chandler misses 2-pt shot from 1 ft,,69-68,,
3:33.0,Offensive rebound by T. Chandler,,69-68,,
3:33.0,T. Chandler makes 2-pt shot at rim,2,71-68,,
3:16.0,,,71-68,,Turnover by Z. Randolph (bad pass)
3:01.0,M. Ellis misses 2-pt shot from 18 ft,,71-68,,
2:59.0,,,71-68,,Defensive rebound by M. Conley
2:51.0,Personal foul by D. Powell (drawn by Z. Randolph),,71-68,,
2:51.0,,,71-68,,Memphis full timeout
2:51.0,,,71-68,,J. Green enters the game for C. Lee
2:36.0,,,71-68,,M. Conley misses 3-pt shot from 25 ft
2:35.0,,,71-68,,Offensive rebound by T. Allen
2:32.0,,,71-68,,T. Allen misses 2-pt shot from 1 ft
2:32.0,Defensive rebound by D. Harris,,71-68,,
2:21.0,M. Ellis makes 2-pt shot from 20 ft (assist by T. Chandler),2,73-68,,
2:05.0,Personal foul by D. Powell (drawn by M. Gasol),,73-68,,
2:05.0,,,73-69,1,M. Gasol makes free throw 1 of 2
2:05.0,,,73-69,,V. Carter enters the game for T. Allen
2:05.0,,,73-70,1,M. Gasol makes free throw 2 of 2
1:51.0,C. Parsons misses 2-pt shot from 1 ft (block by M. Gasol),,73-70,,
1:51.0,Offensive rebound by Team,,73-70,,
1:44.0,C. Parsons makes 3-pt shot from 22 ft (assist by D. Harris),3,76-70,,
1:28.0,,,76-72,2,M. Conley makes 2-pt shot at rim
1:15.0,,,76-72,,Personal foul by M. Gasol (drawn by T. Chandler)
1:15.0,R. Jefferson enters the game for C. Parsons,,76-72,,
1:15.0,D. Nowitzki enters the game for T. Chandler,,76-72,,
1:07.0,M. Ellis makes 3-pt shot from 26 ft,3,79-72,,
0:48.0,,,79-72,,M. Gasol misses 2-pt shot from 13 ft
0:47.0,Defensive rebound by D. Nowitzki,,79-72,,
0:34.0,M. Ellis makes 3-pt shot from 24 ft,3,82-72,,
0:27.0,,,82-74,2,M. Conley makes 2-pt shot at rim
0:27.0,,,82-74,,Shooting foul by D. Powell (drawn by M. Conley)
0:27.0,,,82-74,,T. Allen enters the game for V. Carter
0:27.0,A. Aminu enters the game for D. Powell,,82-74,,
0:27.0,,,82-75,1,M. Conley makes free throw 1 of 1
0:06.0,D. Nowitzki misses 3-pt shot from 25 ft,,82-75,,
0:04.0,Offensive rebound by A. Aminu,,82-75,,
0:04.0,A. Aminu misses 2-pt shot at rim,,82-75,,
0:04.0,,,82-75,,Defensive rebound by Team
0:01.0,,,82-75,,M. Conley misses 3-pt shot from 45 ft
0:00.0,,,82-75,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:48.0,M. Ellis misses 2-pt shot from 20 ft,,82-75,,
11:47.0,,,82-75,,Defensive rebound by Z. Randolph
11:32.0,,,82-77,2,C. Lee makes 2-pt shot from 1 ft (assist by Z. Randolph)
11:18.0,D. Harris misses 3-pt shot from 26 ft,,82-77,,
11:16.0,,,82-77,,Defensive rebound by Z. Randolph
11:03.0,Personal foul by G. Smith (drawn by Z. Randolph),,82-77,,
11:03.0,T. Chandler enters the game for G. Smith,,82-77,,
11:03.0,J. Barea enters the game for M. Ellis,,82-77,,
10:56.0,,,82-77,,J. Green misses 3-pt shot from 24 ft
10:55.0,,,82-77,,Offensive rebound by Team
10:55.0,Loose ball foul by D. Nowitzki (drawn by M. Gasol),,82-77,,
10:38.0,,,82-77,,B. Udrih misses 2-pt shot from 20 ft
10:38.0,Defensive rebound by R. Jefferson,,82-77,,
10:27.0,J. Barea misses 2-pt shot from 4 ft (block by C. Lee),,82-77,,
10:24.0,,,82-77,,Defensive rebound by Z. Randolph
10:14.0,,,82-79,2,Z. Randolph makes 2-pt shot at rim (assist by J. Green)
9:55.0,Shooting foul by M. Gasol (drawn by D. Nowitzki),,82-79,,
9:55.0,D. Nowitzki makes free throw 1 of 2,1,83-79,,
9:55.0,D. Nowitzki makes free throw 2 of 2,1,84-79,,
9:44.0,Def 3 sec tech foul by T. Chandler,,84-79,,
9:44.0,,,84-80,1,C. Lee makes technical free throw
9:28.0,,,84-80,,B. Udrih misses 2-pt shot at rim
9:27.0,Defensive rebound by D. Nowitzki,,84-80,,
9:15.0,R. Jefferson misses 3-pt shot from 22 ft,,84-80,,
9:14.0,,,84-80,,Defensive rebound by J. Green
9:08.0,,,84-82,2,M. Gasol makes 2-pt shot at rim (assist by J. Green)
8:47.0,Turnover by J. Barea (bad pass),,84-82,,
8:47.0,,,84-82,,Memphis full timeout
8:47.0,M. Ellis enters the game for D. Harris,,84-82,,
8:47.0,R. Rondo enters the game for J. Barea,,84-82,,
8:33.0,,,84-84,2,Z. Randolph makes 2-pt shot from 15 ft
8:14.0,D. Nowitzki misses 2-pt shot from 21 ft,,84-84,,
8:12.0,Offensive rebound by R. Rondo,,84-84,,
8:07.0,Shooting foul by B. Udrih (drawn by R. Jefferson),,84-84,,
8:07.0,R. Jefferson makes free throw 1 of 2,1,85-84,,
8:07.0,R. Jefferson misses free throw 2 of 2,,85-84,,
8:06.0,,,85-84,,Defensive rebound by J. Green
7:52.0,,,85-84,,Turnover by J. Green (step out of bounds)
7:35.0,M. Ellis misses 3-pt shot from 26 ft,,85-84,,
7:34.0,Offensive rebound by R. Jefferson,,85-84,,
7:13.0,D. Nowitzki misses 3-pt shot from 25 ft,,85-84,,
7:11.0,Offensive rebound by R. Rondo,,85-84,,
7:05.0,M. Ellis makes 2-pt shot from 1 ft (assist by R. Rondo),2,87-84,,
6:44.0,,,87-84,,Z. Randolph misses 2-pt shot from 2 ft
6:42.0,Defensive rebound by T. Chandler,,87-84,,
6:25.0,Shooting foul by C. Lee (drawn by M. Ellis),,87-84,,
6:25.0,M. Ellis makes free throw 1 of 2,1,88-84,,
6:25.0,D. Powell enters the game for D. Nowitzki,,88-84,,
6:25.0,C. Parsons enters the game for R. Jefferson,,88-84,,
6:25.0,M. Ellis misses free throw 2 of 2,,88-84,,
6:24.0,,,88-84,,Defensive rebound by Z. Randolph
6:03.0,,,88-86,2,C. Lee makes 2-pt shot at rim
5:38.0,Turnover by C. Parsons (bad pass; steal by J. Green),,88-86,,
5:31.0,,,88-86,,C. Lee misses 3-pt shot from 25 ft
5:29.0,,,88-86,,Offensive rebound by J. Green
5:28.0,,,88-86,,J. Green misses 2-pt shot from 1 ft (block by C. Parsons)
5:28.0,,,88-86,,Offensive rebound by Team
5:28.0,,,88-86,,Memphis full timeout
5:28.0,,,88-86,,M. Conley enters the game for B. Udrih
5:19.0,,,88-86,,J. Green misses 3-pt shot from 23 ft
5:18.0,Defensive rebound by M. Ellis,,88-86,,
5:12.0,Shooting foul by M. Gasol (drawn by D. Powell),,88-86,,
5:12.0,D. Powell makes free throw 1 of 2,1,89-86,,
5:12.0,D. Powell misses free throw 2 of 2,,89-86,,
5:11.0,,,89-86,,Defensive rebound by Z. Randolph
4:53.0,,,89-86,,Turnover by J. Green (bad pass; steal by D. Powell)
4:34.0,M. Ellis misses 2-pt shot from 22 ft,,89-86,,
4:32.0,,,89-86,,Defensive rebound by J. Green
4:22.0,,,89-86,,Shooting foul by T. Chandler (drawn by Z. Randolph)
4:22.0,,,89-87,1,Z. Randolph makes free throw 1 of 2
4:22.0,D. Nowitzki enters the game for D. Powell,,89-87,,
4:22.0,,,89-88,1,Z. Randolph makes free throw 2 of 2
4:12.0,Offensive foul by C. Parsons,,89-88,,
4:12.0,Turnover by C. Parsons (offensive foul),,89-88,,
4:03.0,,,89-91,3,M. Conley makes 3-pt shot from 25 ft
4:01.0,Dallas full timeout,,89-91,,
3:48.0,R. Rondo makes 2-pt shot from 8 ft,2,91-91,,
3:22.0,,,91-91,,M. Conley misses 3-pt shot from 25 ft
3:21.0,,,91-91,,Offensive rebound by Z. Randolph
3:17.0,,,91-91,,Z. Randolph misses 2-pt shot from 1 ft
3:15.0,Defensive rebound by T. Chandler,,91-91,,
3:05.0,M. Ellis makes 2-pt shot from 10 ft,2,93-91,,
2:42.0,,,93-91,,M. Gasol misses 2-pt shot at rim
