time,Minnesota,pts.away,score,pts.home,New Orleans
3:50.0,A. Wiggins makes 2-pt shot at rim (assist by A. Bennett),2,35-38,,
3:29.0,,,35-41,3,Q. Pondexter makes 3-pt shot from 24 ft (assist by A. Davis)
3:15.0,A. Bennett misses 3-pt shot from 25 ft,,35-41,,
3:14.0,Offensive rebound by C. Budinger,,35-41,,
3:12.0,C. Budinger misses 2-pt shot from 3 ft (block by Q. Pondexter),,35-41,,
3:10.0,Offensive rebound by A. Wiggins,,35-41,,
3:06.0,A. Wiggins makes 2-pt shot at rim (assist by A. Bennett),2,37-41,,
2:47.0,,,37-41,,A. Davis misses 2-pt shot from 17 ft
2:46.0,Defensive rebound by Z. LaVine,,37-41,,
2:40.0,Shooting foul by O. Asik (drawn by A. Bennett),,37-41,,
2:40.0,Minnesota full timeout,,37-41,,
2:40.0,,,37-41,,D. Cunningham enters the game for Q. Pondexter
2:40.0,A. Bennett makes free throw 1 of 2,1,38-41,,
2:40.0,A. Bennett makes free throw 2 of 2,1,39-41,,
2:29.0,,,39-41,,Turnover by E. Gordon (lost ball; steal by A. Bennett)
2:20.0,A. Bennett misses 2-pt shot from 14 ft,,39-41,,
2:19.0,,,39-41,,Defensive rebound by T. Evans
2:04.0,,,39-43,2,A. Davis makes 2-pt shot from 1 ft
1:51.0,Turnover by A. Payne (bad pass; steal by D. Cunningham),,39-43,,
1:28.0,,,39-45,2,D. Cunningham makes 2-pt shot from 19 ft (assist by E. Gordon)
1:25.0,Minnesota full timeout,,39-45,,
1:25.0,R. Hummel enters the game for A. Payne,,39-45,,
1:25.0,J. Hamilton enters the game for A. Bennett,,39-45,,
1:01.0,A. Wiggins misses 2-pt shot from 18 ft,,39-45,,
1:00.0,,,39-45,,Defensive rebound by E. Gordon
0:54.0,,,39-45,,E. Gordon misses 3-pt shot from 27 ft
0:52.0,,,39-45,,Offensive rebound by O. Asik
0:52.0,Loose ball foul by R. Hummel (drawn by O. Asik),,39-45,,
0:38.0,,,39-48,3,T. Evans makes 3-pt shot from 26 ft (assist by A. Davis)
0:33.0,Z. LaVine misses 2-pt shot from 3 ft,,39-48,,
0:31.0,Offensive rebound by J. Hamilton,,39-48,,
