time,Boston,pts.away,score,pts.home,Charlotte
8:57.0,,,24-27,,A. Jefferson enters the game for M. Williams
8:39.0,K. Olynyk makes 2-pt shot from 4 ft,2,26-27,,
8:18.0,,,26-29,2,L. Stephenson makes 2-pt shot from 1 ft
8:04.0,Turnover by M. Smart (bad pass; steal by A. Jefferson),,26-29,,
7:57.0,,,26-29,,Offensive foul by L. Stephenson
7:57.0,,,26-29,,Turnover by L. Stephenson (offensive foul)
7:57.0,A. Bradley enters the game for M. Smart,,26-29,,
7:34.0,M. Thornton misses 2-pt shot from 15 ft,,26-29,,
7:32.0,,,26-29,,Defensive rebound by G. Neal
7:27.0,,,26-29,,Shooting foul by B. Bass (drawn by G. Neal)
7:27.0,,,26-29,,G. Neal misses free throw 1 of 2
7:27.0,,,26-29,,Offensive rebound by Team
7:27.0,J. Sullinger enters the game for B. Bass,,26-29,,
7:27.0,,,26-30,1,G. Neal makes free throw 2 of 2
7:10.0,M. Thornton makes 3-pt shot from 23 ft (assist by J. Sullinger),3,29-30,,
6:59.0,,,29-32,2,B. Roberts makes 2-pt shot from 7 ft
6:44.0,A. Bradley misses 3-pt shot from 24 ft,,29-32,,
6:43.0,,,29-32,,Defensive rebound by A. Jefferson
6:36.0,,,29-32,,B. Roberts misses 3-pt shot from 27 ft
6:35.0,Defensive rebound by J. Sullinger,,29-32,,
6:24.0,A. Bradley misses 3-pt shot from 26 ft,,29-32,,
6:24.0,,,29-32,,Defensive rebound by Team
6:24.0,Loose ball foul by K. Olynyk (drawn by B. Roberts),,29-32,,
6:24.0,J. Green enters the game for E. Turner,,29-32,,
6:24.0,,,29-32,,G. Henderson enters the game for G. Neal
6:10.0,,,29-32,,Turnover by A. Jefferson (traveling)
6:10.0,,,29-32,,K. Walker enters the game for B. Roberts
5:44.0,A. Bradley misses 3-pt shot from 27 ft,,29-32,,
5:43.0,,,29-32,,Defensive rebound by A. Jefferson
5:32.0,,,29-32,,L. Stephenson misses 2-pt shot from 2 ft
5:30.0,Defensive rebound by J. Sullinger,,29-32,,
5:22.0,J. Sullinger makes 3-pt shot from 25 ft (assist by K. Olynyk),3,32-32,,
5:22.0,,,32-32,,Charlotte full timeout
5:22.0,R. Rondo enters the game for M. Thornton,,32-32,,
5:07.0,,,32-32,,G. Henderson misses 2-pt shot from 4 ft
5:06.0,Defensive rebound by K. Olynyk,,32-32,,
4:51.0,J. Sullinger misses 2-pt shot from 10 ft,,32-32,,
4:50.0,,,32-32,,Defensive rebound by L. Stephenson
4:42.0,,,32-32,,C. Zeller misses 2-pt shot from 19 ft
4:40.0,Defensive rebound by R. Rondo,,32-32,,
4:37.0,Turnover by R. Rondo (bad pass; steal by K. Walker),,32-32,,
4:18.0,,,32-32,,G. Henderson misses 3-pt shot from 25 ft
4:17.0,Defensive rebound by Team,,32-32,,
4:17.0,,,32-32,,Loose ball foul by C. Zeller (drawn by K. Olynyk)
4:17.0,T. Zeller enters the game for K. Olynyk,,32-32,,
4:02.0,R. Rondo makes 2-pt shot from 20 ft (assist by T. Zeller),2,34-32,,
3:39.0,,,34-32,,Turnover by C. Zeller (3 sec)
3:23.0,R. Rondo misses 2-pt shot from 7 ft,,34-32,,
3:22.0,Offensive rebound by Team,,34-32,,
3:22.0,,,34-32,,M. Kidd-Gilchrist enters the game for L. Stephenson
3:15.0,T. Zeller makes 2-pt shot from 18 ft (assist by R. Rondo),2,36-32,,
3:03.0,,,36-32,,K. Walker misses 2-pt shot from 17 ft
3:03.0,Defensive rebound by Team,,36-32,,
2:50.0,R. Rondo makes 2-pt shot from 13 ft (assist by J. Sullinger),2,38-32,,
2:31.0,,,38-34,2,M. Kidd-Gilchrist makes 2-pt shot from 1 ft (assist by K. Walker)
2:20.0,,,38-34,,Personal foul by C. Zeller (drawn by R. Rondo)
2:20.0,Boston full timeout,,38-34,,
2:20.0,,,38-34,,M. Williams enters the game for C. Zeller
2:05.0,T. Zeller makes 2-pt shot from 1 ft (assist by R. Rondo),2,40-34,,
2:05.0,Shooting foul by M. Kidd-Gilchrist (drawn by T. Zeller),,40-34,,
2:05.0,T. Zeller makes free throw 1 of 1,1,41-34,,
1:47.0,,,41-36,2,A. Jefferson makes 2-pt shot from 1 ft (assist by K. Walker)
1:31.0,R. Rondo makes 2-pt shot from 1 ft,2,43-36,,
1:14.0,,,43-38,2,G. Henderson makes 2-pt shot from 19 ft
1:00.0,J. Sullinger misses 2-pt shot from 1 ft (block by G. Henderson),,43-38,,
0:59.0,,,43-38,,Defensive rebound by A. Jefferson
0:58.0,Personal foul by R. Rondo (drawn by K. Walker),,43-38,,
0:49.0,,,43-38,,Shooting foul by R. Rondo (drawn by K. Walker)
0:49.0,,,43-39,1,K. Walker makes free throw 1 of 2
0:49.0,,,43-40,1,K. Walker makes free throw 2 of 2
0:27.0,A. Bradley misses 3-pt shot from 25 ft,,43-40,,
0:25.0,,,43-40,,Defensive rebound by M. Kidd-Gilchrist
0:23.0,,,43-40,,G. Henderson misses 3-pt shot from 23 ft
0:20.0,Defensive rebound by R. Rondo,,43-40,,
0:07.0,Boston full timeout,,43-40,,
0:07.0,K. Olynyk enters the game for T. Zeller,,43-40,,
0:07.0,,,43-40,,C. Zeller enters the game for A. Jefferson
0:02.0,R. Rondo makes 2-pt shot from 18 ft,2,45-40,,
0:01.0,,,45-40,,Turnover by K. Walker (traveling)
0:00.0,K. Olynyk misses 2-pt shot from 18 ft,,45-40,,
0:00.0,Offensive rebound by Team,,45-40,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,A. Bradley misses 2-pt shot from 18 ft,,45-40,,
11:43.0,,,45-40,,Defensive rebound by G. Henderson
11:29.0,,,45-42,2,A. Jefferson makes 2-pt shot from 1 ft (assist by K. Walker)
11:13.0,J. Sullinger misses 2-pt shot from 20 ft,,45-42,,
11:12.0,,,45-42,,Defensive rebound by G. Henderson
11:03.0,,,45-42,,L. Stephenson misses 2-pt shot from 21 ft
11:02.0,Defensive rebound by J. Green,,45-42,,
10:56.0,J. Green misses 2-pt shot from 1 ft,,45-42,,
10:56.0,Offensive rebound by Team,,45-42,,
10:44.0,J. Sullinger misses 2-pt shot from 10 ft,,45-42,,
10:42.0,Offensive rebound by T. Zeller,,45-42,,
10:42.0,T. Zeller makes 2-pt shot from 5 ft,2,47-42,,
10:31.0,,,47-42,,Shooting foul by A. Bradley (drawn by K. Walker)
10:31.0,,,47-43,1,K. Walker makes free throw 1 of 2
10:31.0,,,47-44,1,K. Walker makes free throw 2 of 2
10:14.0,T. Zeller misses 2-pt shot from 1 ft,,47-44,,
10:13.0,Offensive rebound by J. Sullinger,,47-44,,
10:09.0,R. Rondo misses 2-pt shot from 8 ft,,47-44,,
10:08.0,Offensive rebound by R. Rondo,,47-44,,
9:58.0,J. Green misses 2-pt shot from 15 ft,,47-44,,
9:57.0,,,47-44,,Defensive rebound by A. Jefferson
9:49.0,,,47-46,2,L. Stephenson makes 2-pt shot at rim
9:49.0,,,47-46,,Shooting foul by J. Sullinger (drawn by L. Stephenson)
9:49.0,,,47-47,1,L. Stephenson makes free throw 1 of 1
9:32.0,J. Green misses 3-pt shot from 23 ft,,47-47,,
9:32.0,Offensive rebound by Team,,47-47,,
9:32.0,,,47-47,,Loose ball foul by L. Stephenson (drawn by T. Zeller)
9:25.0,A. Bradley misses 2-pt shot from 18 ft,,47-47,,
9:23.0,,,47-47,,Defensive rebound by C. Zeller
9:17.0,Personal block foul by J. Green (drawn by K. Walker),,47-47,,
9:04.0,,,47-47,,A. Jefferson misses 2-pt shot from 3 ft
9:04.0,Defensive rebound by J. Green,,47-47,,
8:55.0,J. Sullinger makes 2-pt shot from 8 ft (assist by R. Rondo),2,49-47,,
8:37.0,,,49-49,2,G. Henderson makes 2-pt shot at rim (assist by C. Zeller)
8:23.0,J. Sullinger misses 2-pt shot from 4 ft,,49-49,,
8:22.0,,,49-49,,Defensive rebound by A. Jefferson
8:20.0,Personal foul by R. Rondo (drawn by C. Zeller),,49-49,,
8:11.0,,,49-51,2,L. Stephenson makes 2-pt shot at rim
7:55.0,T. Zeller makes 2-pt shot from 5 ft (assist by R. Rondo),2,51-51,,
7:38.0,,,51-54,3,G. Henderson makes 3-pt shot from 25 ft (assist by A. Jefferson)
7:26.0,J. Green misses 3-pt shot from 26 ft,,51-54,,
7:25.0,,,51-54,,Defensive rebound by K. Walker
7:09.0,,,51-54,,G. Henderson misses 2-pt shot from 14 ft
7:06.0,Defensive rebound by R. Rondo,,51-54,,
7:02.0,A. Bradley makes 2-pt shot at rim (assist by R. Rondo),2,53-54,,
6:37.0,,,53-54,,Shooting foul by T. Zeller (drawn by A. Jefferson)
6:37.0,,,53-54,,Technical foul by L. Stephenson
6:37.0,Technical foul by R. Rondo,,53-54,,
6:37.0,,,53-55,1,A. Jefferson makes free throw 1 of 2
6:37.0,K. Olynyk enters the game for J. Sullinger,,53-55,,
6:37.0,,,53-56,1,A. Jefferson makes free throw 2 of 2
6:30.0,Offensive foul by K. Olynyk,,53-56,,
6:30.0,Turnover by K. Olynyk (offensive foul),,53-56,,
6:30.0,,,53-56,,M. Kidd-Gilchrist enters the game for G. Henderson
6:18.0,,,53-56,,L. Stephenson misses 2-pt shot from 19 ft
6:13.0,,,53-56,,Offensive rebound by L. Stephenson
6:05.0,,,53-58,2,M. Kidd-Gilchrist makes 2-pt shot from 1 ft (assist by L. Stephenson)
6:04.0,Boston full timeout,,53-58,,
5:48.0,Turnover by K. Olynyk (traveling),,53-58,,
5:45.0,Personal foul by A. Bradley (drawn by K. Walker),,53-58,,
5:45.0,,,53-58,,K. Walker misses free throw 1 of 2
5:45.0,,,53-58,,Offensive rebound by Team
5:45.0,,,53-59,1,K. Walker makes free throw 2 of 2
5:37.0,J. Green makes 2-pt shot from 6 ft (assist by R. Rondo),2,55-59,,
5:15.0,E. Turner enters the game for A. Bradley,,55-59,,
5:15.0,Personal foul by J. Green (drawn by M. Kidd-Gilchrist),,55-59,,
5:15.0,,,55-59,,Personal foul by M. Kidd-Gilchrist
5:15.0,Jump ball: J. Green vs. C. Zeller (L. Stephenson gains possession),,,,Jump ball: J. Green vs. C. Zeller (L. Stephenson gains possession)
5:03.0,,,55-61,2,L. Stephenson makes 2-pt shot from 1 ft
5:03.0,,,55-61,,Shooting foul by E. Turner (drawn by L. Stephenson)
5:03.0,,,55-61,,L. Stephenson misses free throw 1 of 1
5:01.0,Defensive rebound by K. Olynyk,,55-61,,
4:40.0,E. Turner misses 2-pt shot from 7 ft,,55-61,,
4:40.0,,,55-61,,Defensive rebound by Team
4:29.0,Shooting block foul by K. Olynyk (drawn by C. Zeller),,55-61,,
4:29.0,,,55-62,1,C. Zeller makes free throw 1 of 2
4:29.0,,,55-63,1,C. Zeller makes free throw 2 of 2
4:08.0,K. Olynyk misses 3-pt shot from 24 ft,,55-63,,
4:06.0,,,55-63,,Defensive rebound by K. Walker
3:50.0,,,55-63,,Shooting foul by T. Zeller (drawn by A. Jefferson)
3:50.0,,,55-64,1,A. Jefferson makes free throw 1 of 2
3:50.0,B. Bass enters the game for T. Zeller,,55-64,,
3:50.0,M. Smart enters the game for R. Rondo,,55-64,,
3:50.0,,,55-64,,M. Williams enters the game for C. Zeller
3:50.0,,,55-65,1,A. Jefferson makes free throw 2 of 2
3:36.0,J. Green makes 2-pt shot from 11 ft (assist by K. Olynyk),2,57-65,,
3:20.0,,,57-67,2,L. Stephenson makes 2-pt shot from 17 ft
3:08.0,B. Bass makes 2-pt shot from 17 ft (assist by E. Turner),2,59-67,,
2:53.0,,,59-67,,L. Stephenson misses 2-pt shot from 15 ft
2:52.0,Defensive rebound by B. Bass,,59-67,,
2:44.0,M. Smart misses 3-pt shot from 26 ft,,59-67,,
2:43.0,,,59-67,,Defensive rebound by A. Jefferson
2:28.0,,,59-67,,Turnover by K. Walker (lost ball; steal by K. Olynyk)
2:14.0,M. Smart misses 2-pt shot from 14 ft,,59-67,,
2:11.0,,,59-67,,Defensive rebound by A. Jefferson
2:06.0,,,59-67,,M. Kidd-Gilchrist misses 2-pt shot from 1 ft
2:04.0,,,59-67,,Offensive rebound by A. Jefferson
2:04.0,,,59-69,2,A. Jefferson makes 2-pt shot at rim
1:53.0,Shooting foul by M. Williams (drawn by K. Olynyk),,59-69,,
1:53.0,,,59-69,,Charlotte full timeout
1:53.0,P. Pressey enters the game for M. Smart,,59-69,,
1:53.0,,,59-69,,G. Neal enters the game for A. Jefferson
1:53.0,,,59-69,,B. Biyombo enters the game for L. Stephenson
1:53.0,K. Olynyk misses free throw 1 of 2,,59-69,,
1:53.0,Offensive rebound by Team,,59-69,,
1:53.0,K. Olynyk misses free throw 2 of 2,,59-69,,
1:51.0,,,59-69,,Defensive rebound by M. Kidd-Gilchrist
1:39.0,,,59-71,2,K. Walker makes 2-pt shot from 15 ft
1:19.0,J. Green makes 2-pt shot from 14 ft,2,61-71,,
1:03.0,,,61-71,,K. Walker misses 2-pt shot from 16 ft
1:02.0,Defensive rebound by B. Bass,,61-71,,
0:57.0,Shooting foul by M. Kidd-Gilchrist (drawn by J. Green),,61-71,,
0:57.0,J. Green makes free throw 1 of 2,1,62-71,,
0:57.0,J. Sullinger enters the game for K. Olynyk,,62-71,,
0:57.0,J. Green makes free throw 2 of 2,1,63-71,,
0:40.0,,,63-73,2,M. Williams makes 2-pt shot from 3 ft (assist by K. Walker)
0:28.0,P. Pressey makes 3-pt shot from 26 ft (assist by E. Turner),3,66-73,,
0:06.0,,,66-73,,K. Walker misses 2-pt shot from 9 ft
0:05.0,Defensive rebound by E. Turner,,66-73,,
0:02.0,Turnover by E. Turner (lost ball; steal by K. Walker),,66-73,,
0:00.0,,,66-73,,K. Walker misses 3-pt shot from 29 ft
0:00.0,,,66-73,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,,,66-73,,G. Neal misses 3-pt shot from 26 ft
11:46.0,Defensive rebound by M. Thornton,,66-73,,
11:23.0,B. Bass makes 2-pt shot from 8 ft (assist by P. Pressey),2,68-73,,
11:02.0,,,68-73,,M. Williams misses 2-pt shot from 3 ft
11:02.0,,,68-73,,Offensive rebound by B. Biyombo
11:02.0,,,68-73,,Shooting foul by J. Sullinger (drawn by B. Biyombo)
11:02.0,,,68-74,1,B. Biyombo makes free throw 1 of 2
11:02.0,,,68-75,1,B. Biyombo makes free throw 2 of 2
10:46.0,Shooting foul by G. Neal (drawn by M. Thornton),,68-75,,
10:46.0,M. Thornton makes free throw 1 of 2,1,69-75,,
10:46.0,M. Thornton misses free throw 2 of 2,,69-75,,
10:44.0,,,69-75,,Defensive rebound by M. Williams
10:30.0,,,69-75,,M. Williams misses 2-pt shot from 1 ft (block by J. Sullinger)
10:28.0,,,69-75,,Offensive rebound by M. Kidd-Gilchrist
10:25.0,,,69-75,,G. Neal misses 2-pt shot from 9 ft
10:25.0,,,69-75,,Offensive rebound by Team
10:18.0,,,69-75,,G. Neal misses 2-pt shot from 16 ft
10:16.0,Defensive rebound by J. Sullinger,,69-75,,
10:06.0,M. Thornton makes 3-pt shot from 25 ft (assist by J. Sullinger),3,72-75,,
9:57.0,,,72-75,,Charlotte full timeout
9:57.0,,,72-75,,L. Stephenson enters the game for M. Kidd-Gilchrist
9:57.0,,,72-75,,A. Jefferson enters the game for B. Biyombo
9:48.0,,,72-75,,Offensive charge foul by M. Williams
9:48.0,,,72-75,,Turnover by M. Williams (offensive foul)
9:36.0,M. Thornton makes 2-pt shot from 16 ft (assist by J. Sullinger),2,74-75,,
9:21.0,,,74-77,2,B. Roberts makes 2-pt shot from 17 ft (assist by L. Stephenson)
9:03.0,E. Turner misses 2-pt shot from 1 ft,,74-77,,
9:02.0,,,74-77,,Defensive rebound by A. Jefferson
8:51.0,,,74-77,,G. Neal misses 3-pt shot from 26 ft
8:49.0,Defensive rebound by P. Pressey,,74-77,,
8:46.0,Offensive foul by P. Pressey,,74-77,,
8:46.0,Turnover by P. Pressey (offensive foul),,74-77,,
8:32.0,,,74-77,,G. Neal misses 2-pt shot from 16 ft
8:31.0,Defensive rebound by P. Pressey,,74-77,,
8:24.0,M. Thornton misses 3-pt shot from 25 ft,,74-77,,
8:23.0,,,74-77,,Defensive rebound by M. Williams
8:14.0,,,74-77,,G. Neal misses 3-pt shot from 22 ft
8:13.0,,,74-77,,Offensive rebound by A. Jefferson
8:13.0,,,74-79,2,A. Jefferson makes 2-pt shot from 2 ft
8:13.0,,,74-79,,Shooting foul by J. Sullinger (drawn by A. Jefferson)
8:13.0,R. Rondo enters the game for P. Pressey,,74-79,,
8:13.0,,,74-79,,G. Henderson enters the game for G. Neal
8:13.0,,,74-80,1,A. Jefferson makes free throw 1 of 1
7:58.0,Turnover by E. Turner (bad pass; steal by M. Williams),,74-80,,
7:37.0,,,74-83,3,M. Williams makes 3-pt shot from 24 ft (assist by L. Stephenson)
7:19.0,B. Bass makes 2-pt shot from 17 ft (assist by R. Rondo),2,76-83,,
7:03.0,,,76-85,2,A. Jefferson makes 2-pt shot from 15 ft (assist by B. Roberts)
6:47.0,B. Bass misses 2-pt shot from 19 ft,,76-85,,
6:44.0,,,76-85,,Defensive rebound by L. Stephenson
6:37.0,,,76-85,,L. Stephenson misses 2-pt shot from 5 ft
6:36.0,Defensive rebound by R. Rondo,,76-85,,
6:30.0,M. Thornton makes 3-pt shot from 24 ft (assist by R. Rondo),3,79-85,,
6:15.0,Personal foul by E. Turner (drawn by L. Stephenson),,79-85,,
6:15.0,,,79-85,,K. Walker enters the game for B. Roberts
6:15.0,T. Zeller enters the game for J. Sullinger,,79-85,,
6:06.0,,,79-87,2,A. Jefferson makes 2-pt shot from 1 ft (assist by K. Walker)
5:43.0,Official timeout,,79-87,,
5:43.0,J. Green enters the game for E. Turner,,79-87,,
