time,Orlando,pts.away,score,pts.home,Washington
7:35.0,A. Gordon makes 2-pt shot from 1 ft,2,4-9,,
7:35.0,A. Gordon makes free throw 1 of 1,1,5-9,,
7:23.0,,,5-9,,J. Wall misses 2-pt shot from 20 ft
7:22.0,Defensive rebound by C. Frye,,5-9,,
7:15.0,E. Payton misses 2-pt shot from 2 ft,,5-9,,
7:14.0,,,5-9,,Defensive rebound by M. Gortat
7:08.0,,,5-9,,Turnover by P. Pierce (bad pass; steal by E. Payton)
7:03.0,V. Oladipo misses 2-pt shot at rim (block by M. Gortat),,5-9,,
7:00.0,,,5-9,,Defensive rebound by G. Temple
6:52.0,,,5-11,2,P. Pierce makes 2-pt shot at rim (assist by J. Wall)
6:30.0,C. Frye misses 3-pt shot from 26 ft,,5-11,,
6:29.0,,,5-11,,Defensive rebound by M. Gortat
6:22.0,,,5-11,,Offensive foul by N. Hilario
6:22.0,,,5-11,,Turnover by N. Hilario (offensive foul)
6:22.0,W. Green enters the game for V. Oladipo,,5-11,,
6:12.0,E. Payton misses 2-pt shot from 20 ft,,5-11,,
6:11.0,,,5-11,,Defensive rebound by G. Temple
6:01.0,,,5-11,,Turnover by J. Wall (bad pass)
6:01.0,,,5-11,,O. Porter enters the game for G. Temple
5:42.0,N. Vucevic makes 2-pt shot from 17 ft (assist by W. Green),2,7-11,,
5:27.0,E. Fournier enters the game for E. Payton,,7-11,,
5:27.0,Jump ball: C. Frye vs. J. Wall (M. Gortat gains possession),,,,Jump ball: C. Frye vs. J. Wall (M. Gortat gains possession)
5:21.0,Personal foul by N. Vucevic (drawn by N. Hilario),,7-11,,
5:16.0,,,7-11,,Shooting foul by C. Frye (drawn by N. Hilario)
5:16.0,,,7-12,1,N. Hilario makes free throw 1 of 2
5:16.0,,,7-13,1,N. Hilario makes free throw 2 of 2
4:58.0,W. Green misses 2-pt shot from 16 ft,,7-13,,
4:57.0,,,7-13,,Defensive rebound by M. Gortat
4:45.0,Personal foul by C. Frye (drawn by N. Hilario),,7-13,,
4:45.0,K. O'Quinn enters the game for C. Frye,,7-13,,
4:39.0,,,7-13,,N. Hilario misses 2-pt shot from 4 ft
4:37.0,Defensive rebound by K. O'Quinn,,7-13,,
4:26.0,Turnover by A. Gordon (lost ball; steal by P. Pierce),,7-13,,
4:11.0,,,7-15,2,N. Hilario makes 2-pt shot at rim
3:56.0,K. O'Quinn misses 3-pt shot from 27 ft,,7-15,,
3:55.0,,,7-15,,Defensive rebound by J. Wall
3:46.0,,,7-15,,P. Pierce misses 3-pt shot from 26 ft
3:45.0,Defensive rebound by E. Fournier,,7-15,,
3:38.0,E. Fournier misses 3-pt shot from 29 ft,,7-15,,
3:37.0,,,7-15,,Defensive rebound by Team
3:36.0,V. Oladipo enters the game for A. Gordon,,7-15,,
3:36.0,,,7-15,,K. Humphries enters the game for N. Hilario
3:36.0,,,7-15,,R. Butler enters the game for P. Pierce
3:14.0,,,7-15,,O. Porter misses 2-pt shot from 18 ft
3:13.0,,,7-15,,Offensive rebound by K. Humphries
3:12.0,,,7-17,2,K. Humphries makes 2-pt shot from 1 ft
2:57.0,W. Green makes 2-pt shot from 1 ft (assist by K. O'Quinn),2,9-17,,
2:41.0,,,9-17,,Turnover by K. Humphries (bad pass)
2:41.0,,,9-17,,Washington full timeout
2:30.0,E. Fournier makes 2-pt shot from 2 ft (assist by K. O'Quinn),2,11-17,,
2:12.0,,,11-17,,R. Butler misses 2-pt shot from 14 ft
2:11.0,Defensive rebound by K. O'Quinn,,11-17,,
1:59.0,N. Vucevic misses 2-pt shot from 11 ft,,11-17,,
1:57.0,,,11-17,,Defensive rebound by K. Humphries
1:51.0,,,11-17,,Shooting foul by N. Vucevic (drawn by J. Wall)
1:51.0,,,11-17,,J. Wall misses free throw 1 of 2
1:51.0,,,11-17,,Offensive rebound by Team
1:51.0,D. Dedmon enters the game for N. Vucevic,,11-17,,
1:51.0,,,11-18,1,J. Wall makes free throw 2 of 2
1:41.0,V. Oladipo misses 3-pt shot from 25 ft,,11-18,,
1:40.0,,,11-18,,Defensive rebound by O. Porter
1:23.0,,,11-20,2,K. Humphries makes 2-pt shot at rim
1:05.0,W. Green misses 3-pt shot from 28 ft,,11-20,,
1:04.0,,,11-20,,Defensive rebound by J. Wall
1:00.0,,,11-22,2,J. Wall makes 2-pt shot from 1 ft
0:46.0,E. Fournier makes 2-pt shot from 16 ft,2,13-22,,
0:40.0,,,13-22,,J. Wall misses 3-pt shot from 24 ft
0:39.0,Defensive rebound by K. O'Quinn,,13-22,,
0:30.0,V. Oladipo misses 3-pt shot from 26 ft,,13-22,,
0:28.0,Offensive rebound by D. Dedmon,,13-22,,
0:27.0,D. Dedmon misses 2-pt shot from 1 ft,,13-22,,
0:27.0,,,13-22,,Defensive rebound by K. Humphries
0:27.0,Loose ball foul by D. Dedmon (drawn by K. Humphries),,13-22,,
0:27.0,,,13-23,1,K. Humphries makes free throw 1 of 2
0:27.0,,,13-23,,G. Temple enters the game for J. Wall
0:27.0,,,13-23,,K. Seraphin enters the game for M. Gortat
0:27.0,,,13-24,1,K. Humphries makes free throw 2 of 2
0:10.0,E. Fournier misses 3-pt shot from 26 ft,,13-24,,
0:09.0,Offensive rebound by V. Oladipo,,13-24,,
0:05.0,V. Oladipo makes 2-pt shot from 2 ft,2,15-24,,
0:05.0,Shooting foul by G. Temple (drawn by V. Oladipo),,15-24,,
0:05.0,,,15-24,,J. Wall enters the game for K. Humphries
0:05.0,V. Oladipo makes free throw 1 of 1,1,16-24,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,,,16-24,,Shooting foul by K. O'Quinn (drawn by R. Butler)
11:46.0,,,16-25,1,R. Butler makes free throw 1 of 2
11:46.0,,,16-26,1,R. Butler makes free throw 2 of 2
11:24.0,Shooting foul by K. Seraphin (drawn by D. Dedmon),,16-26,,
11:24.0,D. Dedmon misses free throw 1 of 2,,16-26,,
11:24.0,Offensive rebound by Team,,16-26,,
11:24.0,D. Dedmon misses free throw 2 of 2,,16-26,,
11:23.0,,,16-26,,Defensive rebound by D. Gooden
11:03.0,,,16-26,,K. Seraphin misses 2-pt shot from 5 ft
11:02.0,Defensive rebound by E. Payton,,16-26,,
10:47.0,V. Oladipo misses 3-pt shot from 27 ft,,16-26,,
10:46.0,,,16-26,,Defensive rebound by A. Miller
10:40.0,,,16-28,2,D. Gooden makes 2-pt shot from 1 ft (assist by A. Miller)
10:27.0,E. Payton misses 2-pt shot from 1 ft,,16-28,,
10:26.0,Offensive rebound by D. Dedmon,,16-28,,
10:24.0,D. Dedmon misses 2-pt shot from 2 ft,,16-28,,
10:24.0,Offensive rebound by D. Dedmon,,16-28,,
10:22.0,D. Dedmon makes 2-pt shot at rim,2,18-28,,
10:08.0,,,18-30,2,K. Seraphin makes 2-pt shot from 11 ft
9:42.0,E. Fournier makes 2-pt shot at rim (assist by V. Oladipo),2,20-30,,
9:34.0,,,20-30,,Washington full timeout
9:34.0,C. Frye enters the game for K. O'Quinn,,20-30,,
9:26.0,,,20-30,,Turnover by K. Seraphin (lost ball; steal by E. Payton)
9:10.0,Shooting foul by R. Butler (drawn by E. Fournier),,20-30,,
9:10.0,E. Fournier makes free throw 1 of 2,1,21-30,,
9:10.0,E. Fournier makes free throw 2 of 2,1,22-30,,
9:04.0,,,22-30,,Turnover by A. Miller (lost ball; steal by E. Payton)
8:59.0,E. Payton misses 2-pt shot from 2 ft (block by K. Seraphin),,22-30,,
8:57.0,,,22-30,,Defensive rebound by D. Gooden
8:52.0,,,22-30,,Shooting foul by E. Payton (drawn by R. Butler)
8:52.0,,,22-31,1,R. Butler makes free throw 1 of 3
8:52.0,,,22-32,1,R. Butler makes free throw 2 of 3
8:52.0,,,22-32,,R. Butler misses free throw 3 of 3
8:50.0,,,22-32,,Offensive rebound by K. Seraphin
8:49.0,,,22-32,,K. Seraphin misses 2-pt shot from 2 ft (block by D. Dedmon)
8:49.0,,,22-32,,Offensive rebound by Team
8:40.0,,,22-32,,Turnover by R. Butler (lost ball)
8:24.0,V. Oladipo makes 2-pt shot from 1 ft,2,24-32,,
8:06.0,,,24-32,,R. Butler misses 3-pt shot from 25 ft
8:05.0,Defensive rebound by D. Dedmon,,24-32,,
7:46.0,,,24-32,,G. Temple enters the game for O. Porter
7:43.0,C. Frye misses 2-pt shot from 18 ft,,24-32,,
7:42.0,,,24-32,,Defensive rebound by R. Butler
7:41.0,Personal foul by E. Fournier (drawn by R. Butler),,24-32,,
7:25.0,,,24-32,,R. Butler misses 2-pt shot from 18 ft
7:25.0,Defensive rebound by Team,,24-32,,
7:12.0,E. Payton makes 2-pt shot at rim,2,26-32,,
6:59.0,,,26-34,2,K. Seraphin makes 2-pt shot at rim (assist by A. Miller)
6:50.0,Shooting foul by D. Gooden (drawn by D. Dedmon),,26-34,,
6:50.0,D. Dedmon misses free throw 1 of 2,,26-34,,
6:50.0,Offensive rebound by Team,,26-34,,
6:50.0,,,26-34,,J. Wall enters the game for A. Miller
6:50.0,,,26-34,,N. Hilario enters the game for D. Gooden
6:50.0,D. Dedmon makes free throw 2 of 2,1,27-34,,
6:41.0,N. Vucevic enters the game for D. Dedmon,,27-34,,
6:29.0,,,27-34,,Turnover by R. Butler (bad pass; steal by E. Payton)
6:25.0,E. Payton makes 2-pt shot at rim,2,29-34,,
6:10.0,,,29-34,,R. Butler misses 3-pt shot from 22 ft
6:09.0,,,29-34,,Offensive rebound by K. Seraphin
5:56.0,,,29-34,,R. Butler misses 3-pt shot from 23 ft
5:55.0,Defensive rebound by E. Fournier,,29-34,,
5:44.0,E. Fournier misses 2-pt shot from 8 ft,,29-34,,
5:43.0,,,29-34,,Defensive rebound by K. Seraphin
5:28.0,,,29-34,,J. Wall misses 2-pt shot from 7 ft
5:27.0,Defensive rebound by Team,,29-34,,
5:26.0,Official timeout,,29-34,,
5:26.0,,,29-34,,P. Pierce enters the game for R. Butler
5:26.0,W. Green enters the game for E. Fournier,,29-34,,
5:10.0,E. Payton misses 2-pt shot from 5 ft,,29-34,,
5:10.0,,,29-34,,Defensive rebound by Team
4:54.0,,,29-34,,N. Hilario misses 2-pt shot from 2 ft (block by C. Frye)
4:52.0,,,29-34,,Offensive rebound by N. Hilario
4:46.0,,,29-34,,K. Seraphin misses 2-pt shot from 7 ft
4:45.0,Defensive rebound by C. Frye,,29-34,,
4:37.0,,,29-34,,Personal foul by J. Wall (drawn by V. Oladipo)
4:37.0,,,29-34,,M. Gortat enters the game for K. Seraphin
4:31.0,C. Frye misses 3-pt shot from 25 ft,,29-34,,
4:30.0,,,29-34,,Defensive rebound by M. Gortat
4:26.0,,,29-34,,Turnover by J. Wall (bad pass)
4:12.0,Offensive foul by C. Frye,,29-34,,
4:12.0,Turnover by C. Frye (offensive foul),,29-34,,
4:12.0,K. O'Quinn enters the game for C. Frye,,29-34,,
3:56.0,,,29-36,2,G. Temple makes 2-pt shot from 10 ft (assist by P. Pierce)
3:30.0,K. O'Quinn makes 2-pt shot at rim (assist by E. Payton),2,31-36,,
3:17.0,,,31-36,,N. Hilario misses 2-pt shot from 16 ft
3:16.0,Defensive rebound by N. Vucevic,,31-36,,
3:09.0,E. Payton makes 2-pt shot at rim (assist by W. Green),2,33-36,,
3:09.0,Shooting foul by N. Hilario (drawn by E. Payton),,33-36,,
3:09.0,E. Payton misses free throw 1 of 1,,33-36,,
3:09.0,,,33-36,,Defensive rebound by M. Gortat
2:58.0,Def 3 sec tech foul by N. Vucevic,,33-36,,
2:58.0,Orlando full timeout,,33-36,,
2:58.0,,,33-37,1,J. Wall makes technical free throw
2:46.0,,,33-37,,P. Pierce misses 2-pt shot from 3 ft
2:45.0,Defensive rebound by K. O'Quinn,,33-37,,
2:27.0,V. Oladipo makes 2-pt shot from 1 ft (assist by N. Vucevic),2,35-37,,
2:17.0,Personal foul by W. Green (drawn by P. Pierce),,35-37,,
2:07.0,,,35-39,2,N. Hilario makes 2-pt shot from 6 ft (assist by G. Temple)
1:53.0,Turnover by K. O'Quinn (bad pass),,35-39,,
1:48.0,,,35-41,2,M. Gortat makes 2-pt shot at rim (assist by J. Wall)
1:42.0,Orlando full timeout,,35-41,,
1:42.0,,,35-41,,D. Gooden enters the game for N. Hilario
1:27.0,V. Oladipo misses 3-pt shot from 25 ft,,35-41,,
1:26.0,,,35-41,,Defensive rebound by J. Wall
1:11.0,,,35-41,,M. Gortat misses 2-pt shot from 7 ft
1:10.0,,,35-41,,Offensive rebound by D. Gooden
1:06.0,,,35-41,,P. Pierce misses 3-pt shot from 25 ft
1:05.0,Defensive rebound by E. Payton,,35-41,,
0:48.0,N. Vucevic misses 2-pt shot from 7 ft,,35-41,,
0:47.0,,,35-41,,Defensive rebound by M. Gortat
0:30.0,,,35-41,,Turnover by P. Pierce (lost ball; steal by K. O'Quinn)
0:26.0,Turnover by E. Payton (lost ball; steal by G. Temple),,35-41,,
0:23.0,,,35-43,2,J. Wall makes 2-pt shot at rim (assist by M. Gortat)
0:01.0,V. Oladipo misses 2-pt shot from 20 ft,,35-43,,
0:00.0,Offensive rebound by Team,,35-43,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:36.0,,,35-43,,Turnover by Team (shot clock)
11:15.0,N. Vucevic makes 2-pt shot from 8 ft,2,37-43,,
10:59.0,Violation by V. Oladipo (kicked ball),,37-43,,
10:52.0,,,37-46,3,J. Wall makes 3-pt shot from 23 ft (assist by M. Gortat)
10:27.0,V. Oladipo misses 2-pt shot from 19 ft,,37-46,,
10:25.0,,,37-46,,Defensive rebound by J. Wall
10:21.0,,,37-46,,N. Hilario misses 2-pt shot at rim (block by A. Gordon)
10:17.0,,,37-46,,Offensive rebound by N. Hilario
10:12.0,,,37-49,3,G. Temple makes 3-pt shot from 27 ft (assist by N. Hilario)
9:54.0,Offensive foul by C. Frye,,37-49,,
9:54.0,Turnover by C. Frye (offensive foul),,37-49,,
9:46.0,Personal foul by A. Gordon (drawn by P. Pierce),,37-49,,
9:38.0,,,37-52,3,P. Pierce makes 3-pt shot from 25 ft (assist by N. Hilario)
9:24.0,V. Oladipo misses 3-pt shot from 25 ft,,37-52,,
9:23.0,,,37-52,,Defensive rebound by P. Pierce
9:17.0,,,37-52,,J. Wall misses 3-pt shot from 26 ft
9:15.0,Defensive rebound by V. Oladipo,,37-52,,
9:07.0,Offensive foul by A. Gordon,,37-52,,
9:07.0,Turnover by A. Gordon (offensive foul),,37-52,,
9:07.0,E. Fournier enters the game for A. Gordon,,37-52,,
8:50.0,,,37-52,,Shooting foul by V. Oladipo (drawn by M. Gortat)
8:50.0,,,37-53,1,M. Gortat makes free throw 1 of 2
8:50.0,,,37-54,1,M. Gortat makes free throw 2 of 2
8:39.0,N. Vucevic makes 2-pt shot from 19 ft (assist by E. Payton),2,39-54,,
8:11.0,,,39-54,,J. Wall misses 3-pt shot from 26 ft
8:11.0,,,39-54,,Offensive rebound by Team
8:11.0,,,39-54,,Turnover by Team (shot clock)
7:55.0,,,39-54,,Personal foul by G. Temple (drawn by E. Fournier)
7:49.0,V. Oladipo misses 2-pt shot from 4 ft,,39-54,,
7:48.0,,,39-54,,Defensive rebound by Team
7:48.0,Loose ball foul by V. Oladipo (drawn by N. Hilario),,39-54,,
7:25.0,,,39-56,2,M. Gortat makes 2-pt shot from 13 ft (assist by G. Temple)
7:14.0,E. Fournier makes 2-pt shot from 1 ft (assist by V. Oladipo),2,41-56,,
6:54.0,,,41-56,,Turnover by M. Gortat (bad pass; steal by C. Frye)
6:42.0,E. Fournier misses 2-pt shot from 4 ft,,41-56,,
6:41.0,Offensive rebound by N. Vucevic,,41-56,,
6:40.0,N. Vucevic makes 2-pt shot from 1 ft,2,43-56,,
6:25.0,,,43-56,,Shooting foul by N. Vucevic (drawn by G. Temple)
6:25.0,,,43-57,1,G. Temple makes free throw 1 of 2
6:25.0,,,43-58,1,G. Temple makes free throw 2 of 2
6:13.0,C. Frye makes 3-pt shot from 24 ft (assist by E. Payton),3,46-58,,
5:57.0,,,46-60,2,M. Gortat makes 2-pt shot at rim (assist by J. Wall)
5:57.0,Orlando full timeout,,46-60,,
5:57.0,W. Green enters the game for V. Oladipo,,46-60,,
5:40.0,W. Green misses 2-pt shot from 20 ft,,46-60,,
5:40.0,,,46-60,,Defensive rebound by Team
5:20.0,,,46-60,,G. Temple misses 3-pt shot from 25 ft
5:19.0,Defensive rebound by N. Vucevic,,46-60,,
5:08.0,Turnover by N. Vucevic (bad pass; steal by G. Temple),,46-60,,
5:03.0,,,46-62,2,N. Hilario makes 2-pt shot at rim (assist by J. Wall)
4:49.0,Shooting foul by M. Gortat (drawn by N. Vucevic),,46-62,,
4:49.0,N. Vucevic makes free throw 1 of 2,1,47-62,,
4:49.0,,,47-62,,R. Butler enters the game for G. Temple
4:49.0,N. Vucevic makes free throw 2 of 2,1,48-62,,
4:35.0,,,48-62,,P. Pierce misses 3-pt shot from 23 ft
4:34.0,,,48-62,,Offensive rebound by N. Hilario
4:27.0,,,48-62,,P. Pierce misses 2-pt shot from 2 ft (block by C. Frye)
4:25.0,Defensive rebound by N. Vucevic,,48-62,,
4:17.0,,,48-62,,Personal foul by M. Gortat (drawn by N. Vucevic)
4:17.0,,,48-62,,D. Gooden enters the game for N. Hilario
4:17.0,D. Dedmon enters the game for C. Frye,,48-62,,
4:17.0,,,48-62,,M. Webster enters the game for P. Pierce
4:03.0,N. Vucevic makes 2-pt shot from 15 ft (assist by E. Fournier),2,50-62,,
3:46.0,,,50-65,3,R. Butler makes 3-pt shot from 23 ft (assist by J. Wall)
3:37.0,,,50-65,,Personal foul by D. Gooden (drawn by N. Vucevic)
3:32.0,E. Payton makes 2-pt shot from 14 ft,2,52-65,,
3:19.0,,,52-65,,R. Butler misses 3-pt shot from 23 ft
3:18.0,,,52-65,,Offensive rebound by D. Gooden
3:15.0,,,52-65,,Turnover by D. Gooden (bad pass; steal by E. Payton)
3:09.0,Shooting foul by D. Gooden (drawn by E. Payton),,52-65,,
3:09.0,E. Payton makes free throw 1 of 2,1,53-65,,
3:09.0,E. Payton makes free throw 2 of 2,1,54-65,,
2:47.0,,,54-67,2,M. Gortat makes 2-pt shot from 1 ft
2:32.0,D. Dedmon misses 2-pt shot from 4 ft,,54-67,,
2:31.0,,,54-67,,Defensive rebound by M. Gortat
2:23.0,,,54-67,,J. Wall misses 3-pt shot from 22 ft
2:22.0,Defensive rebound by N. Vucevic,,54-67,,
2:12.0,E. Payton misses 2-pt shot from 14 ft,,54-67,,
2:11.0,,,54-67,,Defensive rebound by M. Gortat
2:07.0,,,54-69,2,R. Butler makes 2-pt shot at rim (assist by J. Wall)
1:46.0,E. Fournier misses 2-pt shot from 3 ft,,54-69,,
1:44.0,,,54-69,,Defensive rebound by R. Butler
1:38.0,,,54-69,,Turnover by R. Butler (lost ball; steal by E. Payton)
1:35.0,Turnover by E. Payton (lost ball; steal by J. Wall),,54-69,,
1:34.0,,,54-69,,Washington full timeout
1:34.0,K. O'Quinn enters the game for N. Vucevic,,54-69,,
1:34.0,V. Oladipo enters the game for E. Payton,,54-69,,
1:34.0,,,54-69,,A. Miller enters the game for J. Wall
1:22.0,,,54-69,,R. Butler misses 2-pt shot at rim (block by D. Dedmon)
1:21.0,,,54-69,,Offensive rebound by Team
1:12.0,,,54-69,,D. Gooden misses 2-pt shot from 18 ft
1:11.0,,,54-69,,Offensive rebound by R. Butler
1:00.0,,,54-69,,M. Webster misses 2-pt shot from 20 ft
0:59.0,Defensive rebound by W. Green,,54-69,,
0:49.0,W. Green misses 3-pt shot from 26 ft,,54-69,,
0:48.0,,,54-69,,Defensive rebound by M. Gortat
0:39.0,,,54-71,2,D. Gooden makes 2-pt shot from 20 ft (assist by A. Miller)
0:20.0,E. Fournier misses 2-pt shot from 20 ft,,54-71,,
0:19.0,,,54-71,,Defensive rebound by M. Gortat
0:03.0,,,54-73,2,D. Gooden makes 2-pt shot from 20 ft (assist by M. Webster)
0:03.0,,,54-73,,Shooting foul by K. O'Quinn (drawn by D. Gooden)
0:03.0,,,54-74,1,D. Gooden makes free throw 1 of 1
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,K. O'Quinn misses 2-pt shot from 20 ft,,54-74,,
11:41.0,,,54-74,,Defensive rebound by M. Webster
11:23.0,,,54-74,,M. Webster misses 3-pt shot from 25 ft
11:22.0,Defensive rebound by V. Oladipo,,54-74,,
11:16.0,K. O'Quinn makes 2-pt shot from 3 ft (assist by V. Oladipo),2,56-74,,
11:02.0,,,56-74,,Turnover by M. Webster (bad pass; steal by K. O'Quinn)
10:57.0,Turnover by K. O'Quinn (bad pass; steal by M. Webster),,56-74,,
10:32.0,,,56-74,,M. Webster misses 3-pt shot from 23 ft
10:31.0,,,56-74,,Offensive rebound by K. Seraphin
10:31.0,,,56-74,,Shooting foul by D. Dedmon (drawn by K. Seraphin)
10:31.0,,,56-75,1,K. Seraphin makes free throw 1 of 2
10:31.0,M. Harkless enters the game for K. O'Quinn,,56-75,,
10:31.0,,,56-75,,K. Seraphin misses free throw 2 of 2
10:29.0,Defensive rebound by D. Dedmon,,56-75,,
10:10.0,A. Gordon makes 2-pt shot from 16 ft (assist by E. Fournier),2,58-75,,
9:53.0,,,58-77,2,M. Webster makes 2-pt shot at rim (assist by A. Miller)
9:38.0,E. Fournier makes 2-pt shot from 22 ft (assist by V. Oladipo),2,60-77,,
9:18.0,,,60-77,,A. Miller misses 2-pt shot from 5 ft (block by D. Dedmon)
9:18.0,,,60-77,,Offensive rebound by Team
9:11.0,,,60-77,,M. Webster misses 2-pt shot from 20 ft
9:10.0,Defensive rebound by D. Dedmon,,60-77,,
9:06.0,M. Harkless misses 2-pt shot at rim,,60-77,,
9:04.0,,,60-77,,Defensive rebound by M. Webster
9:04.0,Personal foul by D. Dedmon (drawn by M. Webster),,60-77,,
8:45.0,,,60-79,2,K. Seraphin makes 2-pt shot from 6 ft
8:35.0,V. Oladipo misses 2-pt shot from 19 ft,,60-79,,
8:33.0,Offensive rebound by D. Dedmon,,60-79,,
8:27.0,M. Harkless makes 3-pt shot from 25 ft (assist by D. Dedmon),3,63-79,,
8:05.0,,,63-79,,Turnover by M. Webster (bad pass)
8:05.0,Official timeout,,63-79,,
8:05.0,E. Payton enters the game for V. Oladipo,,63-79,,
7:46.0,M. Harkless makes 2-pt shot from 2 ft,2,65-79,,
7:18.0,,,65-79,,D. Gooden misses 3-pt shot from 25 ft
7:18.0,,,65-79,,Offensive rebound by Team
7:18.0,Loose ball foul by E. Payton (drawn by K. Seraphin),,65-79,,
7:10.0,,,65-79,,Shooting foul by M. Harkless (drawn by M. Webster)
7:10.0,,,65-80,1,M. Webster makes free throw 1 of 2
7:10.0,,,65-81,1,M. Webster makes free throw 2 of 2
6:51.0,E. Fournier makes 3-pt shot from 26 ft,3,68-81,,
6:25.0,,,68-81,,K. Seraphin misses 2-pt shot from 17 ft
6:24.0,,,68-81,,Offensive rebound by M. Webster
6:21.0,,,68-83,2,M. Webster makes 2-pt shot at rim
6:10.0,M. Harkless misses 3-pt shot from 23 ft,,68-83,,
6:09.0,,,68-83,,Defensive rebound by A. Miller
5:55.0,,,68-83,,Shooting foul by A. Gordon (drawn by A. Miller)
5:55.0,,,68-83,,Washington full timeout
5:55.0,N. Vucevic enters the game for A. Gordon,,68-83,,
5:55.0,V. Oladipo enters the game for D. Dedmon,,68-83,,
5:55.0,,,68-84,1,A. Miller makes free throw 1 of 2
5:55.0,,,68-85,1,A. Miller makes free throw 2 of 2
5:40.0,V. Oladipo makes 2-pt shot from 15 ft,2,70-85,,
5:16.0,,,70-85,,K. Seraphin misses 2-pt shot from 6 ft
5:15.0,,,70-85,,Offensive rebound by Team
5:05.0,,,70-85,,D. Gooden misses 2-pt shot from 18 ft
5:04.0,,,70-85,,Offensive rebound by K. Seraphin
5:01.0,,,70-85,,Turnover by K. Seraphin (lost ball; steal by M. Harkless)
4:52.0,V. Oladipo makes 2-pt shot from 1 ft,2,72-85,,
4:52.0,,,72-85,,Washington full timeout
4:52.0,,,72-85,,J. Wall enters the game for A. Miller
4:52.0,,,72-85,,G. Temple enters the game for M. Webster
4:35.0,,,72-85,,Turnover by K. Seraphin (bad pass; steal by M. Harkless)
4:27.0,N. Vucevic misses 2-pt shot from 20 ft,,72-85,,
4:26.0,,,72-85,,Defensive rebound by J. Wall
4:03.0,,,72-85,,R. Butler misses 3-pt shot from 26 ft
4:02.0,Defensive rebound by V. Oladipo,,72-85,,
3:49.0,M. Harkless misses 3-pt shot from 26 ft,,72-85,,
3:48.0,,,72-85,,Defensive rebound by J. Wall
3:33.0,,,72-85,,Turnover by J. Wall (bad pass; steal by V. Oladipo)
3:30.0,V. Oladipo misses 2-pt shot at rim (block by J. Wall),,72-85,,
3:28.0,Offensive rebound by E. Payton,,72-85,,
3:28.0,Shooting foul by K. Seraphin (drawn by E. Payton),,72-85,,
3:28.0,E. Payton makes free throw 1 of 2,1,73-85,,
3:28.0,,,73-85,,M. Gortat enters the game for K. Seraphin
3:28.0,E. Payton misses free throw 2 of 2,,73-85,,
3:27.0,,,73-85,,Defensive rebound by M. Gortat
3:08.0,,,73-88,3,R. Butler makes 3-pt shot from 25 ft (assist by J. Wall)
