time,Indiana,pts.away,score,pts.home,Washington
7:19.0,,,35-30,2,N. Hilario makes 2-pt shot from 17 ft (assist by A. Miller)
7:11.0,,,35-30,,Personal foul by N. Hilario (drawn by L. Allen)
7:11.0,Personal foul by L. Allen,,35-30,,
7:11.0,,,35-30,,J. Wall enters the game for A. Miller
7:11.0,,,35-30,,P. Pierce enters the game for G. Rice
7:00.0,L. Allen misses 2-pt shot from 10 ft,,35-30,,
6:58.0,,,35-30,,Defensive rebound by K. Seraphin
6:49.0,,,35-30,,Shooting foul by S. Hill (drawn by J. Wall)
6:49.0,,,35-31,1,J. Wall makes free throw 1 of 2
6:49.0,D. Sloan enters the game for S. Hill,,35-31,,
6:49.0,,,35-32,1,J. Wall makes free throw 2 of 2
6:26.0,C. Copeland misses 3-pt shot from 25 ft,,35-32,,
6:25.0,Offensive rebound by I. Mahinmi,,35-32,,
6:18.0,D. Sloan misses 3-pt shot from 27 ft,,35-32,,
6:17.0,Offensive rebound by C. Copeland,,35-32,,
5:58.0,D. Rudez makes 2-pt shot from 19 ft (assist by D. Sloan),2,37-32,,
5:52.0,,,37-32,,Turnover by J. Wall (bad pass)
5:52.0,,,37-32,,Washington full timeout
5:32.0,I. Mahinmi misses 2-pt shot from 13 ft,,37-32,,
5:32.0,,,37-32,,Defensive rebound by J. Wall
5:19.0,,,37-35,3,J. Wall makes 3-pt shot from 26 ft (assist by K. Seraphin)
5:00.0,Turnover by C. Copeland (lost ball; steal by J. Wall),,37-35,,
5:00.0,Jump ball: C. Copeland vs. J. Wall (O. Porter gains possession),,,,Jump ball: C. Copeland vs. J. Wall (O. Porter gains possession)
4:55.0,,,37-35,,O. Porter misses 2-pt shot from 3 ft (block by D. Rudez)
4:55.0,,,37-35,,Offensive rebound by Team
4:43.0,,,37-37,2,K. Seraphin makes 2-pt shot from 12 ft (assist by O. Porter)
4:28.0,Offensive foul by L. Allen,,37-37,,
4:28.0,Turnover by L. Allen (offensive foul),,37-37,,
4:28.0,,,37-37,,G. Temple enters the game for O. Porter
4:28.0,R. Hibbert enters the game for I. Mahinmi,,37-37,,
4:28.0,C. Miles enters the game for D. Rudez,,37-37,,
4:21.0,,,37-37,,Shooting foul by C. Miles (drawn by P. Pierce)
4:21.0,,,37-38,1,P. Pierce makes free throw 1 of 2
4:21.0,,,37-39,1,P. Pierce makes free throw 2 of 2
4:03.0,Turnover by R. Hibbert (lost ball),,37-39,,
3:42.0,,,37-39,,G. Temple misses 3-pt shot from 26 ft
3:41.0,Defensive rebound by D. Sloan,,37-39,,
3:36.0,D. Sloan misses 2-pt shot from 2 ft (block by P. Pierce),,37-39,,
3:33.0,,,37-39,,Defensive rebound by N. Hilario
3:25.0,,,37-39,,Turnover by K. Seraphin (3 sec)
3:25.0,Indiana full timeout,,37-39,,
3:25.0,,,37-39,,M. Gortat enters the game for K. Seraphin
3:04.0,R. Hibbert misses 2-pt shot from 12 ft,,37-39,,
3:03.0,Offensive rebound by L. Allen,,37-39,,
2:52.0,L. Allen misses 2-pt shot from 16 ft,,37-39,,
2:51.0,,,37-39,,Defensive rebound by N. Hilario
2:42.0,,,37-39,,J. Wall misses 2-pt shot from 17 ft
2:41.0,Defensive rebound by C. Copeland,,37-39,,
2:18.0,R. Hibbert misses 2-pt shot from 7 ft,,37-39,,
2:17.0,,,37-39,,Defensive rebound by J. Wall
2:12.0,,,37-41,2,J. Wall makes 2-pt shot from 1 ft
1:55.0,D. Sloan misses 2-pt shot from 5 ft (block by N. Hilario),,37-41,,
1:54.0,,,37-41,,Defensive rebound by M. Gortat
1:48.0,,,37-44,3,G. Temple makes 3-pt shot from 24 ft (assist by J. Wall)
1:46.0,Indiana full timeout,,37-44,,
1:46.0,,,37-44,,K. Humphries enters the game for N. Hilario
1:31.0,Turnover by C. Copeland (discontinued dribble),,37-44,,
1:20.0,,,37-44,,K. Humphries misses 2-pt shot from 18 ft
1:19.0,,,37-44,,Offensive rebound by M. Gortat
1:15.0,,,37-44,,J. Wall misses 3-pt shot from 25 ft
1:14.0,Defensive rebound by C. Copeland,,37-44,,
1:07.0,C. Miles makes 2-pt shot from 1 ft (assist by D. Sloan),2,39-44,,
0:49.0,,,39-44,,P. Pierce misses 2-pt shot from 15 ft
0:48.0,Defensive rebound by D. Sloan,,39-44,,
0:44.0,Offensive foul by C. Copeland,,39-44,,
0:44.0,Turnover by C. Copeland (offensive foul),,39-44,,
0:36.0,Personal block foul by C. Miles (drawn by G. Temple),,39-44,,
0:36.0,S. Hill enters the game for C. Copeland,,39-44,,
0:31.0,,,39-44,,K. Humphries misses 2-pt shot from 15 ft
0:30.0,Defensive rebound by S. Hill,,39-44,,
0:07.0,C. Miles makes 2-pt shot from 17 ft (assist by R. Hibbert),2,41-44,,
0:01.0,,,41-46,2,P. Pierce makes 2-pt shot from 19 ft
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:37.0,R. Hibbert misses 2-pt shot from 16 ft,,41-46,,
11:36.0,Offensive rebound by S. Hill,,41-46,,
11:32.0,Shooting foul by N. Hilario (drawn by D. Sloan),,41-46,,
11:32.0,D. Sloan misses free throw 1 of 2,,41-46,,
11:32.0,Offensive rebound by Team,,41-46,,
11:32.0,D. Sloan makes free throw 2 of 2,1,42-46,,
11:17.0,,,42-48,2,N. Hilario makes 2-pt shot from 17 ft (assist by J. Wall)
11:01.0,D. Sloan misses 2-pt shot from 13 ft,,42-48,,
11:01.0,,,42-48,,Defensive rebound by P. Pierce
10:48.0,,,42-48,,G. Temple misses 2-pt shot from 1 ft
10:46.0,Defensive rebound by L. Scola,,42-48,,
10:30.0,C. Miles misses 2-pt shot from 1 ft,,42-48,,
10:27.0,,,42-48,,Defensive rebound by N. Hilario
10:22.0,,,42-48,,J. Wall misses 2-pt shot from 2 ft (block by R. Hibbert)
10:20.0,,,42-48,,Offensive rebound by N. Hilario
10:09.0,,,42-48,,N. Hilario misses 2-pt shot from 12 ft
10:07.0,Defensive rebound by R. Hibbert,,42-48,,
9:55.0,S. Hill misses 3-pt shot from 25 ft,,42-48,,
9:54.0,,,42-48,,Defensive rebound by N. Hilario
9:36.0,,,42-48,,P. Pierce misses 2-pt shot at rim (block by R. Hibbert)
9:36.0,,,42-48,,Offensive rebound by Team
9:34.0,,,42-50,2,M. Gortat makes 2-pt shot at rim (assist by P. Pierce)
9:34.0,,,42-50,,Shooting foul by S. Hill (drawn by M. Gortat)
9:34.0,,,42-51,1,M. Gortat makes free throw 1 of 1
9:17.0,Turnover by D. Sloan (bad pass; steal by G. Temple),,42-51,,
