time,Utah,pts.away,score,pts.home,Minnesota
9:15.0,,,24-23,,M. Williams misses 2-pt shot from 16 ft
9:14.0,Defensive rebound by T. Booker,,24-23,,
8:58.0,J. Evans makes 3-pt shot from 23 ft (assist by J. Ingles),3,27-23,,
8:36.0,,,27-23,,A. Bennett misses 2-pt shot from 17 ft
8:34.0,,,27-23,,Offensive rebound by J. Adrien
8:32.0,,,27-23,,J. Adrien misses 2-pt shot at rim (block by J. Evans)
8:31.0,,,27-23,,Offensive rebound by A. Bennett
8:29.0,,,27-25,2,A. Bennett makes 2-pt shot from 2 ft
8:10.0,T. Burke makes 2-pt shot from 21 ft,2,29-25,,
7:54.0,,,29-25,,S. Muhammad misses 2-pt shot from 11 ft
7:53.0,Defensive rebound by T. Booker,,29-25,,
7:42.0,J. Evans makes 2-pt shot at rim (assist by T. Booker),2,31-25,,
7:42.0,,,31-25,,Minnesota full timeout
7:42.0,,,31-25,,A. Wiggins enters the game for S. Muhammad
7:42.0,,,31-25,,Z. LaVine enters the game for T. Daniels
7:30.0,,,31-27,2,M. Williams makes 2-pt shot from 9 ft (assist by A. Wiggins)
7:03.0,Turnover by Team (shot clock),,31-27,,
6:51.0,,,31-29,2,Z. LaVine makes 2-pt shot from 19 ft
6:38.0,Offensive foul by T. Booker,,31-29,,
6:38.0,Turnover by T. Booker (offensive foul),,31-29,,
6:38.0,I. Clark enters the game for D. Exum,,31-29,,
6:38.0,D. Favors enters the game for T. Booker,,31-29,,
6:23.0,,,31-29,,Turnover by A. Bennett (traveling)
6:08.0,Turnover by J. Evans (bad pass; steal by A. Bennett),,31-29,,
6:04.0,,,31-31,2,Z. LaVine makes 2-pt shot at rim (assist by M. Williams)
5:58.0,Turnover by J. Ingles (bad pass; steal by Z. LaVine),,31-31,,
5:53.0,,,31-31,,Turnover by Z. LaVine (bad pass; steal by T. Burke)
5:47.0,D. Favors makes 2-pt shot from 1 ft (assist by T. Burke),2,33-31,,
5:30.0,,,33-31,,J. Adrien misses 2-pt shot from 13 ft
5:29.0,Defensive rebound by J. Ingles,,33-31,,
5:25.0,T. Burke misses 2-pt shot from 1 ft (block by Z. LaVine),,33-31,,
5:24.0,Offensive rebound by Team,,33-31,,
5:24.0,Utah full timeout,,33-31,,
5:24.0,,,33-31,,G. Dieng enters the game for J. Adrien
5:24.0,R. Gobert enters the game for J. Evans,,33-31,,
5:24.0,G. Hayward enters the game for J. Ingles,,33-31,,
5:21.0,G. Hayward misses 2-pt shot from 16 ft,,33-31,,
5:20.0,,,33-31,,Defensive rebound by G. Dieng
5:08.0,,,33-33,2,M. Williams makes 2-pt shot from 19 ft
4:45.0,D. Favors misses 2-pt shot from 11 ft,,33-33,,
4:44.0,,,33-33,,Defensive rebound by A. Bennett
4:33.0,,,33-33,,A. Wiggins misses 2-pt shot from 12 ft
4:32.0,Defensive rebound by D. Favors,,33-33,,
4:28.0,Turnover by D. Favors (bad pass; steal by M. Williams),,33-33,,
4:22.0,,,33-35,2,M. Williams makes 2-pt shot from 19 ft
4:20.0,Utah full timeout,,33-35,,
4:04.0,G. Hayward misses 2-pt shot from 18 ft,,33-35,,
4:03.0,,,33-35,,Defensive rebound by A. Bennett
3:41.0,,,33-35,,A. Wiggins misses 3-pt shot from 25 ft
3:39.0,Defensive rebound by D. Favors,,33-35,,
3:29.0,D. Favors makes 2-pt shot at rim (assist by T. Burke),2,35-35,,
3:07.0,,,35-37,2,G. Dieng makes 2-pt shot at rim (assist by A. Wiggins)
2:47.0,T. Burke makes 3-pt shot from 23 ft (assist by R. Gobert),3,38-37,,
2:31.0,,,38-37,,A. Bennett misses 2-pt shot from 1 ft (block by R. Gobert)
2:30.0,Defensive rebound by T. Burke,,38-37,,
2:13.0,I. Clark makes 3-pt shot from 24 ft (assist by T. Burke),3,41-37,,
1:57.0,,,41-37,,M. Williams misses 2-pt shot from 19 ft
1:56.0,Defensive rebound by I. Clark,,41-37,,
1:42.0,R. Gobert misses 2-pt shot from 7 ft (block by G. Dieng),,41-37,,
1:42.0,,,41-37,,Defensive rebound by Team
1:42.0,,,41-37,,T. Young enters the game for A. Bennett
1:42.0,T. Booker enters the game for D. Favors,,41-37,,
1:32.0,,,41-37,,Z. LaVine misses 2-pt shot from 6 ft
1:29.0,,,41-37,,Offensive rebound by Z. LaVine
1:28.0,,,41-37,,Shooting foul by R. Gobert (drawn by G. Dieng)
1:28.0,,,41-38,1,G. Dieng makes free throw 1 of 2
1:28.0,J. Evans enters the game for R. Gobert,,41-38,,
1:28.0,,,41-39,1,G. Dieng makes free throw 2 of 2
1:03.0,G. Hayward makes 2-pt shot from 19 ft,2,43-39,,
0:46.0,,,43-41,2,Z. LaVine makes 2-pt shot from 19 ft
0:29.0,T. Burke makes 2-pt shot from 2 ft,2,45-41,,
0:21.0,,,45-41,,Minnesota full timeout
0:05.0,,,45-41,,Turnover by Z. LaVine (bad pass; steal by J. Evans)
0:00.0,G. Hayward makes 2-pt shot at rim (assist by T. Burke),2,47-41,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:38.0,,,47-41,,T. Young misses 2-pt shot from 14 ft
11:36.0,,,47-41,,Offensive rebound by Team
11:26.0,,,47-41,,Z. LaVine misses 2-pt shot from 22 ft
11:25.0,Defensive rebound by D. Favors,,47-41,,
11:02.0,J. Ingles makes 2-pt shot from 7 ft,2,49-41,,
10:40.0,,,49-44,3,A. Wiggins makes 3-pt shot from 25 ft (assist by G. Dieng)
10:24.0,R. Gobert makes 2-pt shot from 1 ft (assist by J. Ingles),2,51-44,,
10:06.0,,,51-44,,T. Young misses 3-pt shot from 24 ft
10:05.0,Defensive rebound by D. Favors,,51-44,,
9:48.0,R. Gobert makes 2-pt shot at rim (assist by G. Hayward),2,53-44,,
9:45.0,,,53-44,,Minnesota full timeout
9:45.0,,,53-44,,T. Daniels enters the game for S. Muhammad
9:29.0,,,53-44,,Turnover by T. Young (bad pass; steal by R. Gobert)
9:13.0,Turnover by R. Gobert (offensive goaltending),,53-44,,
8:55.0,,,53-46,2,T. Young makes 2-pt shot from 3 ft
8:41.0,T. Burke makes 2-pt shot from 5 ft,2,55-46,,
8:21.0,,,55-46,,G. Dieng misses 2-pt shot from 3 ft (block by R. Gobert)
8:20.0,,,55-46,,Offensive rebound by Team
8:15.0,,,55-46,,A. Wiggins misses 2-pt shot from 5 ft
8:14.0,,,55-46,,Offensive rebound by Team
8:02.0,,,55-46,,Turnover by T. Young (lost ball; steal by J. Ingles)
7:56.0,D. Favors makes 2-pt shot from 1 ft (assist by T. Burke),2,57-46,,
7:56.0,Shooting foul by A. Wiggins (drawn by D. Favors),,57-46,,
7:56.0,D. Favors makes free throw 1 of 1,1,58-46,,
7:47.0,,,58-46,,T. Daniels misses 2-pt shot from 2 ft (block by R. Gobert)
7:46.0,,,58-46,,Offensive rebound by G. Dieng
7:45.0,,,58-46,,Shooting foul by D. Favors (drawn by G. Dieng)
7:45.0,,,58-47,1,G. Dieng makes free throw 1 of 2
7:45.0,,,58-47,,R. Hummel enters the game for T. Young
7:45.0,,,58-47,,M. Williams enters the game for Z. LaVine
7:45.0,T. Booker enters the game for D. Favors,,58-47,,
7:45.0,,,58-48,1,G. Dieng makes free throw 2 of 2
7:34.0,R. Gobert makes 2-pt shot at rim (assist by J. Ingles),2,60-48,,
7:10.0,,,60-48,,G. Dieng misses 2-pt shot at rim
7:09.0,,,60-48,,Offensive rebound by G. Dieng
7:07.0,,,60-48,,G. Dieng misses 2-pt shot at rim
7:06.0,Defensive rebound by R. Gobert,,60-48,,
6:56.0,J. Ingles makes 3-pt shot from 24 ft (assist by T. Burke),3,63-48,,
6:54.0,,,63-48,,Minnesota full timeout
6:54.0,,,63-48,,J. Adrien enters the game for G. Dieng
6:45.0,Personal foul by G. Hayward (drawn by J. Adrien),,63-48,,
6:41.0,,,63-48,,M. Williams misses 2-pt shot at rim (block by R. Gobert)
6:39.0,Defensive rebound by T. Booker,,63-48,,
6:35.0,T. Booker makes 2-pt shot from 1 ft,2,65-48,,
6:23.0,,,65-48,,T. Daniels misses 3-pt shot from 25 ft
6:20.0,,,65-48,,Offensive rebound by A. Wiggins
6:17.0,,,65-48,,A. Wiggins misses 2-pt shot from 1 ft (block by G. Hayward)
6:15.0,Defensive rebound by R. Gobert,,65-48,,
6:10.0,Shooting foul by T. Daniels (drawn by R. Gobert),,65-48,,
6:10.0,R. Gobert misses free throw 1 of 2,,65-48,,
6:10.0,Offensive rebound by Team,,65-48,,
6:10.0,,,65-48,,S. Muhammad enters the game for A. Wiggins
6:10.0,D. Exum enters the game for J. Ingles,,65-48,,
6:10.0,R. Gobert makes free throw 2 of 2,1,66-48,,
5:52.0,,,66-48,,M. Williams misses 2-pt shot from 19 ft
5:50.0,Defensive rebound by R. Gobert,,66-48,,
5:45.0,T. Burke makes 2-pt shot at rim (assist by T. Booker),2,68-48,,
5:31.0,,,68-48,,S. Muhammad misses 2-pt shot at rim (block by R. Gobert)
5:29.0,,,68-48,,Offensive rebound by S. Muhammad
5:28.0,,,68-50,2,S. Muhammad makes 2-pt shot from 1 ft
5:04.0,R. Gobert misses 2-pt shot from 2 ft,,68-50,,
5:04.0,Offensive rebound by Team,,68-50,,
5:04.0,Turnover by Team (shot clock),,68-50,,
4:51.0,,,68-50,,S. Muhammad misses 3-pt shot from 24 ft
4:50.0,Defensive rebound by R. Gobert,,68-50,,
4:35.0,G. Hayward misses 3-pt shot from 24 ft,,68-50,,
4:34.0,,,68-50,,Defensive rebound by J. Adrien
4:27.0,,,68-53,3,R. Hummel makes 3-pt shot from 23 ft (assist by M. Williams)
4:03.0,T. Burke misses 3-pt shot from 23 ft,,68-53,,
4:01.0,Offensive rebound by R. Gobert,,68-53,,
4:01.0,R. Gobert makes 2-pt shot at rim,2,70-53,,
3:46.0,Personal foul by G. Hayward (drawn by M. Williams),,70-53,,
3:43.0,,,70-56,3,M. Williams makes 3-pt shot from 23 ft (assist by T. Daniels)
3:21.0,R. Gobert makes 2-pt shot at rim (assist by T. Booker),2,72-56,,
3:03.0,,,72-56,,J. Adrien misses 2-pt shot from 7 ft
3:02.0,,,72-56,,Offensive rebound by J. Adrien
2:56.0,,,72-56,,R. Hummel misses 2-pt shot from 8 ft (block by R. Gobert)
2:56.0,,,72-56,,Offensive rebound by Team
2:56.0,J. Ingles enters the game for G. Hayward,,72-56,,
2:54.0,,,72-56,,T. Daniels misses 2-pt shot from 16 ft
2:52.0,,,72-56,,Offensive rebound by R. Hummel
2:30.0,,,72-56,,J. Adrien misses 2-pt shot from 8 ft
2:28.0,Defensive rebound by T. Burke,,72-56,,
2:20.0,,,72-56,,Personal foul by J. Adrien (drawn by R. Gobert)
2:20.0,I. Clark enters the game for T. Burke,,72-56,,
2:05.0,J. Ingles misses 2-pt shot from 21 ft,,72-56,,
2:03.0,Offensive rebound by T. Booker,,72-56,,
2:02.0,T. Booker makes 2-pt shot at rim,2,74-56,,
1:48.0,,,74-56,,R. Hummel misses 2-pt shot from 18 ft
1:47.0,,,74-56,,Offensive rebound by J. Adrien
1:38.0,,,74-59,3,M. Williams makes 3-pt shot from 25 ft (assist by J. Adrien)
1:28.0,Turnover by T. Booker (bad pass; steal by M. Williams),,74-59,,
1:24.0,,,74-59,,M. Williams misses 2-pt shot at rim
1:23.0,Defensive rebound by T. Booker,,74-59,,
1:11.0,Utah full timeout,,74-59,,
1:02.0,I. Clark makes 3-pt shot from 23 ft (assist by D. Exum),3,77-59,,
0:42.0,,,77-59,,Shooting foul by R. Gobert (drawn by S. Muhammad)
0:42.0,,,77-60,1,S. Muhammad makes free throw 1 of 2
0:42.0,J. Evans enters the game for R. Gobert,,77-60,,
0:42.0,,,77-61,1,S. Muhammad makes free throw 2 of 2
0:31.0,D. Exum misses 2-pt shot from 21 ft,,77-61,,
0:29.0,Offensive rebound by T. Booker,,77-61,,
0:04.0,D. Exum misses 3-pt shot from 27 ft,,77-61,,
0:02.0,Offensive rebound by J. Ingles,,77-61,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:37.0,I. Clark misses 2-pt shot from 9 ft,,77-61,,
11:36.0,,,77-61,,Defensive rebound by M. Williams
11:28.0,,,77-64,3,M. Williams makes 3-pt shot from 24 ft
11:04.0,J. Evans misses 2-pt shot at rim,,77-64,,
11:03.0,Offensive rebound by J. Evans,,77-64,,
11:03.0,J. Evans makes 2-pt shot at rim,2,79-64,,
10:52.0,Personal foul by I. Clark (drawn by M. Williams),,79-64,,
10:52.0,T. Burke enters the game for I. Clark,,79-64,,
10:43.0,,,79-66,2,A. Wiggins makes 2-pt shot from 14 ft
10:20.0,Turnover by J. Ingles (bad pass; steal by R. Hummel),,79-66,,
10:17.0,Personal foul by T. Burke (drawn by T. Young),,79-66,,
10:08.0,,,79-68,2,A. Wiggins makes 2-pt shot from 3 ft
10:08.0,,,79-68,,Shooting foul by J. Ingles (drawn by A. Wiggins)
10:08.0,,,79-69,1,A. Wiggins makes free throw 1 of 1
9:48.0,D. Favors misses 2-pt shot from 13 ft,,79-69,,
9:47.0,,,79-69,,Defensive rebound by M. Williams
9:42.0,,,79-69,,Turnover by M. Williams (bad pass; steal by D. Favors)
9:30.0,,,79-69,,Personal foul by M. Williams (drawn by J. Evans)
9:30.0,G. Hayward enters the game for J. Ingles,,79-69,,
9:23.0,T. Burke misses 2-pt shot from 20 ft,,79-69,,
9:21.0,,,79-69,,Defensive rebound by R. Hummel
9:13.0,,,79-71,2,M. Williams makes 2-pt shot from 21 ft (assist by T. Young)
9:11.0,Utah full timeout,,79-71,,
9:11.0,T. Booker enters the game for J. Evans,,79-71,,
9:02.0,D. Favors makes 2-pt shot at rim (assist by G. Hayward),2,81-71,,
8:47.0,,,81-71,,T. Young misses 2-pt shot from 15 ft
8:46.0,Defensive rebound by T. Booker,,81-71,,
8:23.0,D. Exum misses 3-pt shot from 22 ft,,81-71,,
8:22.0,Offensive rebound by T. Booker,,81-71,,
8:05.0,D. Exum misses 3-pt shot from 22 ft,,81-71,,
8:05.0,Offensive rebound by Team,,81-71,,
8:05.0,,,81-71,,Loose ball foul by A. Wiggins (drawn by D. Favors)
7:56.0,Shooting foul by G. Dieng (drawn by T. Burke),,81-71,,
7:56.0,T. Burke misses free throw 1 of 2,,81-71,,
7:56.0,Offensive rebound by Team,,81-71,,
7:56.0,,,81-71,,Z. LaVine enters the game for M. Williams
7:56.0,T. Burke makes free throw 2 of 2,1,82-71,,
7:45.0,,,82-71,,T. Young misses 2-pt shot from 13 ft
7:43.0,Defensive rebound by D. Favors,,82-71,,
7:27.0,T. Booker makes 2-pt shot from 5 ft,2,84-71,,
7:26.0,,,84-71,,Minnesota full timeout
7:26.0,,,84-71,,A. Bennett enters the game for T. Young
7:26.0,J. Ingles enters the game for D. Exum,,84-71,,
7:16.0,,,84-71,,A. Wiggins misses 2-pt shot from 19 ft
7:15.0,Defensive rebound by T. Booker,,84-71,,
7:13.0,Turnover by T. Burke (lost ball; steal by A. Bennett),,84-71,,
7:03.0,,,84-73,2,R. Hummel makes 2-pt shot at rim (assist by A. Bennett)
6:45.0,T. Booker misses 2-pt shot from 14 ft,,84-73,,
6:45.0,,,84-73,,Defensive rebound by Team
6:45.0,R. Gobert enters the game for T. Booker,,84-73,,
6:37.0,,,84-73,,Turnover by Z. LaVine (lost ball)
6:18.0,T. Burke makes 3-pt shot from 24 ft,3,87-73,,
6:04.0,,,87-73,,A. Bennett misses 2-pt shot from 21 ft
6:03.0,Defensive rebound by R. Gobert,,87-73,,
5:48.0,Shooting foul by G. Dieng (drawn by D. Favors),,87-73,,
5:48.0,D. Favors misses free throw 1 of 2,,87-73,,
5:48.0,Offensive rebound by Team,,87-73,,
5:48.0,,,87-73,,M. Williams enters the game for Z. LaVine
5:48.0,D. Favors makes free throw 2 of 2,1,88-73,,
5:33.0,,,88-75,2,A. Wiggins makes 2-pt shot from 1 ft
5:17.0,T. Burke misses 2-pt shot from 20 ft,,88-75,,
5:16.0,Offensive rebound by D. Favors,,88-75,,
5:16.0,Shooting foul by R. Hummel (drawn by D. Favors),,88-75,,
5:16.0,D. Favors makes free throw 1 of 2,1,89-75,,
5:16.0,D. Favors makes free throw 2 of 2,1,90-75,,
5:07.0,,,90-75,,M. Williams misses 3-pt shot from 24 ft
5:05.0,Defensive rebound by T. Burke,,90-75,,
4:55.0,T. Burke makes 3-pt shot from 25 ft (assist by G. Hayward),3,93-75,,
4:52.0,,,93-75,,Minnesota full timeout
4:43.0,,,93-78,3,A. Bennett makes 3-pt shot from 24 ft (assist by R. Hummel)
4:25.0,G. Hayward misses 2-pt shot from 18 ft,,93-78,,
4:24.0,Offensive rebound by R. Gobert,,93-78,,
4:07.0,J. Ingles misses 2-pt shot from 13 ft,,93-78,,
4:06.0,,,93-78,,Defensive rebound by A. Wiggins
3:59.0,,,93-78,,Shooting foul by T. Burke (drawn by A. Wiggins)
3:59.0,,,93-79,1,A. Wiggins makes free throw 1 of 2
3:59.0,,,93-80,1,A. Wiggins makes free throw 2 of 2
3:41.0,D. Favors makes 2-pt shot from 19 ft (assist by J. Ingles),2,95-80,,
3:20.0,,,95-80,,G. Dieng misses 2-pt shot from 3 ft
3:19.0,,,95-80,,Offensive rebound by A. Bennett
3:19.0,,,95-80,,A. Bennett misses 2-pt shot at rim
3:17.0,Defensive rebound by T. Burke,,95-80,,
3:00.0,,,95-80,,Personal block foul by G. Dieng (drawn by T. Burke)
3:00.0,T. Burke makes free throw 1 of 2,1,96-80,,
3:00.0,T. Burke makes free throw 2 of 2,1,97-80,,
2:46.0,,,97-82,2,M. Williams makes 2-pt shot at rim
2:30.0,Shooting foul by R. Hummel (drawn by D. Favors),,97-82,,
2:30.0,D. Favors makes free throw 1 of 2,1,98-82,,
2:30.0,D. Favors misses free throw 2 of 2,,98-82,,
2:29.0,Offensive rebound by D. Favors,,98-82,,
2:25.0,Jump ball: D. Favors vs. M. Williams (T. Burke gains possession),,,,Jump ball: D. Favors vs. M. Williams (T. Burke gains possession)
2:07.0,T. Burke makes 2-pt shot from 20 ft,2,100-82,,
1:53.0,,,100-82,,Shooting foul by J. Ingles (drawn by M. Williams)
1:53.0,,,100-82,,M. Williams misses free throw 1 of 3
1:53.0,,,100-82,,Offensive rebound by Team
1:53.0,,,100-83,1,M. Williams makes free throw 2 of 3
1:53.0,,,100-83,,G. Robinson enters the game for A. Wiggins
1:53.0,,,100-83,,J. Adrien enters the game for G. Dieng
1:53.0,,,100-83,,M. Williams misses free throw 3 of 3
1:52.0,Defensive rebound by R. Gobert,,100-83,,
1:51.0,,,100-83,,Personal take foul by M. Williams (drawn by R. Gobert)
1:51.0,,,100-83,,T. Daniels enters the game for M. Williams
1:51.0,R. Gobert makes free throw 1 of 2,1,101-83,,
1:51.0,D. Exum enters the game for J. Ingles,,101-83,,
1:51.0,T. Booker enters the game for D. Favors,,101-83,,
1:51.0,R. Gobert misses free throw 2 of 2,,101-83,,
1:51.0,,,101-83,,Defensive rebound by J. Adrien
1:37.0,,,101-85,2,G. Robinson makes 2-pt shot from 6 ft (assist by A. Bennett)
1:16.0,T. Burke misses 2-pt shot from 20 ft,,101-85,,
1:15.0,,,101-85,,Defensive rebound by T. Daniels
1:10.0,,,101-85,,T. Daniels misses 3-pt shot from 24 ft
1:09.0,,,101-85,,Offensive rebound by J. Adrien
1:07.0,,,101-87,2,J. Adrien makes 2-pt shot from 1 ft
1:05.0,Utah full timeout,,101-87,,
1:05.0,I. Clark enters the game for T. Burke,,101-87,,
1:05.0,J. Evans enters the game for R. Gobert,,101-87,,
1:05.0,T. Murry enters the game for G. Hayward,,101-87,,
0:48.0,T. Booker misses 2-pt shot from 19 ft,,101-87,,
0:47.0,,,101-87,,Defensive rebound by J. Adrien
0:25.0,,,101-89,2,A. Bennett makes 2-pt shot at rim
