time,Minnesota,pts.away,score,pts.home,New York
7:34.0,Loose ball foul by A. Payne (drawn by L. Amundson),,7-8,,
7:34.0,C. Budinger enters the game for A. Payne,,7-8,,
7:29.0,,,7-8,,A. Shved misses 2-pt shot from 2 ft (block by G. Dieng)
7:28.0,,,7-8,,Offensive rebound by L. Amundson
7:26.0,,,7-8,,L. Amundson misses 2-pt shot from 1 ft
7:25.0,,,7-8,,Offensive rebound by L. Thomas
7:15.0,,,7-8,,L. Amundson misses 2-pt shot from 1 ft (block by G. Dieng)
7:14.0,Defensive rebound by Z. LaVine,,7-8,,
7:06.0,K. Martin misses 2-pt shot from 4 ft,,7-8,,
7:05.0,Offensive rebound by A. Wiggins,,7-8,,
7:05.0,A. Wiggins misses 2-pt shot at rim,,7-8,,
7:04.0,,,7-8,,Defensive rebound by A. Shved
6:59.0,,,7-8,,L. Galloway misses 3-pt shot from 24 ft
6:57.0,Defensive rebound by G. Dieng,,7-8,,
6:52.0,,,7-8,,Personal foul by L. Galloway (drawn by A. Wiggins)
6:52.0,A. Wiggins makes free throw 1 of 2,1,8-8,,
6:52.0,,,8-8,,New York full timeout
6:52.0,A. Wiggins makes free throw 2 of 2,1,9-8,,
6:36.0,,,9-8,,L. Galloway misses 3-pt shot from 25 ft
6:35.0,Defensive rebound by Team,,9-8,,
6:27.0,G. Dieng makes 2-pt shot from 4 ft (assist by Z. LaVine),2,11-8,,
6:17.0,,,11-8,,Turnover by A. Shved (traveling)
6:17.0,,,11-8,,J. Smith enters the game for L. Amundson
6:08.0,Z. LaVine misses 2-pt shot from 22 ft,,11-8,,
6:06.0,Offensive rebound by G. Dieng,,11-8,,
6:06.0,G. Dieng makes 2-pt shot at rim,2,13-8,,
5:51.0,,,13-8,,A. Shved misses 3-pt shot from 25 ft
5:49.0,Defensive rebound by G. Dieng,,13-8,,
5:46.0,,,13-8,,S. Larkin enters the game for L. Galloway
5:43.0,K. Martin misses 2-pt shot from 16 ft,,13-8,,
5:42.0,Offensive rebound by G. Dieng,,13-8,,
5:37.0,C. Budinger misses 3-pt shot from 23 ft,,13-8,,
5:35.0,,,13-8,,Defensive rebound by J. Smith
5:13.0,,,13-8,,J. Smith misses 2-pt shot from 5 ft
5:11.0,,,13-8,,Offensive rebound by A. Shved
5:10.0,,,13-10,2,A. Shved makes 2-pt shot from 2 ft
4:53.0,A. Wiggins makes 2-pt shot from 17 ft,2,15-10,,
4:39.0,Personal foul by G. Dieng (drawn by A. Bargnani),,15-10,,
4:39.0,,,15-10,,T. Wear enters the game for L. Thomas
4:31.0,,,15-12,2,J. Smith makes 2-pt shot from 16 ft (assist by S. Larkin)
4:17.0,Shooting foul by T. Wear (drawn by A. Wiggins),,15-12,,
4:17.0,A. Wiggins makes free throw 1 of 2,1,16-12,,
4:17.0,A. Wiggins makes free throw 2 of 2,1,17-12,,
3:56.0,,,17-12,,A. Bargnani misses 2-pt shot from 18 ft
3:54.0,Defensive rebound by G. Dieng,,17-12,,
3:44.0,A. Wiggins misses 2-pt shot from 3 ft,,17-12,,
3:42.0,,,17-12,,Defensive rebound by S. Larkin
3:27.0,,,17-14,2,S. Larkin makes 2-pt shot from 1 ft (assist by A. Shved)
3:13.0,,,17-14,,Violation by J. Smith (def goaltending)
3:13.0,K. Martin makes 2-pt shot from 4 ft,2,19-14,,
3:13.0,Shooting foul by A. Shved (drawn by K. Martin),,19-14,,
3:13.0,,,19-14,,L. Galloway enters the game for A. Shved
3:13.0,,,19-14,,C. Aldrich enters the game for A. Bargnani
3:13.0,L. Brown enters the game for Z. LaVine,,19-14,,
3:13.0,K. Martin makes free throw 1 of 1,1,20-14,,
2:59.0,,,20-14,,S. Larkin misses 3-pt shot from 24 ft
2:58.0,Defensive rebound by A. Wiggins,,20-14,,
2:47.0,K. Martin misses 3-pt shot from 25 ft,,20-14,,
2:45.0,,,20-14,,Defensive rebound by C. Aldrich
2:39.0,,,20-14,,Shooting foul by A. Wiggins (drawn by S. Larkin)
2:39.0,Minnesota full timeout,,20-14,,
2:39.0,,,20-14,,S. Larkin misses free throw 1 of 2
2:39.0,,,20-14,,Offensive rebound by Team
2:39.0,,,20-15,1,S. Larkin makes free throw 2 of 2
2:26.0,A. Wiggins misses 2-pt shot from 3 ft (block by C. Aldrich),,20-15,,
2:25.0,Offensive rebound by C. Budinger,,20-15,,
2:24.0,C. Budinger misses 3-pt shot from 25 ft,,20-15,,
2:23.0,,,20-15,,Defensive rebound by Team
2:01.0,Violation by G. Dieng (def goaltending),,20-15,,
2:01.0,,,20-17,2,L. Galloway makes 2-pt shot from 1 ft
1:48.0,L. Brown makes 2-pt shot from 1 ft,2,22-17,,
1:33.0,,,22-19,2,L. Galloway makes 2-pt shot from 1 ft (assist by C. Aldrich)
1:15.0,Turnover by A. Wiggins (lost ball; steal by T. Wear),,22-19,,
0:59.0,,,22-21,2,T. Wear makes 2-pt shot from 22 ft (assist by C. Aldrich)
0:50.0,,,22-21,,Personal foul by C. Aldrich (drawn by K. Martin)
0:50.0,K. Martin makes free throw 1 of 2,1,23-21,,
0:50.0,K. Martin makes free throw 2 of 2,1,24-21,,
0:38.0,,,24-24,3,L. Galloway makes 3-pt shot from 24 ft (assist by S. Larkin)
0:29.0,K. Martin makes 3-pt shot from 22 ft (assist by L. Brown),3,27-24,,
0:11.0,,,27-26,2,C. Aldrich makes 2-pt shot from 10 ft
0:01.0,K. Martin makes 2-pt shot from 7 ft,2,29-26,,
0:00.0,,,29-26,,L. Galloway misses 3-pt shot from 56 ft
0:00.0,,,29-26,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,,,29-28,2,C. Aldrich makes 2-pt shot from 1 ft (assist by T. Wear)
11:28.0,C. Budinger makes 2-pt shot at rim (assist by L. Brown),2,31-28,,
11:09.0,,,31-28,,J. Smith misses 2-pt shot from 14 ft
11:07.0,Defensive rebound by G. Dieng,,31-28,,
10:59.0,Offensive foul by K. Martin,,31-28,,
10:59.0,Turnover by K. Martin (offensive foul),,31-28,,
10:39.0,,,31-30,2,J. Smith makes 2-pt shot from 9 ft
10:22.0,G. Dieng makes 2-pt shot from 13 ft,2,33-30,,
9:58.0,,,33-30,,Turnover by T. Wear (bad pass; steal by C. Budinger)
9:53.0,Shooting foul by T. Wear (drawn by C. Budinger),,33-30,,
9:53.0,C. Budinger makes free throw 1 of 2,1,34-30,,
9:53.0,Z. LaVine enters the game for K. Martin,,34-30,,
9:53.0,,,34-30,,L. Thomas enters the game for T. Wear
9:53.0,C. Budinger makes free throw 2 of 2,1,35-30,,
9:38.0,,,35-30,,Turnover by J. Smith (bad pass; steal by L. Brown)
9:31.0,Z. LaVine misses 2-pt shot from 2 ft,,35-30,,
9:30.0,,,35-30,,Defensive rebound by C. Aldrich
9:11.0,,,35-30,,Turnover by L. Thomas (bad pass; steal by G. Dieng)
9:08.0,Turnover by G. Dieng (bad pass; steal by S. Larkin),,35-30,,
9:04.0,,,35-30,,Turnover by J. Smith (step out of bounds)
8:44.0,G. Dieng makes 2-pt shot at rim,2,37-30,,
8:27.0,,,37-30,,L. Thomas misses 2-pt shot from 18 ft
8:25.0,Defensive rebound by L. Brown,,37-30,,
8:11.0,Official timeout,,37-30,,
8:11.0,,,37-30,,L. Amundson enters the game for J. Smith
8:11.0,,,37-30,,A. Bargnani enters the game for S. Larkin
8:11.0,,,37-30,,A. Shved enters the game for C. Aldrich
8:05.0,Z. LaVine misses 3-pt shot from 25 ft,,37-30,,
8:03.0,,,37-30,,Defensive rebound by A. Shved
7:46.0,,,37-30,,Turnover by L. Amundson (bad pass; steal by C. Budinger)
7:40.0,Z. LaVine makes 2-pt shot from 1 ft (assist by C. Budinger),2,39-30,,
7:40.0,Shooting foul by L. Amundson (drawn by Z. LaVine),,39-30,,
7:40.0,Z. LaVine makes free throw 1 of 1,1,40-30,,
7:22.0,,,40-32,2,A. Bargnani makes 2-pt shot from 3 ft
7:15.0,Z. LaVine misses 2-pt shot from 1 ft,,40-32,,
7:14.0,Offensive rebound by Team,,40-32,,
7:13.0,Z. LaVine makes 2-pt shot from 4 ft,2,42-32,,
6:58.0,,,42-32,,Shooting foul by L. Brown (drawn by A. Shved)
6:58.0,,,42-33,1,A. Shved makes free throw 1 of 2
6:58.0,,,42-34,1,A. Shved makes free throw 2 of 2
6:48.0,G. Dieng makes 2-pt shot from 16 ft (assist by Z. LaVine),2,44-34,,
6:36.0,,,44-36,2,L. Thomas makes 2-pt shot from 14 ft
6:22.0,Turnover by Z. LaVine (bad pass; steal by L. Amundson),,44-36,,
6:16.0,,,44-36,,A. Shved misses 2-pt shot from 2 ft
6:14.0,Defensive rebound by L. Brown,,44-36,,
6:06.0,C. Budinger misses 2-pt shot from 16 ft,,44-36,,
6:04.0,,,44-36,,Defensive rebound by L. Galloway
5:47.0,,,44-36,,L. Thomas misses 2-pt shot from 17 ft
5:45.0,,,44-36,,Offensive rebound by Team
5:45.0,,,44-36,,New York full timeout
5:45.0,K. Martin enters the game for L. Brown,,44-36,,
5:45.0,A. Wiggins enters the game for S. Kilpatrick,,44-36,,
5:34.0,,,44-36,,L. Thomas misses 2-pt shot from 4 ft (block by G. Dieng)
5:32.0,,,44-36,,Offensive rebound by L. Amundson
5:29.0,,,44-38,2,L. Amundson makes 2-pt shot from 2 ft
5:10.0,Turnover by K. Martin (traveling),,44-38,,
4:49.0,,,44-38,,L. Amundson misses 2-pt shot from 18 ft
4:47.0,,,44-38,,Offensive rebound by L. Thomas
4:34.0,,,44-38,,A. Bargnani misses 2-pt shot from 8 ft
4:33.0,Defensive rebound by C. Budinger,,44-38,,
4:24.0,Z. LaVine misses 2-pt shot from 5 ft (block by L. Amundson),,44-38,,
4:22.0,,,44-38,,Defensive rebound by L. Galloway
4:11.0,,,44-38,,L. Thomas misses 2-pt shot from 18 ft
4:09.0,Defensive rebound by A. Wiggins,,44-38,,
3:57.0,C. Budinger makes 2-pt shot at rim (assist by Z. LaVine),2,46-38,,
3:38.0,,,46-38,,A. Shved misses 3-pt shot from 25 ft
3:36.0,Defensive rebound by A. Wiggins,,46-38,,
3:28.0,Turnover by A. Wiggins (bad pass; steal by L. Galloway),,46-38,,
3:23.0,,,46-40,2,L. Galloway makes 2-pt shot from 16 ft
2:58.0,Turnover by Z. LaVine (lost ball; steal by L. Galloway),,46-40,,
2:54.0,,,46-42,2,A. Shved makes 2-pt shot from 1 ft (assist by L. Galloway)
2:53.0,Minnesota full timeout,,46-42,,
2:53.0,L. Brown enters the game for Z. LaVine,,46-42,,
2:40.0,K. Martin misses 2-pt shot from 4 ft (block by A. Shved),,46-42,,
2:39.0,,,46-42,,Defensive rebound by L. Amundson
2:22.0,,,46-44,2,A. Bargnani makes 2-pt shot from 5 ft (assist by L. Galloway)
2:08.0,Shooting foul by L. Thomas (drawn by A. Wiggins),,46-44,,
2:08.0,A. Wiggins makes free throw 1 of 2,1,47-44,,
2:08.0,,,47-44,,T. Wear enters the game for L. Thomas
2:08.0,A. Wiggins makes free throw 2 of 2,1,48-44,,
1:53.0,,,48-44,,Turnover by L. Amundson (bad pass; steal by C. Budinger)
1:45.0,Shooting foul by L. Amundson (drawn by K. Martin),,48-44,,
1:45.0,K. Martin makes free throw 1 of 2,1,49-44,,
1:45.0,K. Martin makes free throw 2 of 2,1,50-44,,
1:27.0,,,50-44,,Shooting foul by C. Budinger (drawn by A. Shved)
1:27.0,,,50-45,1,A. Shved makes free throw 1 of 2
1:27.0,,,50-45,,Q. Acy enters the game for L. Amundson
1:27.0,,,50-46,1,A. Shved makes free throw 2 of 2
1:14.0,Shooting foul by T. Wear (drawn by A. Wiggins),,50-46,,
1:14.0,A. Wiggins makes free throw 1 of 2,1,51-46,,
1:14.0,A. Wiggins makes free throw 2 of 2,1,52-46,,
0:56.0,,,52-46,,Turnover by A. Shved (bad pass)
0:46.0,K. Martin misses 2-pt shot from 18 ft,,52-46,,
0:45.0,,,52-46,,Defensive rebound by Q. Acy
0:40.0,,,52-46,,Turnover by Q. Acy (bad pass; steal by A. Wiggins)
0:39.0,Shooting foul by Q. Acy (drawn by A. Wiggins),,52-46,,
0:39.0,A. Wiggins makes free throw 1 of 2,1,53-46,,
0:39.0,A. Wiggins makes free throw 2 of 2,1,54-46,,
0:22.0,,,54-46,,Q. Acy misses 2-pt shot from 17 ft
0:20.0,Defensive rebound by G. Dieng,,54-46,,
0:15.0,Minnesota full timeout,,54-46,,
0:02.0,K. Martin misses 2-pt shot from 21 ft,,54-46,,
0:00.0,,,54-46,,Defensive rebound by Q. Acy
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,,,54-46,,L. Galloway misses 3-pt shot from 24 ft
11:40.0,,,54-46,,Offensive rebound by L. Amundson
11:40.0,,,54-46,,L. Amundson misses 2-pt shot from 1 ft
11:38.0,,,54-46,,Offensive rebound by L. Amundson
11:36.0,,,54-48,2,L. Amundson makes 2-pt shot from 1 ft
11:19.0,K. Martin makes 2-pt shot from 5 ft,2,56-48,,
10:58.0,,,56-50,2,A. Bargnani makes 2-pt shot from 11 ft (assist by L. Galloway)
10:34.0,K. Martin misses 2-pt shot from 13 ft,,56-50,,
10:32.0,,,56-50,,Defensive rebound by L. Galloway
10:28.0,,,56-52,2,L. Galloway makes 2-pt shot from 10 ft
10:26.0,Minnesota full timeout,,56-52,,
10:13.0,Turnover by K. Martin (back court),,56-52,,
10:02.0,,,56-52,,L. Galloway misses 2-pt shot from 19 ft
10:00.0,Defensive rebound by G. Dieng,,56-52,,
9:49.0,G. Dieng makes 2-pt shot from 5 ft,2,58-52,,
9:48.0,,,58-52,,New York full timeout
9:35.0,,,58-52,,L. Thomas misses 2-pt shot from 12 ft
9:34.0,,,58-52,,Offensive rebound by L. Amundson
9:32.0,,,58-54,2,L. Amundson makes 2-pt shot from 2 ft
9:14.0,A. Wiggins misses 2-pt shot from 16 ft,,58-54,,
9:12.0,,,58-54,,Defensive rebound by A. Bargnani
9:00.0,,,58-54,,L. Amundson misses 2-pt shot from 3 ft
8:58.0,Defensive rebound by A. Payne,,58-54,,
8:53.0,Z. LaVine makes 2-pt shot from 1 ft,2,60-54,,
8:33.0,,,60-56,2,L. Thomas makes 2-pt shot from 14 ft (assist by A. Shved)
8:06.0,G. Dieng misses 2-pt shot from 3 ft,,60-56,,
8:04.0,,,60-56,,Defensive rebound by A. Shved
7:58.0,,,60-58,2,A. Bargnani makes 2-pt shot from 6 ft (assist by A. Shved)
7:38.0,K. Martin misses 2-pt shot from 1 ft,,60-58,,
7:36.0,,,60-58,,Defensive rebound by L. Amundson
7:30.0,,,60-58,,A. Shved misses 3-pt shot from 24 ft
7:28.0,Defensive rebound by K. Martin,,60-58,,
7:15.0,K. Martin misses 2-pt shot from 15 ft,,60-58,,
7:13.0,Offensive rebound by A. Payne,,60-58,,
7:13.0,A. Payne misses 2-pt shot from 1 ft,,60-58,,
7:11.0,Offensive rebound by A. Payne,,60-58,,
7:03.0,K. Martin misses 2-pt shot from 13 ft,,60-58,,
7:01.0,,,60-58,,Defensive rebound by L. Amundson
6:51.0,,,60-58,,L. Amundson misses 2-pt shot from 1 ft
6:49.0,,,60-58,,Offensive rebound by Team
6:49.0,C. Budinger enters the game for K. Martin,,60-58,,
6:49.0,L. Brown enters the game for A. Payne,,60-58,,
6:37.0,,,60-58,,L. Thomas misses 2-pt shot from 13 ft
6:36.0,Defensive rebound by Z. LaVine,,60-58,,
6:27.0,Z. LaVine makes 2-pt shot from 1 ft,2,62-58,,
6:05.0,,,62-58,,A. Shved misses 2-pt shot from 2 ft (block by G. Dieng)
6:03.0,Defensive rebound by C. Budinger,,62-58,,
5:59.0,Z. LaVine makes 2-pt shot at rim (assist by A. Wiggins),2,64-58,,
5:48.0,,,64-58,,Turnover by L. Galloway (bad pass; steal by G. Dieng)
5:43.0,,,64-58,,Q. Acy enters the game for A. Bargnani
5:38.0,Z. LaVine misses 3-pt shot from 24 ft,,64-58,,
5:36.0,,,64-58,,Defensive rebound by Q. Acy
5:14.0,,,64-61,3,L. Galloway makes 3-pt shot from 24 ft (assist by A. Shved)
4:57.0,A. Wiggins makes 2-pt shot from 1 ft,2,66-61,,
4:38.0,,,66-63,2,A. Shved makes 2-pt shot from 1 ft (assist by Q. Acy)
4:30.0,Shooting foul by Q. Acy (drawn by G. Dieng),,66-63,,
4:30.0,G. Dieng misses free throw 1 of 2,,66-63,,
4:30.0,Offensive rebound by Team,,66-63,,
4:30.0,G. Dieng makes free throw 2 of 2,1,67-63,,
4:14.0,,,67-63,,L. Galloway misses 2-pt shot from 2 ft
4:11.0,Defensive rebound by Z. LaVine,,67-63,,
4:08.0,,,67-63,,C. Aldrich enters the game for L. Amundson
4:03.0,A. Wiggins misses 2-pt shot from 19 ft,,67-63,,
4:01.0,,,67-63,,Defensive rebound by Q. Acy
3:42.0,,,67-63,,Q. Acy misses 3-pt shot from 22 ft
3:41.0,Defensive rebound by Team,,67-63,,
3:30.0,A. Wiggins misses 2-pt shot from 2 ft (block by L. Thomas),,67-63,,
3:29.0,,,67-63,,Defensive rebound by L. Galloway
3:25.0,,,67-63,,L. Galloway misses 2-pt shot from 2 ft (block by Z. LaVine)
3:24.0,,,67-63,,Offensive rebound by Team
3:24.0,A. Payne enters the game for G. Dieng,,67-63,,
3:24.0,,,67-63,,S. Larkin enters the game for A. Shved
3:12.0,,,67-65,2,L. Galloway makes 2-pt shot from 2 ft (assist by C. Aldrich)
2:55.0,Turnover by L. Brown (bad pass; steal by Q. Acy),,67-65,,
2:40.0,,,67-67,2,S. Larkin makes 2-pt shot from 7 ft (assist by C. Aldrich)
2:17.0,L. Brown misses 3-pt shot from 24 ft,,67-67,,
2:15.0,,,67-67,,Defensive rebound by Q. Acy
2:00.0,,,67-69,2,L. Galloway makes 2-pt shot from 2 ft (assist by C. Aldrich)
1:53.0,Minnesota full timeout,,67-69,,
1:53.0,,,67-69,,J. Smith enters the game for L. Thomas
1:53.0,K. Martin enters the game for Z. LaVine,,67-69,,
1:41.0,A. Wiggins misses 2-pt shot from 5 ft,,67-69,,
1:39.0,,,67-69,,Defensive rebound by C. Aldrich
1:16.0,,,67-69,,L. Galloway misses 2-pt shot from 18 ft
1:15.0,,,67-69,,Offensive rebound by Team
1:15.0,,,67-69,,Turnover by Team (shot clock)
1:02.0,K. Martin makes 2-pt shot from 16 ft (assist by C. Budinger),2,69-69,,
0:48.0,,,69-69,,L. Galloway misses 2-pt shot from 2 ft
0:46.0,,,69-69,,Offensive rebound by S. Larkin
0:29.0,,,69-69,,C. Aldrich misses 2-pt shot from 5 ft
0:27.0,Defensive rebound by L. Brown,,69-69,,
0:14.0,A. Payne misses 2-pt shot from 2 ft,,69-69,,
0:12.0,,,69-69,,Defensive rebound by C. Aldrich
0:03.0,,,69-69,,L. Galloway misses 2-pt shot from 19 ft
0:01.0,Defensive rebound by A. Payne,,69-69,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:39.0,A. Wiggins misses 2-pt shot from 2 ft,,69-69,,
11:37.0,Offensive rebound by A. Payne,,69-69,,
11:35.0,A. Payne makes 2-pt shot from 11 ft,2,71-69,,
11:10.0,,,71-72,3,S. Larkin makes 3-pt shot from 25 ft (assist by J. Smith)
10:52.0,C. Budinger misses 2-pt shot from 6 ft,,71-72,,
10:50.0,Offensive rebound by C. Budinger,,71-72,,
10:50.0,C. Budinger makes 2-pt shot from 1 ft,2,73-72,,
10:38.0,,,73-72,,Shooting foul by A. Payne (drawn by J. Smith)
10:38.0,,,73-72,,J. Smith misses free throw 1 of 2
10:38.0,,,73-72,,Offensive rebound by Team
10:38.0,S. Kilpatrick enters the game for A. Wiggins,,73-72,,
10:38.0,G. Dieng enters the game for A. Payne,,73-72,,
10:38.0,,,73-73,1,J. Smith makes free throw 2 of 2
10:17.0,S. Kilpatrick misses 3-pt shot from 24 ft,,73-73,,
10:15.0,,,73-73,,Defensive rebound by J. Smith
9:59.0,,,73-73,,Turnover by J. Smith (traveling)
9:38.0,C. Budinger makes 2-pt shot from 3 ft (assist by L. Brown),2,75-73,,
9:25.0,Personal foul by C. Budinger (drawn by J. Smith),,75-73,,
9:22.0,,,75-73,,Turnover by C. Aldrich (bad pass; steal by C. Budinger)
9:18.0,,,75-73,,T. Wear enters the game for Q. Acy
9:15.0,K. Martin misses 2-pt shot from 18 ft,,75-73,,
9:14.0,,,75-73,,Defensive rebound by J. Smith
8:51.0,,,75-73,,A. Shved misses 3-pt shot from 26 ft
8:49.0,,,75-73,,Offensive rebound by S. Larkin
8:31.0,,,75-73,,A. Shved misses 3-pt shot from 26 ft
8:29.0,Defensive rebound by Team,,75-73,,
8:29.0,Official timeout,,75-73,,
8:09.0,C. Budinger misses 3-pt shot from 26 ft,,75-73,,
8:07.0,,,75-73,,Defensive rebound by A. Shved
8:00.0,,,75-73,,T. Wear misses 2-pt shot from 1 ft
7:59.0,Defensive rebound by Team,,75-73,,
7:45.0,K. Martin misses 2-pt shot from 2 ft,,75-73,,
7:44.0,,,75-73,,Defensive rebound by T. Wear
7:34.0,,,75-73,,C. Aldrich misses 2-pt shot from 2 ft
7:32.0,Defensive rebound by S. Kilpatrick,,75-73,,
7:20.0,Turnover by C. Budinger (lost ball; steal by A. Shved),,75-73,,
6:57.0,,,75-75,2,C. Aldrich makes 2-pt shot from 4 ft (assist by S. Larkin)
6:36.0,Turnover by S. Kilpatrick (bad pass),,75-75,,
6:36.0,Z. LaVine enters the game for S. Kilpatrick,,75-75,,
6:36.0,A. Wiggins enters the game for L. Brown,,75-75,,
6:24.0,,,75-77,2,A. Shved makes 2-pt shot from 4 ft
6:08.0,Turnover by K. Martin (step out of bounds),,75-77,,
5:54.0,,,75-77,,A. Shved misses 3-pt shot from 24 ft
5:52.0,Defensive rebound by K. Martin,,75-77,,
5:46.0,Turnover by G. Dieng (bad pass),,75-77,,
5:46.0,,,75-77,,New York full timeout
5:46.0,,,75-77,,A. Bargnani enters the game for C. Aldrich
5:46.0,,,75-77,,Q. Acy enters the game for T. Wear
5:28.0,,,75-77,,Turnover by Q. Acy (bad pass; steal by Z. LaVine)
5:24.0,Turnover by Z. LaVine (lost ball; steal by S. Larkin),,75-77,,
5:22.0,,,75-77,,Turnover by A. Shved (lost ball)
5:06.0,K. Martin makes 2-pt shot from 19 ft,2,77-77,,
4:53.0,,,77-79,2,A. Shved makes 2-pt shot from 1 ft (assist by J. Smith)
4:34.0,A. Wiggins makes 2-pt shot from 2 ft,2,79-79,,
4:07.0,,,79-81,2,A. Shved makes 2-pt shot from 1 ft
3:43.0,A. Wiggins misses 2-pt shot from 3 ft,,79-81,,
3:41.0,,,79-81,,Defensive rebound by Q. Acy
3:21.0,,,79-81,,A. Bargnani misses 2-pt shot from 13 ft
3:20.0,Defensive rebound by Team,,79-81,,
3:20.0,,,79-81,,Loose ball foul by J. Smith (drawn by Z. LaVine)
3:20.0,,,79-81,,L. Thomas enters the game for J. Smith
3:02.0,K. Martin makes 2-pt shot from 9 ft,2,81-81,,
2:34.0,,,81-83,2,S. Larkin makes 2-pt shot from 22 ft
2:32.0,Minnesota full timeout,,81-83,,
2:32.0,,,81-83,,L. Galloway enters the game for L. Thomas
2:17.0,K. Martin makes 2-pt shot from 6 ft,2,83-83,,
1:54.0,,,83-83,,S. Larkin misses 2-pt shot from 3 ft
1:52.0,Defensive rebound by C. Budinger,,83-83,,
1:32.0,K. Martin misses 2-pt shot from 5 ft,,83-83,,
1:31.0,Offensive rebound by A. Wiggins,,83-83,,
1:31.0,A. Wiggins misses 2-pt shot from 2 ft,,83-83,,
1:30.0,Offensive rebound by Team,,83-83,,
1:30.0,,,83-83,,Loose ball foul by S. Larkin (drawn by A. Wiggins)
1:18.0,K. Martin misses 2-pt shot from 15 ft,,83-83,,
1:16.0,Offensive rebound by G. Dieng,,83-83,,
1:01.0,A. Wiggins makes 2-pt shot from 2 ft,2,85-83,,
1:01.0,,,85-83,,New York full timeout
1:01.0,L. Brown enters the game for Z. LaVine,,85-83,,
1:01.0,,,85-83,,J. Smith enters the game for Q. Acy
0:43.0,,,85-83,,A. Bargnani misses 2-pt shot from 13 ft
0:41.0,Defensive rebound by G. Dieng,,85-83,,
0:22.0,K. Martin misses 2-pt shot from 14 ft,,85-83,,
0:20.0,,,85-83,,Defensive rebound by S. Larkin
0:12.0,Personal foul by G. Dieng (drawn by S. Larkin),,85-83,,
0:12.0,,,85-83,,New York full timeout
0:07.0,,,85-83,,Shooting foul by G. Dieng (drawn by A. Shved)
0:07.0,,,85-84,1,A. Shved makes free throw 1 of 2
0:07.0,A. Payne enters the game for L. Brown,,85-84,,
0:07.0,,,85-85,1,A. Shved makes free throw 2 of 2
0:07.0,Minnesota full timeout,,85-85,,
0:07.0,Z. LaVine enters the game for A. Payne,,85-85,,
0:07.0,,,85-85,,L. Thomas enters the game for A. Bargnani
0:07.0,,,85-85,,Q. Acy enters the game for J. Smith
0:07.0,,,85-85,,C. Aldrich enters the game for S. Larkin
0:01.0,K. Martin misses 2-pt shot from 18 ft,,85-85,,
0:00.0,Offensive rebound by Team,,85-85,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
