time,Indiana,pts.away,score,pts.home,Memphis
3:02.0,G. Hill misses 2-pt shot from 8 ft,,21-15,,
3:02.0,Offensive rebound by I. Mahinmi,,21-15,,
3:01.0,I. Mahinmi makes 2-pt shot at rim,2,23-15,,
3:01.0,,,23-15,,Memphis full timeout
3:01.0,,,23-15,,V. Carter enters the game for J. Green
2:48.0,,,23-15,,Turnover by V. Carter (bad pass)
2:29.0,Turnover by G. Hill (bad pass; steal by M. Gasol),,23-15,,
2:15.0,,,23-15,,M. Gasol misses 2-pt shot from 8 ft
2:12.0,,,23-15,,Offensive rebound by N. Calathes
2:06.0,,,23-15,,Shooting foul by I. Mahinmi (drawn by M. Gasol)
2:06.0,,,23-17,2,M. Gasol makes 2-pt shot from 8 ft
2:06.0,D. Sloan enters the game for G. Hill,,23-17,,
2:06.0,,,23-18,1,M. Gasol makes free throw 1 of 1
1:50.0,P. George misses 3-pt shot from 25 ft,,23-18,,
1:49.0,,,23-18,,Defensive rebound by Z. Randolph
1:34.0,,,23-20,2,M. Gasol makes 2-pt shot from 9 ft
1:12.0,R. Stuckey misses 2-pt shot from 13 ft,,23-20,,
1:11.0,,,23-20,,Defensive rebound by M. Gasol
0:55.0,,,23-20,,M. Gasol misses 2-pt shot from 22 ft
0:54.0,Defensive rebound by P. George,,23-20,,
0:47.0,Turnover by P. George (bad pass; steal by N. Calathes),,23-20,,
0:35.0,,,23-22,2,Z. Randolph makes 2-pt shot from 8 ft (assist by N. Calathes)
0:19.0,Shooting foul by Z. Randolph (drawn by L. Scola),,23-22,,
0:19.0,L. Scola misses free throw 1 of 2,,23-22,,
0:19.0,Offensive rebound by Team,,23-22,,
0:19.0,L. Scola makes free throw 2 of 2,1,24-22,,
0:01.0,,,24-22,,Z. Randolph misses 2-pt shot from 18 ft
0:00.0,,,24-22,,Offensive rebound by M. Gasol
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:40.0,P. George misses 2-pt shot at rim,,24-22,,
11:39.0,Offensive rebound by P. George,,24-22,,
11:39.0,P. George makes 2-pt shot at rim,2,26-22,,
11:20.0,,,26-22,,V. Carter misses 2-pt shot from 2 ft (block by I. Mahinmi)
11:19.0,Defensive rebound by P. George,,26-22,,
10:55.0,L. Scola misses 2-pt shot at rim,,26-22,,
10:53.0,,,26-22,,Defensive rebound by Z. Randolph
