time,Golden State,pts.away,score,pts.home,Washington
2:04.0,M. Speights makes 2-pt shot from 20 ft (assist by K. Thompson),2,26-26,,
1:48.0,,,26-26,,Turnover by G. Temple (bad pass)
1:48.0,L. Barbosa enters the game for K. Thompson,,26-26,,
1:48.0,,,26-26,,R. Sessions enters the game for J. Wall
1:48.0,,,26-26,,M. Webster enters the game for G. Temple
1:38.0,Shooting foul by K. Seraphin (drawn by D. Lee),,26-26,,
1:38.0,D. Lee misses free throw 1 of 2,,26-26,,
1:38.0,Offensive rebound by Team,,26-26,,
1:38.0,D. Lee makes free throw 2 of 2,1,27-26,,
1:25.0,,,27-26,,Turnover by K. Seraphin (lost ball)
1:13.0,S. Curry makes 3-pt shot from 27 ft,3,30-26,,
1:01.0,,,30-26,,Offensive foul by R. Sessions
1:01.0,,,30-26,,Turnover by R. Sessions (offensive foul)
0:47.0,S. Curry misses 3-pt shot from 25 ft,,30-26,,
0:46.0,Offensive rebound by Team,,30-26,,
0:45.0,,,30-26,,K. Humphries enters the game for M. Gortat
0:35.0,D. Lee misses 2-pt shot from 16 ft,,30-26,,
0:34.0,,,30-26,,Defensive rebound by R. Butler
0:21.0,,,30-26,,K. Humphries misses 2-pt shot from 17 ft
0:20.0,Defensive rebound by D. Lee,,30-26,,
0:04.0,Turnover by M. Speights (traveling),,30-26,,
0:04.0,,,30-26,,J. Wall enters the game for K. Seraphin
0:04.0,S. Livingston enters the game for S. Curry,,30-26,,
0:01.0,,,30-28,2,J. Wall makes 2-pt shot from 14 ft
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,Shooting foul by R. Butler (drawn by M. Speights),,30-28,,
11:44.0,M. Speights misses free throw 1 of 2,,30-28,,
11:44.0,Offensive rebound by Team,,30-28,,
11:44.0,M. Speights makes free throw 2 of 2,1,31-28,,
11:28.0,,,31-28,,K. Seraphin misses 2-pt shot from 9 ft
11:27.0,Defensive rebound by D. Green,,31-28,,
11:19.0,A. Iguodala misses 3-pt shot from 25 ft,,31-28,,
11:18.0,Offensive rebound by S. Livingston,,31-28,,
11:12.0,L. Barbosa makes 3-pt shot from 23 ft (assist by D. Green),3,34-28,,
10:58.0,,,34-28,,Offensive foul by R. Sessions
10:58.0,,,34-28,,Turnover by R. Sessions (offensive foul)
10:49.0,,,34-28,,Personal foul by M. Webster (drawn by L. Barbosa)
10:45.0,D. Green makes 2-pt shot from 18 ft (assist by L. Barbosa),2,36-28,,
10:31.0,,,36-28,,K. Seraphin misses 2-pt shot from 13 ft
10:30.0,,,36-28,,Offensive rebound by Team
10:28.0,Loose ball foul by A. Iguodala (drawn by K. Humphries),,36-28,,
10:14.0,,,36-30,2,K. Seraphin makes 2-pt shot from 10 ft
9:57.0,M. Speights misses 2-pt shot from 20 ft,,36-30,,
9:56.0,,,36-30,,Defensive rebound by M. Webster
9:44.0,,,36-32,2,K. Seraphin makes 2-pt shot from 7 ft
9:31.0,Turnover by M. Speights (traveling),,36-32,,
9:31.0,A. Bogut enters the game for M. Speights,,36-32,,
9:15.0,,,36-32,,Turnover by K. Seraphin (bad pass; steal by L. Barbosa)
9:10.0,A. Iguodala misses 2-pt shot from 1 ft,,36-32,,
9:08.0,,,36-32,,Defensive rebound by K. Seraphin
8:55.0,,,36-32,,Turnover by K. Seraphin (traveling)
8:55.0,Official timeout,,36-32,,
8:39.0,D. Green makes 3-pt shot from 25 ft (assist by A. Bogut),3,39-32,,
8:14.0,,,39-32,,R. Sessions misses 3-pt shot from 25 ft
8:13.0,,,39-32,,Offensive rebound by R. Butler
8:00.0,,,39-32,,R. Butler misses 2-pt shot from 19 ft
7:59.0,Defensive rebound by Team,,39-32,,
7:48.0,Turnover by A. Iguodala (bad pass; steal by R. Sessions),,39-32,,
7:42.0,,,39-32,,R. Sessions misses 2-pt shot at rim
7:41.0,,,39-32,,Offensive rebound by R. Butler
7:40.0,,,39-34,2,R. Butler makes 2-pt shot from 1 ft
7:24.0,S. Livingston makes 2-pt shot from 6 ft (assist by D. Green),2,41-34,,
7:08.0,,,41-36,2,K. Humphries makes 2-pt shot from 17 ft (assist by R. Sessions)
6:49.0,L. Barbosa misses 3-pt shot from 25 ft,,41-36,,
6:48.0,,,41-36,,Defensive rebound by K. Humphries
6:36.0,,,41-36,,Turnover by K. Humphries (bad pass; steal by A. Iguodala)
6:33.0,A. Iguodala makes 2-pt shot at rim,2,43-36,,
6:15.0,,,43-36,,Shooting foul by L. Barbosa (drawn by M. Webster)
6:15.0,,,43-37,1,M. Webster makes free throw 1 of 2
6:15.0,K. Thompson enters the game for L. Barbosa,,43-37,,
6:15.0,,,43-37,,J. Wall enters the game for K. Seraphin
6:15.0,,,43-37,,M. Gortat enters the game for R. Butler
6:15.0,,,43-37,,N. Hilario enters the game for K. Humphries
6:15.0,,,43-38,1,M. Webster makes free throw 2 of 2
5:57.0,A. Iguodala misses 2-pt shot from 17 ft,,43-38,,
5:56.0,,,43-38,,Defensive rebound by M. Gortat
5:42.0,,,43-38,,Turnover by J. Wall (bad pass; steal by A. Iguodala)
5:39.0,S. Livingston makes 2-pt shot at rim (assist by A. Iguodala),2,45-38,,
5:23.0,,,45-38,,M. Gortat misses 2-pt shot from 18 ft
5:22.0,Defensive rebound by S. Livingston,,45-38,,
5:16.0,D. Green makes 2-pt shot from 1 ft (assist by S. Livingston),2,47-38,,
5:10.0,,,47-38,,Washington full timeout
4:56.0,,,47-38,,Turnover by N. Hilario (traveling)
4:56.0,,,47-38,,P. Pierce enters the game for M. Webster
4:41.0,K. Thompson misses 2-pt shot from 17 ft,,47-38,,
4:40.0,,,47-38,,Defensive rebound by J. Wall
4:36.0,,,47-40,2,M. Gortat makes 2-pt shot at rim (assist by J. Wall)
4:18.0,D. Green misses 3-pt shot from 25 ft,,47-40,,
4:18.0,,,47-40,,Defensive rebound by R. Sessions
4:10.0,Personal foul by A. Bogut (drawn by M. Gortat),,47-40,,
4:10.0,S. Curry enters the game for S. Livingston,,47-40,,
4:10.0,,,47-40,,G. Temple enters the game for R. Sessions
4:01.0,,,47-40,,J. Wall misses 2-pt shot from 7 ft
4:00.0,,,47-40,,Offensive rebound by J. Wall
3:50.0,,,47-40,,Offensive foul by N. Hilario
3:50.0,,,47-40,,Turnover by N. Hilario (offensive foul)
3:50.0,M. Speights enters the game for A. Iguodala,,47-40,,
3:50.0,H. Barnes enters the game for A. Bogut,,47-40,,
3:40.0,M. Speights misses 2-pt shot from 3 ft (block by N. Hilario),,47-40,,
3:35.0,,,47-40,,Defensive rebound by N. Hilario
3:31.0,Personal foul by H. Barnes (drawn by N. Hilario),,47-40,,
3:26.0,,,47-42,2,P. Pierce makes 2-pt shot from 17 ft
3:07.0,,,47-42,,Personal foul by N. Hilario (drawn by S. Curry)
3:01.0,H. Barnes makes 3-pt shot from 23 ft (assist by S. Curry),3,50-42,,
2:42.0,,,50-44,2,M. Gortat makes 2-pt shot at rim (assist by J. Wall)
2:23.0,M. Speights misses 2-pt shot from 2 ft,,50-44,,
2:22.0,,,50-44,,Defensive rebound by M. Gortat
2:19.0,Golden State full timeout,,50-44,,
2:11.0,,,50-44,,G. Temple misses 3-pt shot from 27 ft
2:10.0,Defensive rebound by D. Green,,50-44,,
1:59.0,Turnover by D. Green (bad pass; steal by P. Pierce),,50-44,,
1:56.0,,,50-44,,Turnover by J. Wall (bad pass)
1:56.0,,,50-44,,K. Seraphin enters the game for N. Hilario
1:50.0,,,50-44,,Personal foul by K. Seraphin (drawn by D. Green)
1:50.0,,,50-44,,K. Humphries enters the game for K. Seraphin
1:44.0,M. Speights misses 2-pt shot from 14 ft,,50-44,,
1:44.0,,,50-44,,Defensive rebound by Team
1:33.0,,,50-44,,P. Pierce misses 3-pt shot from 25 ft
1:32.0,Defensive rebound by M. Speights,,50-44,,
1:27.0,H. Barnes misses 2-pt shot at rim (block by G. Temple),,50-44,,
1:24.0,,,50-44,,Defensive rebound by P. Pierce
1:14.0,,,50-47,3,G. Temple makes 3-pt shot from 26 ft (assist by M. Gortat)
1:01.0,Shooting foul by K. Humphries (drawn by M. Speights),,50-47,,
1:01.0,M. Speights makes free throw 1 of 2,1,51-47,,
1:01.0,M. Speights makes free throw 2 of 2,1,52-47,,
0:46.0,,,52-47,,Turnover by M. Gortat (lost ball; steal by K. Thompson)
0:38.0,Turnover by K. Thompson (bad pass),,52-47,,
0:28.0,,,52-47,,G. Temple misses 2-pt shot at rim
0:28.0,,,52-47,,Offensive rebound by K. Humphries
0:28.0,,,52-49,2,K. Humphries makes 2-pt shot from 1 ft
0:07.0,K. Thompson makes 2-pt shot from 22 ft (assist by S. Curry),2,54-49,,
0:01.0,,,54-51,2,K. Humphries makes 2-pt shot from 18 ft (assist by J. Wall)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,S. Curry makes 3-pt shot from 24 ft (assist by H. Barnes),3,57-51,,
11:15.0,,,57-53,2,P. Pierce makes 2-pt shot from 19 ft (assist by J. Wall)
11:05.0,K. Thompson misses 2-pt shot from 3 ft,,57-53,,
11:03.0,,,57-53,,Defensive rebound by M. Gortat
10:58.0,,,57-56,3,P. Pierce makes 3-pt shot from 26 ft (assist by J. Wall)
10:34.0,K. Thompson makes 3-pt shot from 23 ft (assist by D. Green),3,60-56,,
10:19.0,,,60-56,,Shooting foul by A. Bogut (drawn by G. Temple)
10:19.0,,,60-57,1,G. Temple makes free throw 1 of 2
10:19.0,,,60-58,1,G. Temple makes free throw 2 of 2
10:02.0,D. Green makes 3-pt shot from 24 ft (assist by K. Thompson),3,63-58,,
9:46.0,,,63-58,,G. Temple misses 3-pt shot from 26 ft
9:45.0,Defensive rebound by D. Green,,63-58,,
9:30.0,K. Thompson misses 2-pt shot from 7 ft,,63-58,,
9:29.0,,,63-58,,Defensive rebound by N. Hilario
9:24.0,Violation by A. Bogut (kicked ball),,63-58,,
9:15.0,,,63-58,,Turnover by M. Gortat (bad pass)
9:09.0,S. Curry misses 3-pt shot from 29 ft,,63-58,,
9:08.0,,,63-58,,Defensive rebound by Team
8:53.0,,,63-58,,Turnover by J. Wall (bad pass; steal by K. Thompson)
8:32.0,H. Barnes misses 3-pt shot from 22 ft,,63-58,,
8:31.0,,,63-58,,Defensive rebound by M. Gortat
8:25.0,,,63-60,2,M. Gortat makes 2-pt shot at rim (assist by G. Temple)
8:09.0,K. Thompson makes 2-pt shot from 16 ft,2,65-60,,
7:47.0,,,65-62,2,P. Pierce makes 2-pt shot from 17 ft
7:41.0,H. Barnes misses 2-pt shot from 2 ft (block by P. Pierce),,65-62,,
7:37.0,,,65-62,,Defensive rebound by G. Temple
7:21.0,,,65-62,,M. Gortat misses 2-pt shot from 9 ft
7:20.0,Defensive rebound by H. Barnes,,65-62,,
7:12.0,D. Green makes 3-pt shot from 27 ft (assist by K. Thompson),3,68-62,,
7:12.0,,,68-62,,Washington full timeout
7:03.0,Personal foul by K. Thompson (drawn by P. Pierce),,68-62,,
6:56.0,,,68-64,2,P. Pierce makes 2-pt shot from 17 ft (assist by M. Gortat)
6:41.0,H. Barnes misses 2-pt shot from 16 ft,,68-64,,
6:41.0,,,68-64,,Defensive rebound by M. Gortat
6:30.0,,,68-66,2,J. Wall makes 2-pt shot from 15 ft
6:05.0,A. Bogut misses 2-pt shot from 7 ft,,68-66,,
6:04.0,,,68-66,,Defensive rebound by M. Gortat
5:55.0,,,68-68,2,J. Wall makes 2-pt shot from 17 ft
5:53.0,Golden State full timeout,,68-68,,
5:53.0,A. Iguodala enters the game for H. Barnes,,68-68,,
5:37.0,S. Curry makes 2-pt shot from 18 ft,2,70-68,,
5:22.0,,,70-68,,Shooting foul by K. Thompson (drawn by P. Pierce)
5:22.0,,,70-69,1,P. Pierce makes free throw 1 of 2
5:22.0,,,70-70,1,P. Pierce makes free throw 2 of 2
5:10.0,A. Bogut makes 2-pt shot from 5 ft (assist by S. Curry),2,72-70,,
5:03.0,,,72-70,,Shooting foul by A. Iguodala (drawn by P. Pierce)
5:03.0,,,72-71,1,P. Pierce makes free throw 1 of 3
5:03.0,,,72-72,1,P. Pierce makes free throw 2 of 3
5:03.0,,,72-73,1,P. Pierce makes free throw 3 of 3
4:48.0,S. Curry misses 2-pt shot from 4 ft (block by M. Gortat),,72-73,,
4:47.0,,,72-73,,Defensive rebound by P. Pierce
4:47.0,,,72-73,,Turnover by P. Pierce (bad pass)
4:38.0,S. Curry misses 3-pt shot from 25 ft,,72-73,,
4:37.0,,,72-73,,Defensive rebound by M. Gortat
4:21.0,,,72-73,,J. Wall misses 3-pt shot from 25 ft
4:21.0,Defensive rebound by Team,,72-73,,
4:21.0,,,72-73,,Loose ball foul by M. Gortat (drawn by A. Bogut)
4:21.0,M. Speights enters the game for A. Bogut,,72-73,,
4:09.0,M. Speights makes 2-pt shot from 13 ft,2,74-73,,
3:43.0,,,74-73,,P. Pierce misses 2-pt shot from 19 ft
3:42.0,Defensive rebound by D. Green,,74-73,,
3:40.0,Turnover by D. Green (lost ball; steal by G. Temple),,74-73,,
3:37.0,,,74-75,2,G. Temple makes 2-pt shot from 2 ft (assist by N. Hilario)
3:23.0,Shooting foul by P. Pierce (drawn by M. Speights),,74-75,,
3:23.0,M. Speights misses free throw 1 of 2,,74-75,,
3:23.0,Offensive rebound by Team,,74-75,,
3:23.0,L. Barbosa enters the game for K. Thompson,,74-75,,
3:23.0,,,74-75,,K. Seraphin enters the game for N. Hilario
3:23.0,M. Speights makes free throw 2 of 2,1,75-75,,
3:03.0,,,75-75,,J. Wall misses 2-pt shot from 16 ft
3:02.0,Defensive rebound by D. Green,,75-75,,
2:55.0,M. Speights misses 2-pt shot from 2 ft,,75-75,,
2:54.0,Offensive rebound by M. Speights,,75-75,,
2:53.0,M. Speights makes 2-pt shot from 3 ft,2,77-75,,
2:41.0,,,77-75,,R. Butler enters the game for P. Pierce
2:34.0,,,77-77,2,M. Gortat makes 2-pt shot at rim (assist by G. Temple)
2:17.0,M. Speights misses 2-pt shot from 16 ft,,77-77,,
2:16.0,,,77-77,,Defensive rebound by K. Seraphin
2:03.0,,,77-79,2,R. Butler makes 2-pt shot from 16 ft (assist by M. Gortat)
1:51.0,Shooting foul by G. Temple (drawn by S. Curry),,77-79,,
1:51.0,S. Curry makes free throw 1 of 2,1,78-79,,
1:51.0,D. Lee enters the game for D. Green,,78-79,,
1:51.0,,,78-79,,R. Sessions enters the game for J. Wall
1:51.0,S. Curry makes free throw 2 of 2,1,79-79,,
1:39.0,,,79-79,,R. Sessions misses 2-pt shot from 19 ft
1:37.0,,,79-79,,Offensive rebound by K. Seraphin
1:36.0,,,79-81,2,K. Seraphin makes 2-pt shot at rim
1:24.0,S. Curry makes 3-pt shot from 26 ft (assist by M. Speights),3,82-81,,
1:03.0,,,82-81,,K. Seraphin misses 2-pt shot from 6 ft
1:02.0,Defensive rebound by A. Iguodala,,82-81,,
0:56.0,S. Curry makes 2-pt shot from 21 ft,2,84-81,,
0:44.0,,,84-81,,R. Butler misses 3-pt shot from 23 ft
0:43.0,Defensive rebound by D. Lee,,84-81,,
0:36.0,S. Curry makes 2-pt shot from 4 ft,2,86-81,,
0:29.0,,,86-81,,Shooting foul by M. Speights (drawn by R. Sessions)
0:29.0,,,86-82,1,R. Sessions makes free throw 1 of 2
0:29.0,H. Barnes enters the game for M. Speights,,86-82,,
0:29.0,,,86-83,1,R. Sessions makes free throw 2 of 2
0:07.0,H. Barnes misses 2-pt shot from 3 ft,,86-83,,
0:06.0,Offensive rebound by D. Lee,,86-83,,
0:03.0,D. Lee misses 2-pt shot from 9 ft,,86-83,,
0:02.0,,,86-83,,Defensive rebound by Team
0:02.0,,,86-83,,J. Wall enters the game for M. Gortat
0:02.0,S. Livingston enters the game for S. Curry,,86-83,,
0:01.0,,,86-83,,J. Wall misses 3-pt shot from 52 ft
0:00.0,,,86-83,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:37.0,,,86-83,,M. Webster misses 2-pt shot from 19 ft
11:36.0,Defensive rebound by D. Lee,,86-83,,
11:19.0,S. Livingston misses 2-pt shot from 15 ft,,86-83,,
11:18.0,,,86-83,,Defensive rebound by M. Webster
11:01.0,,,86-85,2,K. Seraphin makes 2-pt shot from 19 ft (assist by R. Butler)
10:40.0,L. Barbosa misses 2-pt shot from 8 ft,,86-85,,
10:39.0,,,86-85,,Defensive rebound by K. Humphries
10:23.0,,,86-85,,R. Sessions misses 2-pt shot from 5 ft
10:21.0,,,86-85,,Offensive rebound by R. Sessions
10:06.0,,,86-85,,Turnover by K. Seraphin (bad pass; steal by D. Lee)
9:58.0,S. Livingston misses 2-pt shot from 1 ft,,86-85,,
9:57.0,,,86-85,,Defensive rebound by R. Sessions
9:31.0,,,86-85,,K. Seraphin misses 2-pt shot from 12 ft
9:30.0,,,86-85,,Offensive rebound by K. Humphries
9:30.0,Personal foul by H. Barnes (drawn by K. Humphries),,86-85,,
9:30.0,K. Thompson enters the game for L. Barbosa,,86-85,,
9:19.0,,,86-85,,Turnover by M. Webster (lost ball; steal by A. Iguodala)
9:14.0,A. Iguodala makes 2-pt shot at rim (assist by S. Livingston),2,88-85,,
8:55.0,,,88-87,2,R. Sessions makes 2-pt shot from 1 ft (assist by K. Seraphin)
8:47.0,S. Livingston makes 2-pt shot at rim,2,90-87,,
8:32.0,,,90-90,3,R. Butler makes 3-pt shot from 26 ft (assist by R. Sessions)
8:12.0,H. Barnes makes 2-pt shot from 1 ft (assist by K. Thompson),2,92-90,,
7:47.0,,,92-90,,K. Humphries misses 2-pt shot from 18 ft
7:46.0,Defensive rebound by K. Thompson,,92-90,,
7:40.0,,,92-90,,Personal foul by R. Sessions (drawn by K. Thompson)
7:40.0,Official timeout,,92-90,,
7:40.0,,,92-90,,J. Wall enters the game for R. Sessions
7:40.0,,,92-90,,N. Hilario enters the game for K. Seraphin
7:33.0,D. Lee makes 2-pt shot from 1 ft (assist by A. Iguodala),2,94-90,,
7:18.0,,,94-90,,R. Butler misses 3-pt shot from 23 ft
7:17.0,Defensive rebound by A. Iguodala,,94-90,,
7:11.0,A. Iguodala makes 2-pt shot from 17 ft,2,96-90,,
6:45.0,,,96-92,2,J. Wall makes 2-pt shot from 18 ft
6:24.0,H. Barnes misses 2-pt shot from 16 ft,,96-92,,
6:23.0,,,96-92,,Defensive rebound by K. Humphries
6:15.0,,,96-92,,J. Wall misses 2-pt shot from 1 ft
6:14.0,Defensive rebound by D. Lee,,96-92,,
6:07.0,K. Thompson makes 2-pt shot from 1 ft,2,98-92,,
5:56.0,,,98-92,,M. Webster misses 3-pt shot from 26 ft
5:55.0,Defensive rebound by D. Lee,,98-92,,
5:46.0,,,98-92,,Personal foul by N. Hilario (drawn by A. Iguodala)
5:46.0,,,98-92,,Washington full timeout
5:46.0,,,98-92,,G. Temple enters the game for R. Butler
5:46.0,,,98-92,,P. Pierce enters the game for M. Webster
5:46.0,S. Curry enters the game for S. Livingston,,98-92,,
5:46.0,D. Green enters the game for D. Lee,,98-92,,
5:33.0,Turnover by K. Thompson (lost ball),,98-92,,
5:16.0,,,98-95,3,G. Temple makes 3-pt shot from 24 ft (assist by J. Wall)
5:01.0,H. Barnes makes 2-pt shot from 19 ft (assist by D. Green),2,100-95,,
4:39.0,,,100-97,2,P. Pierce makes 2-pt shot from 16 ft (assist by J. Wall)
4:17.0,,,100-97,,Violation by K. Humphries (def goaltending)
4:17.0,K. Thompson makes 2-pt shot from 1 ft,2,102-97,,
4:03.0,,,102-99,2,N. Hilario makes 2-pt shot from 2 ft (assist by J. Wall)
3:50.0,A. Iguodala makes 3-pt shot from 23 ft (assist by D. Green),3,105-99,,
3:31.0,,,105-99,,Turnover by N. Hilario (bad pass; steal by K. Thompson)
3:20.0,D. Green misses 2-pt shot at rim,,105-99,,
3:19.0,,,105-99,,Defensive rebound by N. Hilario
3:15.0,,,105-99,,Offensive foul by J. Wall
3:15.0,,,105-99,,Turnover by J. Wall (offensive foul)
3:15.0,,,105-99,,R. Butler enters the game for K. Humphries
2:59.0,Golden State full timeout,,105-99,,
2:56.0,H. Barnes makes 2-pt shot at rim (assist by S. Curry),2,107-99,,
2:42.0,,,107-99,,Shooting foul by D. Green (drawn by N. Hilario)
2:42.0,,,107-100,1,N. Hilario makes free throw 1 of 2
2:42.0,,,107-100,,N. Hilario misses free throw 2 of 2
2:41.0,Defensive rebound by A. Iguodala,,107-100,,
2:25.0,S. Curry misses 2-pt shot from 21 ft,,107-100,,
2:24.0,,,107-100,,Defensive rebound by Team
2:06.0,,,107-100,,P. Pierce misses 2-pt shot from 12 ft
2:05.0,Defensive rebound by D. Green,,107-100,,
1:54.0,A. Iguodala misses 3-pt shot from 24 ft,,107-100,,
1:53.0,,,107-100,,Defensive rebound by P. Pierce
1:42.0,,,107-102,2,J. Wall makes 2-pt shot at rim
1:27.0,S. Curry makes 2-pt shot from 6 ft,2,109-102,,
1:18.0,,,109-102,,Shooting foul by A. Iguodala (drawn by P. Pierce)
1:18.0,,,109-103,1,P. Pierce makes free throw 1 of 2
1:18.0,,,109-104,1,P. Pierce makes free throw 2 of 2
1:02.0,Shooting foul by J. Wall (drawn by S. Curry),,109-104,,
1:02.0,S. Curry makes free throw 1 of 3,1,110-104,,
1:02.0,S. Curry makes free throw 2 of 3,1,111-104,,
1:02.0,S. Curry makes free throw 3 of 3,1,112-104,,
1:02.0,,,112-104,,Washington full timeout
1:02.0,,,112-104,,M. Webster enters the game for G. Temple
1:02.0,,,112-104,,Washington full timeout
0:56.0,,,112-106,2,J. Wall makes 2-pt shot from 2 ft
