time,Atlanta,pts.away,score,pts.home,Denver
3:07.0,,,15-19,,J. Nelson enters the game for T. Lawson
3:07.0,D. Schroder enters the game for J. Teague,,15-19,,
2:53.0,D. Schroder misses 2-pt shot from 18 ft,,15-19,,
2:52.0,,,15-19,,Defensive rebound by D. Gallinari
2:41.0,,,15-22,3,D. Gallinari makes 3-pt shot from 24 ft
2:37.0,Turnover by D. Schroder (bad pass),,15-22,,
2:37.0,,,15-22,,K. Faried enters the game for D. Gallinari
2:26.0,,,15-24,2,J. Hickson makes 2-pt shot at rim (assist by K. Faried)
2:12.0,Turnover by D. Carroll (lost ball),,15-24,,
2:12.0,A. Horford enters the game for P. Antic,,15-24,,
2:12.0,K. Korver enters the game for D. Carroll,,15-24,,
2:03.0,,,15-24,,Turnover by J. Nelson (bad pass; steal by K. Bazemore)
1:57.0,K. Bazemore makes 2-pt shot from 2 ft,2,17-24,,
1:42.0,,,17-24,,R. Foye misses 2-pt shot from 3 ft
1:40.0,,,17-24,,Offensive rebound by J. Hickson
1:39.0,,,17-24,,Turnover by J. Hickson (back court)
1:39.0,,,17-24,,W. Barton enters the game for R. Foye
1:23.0,D. Schroder makes 2-pt shot from 2 ft,2,19-24,,
1:11.0,,,19-26,2,K. Faried makes 2-pt shot from 13 ft (assist by J. Nelson)
0:55.0,D. Schroder makes 2-pt shot from 9 ft (assist by M. Scott),2,21-26,,
0:40.0,,,21-28,2,K. Faried makes 2-pt shot from 8 ft (assist by W. Barton)
0:30.0,M. Scott misses 3-pt shot from 24 ft,,21-28,,
0:29.0,,,21-28,,Defensive rebound by W. Barton
0:08.0,,,21-31,3,J. Nelson makes 3-pt shot from 26 ft
0:02.0,M. Scott misses 3-pt shot from 23 ft (block by K. Faried),,21-31,,
0:01.0,Offensive rebound by Team,,21-31,,
0:00.0,Shooting foul by J. Nelson (drawn by D. Schroder),,21-31,,
0:00.0,D. Schroder makes free throw 1 of 2,1,22-31,,
0:00.0,D. Schroder misses free throw 2 of 2,,22-31,,
0:00.0,,,22-31,,Defensive rebound by J. Hickson
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:40.0,,,22-33,2,W. Barton makes 2-pt shot from 17 ft
11:18.0,A. Horford misses 2-pt shot from 21 ft,,22-33,,
11:16.0,,,22-33,,Defensive rebound by D. Gallinari
11:10.0,Personal foul by D. Schroder (drawn by D. Gallinari),,22-33,,
11:03.0,,,22-33,,Turnover by D. Arthur (bad pass; steal by K. Korver)
10:54.0,K. Korver misses 3-pt shot from 24 ft,,22-33,,
10:53.0,,,22-33,,Defensive rebound by D. Gallinari
10:45.0,,,22-33,,Shooting foul by K. Bazemore (drawn by D. Gallinari)
10:45.0,,,22-34,1,D. Gallinari makes free throw 1 of 2
10:45.0,,,22-35,1,D. Gallinari makes free throw 2 of 2
10:32.0,D. Schroder misses 2-pt shot from 2 ft,,22-35,,
10:31.0,Offensive rebound by M. Scott,,22-35,,
10:28.0,M. Scott makes 2-pt shot from 2 ft,2,24-35,,
10:06.0,,,24-37,2,D. Arthur makes 2-pt shot from 18 ft (assist by D. Gallinari)
9:53.0,A. Horford misses 2-pt shot from 11 ft,,24-37,,
9:51.0,,,24-37,,Defensive rebound by K. Faried
9:41.0,,,24-37,,W. Barton misses 2-pt shot from 3 ft
9:39.0,,,24-37,,Offensive rebound by K. Faried
9:39.0,,,24-39,2,K. Faried makes 2-pt shot from 2 ft
9:21.0,A. Horford makes 2-pt shot from 15 ft,2,26-39,,
9:10.0,,,26-41,2,J. Nelson makes 2-pt shot from 5 ft
8:57.0,D. Schroder misses 2-pt shot from 19 ft,,26-41,,
8:56.0,,,26-41,,Defensive rebound by W. Barton
8:45.0,,,26-41,,W. Barton misses 3-pt shot from 25 ft
8:43.0,Defensive rebound by D. Schroder,,26-41,,
8:40.0,Turnover by K. Bazemore (step out of bounds),,26-41,,
8:40.0,Official timeout,,26-41,,
8:40.0,P. Millsap enters the game for K. Bazemore,,26-41,,
8:40.0,J. Teague enters the game for M. Scott,,26-41,,
8:40.0,,,26-41,,J. Hickson enters the game for K. Faried
8:22.0,,,26-44,3,J. Nelson makes 3-pt shot from 27 ft (assist by W. Barton)
7:56.0,P. Millsap misses 2-pt shot from 11 ft,,26-44,,
7:54.0,,,26-44,,Defensive rebound by W. Barton
7:48.0,,,26-44,,Turnover by W. Barton (bad pass; steal by P. Millsap)
7:32.0,A. Horford makes 2-pt shot from 19 ft (assist by D. Schroder),2,28-44,,
7:19.0,,,28-47,3,W. Barton makes 3-pt shot from 26 ft (assist by D. Gallinari)
6:59.0,J. Teague misses 2-pt shot from 2 ft (block by J. Hickson),,28-47,,
6:58.0,Offensive rebound by Team,,28-47,,
6:57.0,Shooting foul by D. Arthur (drawn by P. Millsap),,28-47,,
6:57.0,P. Millsap makes free throw 1 of 2,1,29-47,,
6:57.0,D. Carroll enters the game for K. Korver,,29-47,,
6:57.0,P. Millsap makes free throw 2 of 2,1,30-47,,
6:43.0,,,30-49,2,D. Gallinari makes 2-pt shot at rim
6:25.0,D. Schroder misses 3-pt shot from 25 ft,,30-49,,
6:23.0,,,30-49,,Defensive rebound by J. Nelson
6:15.0,,,30-49,,J. Nelson misses 3-pt shot from 25 ft
6:14.0,Defensive rebound by P. Millsap,,30-49,,
6:09.0,Offensive foul by D. Carroll,,30-49,,
6:09.0,Turnover by D. Carroll (offensive foul),,30-49,,
6:09.0,M. Scott enters the game for A. Horford,,30-49,,
6:09.0,,,30-49,,W. Chandler enters the game for D. Arthur
6:09.0,,,30-49,,T. Lawson enters the game for J. Nelson
5:52.0,,,30-49,,D. Gallinari misses 2-pt shot from 18 ft
5:51.0,Defensive rebound by J. Teague,,30-49,,
5:33.0,P. Millsap misses 3-pt shot from 24 ft,,30-49,,
5:31.0,,,30-49,,Defensive rebound by T. Lawson
5:23.0,,,30-49,,Offensive foul by W. Chandler
5:23.0,,,30-49,,Turnover by W. Chandler (offensive foul)
5:23.0,,,30-49,,Denver full timeout
5:05.0,D. Schroder misses 2-pt shot from 16 ft,,30-49,,
5:04.0,,,30-49,,Defensive rebound by J. Hickson
4:41.0,,,30-49,,T. Lawson misses 2-pt shot from 13 ft
4:39.0,Defensive rebound by D. Carroll,,30-49,,
4:23.0,P. Millsap misses 2-pt shot from 5 ft,,30-49,,
4:21.0,,,30-49,,Defensive rebound by W. Chandler
4:07.0,,,30-49,,W. Barton misses 3-pt shot from 25 ft
4:05.0,,,30-49,,Offensive rebound by J. Hickson
4:01.0,,,30-49,,Shooting foul by D. Schroder (drawn by W. Barton)
4:01.0,,,30-50,1,W. Barton makes free throw 1 of 2
4:01.0,S. Mack enters the game for D. Schroder,,30-50,,
4:01.0,,,30-51,1,W. Barton makes free throw 2 of 2
3:48.0,S. Mack misses 3-pt shot from 24 ft,,30-51,,
3:47.0,,,30-51,,Defensive rebound by T. Lawson
3:38.0,,,30-53,2,W. Barton makes 2-pt shot from 2 ft (assist by T. Lawson)
3:38.0,Atlanta full timeout,,30-53,,
3:38.0,Technical foul by P. Millsap,,30-53,,
3:38.0,K. Korver enters the game for J. Teague,,30-53,,
3:38.0,A. Horford enters the game for M. Scott,,30-53,,
3:38.0,,,30-54,1,D. Gallinari makes technical free throw
3:16.0,Shooting foul by W. Chandler (drawn by D. Carroll),,30-54,,
3:16.0,D. Carroll makes free throw 1 of 2,1,31-54,,
3:16.0,D. Carroll makes free throw 2 of 2,1,32-54,,
3:02.0,,,32-54,,W. Chandler misses 3-pt shot from 22 ft
3:01.0,Defensive rebound by Team,,32-54,,
2:50.0,K. Korver makes 3-pt shot from 25 ft (assist by D. Carroll),3,35-54,,
2:35.0,,,35-57,3,D. Gallinari makes 3-pt shot from 25 ft (assist by T. Lawson)
2:28.0,,,35-57,,Violation by T. Lawson (kicked ball)
2:20.0,P. Millsap makes 2-pt shot from 7 ft,2,37-57,,
2:05.0,,,37-57,,Turnover by D. Gallinari (bad pass)
2:00.0,,,37-57,,Violation by T. Lawson (kicked ball)
1:50.0,Turnover by P. Millsap (bad pass),,37-57,,
1:38.0,,,37-59,2,J. Hickson makes 2-pt shot from 1 ft (assist by T. Lawson)
1:38.0,,,37-59,,Shooting foul by D. Carroll (drawn by J. Hickson)
1:38.0,,,37-59,,R. Foye enters the game for D. Gallinari
1:38.0,,,37-59,,K. Faried enters the game for W. Chandler
1:38.0,,,37-60,1,J. Hickson makes free throw 1 of 1
1:28.0,K. Korver makes 3-pt shot from 25 ft (assist by S. Mack),3,40-60,,
1:13.0,,,40-60,,Denver full timeout
1:04.0,,,40-60,,W. Barton misses 2-pt shot from 11 ft (block by K. Korver)
1:02.0,Defensive rebound by K. Korver,,40-60,,
0:57.0,D. Carroll misses 2-pt shot from 19 ft,,40-60,,
0:56.0,,,40-60,,Defensive rebound by R. Foye
0:43.0,,,40-60,,Turnover by R. Foye (bad pass; steal by P. Millsap)
0:40.0,S. Mack misses 2-pt shot from 2 ft (block by R. Foye),,40-60,,
0:39.0,Offensive rebound by Team,,40-60,,
0:37.0,Turnover by S. Mack (lost ball; steal by T. Lawson),,40-60,,
0:32.0,,,40-60,,K. Faried misses 2-pt shot from 1 ft
0:31.0,Defensive rebound by K. Korver,,40-60,,
0:19.0,A. Horford misses 2-pt shot from 6 ft,,40-60,,
0:18.0,Offensive rebound by D. Carroll,,40-60,,
0:17.0,D. Carroll makes 2-pt shot from 3 ft,2,42-60,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,,,42-63,3,R. Foye makes 3-pt shot from 25 ft (assist by D. Gallinari)
11:20.0,P. Millsap makes 2-pt shot from 16 ft (assist by J. Teague),2,44-63,,
10:55.0,,,44-65,2,D. Gallinari makes 2-pt shot from 6 ft (assist by T. Lawson)
10:42.0,,,44-65,,Def 3 sec tech foul by D. Gallinari
10:42.0,K. Korver makes technical free throw,1,45-65,,
10:29.0,D. Carroll misses 3-pt shot from 24 ft,,45-65,,
10:29.0,,,45-65,,Defensive rebound by Team
10:11.0,,,45-67,2,R. Foye makes 2-pt shot from 3 ft
10:02.0,Turnover by K. Korver (bad pass; steal by W. Chandler),,45-67,,
9:55.0,,,45-67,,T. Lawson misses 3-pt shot from 25 ft
9:53.0,,,45-67,,Offensive rebound by D. Gallinari
9:43.0,,,45-70,3,R. Foye makes 3-pt shot from 28 ft (assist by W. Chandler)
9:29.0,A. Horford misses 2-pt shot from 2 ft,,45-70,,
9:27.0,Offensive rebound by P. Millsap,,45-70,,
9:27.0,P. Millsap makes 2-pt shot from 2 ft,2,47-70,,
9:22.0,,,47-70,,R. Foye misses 3-pt shot from 24 ft
9:21.0,Defensive rebound by Team,,47-70,,
9:10.0,Turnover by J. Teague (bad pass; steal by D. Gallinari),,47-70,,
9:04.0,,,47-70,,W. Chandler misses 2-pt shot from 2 ft
9:03.0,Defensive rebound by K. Korver,,47-70,,
8:54.0,K. Korver makes 3-pt shot from 24 ft (assist by A. Horford),3,50-70,,
8:40.0,,,50-73,3,D. Gallinari makes 3-pt shot from 24 ft (assist by R. Foye)
8:21.0,P. Millsap misses 2-pt shot from 2 ft (block by K. Faried),,50-73,,
8:19.0,Offensive rebound by P. Millsap,,50-73,,
8:16.0,D. Carroll misses 3-pt shot from 25 ft,,50-73,,
8:15.0,Offensive rebound by Team,,50-73,,
8:15.0,,,50-73,,Loose ball foul by W. Chandler (drawn by P. Millsap)
8:03.0,D. Carroll makes 2-pt shot from 1 ft (assist by A. Horford),2,52-73,,
7:46.0,,,52-73,,Shooting foul by D. Carroll (drawn by K. Faried)
7:46.0,,,52-74,1,K. Faried makes free throw 1 of 2
7:46.0,,,52-74,,D. Arthur enters the game for D. Gallinari
7:46.0,,,52-75,1,K. Faried makes free throw 2 of 2
7:32.0,Offensive foul by J. Teague,,52-75,,
7:32.0,Turnover by J. Teague (offensive foul),,52-75,,
7:16.0,,,52-77,2,D. Arthur makes 2-pt shot from 19 ft (assist by T. Lawson)
7:05.0,Shooting foul by K. Faried (drawn by J. Teague),,52-77,,
7:05.0,J. Teague makes free throw 1 of 2,1,53-77,,
7:05.0,S. Mack enters the game for D. Carroll,,53-77,,
7:05.0,,,53-77,,W. Barton enters the game for W. Chandler
7:05.0,J. Teague makes free throw 2 of 2,1,54-77,,
6:50.0,,,54-80,3,R. Foye makes 3-pt shot from 23 ft (assist by D. Arthur)
6:34.0,A. Horford misses 2-pt shot from 9 ft,,54-80,,
6:33.0,,,54-80,,Defensive rebound by K. Faried
6:21.0,,,54-80,,T. Lawson misses 2-pt shot from 19 ft
6:19.0,Defensive rebound by A. Horford,,54-80,,
6:13.0,J. Teague misses 2-pt shot from 2 ft (block by K. Faried),,54-80,,
6:11.0,,,54-80,,Defensive rebound by R. Foye
6:06.0,Personal foul by P. Millsap (drawn by T. Lawson),,54-80,,
6:06.0,P. Antic enters the game for A. Horford,,54-80,,
5:53.0,,,54-82,2,K. Faried makes 2-pt shot from 2 ft
5:39.0,K. Korver makes 3-pt shot from 26 ft,3,57-82,,
5:18.0,,,57-84,2,D. Arthur makes 2-pt shot from 18 ft (assist by T. Lawson)
5:17.0,Atlanta full timeout,,57-84,,
5:17.0,,,57-84,,J. Nelson enters the game for R. Foye
5:03.0,P. Millsap makes 2-pt shot from 1 ft (assist by S. Mack),2,59-84,,
4:51.0,Personal block foul by J. Teague (drawn by T. Lawson),,59-84,,
4:39.0,,,59-86,2,D. Arthur makes 2-pt shot from 16 ft
4:28.0,K. Korver makes 3-pt shot from 26 ft (assist by S. Mack),3,62-86,,
4:09.0,,,62-88,2,D. Arthur makes 2-pt shot from 18 ft (assist by T. Lawson)
3:56.0,J. Teague misses 2-pt shot from 2 ft,,62-88,,
3:54.0,Offensive rebound by P. Millsap,,62-88,,
3:54.0,P. Millsap makes 2-pt shot from 1 ft,2,64-88,,
3:42.0,,,64-90,2,K. Faried makes 2-pt shot from 2 ft (assist by J. Nelson)
3:28.0,,,64-90,,Personal foul by J. Nelson (drawn by P. Antic)
3:28.0,,,64-90,,J. Hickson enters the game for D. Arthur
3:28.0,,,64-90,,Personal foul by W. Barton (drawn by K. Korver)
3:27.0,,,64-90,,W. Chandler enters the game for K. Faried
3:14.0,Turnover by Team (shot clock),,64-90,,
2:50.0,,,64-90,,J. Nelson misses 3-pt shot from 25 ft
2:48.0,Defensive rebound by S. Mack,,64-90,,
2:41.0,P. Antic misses 3-pt shot from 24 ft,,64-90,,
2:39.0,,,64-90,,Defensive rebound by T. Lawson
2:35.0,,,64-90,,T. Lawson misses 2-pt shot from 12 ft (block by P. Millsap)
2:35.0,,,64-90,,Offensive rebound by Team
2:35.0,,,64-90,,Denver full timeout
2:35.0,D. Schroder enters the game for P. Millsap,,64-90,,
2:35.0,K. Bazemore enters the game for J. Teague,,64-90,,
2:35.0,M. Scott enters the game for K. Korver,,64-90,,
2:27.0,,,64-93,3,J. Nelson makes 3-pt shot from 23 ft (assist by W. Barton)
2:16.0,S. Mack misses 2-pt shot from 14 ft,,64-93,,
2:14.0,,,64-93,,Defensive rebound by W. Barton
2:08.0,,,64-95,2,W. Barton makes 2-pt shot from 4 ft
1:49.0,D. Schroder misses 2-pt shot from 2 ft,,64-95,,
1:48.0,,,64-95,,Defensive rebound by W. Chandler
1:34.0,,,64-97,2,J. Nelson makes 2-pt shot from 19 ft
1:17.0,,,64-97,,Personal foul by J. Nelson (drawn by P. Antic)
1:17.0,P. Antic makes free throw 1 of 2,1,65-97,,
1:17.0,P. Antic makes free throw 2 of 2,1,66-97,,
0:59.0,,,66-97,,W. Barton misses 2-pt shot from 8 ft
0:58.0,Defensive rebound by K. Bazemore,,66-97,,
0:58.0,,,66-97,,Personal take foul by J. Nelson (drawn by K. Bazemore)
0:58.0,K. Bazemore makes free throw 1 of 2,1,67-97,,
0:58.0,,,67-97,,E. Green enters the game for J. Nelson
0:58.0,K. Bazemore makes free throw 2 of 2,1,68-97,,
0:42.0,,,68-97,,Turnover by W. Barton (step out of bounds)
0:32.0,Turnover by D. Schroder (bad pass; steal by W. Barton),,68-97,,
0:28.0,,,68-97,,Shooting foul by P. Antic (drawn by W. Barton)
0:28.0,,,68-97,,W. Barton misses free throw 1 of 2
0:28.0,,,68-97,,Offensive rebound by Team
0:28.0,,,68-98,1,W. Barton makes free throw 2 of 2
0:07.0,P. Antic misses 2-pt shot from 14 ft,,68-98,,
0:06.0,,,68-98,,Defensive rebound by W. Chandler
0:02.0,,,68-98,,Offensive foul by T. Lawson
0:02.0,,,68-98,,Turnover by T. Lawson (offensive foul)
0:01.0,K. Bazemore misses 3-pt shot from 28 ft,,68-98,,
0:00.0,Offensive rebound by Team,,68-98,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,D. Schroder makes 2-pt shot from 2 ft (assist by K. Bazemore),2,70-98,,
11:26.0,,,70-100,2,W. Chandler makes 2-pt shot at rim (assist by E. Green)
11:14.0,P. Antic misses 3-pt shot from 26 ft,,70-100,,
11:12.0,,,70-100,,Defensive rebound by W. Barton
10:52.0,,,70-103,3,W. Chandler makes 3-pt shot from 23 ft (assist by J. Hickson)
10:42.0,S. Mack makes 2-pt shot from 18 ft,2,72-103,,
10:21.0,,,72-103,,Turnover by G. Harris (step out of bounds)
10:21.0,J. Jenkins enters the game for S. Mack,,72-103,,
10:21.0,M. Muscala enters the game for P. Antic,,72-103,,
10:21.0,,,72-103,,J. Lauvergne enters the game for W. Chandler
10:05.0,K. Bazemore misses 2-pt shot from 5 ft (block by W. Barton),,72-103,,
10:04.0,,,72-103,,Defensive rebound by Team
10:04.0,Technical foul by K. Bazemore,,72-103,,
10:04.0,,,72-104,1,G. Harris makes technical free throw
9:53.0,,,72-104,,E. Green misses 3-pt shot from 24 ft (block by D. Schroder)
9:50.0,Defensive rebound by J. Jenkins,,72-104,,
9:31.0,J. Jenkins misses 3-pt shot from 25 ft,,72-104,,
9:29.0,,,72-104,,Defensive rebound by E. Green
9:21.0,,,72-104,,W. Barton misses 2-pt shot from 4 ft
9:19.0,,,72-104,,Offensive rebound by W. Barton
9:16.0,,,72-106,2,J. Hickson makes 2-pt shot at rim (assist by W. Barton)
9:05.0,M. Muscala misses 2-pt shot from 14 ft,,72-106,,
9:04.0,,,72-106,,Defensive rebound by J. Hickson
8:58.0,,,72-106,,W. Barton misses 2-pt shot from 3 ft
8:57.0,,,72-106,,Offensive rebound by J. Lauvergne
8:54.0,,,72-106,,J. Lauvergne misses 2-pt shot from 3 ft
8:53.0,,,72-106,,Offensive rebound by J. Lauvergne
8:51.0,,,72-106,,Turnover by J. Lauvergne (lost ball; steal by K. Bazemore)
8:50.0,Shooting foul by J. Hickson (drawn by K. Bazemore),,72-106,,
8:50.0,Official timeout,,72-106,,
8:50.0,K. Bazemore makes free throw 1 of 2,1,73-106,,
8:50.0,K. Bazemore makes free throw 2 of 2,1,74-106,,
8:40.0,,,74-106,,Offensive foul by G. Harris
8:40.0,,,74-106,,Turnover by G. Harris (offensive foul)
8:29.0,Shooting foul by J. Lauvergne (drawn by D. Schroder),,74-106,,
8:29.0,D. Schroder makes free throw 1 of 2,1,75-106,,
8:29.0,D. Schroder makes free throw 2 of 2,1,76-106,,
8:07.0,,,76-108,2,E. Green makes 2-pt shot from 17 ft (assist by W. Barton)
7:52.0,Shooting foul by J. Lauvergne (drawn by D. Schroder),,76-108,,
7:52.0,D. Schroder makes free throw 1 of 2,1,77-108,,
7:52.0,S. Mack enters the game for K. Bazemore,,77-108,,
7:52.0,P. Antic enters the game for M. Scott,,77-108,,
7:52.0,D. Schroder makes free throw 2 of 2,1,78-108,,
7:32.0,,,78-110,2,W. Barton makes 2-pt shot from 3 ft
7:18.0,J. Jenkins makes 2-pt shot from 20 ft,2,80-110,,
7:03.0,,,80-110,,G. Harris misses 2-pt shot from 20 ft
7:01.0,Defensive rebound by M. Muscala,,80-110,,
6:55.0,D. Schroder makes 2-pt shot from 16 ft,2,82-110,,
6:38.0,,,82-110,,E. Green misses 2-pt shot from 2 ft
6:35.0,,,82-110,,Offensive rebound by J. Hickson
6:35.0,,,82-110,,J. Hickson misses 2-pt shot from 1 ft
6:35.0,,,82-110,,Offensive rebound by J. Hickson
6:34.0,,,82-110,,J. Hickson misses 2-pt shot from 1 ft
6:32.0,,,82-110,,Offensive rebound by G. Harris
6:29.0,,,82-110,,G. Harris misses 3-pt shot from 22 ft
6:27.0,Defensive rebound by S. Mack,,82-110,,
6:27.0,Shooting foul by W. Barton (drawn by J. Jenkins),,82-110,,
6:27.0,J. Jenkins makes free throw 1 of 2,1,83-110,,
6:27.0,K. Bazemore enters the game for D. Schroder,,83-110,,
6:27.0,J. Jenkins makes free throw 2 of 2,1,84-110,,
6:13.0,,,84-110,,E. Green misses 3-pt shot from 23 ft
6:12.0,Defensive rebound by Team,,84-110,,
6:12.0,,,84-110,,Loose ball foul by J. Lauvergne (drawn by P. Antic)
6:12.0,P. Antic makes free throw 1 of 2,1,85-110,,
6:12.0,P. Antic makes free throw 2 of 2,1,86-110,,
5:56.0,,,86-110,,Turnover by W. Barton (bad pass)
5:56.0,,,86-110,,Denver full timeout
5:42.0,Shooting foul by J. Lauvergne (drawn by P. Antic),,86-110,,
5:42.0,P. Antic makes free throw 1 of 2,1,87-110,,
5:42.0,P. Antic makes free throw 2 of 2,1,88-110,,
5:29.0,,,88-110,,G. Harris misses 3-pt shot from 23 ft
5:27.0,Defensive rebound by P. Antic,,88-110,,
5:22.0,M. Muscala makes 2-pt shot at rim (assist by S. Mack),2,90-110,,
4:58.0,,,90-110,,E. Green misses 3-pt shot from 24 ft
4:57.0,Defensive rebound by Team,,90-110,,
4:42.0,J. Jenkins makes 3-pt shot from 23 ft (assist by M. Muscala),3,93-110,,
4:19.0,,,93-110,,W. Barton misses 3-pt shot from 25 ft
4:18.0,Defensive rebound by J. Jenkins,,93-110,,
3:56.0,S. Mack misses 3-pt shot from 24 ft,,93-110,,
3:55.0,,,93-110,,Defensive rebound by J. Hickson
3:51.0,,,93-110,,Shooting foul by K. Bazemore (drawn by J. Hickson)
3:51.0,,,93-110,,J. Hickson misses free throw 1 of 2
3:51.0,,,93-110,,Offensive rebound by Team
3:51.0,,,93-111,1,J. Hickson makes free throw 2 of 2
3:29.0,M. Muscala misses 3-pt shot from 24 ft,,93-111,,
3:28.0,,,93-111,,Defensive rebound by E. Green
3:12.0,,,93-111,,J. Lauvergne misses 3-pt shot from 23 ft
3:10.0,Defensive rebound by K. Bazemore,,93-111,,
3:01.0,P. Antic misses 3-pt shot from 25 ft,,93-111,,
3:00.0,,,93-111,,Defensive rebound by J. Hickson
2:41.0,,,93-111,,W. Barton misses 2-pt shot from 4 ft
2:40.0,Defensive rebound by K. Bazemore,,93-111,,
2:40.0,,,93-111,,Personal foul by E. Green (drawn by K. Bazemore)
2:40.0,Atlanta full timeout,,93-111,,
2:40.0,K. Bazemore misses free throw 1 of 2,,93-111,,
2:40.0,Offensive rebound by Team,,93-111,,
2:40.0,K. Bazemore makes free throw 2 of 2,1,94-111,,
