time,New York,pts.away,score,pts.home,Dallas
3:01.0,,,20-17,2,A. Aminu makes 2-pt shot from 2 ft (assist by M. Ellis)
2:53.0,J. Smith misses 2-pt shot from 1 ft,,20-17,,
2:52.0,Offensive rebound by J. Smith,,20-17,,
2:50.0,J. Smith misses 2-pt shot at rim (block by B. Wright),,20-17,,
2:50.0,,,20-17,,Defensive rebound by B. Wright
2:50.0,Jump ball: J. Smith vs. B. Wright (C. Parsons gains possession),,,,Jump ball: J. Smith vs. B. Wright (C. Parsons gains possession)
2:26.0,,,20-17,,A. Aminu misses 3-pt shot from 25 ft
2:25.0,Defensive rebound by J. Calderon,,20-17,,
2:18.0,J. Smith misses 3-pt shot from 25 ft,,20-17,,
2:16.0,,,20-17,,Defensive rebound by B. Wright
2:04.0,,,20-17,,Turnover by A. Aminu (bad pass; steal by I. Shumpert)
1:44.0,A. Stoudemire makes 2-pt shot from 4 ft (assist by J. Smith),2,22-17,,
1:44.0,Shooting foul by B. Wright (drawn by A. Stoudemire),,22-17,,
1:44.0,S. Larkin enters the game for J. Calderon,,22-17,,
1:44.0,P. Prigioni enters the game for I. Shumpert,,22-17,,
1:44.0,A. Stoudemire makes free throw 1 of 1,1,23-17,,
1:30.0,Personal foul by S. Larkin (drawn by J. Barea),,23-17,,
1:30.0,T. Hardaway enters the game for J. Smith,,23-17,,
1:18.0,,,23-17,,C. Parsons misses 3-pt shot from 25 ft
1:17.0,Defensive rebound by T. Hardaway,,23-17,,
1:03.0,Turnover by A. Stoudemire (bad pass),,23-17,,
1:03.0,,,23-17,,J. Crowder enters the game for M. Ellis
1:03.0,,,23-17,,D. Nowitzki enters the game for C. Parsons
0:52.0,,,23-17,,J. Barea misses 3-pt shot from 24 ft
0:51.0,Defensive rebound by J. Smith,,23-17,,
0:39.0,Shooting foul by B. Wright (drawn by A. Stoudemire),,23-17,,
0:39.0,A. Stoudemire misses free throw 1 of 2,,23-17,,
0:39.0,Offensive rebound by Team,,23-17,,
0:39.0,,,23-17,,T. Chandler enters the game for B. Wright
0:39.0,A. Stoudemire makes free throw 2 of 2,1,24-17,,
0:33.0,Violation by Team (jump ball),,24-17,,
0:33.0,Jump ball: T. Chandler vs. P. Prigioni,,,,Jump ball: T. Chandler vs. P. Prigioni
0:22.0,,,24-19,2,D. Nowitzki makes 2-pt shot from 7 ft
0:02.0,P. Prigioni misses 2-pt shot from 14 ft,,24-19,,
0:01.0,Offensive rebound by A. Stoudemire,,24-19,,
0:00.0,A. Stoudemire misses 2-pt shot from 1 ft,,24-19,,
0:00.0,,,24-19,,Defensive rebound by A. Aminu
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,,,24-19,,D. Nowitzki misses 2-pt shot from 14 ft
11:44.0,Defensive rebound by P. Prigioni,,24-19,,
11:32.0,Turnover by A. Stoudemire (bad pass),,24-19,,
11:15.0,,,24-21,2,J. Barea makes 2-pt shot from 6 ft
11:01.0,J. Smith misses 2-pt shot from 19 ft,,24-21,,
11:00.0,Offensive rebound by A. Stoudemire,,24-21,,
10:56.0,,,24-21,,B. Wright enters the game for T. Chandler
10:49.0,S. Larkin makes 3-pt shot from 24 ft (assist by P. Prigioni),3,27-21,,
10:28.0,,,27-21,,B. Wright misses 2-pt shot from 5 ft
10:25.0,,,27-21,,Offensive rebound by B. Wright
10:25.0,,,27-23,2,B. Wright makes 2-pt shot from 1 ft
10:03.0,S. Larkin misses 2-pt shot from 20 ft,,27-23,,
10:01.0,Offensive rebound by A. Stoudemire,,27-23,,
10:01.0,A. Stoudemire makes 2-pt shot from 1 ft,2,29-23,,
9:50.0,,,29-23,,Turnover by B. Wright (lost ball; steal by S. Larkin)
9:44.0,,,29-23,,Personal foul by D. Nowitzki (drawn by J. Smith)
9:44.0,,,29-23,,D. Harris enters the game for J. Crowder
9:34.0,Turnover by A. Stoudemire (traveling),,29-23,,
9:23.0,Personal foul by J. Smith (drawn by D. Nowitzki),,29-23,,
9:23.0,I. Shumpert enters the game for T. Hardaway,,29-23,,
9:12.0,,,29-26,3,J. Barea makes 3-pt shot from 22 ft (assist by D. Harris)
8:55.0,I. Shumpert misses 2-pt shot from 7 ft,,29-26,,
8:53.0,Offensive rebound by A. Stoudemire,,29-26,,
8:52.0,Turnover by A. Stoudemire (lost ball; steal by B. Wright),,29-26,,
8:45.0,,,29-28,2,D. Nowitzki makes 2-pt shot from 1 ft (assist by J. Barea)
8:33.0,J. Smith makes 2-pt shot from 11 ft,2,31-28,,
8:25.0,,,31-30,2,A. Aminu makes 2-pt shot at rim (assist by J. Barea)
8:14.0,,,31-30,,Personal foul by D. Nowitzki (drawn by J. Smith)
8:14.0,Official timeout,,31-30,,
8:14.0,,,31-30,,T. Chandler enters the game for D. Nowitzki
8:14.0,,,31-30,,M. Ellis enters the game for A. Aminu
8:14.0,,,31-30,,C. Parsons enters the game for J. Barea
7:58.0,A. Stoudemire misses 2-pt shot from 12 ft,,31-30,,
7:57.0,,,31-30,,Defensive rebound by M. Ellis
7:34.0,,,31-30,,C. Parsons misses 2-pt shot from 16 ft
7:33.0,,,31-30,,Offensive rebound by T. Chandler
7:30.0,,,31-30,,D. Harris misses 3-pt shot from 25 ft
7:28.0,,,31-30,,Offensive rebound by B. Wright
7:28.0,,,31-32,2,B. Wright makes 2-pt shot at rim
7:16.0,J. Smith makes 2-pt shot from 8 ft,2,33-32,,
7:04.0,Personal foul by S. Larkin (drawn by D. Harris),,33-32,,
7:04.0,Q. Acy enters the game for J. Smith,,33-32,,
7:04.0,J. Calderon enters the game for S. Larkin,,33-32,,
7:04.0,J. Smith enters the game for P. Prigioni,,33-32,,
6:49.0,,,33-32,,M. Ellis misses 3-pt shot from 24 ft
6:49.0,,,33-32,,Offensive rebound by Team
6:49.0,,,33-32,,Turnover by Team (shot clock)
6:36.0,Offensive foul by J. Smith,,33-32,,
6:36.0,Turnover by J. Smith (offensive foul),,33-32,,
6:17.0,,,33-32,,B. Wright misses 2-pt shot from 2 ft
6:16.0,Defensive rebound by J. Calderon,,33-32,,
6:10.0,,,33-32,,Personal foul by M. Ellis (drawn by I. Shumpert)
5:58.0,Q. Acy misses 2-pt shot from 16 ft,,33-32,,
5:57.0,,,33-32,,Defensive rebound by T. Chandler
5:48.0,,,33-32,,M. Ellis misses 2-pt shot from 19 ft
5:47.0,Defensive rebound by A. Stoudemire,,33-32,,
5:36.0,Turnover by A. Stoudemire (traveling),,33-32,,
5:36.0,,,33-32,,Dallas full timeout
5:36.0,S. Dalembert enters the game for A. Stoudemire,,33-32,,
5:24.0,,,33-35,3,D. Harris makes 3-pt shot from 22 ft (assist by M. Ellis)
4:58.0,S. Dalembert makes 2-pt shot from 2 ft (assist by J. Calderon),2,35-35,,
4:38.0,,,35-37,2,C. Parsons makes 2-pt shot at rim
4:24.0,Q. Acy makes 2-pt shot from 7 ft,2,37-37,,
3:59.0,,,37-37,,B. Wright misses 2-pt shot from 1 ft
3:56.0,Defensive rebound by I. Shumpert,,37-37,,
3:52.0,J. Smith misses 3-pt shot from 24 ft,,37-37,,
3:50.0,,,37-37,,Defensive rebound by T. Chandler
3:38.0,,,37-37,,Shooting foul by J. Calderon (drawn by D. Harris)
3:38.0,,,37-37,,D. Harris misses free throw 1 of 2
3:38.0,,,37-37,,Offensive rebound by Team
3:38.0,,,37-37,,D. Nowitzki enters the game for B. Wright
3:38.0,,,37-38,1,D. Harris makes free throw 2 of 2
3:21.0,Turnover by J. Smith (bad pass; steal by D. Nowitzki),,37-38,,
3:07.0,,,37-38,,Turnover by D. Harris (bad pass; steal by J. Smith)
2:57.0,J. Calderon makes 3-pt shot from 26 ft (assist by J. Smith),3,40-38,,
2:54.0,,,40-38,,Dallas full timeout
2:54.0,New York full timeout,,40-38,,
2:54.0,,,40-38,,J. Barea enters the game for D. Harris
2:54.0,A. Stoudemire enters the game for S. Dalembert,,40-38,,
2:41.0,,,40-38,,Turnover by M. Ellis (bad pass)
2:23.0,Shooting foul by M. Ellis (drawn by J. Smith),,40-38,,
2:23.0,J. Smith misses free throw 1 of 2,,40-38,,
2:23.0,Offensive rebound by Team,,40-38,,
2:23.0,J. Smith misses free throw 2 of 2,,40-38,,
2:22.0,,,40-38,,Defensive rebound by C. Parsons
2:05.0,,,40-40,2,J. Barea makes 2-pt shot from 2 ft
1:42.0,J. Smith misses 2-pt shot from 10 ft,,40-40,,
1:40.0,,,40-40,,Defensive rebound by D. Nowitzki
1:31.0,,,40-42,2,T. Chandler makes 2-pt shot at rim (assist by D. Nowitzki)
1:07.0,A. Stoudemire misses 2-pt shot from 7 ft (block by T. Chandler),,40-42,,
1:05.0,,,40-42,,Defensive rebound by M. Ellis
1:02.0,,,40-44,2,T. Chandler makes 2-pt shot at rim (assist by M. Ellis)
1:00.0,New York full timeout,,40-44,,
1:00.0,T. Hardaway enters the game for J. Smith,,40-44,,
0:44.0,I. Shumpert makes 2-pt shot from 15 ft,2,42-44,,
0:34.0,,,42-44,,J. Barea misses 2-pt shot from 11 ft
0:33.0,,,42-44,,Offensive rebound by J. Barea
0:14.0,,,42-44,,Shooting foul by J. Calderon (drawn by J. Barea)
0:14.0,,,42-45,1,J. Barea makes free throw 1 of 2
0:14.0,,,42-45,,A. Aminu enters the game for D. Nowitzki
0:14.0,J. Smith enters the game for Q. Acy,,42-45,,
0:14.0,,,42-46,1,J. Barea makes free throw 2 of 2
0:00.0,I. Shumpert misses 3-pt shot from 22 ft,,42-46,,
0:00.0,,,42-46,,Defensive rebound by C. Parsons
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,,,42-46,,D. Nowitzki misses 3-pt shot from 24 ft
11:45.0,,,42-46,,Offensive rebound by T. Chandler
11:33.0,,,42-46,,D. Harris misses 2-pt shot from 2 ft
11:31.0,,,42-46,,Offensive rebound by T. Chandler
11:30.0,,,42-46,,Turnover by T. Chandler (lost ball; steal by S. Dalembert)
11:22.0,I. Shumpert misses 2-pt shot from 20 ft,,42-46,,
11:21.0,,,42-46,,Defensive rebound by D. Nowitzki
11:16.0,,,42-46,,Shooting foul by I. Shumpert (drawn by C. Parsons)
11:16.0,,,42-46,,C. Parsons misses free throw 1 of 2
11:16.0,,,42-46,,Offensive rebound by Team
11:16.0,,,42-46,,C. Parsons misses free throw 2 of 2
11:13.0,Defensive rebound by S. Dalembert,,42-46,,
10:56.0,J. Smith makes 2-pt shot from 20 ft,2,44-46,,
10:36.0,,,44-46,,D. Nowitzki misses 2-pt shot from 16 ft
10:34.0,Defensive rebound by Q. Acy,,44-46,,
10:31.0,Shooting foul by M. Ellis (drawn by Q. Acy),,44-46,,
10:31.0,Q. Acy misses free throw 1 of 2,,44-46,,
10:31.0,Offensive rebound by Team,,44-46,,
10:31.0,Q. Acy makes free throw 2 of 2,1,45-46,,
10:18.0,,,45-48,2,D. Nowitzki makes 2-pt shot from 19 ft (assist by M. Ellis)
10:18.0,Away from play foul by S. Dalembert (drawn by T. Chandler),,45-48,,
10:18.0,,,45-49,1,T. Chandler makes free throw 1 of 1
10:10.0,Turnover by Q. Acy (lost ball; steal by D. Harris),,45-49,,
9:59.0,,,45-49,,D. Harris misses 3-pt shot from 25 ft
9:58.0,Defensive rebound by J. Calderon,,45-49,,
9:43.0,Q. Acy misses 2-pt shot from 2 ft,,45-49,,
9:43.0,Offensive rebound by S. Dalembert,,45-49,,
9:43.0,Shooting foul by T. Chandler (drawn by S. Dalembert),,45-49,,
9:43.0,S. Dalembert misses free throw 1 of 2,,45-49,,
9:43.0,Offensive rebound by Team,,45-49,,
9:43.0,S. Dalembert makes free throw 2 of 2,1,46-49,,
9:27.0,,,46-49,,M. Ellis misses 3-pt shot from 24 ft
9:26.0,Defensive rebound by S. Dalembert,,46-49,,
9:17.0,S. Dalembert makes 2-pt shot from 2 ft (assist by J. Smith),2,48-49,,
8:54.0,,,48-49,,C. Parsons misses 3-pt shot from 22 ft
8:53.0,Defensive rebound by S. Dalembert,,48-49,,
8:45.0,Q. Acy makes 2-pt shot from 20 ft (assist by I. Shumpert),2,50-49,,
8:27.0,,,50-51,2,C. Parsons makes 2-pt shot from 2 ft
8:27.0,,,50-51,,Shooting foul by S. Dalembert (drawn by C. Parsons)
8:27.0,A. Stoudemire enters the game for S. Dalembert,,50-51,,
8:27.0,,,50-51,,C. Parsons misses free throw 1 of 1
8:25.0,Defensive rebound by Q. Acy,,50-51,,
8:12.0,I. Shumpert makes 2-pt shot from 2 ft,2,52-51,,
8:12.0,Shooting foul by M. Ellis (drawn by I. Shumpert),,52-51,,
8:12.0,,,52-51,,J. Crowder enters the game for M. Ellis
8:12.0,I. Shumpert makes free throw 1 of 1,1,53-51,,
8:07.0,Personal block foul by J. Smith (drawn by C. Parsons),,53-51,,
7:54.0,,,53-51,,D. Nowitzki misses 3-pt shot from 25 ft
7:53.0,,,53-51,,Offensive rebound by J. Crowder
7:49.0,,,53-51,,C. Parsons misses 3-pt shot from 24 ft
7:48.0,Defensive rebound by I. Shumpert,,53-51,,
7:42.0,Turnover by I. Shumpert (lost ball; steal by D. Nowitzki),,53-51,,
7:35.0,Personal foul by A. Stoudemire (drawn by J. Crowder),,53-51,,
7:35.0,,,53-52,1,J. Crowder makes free throw 1 of 2
7:35.0,P. Prigioni enters the game for I. Shumpert,,53-52,,
7:35.0,,,53-53,1,J. Crowder makes free throw 2 of 2
7:16.0,Q. Acy misses 2-pt shot from 5 ft,,53-53,,
7:16.0,,,53-53,,Defensive rebound by Team
7:04.0,,,53-53,,D. Harris misses 2-pt shot from 2 ft (block by A. Stoudemire)
7:02.0,Defensive rebound by J. Calderon,,53-53,,
6:58.0,J. Smith misses 3-pt shot from 24 ft,,53-53,,
6:56.0,,,53-53,,Defensive rebound by T. Chandler
6:50.0,,,53-53,,C. Parsons misses 2-pt shot from 16 ft
6:48.0,Defensive rebound by P. Prigioni,,53-53,,
6:30.0,P. Prigioni makes 3-pt shot from 26 ft (assist by Q. Acy),3,56-53,,
6:29.0,,,56-53,,Dallas full timeout
6:29.0,J. Smith enters the game for Q. Acy,,56-53,,
6:17.0,,,56-55,2,D. Nowitzki makes 2-pt shot from 13 ft (assist by D. Harris)
5:59.0,J. Calderon makes 3-pt shot from 25 ft (assist by P. Prigioni),3,59-55,,
5:43.0,,,59-58,3,D. Nowitzki makes 3-pt shot from 25 ft (assist by D. Harris)
5:22.0,Turnover by A. Stoudemire (lost ball; steal by T. Chandler),,59-58,,
5:22.0,Loose ball foul by J. Smith (drawn by D. Nowitzki),,59-58,,
5:22.0,,,59-59,1,D. Nowitzki makes free throw 1 of 2
5:22.0,,,59-60,1,D. Nowitzki makes free throw 2 of 2
5:00.0,P. Prigioni makes 3-pt shot from 25 ft (assist by J. Calderon),3,62-60,,
4:41.0,,,62-60,,J. Crowder misses 3-pt shot from 24 ft
4:40.0,,,62-60,,Offensive rebound by T. Chandler
4:32.0,,,62-62,2,T. Chandler makes 2-pt shot at rim (assist by D. Harris)
4:12.0,J. Smith misses 2-pt shot from 16 ft,,62-62,,
4:11.0,,,62-62,,Defensive rebound by T. Chandler
4:00.0,,,62-62,,D. Nowitzki misses 2-pt shot from 16 ft
3:58.0,,,62-62,,Offensive rebound by J. Crowder
3:58.0,,,62-64,2,J. Crowder makes 2-pt shot from 1 ft
3:35.0,J. Calderon misses 3-pt shot from 22 ft,,62-64,,
3:34.0,,,62-64,,Defensive rebound by T. Chandler
3:30.0,,,62-66,2,J. Crowder makes 2-pt shot from 1 ft (assist by C. Parsons)
3:30.0,,,62-66,,Shooting foul by J. Smith (drawn by J. Crowder)
3:30.0,,,62-66,,B. Wright enters the game for D. Nowitzki
3:30.0,Q. Acy enters the game for J. Smith,,62-66,,
3:30.0,I. Shumpert enters the game for J. Smith,,62-66,,
3:30.0,,,62-66,,J. Barea enters the game for D. Harris
3:30.0,,,62-67,1,J. Crowder makes free throw 1 of 1
3:08.0,Shooting foul by B. Wright (drawn by Q. Acy),,62-67,,
3:08.0,Q. Acy misses free throw 1 of 2,,62-67,,
3:08.0,Offensive rebound by Team,,62-67,,
3:08.0,,,62-67,,A. Aminu enters the game for T. Chandler
3:08.0,Q. Acy makes free throw 2 of 2,1,63-67,,
2:53.0,Personal foul by Q. Acy (drawn by C. Parsons),,63-67,,
2:53.0,New York full timeout,,63-67,,
2:53.0,T. Wear enters the game for Q. Acy,,63-67,,
2:53.0,,,63-68,1,C. Parsons makes free throw 1 of 2
2:53.0,,,63-69,1,C. Parsons makes free throw 2 of 2
2:39.0,Shooting foul by J. Crowder (drawn by A. Stoudemire),,63-69,,
2:39.0,A. Stoudemire makes free throw 1 of 2,1,64-69,,
2:39.0,S. Larkin enters the game for J. Calderon,,64-69,,
2:39.0,A. Stoudemire makes free throw 2 of 2,1,65-69,,
2:15.0,,,65-69,,J. Barea misses 3-pt shot from 24 ft
2:13.0,Defensive rebound by T. Wear,,65-69,,
1:51.0,S. Larkin misses 3-pt shot from 24 ft,,65-69,,
1:51.0,,,65-69,,Defensive rebound by J. Crowder
1:34.0,,,65-69,,Turnover by A. Aminu (traveling)
1:18.0,P. Prigioni makes 3-pt shot from 26 ft (assist by I. Shumpert),3,68-69,,
0:54.0,,,68-69,,J. Crowder misses 3-pt shot from 23 ft
0:53.0,,,68-69,,Offensive rebound by A. Aminu
0:53.0,,,68-71,2,A. Aminu makes 2-pt shot from 1 ft
0:38.0,P. Prigioni makes 3-pt shot from 24 ft,3,71-71,,
0:29.0,,,71-71,,C. Parsons misses 3-pt shot from 23 ft
0:28.0,Defensive rebound by S. Larkin,,71-71,,
0:06.0,T. Wear makes 2-pt shot from 18 ft,2,73-71,,
0:00.0,,,73-71,,J. Barea misses 3-pt shot from 29 ft
0:00.0,,,73-71,,Offensive rebound by B. Wright
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:36.0,P. Prigioni misses 3-pt shot from 27 ft,,73-71,,
11:35.0,,,73-71,,Defensive rebound by A. Aminu
11:17.0,,,73-71,,M. Ellis misses 2-pt shot from 3 ft
11:16.0,Defensive rebound by A. Stoudemire,,73-71,,
10:59.0,S. Larkin misses 2-pt shot from 7 ft (block by T. Chandler),,73-71,,
10:56.0,Offensive rebound by S. Larkin,,73-71,,
10:53.0,A. Stoudemire misses 3-pt shot from 24 ft,,73-71,,
10:52.0,,,73-71,,Defensive rebound by T. Chandler
10:44.0,Personal foul by Q. Acy (drawn by T. Chandler),,73-71,,
10:37.0,Personal foul by S. Larkin (drawn by D. Harris),,73-71,,
10:26.0,,,73-71,,D. Nowitzki misses 2-pt shot from 10 ft
10:26.0,,,73-71,,Offensive rebound by T. Chandler
10:26.0,Loose ball foul by A. Stoudemire (drawn by T. Chandler),,73-71,,
10:17.0,,,73-71,,D. Nowitzki misses 2-pt shot from 18 ft
10:15.0,,,73-71,,Offensive rebound by A. Aminu
10:07.0,,,73-71,,D. Harris misses 3-pt shot from 24 ft
10:05.0,Defensive rebound by A. Stoudemire,,73-71,,
9:51.0,,,73-71,,Personal foul by D. Nowitzki (drawn by A. Stoudemire)
9:36.0,T. Hardaway makes 2-pt shot from 18 ft,2,75-71,,
9:19.0,,,75-71,,T. Chandler misses 2-pt shot from 6 ft
9:18.0,Defensive rebound by Q. Acy,,75-71,,
9:18.0,,,75-71,,Loose ball foul by D. Harris (drawn by Q. Acy)
9:06.0,S. Larkin misses 2-pt shot from 16 ft,,75-71,,
9:06.0,,,75-71,,Defensive rebound by T. Chandler
8:54.0,,,75-71,,Turnover by M. Ellis (lost ball; steal by P. Prigioni)
8:46.0,T. Hardaway makes 2-pt shot from 14 ft (assist by P. Prigioni),2,77-71,,
8:45.0,,,77-71,,Dallas full timeout
8:45.0,,,77-71,,C. Parsons enters the game for A. Aminu
8:45.0,S. Dalembert enters the game for A. Stoudemire,,77-71,,
8:27.0,,,77-73,2,D. Nowitzki makes 2-pt shot from 6 ft
8:27.0,,,77-73,,Shooting foul by Q. Acy (drawn by D. Nowitzki)
8:27.0,,,77-74,1,D. Nowitzki makes free throw 1 of 1
8:13.0,Q. Acy misses 2-pt shot from 14 ft,,77-74,,
8:11.0,Offensive rebound by S. Dalembert,,77-74,,
8:11.0,S. Dalembert makes 2-pt shot from 1 ft,2,79-74,,
8:00.0,,,79-74,,D. Harris misses 2-pt shot from 2 ft
7:58.0,Defensive rebound by S. Dalembert,,79-74,,
7:35.0,P. Prigioni misses 2-pt shot from 16 ft,,79-74,,
7:34.0,Offensive rebound by Team,,79-74,,
7:34.0,Turnover by Team (shot clock),,79-74,,
7:18.0,,,79-76,2,D. Nowitzki makes 2-pt shot from 14 ft
7:06.0,,,79-76,,Personal foul by M. Ellis (drawn by P. Prigioni)
7:06.0,,,79-76,,B. Wright enters the game for T. Chandler
7:06.0,J. Smith enters the game for P. Prigioni,,79-76,,
6:56.0,T. Hardaway misses 2-pt shot from 14 ft,,79-76,,
6:54.0,,,79-76,,Defensive rebound by D. Harris
6:48.0,,,79-76,,M. Ellis misses 2-pt shot from 2 ft
6:47.0,,,79-76,,Offensive rebound by Team
6:47.0,J. Calderon enters the game for S. Larkin,,79-76,,
6:40.0,,,79-76,,C. Parsons misses 3-pt shot from 24 ft
6:39.0,Defensive rebound by Q. Acy,,79-76,,
6:26.0,S. Dalembert misses 2-pt shot from 4 ft,,79-76,,
6:25.0,,,79-76,,Defensive rebound by D. Nowitzki
6:16.0,,,79-76,,B. Wright misses 2-pt shot at rim (block by S. Dalembert)
6:15.0,Defensive rebound by Team,,79-76,,
6:00.0,J. Smith makes 2-pt shot from 19 ft (assist by J. Calderon),2,81-76,,
5:39.0,Official timeout,,81-76,,
5:39.0,,,81-76,,T. Chandler enters the game for D. Nowitzki
5:39.0,A. Stoudemire enters the game for Q. Acy,,81-76,,
