time,Brooklyn,pts.away,score,pts.home,Atlanta
2:46.0,,,17-24,,Offensive rebound by Team
2:46.0,Loose ball foul by B. Lopez (drawn by P. Antic),,17-24,,
2:46.0,,,17-24,,A. Horford enters the game for P. Millsap
2:46.0,E. Clark enters the game for T. Young,,17-24,,
2:27.0,,,17-24,,Shooting foul by J. Jack (drawn by D. Schroder)
2:27.0,,,17-25,1,D. Schroder makes free throw 1 of 2
2:27.0,,,17-26,1,D. Schroder makes free throw 2 of 2
2:08.0,E. Clark misses 2-pt shot from 21 ft (block by A. Horford),,17-26,,
2:08.0,Offensive rebound by Team,,17-26,,
2:08.0,,,17-26,,K. Korver enters the game for D. Carroll
2:03.0,E. Clark misses 2-pt shot from 21 ft,,17-26,,
2:01.0,,,17-26,,Defensive rebound by A. Horford
1:47.0,,,17-26,,K. Bazemore misses 2-pt shot from 3 ft
1:45.0,Defensive rebound by B. Lopez,,17-26,,
1:39.0,J. Jack makes 2-pt shot from 1 ft,2,19-26,,
1:25.0,,,19-28,2,A. Horford makes 2-pt shot from 13 ft (assist by D. Schroder)
1:09.0,,,19-28,,Personal foul by K. Bazemore (drawn by J. Johnson)
0:57.0,B. Bogdanovic misses 3-pt shot from 25 ft,,19-28,,
0:56.0,Offensive rebound by B. Lopez,,19-28,,
0:54.0,Shooting foul by P. Antic (drawn by B. Lopez),,19-28,,
0:54.0,B. Lopez makes free throw 1 of 2,1,20-28,,
0:54.0,A. Anderson enters the game for J. Johnson,,20-28,,
0:54.0,,,20-28,,S. Mack enters the game for K. Bazemore
0:54.0,B. Lopez misses free throw 2 of 2,,20-28,,
0:53.0,,,20-28,,Defensive rebound by A. Horford
0:41.0,,,20-30,2,D. Schroder makes 2-pt shot from 1 ft (assist by S. Mack)
0:30.0,Turnover by J. Jack (lost ball; steal by D. Schroder),,20-30,,
0:27.0,,,20-32,2,D. Schroder makes 2-pt shot at rim (assist by S. Mack)
0:04.0,J. Jack misses 2-pt shot from 12 ft,,20-32,,
0:02.0,,,20-32,,Defensive rebound by A. Horford
0:00.0,,,20-32,,A. Horford misses 3-pt shot from 48 ft
0:00.0,,,20-32,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,,,20-32,,D. Schroder misses 2-pt shot from 19 ft
11:45.0,,,20-32,,Offensive rebound by A. Horford
11:40.0,,,20-35,3,K. Korver makes 3-pt shot from 24 ft (assist by A. Horford)
11:19.0,B. Bogdanovic misses 2-pt shot from 15 ft,,20-35,,
11:15.0,,,20-35,,Defensive rebound by A. Horford
11:13.0,,,20-35,,Turnover by A. Horford (lost ball; steal by E. Clark)
11:09.0,E. Clark makes 3-pt shot from 25 ft (assist by J. Jack),3,23-35,,
10:46.0,,,23-35,,P. Antic misses 3-pt shot from 25 ft
10:44.0,Defensive rebound by J. Jack,,23-35,,
10:38.0,Turnover by J. Jack (bad pass; steal by S. Mack),,23-35,,
10:35.0,Violation by E. Clark (def goaltending),,23-35,,
10:35.0,,,23-37,2,S. Mack makes 2-pt shot from 2 ft
10:23.0,E. Clark misses 2-pt shot from 21 ft,,23-37,,
10:21.0,,,23-37,,Defensive rebound by K. Korver
10:12.0,,,23-37,,S. Mack misses 3-pt shot from 24 ft
10:08.0,Defensive rebound by B. Bogdanovic,,23-37,,
9:50.0,Turnover by A. Anderson (lost ball; steal by S. Mack),,23-37,,
9:40.0,,,23-39,2,A. Horford makes 2-pt shot from 3 ft (assist by K. Korver)
9:37.0,Brooklyn full timeout,,23-39,,
9:37.0,D. Williams enters the game for B. Bogdanovic,,23-39,,
9:37.0,T. Young enters the game for E. Clark,,23-39,,
9:37.0,,,23-39,,M. Scott enters the game for P. Antic
9:18.0,T. Young makes 2-pt shot from 1 ft (assist by M. Plumlee),2,25-39,,
9:02.0,,,25-39,,Shooting foul by J. Jack (drawn by K. Korver)
9:02.0,,,25-40,1,K. Korver makes free throw 1 of 3
9:02.0,,,25-41,1,K. Korver makes free throw 2 of 3
9:02.0,J. Johnson enters the game for J. Jack,,25-41,,
9:02.0,,,25-41,,D. Carroll enters the game for S. Mack
9:02.0,,,25-41,,K. Korver misses free throw 3 of 3
9:01.0,Defensive rebound by A. Anderson,,25-41,,
8:37.0,J. Johnson makes 2-pt shot from 20 ft (assist by D. Williams),2,27-41,,
8:20.0,,,27-41,,D. Schroder misses 2-pt shot from 22 ft
8:18.0,Defensive rebound by J. Johnson,,27-41,,
8:05.0,Turnover by M. Plumlee (bad pass; steal by K. Korver),,27-41,,
7:43.0,,,27-41,,A. Horford misses 3-pt shot from 24 ft
7:42.0,Defensive rebound by J. Johnson,,27-41,,
7:37.0,Turnover by T. Young (offensive foul),,27-41,,
7:37.0,Offensive charge foul by T. Young,,27-41,,
7:37.0,,,27-41,,J. Teague enters the game for D. Schroder
7:37.0,B. Lopez enters the game for M. Plumlee,,27-41,,
7:20.0,,,27-41,,D. Carroll misses 2-pt shot from 17 ft
7:18.0,,,27-41,,Offensive rebound by M. Scott
7:17.0,,,27-43,2,M. Scott makes 2-pt shot at rim
6:58.0,A. Anderson makes 2-pt shot from 16 ft (assist by T. Young),2,29-43,,
6:50.0,,,29-43,,Offensive foul by M. Scott
6:50.0,,,29-43,,Turnover by M. Scott (offensive foul)
6:50.0,,,29-43,,D. Schroder enters the game for A. Horford
6:50.0,,,29-43,,P. Millsap enters the game for K. Korver
6:38.0,Turnover by T. Young (bad pass; steal by M. Scott),,29-43,,
6:32.0,,,29-43,,D. Carroll misses 3-pt shot from 25 ft
6:31.0,,,29-43,,Offensive rebound by Team
6:17.0,,,29-43,,M. Scott misses 2-pt shot from 20 ft
6:17.0,Defensive rebound by Team,,29-43,,
6:17.0,,,29-43,,Loose ball foul by D. Carroll (drawn by J. Johnson)
6:07.0,,,29-43,,P. Antic enters the game for M. Scott
6:03.0,,,29-43,,Personal foul by P. Antic (drawn by B. Lopez)
5:58.0,T. Young misses 2-pt shot from 4 ft,,29-43,,
5:57.0,Offensive rebound by T. Young,,29-43,,
5:53.0,T. Young makes 2-pt shot from 1 ft,2,31-43,,
5:36.0,,,31-43,,D. Schroder misses 3-pt shot from 24 ft
5:35.0,Defensive rebound by B. Lopez,,31-43,,
5:21.0,D. Williams makes 3-pt shot from 25 ft (assist by J. Johnson),3,34-43,,
5:11.0,,,34-43,,Atlanta full timeout
4:58.0,,,34-46,3,J. Teague makes 3-pt shot from 24 ft (assist by D. Carroll)
4:30.0,J. Johnson misses 2-pt shot from 15 ft,,34-46,,
4:28.0,Offensive rebound by B. Lopez,,34-46,,
4:27.0,B. Lopez makes 2-pt shot from 1 ft,2,36-46,,
4:05.0,,,36-46,,J. Teague misses 2-pt shot from 17 ft
4:04.0,Defensive rebound by T. Young,,36-46,,
3:58.0,,,36-46,,Personal foul by P. Millsap (drawn by D. Williams)
3:58.0,B. Bogdanovic enters the game for A. Anderson,,36-46,,
3:58.0,,,36-46,,K. Korver enters the game for P. Antic
3:58.0,,,36-46,,A. Horford enters the game for D. Schroder
3:45.0,J. Johnson makes 2-pt shot from 8 ft,2,38-46,,
3:33.0,,,38-48,2,K. Korver makes 2-pt shot from 1 ft (assist by D. Carroll)
3:09.0,T. Young makes 2-pt shot from 2 ft (assist by B. Bogdanovic),2,40-48,,
3:00.0,,,40-50,2,J. Teague makes 2-pt shot from 12 ft
2:41.0,D. Williams makes 2-pt shot from 1 ft (assist by T. Young),2,42-50,,
2:29.0,,,42-50,,K. Korver misses 3-pt shot from 23 ft
2:28.0,Defensive rebound by D. Williams,,42-50,,
2:18.0,J. Johnson misses 3-pt shot from 24 ft,,42-50,,
2:16.0,,,42-50,,Defensive rebound by A. Horford
2:10.0,,,42-52,2,D. Carroll makes 2-pt shot from 2 ft (assist by K. Korver)
1:50.0,B. Lopez makes 2-pt shot from 2 ft,2,44-52,,
1:44.0,,,44-52,,Turnover by A. Horford (offensive foul)
1:44.0,,,44-52,,Offensive foul by A. Horford
1:44.0,Official timeout,,44-52,,
1:44.0,,,44-52,,P. Antic enters the game for P. Millsap
1:30.0,Shooting foul by D. Carroll (drawn by J. Johnson),,44-52,,
1:30.0,J. Johnson misses free throw 1 of 2,,44-52,,
1:30.0,Offensive rebound by Team,,44-52,,
1:30.0,M. Plumlee enters the game for B. Lopez,,44-52,,
1:30.0,J. Johnson makes free throw 2 of 2,1,45-52,,
1:08.0,,,45-54,2,D. Carroll makes 2-pt shot from 2 ft
1:08.0,,,45-54,,Shooting foul by B. Bogdanovic (drawn by D. Carroll)
1:08.0,,,45-54,,K. Bazemore enters the game for K. Korver
1:08.0,,,45-55,1,D. Carroll makes free throw 1 of 1
0:57.0,Shooting foul by P. Antic (drawn by M. Plumlee),,45-55,,
0:57.0,M. Plumlee misses free throw 1 of 2,,45-55,,
0:57.0,Offensive rebound by Team,,45-55,,
0:57.0,A. Anderson enters the game for B. Bogdanovic,,45-55,,
0:57.0,,,45-55,,M. Scott enters the game for D. Carroll
0:57.0,,,45-55,,K. Korver enters the game for P. Antic
0:57.0,M. Plumlee misses free throw 2 of 2,,45-55,,
0:56.0,,,45-55,,Defensive rebound by K. Bazemore
0:36.0,,,45-55,,Turnover by J. Teague (bad pass; steal by J. Johnson)
0:15.0,A. Anderson misses 2-pt shot from 20 ft,,45-55,,
0:14.0,,,45-55,,Defensive rebound by K. Bazemore
0:08.0,,,45-55,,Atlanta full timeout
0:08.0,,,45-55,,D. Carroll enters the game for K. Bazemore
0:01.0,,,45-55,,J. Teague misses 2-pt shot from 5 ft
0:01.0,Defensive rebound by M. Plumlee,,45-55,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:38.0,,,45-57,2,J. Teague makes 2-pt shot from 22 ft
11:12.0,J. Johnson misses 2-pt shot from 20 ft,,45-57,,
11:10.0,Offensive rebound by B. Lopez,,45-57,,
11:03.0,Shooting foul by J. Teague (drawn by B. Lopez),,45-57,,
11:03.0,B. Lopez makes free throw 1 of 2,1,46-57,,
11:03.0,B. Lopez makes free throw 2 of 2,1,47-57,,
10:50.0,,,47-57,,A. Horford misses 2-pt shot from 19 ft
10:49.0,,,47-57,,Offensive rebound by D. Carroll
10:34.0,,,47-57,,D. Carroll misses 2-pt shot from 22 ft
10:33.0,Defensive rebound by B. Lopez,,47-57,,
10:10.0,B. Bogdanovic misses 2-pt shot from 15 ft,,47-57,,
10:03.0,Offensive rebound by T. Young,,47-57,,
10:03.0,Shooting foul by P. Millsap (drawn by J. Johnson),,47-57,,
10:03.0,J. Johnson misses free throw 1 of 2,,47-57,,
10:03.0,Offensive rebound by Team,,47-57,,
10:03.0,J. Johnson misses free throw 2 of 2,,47-57,,
10:01.0,,,47-57,,Defensive rebound by P. Millsap
9:37.0,,,47-57,,J. Teague misses 3-pt shot from 26 ft
9:36.0,Defensive rebound by B. Lopez,,47-57,,
9:19.0,T. Young misses 2-pt shot from 20 ft,,47-57,,
9:19.0,,,47-57,,Defensive rebound by K. Korver
9:13.0,,,47-57,,K. Korver misses 3-pt shot from 25 ft
9:12.0,Defensive rebound by J. Johnson,,47-57,,
8:58.0,D. Williams makes 2-pt shot from 1 ft,2,49-57,,
8:58.0,Shooting foul by J. Teague (drawn by D. Williams),,49-57,,
8:58.0,D. Williams makes free throw 1 of 1,1,50-57,,
8:45.0,,,50-57,,P. Millsap misses 2-pt shot from 8 ft
8:44.0,Defensive rebound by B. Bogdanovic,,50-57,,
8:38.0,D. Williams makes 2-pt shot from 2 ft,2,52-57,,
8:27.0,,,52-57,,Turnover by J. Teague (lost ball; steal by J. Johnson)
8:22.0,B. Bogdanovic makes 2-pt shot from 2 ft (assist by J. Johnson),2,54-57,,
8:22.0,,,54-57,,Atlanta full timeout
8:09.0,Personal foul by T. Young (drawn by P. Millsap),,54-57,,
8:01.0,,,54-57,,D. Carroll misses 3-pt shot from 24 ft
8:00.0,Defensive rebound by B. Bogdanovic,,54-57,,
7:49.0,D. Williams misses 2-pt shot from 22 ft,,54-57,,
7:48.0,,,54-57,,Defensive rebound by P. Millsap
7:29.0,,,54-59,2,P. Millsap makes 2-pt shot from 3 ft
7:08.0,Turnover by B. Bogdanovic (step out of bounds),,54-59,,
6:53.0,,,54-59,,J. Teague misses 2-pt shot from 20 ft
6:51.0,Defensive rebound by B. Lopez,,54-59,,
6:41.0,Turnover by D. Williams (lost ball; steal by J. Teague),,54-59,,
6:35.0,,,54-62,3,D. Carroll makes 3-pt shot from 24 ft (assist by J. Teague)
6:19.0,T. Young misses 2-pt shot from 10 ft,,54-62,,
6:17.0,,,54-62,,Defensive rebound by D. Carroll
6:07.0,,,54-62,,Turnover by J. Teague (bad pass; steal by B. Lopez)
6:06.0,,,54-62,,Personal foul by J. Teague (drawn by B. Lopez)
6:06.0,,,54-62,,D. Schroder enters the game for J. Teague
5:44.0,T. Young misses 2-pt shot from 4 ft,,54-62,,
5:43.0,,,54-62,,Defensive rebound by D. Carroll
5:37.0,,,54-62,,K. Korver misses 3-pt shot from 26 ft
5:36.0,Defensive rebound by T. Young,,54-62,,
5:30.0,T. Young misses 2-pt shot from 2 ft,,54-62,,
5:29.0,,,54-62,,Defensive rebound by K. Korver
5:27.0,,,54-62,,Turnover by K. Korver (lost ball; steal by T. Young)
5:23.0,D. Williams misses 3-pt shot from 25 ft,,54-62,,
5:22.0,,,54-62,,Defensive rebound by A. Horford
5:11.0,,,54-65,3,K. Korver makes 3-pt shot from 23 ft (assist by A. Horford)
5:10.0,Brooklyn full timeout,,54-65,,
5:10.0,,,54-65,,P. Antic enters the game for A. Horford
5:10.0,,,54-65,,K. Bazemore enters the game for K. Korver
4:52.0,B. Bogdanovic misses 3-pt shot from 25 ft,,54-65,,
4:51.0,,,54-65,,Defensive rebound by D. Carroll
4:37.0,,,54-67,2,D. Schroder makes 2-pt shot from 1 ft
4:14.0,J. Johnson makes 2-pt shot from 4 ft,2,56-67,,
4:02.0,,,56-70,3,D. Schroder makes 3-pt shot from 25 ft
3:37.0,D. Williams misses 2-pt shot from 20 ft,,56-70,,
3:35.0,,,56-70,,Defensive rebound by P. Millsap
3:28.0,Personal foul by J. Johnson (drawn by D. Carroll),,56-70,,
3:28.0,J. Jack enters the game for D. Williams,,56-70,,
3:22.0,,,56-70,,P. Millsap misses 2-pt shot from 19 ft
3:21.0,Defensive rebound by B. Bogdanovic,,56-70,,
3:04.0,Offensive foul by J. Jack,,56-70,,
3:04.0,Turnover by J. Jack (offensive foul),,56-70,,
2:50.0,,,56-70,,P. Millsap misses 2-pt shot from 5 ft
2:49.0,,,56-70,,Offensive rebound by P. Antic
2:49.0,,,56-72,2,P. Antic makes 2-pt shot from 1 ft
2:27.0,,,56-72,,Personal foul by D. Schroder (drawn by J. Jack)
2:27.0,J. Jack makes free throw 1 of 2,1,57-72,,
2:27.0,,,57-72,,A. Horford enters the game for P. Millsap
2:27.0,,,57-72,,K. Korver enters the game for D. Carroll
2:27.0,J. Jack makes free throw 2 of 2,1,58-72,,
2:15.0,,,58-72,,D. Schroder misses 3-pt shot from 22 ft
2:14.0,Defensive rebound by J. Johnson,,58-72,,
2:07.0,J. Johnson misses 2-pt shot from 17 ft,,58-72,,
2:05.0,,,58-72,,Defensive rebound by K. Korver
1:48.0,,,58-74,2,A. Horford makes 2-pt shot at rim (assist by P. Antic)
1:20.0,B. Lopez makes 2-pt shot from 20 ft (assist by T. Young),2,60-74,,
1:07.0,,,60-74,,A. Horford misses 2-pt shot from 21 ft
1:06.0,Defensive rebound by J. Johnson,,60-74,,
1:00.0,J. Jack makes 2-pt shot from 1 ft (assist by J. Johnson),2,62-74,,
0:44.0,,,62-74,,A. Horford misses 2-pt shot from 18 ft
0:43.0,Defensive rebound by J. Jack,,62-74,,
0:32.0,J. Jack misses 2-pt shot from 20 ft,,62-74,,
0:31.0,,,62-74,,Defensive rebound by P. Antic
0:08.0,,,62-74,,Turnover by D. Schroder (bad pass; steal by J. Jack)
0:01.0,B. Bogdanovic misses 3-pt shot from 25 ft,,62-74,,
0:01.0,,,62-74,,Defensive rebound by P. Antic
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:39.0,J. Johnson makes 2-pt shot from 7 ft,2,64-74,,
11:18.0,,,64-77,3,K. Korver makes 3-pt shot from 23 ft (assist by D. Schroder)
10:58.0,E. Clark misses 2-pt shot from 22 ft,,64-77,,
10:56.0,,,64-77,,Defensive rebound by A. Horford
10:50.0,,,64-77,,Atlanta full timeout
10:50.0,,,64-77,,P. Antic enters the game for A. Horford
10:41.0,,,64-77,,Shooting foul by A. Anderson (drawn by K. Korver)
10:41.0,,,64-78,1,K. Korver makes free throw 1 of 2
10:41.0,,,64-79,1,K. Korver makes free throw 2 of 2
10:22.0,Shooting foul by P. Antic (drawn by J. Jack),,64-79,,
10:22.0,J. Jack makes 2-pt shot from 4 ft,2,66-79,,
10:22.0,J. Jack makes free throw 1 of 1,1,67-79,,
10:12.0,,,67-79,,K. Korver misses 3-pt shot from 25 ft
10:11.0,Defensive rebound by M. Plumlee,,67-79,,
9:55.0,Turnover by J. Jack (bad pass; steal by K. Bazemore),,67-79,,
9:50.0,,,67-81,2,D. Schroder makes 2-pt shot from 2 ft (assist by K. Bazemore)
9:28.0,A. Anderson makes 3-pt shot from 25 ft (assist by M. Plumlee),3,70-81,,
9:11.0,,,70-81,,K. Bazemore misses 3-pt shot from 24 ft
9:10.0,Defensive rebound by E. Clark,,70-81,,
9:01.0,E. Clark misses 3-pt shot from 25 ft,,70-81,,
9:00.0,,,70-81,,Defensive rebound by K. Korver
8:52.0,,,70-83,2,M. Scott makes 2-pt shot from 1 ft
8:52.0,,,70-83,,Shooting foul by E. Clark (drawn by M. Scott)
8:52.0,,,70-83,,P. Millsap enters the game for P. Antic
8:52.0,Brooklyn full timeout,,70-83,,
8:52.0,B. Bogdanovic enters the game for J. Johnson,,70-83,,
8:52.0,T. Young enters the game for E. Clark,,70-83,,
8:52.0,,,70-84,1,M. Scott makes free throw 1 of 1
8:41.0,Turnover by B. Bogdanovic (bad pass; steal by K. Korver),,70-84,,
8:36.0,,,70-84,,Offensive foul by D. Schroder
8:36.0,,,70-84,,Turnover by D. Schroder (offensive foul)
8:36.0,,,70-84,,J. Teague enters the game for K. Bazemore
8:22.0,Turnover by J. Jack (bad pass; steal by M. Scott),,70-84,,
8:14.0,,,70-84,,Turnover by K. Korver (bad pass)
8:01.0,B. Bogdanovic makes 3-pt shot from 23 ft (assist by A. Anderson),3,73-84,,
7:37.0,,,73-84,,P. Millsap misses 2-pt shot from 2 ft
7:35.0,Defensive rebound by M. Plumlee,,73-84,,
7:27.0,T. Young makes 2-pt shot from 1 ft (assist by J. Jack),2,75-84,,
7:12.0,,,75-84,,Turnover by M. Scott (bad pass; steal by A. Anderson)
7:06.0,T. Young misses 2-pt shot from 2 ft (block by K. Korver),,75-84,,
7:04.0,,,75-84,,Defensive rebound by K. Korver
6:59.0,,,75-84,,K. Korver misses 3-pt shot from 25 ft
6:57.0,Defensive rebound by M. Plumlee,,75-84,,
6:38.0,J. Jack misses 2-pt shot from 4 ft,,75-84,,
6:37.0,,,75-84,,Defensive rebound by P. Millsap
6:33.0,,,75-84,,Turnover by D. Schroder (bad pass)
6:33.0,D. Williams enters the game for B. Bogdanovic,,75-84,,
6:33.0,J. Johnson enters the game for A. Anderson,,75-84,,
6:11.0,T. Young makes 2-pt shot from 4 ft (assist by J. Johnson),2,77-84,,
5:52.0,Personal foul by J. Johnson (drawn by P. Millsap),,77-84,,
5:52.0,B. Lopez enters the game for M. Plumlee,,77-84,,
5:52.0,,,77-84,,A. Horford enters the game for M. Scott
5:52.0,,,77-84,,D. Carroll enters the game for D. Schroder
5:52.0,B. Bogdanovic enters the game for J. Jack,,77-84,,
5:42.0,Personal foul by B. Lopez (drawn by A. Horford),,77-84,,
5:34.0,,,77-84,,A. Horford misses 2-pt shot from 7 ft
5:32.0,Defensive rebound by D. Williams,,77-84,,
5:28.0,T. Young misses 2-pt shot from 1 ft,,77-84,,
5:26.0,,,77-84,,Defensive rebound by D. Carroll
5:16.0,Personal foul by D. Williams (drawn by P. Millsap),,77-84,,
5:16.0,,,77-85,1,P. Millsap makes free throw 1 of 2
5:16.0,,,77-85,,K. Bazemore enters the game for K. Korver
5:16.0,,,77-86,1,P. Millsap makes free throw 2 of 2
5:04.0,J. Johnson misses 3-pt shot from 24 ft,,77-86,,
5:03.0,,,77-86,,Defensive rebound by K. Bazemore
4:52.0,,,77-86,,P. Millsap misses 2-pt shot from 17 ft
4:51.0,Defensive rebound by J. Johnson,,77-86,,
4:40.0,J. Johnson makes 2-pt shot from 2 ft (assist by D. Williams),2,79-86,,
4:27.0,,,79-86,,D. Carroll misses 3-pt shot from 24 ft
4:26.0,Defensive rebound by B. Lopez,,79-86,,
4:13.0,B. Lopez makes 2-pt shot from 2 ft (assist by J. Johnson),2,81-86,,
3:49.0,,,81-88,2,J. Teague makes 2-pt shot from 16 ft
3:29.0,,,81-88,,Shooting block foul by D. Carroll (drawn by J. Johnson)
3:29.0,J. Johnson makes free throw 1 of 2,1,82-88,,
3:29.0,,,82-88,,K. Korver enters the game for K. Bazemore
3:29.0,J. Johnson makes free throw 2 of 2,1,83-88,,
3:17.0,,,83-91,3,K. Korver makes 3-pt shot from 25 ft (assist by J. Teague)
2:58.0,J. Johnson misses 2-pt shot from 9 ft,,83-91,,
2:57.0,,,83-91,,Defensive rebound by D. Carroll
2:54.0,Personal foul by J. Johnson (drawn by D. Carroll),,83-91,,
2:54.0,Official timeout,,83-91,,
2:54.0,,,83-91,,D. Schroder enters the game for J. Teague
2:54.0,,,83-92,1,D. Carroll makes free throw 1 of 2
2:54.0,,,83-93,1,D. Carroll makes free throw 2 of 2
2:37.0,J. Johnson misses 3-pt shot from 23 ft,,83-93,,
2:35.0,Offensive rebound by T. Young,,83-93,,
2:35.0,T. Young makes 2-pt shot at rim,2,85-93,,
2:19.0,,,85-93,,Turnover by D. Schroder (bad pass; steal by B. Lopez)
2:03.0,Shooting foul by P. Millsap (drawn by B. Lopez),,85-93,,
2:03.0,B. Lopez makes free throw 1 of 2,1,86-93,,
2:03.0,,,86-93,,J. Teague enters the game for D. Schroder
2:03.0,B. Lopez makes free throw 2 of 2,1,87-93,,
