time,Atlanta,pts.away,score,pts.home,Dallas
7:53.0,P. Millsap misses 2-pt shot from 3 ft (block by T. Chandler),,6-6,,
7:53.0,Offensive rebound by Team,,6-6,,
7:51.0,D. Carroll makes 2-pt shot at rim (assist by K. Korver),2,8-6,,
7:32.0,,,8-6,,R. Rondo misses 2-pt shot from 18 ft
7:31.0,Defensive rebound by A. Horford,,8-6,,
7:21.0,D. Schroder makes 2-pt shot from 20 ft,2,10-6,,
7:02.0,,,10-6,,D. Nowitzki misses 2-pt shot from 14 ft
7:01.0,,,10-6,,Offensive rebound by M. Ellis
6:56.0,,,10-6,,D. Nowitzki misses 3-pt shot from 24 ft
6:54.0,Defensive rebound by K. Korver,,10-6,,
6:49.0,,,10-6,,Personal foul by C. Parsons (drawn by D. Schroder)
6:49.0,,,10-6,,R. Jefferson enters the game for D. Nowitzki
6:39.0,P. Millsap misses 2-pt shot from 10 ft,,10-6,,
6:38.0,Offensive rebound by D. Carroll,,10-6,,
6:32.0,,,10-6,,Shooting block foul by C. Parsons (drawn by D. Schroder)
6:32.0,D. Schroder makes free throw 1 of 2,1,11-6,,
6:32.0,,,11-6,,D. Harris enters the game for C. Parsons
6:32.0,D. Schroder misses free throw 2 of 2,,11-6,,
6:31.0,,,11-6,,Defensive rebound by R. Rondo
6:17.0,,,11-6,,M. Ellis misses 2-pt shot from 21 ft
6:16.0,Defensive rebound by Team,,11-6,,
6:16.0,,,11-6,,Dallas full timeout
5:55.0,Turnover by D. Schroder (bad pass; steal by R. Rondo),,11-6,,
5:51.0,,,11-8,2,M. Ellis makes 2-pt shot at rim (assist by R. Rondo)
5:29.0,D. Schroder makes 2-pt shot from 17 ft (assist by K. Korver),2,13-8,,
5:13.0,,,13-8,,Turnover by T. Chandler (bad pass)
5:13.0,P. Antic enters the game for A. Horford,,13-8,,
5:13.0,T. Sefolosha enters the game for K. Korver,,13-8,,
5:02.0,Shooting foul by D. Harris (drawn by D. Schroder),,13-8,,
5:02.0,D. Schroder misses free throw 1 of 2,,13-8,,
5:02.0,Offensive rebound by Team,,13-8,,
5:02.0,,,13-8,,G. Smith enters the game for T. Chandler
5:02.0,D. Schroder makes free throw 2 of 2,1,14-8,,
4:46.0,,,14-8,,G. Smith misses 2-pt shot from 1 ft (block by P. Antic)
4:44.0,Defensive rebound by P. Millsap,,14-8,,
4:33.0,P. Millsap makes 2-pt shot at rim,2,16-8,,
4:25.0,,,16-8,,Offensive foul by R. Rondo
4:25.0,,,16-8,,Turnover by R. Rondo (offensive foul)
4:25.0,,,16-8,,D. Nowitzki enters the game for G. Smith
4:25.0,,,16-8,,C. Villanueva enters the game for R. Rondo
4:14.0,P. Millsap misses 2-pt shot from 1 ft,,16-8,,
4:13.0,,,16-8,,Defensive rebound by D. Nowitzki
4:06.0,,,16-10,2,D. Nowitzki makes 2-pt shot from 18 ft (assist by R. Jefferson)
3:53.0,,,16-10,,Personal block foul by R. Jefferson (drawn by D. Schroder)
3:53.0,D. Schroder misses free throw 1 of 2,,16-10,,
3:53.0,Offensive rebound by Team,,16-10,,
3:53.0,D. Schroder misses free throw 2 of 2,,16-10,,
3:52.0,,,16-10,,Defensive rebound by D. Nowitzki
3:38.0,,,16-10,,C. Villanueva misses 2-pt shot at rim (block by T. Sefolosha)
3:35.0,Defensive rebound by P. Antic,,16-10,,
3:31.0,D. Schroder makes 2-pt shot at rim (assist by P. Antic),2,18-10,,
3:09.0,,,18-10,,R. Jefferson misses 3-pt shot from 24 ft
3:08.0,,,18-10,,Offensive rebound by C. Villanueva
2:59.0,,,18-10,,D. Nowitzki misses 2-pt shot from 2 ft (block by P. Millsap)
2:58.0,Defensive rebound by P. Millsap,,18-10,,
2:51.0,,,18-10,,Personal foul by R. Jefferson (drawn by P. Millsap)
2:51.0,Atlanta full timeout,,18-10,,
2:51.0,,,18-10,,J. Barea enters the game for M. Ellis
2:51.0,,,18-10,,A. Aminu enters the game for R. Jefferson
2:51.0,S. Mack enters the game for D. Schroder,,18-10,,
2:51.0,P. Millsap misses free throw 1 of 2,,18-10,,
2:51.0,Offensive rebound by Team,,18-10,,
2:51.0,P. Millsap makes free throw 2 of 2,1,19-10,,
2:38.0,,,19-13,3,D. Harris makes 3-pt shot from 24 ft (assist by D. Nowitzki)
2:22.0,T. Sefolosha makes 2-pt shot from 1 ft (assist by S. Mack),2,21-13,,
2:12.0,,,21-13,,D. Harris misses 3-pt shot from 23 ft
2:12.0,Defensive rebound by D. Carroll,,21-13,,
2:00.0,P. Millsap misses 2-pt shot from 6 ft,,21-13,,
1:59.0,,,21-13,,Defensive rebound by C. Villanueva
1:51.0,,,21-16,3,C. Villanueva makes 3-pt shot from 24 ft (assist by A. Aminu)
1:34.0,P. Antic misses 2-pt shot from 22 ft,,21-16,,
1:33.0,,,21-16,,Defensive rebound by A. Aminu
1:23.0,,,21-18,2,J. Barea makes 2-pt shot from 5 ft
1:04.0,D. Carroll misses 3-pt shot from 24 ft,,21-18,,
1:03.0,Offensive rebound by P. Antic,,21-18,,
1:00.0,P. Antic makes 2-pt shot from 22 ft,2,23-18,,
0:37.0,,,23-18,,J. Barea misses 3-pt shot from 24 ft
0:36.0,Defensive rebound by P. Antic,,23-18,,
0:29.0,S. Mack misses 3-pt shot from 25 ft,,23-18,,
0:28.0,,,23-18,,Defensive rebound by A. Aminu
0:07.0,,,23-18,,A. Aminu misses 3-pt shot from 23 ft
0:06.0,Defensive rebound by T. Sefolosha,,23-18,,
0:00.0,S. Mack makes 2-pt shot from 4 ft,2,25-18,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,A. Horford makes 2-pt shot from 5 ft,2,27-18,,
11:29.0,Personal foul by A. Horford (drawn by D. Nowitzki),,27-18,,
11:13.0,,,27-18,,D. Nowitzki misses 2-pt shot from 19 ft
11:13.0,Defensive rebound by S. Mack,,27-18,,
11:02.0,A. Horford misses 2-pt shot from 13 ft,,27-18,,
11:01.0,,,27-18,,Defensive rebound by C. Villanueva
10:53.0,,,27-18,,J. Barea misses 2-pt shot from 1 ft
10:53.0,,,27-18,,Offensive rebound by D. Nowitzki
10:53.0,Loose ball foul by K. Korver (drawn by D. Nowitzki),,27-18,,
10:53.0,,,27-18,,T. Chandler enters the game for C. Villanueva
10:47.0,,,27-18,,J. Barea misses 2-pt shot from 4 ft (block by A. Horford)
10:46.0,,,27-18,,Offensive rebound by J. Barea
10:41.0,,,27-21,3,J. Barea makes 3-pt shot from 24 ft
10:23.0,M. Scott makes 2-pt shot from 6 ft (assist by T. Sefolosha),2,29-21,,
10:10.0,Personal foul by M. Scott (drawn by D. Nowitzki),,29-21,,
10:10.0,K. Bazemore enters the game for T. Sefolosha,,29-21,,
9:59.0,,,29-23,2,D. Nowitzki makes 2-pt shot from 4 ft
9:41.0,K. Korver makes 3-pt shot from 24 ft (assist by M. Scott),3,32-23,,
9:29.0,,,32-23,,A. Aminu misses 2-pt shot at rim
9:27.0,Defensive rebound by A. Horford,,32-23,,
9:21.0,K. Korver makes 3-pt shot from 22 ft (assist by A. Horford),3,35-23,,
9:21.0,,,35-23,,Dallas full timeout
9:21.0,,,35-23,,C. Parsons enters the game for D. Nowitzki
9:21.0,,,35-23,,M. Ellis enters the game for D. Harris
9:21.0,,,35-23,,R. Jefferson enters the game for A. Aminu
9:21.0,,,35-23,,R. Rondo enters the game for J. Barea
9:07.0,Personal foul by K. Bazemore (drawn by M. Ellis),,35-23,,
8:53.0,,,35-25,2,C. Parsons makes 2-pt shot from 20 ft (assist by R. Rondo)
8:34.0,M. Scott makes 2-pt shot at rim (assist by S. Mack),2,37-25,,
8:25.0,,,37-27,2,R. Rondo makes 2-pt shot from 4 ft
8:13.0,S. Mack misses 3-pt shot from 23 ft,,37-27,,
8:11.0,Offensive rebound by A. Horford,,37-27,,
7:57.0,M. Scott misses 2-pt shot from 6 ft,,37-27,,
7:56.0,,,37-27,,Defensive rebound by T. Chandler
7:50.0,,,37-27,,Shooting foul by M. Scott (drawn by T. Chandler)
7:50.0,,,37-27,,T. Chandler misses free throw 1 of 2
7:50.0,,,37-27,,Offensive rebound by Team
7:50.0,D. Carroll enters the game for K. Korver,,37-27,,
7:50.0,,,37-28,1,T. Chandler makes free throw 2 of 2
7:29.0,Turnover by K. Bazemore (bad pass; steal by C. Parsons),,37-28,,
7:23.0,,,37-28,,Turnover by R. Jefferson (lost ball)
7:10.0,M. Scott misses 2-pt shot from 12 ft,,37-28,,
7:08.0,,,37-28,,Defensive rebound by C. Parsons
7:02.0,,,37-28,,C. Parsons misses 3-pt shot from 24 ft
7:00.0,,,37-28,,Offensive rebound by T. Chandler
6:51.0,,,37-28,,R. Rondo misses 3-pt shot from 24 ft
6:50.0,,,37-28,,Offensive rebound by M. Ellis
6:45.0,,,37-28,,R. Rondo misses 3-pt shot from 24 ft
6:43.0,Defensive rebound by M. Scott,,37-28,,
6:38.0,,,37-28,,Personal block foul by M. Ellis (drawn by S. Mack)
6:33.0,S. Mack misses 2-pt shot from 1 ft,,37-28,,
6:31.0,,,37-28,,Defensive rebound by T. Chandler
6:26.0,,,37-28,,R. Rondo misses 2-pt shot from 1 ft (block by K. Bazemore)
6:25.0,Defensive rebound by M. Scott,,37-28,,
6:17.0,A. Horford makes 2-pt shot from 19 ft (assist by S. Mack),2,39-28,,
5:55.0,,,39-30,2,R. Rondo makes 2-pt shot from 16 ft (assist by M. Ellis)
5:32.0,K. Bazemore misses 2-pt shot at rim,,39-30,,
5:31.0,,,39-30,,Defensive rebound by T. Chandler
5:26.0,,,39-32,2,R. Jefferson makes 2-pt shot from 1 ft (assist by R. Rondo)
5:26.0,Atlanta full timeout,,39-32,,
5:26.0,P. Antic enters the game for A. Horford,,39-32,,
5:26.0,P. Millsap enters the game for S. Mack,,39-32,,
5:26.0,D. Schroder enters the game for M. Scott,,39-32,,
5:15.0,Turnover by P. Antic (lost ball; steal by M. Ellis),,39-32,,
5:10.0,,,39-32,,R. Jefferson misses 2-pt shot at rim (block by P. Millsap)
5:08.0,Defensive rebound by D. Schroder,,39-32,,
4:54.0,D. Schroder makes 2-pt shot from 1 ft,2,41-32,,
4:39.0,,,41-32,,M. Ellis misses 2-pt shot from 12 ft
4:38.0,Defensive rebound by P. Millsap,,41-32,,
4:25.0,D. Schroder misses 2-pt shot from 19 ft,,41-32,,
4:24.0,,,41-32,,Defensive rebound by T. Chandler
4:07.0,,,41-32,,C. Parsons misses 2-pt shot from 1 ft
4:05.0,Defensive rebound by P. Millsap,,41-32,,
3:56.0,D. Carroll misses 2-pt shot from 2 ft,,41-32,,
3:52.0,,,41-32,,Defensive rebound by R. Jefferson
3:40.0,,,41-32,,R. Rondo misses 2-pt shot from 6 ft
3:38.0,,,41-32,,Offensive rebound by T. Chandler
3:38.0,,,41-32,,T. Chandler misses 2-pt shot from 1 ft
3:37.0,,,41-32,,Offensive rebound by R. Rondo
3:34.0,,,41-34,2,R. Rondo makes 2-pt shot from 16 ft
3:14.0,P. Millsap makes 2-pt shot from 2 ft,2,43-34,,
3:12.0,,,43-34,,Dallas full timeout
3:12.0,,,43-34,,D. Harris enters the game for C. Parsons
3:12.0,,,43-34,,D. Nowitzki enters the game for R. Jefferson
3:12.0,A. Horford enters the game for P. Antic,,43-34,,
3:12.0,K. Korver enters the game for K. Bazemore,,43-34,,
2:55.0,,,43-34,,Offensive charge foul by M. Ellis
2:55.0,,,43-34,,Turnover by M. Ellis (offensive foul)
2:55.0,,,43-34,,Technical foul by M. Ellis
2:55.0,Official timeout,,43-34,,
2:55.0,K. Korver makes technical free throw,1,44-34,,
2:44.0,D. Carroll makes 2-pt shot from 1 ft (assist by P. Millsap),2,46-34,,
2:26.0,,,46-34,,D. Nowitzki misses 2-pt shot from 15 ft
2:26.0,Defensive rebound by Team,,46-34,,
2:15.0,D. Schroder misses 2-pt shot from 22 ft,,46-34,,
2:13.0,Offensive rebound by P. Millsap,,46-34,,
2:11.0,D. Carroll makes 2-pt shot from 2 ft (assist by P. Millsap),2,48-34,,
2:01.0,,,48-34,,R. Rondo misses 2-pt shot from 17 ft
2:00.0,Defensive rebound by A. Horford,,48-34,,
1:51.0,D. Carroll misses 2-pt shot from 4 ft (block by D. Nowitzki),,48-34,,
1:49.0,,,48-34,,Defensive rebound by T. Chandler
1:34.0,,,48-34,,D. Nowitzki misses 2-pt shot from 9 ft
1:33.0,Defensive rebound by D. Carroll,,48-34,,
1:13.0,D. Schroder misses 2-pt shot from 3 ft,,48-34,,
1:12.0,,,48-34,,Defensive rebound by T. Chandler
1:08.0,Violation by P. Millsap (def goaltending),,48-34,,
1:08.0,,,48-36,2,M. Ellis makes 2-pt shot from 2 ft (assist by R. Rondo)
0:57.0,A. Horford makes 2-pt shot from 17 ft (assist by D. Schroder),2,50-36,,
0:37.0,,,50-36,,D. Harris misses 3-pt shot from 24 ft
0:36.0,Defensive rebound by D. Carroll,,50-36,,
0:32.0,A. Horford makes 2-pt shot at rim (assist by D. Schroder),2,52-36,,
0:11.0,,,52-36,,Shooting foul by P. Millsap (drawn by D. Nowitzki)
0:11.0,,,52-37,1,D. Nowitzki makes free throw 1 of 2
0:11.0,,,52-37,,R. Jefferson enters the game for T. Chandler
0:11.0,,,52-38,1,D. Nowitzki makes free throw 2 of 2
0:04.0,Turnover by D. Schroder (lost ball; steal by M. Ellis),,52-38,,
0:00.0,,,52-38,,M. Ellis misses 2-pt shot at rim
0:00.0,,,52-38,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,A. Horford makes 2-pt shot from 16 ft (assist by K. Korver),2,54-38,,
11:11.0,,,54-38,,M. Ellis misses 2-pt shot from 10 ft
11:10.0,Defensive rebound by A. Horford,,54-38,,
11:05.0,,,54-38,,Violation by T. Chandler (def goaltending)
11:05.0,P. Millsap makes 2-pt shot from 3 ft,2,56-38,,
10:51.0,,,56-38,,M. Ellis misses 2-pt shot from 17 ft
10:50.0,Defensive rebound by K. Korver,,56-38,,
10:40.0,D. Carroll misses 3-pt shot from 22 ft,,56-38,,
10:38.0,,,56-38,,Defensive rebound by D. Nowitzki
10:26.0,,,56-40,2,C. Parsons makes 2-pt shot from 19 ft
10:02.0,A. Horford misses 2-pt shot from 6 ft,,56-40,,
10:01.0,,,56-40,,Defensive rebound by T. Chandler
9:47.0,,,56-40,,Turnover by R. Rondo (bad pass; steal by K. Korver)
9:41.0,D. Carroll misses 2-pt shot from 7 ft,,56-40,,
9:41.0,,,56-40,,Defensive rebound by Team
9:41.0,Loose ball foul by D. Carroll (drawn by T. Chandler),,56-40,,
9:27.0,,,56-40,,R. Rondo misses 2-pt shot from 19 ft
9:26.0,Defensive rebound by P. Millsap,,56-40,,
9:08.0,Turnover by D. Carroll (lost ball; steal by M. Ellis),,56-40,,
9:05.0,Shooting block foul by D. Schroder (drawn by M. Ellis),,56-40,,
9:05.0,,,56-41,1,M. Ellis makes free throw 1 of 2
9:05.0,,,56-41,,M. Ellis misses free throw 2 of 2
9:04.0,Defensive rebound by P. Millsap,,56-41,,
8:40.0,P. Millsap misses 3-pt shot from 25 ft,,56-41,,
8:39.0,,,56-41,,Defensive rebound by C. Parsons
8:29.0,,,56-43,2,D. Nowitzki makes 2-pt shot from 19 ft (assist by R. Rondo)
8:13.0,A. Horford misses 2-pt shot from 16 ft,,56-43,,
8:12.0,,,56-43,,Defensive rebound by C. Parsons
7:57.0,,,56-45,2,M. Ellis makes 2-pt shot from 3 ft
7:34.0,D. Schroder makes 2-pt shot at rim,2,58-45,,
7:31.0,,,58-45,,Turnover by D. Nowitzki (bad pass; steal by D. Schroder)
7:29.0,D. Schroder makes 2-pt shot from 1 ft,2,60-45,,
7:29.0,,,60-45,,Dallas full timeout
7:16.0,,,60-45,,C. Parsons misses 2-pt shot from 13 ft
7:15.0,Defensive rebound by P. Millsap,,60-45,,
6:53.0,D. Schroder misses 3-pt shot from 24 ft,,60-45,,
6:52.0,,,60-45,,Defensive rebound by T. Chandler
6:49.0,,,60-45,,Turnover by T. Chandler (bad pass; steal by D. Carroll)
6:45.0,P. Millsap makes 3-pt shot from 22 ft (assist by A. Horford),3,63-45,,
6:26.0,,,63-48,3,R. Rondo makes 3-pt shot from 22 ft (assist by D. Nowitzki)
6:08.0,D. Schroder makes 2-pt shot from 1 ft,2,65-48,,
5:53.0,,,65-48,,R. Rondo misses 2-pt shot from 22 ft
5:52.0,Defensive rebound by P. Millsap,,65-48,,
5:45.0,A. Horford makes 2-pt shot from 13 ft (assist by P. Millsap),2,67-48,,
5:42.0,,,67-48,,Dallas full timeout
5:42.0,,,67-48,,D. Harris enters the game for D. Nowitzki
5:42.0,,,67-48,,R. Jefferson enters the game for R. Rondo
5:42.0,P. Antic enters the game for A. Horford,,67-48,,
5:42.0,T. Sefolosha enters the game for K. Korver,,67-48,,
5:32.0,,,67-48,,M. Ellis misses 3-pt shot from 25 ft
5:31.0,,,67-48,,Offensive rebound by T. Chandler
5:31.0,Personal foul by P. Antic (drawn by T. Chandler),,67-48,,
5:26.0,,,67-48,,M. Ellis misses 2-pt shot from 4 ft
5:25.0,Defensive rebound by D. Carroll,,67-48,,
5:08.0,D. Carroll makes 2-pt shot from 1 ft (assist by P. Millsap),2,69-48,,
4:49.0,,,69-51,3,D. Harris makes 3-pt shot from 22 ft (assist by C. Parsons)
4:25.0,D. Schroder misses 2-pt shot from 8 ft,,69-51,,
4:24.0,,,69-51,,Defensive rebound by T. Chandler
4:15.0,,,69-51,,Turnover by M. Ellis (bad pass; steal by T. Sefolosha)
4:12.0,Shooting foul by C. Parsons (drawn by D. Carroll),,69-51,,
4:12.0,D. Carroll makes 2-pt shot from 1 ft (assist by T. Sefolosha),2,71-51,,
4:12.0,,,71-51,,C. Villanueva enters the game for C. Parsons
4:12.0,,,71-51,,G. Smith enters the game for T. Chandler
4:12.0,,,71-51,,J. Barea enters the game for M. Ellis
4:12.0,S. Mack enters the game for D. Schroder,,71-51,,
4:12.0,D. Carroll misses free throw 1 of 1,,71-51,,
4:12.0,Offensive rebound by Team,,71-51,,
4:12.0,,,71-51,,Loose ball foul by C. Villanueva (drawn by P. Antic)
3:50.0,D. Carroll misses 2-pt shot from 3 ft,,71-51,,
3:49.0,Offensive rebound by T. Sefolosha,,71-51,,
3:49.0,T. Sefolosha makes 2-pt shot at rim,2,73-51,,
3:35.0,,,73-51,,Shooting foul by P. Antic (drawn by R. Jefferson)
3:35.0,,,73-51,,R. Jefferson misses free throw 1 of 2
3:35.0,,,73-51,,Offensive rebound by Team
3:35.0,,,73-52,1,R. Jefferson makes free throw 2 of 2
3:21.0,Shooting foul by R. Jefferson (drawn by P. Millsap),,73-52,,
3:21.0,P. Millsap misses free throw 1 of 2,,73-52,,
3:21.0,Offensive rebound by Team,,73-52,,
3:21.0,K. Bazemore enters the game for D. Carroll,,73-52,,
3:21.0,P. Millsap makes free throw 2 of 2,1,74-52,,
3:10.0,,,74-52,,R. Jefferson misses 2-pt shot from 19 ft
3:09.0,Defensive rebound by K. Bazemore,,74-52,,
2:57.0,Shooting foul by C. Villanueva (drawn by K. Bazemore),,74-52,,
2:57.0,Atlanta full timeout,,74-52,,
2:57.0,K. Bazemore makes free throw 1 of 2,1,75-52,,
2:57.0,K. Bazemore makes free throw 2 of 2,1,76-52,,
2:37.0,,,76-55,3,C. Villanueva makes 3-pt shot from 24 ft (assist by J. Barea)
2:11.0,S. Mack misses 2-pt shot from 12 ft,,76-55,,
2:10.0,,,76-55,,Defensive rebound by G. Smith
2:02.0,,,76-55,,Shooting foul by P. Millsap (drawn by G. Smith)
2:02.0,,,76-55,,G. Smith misses free throw 1 of 2
2:02.0,,,76-55,,Offensive rebound by Team
2:02.0,,,76-56,1,G. Smith makes free throw 2 of 2
1:44.0,T. Sefolosha makes 3-pt shot from 22 ft (assist by P. Millsap),3,79-56,,
1:27.0,,,79-59,3,D. Harris makes 3-pt shot from 22 ft (assist by R. Jefferson)
1:09.0,P. Antic makes 3-pt shot from 24 ft (assist by S. Mack),3,82-59,,
0:48.0,,,82-61,2,G. Smith makes 2-pt shot at rim (assist by J. Barea)
0:30.0,P. Antic misses 2-pt shot from 1 ft (block by G. Smith),,82-61,,
0:27.0,,,82-61,,Defensive rebound by J. Barea
0:22.0,,,82-63,2,R. Jefferson makes 2-pt shot at rim (assist by D. Harris)
0:02.0,Turnover by P. Millsap (lost ball; steal by R. Jefferson),,82-63,,
0:00.0,,,82-63,,C. Villanueva misses 3-pt shot from 40 ft
0:00.0,,,82-63,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,,,82-65,2,R. Jefferson makes 2-pt shot from 1 ft (assist by C. Villanueva)
11:19.0,S. Mack misses 2-pt shot from 20 ft,,82-65,,
11:18.0,,,82-65,,Defensive rebound by C. Villanueva
11:13.0,Shooting block foul by M. Scott (drawn by D. Harris),,82-65,,
11:13.0,,,82-66,1,D. Harris makes free throw 1 of 2
11:13.0,,,82-67,1,D. Harris makes free throw 2 of 2
10:52.0,,,82-67,,Personal foul by J. Barea (drawn by S. Mack)
10:41.0,Turnover by S. Mack (bad pass; steal by C. Villanueva),,82-67,,
10:20.0,,,82-67,,Turnover by C. Villanueva (offensive goaltending)
10:07.0,Turnover by K. Korver (bad pass),,82-67,,
9:52.0,,,82-67,,J. Barea misses 2-pt shot from 2 ft
9:51.0,Defensive rebound by M. Scott,,82-67,,
9:38.0,P. Millsap enters the game for M. Scott,,82-67,,
9:38.0,,,82-67,,R. Rondo enters the game for R. Jefferson
9:38.0,,,82-67,,M. Ellis enters the game for D. Harris
9:38.0,,,82-67,,C. Parsons enters the game for G. Smith
9:38.0,,,82-67,,D. Nowitzki enters the game for C. Villanueva
9:38.0,,,82-67,,T. Chandler enters the game for J. Barea
9:32.0,K. Korver misses 2-pt shot from 22 ft,,82-67,,
9:31.0,,,82-67,,Defensive rebound by D. Nowitzki
9:19.0,,,82-67,,Turnover by D. Nowitzki (lost ball; steal by T. Sefolosha)
9:17.0,Turnover by P. Millsap (bad pass),,82-67,,
9:07.0,,,82-67,,Offensive charge foul by M. Ellis
9:07.0,,,82-67,,Turnover by M. Ellis (offensive foul)
9:07.0,D. Schroder enters the game for S. Mack,,82-67,,
9:07.0,D. Carroll enters the game for T. Sefolosha,,82-67,,
8:50.0,K. Korver misses 3-pt shot from 24 ft,,82-67,,
8:49.0,,,82-67,,Defensive rebound by T. Chandler
8:44.0,,,82-67,,Shooting foul by D. Schroder (drawn by C. Parsons)
8:44.0,Official timeout,,82-67,,
8:44.0,,,82-67,,C. Parsons misses free throw 1 of 2
8:44.0,,,82-67,,Offensive rebound by Team
8:44.0,,,82-67,,C. Parsons misses free throw 2 of 2
8:44.0,Defensive rebound by P. Millsap,,82-67,,
8:29.0,D. Schroder misses 2-pt shot from 1 ft (block by R. Rondo),,82-67,,
8:27.0,Offensive rebound by D. Schroder,,82-67,,
8:24.0,A. Horford makes 2-pt shot from 19 ft (assist by D. Schroder),2,84-67,,
8:16.0,,,84-69,2,M. Ellis makes 2-pt shot from 1 ft
7:53.0,P. Millsap misses 2-pt shot from 13 ft,,84-69,,
7:52.0,,,84-69,,Defensive rebound by T. Chandler
7:43.0,,,84-71,2,R. Rondo makes 2-pt shot at rim
7:28.0,K. Korver makes 3-pt shot from 24 ft (assist by D. Schroder),3,87-71,,
7:16.0,Personal foul by D. Schroder (drawn by R. Rondo),,87-71,,
7:09.0,,,87-71,,M. Ellis misses 2-pt shot from 1 ft
7:08.0,,,87-71,,Offensive rebound by T. Chandler
7:08.0,,,87-73,2,T. Chandler makes 2-pt shot at rim
6:52.0,D. Carroll makes 3-pt shot from 23 ft (assist by P. Millsap),3,90-73,,
6:37.0,,,90-75,2,D. Nowitzki makes 2-pt shot from 4 ft (assist by R. Rondo)
6:36.0,,,90-75,,Violation by Team (delay of game)
6:28.0,Turnover by D. Schroder (bad pass; steal by M. Ellis),,90-75,,
6:25.0,Personal foul by D. Carroll (drawn by M. Ellis),,90-75,,
6:18.0,,,90-77,2,M. Ellis makes 2-pt shot from 17 ft
5:56.0,D. Carroll misses 3-pt shot from 23 ft,,90-77,,
5:54.0,,,90-77,,Defensive rebound by T. Chandler
5:47.0,,,90-77,,Turnover by D. Nowitzki (bad pass; steal by K. Korver)
5:44.0,,,90-77,,Shooting block foul by C. Parsons (drawn by D. Carroll)
5:44.0,,,90-77,,Technical foul by C. Parsons (drawn by D. Carroll)
5:44.0,Technical foul by D. Carroll,,90-77,,
5:44.0,,,90-77,,Technical foul by T. Chandler
5:44.0,,,90-77,,Dallas full timeout
5:44.0,K. Korver misses technical free throw,,90-77,,
5:44.0,Offensive rebound by Team,,90-77,,
5:44.0,D. Carroll makes free throw 1 of 2,1,91-77,,
5:44.0,D. Carroll makes free throw 2 of 2,1,92-77,,
5:32.0,,,92-79,2,R. Rondo makes 2-pt shot from 1 ft
5:10.0,A. Horford misses 3-pt shot from 22 ft,,92-79,,
5:09.0,,,92-79,,Defensive rebound by T. Chandler
5:05.0,,,92-81,2,M. Ellis makes 2-pt shot from 1 ft
4:45.0,Offensive charge foul by P. Millsap,,92-81,,
4:45.0,Turnover by P. Millsap (offensive foul),,92-81,,
4:30.0,,,92-81,,M. Ellis misses 2-pt shot from 2 ft
4:28.0,Defensive rebound by P. Millsap,,92-81,,
4:22.0,,,92-81,,Personal foul by M. Ellis (drawn by D. Schroder)
4:22.0,P. Antic enters the game for P. Millsap,,92-81,,
4:16.0,K. Korver makes 2-pt shot from 19 ft (assist by D. Schroder),2,94-81,,
