time,New Orleans,pts.away,score,pts.home,Miami
8:13.0,,,4-2,,D. Wade misses 2-pt shot from 19 ft
8:12.0,Defensive rebound by A. Davis,,4-2,,
8:03.0,E. Gordon makes 3-pt shot from 24 ft (assist by T. Evans),3,7-2,,
7:50.0,,,7-2,,Shooting foul by T. Evans (drawn by D. Wade)
7:50.0,,,7-3,1,D. Wade makes free throw 1 of 2
7:50.0,,,7-3,,D. Wade misses free throw 2 of 2
7:48.0,Defensive rebound by O. Asik,,7-3,,
7:32.0,N. Cole enters the game for T. Evans,,7-3,,
7:32.0,Jump ball: O. Asik vs. D. Wade (A. Davis gains possession),,,,Jump ball: O. Asik vs. D. Wade (A. Davis gains possession)
7:30.0,Shooting foul by H. Whiteside (drawn by A. Davis),,7-3,,
7:30.0,A. Davis makes 2-pt shot from 10 ft (assist by O. Asik),2,9-3,,
7:30.0,A. Davis makes free throw 1 of 1,1,10-3,,
7:16.0,,,10-5,2,D. Wade makes 2-pt shot from 1 ft
7:02.0,A. Davis misses 2-pt shot from 18 ft,,10-5,,
7:00.0,Offensive rebound by E. Gordon,,10-5,,
6:50.0,O. Asik makes 2-pt shot at rim (assist by E. Gordon),2,12-5,,
6:30.0,,,12-5,,D. Wade misses 2-pt shot from 1 ft
6:29.0,Defensive rebound by O. Asik,,12-5,,
6:23.0,Q. Pondexter misses 3-pt shot from 24 ft,,12-5,,
6:22.0,,,12-5,,Defensive rebound by H. Whiteside
6:07.0,,,12-5,,L. Deng misses 2-pt shot from 16 ft
6:06.0,Defensive rebound by Team,,12-5,,
6:06.0,,,12-5,,M. Chalmers enters the game for L. Deng
5:49.0,A. Davis misses 2-pt shot from 15 ft,,12-5,,
5:48.0,Offensive rebound by Team,,12-5,,
5:48.0,,,12-5,,Miami full timeout
5:39.0,,,12-5,,Personal foul by G. Dragic (drawn by A. Davis)
5:33.0,,,12-5,,Def 3 sec tech foul by H. Whiteside
5:33.0,A. Davis makes technical free throw,1,13-5,,
5:24.0,Turnover by A. Davis (bad pass),,13-5,,
5:03.0,,,13-5,,H. Whiteside misses 2-pt shot from 9 ft
5:02.0,Defensive rebound by A. Davis,,13-5,,
4:52.0,A. Davis makes 2-pt shot from 4 ft (assist by N. Cole),2,15-5,,
4:36.0,,,15-5,,G. Dragic misses 2-pt shot from 6 ft
4:35.0,Defensive rebound by A. Davis,,15-5,,
4:35.0,,,15-5,,Personal foul by G. Dragic (drawn by A. Davis)
4:35.0,R. Anderson enters the game for O. Asik,,15-5,,
4:35.0,,,15-5,,S. Napier enters the game for G. Dragic
4:35.0,,,15-5,,J. Ennis enters the game for D. Wade
4:35.0,,,15-5,,L. Deng enters the game for U. Haslem
4:35.0,D. Cunningham enters the game for Q. Pondexter,,15-5,,
4:21.0,A. Davis misses 2-pt shot from 19 ft,,15-5,,
4:20.0,,,15-5,,Defensive rebound by J. Ennis
3:58.0,,,15-8,3,M. Chalmers makes 3-pt shot from 25 ft (assist by S. Napier)
3:42.0,N. Cole misses 2-pt shot from 2 ft,,15-8,,
3:41.0,Offensive rebound by A. Davis,,15-8,,
3:39.0,A. Davis misses 2-pt shot from 7 ft,,15-8,,
3:38.0,Offensive rebound by A. Davis,,15-8,,
3:35.0,A. Davis misses 2-pt shot from 4 ft,,15-8,,
3:34.0,,,15-8,,Defensive rebound by H. Whiteside
3:32.0,,,15-8,,S. Napier misses 2-pt shot from 1 ft (block by D. Cunningham)
3:31.0,,,15-8,,Offensive rebound by J. Ennis
3:30.0,,,15-8,,J. Ennis misses 2-pt shot at rim
3:28.0,,,15-8,,Offensive rebound by H. Whiteside
3:27.0,,,15-8,,H. Whiteside misses 2-pt shot from 1 ft
3:26.0,,,15-8,,Offensive rebound by H. Whiteside
3:25.0,,,15-8,,H. Whiteside misses 2-pt shot from 7 ft
3:24.0,,,15-8,,Offensive rebound by H. Whiteside
3:23.0,,,15-8,,H. Whiteside misses 2-pt shot from 4 ft
3:22.0,Defensive rebound by N. Cole,,15-8,,
3:15.0,E. Gordon misses 2-pt shot from 1 ft,,15-8,,
3:12.0,Offensive rebound by D. Cunningham,,15-8,,
3:11.0,Turnover by D. Cunningham (lost ball; steal by S. Napier),,15-8,,
3:07.0,Personal foul by N. Cole (drawn by M. Chalmers),,15-8,,
3:07.0,New Orleans full timeout,,15-8,,
3:07.0,A. Ajinca enters the game for A. Davis,,15-8,,
3:07.0,,,15-8,,C. Andersen enters the game for H. Whiteside
2:57.0,Personal foul by N. Cole (drawn by S. Napier),,15-8,,
2:41.0,,,15-8,,L. Deng misses 2-pt shot from 20 ft
2:40.0,Defensive rebound by E. Gordon,,15-8,,
2:22.0,R. Anderson makes 2-pt shot from 1 ft (assist by N. Cole),2,17-8,,
2:05.0,,,17-8,,L. Deng misses 2-pt shot from 1 ft
2:04.0,Defensive rebound by R. Anderson,,17-8,,
1:51.0,Shooting foul by C. Andersen (drawn by D. Cunningham),,17-8,,
1:51.0,D. Cunningham misses free throw 1 of 2,,17-8,,
1:51.0,Offensive rebound by Team,,17-8,,
1:51.0,T. Evans enters the game for E. Gordon,,17-8,,
1:51.0,D. Cunningham makes free throw 2 of 2,1,18-8,,
1:40.0,,,18-10,2,M. Chalmers makes 2-pt shot from 16 ft (assist by L. Deng)
1:21.0,N. Cole misses 3-pt shot from 25 ft,,18-10,,
1:20.0,,,18-10,,Defensive rebound by M. Chalmers
1:17.0,,,18-10,,Turnover by J. Ennis (lost ball)
1:16.0,,,18-10,,Loose ball foul by J. Ennis (drawn by N. Cole)
1:16.0,N. Cole makes free throw 1 of 2,1,19-10,,
1:16.0,N. Cole makes free throw 2 of 2,1,20-10,,
1:00.0,,,20-10,,J. Ennis misses 2-pt shot from 1 ft
0:59.0,Defensive rebound by A. Ajinca,,20-10,,
0:54.0,R. Anderson makes 2-pt shot from 1 ft (assist by D. Cunningham),2,22-10,,
0:34.0,,,22-12,2,C. Andersen makes 2-pt shot at rim (assist by M. Chalmers)
0:14.0,N. Cole makes 3-pt shot from 23 ft (assist by D. Cunningham),3,25-12,,
0:00.0,,,25-14,2,M. Chalmers makes 2-pt shot from 6 ft
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,Turnover by R. Anderson (lost ball; steal by M. Chalmers),,25-14,,
11:34.0,,,25-16,2,M. Chalmers makes 2-pt shot from 18 ft
11:20.0,Turnover by A. Ajinca (lost ball; steal by J. Ennis),,25-16,,
11:03.0,,,25-16,,Shooting foul by D. Cunningham (drawn by J. Ennis)
11:03.0,,,25-16,,J. Ennis misses free throw 1 of 2
11:03.0,,,25-16,,Offensive rebound by Team
11:03.0,,,25-17,1,J. Ennis makes free throw 2 of 2
10:47.0,Turnover by Q. Pondexter (bad pass; steal by C. Andersen),,25-17,,
10:43.0,,,25-19,2,M. Chalmers makes 2-pt shot at rim (assist by C. Andersen)
10:16.0,R. Anderson misses 3-pt shot from 24 ft,,25-19,,
10:15.0,,,25-19,,Defensive rebound by S. Napier
10:07.0,Personal foul by A. Ajinca (drawn by C. Andersen),,25-19,,
9:57.0,,,25-21,2,M. Chalmers makes 2-pt shot from 8 ft
9:42.0,D. Cunningham misses 2-pt shot from 18 ft,,25-21,,
9:41.0,Offensive rebound by A. Ajinca,,25-21,,
9:41.0,Shooting foul by S. Napier (drawn by A. Ajinca),,25-21,,
9:41.0,New Orleans full timeout,,25-21,,
9:41.0,E. Gordon enters the game for R. Anderson,,25-21,,
9:41.0,A. Ajinca makes free throw 1 of 2,1,26-21,,
9:41.0,A. Ajinca makes free throw 2 of 2,1,27-21,,
9:21.0,,,27-21,,Turnover by L. Deng (lost ball; steal by T. Evans)
9:08.0,D. Cunningham misses 2-pt shot from 4 ft,,27-21,,
9:07.0,Offensive rebound by D. Cunningham,,27-21,,
9:07.0,Shooting foul by L. Deng (drawn by D. Cunningham),,27-21,,
9:07.0,D. Cunningham makes free throw 1 of 2,1,28-21,,
9:07.0,O. Asik enters the game for A. Ajinca,,28-21,,
9:07.0,,,28-21,,G. Dragic enters the game for S. Napier
9:07.0,D. Cunningham makes free throw 2 of 2,1,29-21,,
8:54.0,,,29-24,3,M. Chalmers makes 3-pt shot from 25 ft
8:40.0,E. Gordon misses 3-pt shot from 25 ft,,29-24,,
8:39.0,Offensive rebound by Team,,29-24,,
8:39.0,,,29-24,,Personal foul by M. Chalmers (drawn by O. Asik)
8:25.0,E. Gordon misses 2-pt shot from 18 ft,,29-24,,
8:24.0,,,29-24,,Defensive rebound by C. Andersen
8:15.0,,,29-24,,Turnover by C. Andersen (bad pass)
7:51.0,T. Evans misses 2-pt shot from 1 ft,,29-24,,
7:50.0,Offensive rebound by O. Asik,,29-24,,
7:49.0,O. Asik makes 2-pt shot at rim,2,31-24,,
7:28.0,,,31-24,,G. Dragic misses 3-pt shot from 24 ft
7:27.0,,,31-24,,Offensive rebound by C. Andersen
7:24.0,,,31-24,,Turnover by M. Chalmers (lost ball)
7:24.0,,,31-24,,D. Wade enters the game for J. Ennis
7:24.0,L. Babbitt enters the game for D. Cunningham,,31-24,,
7:24.0,,,31-24,,H. Whiteside enters the game for C. Andersen
7:13.0,O. Asik makes 2-pt shot from 2 ft (assist by E. Gordon),2,33-24,,
7:13.0,,,33-24,,Miami full timeout
7:13.0,,,33-24,,Technical foul by C. Andersen
7:13.0,E. Gordon makes technical free throw,1,34-24,,
6:56.0,,,34-26,2,H. Whiteside makes 2-pt shot from 8 ft (assist by D. Wade)
6:36.0,O. Asik makes 2-pt shot at rim (assist by E. Gordon),2,36-26,,
6:11.0,,,36-26,,D. Wade misses 2-pt shot from 8 ft
6:10.0,,,36-26,,Offensive rebound by Team
6:00.0,,,36-26,,G. Dragic misses 2-pt shot from 8 ft
5:59.0,Defensive rebound by E. Gordon,,36-26,,
5:54.0,Shooting foul by L. Deng (drawn by T. Evans),,36-26,,
5:54.0,,,36-26,,Technical foul by L. Deng (drawn by T. Evans)
5:54.0,E. Gordon makes technical free throw,1,37-26,,
5:54.0,T. Evans makes free throw 1 of 2,1,38-26,,
5:54.0,,,38-26,,J. Ennis enters the game for L. Deng
5:54.0,T. Evans makes free throw 2 of 2,1,39-26,,
5:46.0,,,39-28,2,D. Wade makes 2-pt shot from 1 ft
5:26.0,Q. Pondexter makes 2-pt shot at rim (assist by T. Evans),2,41-28,,
5:26.0,Technical foul by Q. Pondexter,,41-28,,
5:26.0,,,41-29,1,D. Wade makes technical free throw
5:26.0,N. Cole enters the game for Q. Pondexter,,41-29,,
5:06.0,,,41-31,2,D. Wade makes 2-pt shot from 5 ft
4:54.0,Turnover by O. Asik (bad pass),,41-31,,
4:29.0,,,41-31,,Turnover by G. Dragic (lost ball; steal by E. Gordon)
4:13.0,L. Babbitt makes 2-pt shot from 10 ft,2,43-31,,
3:57.0,,,43-31,,D. Wade misses 2-pt shot from 16 ft
3:56.0,Defensive rebound by L. Babbitt,,43-31,,
3:39.0,T. Evans makes 2-pt shot from 18 ft,2,45-31,,
3:38.0,,,45-31,,Miami full timeout
3:30.0,Personal foul by L. Babbitt (drawn by D. Wade),,45-31,,
3:14.0,,,45-31,,M. Chalmers misses 3-pt shot from 23 ft
3:13.0,,,45-31,,Offensive rebound by J. Ennis
3:13.0,,,45-31,,Shooting foul by L. Babbitt (drawn by J. Ennis)
3:13.0,,,45-32,1,J. Ennis makes free throw 1 of 2
3:13.0,,,45-32,,L. Deng enters the game for M. Chalmers
3:13.0,,,45-33,1,J. Ennis makes free throw 2 of 2
3:00.0,T. Evans misses 2-pt shot from 1 ft (block by H. Whiteside),,45-33,,
2:59.0,,,45-33,,Defensive rebound by J. Ennis
2:50.0,,,45-33,,D. Wade misses 2-pt shot from 11 ft
2:49.0,,,45-33,,Offensive rebound by L. Deng
2:48.0,,,45-35,2,L. Deng makes 2-pt shot from 1 ft
2:34.0,,,45-35,,Personal foul by D. Wade (drawn by L. Babbitt)
2:34.0,Official timeout,,45-35,,
2:34.0,L. Babbitt makes free throw 1 of 2,1,46-35,,
2:34.0,L. Babbitt makes free throw 2 of 2,1,47-35,,
2:21.0,,,47-35,,D. Wade misses 2-pt shot from 16 ft
2:20.0,,,47-35,,Offensive rebound by H. Whiteside
2:17.0,,,47-35,,H. Whiteside misses 2-pt shot from 7 ft
2:16.0,,,47-35,,Offensive rebound by J. Ennis
2:14.0,,,47-37,2,H. Whiteside makes 2-pt shot from 8 ft
1:55.0,E. Gordon misses 2-pt shot from 16 ft,,47-37,,
1:54.0,,,47-37,,Defensive rebound by H. Whiteside
1:43.0,,,47-37,,G. Dragic misses 3-pt shot from 24 ft
1:42.0,,,47-37,,Offensive rebound by D. Wade
1:40.0,,,47-39,2,D. Wade makes 2-pt shot from 8 ft
1:35.0,Turnover by E. Gordon (bad pass; steal by G. Dragic),,47-39,,
1:27.0,,,47-41,2,H. Whiteside makes 2-pt shot at rim (assist by D. Wade)
1:27.0,New Orleans full timeout,,47-41,,
1:27.0,,,47-41,,M. Chalmers enters the game for G. Dragic
1:18.0,E. Gordon makes 3-pt shot from 25 ft (assist by T. Evans),3,50-41,,
0:56.0,,,50-41,,J. Ennis misses 3-pt shot from 24 ft
0:55.0,Defensive rebound by N. Cole,,50-41,,
0:41.0,N. Cole makes 2-pt shot at rim,2,52-41,,
0:33.0,,,52-41,,D. Wade misses 2-pt shot from 1 ft
0:32.0,,,52-41,,Offensive rebound by H. Whiteside
0:32.0,,,52-41,,Shooting foul by O. Asik (drawn by H. Whiteside)
0:32.0,,,52-42,1,H. Whiteside makes free throw 1 of 2
0:32.0,,,52-42,,H. Whiteside misses free throw 2 of 2
0:31.0,Defensive rebound by L. Babbitt,,52-42,,
0:19.0,T. Evans misses 2-pt shot from 3 ft (block by L. Deng),,52-42,,
0:18.0,Offensive rebound by Team,,52-42,,
0:12.0,Turnover by T. Evans (traveling),,52-42,,
0:12.0,Q. Pondexter enters the game for T. Evans,,52-42,,
0:12.0,,,52-42,,G. Dragic enters the game for J. Ennis
0:12.0,D. Cunningham enters the game for L. Babbitt,,52-42,,
0:00.0,,,52-42,,Turnover by L. Deng (traveling)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,D. Cunningham makes 2-pt shot from 1 ft (assist by O. Asik),2,54-42,,
11:38.0,,,54-42,,Offensive foul by D. Wade
11:38.0,,,54-42,,Turnover by D. Wade (offensive foul)
11:26.0,E. Gordon makes 3-pt shot from 25 ft,3,57-42,,
11:04.0,,,57-44,2,G. Dragic makes 2-pt shot from 4 ft
10:43.0,Q. Pondexter misses 2-pt shot from 9 ft (block by H. Whiteside),,57-44,,
10:42.0,,,57-44,,Defensive rebound by L. Deng
10:37.0,,,57-46,2,D. Wade makes 2-pt shot from 1 ft (assist by M. Chalmers)
10:17.0,E. Gordon makes 3-pt shot from 25 ft,3,60-46,,
9:54.0,,,60-46,,M. Chalmers misses 2-pt shot from 1 ft
9:53.0,,,60-46,,Offensive rebound by Team
9:49.0,,,60-46,,D. Wade misses 2-pt shot from 16 ft
9:48.0,Defensive rebound by T. Evans,,60-46,,
9:31.0,E. Gordon makes 3-pt shot from 23 ft (assist by Q. Pondexter),3,63-46,,
9:31.0,,,63-46,,Miami full timeout
9:14.0,,,63-46,,Turnover by H. Whiteside (lost ball; steal by T. Evans)
9:10.0,Q. Pondexter makes 2-pt shot from 2 ft (assist by T. Evans),2,65-46,,
9:10.0,Shooting foul by G. Dragic (drawn by Q. Pondexter),,65-46,,
9:10.0,Q. Pondexter makes free throw 1 of 1,1,66-46,,
8:56.0,,,66-46,,D. Wade misses 2-pt shot from 1 ft
8:55.0,Defensive rebound by O. Asik,,66-46,,
8:34.0,E. Gordon makes 2-pt shot from 8 ft,2,68-46,,
8:17.0,,,68-46,,Shooting foul by D. Cunningham (drawn by G. Dragic)
8:17.0,,,68-46,,G. Dragic misses free throw 1 of 2
8:17.0,,,68-46,,Offensive rebound by Team
8:17.0,,,68-46,,G. Dragic misses free throw 2 of 2
8:16.0,Defensive rebound by O. Asik,,68-46,,
8:03.0,Shooting foul by D. Wade (drawn by O. Asik),,68-46,,
8:03.0,O. Asik makes free throw 1 of 2,1,69-46,,
8:03.0,O. Asik misses free throw 2 of 2,,69-46,,
8:02.0,Offensive rebound by Team,,69-46,,
7:52.0,Shooting foul by H. Whiteside (drawn by E. Gordon),,69-46,,
7:52.0,E. Gordon makes free throw 1 of 2,1,70-46,,
7:52.0,E. Gordon makes free throw 2 of 2,1,71-46,,
7:41.0,,,71-46,,Turnover by L. Deng (lost ball; steal by O. Asik)
7:37.0,Offensive charge foul by Q. Pondexter,,71-46,,
7:37.0,Turnover by Q. Pondexter (offensive foul),,71-46,,
7:23.0,,,71-48,2,L. Deng makes 2-pt shot from 8 ft
7:03.0,T. Evans misses 2-pt shot from 2 ft,,71-48,,
7:01.0,,,71-48,,Defensive rebound by D. Wade
6:54.0,,,71-51,3,G. Dragic makes 3-pt shot from 23 ft
6:29.0,D. Cunningham misses 2-pt shot from 2 ft,,71-51,,
6:28.0,Offensive rebound by Team,,71-51,,
6:28.0,Turnover by Team (shot clock),,71-51,,
6:13.0,,,71-51,,D. Wade misses 2-pt shot from 2 ft (block by D. Cunningham)
6:12.0,Defensive rebound by D. Cunningham,,71-51,,
6:02.0,Q. Pondexter misses 3-pt shot from 23 ft,,71-51,,
6:01.0,,,71-51,,Defensive rebound by H. Whiteside
5:48.0,,,71-53,2,G. Dragic makes 2-pt shot from 9 ft
5:46.0,New Orleans full timeout,,71-53,,
5:46.0,,,71-53,,T. Johnson enters the game for M. Chalmers
5:21.0,Q. Pondexter misses 2-pt shot from 10 ft,,71-53,,
5:20.0,,,71-53,,Defensive rebound by L. Deng
5:16.0,,,71-55,2,G. Dragic makes 2-pt shot at rim
4:56.0,E. Gordon makes 3-pt shot from 24 ft,3,74-55,,
4:40.0,Personal block foul by D. Cunningham (drawn by G. Dragic),,74-55,,
4:40.0,N. Cole enters the game for Q. Pondexter,,74-55,,
4:25.0,,,74-55,,T. Johnson misses 2-pt shot from 9 ft
4:24.0,Defensive rebound by O. Asik,,74-55,,
4:16.0,,,74-55,,Personal foul by T. Johnson (drawn by T. Evans)
4:16.0,A. Ajinca enters the game for O. Asik,,74-55,,
4:16.0,,,74-55,,C. Andersen enters the game for H. Whiteside
4:16.0,,,74-55,,J. Ennis enters the game for D. Wade
4:01.0,E. Gordon misses 2-pt shot from 10 ft,,74-55,,
4:00.0,Offensive rebound by A. Ajinca,,74-55,,
3:57.0,A. Ajinca makes 2-pt shot from 3 ft,2,76-55,,
3:43.0,,,76-55,,Turnover by J. Ennis (lost ball; steal by T. Evans)
3:38.0,T. Evans makes 2-pt shot from 1 ft,2,78-55,,
3:24.0,Personal foul by A. Ajinca (drawn by C. Andersen),,78-55,,
3:24.0,L. Babbitt enters the game for T. Evans,,78-55,,
3:17.0,,,78-55,,Shooting foul by A. Ajinca (drawn by G. Dragic)
3:17.0,,,78-55,,G. Dragic misses free throw 1 of 2
3:17.0,,,78-55,,Offensive rebound by Team
3:17.0,,,78-56,1,G. Dragic makes free throw 2 of 2
2:56.0,A. Ajinca misses 2-pt shot from 17 ft,,78-56,,
2:55.0,Offensive rebound by L. Babbitt,,78-56,,
2:54.0,L. Babbitt makes 2-pt shot from 1 ft,2,80-56,,
2:35.0,,,80-56,,Shooting foul by A. Ajinca (drawn by L. Deng)
2:35.0,,,80-57,1,L. Deng makes free throw 1 of 2
2:35.0,,,80-58,1,L. Deng makes free throw 2 of 2
2:20.0,A. Ajinca makes 2-pt shot from 2 ft (assist by E. Gordon),2,82-58,,
2:04.0,,,82-58,,L. Deng misses 3-pt shot from 24 ft
2:04.0,,,82-58,,Offensive rebound by Team
2:04.0,Loose ball foul by A. Ajinca (drawn by C. Andersen),,82-58,,
2:04.0,,,82-59,1,C. Andersen makes free throw 1 of 2
2:04.0,J. Withey enters the game for A. Ajinca,,82-59,,
2:04.0,,,82-59,,M. Chalmers enters the game for T. Johnson
2:04.0,,,82-59,,C. Andersen misses free throw 2 of 2
2:02.0,Defensive rebound by L. Babbitt,,82-59,,
1:53.0,J. Withey misses 2-pt shot from 5 ft (block by C. Andersen),,82-59,,
1:52.0,Offensive rebound by Team,,82-59,,
1:44.0,Turnover by N. Cole (bad pass),,82-59,,
1:38.0,,,82-61,2,M. Chalmers makes 2-pt shot at rim (assist by C. Andersen)
1:27.0,,,82-61,,Personal foul by G. Dragic (drawn by N. Cole)
1:27.0,N. Cole makes free throw 1 of 2,1,83-61,,
1:27.0,Q. Pondexter enters the game for D. Cunningham,,83-61,,
1:27.0,,,83-61,,S. Napier enters the game for G. Dragic
1:27.0,N. Cole misses free throw 2 of 2,,83-61,,
1:26.0,,,83-61,,Defensive rebound by J. Ennis
1:13.0,,,83-61,,Turnover by M. Chalmers (bad pass)
1:01.0,Offensive charge foul by J. Withey,,83-61,,
1:01.0,Turnover by J. Withey (offensive foul),,83-61,,
0:52.0,,,83-61,,Turnover by S. Napier (bad pass; steal by J. Withey)
0:47.0,N. Cole makes 2-pt shot from 1 ft (assist by Q. Pondexter),2,85-61,,
0:32.0,,,85-61,,Shooting foul by J. Withey (drawn by S. Napier)
0:32.0,,,85-62,1,S. Napier makes free throw 1 of 2
0:32.0,,,85-62,,U. Haslem enters the game for L. Deng
0:32.0,,,85-63,1,S. Napier makes free throw 2 of 2
0:11.0,E. Gordon misses 2-pt shot from 19 ft,,85-63,,
0:10.0,,,85-63,,Defensive rebound by J. Ennis
0:01.0,,,85-65,2,M. Chalmers makes 2-pt shot from 20 ft
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,,,85-65,,C. Andersen misses 2-pt shot from 18 ft
11:43.0,Defensive rebound by N. Cole,,85-65,,
11:28.0,L. Babbitt makes 3-pt shot from 25 ft (assist by N. Cole),3,88-65,,
11:13.0,Personal foul by N. Cole (drawn by S. Napier),,88-65,,
11:04.0,,,88-65,,Turnover by U. Haslem (lost ball)
10:47.0,L. Babbitt misses 3-pt shot from 25 ft,,88-65,,
10:46.0,,,88-65,,Defensive rebound by C. Andersen
10:44.0,Personal foul by Q. Pondexter (drawn by M. Chalmers),,88-65,,
10:44.0,D. Cunningham enters the game for L. Babbitt,,88-65,,
10:27.0,,,88-67,2,S. Napier makes 2-pt shot from 16 ft
10:11.0,Shooting foul by J. Ennis (drawn by J. Withey),,88-67,,
10:11.0,J. Withey makes free throw 1 of 2,1,89-67,,
10:11.0,J. Withey makes free throw 2 of 2,1,90-67,,
9:58.0,,,90-67,,Shooting foul by J. Withey (drawn by J. Ennis)
9:58.0,,,90-68,1,J. Ennis makes free throw 1 of 2
9:58.0,,,90-69,1,J. Ennis makes free throw 2 of 2
9:39.0,T. Evans misses 2-pt shot from 17 ft,,90-69,,
9:36.0,,,90-69,,Defensive rebound by J. Ennis
9:30.0,,,90-72,3,J. Ennis makes 3-pt shot from 25 ft (assist by S. Napier)
9:07.0,D. Cunningham misses 2-pt shot from 2 ft,,90-72,,
9:06.0,Offensive rebound by D. Cunningham,,90-72,,
9:06.0,,,90-72,,Personal foul by M. Chalmers (drawn by D. Cunningham)
8:52.0,N. Cole makes 2-pt shot from 1 ft (assist by Q. Pondexter),2,92-72,,
8:25.0,,,92-74,2,U. Haslem makes 2-pt shot from 4 ft (assist by C. Andersen)
8:11.0,,,92-74,,Personal foul by M. Chalmers (drawn by T. Evans)
8:11.0,Official timeout,,92-74,,
8:11.0,E. Gordon enters the game for Q. Pondexter,,92-74,,
7:56.0,N. Cole misses 2-pt shot from 7 ft,,92-74,,
7:55.0,,,92-74,,Defensive rebound by U. Haslem
7:52.0,Personal foul by D. Cunningham (drawn by S. Napier),,92-74,,
7:52.0,O. Asik enters the game for J. Withey,,92-74,,
7:52.0,,,92-74,,D. Wade enters the game for J. Ennis
7:43.0,,,92-74,,C. Andersen misses 2-pt shot from 1 ft
7:42.0,Defensive rebound by E. Gordon,,92-74,,
7:39.0,N. Cole misses 2-pt shot from 1 ft,,92-74,,
7:38.0,Offensive rebound by Team,,92-74,,
7:19.0,T. Evans misses 2-pt shot from 9 ft,,92-74,,
7:18.0,,,92-74,,Defensive rebound by U. Haslem
7:00.0,,,92-74,,M. Chalmers misses 3-pt shot from 24 ft
7:00.0,,,92-74,,Offensive rebound by Team
7:00.0,Loose ball foul by D. Cunningham (drawn by U. Haslem),,92-74,,
7:00.0,,,92-75,1,U. Haslem makes free throw 1 of 2
7:00.0,,,92-75,,G. Dragic enters the game for S. Napier
7:00.0,L. Babbitt enters the game for D. Cunningham,,92-75,,
7:00.0,,,92-76,1,U. Haslem makes free throw 2 of 2
6:41.0,L. Babbitt misses 3-pt shot from 23 ft,,92-76,,
6:40.0,,,92-76,,Defensive rebound by G. Dragic
6:34.0,,,92-76,,D. Wade misses 2-pt shot from 20 ft
6:33.0,,,92-76,,Offensive rebound by Team
6:33.0,Personal foul by L. Babbitt (drawn by U. Haslem),,92-76,,
6:33.0,,,92-77,1,U. Haslem makes free throw 1 of 2
6:33.0,,,92-78,1,U. Haslem makes free throw 2 of 2
6:10.0,E. Gordon misses 3-pt shot from 24 ft,,92-78,,
6:09.0,,,92-78,,Defensive rebound by U. Haslem
5:59.0,,,92-78,,D. Wade misses 2-pt shot from 3 ft
5:58.0,,,92-78,,Miami full timeout
5:58.0,,,92-78,,H. Whiteside enters the game for C. Andersen
5:56.0,Jump ball: L. Babbitt vs. U. Haslem (O. Asik gains possession),,,,Jump ball: L. Babbitt vs. U. Haslem (O. Asik gains possession)
5:56.0,Offensive rebound by Team,,92-78,,
5:39.0,O. Asik misses 2-pt shot from 4 ft (block by H. Whiteside),,92-78,,
5:37.0,,,92-78,,Defensive rebound by D. Wade
