time,Atlanta,pts.away,score,pts.home,Miami
4:12.0,,,34-25,,H. Whiteside misses 2-pt shot from 5 ft
4:11.0,,,34-25,,Offensive rebound by H. Whiteside
4:08.0,,,34-27,2,H. Whiteside makes 2-pt shot from 4 ft
3:47.0,J. Jenkins makes 3-pt shot from 25 ft (assist by D. Schroder),3,37-27,,
3:31.0,,,37-27,,H. Walker misses 2-pt shot from 2 ft
3:30.0,Defensive rebound by Team,,37-27,,
3:30.0,,,37-27,,Loose ball foul by H. Walker (drawn by P. Millsap)
3:14.0,Turnover by K. Bazemore (bad pass),,37-27,,
2:55.0,,,37-27,,Turnover by L. Deng (bad pass; steal by P. Millsap)
2:50.0,K. Bazemore makes 2-pt shot at rim (assist by P. Millsap),2,39-27,,
2:40.0,,,39-27,,H. Walker misses 2-pt shot from 1 ft (block by M. Muscala)
2:39.0,,,39-27,,Offensive rebound by H. Whiteside
2:38.0,,,39-29,2,H. Whiteside makes 2-pt shot from 1 ft
2:30.0,D. Schroder makes 2-pt shot from 18 ft,2,41-29,,
2:10.0,,,41-31,2,D. Wade makes 2-pt shot from 8 ft (assist by L. Deng)
1:59.0,Turnover by P. Millsap (bad pass),,41-31,,
1:59.0,K. Korver enters the game for J. Jenkins,,41-31,,
1:59.0,,,41-31,,M. Beasley enters the game for H. Walker
1:59.0,,,41-31,,G. Dragic enters the game for L. Deng
1:46.0,,,41-31,,Turnover by G. Dragic (traveling)
1:35.0,D. Schroder misses 2-pt shot from 3 ft,,41-31,,
1:34.0,Offensive rebound by D. Schroder,,41-31,,
1:24.0,Turnover by P. Millsap (lost ball; steal by D. Wade),,41-31,,
1:13.0,,,41-33,2,M. Beasley makes 2-pt shot from 13 ft
1:06.0,,,41-33,,Personal foul by M. Chalmers (drawn by K. Korver)
1:06.0,M. Scott enters the game for P. Millsap,,41-33,,
0:59.0,Turnover by K. Korver (bad pass; steal by D. Wade),,41-33,,
0:42.0,,,41-33,,Turnover by D. Wade (bad pass; steal by K. Korver)
0:33.0,D. Schroder makes 2-pt shot from 1 ft,2,43-33,,
0:15.0,,,43-33,,Turnover by M. Beasley (bad pass)
0:15.0,Atlanta full timeout,,43-33,,
0:15.0,P. Millsap enters the game for M. Muscala,,43-33,,
0:15.0,,,43-33,,U. Haslem enters the game for H. Whiteside
0:04.0,Turnover by P. Millsap (lost ball; steal by M. Chalmers),,43-33,,
0:01.0,,,43-33,,M. Chalmers misses 3-pt shot from 25 ft
0:00.0,,,43-33,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,,,43-33,,Offensive charge foul by H. Walker
11:48.0,,,43-33,,Turnover by H. Walker (offensive foul)
11:33.0,P. Millsap misses 2-pt shot from 2 ft,,43-33,,
11:32.0,Offensive rebound by E. Brand,,43-33,,
11:20.0,E. Brand makes 2-pt shot from 1 ft (assist by D. Schroder),2,45-33,,
10:56.0,,,45-33,,L. Deng misses 2-pt shot from 9 ft
10:55.0,Defensive rebound by P. Millsap,,45-33,,
10:46.0,D. Schroder misses 2-pt shot from 1 ft,,45-33,,
10:45.0,,,45-33,,Defensive rebound by H. Whiteside
10:29.0,Personal foul by K. Bazemore (drawn by H. Whiteside),,45-33,,
10:16.0,,,45-33,,L. Deng misses 3-pt shot from 23 ft
10:13.0,Defensive rebound by Team,,45-33,,
10:00.0,K. Korver misses 3-pt shot from 24 ft,,45-33,,
9:59.0,,,45-33,,Defensive rebound by H. Whiteside
9:44.0,,,45-33,,H. Walker misses 3-pt shot from 24 ft
9:43.0,Defensive rebound by K. Korver,,45-33,,
9:26.0,D. Schroder makes 3-pt shot from 24 ft (assist by P. Millsap),3,48-33,,
9:11.0,,,48-33,,Turnover by L. Deng (bad pass; steal by K. Bazemore)
9:07.0,K. Bazemore makes 2-pt shot at rim,2,50-33,,
9:05.0,,,50-33,,Miami full timeout
9:05.0,,,50-33,,Technical foul by L. Deng
9:05.0,K. Korver makes technical free throw,1,51-33,,
8:54.0,Personal foul by E. Brand (drawn by H. Whiteside),,51-33,,
8:48.0,,,51-36,3,H. Walker makes 3-pt shot from 23 ft (assist by G. Dragic)
8:31.0,E. Brand misses 2-pt shot from 12 ft,,51-36,,
8:31.0,,,51-36,,Defensive rebound by D. Wade
8:25.0,,,51-38,2,D. Wade makes 2-pt shot from 15 ft
8:08.0,P. Millsap makes 2-pt shot from 11 ft,2,53-38,,
7:54.0,,,53-40,2,D. Wade makes 2-pt shot from 8 ft
7:37.0,P. Millsap misses 2-pt shot from 4 ft,,53-40,,
7:36.0,,,53-40,,Defensive rebound by Team
7:25.0,Personal block foul by P. Millsap (drawn by G. Dragic),,53-40,,
7:17.0,,,53-42,2,G. Dragic makes 2-pt shot from 16 ft
6:59.0,Shooting foul by G. Dragic (drawn by D. Schroder),,53-42,,
6:59.0,D. Schroder makes free throw 1 of 2,1,54-42,,
6:59.0,D. Schroder makes free throw 2 of 2,1,55-42,,
6:44.0,,,55-42,,H. Walker misses 3-pt shot from 24 ft
6:43.0,,,55-42,,Offensive rebound by H. Whiteside
6:42.0,,,55-44,2,H. Whiteside makes 2-pt shot from 4 ft
6:42.0,,,55-44,,Shooting foul by K. Korver (drawn by H. Whiteside)
6:42.0,,,55-45,1,H. Whiteside makes free throw 1 of 1
6:28.0,D. Schroder misses 2-pt shot from 8 ft,,55-45,,
6:27.0,,,55-45,,Defensive rebound by H. Whiteside
6:19.0,Shooting block foul by K. Bazemore (drawn by H. Walker),,55-45,,
6:19.0,,,55-46,1,H. Walker makes free throw 1 of 2
6:19.0,J. Jenkins enters the game for K. Bazemore,,55-46,,
6:19.0,,,55-46,,M. Chalmers enters the game for G. Dragic
6:19.0,,,55-47,1,H. Walker makes free throw 2 of 2
5:57.0,P. Millsap misses 2-pt shot from 9 ft,,55-47,,
5:56.0,,,55-47,,Defensive rebound by D. Wade
5:46.0,,,55-47,,D. Wade misses 2-pt shot from 11 ft
5:45.0,Defensive rebound by K. Korver,,55-47,,
5:36.0,D. Schroder misses 2-pt shot from 17 ft,,55-47,,
5:35.0,,,55-47,,Defensive rebound by H. Whiteside
5:15.0,,,55-47,,H. Walker misses 3-pt shot from 25 ft
5:14.0,,,55-47,,Offensive rebound by L. Deng
4:53.0,,,55-47,,D. Wade misses 3-pt shot from 24 ft
4:52.0,Defensive rebound by K. Korver,,55-47,,
4:42.0,K. Korver misses 2-pt shot from 15 ft,,55-47,,
4:41.0,,,55-47,,Defensive rebound by H. Whiteside
4:29.0,,,55-47,,H. Walker misses 3-pt shot from 25 ft
4:28.0,Defensive rebound by E. Brand,,55-47,,
4:15.0,E. Brand misses 2-pt shot from 9 ft (block by H. Whiteside),,55-47,,
4:14.0,Offensive rebound by E. Brand,,55-47,,
4:12.0,Shooting foul by H. Whiteside (drawn by E. Brand),,55-47,,
4:12.0,E. Brand misses free throw 1 of 2,,55-47,,
4:12.0,Offensive rebound by Team,,55-47,,
4:12.0,S. Mack enters the game for D. Schroder,,55-47,,
4:12.0,,,55-47,,M. Beasley enters the game for L. Deng
4:12.0,,,55-47,,G. Dragic enters the game for D. Wade
4:12.0,E. Brand makes free throw 2 of 2,1,56-47,,
4:00.0,,,56-49,2,M. Chalmers makes 2-pt shot from 9 ft (assist by H. Walker)
3:45.0,S. Mack misses 2-pt shot from 3 ft,,56-49,,
3:44.0,,,56-49,,Defensive rebound by H. Whiteside
3:28.0,,,56-49,,M. Beasley misses 2-pt shot from 11 ft
3:27.0,Defensive rebound by P. Millsap,,56-49,,
3:16.0,P. Millsap misses 3-pt shot from 25 ft,,56-49,,
3:15.0,,,56-49,,Defensive rebound by H. Whiteside
3:07.0,,,56-49,,M. Chalmers misses 2-pt shot from 2 ft
3:06.0,Defensive rebound by K. Korver,,56-49,,
2:59.0,Shooting foul by H. Whiteside (drawn by P. Millsap),,56-49,,
2:59.0,Atlanta full timeout,,56-49,,
2:59.0,K. Bazemore enters the game for E. Brand,,56-49,,
2:59.0,M. Muscala enters the game for K. Korver,,56-49,,
2:59.0,,,56-49,,U. Haslem enters the game for H. Whiteside
2:59.0,P. Millsap makes free throw 1 of 2,1,57-49,,
2:59.0,P. Millsap makes free throw 2 of 2,1,58-49,,
2:42.0,,,58-49,,Turnover by G. Dragic (bad pass)
2:27.0,P. Millsap misses 2-pt shot from 15 ft,,58-49,,
2:26.0,Offensive rebound by M. Muscala,,58-49,,
2:23.0,M. Muscala makes 2-pt shot from 1 ft,2,60-49,,
2:01.0,,,60-49,,M. Beasley misses 2-pt shot from 14 ft
2:00.0,Defensive rebound by S. Mack,,60-49,,
1:58.0,Turnover by S. Mack (bad pass),,60-49,,
1:43.0,,,60-49,,M. Beasley misses 2-pt shot from 13 ft
1:42.0,,,60-49,,Offensive rebound by M. Beasley
1:38.0,,,60-51,2,M. Beasley makes 2-pt shot at rim
1:38.0,,,60-51,,Technical foul by M. Beasley
1:38.0,J. Jenkins makes technical free throw,1,61-51,,
1:27.0,S. Mack misses 3-pt shot from 25 ft,,61-51,,
1:26.0,,,61-51,,Defensive rebound by U. Haslem
1:17.0,,,61-53,2,M. Beasley makes 2-pt shot from 4 ft
1:02.0,Turnover by K. Bazemore (lost ball; steal by M. Chalmers),,61-53,,
0:57.0,,,61-53,,Turnover by H. Walker (bad pass)
0:57.0,K. Korver enters the game for K. Bazemore,,61-53,,
0:57.0,M. Scott enters the game for P. Millsap,,61-53,,
0:45.0,M. Muscala makes 2-pt shot from 12 ft (assist by M. Scott),2,63-53,,
0:45.0,Shooting foul by M. Beasley (drawn by M. Muscala),,63-53,,
0:45.0,,,63-53,,L. Deng enters the game for H. Walker
0:45.0,M. Muscala makes free throw 1 of 1,1,64-53,,
0:39.0,,,64-53,,Turnover by M. Chalmers (step out of bounds)
0:31.0,S. Mack misses 2-pt shot from 2 ft (block by M. Chalmers),,64-53,,
0:30.0,,,64-53,,Defensive rebound by U. Haslem
0:23.0,,,64-53,,L. Deng misses 3-pt shot from 24 ft
0:22.0,Defensive rebound by K. Korver,,64-53,,
0:03.0,Turnover by S. Mack (bad pass; steal by G. Dragic),,64-53,,
0:00.0,,,64-53,,G. Dragic misses 2-pt shot from 2 ft
0:00.0,,,64-53,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:41.0,S. Mack misses 3-pt shot from 24 ft,,64-53,,
11:40.0,,,64-53,,Defensive rebound by G. Dragic
11:21.0,,,64-53,,Shooting foul by K. Korver (drawn by U. Haslem)
11:21.0,,,64-54,1,U. Haslem makes free throw 1 of 2
11:21.0,,,64-55,1,U. Haslem makes free throw 2 of 2
11:07.0,J. Jenkins misses 2-pt shot from 20 ft,,64-55,,
11:06.0,,,64-55,,Defensive rebound by G. Dragic
10:58.0,,,64-57,2,M. Chalmers makes 2-pt shot from 12 ft (assist by G. Dragic)
10:44.0,Shooting foul by M. Chalmers (drawn by M. Scott),,64-57,,
10:44.0,M. Scott misses free throw 1 of 2,,64-57,,
10:44.0,Offensive rebound by Team,,64-57,,
10:44.0,K. Bazemore enters the game for J. Jenkins,,64-57,,
10:44.0,D. Schroder enters the game for S. Mack,,64-57,,
10:44.0,M. Scott makes free throw 2 of 2,1,65-57,,
10:26.0,,,65-60,3,L. Deng makes 3-pt shot from 24 ft (assist by M. Chalmers)
10:12.0,M. Scott misses 3-pt shot from 25 ft,,65-60,,
10:11.0,Offensive rebound by Team,,65-60,,
10:11.0,P. Millsap enters the game for M. Muscala,,65-60,,
10:02.0,Turnover by D. Schroder (bad pass; steal by M. Beasley),,65-60,,
9:58.0,,,65-60,,Shooting foul by K. Korver (drawn by G. Dragic)
9:58.0,,,65-61,1,G. Dragic makes free throw 1 of 2
9:58.0,,,65-62,1,G. Dragic makes free throw 2 of 2
9:43.0,M. Scott makes 2-pt shot from 7 ft (assist by D. Schroder),2,67-62,,
9:27.0,,,67-62,,Turnover by G. Dragic (bad pass; steal by D. Schroder)
9:24.0,,,67-62,,Violation by M. Beasley (def goaltending)
9:24.0,P. Millsap makes 2-pt shot from 1 ft,2,69-62,,
9:15.0,Personal foul by M. Scott (drawn by M. Beasley),,69-62,,
9:07.0,,,69-62,,M. Chalmers misses 2-pt shot from 1 ft
9:06.0,,,69-62,,Offensive rebound by U. Haslem
9:05.0,,,69-64,2,U. Haslem makes 2-pt shot at rim
8:49.0,Shooting foul by M. Beasley (drawn by K. Bazemore),,69-64,,
8:49.0,Official timeout,,69-64,,
8:49.0,E. Brand enters the game for M. Scott,,69-64,,
8:49.0,K. Bazemore misses free throw 1 of 2,,69-64,,
8:49.0,Offensive rebound by Team,,69-64,,
8:49.0,K. Bazemore makes free throw 2 of 2,1,70-64,,
8:43.0,,,70-66,2,M. Chalmers makes 2-pt shot from 1 ft (assist by G. Dragic)
8:24.0,K. Bazemore misses 2-pt shot from 15 ft,,70-66,,
8:23.0,,,70-66,,Defensive rebound by M. Beasley
8:04.0,,,70-66,,Turnover by M. Chalmers (bad pass; steal by P. Millsap)
7:59.0,D. Schroder makes 2-pt shot at rim (assist by K. Bazemore),2,72-66,,
7:32.0,,,72-68,2,G. Dragic makes 2-pt shot from 17 ft
7:19.0,K. Korver makes 3-pt shot from 24 ft (assist by D. Schroder),3,75-68,,
6:58.0,,,75-68,,M. Beasley misses 2-pt shot from 18 ft
6:57.0,Defensive rebound by E. Brand,,75-68,,
6:40.0,K. Bazemore misses 3-pt shot from 24 ft,,75-68,,
6:38.0,,,75-68,,Defensive rebound by L. Deng
6:29.0,,,75-68,,Miami full timeout
6:29.0,,,75-68,,H. Whiteside enters the game for G. Dragic
6:29.0,,,75-68,,D. Wade enters the game for U. Haslem
6:21.0,,,75-68,,Shooting foul by E. Brand (drawn by M. Chalmers)
6:21.0,,,75-69,1,M. Chalmers makes free throw 1 of 2
6:21.0,,,75-70,1,M. Chalmers makes free throw 2 of 2
6:01.0,K. Bazemore makes 2-pt shot from 8 ft (assist by D. Schroder),2,77-70,,
5:38.0,,,77-70,,Turnover by L. Deng (bad pass; steal by D. Schroder)
5:30.0,K. Korver misses 3-pt shot from 25 ft,,77-70,,
5:29.0,,,77-70,,Defensive rebound by H. Whiteside
5:23.0,,,77-72,2,D. Wade makes 2-pt shot from 7 ft (assist by M. Chalmers)
5:04.0,Shooting foul by M. Beasley (drawn by D. Schroder),,77-72,,
5:04.0,D. Schroder makes free throw 1 of 2,1,78-72,,
5:04.0,,,78-72,,H. Walker enters the game for M. Beasley
5:04.0,,,78-72,,G. Dragic enters the game for M. Chalmers
5:04.0,D. Schroder makes free throw 2 of 2,1,79-72,,
4:49.0,Shooting block foul by K. Bazemore (drawn by L. Deng),,79-72,,
4:49.0,,,79-73,1,L. Deng makes free throw 1 of 2
4:49.0,,,79-74,1,L. Deng makes free throw 2 of 2
4:40.0,Turnover by K. Bazemore (traveling),,79-74,,
4:26.0,,,79-74,,H. Walker misses 3-pt shot from 24 ft
4:25.0,Defensive rebound by K. Korver,,79-74,,
4:12.0,D. Schroder makes 2-pt shot from 1 ft (assist by P. Millsap),2,81-74,,
3:50.0,,,81-74,,Turnover by H. Whiteside (bad pass; steal by K. Bazemore)
3:40.0,P. Millsap makes 3-pt shot from 23 ft (assist by D. Schroder),3,84-74,,
3:20.0,Personal foul by K. Korver (drawn by D. Wade),,84-74,,
3:20.0,,,84-75,1,D. Wade makes free throw 1 of 2
3:20.0,,,84-75,,M. Beasley enters the game for H. Walker
3:20.0,,,84-75,,M. Chalmers enters the game for G. Dragic
3:20.0,,,84-76,1,D. Wade makes free throw 2 of 2
2:57.0,D. Schroder misses 2-pt shot from 1 ft (block by H. Whiteside),,84-76,,
2:56.0,Offensive rebound by D. Schroder,,84-76,,
2:53.0,K. Bazemore misses 2-pt shot from 19 ft,,84-76,,
