time,Dallas,pts.away,score,pts.home,Denver
8:05.0,,,9-7,,J. Nurkic misses 2-pt shot from 4 ft
8:03.0,Defensive rebound by R. Felton,,9-7,,
7:56.0,M. Ellis misses 3-pt shot from 23 ft,,9-7,,
7:54.0,,,9-7,,Defensive rebound by K. Faried
7:45.0,,,9-7,,Turnover by A. Afflalo (step out of bounds)
7:19.0,R. Felton misses 2-pt shot from 20 ft,,9-7,,
7:18.0,,,9-7,,Defensive rebound by W. Chandler
7:08.0,,,9-7,,W. Chandler misses 3-pt shot from 26 ft
7:07.0,Defensive rebound by G. Smith,,9-7,,
6:56.0,Turnover by C. Parsons (bad pass; steal by J. Nurkic),,9-7,,
6:52.0,,,9-9,2,T. Lawson makes 2-pt shot from 1 ft
6:52.0,Dallas full timeout,,9-9,,
6:52.0,,,9-9,,J. Hickson enters the game for K. Faried
6:39.0,M. Ellis makes 2-pt shot from 18 ft,2,11-9,,
6:22.0,,,11-12,3,A. Afflalo makes 3-pt shot from 25 ft (assist by J. Nurkic)
6:04.0,C. Parsons misses 3-pt shot from 24 ft,,11-12,,
6:03.0,,,11-12,,Defensive rebound by J. Hickson
5:51.0,,,11-15,3,A. Afflalo makes 3-pt shot from 25 ft (assist by T. Lawson)
5:38.0,R. Jefferson misses 3-pt shot from 24 ft,,11-15,,
5:36.0,,,11-15,,Defensive rebound by W. Chandler
5:22.0,,,11-17,2,J. Hickson makes 2-pt shot from 2 ft (assist by T. Lawson)
5:03.0,Turnover by M. Ellis (traveling),,11-17,,
5:03.0,D. Harris enters the game for C. Parsons,,11-17,,
5:03.0,C. Villanueva enters the game for R. Felton,,11-17,,
4:50.0,,,11-17,,Turnover by J. Nurkic (lost ball; steal by D. Harris)
4:45.0,R. Jefferson makes 2-pt shot at rim (assist by D. Harris),2,13-17,,
4:23.0,,,13-17,,J. Nurkic misses 2-pt shot from 3 ft
4:22.0,,,13-17,,Offensive rebound by J. Hickson
4:19.0,,,13-19,2,J. Nurkic makes 2-pt shot from 1 ft (assist by J. Hickson)
4:05.0,M. Ellis misses 2-pt shot from 15 ft,,13-19,,
4:04.0,,,13-19,,Defensive rebound by J. Nurkic
3:53.0,,,13-19,,T. Lawson misses 3-pt shot from 23 ft
3:51.0,Defensive rebound by C. Villanueva,,13-19,,
3:44.0,C. Villanueva misses 3-pt shot from 24 ft,,13-19,,
3:42.0,Offensive rebound by Team,,13-19,,
3:42.0,D. Powell enters the game for G. Smith,,13-19,,
3:42.0,,,13-19,,D. Arthur enters the game for J. Nurkic
3:32.0,Turnover by C. Villanueva (lost ball; steal by A. Afflalo),,13-19,,
3:27.0,,,13-21,2,W. Chandler makes 2-pt shot from 2 ft (assist by A. Afflalo)
3:08.0,D. Harris makes 2-pt shot from 1 ft,2,15-21,,
2:58.0,,,15-21,,Shooting foul by D. Powell (drawn by T. Lawson)
2:58.0,,,15-21,,Denver full timeout
2:58.0,A. Aminu enters the game for R. Jefferson,,15-21,,
2:58.0,J. Barea enters the game for M. Ellis,,15-21,,
2:58.0,,,15-21,,T. Lawson misses free throw 1 of 2
2:58.0,,,15-21,,Offensive rebound by Team
2:58.0,,,15-22,1,T. Lawson makes free throw 2 of 2
2:45.0,D. Powell makes 2-pt shot from 15 ft (assist by J. Barea),2,17-22,,
2:35.0,,,17-22,,Turnover by J. Hickson (offensive foul)
2:35.0,,,17-22,,Offensive foul by J. Hickson
2:23.0,D. Harris makes 2-pt shot from 2 ft,2,19-22,,
2:10.0,,,19-24,2,A. Afflalo makes 2-pt shot from 14 ft (assist by T. Lawson)
1:57.0,Shooting foul by D. Arthur (drawn by C. Villanueva),,19-24,,
1:57.0,C. Villanueva makes 2-pt shot from 2 ft (assist by D. Harris),2,21-24,,
1:57.0,,,21-24,,A. Gee enters the game for W. Chandler
1:57.0,C. Villanueva makes free throw 1 of 1,1,22-24,,
1:42.0,,,22-24,,A. Gee misses 2-pt shot from 17 ft
1:40.0,Defensive rebound by D. Harris,,22-24,,
1:28.0,Turnover by J. Barea (lost ball; steal by A. Afflalo),,22-24,,
1:16.0,,,22-24,,Turnover by T. Lawson (lost ball; steal by C. Villanueva)
1:08.0,J. Barea makes 2-pt shot from 2 ft (assist by A. Aminu),2,24-24,,
1:04.0,,,24-24,,Denver full timeout
0:58.0,,,24-24,,Shooting foul by C. Villanueva (drawn by D. Arthur)
0:58.0,,,24-25,1,D. Arthur makes free throw 1 of 2
0:58.0,,,24-26,1,D. Arthur makes free throw 2 of 2
0:36.0,D. Harris misses 3-pt shot from 26 ft,,24-26,,
0:34.0,,,24-26,,Defensive rebound by T. Lawson
0:30.0,Personal foul by D. Harris (drawn by A. Afflalo),,24-26,,
0:30.0,,,24-27,1,A. Afflalo makes free throw 1 of 2
0:30.0,,,24-28,1,A. Afflalo makes free throw 2 of 2
0:10.0,J. Barea misses 2-pt shot from 8 ft,,24-28,,
0:08.0,Offensive rebound by A. Aminu,,24-28,,
0:08.0,A. Aminu misses 2-pt shot from 5 ft (block by D. Arthur),,24-28,,
0:07.0,Offensive rebound by Team,,24-28,,
0:02.0,D. Harris misses 2-pt shot from 13 ft,,24-28,,
0:00.0,Offensive rebound by A. Aminu,,24-28,,
0:00.0,A. Aminu misses 2-pt shot at rim,,24-28,,
0:00.0,Offensive rebound by Team,,24-28,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:34.0,,,24-30,2,W. Chandler makes 2-pt shot from 19 ft (assist by A. Gee)
11:12.0,D. Harris makes 2-pt shot from 1 ft (assist by C. Villanueva),2,26-30,,
11:05.0,,,26-30,,W. Chandler misses 2-pt shot from 1 ft
11:03.0,,,26-30,,Offensive rebound by W. Chandler
11:03.0,,,26-32,2,W. Chandler makes 2-pt shot from 1 ft
10:48.0,J. Barea makes 2-pt shot from 1 ft,2,28-32,,
10:37.0,,,28-34,2,T. Lawson makes 2-pt shot from 18 ft
10:23.0,,,28-34,,Personal foul by W. Chandler (drawn by D. Powell)
10:23.0,,,28-34,,K. Faried enters the game for J. Hickson
10:13.0,Turnover by J. Barea (lost ball; steal by A. Gee),,28-34,,
10:07.0,,,28-36,2,T. Lawson makes 2-pt shot at rim
9:51.0,A. Aminu makes 2-pt shot from 4 ft (assist by J. Barea),2,30-36,,
9:30.0,,,30-36,,T. Lawson misses 3-pt shot from 25 ft
9:29.0,Defensive rebound by C. Villanueva,,30-36,,
9:21.0,A. Aminu makes 3-pt shot from 24 ft (assist by D. Harris),3,33-36,,
9:06.0,,,33-36,,D. Arthur misses 2-pt shot from 5 ft (block by D. Powell)
9:04.0,Defensive rebound by D. Powell,,33-36,,
8:56.0,D. Powell makes 2-pt shot at rim (assist by J. Barea),2,35-36,,
8:56.0,,,35-36,,Denver full timeout
8:56.0,,,35-36,,A. Afflalo enters the game for D. Arthur
8:41.0,,,35-36,,A. Afflalo misses 3-pt shot from 24 ft
8:40.0,Defensive rebound by Team,,35-36,,
8:23.0,C. Villanueva misses 3-pt shot from 24 ft,,35-36,,
8:21.0,,,35-36,,Defensive rebound by K. Faried
8:08.0,,,35-38,2,K. Faried makes 2-pt shot from 4 ft (assist by W. Chandler)
7:56.0,J. Barea misses 3-pt shot from 26 ft,,35-38,,
7:54.0,,,35-38,,Defensive rebound by K. Faried
7:46.0,,,35-40,2,A. Gee makes 2-pt shot at rim
7:46.0,Dallas full timeout,,35-40,,
7:46.0,C. Parsons enters the game for D. Harris,,35-40,,
7:46.0,G. Smith enters the game for C. Villanueva,,35-40,,
7:46.0,M. Ellis enters the game for D. Powell,,35-40,,
7:46.0,,,35-40,,E. Green enters the game for T. Lawson
7:23.0,J. Barea makes 2-pt shot from 2 ft,2,37-40,,
7:09.0,,,37-42,2,E. Green makes 2-pt shot from 17 ft (assist by A. Afflalo)
7:02.0,J. Barea misses 2-pt shot from 3 ft,,37-42,,
7:01.0,,,37-42,,Defensive rebound by K. Faried
7:01.0,Personal foul by C. Parsons (drawn by K. Faried),,37-42,,
7:01.0,R. Felton enters the game for J. Barea,,37-42,,
6:52.0,,,37-42,,Offensive foul by W. Chandler
6:52.0,,,37-42,,Turnover by W. Chandler (offensive foul)
6:42.0,A. Aminu makes 2-pt shot from 1 ft (assist by C. Parsons),2,39-42,,
6:42.0,Shooting foul by A. Gee (drawn by A. Aminu),,39-42,,
6:42.0,A. Aminu makes free throw 1 of 1,1,40-42,,
6:26.0,,,40-42,,W. Chandler misses 2-pt shot from 19 ft
6:25.0,,,40-42,,Offensive rebound by K. Faried
6:24.0,,,40-44,2,K. Faried makes 2-pt shot from 3 ft
6:24.0,,,40-44,,Shooting foul by G. Smith (drawn by K. Faried)
6:24.0,,,40-44,,T. Lawson enters the game for E. Green
6:24.0,,,40-44,,J. Nurkic enters the game for A. Gee
6:24.0,,,40-45,1,K. Faried makes free throw 1 of 1
6:08.0,A. Aminu misses 3-pt shot from 24 ft,,40-45,,
6:07.0,,,40-45,,Defensive rebound by A. Afflalo
5:53.0,Personal foul by A. Aminu (drawn by K. Faried),,40-45,,
5:45.0,,,40-45,,Turnover by T. Lawson (bad pass; steal by A. Aminu)
5:36.0,M. Ellis misses 2-pt shot from 2 ft,,40-45,,
5:35.0,,,40-45,,Defensive rebound by K. Faried
5:30.0,,,40-45,,Turnover by T. Lawson (lost ball; steal by M. Ellis)
5:24.0,C. Parsons makes 2-pt shot at rim (assist by A. Aminu),2,42-45,,
5:00.0,,,42-45,,W. Chandler misses 3-pt shot from 24 ft
4:58.0,Defensive rebound by M. Ellis,,42-45,,
4:37.0,C. Parsons misses 3-pt shot from 25 ft,,42-45,,
4:35.0,,,42-45,,Defensive rebound by J. Nurkic
4:27.0,,,42-47,2,K. Faried makes 2-pt shot from 1 ft (assist by A. Afflalo)
4:02.0,Shooting foul by J. Nurkic (drawn by G. Smith),,42-47,,
4:02.0,G. Smith misses free throw 1 of 2,,42-47,,
4:02.0,Offensive rebound by Team,,42-47,,
4:02.0,G. Smith makes free throw 2 of 2,1,43-47,,
3:38.0,,,43-47,,A. Afflalo misses 2-pt shot from 7 ft
3:36.0,Defensive rebound by M. Ellis,,43-47,,
3:30.0,M. Ellis misses 2-pt shot at rim,,43-47,,
3:29.0,,,43-47,,Defensive rebound by A. Afflalo
3:25.0,,,43-47,,A. Afflalo misses 2-pt shot from 2 ft (block by G. Smith)
3:23.0,Defensive rebound by G. Smith,,43-47,,
3:18.0,C. Parsons misses 2-pt shot from 1 ft,,43-47,,
3:16.0,,,43-47,,Defensive rebound by J. Nurkic
3:12.0,,,43-47,,T. Lawson misses 2-pt shot from 4 ft
3:11.0,,,43-47,,Offensive rebound by T. Lawson
3:10.0,,,43-47,,Shooting foul by A. Aminu (drawn by T. Lawson)
3:10.0,,,43-47,,T. Lawson misses free throw 1 of 2
3:10.0,,,43-47,,Offensive rebound by Team
3:10.0,,,43-47,,J. Hickson enters the game for K. Faried
3:10.0,R. Jefferson enters the game for A. Aminu,,43-47,,
3:10.0,,,43-48,1,T. Lawson makes free throw 2 of 2
2:56.0,M. Ellis misses 2-pt shot from 2 ft,,43-48,,
2:55.0,Offensive rebound by Team,,43-48,,
2:55.0,,,43-48,,Loose ball foul by A. Afflalo (drawn by G. Smith)
2:55.0,Official timeout,,43-48,,
2:55.0,D. Powell enters the game for G. Smith,,43-48,,
2:42.0,R. Felton misses 2-pt shot from 17 ft,,43-48,,
2:40.0,Offensive rebound by R. Jefferson,,43-48,,
2:31.0,M. Ellis misses 3-pt shot from 24 ft,,43-48,,
2:29.0,,,43-48,,Defensive rebound by J. Nurkic
2:10.0,,,43-50,2,W. Chandler makes 2-pt shot from 2 ft (assist by T. Lawson)
1:56.0,Turnover by M. Ellis (lost ball; steal by A. Afflalo),,43-50,,
1:47.0,,,43-52,2,J. Hickson makes 2-pt shot from 5 ft (assist by T. Lawson)
1:40.0,Dallas full timeout,,43-52,,
1:32.0,D. Powell makes 2-pt shot from 15 ft (assist by R. Felton),2,45-52,,
1:16.0,,,45-52,,Shooting foul by D. Powell (drawn by J. Hickson)
1:16.0,,,45-54,2,J. Hickson makes 2-pt shot at rim (assist by W. Chandler)
1:16.0,,,45-55,1,J. Hickson makes free throw 1 of 1
1:00.0,,,45-55,,Personal block foul by A. Afflalo (drawn by M. Ellis)
1:00.0,M. Ellis makes free throw 1 of 2,1,46-55,,
1:00.0,,,46-55,,G. Harris enters the game for A. Afflalo
1:00.0,M. Ellis makes free throw 2 of 2,1,47-55,,
0:53.0,,,47-55,,J. Hickson misses 2-pt shot from 2 ft (block by R. Jefferson)
0:52.0,,,47-55,,Offensive rebound by Team
0:51.0,,,47-57,2,J. Hickson makes 2-pt shot at rim (assist by W. Chandler)
0:44.0,,,47-57,,Personal foul by J. Nurkic (drawn by M. Ellis)
0:44.0,M. Ellis misses free throw 1 of 2,,47-57,,
0:44.0,Offensive rebound by Team,,47-57,,
0:44.0,M. Ellis makes free throw 2 of 2,1,48-57,,
0:38.0,,,48-57,,Shooting foul by M. Ellis (drawn by T. Lawson)
0:38.0,,,48-58,1,T. Lawson makes free throw 1 of 2
0:38.0,,,48-59,1,T. Lawson makes free throw 2 of 2
0:27.0,R. Felton makes 2-pt shot from 4 ft,2,50-59,,
0:07.0,,,50-59,,T. Lawson misses 2-pt shot from 21 ft
0:06.0,,,50-59,,Offensive rebound by J. Hickson
0:04.0,,,50-59,,J. Hickson misses 2-pt shot from 2 ft
0:03.0,,,50-59,,Offensive rebound by J. Nurkic
0:02.0,,,50-59,,J. Nurkic misses 2-pt shot from 2 ft
0:01.0,Defensive rebound by R. Felton,,50-59,,
0:00.0,R. Felton misses 3-pt shot from 51 ft,,50-59,,
0:00.0,Offensive rebound by Team,,50-59,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,,,50-61,2,K. Faried makes 2-pt shot from 3 ft
11:17.0,R. Jefferson makes 2-pt shot from 17 ft (assist by C. Parsons),2,52-61,,
10:57.0,,,52-61,,Turnover by K. Faried (offensive foul)
10:57.0,,,52-61,,Loose ball foul by K. Faried (drawn by C. Parsons)
10:45.0,R. Jefferson misses 3-pt shot from 23 ft,,52-61,,
10:44.0,,,52-61,,Defensive rebound by K. Faried
10:38.0,,,52-61,,W. Chandler misses 3-pt shot from 24 ft
10:36.0,Defensive rebound by M. Ellis,,52-61,,
10:28.0,C. Parsons makes 3-pt shot from 24 ft (assist by R. Felton),3,55-61,,
10:10.0,,,55-61,,A. Afflalo misses 2-pt shot from 8 ft (block by R. Felton)
10:10.0,Defensive rebound by M. Ellis,,55-61,,
10:10.0,,,55-61,,Personal foul by A. Afflalo (drawn by M. Ellis)
10:10.0,,,55-61,,G. Harris enters the game for A. Afflalo
9:59.0,,,55-61,,Personal foul by W. Chandler (drawn by C. Parsons)
9:52.0,M. Ellis misses 2-pt shot from 16 ft,,55-61,,
9:50.0,,,55-61,,Defensive rebound by T. Lawson
9:34.0,,,55-64,3,W. Chandler makes 3-pt shot from 26 ft (assist by T. Lawson)
9:19.0,,,55-64,,Personal foul by G. Harris (drawn by M. Ellis)
9:08.0,R. Felton misses 2-pt shot from 20 ft,,55-64,,
9:07.0,,,55-64,,Defensive rebound by W. Chandler
8:56.0,,,55-66,2,T. Lawson makes 2-pt shot from 8 ft (assist by W. Chandler)
8:46.0,C. Parsons misses 3-pt shot from 24 ft,,55-66,,
8:45.0,,,55-66,,Defensive rebound by J. Nurkic
8:34.0,,,55-68,2,T. Lawson makes 2-pt shot from 20 ft
8:31.0,Dallas full timeout,,55-68,,
8:31.0,D. Powell enters the game for G. Smith,,55-68,,
8:21.0,M. Ellis misses 2-pt shot from 10 ft,,55-68,,
8:20.0,Offensive rebound by C. Parsons,,55-68,,
8:15.0,Turnover by M. Ellis (lost ball),,55-68,,
8:04.0,,,55-68,,Shooting foul by D. Powell (drawn by K. Faried)
8:04.0,,,55-69,1,K. Faried makes free throw 1 of 2
8:04.0,,,55-70,1,K. Faried makes free throw 2 of 2
7:51.0,M. Ellis misses 2-pt shot from 2 ft,,55-70,,
7:50.0,,,55-70,,Defensive rebound by W. Chandler
7:33.0,,,55-70,,K. Faried misses 2-pt shot from 2 ft
7:32.0,,,55-70,,Offensive rebound by J. Nurkic
7:32.0,,,55-72,2,J. Nurkic makes 2-pt shot from 1 ft
7:19.0,C. Parsons misses 2-pt shot from 4 ft (block by G. Harris),,55-72,,
7:18.0,Offensive rebound by Team,,55-72,,
7:18.0,D. Harris enters the game for M. Ellis,,55-72,,
7:18.0,C. Villanueva enters the game for C. Parsons,,55-72,,
7:11.0,C. Villanueva misses 3-pt shot from 24 ft,,55-72,,
7:10.0,,,55-72,,Defensive rebound by J. Nurkic
7:08.0,Personal foul by R. Jefferson (drawn by K. Faried),,55-72,,
7:01.0,,,55-72,,G. Harris misses 3-pt shot from 23 ft
6:59.0,Defensive rebound by D. Harris,,55-72,,
6:52.0,R. Jefferson misses 2-pt shot from 22 ft,,55-72,,
6:50.0,,,55-72,,Defensive rebound by W. Chandler
6:45.0,,,55-74,2,K. Faried makes 2-pt shot from 1 ft (assist by W. Chandler)
6:35.0,R. Felton misses 2-pt shot from 1 ft,,55-74,,
6:34.0,Offensive rebound by D. Powell,,55-74,,
6:16.0,D. Powell makes 2-pt shot from 1 ft (assist by R. Jefferson),2,57-74,,
5:55.0,,,57-76,2,T. Lawson makes 2-pt shot from 16 ft
5:44.0,R. Felton misses 2-pt shot from 2 ft,,57-76,,
5:43.0,,,57-76,,Defensive rebound by G. Harris
5:37.0,,,57-76,,T. Lawson misses 3-pt shot from 23 ft
5:36.0,Defensive rebound by R. Jefferson,,57-76,,
5:23.0,D. Powell makes 2-pt shot from 18 ft,2,59-76,,
5:06.0,J. Barea enters the game for R. Felton,,59-76,,
5:06.0,,,59-76,,D. Arthur enters the game for K. Faried
4:56.0,,,59-78,2,T. Lawson makes 2-pt shot from 17 ft
4:47.0,,,59-78,,Personal foul by J. Nurkic (drawn by J. Barea)
4:47.0,J. Barea makes free throw 1 of 2,1,60-78,,
4:47.0,J. Barea makes free throw 2 of 2,1,61-78,,
4:34.0,,,61-78,,J. Nurkic misses 2-pt shot from 2 ft
4:32.0,Defensive rebound by C. Villanueva,,61-78,,
4:29.0,J. Barea misses 2-pt shot from 1 ft,,61-78,,
4:28.0,Offensive rebound by D. Powell,,61-78,,
4:27.0,Shooting foul by G. Harris (drawn by D. Powell),,61-78,,
4:27.0,D. Powell misses free throw 1 of 2,,61-78,,
4:27.0,Offensive rebound by Team,,61-78,,
4:27.0,A. Aminu enters the game for R. Jefferson,,61-78,,
4:27.0,,,61-78,,J. Hickson enters the game for J. Nurkic
4:27.0,D. Powell makes free throw 2 of 2,1,62-78,,
4:15.0,,,62-78,,G. Harris misses 3-pt shot from 23 ft
4:13.0,Defensive rebound by C. Villanueva,,62-78,,
3:52.0,J. Barea makes 3-pt shot from 22 ft (assist by D. Powell),3,65-78,,
3:32.0,,,65-78,,A. Gee enters the game for W. Chandler
3:27.0,,,65-78,,T. Lawson misses 2-pt shot from 20 ft
3:25.0,Defensive rebound by A. Aminu,,65-78,,
3:12.0,C. Villanueva makes 2-pt shot from 15 ft (assist by D. Powell),2,67-78,,
2:59.0,,,67-78,,Shooting foul by D. Harris (drawn by G. Harris)
2:59.0,,,67-78,,Denver full timeout
2:59.0,,,67-78,,G. Harris misses free throw 1 of 2
2:59.0,,,67-78,,Offensive rebound by Team
2:59.0,Violation by A. Aminu (lane),,67-78,,
2:59.0,,,67-79,1,G. Harris makes free throw 2 of 2
2:46.0,D. Harris makes 2-pt shot from 2 ft,2,69-79,,
2:27.0,,,69-79,,D. Arthur misses 3-pt shot from 25 ft
2:25.0,Defensive rebound by A. Aminu,,69-79,,
2:16.0,D. Powell misses 2-pt shot from 3 ft (block by J. Hickson),,69-79,,
2:14.0,Offensive rebound by J. Barea,,69-79,,
2:14.0,J. Barea makes 2-pt shot at rim,2,71-79,,
2:01.0,,,71-81,2,D. Arthur makes 2-pt shot from 1 ft (assist by T. Lawson)
1:48.0,J. Barea misses 3-pt shot from 25 ft,,71-81,,
1:46.0,,,71-81,,Defensive rebound by J. Hickson
1:34.0,,,71-83,2,J. Hickson makes 2-pt shot at rim (assist by T. Lawson)
1:17.0,,,71-83,,Shooting block foul by G. Harris (drawn by D. Harris)
1:17.0,D. Harris makes free throw 1 of 2,1,72-83,,
1:17.0,D. Harris makes free throw 2 of 2,1,73-83,,
1:00.0,,,73-85,2,T. Lawson makes 2-pt shot from 14 ft
0:50.0,Shooting foul by A. Gee (drawn by J. Barea),,73-85,,
0:50.0,J. Barea makes free throw 1 of 2,1,74-85,,
0:50.0,J. Barea makes free throw 2 of 2,1,75-85,,
0:38.0,,,75-87,2,D. Arthur makes 2-pt shot from 17 ft (assist by T. Lawson)
0:31.0,D. Harris misses 3-pt shot from 25 ft,,75-87,,
0:29.0,,,75-87,,Defensive rebound by T. Lawson
0:09.0,,,75-90,3,A. Gee makes 3-pt shot from 25 ft (assist by T. Lawson)
0:00.0,C. Villanueva makes 3-pt shot from 27 ft (assist by J. Barea),3,78-90,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,C. Villanueva makes 3-pt shot from 26 ft (assist by R. Felton),3,81-90,,
11:23.0,,,81-90,,K. Faried misses 2-pt shot from 2 ft
11:22.0,,,81-90,,Offensive rebound by J. Hickson
11:21.0,,,81-92,2,J. Hickson makes 2-pt shot from 2 ft
11:05.0,J. Barea misses 2-pt shot from 1 ft,,81-92,,
11:04.0,,,81-92,,Defensive rebound by J. Hickson
10:57.0,,,81-92,,Turnover by J. Hickson (traveling)
10:35.0,D. Harris misses 2-pt shot from 3 ft,,81-92,,
10:34.0,,,81-92,,Defensive rebound by J. Hickson
10:21.0,,,81-94,2,T. Lawson makes 2-pt shot from 18 ft
10:05.0,,,81-94,,Personal foul by T. Lawson (drawn by D. Powell)
9:56.0,Turnover by D. Powell (lost ball; steal by A. Gee),,81-94,,
9:52.0,,,81-94,,Shooting foul by C. Villanueva (drawn by D. Arthur)
9:52.0,,,81-95,1,D. Arthur makes free throw 1 of 2
9:52.0,A. Aminu enters the game for C. Villanueva,,81-95,,
9:52.0,,,81-95,,E. Green enters the game for T. Lawson
9:52.0,R. Jefferson enters the game for D. Harris,,81-95,,
9:52.0,,,81-96,1,D. Arthur makes free throw 2 of 2
9:43.0,,,81-96,,Personal foul by A. Gee (drawn by D. Powell)
9:29.0,,,81-96,,Personal foul by D. Arthur (drawn by R. Jefferson)
9:29.0,,,81-96,,Personal foul by E. Green (drawn by D. Powell)
9:16.0,J. Barea misses 3-pt shot from 25 ft,,81-96,,
9:15.0,Offensive rebound by D. Powell,,81-96,,
9:10.0,R. Felton misses 3-pt shot from 25 ft,,81-96,,
9:09.0,,,81-96,,Defensive rebound by K. Faried
8:52.0,Personal foul by D. Powell (drawn by K. Faried),,81-96,,
8:52.0,Official timeout,,81-96,,
8:52.0,C. Parsons enters the game for D. Powell,,81-96,,
8:52.0,,,81-96,,A. Afflalo enters the game for D. Arthur
8:52.0,,,81-96,,W. Chandler enters the game for A. Gee
8:41.0,,,81-96,,A. Afflalo misses 3-pt shot from 23 ft
8:39.0,Defensive rebound by A. Aminu,,81-96,,
8:23.0,R. Jefferson makes 3-pt shot from 24 ft (assist by R. Felton),3,84-96,,
8:06.0,,,84-96,,Turnover by E. Green (bad pass; steal by A. Aminu)
8:01.0,A. Aminu makes 2-pt shot at rim (assist by J. Barea),2,86-96,,
7:37.0,,,86-96,,W. Chandler misses 2-pt shot from 18 ft
7:37.0,,,86-96,,Offensive rebound by Team
7:37.0,Loose ball foul by R. Jefferson (drawn by K. Faried),,86-96,,
7:37.0,,,86-96,,T. Lawson enters the game for E. Green
7:37.0,D. Harris enters the game for J. Barea,,86-96,,
7:28.0,,,86-96,,J. Hickson misses 2-pt shot from 1 ft (block by A. Aminu)
7:26.0,,,86-96,,Offensive rebound by K. Faried
7:26.0,,,86-96,,K. Faried misses 2-pt shot from 2 ft
7:23.0,Defensive rebound by R. Felton,,86-96,,
7:11.0,D. Harris misses 3-pt shot from 24 ft,,86-96,,
7:10.0,,,86-96,,Defensive rebound by J. Hickson
7:05.0,,,86-98,2,K. Faried makes 2-pt shot at rim (assist by T. Lawson)
7:05.0,,,86-98,,Shooting foul by R. Jefferson (drawn by K. Faried)
7:05.0,,,86-99,1,K. Faried makes free throw 1 of 1
6:48.0,R. Felton makes 2-pt shot from 4 ft,2,88-99,,
6:27.0,,,88-99,,Shooting foul by A. Aminu (drawn by T. Lawson)
6:27.0,,,88-99,,T. Lawson misses free throw 1 of 2
6:27.0,,,88-99,,Offensive rebound by Team
6:27.0,D. Powell enters the game for A. Aminu,,88-99,,
6:27.0,,,88-99,,J. Nurkic enters the game for J. Hickson
6:27.0,,,88-99,,T. Lawson misses free throw 2 of 2
6:25.0,Defensive rebound by R. Jefferson,,88-99,,
6:18.0,,,88-99,,Personal foul by J. Nurkic (drawn by R. Felton)
6:18.0,R. Felton makes free throw 1 of 2,1,89-99,,
6:18.0,R. Felton makes free throw 2 of 2,1,90-99,,
