time,Portland,pts.away,score,pts.home,Brooklyn
2:30.0,M. Leonard enters the game for R. Lopez,,58-75,,
2:30.0,D. Lillard makes free throw 2 of 2,1,59-75,,
2:22.0,Personal foul by A. Afflalo (drawn by J. Johnson),,59-75,,
2:22.0,,,59-75,,M. Brown enters the game for J. Johnson
2:10.0,,,59-77,2,T. Young makes 2-pt shot from 22 ft (assist by D. Williams)
1:46.0,D. Lillard misses 3-pt shot from 25 ft,,59-77,,
1:45.0,,,59-77,,Defensive rebound by M. Plumlee
1:32.0,,,59-77,,M. Brown misses 3-pt shot from 25 ft
1:31.0,Defensive rebound by A. Afflalo,,59-77,,
1:19.0,M. Leonard misses 2-pt shot from 17 ft,,59-77,,
1:18.0,Offensive rebound by J. Freeland,,59-77,,
1:14.0,A. Crabbe makes 3-pt shot from 24 ft (assist by J. Freeland),3,62-77,,
0:53.0,,,62-77,,M. Brown misses 2-pt shot from 8 ft
0:52.0,Defensive rebound by J. Freeland,,62-77,,
0:29.0,Turnover by Team (shot clock),,62-77,,
0:29.0,,,62-77,,J. Jack enters the game for D. Williams
0:29.0,S. Blake enters the game for D. Lillard,,62-77,,
0:29.0,C. McCollum enters the game for A. Afflalo,,62-77,,
0:17.0,,,62-77,,Offensive charge foul by M. Plumlee
0:17.0,,,62-77,,Turnover by M. Plumlee (offensive foul)
0:17.0,D. Lillard enters the game for M. Leonard,,62-77,,
0:17.0,,,62-77,,D. Morris enters the game for T. Young
0:07.0,C. McCollum makes 2-pt shot from 6 ft,2,64-77,,
0:01.0,,,64-77,,J. Jack misses 2-pt shot from 18 ft
0:00.0,,,64-77,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,,,64-77,,T. Young misses 2-pt shot from 6 ft
11:45.0,,,64-77,,Offensive rebound by T. Young
11:44.0,,,64-79,2,T. Young makes 2-pt shot from 1 ft
11:32.0,J. Freeland misses 2-pt shot from 15 ft,,64-79,,
11:31.0,,,64-79,,Defensive rebound by M. Brown
11:27.0,Personal foul by S. Blake (drawn by J. Jack),,64-79,,
11:16.0,,,64-81,2,B. Bogdanovic makes 2-pt shot from 2 ft (assist by T. Young)
10:53.0,M. Leonard makes 3-pt shot from 24 ft (assist by C. McCollum),3,67-81,,
10:36.0,,,67-81,,B. Bogdanovic misses 3-pt shot from 25 ft
10:35.0,Defensive rebound by M. Leonard,,67-81,,
10:29.0,C. McCollum misses 3-pt shot from 25 ft,,67-81,,
10:28.0,,,67-81,,Defensive rebound by J. Jack
10:20.0,,,67-81,,J. Jack misses 2-pt shot from 14 ft
10:19.0,Defensive rebound by C. McCollum,,67-81,,
10:11.0,M. Leonard makes 2-pt shot at rim (assist by C. McCollum),2,69-81,,
9:57.0,,,69-81,,Turnover by M. Plumlee (bad pass)
9:34.0,M. Leonard misses 2-pt shot from 11 ft,,69-81,,
9:33.0,Offensive rebound by M. Leonard,,69-81,,
9:30.0,M. Leonard misses 2-pt shot from 2 ft,,69-81,,
9:29.0,Offensive rebound by A. Crabbe,,69-81,,
9:16.0,M. Leonard makes 2-pt shot from 2 ft,2,71-81,,
8:58.0,,,71-83,2,B. Bogdanovic makes 2-pt shot from 10 ft (assist by J. Jack)
8:36.0,M. Leonard makes 2-pt shot from 5 ft (assist by S. Blake),2,73-83,,
8:27.0,,,73-83,,T. Young misses 2-pt shot from 2 ft
8:26.0,Defensive rebound by J. Freeland,,73-83,,
