time,Phoenix,pts.away,score,pts.home,New York
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:38.0,,,24-21,,S. Larkin misses 3-pt shot from 25 ft
11:37.0,Defensive rebound by M. Plumlee,,24-21,,
11:27.0,Turnover by G. Green (lost ball; steal by P. Prigioni),,24-21,,
11:21.0,,,24-23,2,P. Prigioni makes 2-pt shot from 1 ft
11:04.0,Shooting foul by S. Larkin (drawn by I. Thomas),,24-23,,
11:04.0,I. Thomas misses free throw 1 of 2,,24-23,,
11:04.0,Offensive rebound by Team,,24-23,,
11:04.0,I. Thomas makes free throw 2 of 2,1,25-23,,
10:43.0,,,25-25,2,S. Larkin makes 2-pt shot from 1 ft
10:32.0,G. Green misses 3-pt shot from 24 ft,,25-25,,
10:31.0,,,25-25,,Defensive rebound by S. Larkin
10:09.0,,,25-25,,P. Prigioni misses 2-pt shot from 4 ft
10:08.0,,,25-25,,Offensive rebound by S. Dalembert
10:07.0,,,25-25,,Turnover by Team (shot clock)
9:50.0,M. Morris misses 2-pt shot from 2 ft,,25-25,,
9:49.0,,,25-25,,Defensive rebound by T. Wear
9:37.0,,,25-27,2,S. Larkin makes 2-pt shot from 1 ft
9:30.0,,,25-27,,Personal foul by Q. Acy (drawn by M. Morris)
9:30.0,,,25-27,,T. Hardaway enters the game for P. Prigioni
9:26.0,Turnover by E. Bledsoe (bad pass; steal by T. Hardaway),,25-27,,
9:22.0,,,25-27,,T. Wear misses 2-pt shot from 1 ft
9:21.0,Defensive rebound by E. Bledsoe,,25-27,,
8:58.0,G. Green makes 2-pt shot from 10 ft,2,27-27,,
8:44.0,,,27-27,,T. Wear misses 2-pt shot from 22 ft
8:42.0,,,27-27,,Offensive rebound by S. Dalembert
8:42.0,,,27-27,,S. Dalembert misses 2-pt shot from 2 ft
8:39.0,Defensive rebound by M. Plumlee,,27-27,,
8:35.0,E. Bledsoe misses 2-pt shot from 1 ft,,27-27,,
8:34.0,,,27-27,,Defensive rebound by Q. Acy
8:30.0,,,27-27,,Turnover by Q. Acy (bad pass; steal by I. Thomas)
8:26.0,M. Morris misses 2-pt shot from 1 ft (block by S. Dalembert),,27-27,,
8:25.0,Offensive rebound by Team,,27-27,,
8:25.0,Official timeout,,27-27,,
8:25.0,A. Len enters the game for M. Plumlee,,27-27,,
8:25.0,,,27-27,,C. Anthony enters the game for Q. Acy
8:25.0,,,27-27,,C. Aldrich enters the game for S. Dalembert
8:25.0,,,27-27,,J. Smith enters the game for T. Wear
8:12.0,,,27-27,,S. Larkin misses 2-pt shot from 17 ft
8:11.0,Defensive rebound by M. Morris,,27-27,,
7:59.0,E. Bledsoe misses 3-pt shot from 22 ft,,27-27,,
7:58.0,,,27-27,,Defensive rebound by C. Anthony
7:38.0,,,27-27,,C. Aldrich misses 2-pt shot from 1 ft
7:36.0,Defensive rebound by E. Bledsoe,,27-27,,
7:27.0,M. Morris makes 3-pt shot from 22 ft (assist by E. Bledsoe),3,30-27,,
7:13.0,,,30-27,,Shooting foul by M. Morris (drawn by T. Hardaway)
7:13.0,,,30-28,1,T. Hardaway makes free throw 1 of 3
7:13.0,,,30-29,1,T. Hardaway makes free throw 2 of 3
7:13.0,,,30-29,,J. Calderon enters the game for S. Larkin
7:13.0,,,30-30,1,T. Hardaway makes free throw 3 of 3
6:57.0,I. Thomas makes 2-pt shot from 16 ft,2,32-30,,
6:51.0,,,32-30,,Turnover by J. Calderon (bad pass; steal by E. Bledsoe)
6:45.0,E. Bledsoe makes 2-pt shot at rim,2,34-30,,
6:28.0,,,34-32,2,C. Anthony makes 2-pt shot from 3 ft
6:28.0,,,34-32,,Shooting foul by A. Len (drawn by C. Anthony)
6:28.0,,,34-33,1,C. Anthony makes free throw 1 of 1
6:07.0,M. Morris misses 3-pt shot from 25 ft,,34-33,,
6:05.0,Offensive rebound by A. Len,,34-33,,
6:03.0,Shooting foul by C. Aldrich (drawn by A. Len),,34-33,,
6:03.0,A. Len makes free throw 1 of 2,1,35-33,,
6:03.0,P. Tucker enters the game for M. Morris,,35-33,,
6:03.0,,,35-33,,T. Wear enters the game for J. Smith
6:03.0,A. Len makes free throw 2 of 2,1,36-33,,
5:38.0,,,36-35,2,C. Anthony makes 2-pt shot from 14 ft (assist by T. Hardaway)
5:21.0,G. Green misses 3-pt shot from 25 ft,,36-35,,
5:20.0,Offensive rebound by A. Len,,36-35,,
5:12.0,Turnover by G. Green (traveling),,36-35,,
5:12.0,,,36-35,,New York full timeout
5:12.0,G. Dragic enters the game for I. Thomas,,36-35,,
5:12.0,,,36-35,,S. Dalembert enters the game for C. Aldrich
4:54.0,,,36-35,,J. Calderon misses 3-pt shot from 25 ft
4:53.0,Defensive rebound by G. Green,,36-35,,
4:36.0,G. Green makes 2-pt shot from 19 ft (assist by E. Bledsoe),2,38-35,,
4:12.0,,,38-35,,S. Dalembert misses 2-pt shot from 13 ft
4:11.0,,,38-35,,Offensive rebound by C. Anthony
4:09.0,,,38-35,,S. Dalembert misses 2-pt shot from 4 ft (block by A. Len)
4:08.0,,,38-35,,Offensive rebound by C. Anthony
4:07.0,,,38-35,,Shooting foul by A. Len (drawn by C. Anthony)
4:07.0,,,38-36,1,C. Anthony makes free throw 1 of 2
4:07.0,,,38-36,,P. Prigioni enters the game for T. Wear
4:07.0,,,38-37,1,C. Anthony makes free throw 2 of 2
3:52.0,G. Green misses 3-pt shot from 25 ft,,38-37,,
3:51.0,,,38-37,,Defensive rebound by S. Dalembert
3:39.0,,,38-39,2,T. Hardaway makes 2-pt shot from 1 ft (assist by P. Prigioni)
3:16.0,Turnover by G. Green (bad pass; steal by S. Dalembert),,38-39,,
3:06.0,Personal foul by P. Tucker (drawn by C. Anthony),,38-39,,
3:06.0,I. Thomas enters the game for G. Green,,38-39,,
3:06.0,M. Morris enters the game for A. Len,,38-39,,
3:06.0,,,38-39,,J. Smith enters the game for S. Dalembert
2:53.0,,,38-39,,J. Calderon misses 2-pt shot from 3 ft
2:52.0,,,38-39,,Offensive rebound by J. Smith
2:50.0,,,38-41,2,J. Smith makes 2-pt shot from 1 ft
2:31.0,I. Thomas misses 3-pt shot from 25 ft,,38-41,,
2:30.0,Offensive rebound by P. Tucker,,38-41,,
2:22.0,E. Bledsoe misses 2-pt shot from 1 ft,,38-41,,
2:21.0,,,38-41,,Defensive rebound by J. Smith
2:15.0,,,38-41,,Turnover by J. Smith (lost ball; steal by P. Tucker)
2:11.0,E. Bledsoe misses 2-pt shot from 2 ft (block by T. Hardaway),,38-41,,
2:10.0,Offensive rebound by Team,,38-41,,
2:10.0,Phoenix full timeout,,38-41,,
1:58.0,G. Dragic makes 2-pt shot at rim,2,40-41,,
1:46.0,,,40-44,3,J. Calderon makes 3-pt shot from 25 ft (assist by C. Anthony)
1:20.0,Turnover by Team (shot clock),,40-44,,
1:06.0,,,40-44,,P. Prigioni misses 3-pt shot from 25 ft
1:05.0,Defensive rebound by P. Tucker,,40-44,,
0:57.0,P. Tucker misses 2-pt shot from 22 ft,,40-44,,
0:56.0,,,40-44,,Defensive rebound by J. Calderon
0:50.0,,,40-47,3,T. Hardaway makes 3-pt shot from 23 ft (assist by J. Calderon)
0:43.0,Shooting foul by J. Calderon (drawn by I. Thomas),,40-47,,
0:43.0,I. Thomas makes free throw 1 of 2,1,41-47,,
0:43.0,,,41-47,,S. Larkin enters the game for J. Calderon
0:43.0,I. Thomas makes free throw 2 of 2,1,42-47,,
0:32.0,,,42-47,,C. Anthony misses 2-pt shot from 20 ft
0:31.0,,,42-47,,Offensive rebound by J. Smith
0:27.0,,,42-47,,New York full timeout
0:14.0,,,42-47,,P. Prigioni misses 3-pt shot from 24 ft
0:13.0,Defensive rebound by I. Thomas,,42-47,,
0:09.0,E. Bledsoe makes 2-pt shot from 1 ft (assist by I. Thomas),2,44-47,,
0:01.0,,,44-47,,P. Prigioni misses 3-pt shot from 25 ft
0:00.0,,,44-47,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
12:00.0,Technical foul by M. Morris,,44-47,,
12:00.0,,,44-48,1,C. Anthony makes technical free throw
11:42.0,,,44-48,,Turnover by J. Calderon (bad pass; steal by A. Len)
11:35.0,G. Dragic makes 2-pt shot from 16 ft (assist by P. Tucker),2,46-48,,
11:10.0,,,46-48,,C. Aldrich misses 2-pt shot from 3 ft
11:09.0,Defensive rebound by E. Bledsoe,,46-48,,
10:58.0,M. Morris makes 2-pt shot from 13 ft (assist by G. Dragic),2,48-48,,
10:38.0,,,48-48,,C. Anthony misses 2-pt shot from 21 ft
10:37.0,,,48-48,,Offensive rebound by Q. Acy
10:25.0,,,48-48,,C. Aldrich misses 2-pt shot from 4 ft
10:24.0,,,48-48,,Offensive rebound by Q. Acy
10:12.0,,,48-50,2,J. Calderon makes 2-pt shot from 2 ft (assist by C. Aldrich)
9:48.0,M. Morris makes 2-pt shot from 11 ft,2,50-50,,
9:30.0,,,50-52,2,T. Hardaway makes 2-pt shot from 4 ft
9:22.0,G. Dragic misses 2-pt shot from 14 ft,,50-52,,
9:21.0,Offensive rebound by A. Len,,50-52,,
9:21.0,A. Len misses 2-pt shot from 1 ft,,50-52,,
9:20.0,Offensive rebound by A. Len,,50-52,,
9:20.0,A. Len misses 2-pt shot from 1 ft,,50-52,,
9:19.0,,,50-52,,Defensive rebound by C. Anthony
9:13.0,,,50-52,,Offensive foul by T. Hardaway
9:13.0,,,50-52,,Turnover by T. Hardaway (offensive foul)
8:55.0,M. Morris makes 2-pt shot from 19 ft (assist by P. Tucker),2,52-52,,
8:27.0,,,52-52,,C. Anthony misses 3-pt shot from 27 ft
8:25.0,Defensive rebound by Team,,52-52,,
8:25.0,,,52-52,,Loose ball foul by C. Aldrich (drawn by G. Dragic)
8:14.0,A. Len misses 2-pt shot from 15 ft,,52-52,,
8:13.0,,,52-52,,Defensive rebound by C. Anthony
7:57.0,,,52-54,2,C. Aldrich makes 2-pt shot from 5 ft (assist by J. Calderon)
7:45.0,M. Morris makes 2-pt shot from 16 ft,2,54-54,,
7:18.0,,,54-54,,J. Calderon misses 2-pt shot from 4 ft
7:17.0,Defensive rebound by P. Tucker,,54-54,,
7:10.0,G. Dragic misses 2-pt shot from 4 ft,,54-54,,
7:09.0,,,54-54,,Defensive rebound by T. Hardaway
6:56.0,,,54-57,3,J. Calderon makes 3-pt shot from 25 ft
6:36.0,Shooting foul by Q. Acy (drawn by M. Morris),,54-57,,
6:36.0,M. Morris makes free throw 1 of 2,1,55-57,,
6:36.0,M. Plumlee enters the game for A. Len,,55-57,,
6:36.0,,,55-57,,S. Dalembert enters the game for C. Aldrich
6:36.0,,,55-57,,J. Smith enters the game for Q. Acy
6:36.0,M. Morris makes free throw 2 of 2,1,56-57,,
6:22.0,,,56-57,,J. Smith misses 2-pt shot from 21 ft
6:21.0,Defensive rebound by P. Tucker,,56-57,,
5:58.0,G. Dragic misses 3-pt shot from 25 ft,,56-57,,
5:57.0,Offensive rebound by M. Plumlee,,56-57,,
5:54.0,Turnover by M. Plumlee (bad pass; steal by J. Smith),,56-57,,
5:38.0,,,56-59,2,J. Smith makes 2-pt shot from 14 ft
5:17.0,Turnover by M. Plumlee (lost ball),,56-59,,
5:17.0,,,56-59,,New York full timeout
5:17.0,,,56-59,,P. Prigioni enters the game for T. Hardaway
5:17.0,I. Thomas enters the game for E. Bledsoe,,56-59,,
4:54.0,,,56-59,,J. Smith misses 2-pt shot from 17 ft
4:53.0,Defensive rebound by P. Tucker,,56-59,,
4:43.0,,,56-59,,Personal foul by S. Dalembert (drawn by M. Morris)
4:36.0,Turnover by P. Tucker (traveling),,56-59,,
4:19.0,,,56-59,,J. Smith misses 2-pt shot from 20 ft
4:18.0,Defensive rebound by G. Dragic,,56-59,,
4:05.0,M. Morris misses 3-pt shot from 24 ft,,56-59,,
4:04.0,,,56-59,,Defensive rebound by P. Prigioni
3:41.0,,,56-59,,J. Smith misses 3-pt shot from 23 ft
3:40.0,Defensive rebound by I. Thomas,,56-59,,
3:30.0,I. Thomas makes 3-pt shot from 25 ft (assist by M. Plumlee),3,59-59,,
3:13.0,,,59-59,,Shooting foul by P. Tucker (drawn by S. Dalembert)
3:13.0,,,59-60,1,S. Dalembert makes free throw 1 of 2
3:13.0,M. Morris enters the game for G. Dragic,,59-60,,
3:13.0,G. Green enters the game for P. Tucker,,59-60,,
3:13.0,,,59-60,,S. Dalembert misses free throw 2 of 2
3:12.0,Defensive rebound by M. Plumlee,,59-60,,
2:52.0,I. Thomas misses 3-pt shot from 23 ft,,59-60,,
2:51.0,,,59-60,,Defensive rebound by J. Calderon
2:34.0,,,59-60,,Turnover by S. Dalembert (lost ball; steal by G. Green)
2:30.0,Turnover by G. Green (bad pass; steal by J. Calderon),,59-60,,
2:13.0,,,59-60,,P. Prigioni misses 3-pt shot from 29 ft
2:11.0,,,59-60,,Offensive rebound by S. Dalembert
2:09.0,,,59-60,,Turnover by S. Dalembert (step out of bounds)
2:09.0,Phoenix full timeout,,59-60,,
1:58.0,M. Morris makes 2-pt shot from 9 ft (assist by G. Green),2,61-60,,
1:38.0,,,61-63,3,J. Calderon makes 3-pt shot from 24 ft (assist by P. Prigioni)
1:27.0,G. Green misses 3-pt shot from 24 ft,,61-63,,
1:26.0,,,61-63,,Defensive rebound by J. Calderon
1:19.0,,,61-66,3,C. Anthony makes 3-pt shot from 26 ft (assist by P. Prigioni)
1:11.0,M. Morris makes 3-pt shot from 25 ft (assist by I. Thomas),3,64-66,,
0:54.0,,,64-68,2,C. Anthony makes 2-pt shot from 3 ft
0:47.0,I. Thomas makes 2-pt shot from 1 ft,2,66-68,,
0:47.0,Shooting foul by S. Dalembert (drawn by I. Thomas),,66-68,,
0:47.0,,,66-68,,S. Larkin enters the game for J. Calderon
0:47.0,I. Thomas makes free throw 1 of 1,1,67-68,,
0:29.0,,,67-68,,J. Smith misses 2-pt shot from 14 ft
0:28.0,,,67-68,,Offensive rebound by S. Dalembert
0:07.0,,,67-68,,C. Anthony misses 2-pt shot from 15 ft
0:06.0,Defensive rebound by M. Morris,,67-68,,
0:01.0,I. Thomas misses 2-pt shot from 2 ft,,67-68,,
0:00.0,Offensive rebound by Team,,67-68,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,Turnover by G. Green (lost ball; steal by S. Dalembert),,67-68,,
11:27.0,,,67-68,,T. Hardaway misses 3-pt shot from 25 ft
11:26.0,,,67-68,,Offensive rebound by P. Prigioni
11:20.0,,,67-68,,T. Hardaway misses 3-pt shot from 24 ft
11:19.0,,,67-68,,Offensive rebound by T. Hardaway
11:06.0,,,67-68,,S. Larkin misses 2-pt shot from 2 ft
11:04.0,,,67-68,,Offensive rebound by S. Dalembert
11:04.0,,,67-68,,S. Dalembert misses 2-pt shot at rim
11:02.0,Defensive rebound by G. Green,,67-68,,
10:47.0,I. Thomas makes 3-pt shot from 25 ft (assist by G. Green),3,70-68,,
10:24.0,,,70-68,,P. Prigioni misses 3-pt shot from 24 ft
10:23.0,Defensive rebound by P. Tucker,,70-68,,
10:04.0,G. Green misses 2-pt shot from 19 ft,,70-68,,
10:02.0,,,70-68,,Defensive rebound by S. Dalembert
9:47.0,,,70-68,,Turnover by T. Hardaway (traveling)
9:47.0,E. Bledsoe enters the game for P. Tucker,,70-68,,
9:47.0,A. Len enters the game for M. Plumlee,,70-68,,
9:30.0,M. Morris makes 3-pt shot from 24 ft (assist by G. Green),3,73-68,,
9:12.0,,,73-68,,T. Wear misses 2-pt shot from 18 ft
9:11.0,Defensive rebound by E. Bledsoe,,73-68,,
9:04.0,,,73-68,,Personal foul by S. Dalembert (drawn by E. Bledsoe)
8:52.0,E. Bledsoe misses 3-pt shot from 23 ft,,73-68,,
8:51.0,Offensive rebound by I. Thomas,,73-68,,
8:44.0,E. Bledsoe misses 2-pt shot from 2 ft,,73-68,,
8:43.0,Offensive rebound by A. Len,,73-68,,
8:43.0,A. Len makes 2-pt shot from 1 ft,2,75-68,,
8:42.0,,,75-68,,New York full timeout
8:42.0,,,75-68,,C. Aldrich enters the game for S. Dalembert
8:42.0,,,75-68,,C. Anthony enters the game for S. Larkin
8:42.0,,,75-68,,J. Calderon enters the game for T. Wear
8:24.0,,,75-70,2,C. Anthony makes 2-pt shot from 10 ft
8:05.0,M. Morris misses 3-pt shot from 24 ft,,75-70,,
8:04.0,Offensive rebound by E. Bledsoe,,75-70,,
7:58.0,G. Green misses 3-pt shot from 23 ft,,75-70,,
7:57.0,,,75-70,,Defensive rebound by C. Anthony
7:48.0,,,75-72,2,C. Aldrich makes 2-pt shot at rim (assist by P. Prigioni)
7:33.0,Turnover by M. Morris (lost ball; steal by C. Anthony),,75-72,,
7:29.0,Violation by E. Bledsoe (def goaltending),,75-72,,
7:29.0,,,75-74,2,T. Hardaway makes 2-pt shot from 1 ft
7:16.0,I. Thomas makes 2-pt shot from 1 ft,2,77-74,,
7:01.0,,,77-74,,T. Hardaway misses 2-pt shot from 5 ft (block by A. Len)
7:00.0,Defensive rebound by E. Bledsoe,,77-74,,
6:56.0,Shooting foul by C. Anthony (drawn by E. Bledsoe),,77-74,,
6:56.0,E. Bledsoe makes free throw 1 of 2,1,78-74,,
6:56.0,P. Tucker enters the game for M. Morris,,78-74,,
6:56.0,M. Morris enters the game for A. Len,,78-74,,
6:56.0,,,78-74,,S. Dalembert enters the game for C. Aldrich
6:56.0,E. Bledsoe makes free throw 2 of 2,1,79-74,,
6:32.0,,,79-74,,Shooting foul by G. Green (drawn by C. Anthony)
6:32.0,,,79-75,1,C. Anthony makes free throw 1 of 2
6:32.0,,,79-76,1,C. Anthony makes free throw 2 of 2
6:14.0,G. Green makes 3-pt shot from 24 ft (assist by P. Tucker),3,82-76,,
6:00.0,,,82-76,,C. Anthony misses 3-pt shot from 24 ft
5:58.0,Defensive rebound by G. Green,,82-76,,
5:45.0,Turnover by G. Green (lost ball; steal by C. Anthony),,82-76,,
5:40.0,Shooting block foul by P. Tucker (drawn by T. Hardaway),,82-76,,
5:40.0,Official timeout,,82-76,,
5:40.0,,,82-77,1,T. Hardaway makes free throw 1 of 2
5:40.0,,,82-78,1,T. Hardaway makes free throw 2 of 2
5:26.0,,,82-78,,Personal foul by P. Prigioni (drawn by P. Tucker)
5:26.0,G. Dragic enters the game for G. Green,,82-78,,
5:19.0,M. Morris misses 2-pt shot from 19 ft,,82-78,,
5:18.0,,,82-78,,Defensive rebound by J. Calderon
4:55.0,,,82-80,2,C. Anthony makes 2-pt shot from 15 ft
4:39.0,E. Bledsoe makes 2-pt shot from 2 ft,2,84-80,,
4:39.0,Shooting foul by T. Hardaway (drawn by E. Bledsoe),,84-80,,
4:39.0,E. Bledsoe makes free throw 1 of 1,1,85-80,,
4:17.0,,,85-80,,T. Hardaway misses 2-pt shot from 22 ft
4:16.0,,,85-80,,Offensive rebound by S. Dalembert
4:16.0,,,85-82,2,S. Dalembert makes 2-pt shot at rim
4:04.0,Shooting foul by S. Dalembert (drawn by E. Bledsoe),,85-82,,
4:04.0,E. Bledsoe makes free throw 1 of 2,1,86-82,,
4:04.0,E. Bledsoe makes free throw 2 of 2,1,87-82,,
3:40.0,,,87-84,2,C. Anthony makes 2-pt shot from 11 ft (assist by P. Prigioni)
3:22.0,E. Bledsoe makes 2-pt shot from 1 ft,2,89-84,,
3:14.0,Personal foul by P. Tucker (drawn by C. Anthony),,89-84,,
3:06.0,,,89-86,2,S. Dalembert makes 2-pt shot at rim (assist by J. Calderon)
2:58.0,,,89-86,,Personal foul by J. Calderon (drawn by I. Thomas)
2:58.0,Phoenix full timeout,,89-86,,
2:58.0,I. Thomas makes free throw 1 of 2,1,90-86,,
2:58.0,I. Thomas misses free throw 2 of 2,,90-86,,
