time,Houston,pts.away,score,pts.home,New York
4:08.0,,,20-12,,S. Larkin misses 2-pt shot from 14 ft
4:06.0,Defensive rebound by J. Smith,,20-12,,
3:54.0,J. Harden makes 2-pt shot from 2 ft,2,22-12,,
3:42.0,,,22-15,3,T. Wear makes 3-pt shot from 23 ft (assist by J. Calderon)
3:19.0,D. Motiejunas makes 2-pt shot from 4 ft,2,24-15,,
3:05.0,,,24-15,,T. Hardaway misses 3-pt shot from 25 ft
3:03.0,Defensive rebound by C. Brewer,,24-15,,
3:02.0,Turnover by C. Brewer (palming),,24-15,,
2:50.0,Personal foul by J. Smith (drawn by Q. Acy),,24-15,,
2:50.0,Houston full timeout,,24-15,,
2:50.0,,,24-15,,C. Early enters the game for T. Hardaway
2:36.0,,,24-17,2,S. Larkin makes 2-pt shot from 21 ft (assist by T. Wear)
2:22.0,J. Terry makes 3-pt shot from 23 ft (assist by J. Harden),3,27-17,,
2:08.0,,,27-17,,L. Galloway enters the game for J. Calderon
2:08.0,Personal foul by C. Brewer (drawn by T. Wear),,27-17,,
2:08.0,D. Howard enters the game for D. Motiejunas,,27-17,,
2:08.0,K. Papanikolaou enters the game for J. Harden,,27-17,,
2:00.0,,,27-17,,Shooting foul by J. Smith (drawn by Q. Acy)
2:00.0,,,27-17,,Q. Acy misses free throw 1 of 2
2:00.0,,,27-17,,Offensive rebound by Team
2:00.0,,,27-17,,Q. Acy misses free throw 2 of 2
1:59.0,,,27-17,,Offensive rebound by C. Early
1:44.0,,,27-17,,L. Galloway misses 3-pt shot from 24 ft
1:43.0,Defensive rebound by Team,,27-17,,
1:43.0,,,27-17,,C. Aldrich enters the game for Q. Acy
1:30.0,Turnover by J. Smith (bad pass; steal by C. Early),,27-17,,
1:13.0,,,27-17,,C. Aldrich misses 2-pt shot from 5 ft
1:12.0,Defensive rebound by D. Howard,,27-17,,
1:06.0,Shooting foul by T. Wear (drawn by J. Smith),,27-17,,
1:06.0,J. Smith misses free throw 1 of 2,,27-17,,
1:06.0,Offensive rebound by Team,,27-17,,
1:06.0,J. Smith misses free throw 2 of 2,,27-17,,
1:05.0,,,27-17,,Defensive rebound by L. Galloway
0:40.0,,,27-20,3,T. Wear makes 3-pt shot from 24 ft
0:34.0,Offensive foul by D. Howard,,27-20,,
0:34.0,Turnover by D. Howard (offensive foul),,27-20,,
0:24.0,,,27-20,,S. Larkin misses 3-pt shot from 25 ft
0:23.0,,,27-20,,Offensive rebound by L. Galloway
0:23.0,,,27-22,2,L. Galloway makes 2-pt shot at rim
0:06.0,Turnover by D. Howard (lost ball; steal by S. Larkin),,27-22,,
0:02.0,,,27-22,,Turnover by C. Early (step out of bounds)
0:02.0,,,27-22,,Q. Acy enters the game for C. Aldrich
0:00.0,C. Brewer misses 3-pt shot from 28 ft,,27-22,,
0:00.0,Offensive rebound by Team,,27-22,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,D. Howard misses 2-pt shot at rim (block by T. Wear),,27-22,,
11:43.0,Offensive rebound by D. Howard,,27-22,,
11:39.0,J. Smith misses 3-pt shot from 24 ft,,27-22,,
11:37.0,,,27-22,,Defensive rebound by C. Aldrich
11:23.0,,,27-22,,Turnover by T. Wear (bad pass; steal by D. Howard)
11:17.0,C. Brewer misses 3-pt shot from 23 ft,,27-22,,
11:15.0,,,27-22,,Defensive rebound by C. Aldrich
11:12.0,,,27-22,,Turnover by C. Aldrich (bad pass; steal by K. Papanikolaou)
10:55.0,D. Howard misses 2-pt shot from 4 ft,,27-22,,
10:53.0,,,27-22,,Defensive rebound by T. Wear
10:40.0,,,27-24,2,T. Wear makes 2-pt shot from 18 ft
10:24.0,J. Terry makes 2-pt shot from 2 ft,2,29-24,,
10:11.0,,,29-26,2,C. Early makes 2-pt shot from 2 ft (assist by S. Larkin)
10:09.0,,,29-26,,Technical foul by C. Early
10:09.0,J. Terry makes technical free throw,1,30-26,,
9:54.0,K. Papanikolaou misses 3-pt shot from 25 ft,,30-26,,
9:53.0,Offensive rebound by Team,,30-26,,
9:34.0,C. Brewer misses 3-pt shot from 25 ft,,30-26,,
9:32.0,,,30-26,,Defensive rebound by S. Larkin
9:29.0,,,30-28,2,L. Galloway makes 2-pt shot from 1 ft (assist by S. Larkin)
9:11.0,Turnover by D. Howard (step out of bounds),,30-28,,
8:54.0,,,30-28,,T. Wear misses 2-pt shot from 14 ft
8:52.0,Defensive rebound by K. Papanikolaou,,30-28,,
8:48.0,Official timeout,,30-28,,
8:48.0,D. Motiejunas enters the game for J. Smith,,30-28,,
8:48.0,P. Beverley enters the game for C. Brewer,,30-28,,
8:48.0,J. Harden enters the game for J. Terry,,30-28,,
8:48.0,T. Ariza enters the game for K. Papanikolaou,,30-28,,
8:46.0,P. Beverley misses 2-pt shot from 1 ft,,30-28,,
8:45.0,,,30-28,,Defensive rebound by T. Wear
8:45.0,Personal foul by P. Beverley (drawn by T. Wear),,30-28,,
8:31.0,,,30-28,,S. Larkin misses 3-pt shot from 24 ft
8:29.0,Defensive rebound by D. Motiejunas,,30-28,,
8:20.0,,,30-28,,Personal foul by L. Galloway (drawn by D. Motiejunas)
8:20.0,,,30-28,,J. Calderon enters the game for S. Larkin
8:07.0,Shooting foul by T. Wear (drawn by D. Motiejunas),,30-28,,
8:07.0,D. Motiejunas makes free throw 1 of 2,1,31-28,,
8:07.0,,,31-28,,T. Hardaway enters the game for C. Early
8:07.0,,,31-28,,J. Smith enters the game for T. Wear
8:07.0,D. Motiejunas makes free throw 2 of 2,1,32-28,,
7:53.0,,,32-28,,L. Galloway misses 2-pt shot from 19 ft
7:51.0,Defensive rebound by J. Harden,,32-28,,
7:44.0,P. Beverley misses 3-pt shot from 25 ft,,32-28,,
7:42.0,Offensive rebound by D. Howard,,32-28,,
7:38.0,T. Ariza misses 3-pt shot from 25 ft,,32-28,,
7:37.0,Offensive rebound by Team,,32-28,,
7:37.0,,,32-28,,Loose ball foul by C. Aldrich (drawn by D. Howard)
7:37.0,,,32-28,,P. Prigioni enters the game for L. Galloway
7:17.0,J. Harden makes 3-pt shot from 23 ft,3,35-28,,
7:04.0,,,35-28,,Turnover by P. Prigioni (lost ball; steal by J. Harden)
7:00.0,J. Harden makes 2-pt shot at rim,2,37-28,,
6:59.0,,,37-28,,New York full timeout
6:48.0,,,37-28,,Turnover by J. Calderon (bad pass; steal by T. Ariza)
6:44.0,T. Ariza makes 2-pt shot at rim (assist by J. Harden),2,39-28,,
6:27.0,,,39-28,,C. Aldrich misses 2-pt shot from 4 ft
6:24.0,,,39-28,,Offensive rebound by Team
6:24.0,Loose ball foul by D. Howard (drawn by C. Aldrich),,39-28,,
6:24.0,J. Smith enters the game for D. Howard,,39-28,,
6:16.0,,,39-28,,J. Smith misses 2-pt shot from 2 ft (block by J. Smith)
6:15.0,,,39-28,,Offensive rebound by Team
6:08.0,,,39-30,2,J. Smith makes 2-pt shot from 11 ft (assist by J. Calderon)
5:50.0,,,39-30,,Violation by C. Aldrich (kicked ball)
5:50.0,,,39-30,,Q. Acy enters the game for C. Aldrich
5:37.0,D. Motiejunas misses 2-pt shot from 3 ft,,39-30,,
5:35.0,,,39-30,,Defensive rebound by J. Smith
5:25.0,,,39-30,,T. Hardaway misses 3-pt shot from 25 ft
5:23.0,Defensive rebound by D. Motiejunas,,39-30,,
5:13.0,J. Harden makes 2-pt shot from 12 ft,2,41-30,,
4:59.0,,,41-30,,J. Smith misses 2-pt shot from 7 ft (block by J. Smith)
4:57.0,Defensive rebound by D. Motiejunas,,41-30,,
4:50.0,,,41-30,,Violation by Q. Acy (kicked ball)
4:35.0,T. Ariza misses 2-pt shot from 21 ft,,41-30,,
4:33.0,,,41-30,,Defensive rebound by P. Prigioni
4:30.0,,,41-30,,Turnover by P. Prigioni (bad pass; steal by D. Motiejunas)
4:26.0,T. Ariza makes 2-pt shot at rim (assist by J. Harden),2,43-30,,
4:10.0,,,43-30,,P. Prigioni misses 3-pt shot from 24 ft
4:08.0,,,43-30,,Offensive rebound by Q. Acy
4:07.0,,,43-32,2,Q. Acy makes 2-pt shot from 1 ft
3:54.0,J. Smith makes 2-pt shot at rim (assist by P. Beverley),2,45-32,,
3:36.0,,,45-35,3,P. Prigioni makes 3-pt shot from 25 ft (assist by J. Calderon)
3:19.0,P. Beverley makes 3-pt shot from 22 ft (assist by J. Harden),3,48-35,,
3:17.0,Personal foul by J. Harden (drawn by P. Prigioni),,48-35,,
3:03.0,,,48-35,,Turnover by J. Smith (lost ball; steal by J. Harden)
3:00.0,,,48-35,,Personal foul by P. Prigioni (drawn by J. Harden)
3:00.0,Houston full timeout,,48-35,,
3:00.0,,,48-35,,T. Wear enters the game for T. Hardaway
3:00.0,,,48-35,,L. Galloway enters the game for J. Smith
2:51.0,J. Harden misses 3-pt shot from 25 ft,,48-35,,
2:49.0,,,48-35,,Defensive rebound by T. Wear
2:41.0,,,48-35,,L. Galloway misses 2-pt shot from 13 ft
2:39.0,,,48-35,,Offensive rebound by Team
2:32.0,,,48-35,,T. Wear misses 3-pt shot from 25 ft
2:31.0,,,48-35,,Offensive rebound by J. Calderon
2:24.0,,,48-37,2,Q. Acy makes 2-pt shot from 21 ft (assist by J. Calderon)
2:07.0,P. Beverley misses 3-pt shot from 25 ft,,48-37,,
2:06.0,Offensive rebound by D. Motiejunas,,48-37,,
2:02.0,D. Motiejunas makes 2-pt shot from 4 ft,2,50-37,,
1:38.0,,,50-39,2,Q. Acy makes 2-pt shot from 13 ft (assist by P. Prigioni)
1:27.0,T. Ariza makes 3-pt shot from 23 ft (assist by J. Harden),3,53-39,,
1:00.0,,,53-42,3,T. Wear makes 3-pt shot from 25 ft (assist by Q. Acy)
0:49.0,J. Harden misses 2-pt shot from 3 ft,,53-42,,
0:47.0,,,53-42,,Defensive rebound by J. Calderon
0:36.0,,,53-42,,Turnover by P. Prigioni (bad pass; steal by J. Smith)
0:30.0,J. Harden misses 2-pt shot from 4 ft,,53-42,,
0:28.0,Offensive rebound by Team,,53-42,,
0:28.0,D. Howard enters the game for J. Smith,,53-42,,
0:28.0,,,53-42,,C. Aldrich enters the game for Q. Acy
0:06.0,J. Harden makes 3-pt shot from 24 ft,3,56-42,,
0:01.0,,,56-42,,P. Prigioni misses 2-pt shot from 12 ft
0:00.0,,,56-42,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,J. Harden misses 2-pt shot from 19 ft,,56-42,,
11:42.0,Offensive rebound by D. Howard,,56-42,,
11:42.0,D. Howard makes 2-pt shot from 1 ft,2,58-42,,
11:42.0,Shooting foul by C. Aldrich (drawn by D. Howard),,58-42,,
11:42.0,D. Howard makes free throw 1 of 1,1,59-42,,
11:31.0,,,59-42,,J. Calderon misses 2-pt shot from 15 ft
11:29.0,Defensive rebound by P. Beverley,,59-42,,
11:13.0,D. Howard makes 2-pt shot from 2 ft (assist by D. Motiejunas),2,61-42,,
11:13.0,Shooting foul by J. Smith (drawn by D. Howard),,61-42,,
11:13.0,D. Howard makes free throw 1 of 1,1,62-42,,
11:00.0,Personal foul by J. Harden (drawn by J. Calderon),,62-42,,
10:49.0,,,62-42,,Turnover by P. Prigioni (bad pass; steal by D. Motiejunas)
10:45.0,P. Beverley misses 2-pt shot from 1 ft,,62-42,,
10:43.0,,,62-42,,Defensive rebound by J. Calderon
10:27.0,,,62-45,3,T. Hardaway makes 3-pt shot from 25 ft (assist by J. Smith)
10:14.0,Shooting foul by J. Smith (drawn by D. Howard),,62-45,,
10:14.0,D. Howard makes free throw 1 of 2,1,63-45,,
10:14.0,D. Howard makes free throw 2 of 2,1,64-45,,
10:06.0,,,64-45,,Turnover by J. Smith (bad pass)
10:03.0,Turnover by T. Ariza (bad pass; steal by P. Prigioni),,64-45,,
10:00.0,,,64-47,2,T. Hardaway makes 2-pt shot at rim
9:36.0,T. Ariza misses 2-pt shot from 10 ft,,64-47,,
9:35.0,,,64-47,,Defensive rebound by C. Aldrich
9:34.0,,,64-47,,Turnover by C. Aldrich (bad pass; steal by D. Motiejunas)
9:33.0,D. Motiejunas makes 2-pt shot from 1 ft,2,66-47,,
9:33.0,Shooting foul by C. Aldrich (drawn by D. Motiejunas),,66-47,,
9:33.0,D. Motiejunas misses free throw 1 of 1,,66-47,,
9:32.0,Offensive rebound by D. Howard,,66-47,,
9:32.0,,,66-47,,Loose ball foul by T. Hardaway (drawn by D. Howard)
9:32.0,D. Howard misses free throw 1 of 2,,66-47,,
9:32.0,Offensive rebound by Team,,66-47,,
9:32.0,D. Howard misses free throw 2 of 2,,66-47,,
9:31.0,,,66-47,,Defensive rebound by T. Hardaway
9:26.0,,,66-47,,T. Hardaway misses 3-pt shot from 25 ft
9:24.0,,,66-47,,Offensive rebound by J. Calderon
9:12.0,,,66-47,,J. Calderon misses 2-pt shot from 17 ft
9:11.0,Defensive rebound by D. Motiejunas,,66-47,,
9:01.0,D. Howard makes 2-pt shot at rim (assist by J. Harden),2,68-47,,
9:00.0,,,68-47,,New York full timeout
9:00.0,,,68-47,,T. Wear enters the game for T. Hardaway
9:00.0,,,68-47,,S. Larkin enters the game for J. Calderon
9:00.0,,,68-47,,L. Galloway enters the game for P. Prigioni
8:42.0,,,68-47,,Turnover by C. Aldrich (lost ball; steal by D. Howard)
8:38.0,J. Harden makes 2-pt shot at rim (assist by D. Howard),2,70-47,,
8:25.0,Personal foul by T. Ariza (drawn by T. Wear),,70-47,,
8:25.0,,,70-47,,Q. Acy enters the game for C. Aldrich
8:13.0,,,70-47,,Shooting foul by D. Howard (drawn by L. Galloway)
8:13.0,,,70-48,1,L. Galloway makes free throw 1 of 2
8:13.0,,,70-48,,L. Galloway misses free throw 2 of 2
8:12.0,Defensive rebound by D. Howard,,70-48,,
7:56.0,Shooting foul by Q. Acy (drawn by D. Motiejunas),,70-48,,
7:56.0,D. Motiejunas misses free throw 1 of 2,,70-48,,
7:56.0,Offensive rebound by Team,,70-48,,
7:56.0,D. Motiejunas misses free throw 2 of 2,,70-48,,
7:55.0,,,70-48,,Defensive rebound by L. Galloway
7:41.0,,,70-48,,T. Wear misses 3-pt shot from 24 ft
7:39.0,Defensive rebound by J. Harden,,70-48,,
7:37.0,Turnover by J. Harden (traveling),,70-48,,
7:17.0,,,70-50,2,J. Smith makes 2-pt shot from 16 ft (assist by S. Larkin)
7:05.0,T. Ariza makes 3-pt shot from 24 ft (assist by P. Beverley),3,73-50,,
6:58.0,,,73-50,,Technical foul by Team
6:58.0,J. Harden makes technical free throw,1,74-50,,
6:48.0,,,74-50,,Shooting foul by P. Beverley (drawn by S. Larkin)
6:48.0,,,74-50,,S. Larkin misses free throw 1 of 2
6:48.0,,,74-50,,Offensive rebound by Team
6:48.0,,,74-51,1,S. Larkin makes free throw 2 of 2
6:36.0,,,74-51,,Personal foul by Q. Acy (drawn by D. Howard)
6:36.0,D. Howard makes free throw 1 of 2,1,75-51,,
6:36.0,D. Howard misses free throw 2 of 2,,75-51,,
6:35.0,,,75-51,,Defensive rebound by Q. Acy
6:20.0,,,75-54,3,L. Galloway makes 3-pt shot from 23 ft (assist by S. Larkin)
6:03.0,P. Beverley makes 3-pt shot from 23 ft (assist by J. Harden),3,78-54,,
5:52.0,Personal foul by D. Motiejunas (drawn by L. Galloway),,78-54,,
5:52.0,,,78-54,,L. Galloway misses free throw 1 of 2
5:52.0,,,78-54,,Offensive rebound by Team
5:52.0,,,78-54,,C. Early enters the game for T. Wear
5:52.0,,,78-55,1,L. Galloway makes free throw 2 of 2
5:31.0,T. Ariza misses 3-pt shot from 24 ft,,78-55,,
5:30.0,,,78-55,,Defensive rebound by C. Early
5:29.0,Personal foul by P. Beverley (drawn by C. Early),,78-55,,
5:29.0,,,78-56,1,C. Early makes free throw 1 of 2
5:29.0,,,78-56,,C. Early misses free throw 2 of 2
5:26.0,Defensive rebound by D. Howard,,78-56,,
5:14.0,J. Harden makes 2-pt shot from 9 ft,2,80-56,,
5:09.0,,,80-56,,Turnover by S. Larkin (bad pass)
5:01.0,P. Beverley makes 3-pt shot from 22 ft (assist by T. Ariza),3,83-56,,
5:00.0,,,83-56,,New York full timeout
4:47.0,,,83-58,2,J. Smith makes 2-pt shot from 12 ft (assist by L. Galloway)
4:27.0,J. Harden misses 3-pt shot from 25 ft,,83-58,,
4:26.0,Offensive rebound by Team,,83-58,,
4:16.0,D. Motiejunas makes 2-pt shot from 4 ft (assist by P. Beverley),2,85-58,,
3:59.0,,,85-58,,Offensive foul by L. Galloway
3:59.0,,,85-58,,Turnover by L. Galloway (offensive foul)
3:43.0,J. Harden misses 2-pt shot from 1 ft,,85-58,,
3:41.0,,,85-58,,Defensive rebound by J. Smith
3:34.0,,,85-61,3,L. Galloway makes 3-pt shot from 24 ft
3:22.0,Turnover by J. Harden (lost ball; steal by C. Early),,85-61,,
3:17.0,,,85-63,2,C. Early makes 2-pt shot at rim (assist by S. Larkin)
2:58.0,Turnover by J. Harden (bad pass; steal by S. Larkin),,85-63,,
2:54.0,,,85-63,,Turnover by Q. Acy (lost ball; steal by P. Beverley)
2:47.0,Turnover by D. Motiejunas (bad pass; steal by J. Smith),,85-63,,
2:46.0,Personal foul by P. Beverley (drawn by Q. Acy),,85-63,,
2:46.0,Houston full timeout,,85-63,,
2:46.0,J. Smith enters the game for T. Ariza,,85-63,,
2:46.0,C. Brewer enters the game for D. Howard,,85-63,,
2:46.0,J. Terry enters the game for P. Beverley,,85-63,,
2:46.0,,,85-63,,Q. Acy misses free throw 1 of 2
2:46.0,,,85-63,,Offensive rebound by Team
2:46.0,,,85-64,1,Q. Acy makes free throw 2 of 2
2:28.0,D. Motiejunas makes 2-pt shot from 4 ft,2,87-64,,
2:08.0,,,87-66,2,Q. Acy makes 2-pt shot from 1 ft
2:08.0,,,87-66,,Shooting foul by J. Smith (drawn by Q. Acy)
2:08.0,,,87-67,1,Q. Acy makes free throw 1 of 1
1:47.0,J. Harden makes 3-pt shot from 24 ft (assist by J. Terry),3,90-67,,
1:38.0,,,90-67,,Turnover by L. Galloway (lost ball)
1:19.0,C. Brewer makes 3-pt shot from 23 ft (assist by J. Smith),3,93-67,,
0:56.0,,,93-69,2,C. Early makes 2-pt shot at rim (assist by Q. Acy)
0:34.0,J. Harden misses 2-pt shot from 18 ft,,93-69,,
0:34.0,,,93-69,,Defensive rebound by Team
0:25.0,,,93-69,,Q. Acy misses 3-pt shot from 25 ft
0:23.0,Defensive rebound by J. Harden,,93-69,,
0:02.0,J. Harden misses 3-pt shot from 25 ft,,93-69,,
0:01.0,,,93-69,,Defensive rebound by J. Smith
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:39.0,,,93-72,3,L. Galloway makes 3-pt shot from 24 ft
11:26.0,C. Brewer makes 2-pt shot from 3 ft (assist by J. Terry),2,95-72,,
11:06.0,,,95-74,2,T. Wear makes 2-pt shot from 14 ft
10:43.0,C. Brewer misses 2-pt shot from 12 ft,,95-74,,
10:41.0,,,95-74,,Defensive rebound by Q. Acy
10:22.0,,,95-74,,Turnover by S. Larkin (bad pass; steal by D. Motiejunas)
10:19.0,Offensive foul by J. Smith,,95-74,,
10:19.0,Turnover by J. Smith (offensive foul),,95-74,,
10:02.0,,,95-74,,T. Wear misses 2-pt shot from 20 ft
10:00.0,Defensive rebound by J. Terry,,95-74,,
9:50.0,Turnover by J. Smith (bad pass; steal by L. Galloway),,95-74,,
9:47.0,,,95-76,2,L. Galloway makes 2-pt shot at rim
9:33.0,D. Motiejunas misses 2-pt shot from 1 ft,,95-76,,
9:32.0,,,95-76,,Defensive rebound by T. Wear
9:32.0,Personal foul by J. Smith (drawn by Q. Acy),,95-76,,
9:32.0,J. Dorsey enters the game for J. Smith,,95-76,,
9:20.0,,,95-79,3,C. Early makes 3-pt shot from 23 ft (assist by L. Galloway)
9:04.0,C. Brewer misses 2-pt shot from 4 ft,,95-79,,
9:03.0,Offensive rebound by D. Motiejunas,,95-79,,
8:59.0,J. Terry makes 2-pt shot from 18 ft,2,97-79,,
8:50.0,,,97-79,,Turnover by S. Larkin (bad pass; steal by J. Terry)
8:46.0,Shooting foul by L. Galloway (drawn by C. Brewer),,97-79,,
8:46.0,Official timeout,,97-79,,
8:46.0,C. Brewer makes free throw 1 of 2,1,98-79,,
8:46.0,C. Brewer makes free throw 2 of 2,1,99-79,,
8:29.0,,,99-81,2,C. Early makes 2-pt shot from 5 ft
8:13.0,Turnover by K. Papanikolaou (bad pass; steal by S. Larkin),,99-81,,
8:09.0,,,99-81,,S. Larkin misses 2-pt shot at rim
8:08.0,,,99-81,,Offensive rebound by C. Early
8:08.0,,,99-81,,C. Early misses 2-pt shot at rim
8:08.0,Defensive rebound by Team,,99-81,,
8:00.0,Shooting foul by Q. Acy (drawn by J. Dorsey),,99-81,,
8:00.0,J. Dorsey misses free throw 1 of 2,,99-81,,
8:00.0,Offensive rebound by Team,,99-81,,
8:00.0,J. Dorsey makes free throw 2 of 2,1,100-81,,
7:51.0,Personal foul by D. Motiejunas (drawn by S. Larkin),,100-81,,
7:45.0,,,100-81,,Shooting foul by J. Dorsey (drawn by L. Galloway)
7:45.0,,,100-82,1,L. Galloway makes free throw 1 of 2
7:45.0,,,100-83,1,L. Galloway makes free throw 2 of 2
7:36.0,D. Motiejunas makes 2-pt shot from 2 ft,2,102-83,,
7:36.0,Shooting foul by S. Larkin (drawn by D. Motiejunas),,102-83,,
7:36.0,D. Motiejunas misses free throw 1 of 1,,102-83,,
7:35.0,,,102-83,,Defensive rebound by Q. Acy
7:19.0,,,102-83,,T. Wear misses 2-pt shot from 14 ft
7:17.0,Defensive rebound by J. Dorsey,,102-83,,
7:04.0,D. Motiejunas makes 2-pt shot from 5 ft (assist by C. Brewer),2,104-83,,
7:04.0,Shooting foul by T. Wear (drawn by D. Motiejunas),,104-83,,
7:04.0,D. Motiejunas makes free throw 1 of 1,1,105-83,,
6:55.0,,,105-85,2,T. Wear makes 2-pt shot from 19 ft
6:38.0,J. Terry makes 3-pt shot from 23 ft (assist by C. Brewer),3,108-85,,
6:35.0,,,108-85,,New York full timeout
6:35.0,I. Canaan enters the game for D. Motiejunas,,108-85,,
6:19.0,,,108-85,,Shooting foul by J. Dorsey (drawn by C. Early)
6:19.0,,,108-85,,C. Early misses free throw 1 of 2
6:19.0,,,108-85,,Offensive rebound by Team
6:19.0,,,108-86,1,C. Early makes free throw 2 of 2
6:09.0,Turnover by I. Canaan (bad pass; steal by T. Wear),,108-86,,
6:04.0,,,108-86,,C. Early misses 2-pt shot from 4 ft (block by C. Brewer)
6:00.0,Defensive rebound by I. Canaan,,108-86,,
5:55.0,J. Terry makes 3-pt shot from 24 ft (assist by C. Brewer),3,111-86,,
5:42.0,,,111-86,,Shooting foul by J. Dorsey (drawn by Q. Acy)
5:42.0,,,111-86,,Q. Acy misses free throw 1 of 2
5:42.0,,,111-86,,Offensive rebound by Team
5:42.0,,,111-87,1,Q. Acy makes free throw 2 of 2
5:27.0,C. Brewer misses 3-pt shot from 23 ft,,111-87,,
5:25.0,,,111-87,,Defensive rebound by L. Galloway
5:20.0,Personal foul by I. Canaan (drawn by C. Early),,111-87,,
