time,Cleveland,pts.away,score,pts.home,Chicago
1:43.0,Offensive rebound by T. Thompson,,22-27,,
1:43.0,T. Thompson misses 2-pt shot from 1 ft,,22-27,,
1:43.0,Offensive rebound by T. Thompson,,22-27,,
1:43.0,T. Thompson makes 2-pt shot from 1 ft,2,24-27,,
1:43.0,Shooting foul by T. Gibson (drawn by T. Thompson),,24-27,,
1:43.0,,,24-27,,K. Hinrich enters the game for T. Gibson
1:43.0,T. Thompson makes free throw 1 of 1,1,25-27,,
1:28.0,,,25-27,,D. Rose misses 2-pt shot from 2 ft (block by K. Irving)
1:25.0,,,25-27,,Offensive rebound by D. Rose
1:25.0,,,25-29,2,D. Rose makes 2-pt shot from 2 ft
0:59.0,L. James makes 2-pt shot from 1 ft (assist by J. Jones),2,27-29,,
0:47.0,,,27-29,,K. Hinrich misses 3-pt shot from 25 ft
0:46.0,Defensive rebound by L. James,,27-29,,
0:39.0,J. Jones makes 3-pt shot from 24 ft (assist by L. James),3,30-29,,
0:25.0,Personal foul by L. James (drawn by M. Dunleavy),,30-29,,
0:25.0,M. Dellavedova enters the game for K. Irving,,30-29,,
0:25.0,I. Shumpert enters the game for L. James,,30-29,,
0:14.0,,,30-31,2,D. Rose makes 2-pt shot from 15 ft
0:02.0,T. Thompson makes 2-pt shot from 2 ft (assist by M. Dellavedova),2,32-31,,
0:02.0,Shooting foul by M. Dunleavy (drawn by T. Thompson),,32-31,,
0:02.0,T. Thompson makes free throw 1 of 1,1,33-31,,
0:00.0,,,33-31,,D. Rose misses 3-pt shot from 58 ft
0:00.0,,,33-31,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,,,33-31,,Personal foul by K. Hinrich (drawn by J. Smith)
11:38.0,Turnover by M. Dellavedova (bad pass; steal by N. Mirotic),,33-31,,
11:22.0,,,33-33,2,N. Mirotic makes 2-pt shot from 2 ft (assist by A. Brooks)
11:04.0,I. Shumpert misses 2-pt shot from 22 ft,,33-33,,
11:03.0,,,33-33,,Defensive rebound by A. Brooks
10:54.0,,,33-33,,N. Mirotic misses 3-pt shot from 25 ft
10:53.0,Defensive rebound by J. Jones,,33-33,,
10:44.0,I. Shumpert makes 2-pt shot from 1 ft,2,35-33,,
10:22.0,Personal foul by M. Dellavedova (drawn by P. Gasol),,35-33,,
10:22.0,K. Irving enters the game for M. Dellavedova,,35-33,,
10:10.0,,,35-33,,A. Brooks misses 2-pt shot from 20 ft
10:09.0,,,35-33,,Offensive rebound by N. Mirotic
10:09.0,,,35-35,2,N. Mirotic makes 2-pt shot from 2 ft
9:50.0,J. Jones misses 3-pt shot from 25 ft,,35-35,,
9:50.0,Offensive rebound by T. Thompson,,35-35,,
9:47.0,Cleveland full timeout,,35-35,,
9:47.0,L. James enters the game for K. Irving,,35-35,,
9:47.0,,,35-35,,J. Butler enters the game for M. Dunleavy
9:44.0,J. Jones makes 3-pt shot from 25 ft (assist by L. James),3,38-35,,
9:24.0,,,38-35,,N. Mirotic misses 2-pt shot from 4 ft
9:23.0,,,38-35,,Offensive rebound by P. Gasol
9:17.0,,,38-37,2,N. Mirotic makes 2-pt shot from 2 ft (assist by P. Gasol)
9:01.0,,,38-37,,Personal foul by N. Mirotic (drawn by J. Jones)
9:01.0,T. Mozgov enters the game for T. Thompson,,38-37,,
8:57.0,,,38-37,,Violation by J. Butler (kicked ball)
8:43.0,J. Jones misses 3-pt shot from 26 ft,,38-37,,
8:42.0,,,38-37,,Defensive rebound by P. Gasol
8:23.0,,,38-37,,J. Butler misses 3-pt shot from 25 ft
8:22.0,Defensive rebound by I. Shumpert,,38-37,,
8:10.0,T. Mozgov misses 2-pt shot from 2 ft,,38-37,,
8:09.0,,,38-37,,Defensive rebound by P. Gasol
8:02.0,Violation by J. Jones (kicked ball),,38-37,,
8:02.0,M. Dellavedova enters the game for J. Jones,,38-37,,
7:53.0,,,38-39,2,J. Butler makes 2-pt shot from 13 ft
7:43.0,L. James misses 2-pt shot from 5 ft (block by K. Hinrich),,38-39,,
7:38.0,Jump ball: K. Hinrich vs. L. James (J. Butler gains possession),,,,Jump ball: K. Hinrich vs. L. James (J. Butler gains possession)
7:38.0,,,38-39,,Defensive rebound by Team
7:32.0,,,38-39,,Turnover by P. Gasol (bad pass; steal by J. Smith)
7:27.0,Turnover by J. Smith (bad pass),,38-39,,
7:12.0,,,38-39,,P. Gasol misses 2-pt shot from 21 ft
7:11.0,Defensive rebound by I. Shumpert,,38-39,,
6:54.0,I. Shumpert misses 3-pt shot from 23 ft,,38-39,,
6:52.0,,,38-39,,Defensive rebound by A. Brooks
6:38.0,,,38-39,,Shooting foul by J. Smith (drawn by N. Mirotic)
6:38.0,,,38-39,,N. Mirotic misses free throw 1 of 2
6:38.0,,,38-39,,Offensive rebound by Team
6:38.0,,,38-39,,D. Rose enters the game for A. Brooks
6:38.0,,,38-40,1,N. Mirotic makes free throw 2 of 2
6:17.0,J. Smith misses 3-pt shot from 24 ft,,38-40,,
6:16.0,Offensive rebound by T. Mozgov,,38-40,,
6:02.0,L. James misses 2-pt shot from 5 ft,,38-40,,
6:00.0,Offensive rebound by Team,,38-40,,
6:00.0,,,38-40,,Personal foul by J. Butler (drawn by L. James)
5:43.0,M. Dellavedova makes 3-pt shot from 24 ft (assist by J. Smith),3,41-40,,
5:25.0,,,41-40,,J. Butler misses 2-pt shot from 6 ft
5:24.0,Defensive rebound by J. Smith,,41-40,,
5:19.0,Cleveland full timeout,,41-40,,
5:19.0,,,41-40,,J. Noah enters the game for P. Gasol
5:19.0,I. Shumpert makes flagrant free throw 1 of 2,1,42-40,,
5:19.0,I. Shumpert misses flagrant free throw 2 of 2,,42-40,,
5:19.0,Offensive rebound by Team,,42-40,,
5:10.0,I. Shumpert makes 2-pt shot from 1 ft,2,44-40,,
4:47.0,,,44-40,,N. Mirotic misses 3-pt shot from 25 ft
4:46.0,Defensive rebound by I. Shumpert,,44-40,,
4:39.0,I. Shumpert makes 3-pt shot from 26 ft,3,47-40,,
4:31.0,,,47-40,,Chicago full timeout
4:31.0,,,47-40,,M. Dunleavy enters the game for N. Mirotic
4:19.0,,,47-40,,Turnover by J. Butler (bad pass)
4:05.0,Turnover by L. James (lost ball),,47-40,,
3:43.0,,,47-42,2,D. Rose makes 2-pt shot from 10 ft
3:21.0,T. Mozgov misses 2-pt shot from 1 ft (block by J. Noah),,47-42,,
3:20.0,Offensive rebound by Team,,47-42,,
3:20.0,T. Thompson enters the game for T. Mozgov,,47-42,,
3:13.0,L. James makes 2-pt shot from 22 ft (assist by J. Smith),2,49-42,,
3:01.0,,,49-42,,J. Butler misses 2-pt shot from 10 ft (block by I. Shumpert)
2:58.0,Defensive rebound by I. Shumpert,,49-42,,
2:50.0,I. Shumpert misses 2-pt shot from 2 ft (block by M. Dunleavy),,49-42,,
2:49.0,Offensive rebound by I. Shumpert,,49-42,,
2:46.0,J. Smith makes 3-pt shot from 24 ft (assist by I. Shumpert),3,52-42,,
2:29.0,,,52-42,,D. Rose misses 2-pt shot from 10 ft
2:28.0,Defensive rebound by J. Smith,,52-42,,
2:20.0,I. Shumpert makes 3-pt shot from 25 ft (assist by L. James),3,55-42,,
2:03.0,,,55-42,,M. Dunleavy misses 2-pt shot from 15 ft
2:02.0,Defensive rebound by L. James,,55-42,,
1:49.0,Turnover by L. James (traveling),,55-42,,
1:38.0,Personal foul by J. Smith (drawn by D. Rose),,55-42,,
1:23.0,,,55-42,,D. Rose misses 2-pt shot from 16 ft
1:22.0,Defensive rebound by L. James,,55-42,,
1:21.0,Cleveland full timeout,,55-42,,
1:21.0,,,55-42,,T. Snell enters the game for K. Hinrich
1:00.0,L. James misses 2-pt shot from 10 ft,,55-42,,
0:59.0,,,55-42,,Defensive rebound by T. Snell
0:49.0,,,55-42,,J. Butler misses 3-pt shot from 24 ft
0:48.0,Defensive rebound by J. Smith,,55-42,,
0:27.0,Shooting foul by T. Snell (drawn by J. Smith),,55-42,,
0:27.0,J. Smith makes free throw 1 of 3,1,56-42,,
0:27.0,J. Smith makes free throw 2 of 3,1,57-42,,
0:27.0,J. Jones enters the game for L. James,,57-42,,
0:27.0,J. Smith makes free throw 3 of 3,1,58-42,,
0:06.0,,,58-44,2,J. Butler makes 2-pt shot from 2 ft
0:03.0,Offensive foul by J. Jones,,58-44,,
0:03.0,Turnover by J. Jones (offensive foul),,58-44,,
0:00.0,,,58-44,,T. Snell misses 2-pt shot from 22 ft
0:00.0,,,58-44,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:40.0,I. Shumpert misses 2-pt shot from 2 ft,,58-44,,
11:39.0,,,58-44,,Defensive rebound by J. Noah
11:22.0,,,58-44,,M. Dunleavy misses 3-pt shot from 23 ft
11:21.0,,,58-44,,Offensive rebound by J. Noah
11:16.0,,,58-44,,M. Dunleavy misses 3-pt shot from 24 ft
11:15.0,Defensive rebound by L. James,,58-44,,
10:55.0,L. James misses 3-pt shot from 24 ft,,58-44,,
10:54.0,,,58-44,,Defensive rebound by J. Noah
10:41.0,,,58-44,,J. Butler misses 2-pt shot from 2 ft
10:40.0,,,58-44,,Offensive rebound by J. Noah
10:35.0,,,58-44,,D. Rose misses 2-pt shot from 2 ft
10:34.0,Defensive rebound by L. James,,58-44,,
10:11.0,T. Mozgov misses 2-pt shot from 17 ft,,58-44,,
10:11.0,,,58-44,,Defensive rebound by Team
10:11.0,Loose ball foul by T. Thompson (drawn by M. Dunleavy),,58-44,,
9:47.0,,,58-44,,M. Dunleavy misses 3-pt shot from 25 ft
9:46.0,Defensive rebound by T. Thompson,,58-44,,
9:20.0,I. Shumpert misses 2-pt shot from 17 ft,,58-44,,
9:19.0,,,58-44,,Defensive rebound by P. Gasol
9:12.0,,,58-44,,J. Butler misses 2-pt shot from 3 ft
9:11.0,,,58-44,,Offensive rebound by J. Butler
9:09.0,,,58-44,,J. Butler misses 2-pt shot from 3 ft (block by T. Mozgov)
9:09.0,,,58-44,,Offensive rebound by Team
9:05.0,,,58-46,2,M. Dunleavy makes 2-pt shot from 3 ft
8:36.0,I. Shumpert misses 3-pt shot from 23 ft,,58-46,,
8:35.0,Offensive rebound by T. Mozgov,,58-46,,
8:30.0,T. Thompson misses 2-pt shot from 3 ft,,58-46,,
8:29.0,,,58-46,,Defensive rebound by J. Noah
8:17.0,,,58-46,,P. Gasol misses 2-pt shot from 6 ft
8:15.0,Defensive rebound by T. Thompson,,58-46,,
7:53.0,L. James misses 2-pt shot from 20 ft,,58-46,,
7:52.0,,,58-46,,Defensive rebound by M. Dunleavy
7:34.0,,,58-46,,D. Rose misses 2-pt shot from 20 ft
7:33.0,Defensive rebound by T. Thompson,,58-46,,
7:12.0,I. Shumpert misses 2-pt shot from 6 ft (block by M. Dunleavy),,58-46,,
7:10.0,Offensive rebound by I. Shumpert,,58-46,,
7:10.0,I. Shumpert misses 2-pt shot from 12 ft,,58-46,,
7:10.0,Offensive rebound by Team,,58-46,,
7:10.0,Turnover by Team (shot clock),,58-46,,
7:10.0,J. Smith enters the game for T. Mozgov,,58-46,,
6:50.0,Personal foul by M. Dellavedova (drawn by D. Rose),,58-46,,
6:43.0,Personal foul by L. James (drawn by J. Noah),,58-46,,
6:35.0,Personal foul by J. Smith (drawn by J. Noah),,58-46,,
6:30.0,,,58-46,,Turnover by J. Noah (bad pass; steal by I. Shumpert)
6:23.0,L. James misses 2-pt shot from 2 ft,,58-46,,
6:22.0,Offensive rebound by T. Thompson,,58-46,,
6:22.0,T. Thompson misses 2-pt shot from 2 ft,,58-46,,
6:22.0,Offensive rebound by T. Thompson,,58-46,,
6:22.0,,,58-46,,Personal foul by J. Butler (drawn by T. Thompson)
6:13.0,M. Dellavedova makes 2-pt shot from 4 ft,2,60-46,,
6:02.0,,,60-46,,Shooting foul by L. James (drawn by J. Butler)
6:02.0,,,60-47,1,J. Butler makes free throw 1 of 2
6:02.0,,,60-47,,T. Gibson enters the game for P. Gasol
6:02.0,,,60-48,1,J. Butler makes free throw 2 of 2
5:45.0,M. Dellavedova makes 3-pt shot from 25 ft (assist by L. James),3,63-48,,
5:34.0,,,63-48,,J. Noah misses 2-pt shot from 2 ft (block by L. James)
5:32.0,Defensive rebound by T. Thompson,,63-48,,
5:24.0,T. Thompson misses 2-pt shot from 2 ft (block by M. Dunleavy),,63-48,,
5:22.0,Offensive rebound by L. James,,63-48,,
5:13.0,,,63-48,,Personal foul by M. Dunleavy (drawn by L. James)
5:13.0,,,63-48,,Chicago full timeout
5:00.0,L. James makes 2-pt shot from 15 ft (assist by I. Shumpert),2,65-48,,
4:45.0,,,65-48,,J. Butler misses 2-pt shot from 22 ft
4:44.0,Defensive rebound by T. Thompson,,65-48,,
4:22.0,L. James makes 2-pt shot from 15 ft,2,67-48,,
4:03.0,,,67-48,,M. Dunleavy misses 2-pt shot from 2 ft
4:02.0,Defensive rebound by T. Thompson,,67-48,,
3:45.0,J. Smith misses 3-pt shot from 25 ft,,67-48,,
3:44.0,,,67-48,,Defensive rebound by D. Rose
3:38.0,,,67-51,3,J. Butler makes 3-pt shot from 26 ft (assist by M. Dunleavy)
3:15.0,M. Dellavedova misses 3-pt shot from 24 ft,,67-51,,
3:13.0,,,67-51,,Defensive rebound by J. Noah
3:05.0,,,67-51,,Offensive charge foul by D. Rose
3:05.0,,,67-51,,Turnover by D. Rose (offensive foul)
3:05.0,Cleveland full timeout,,67-51,,
2:41.0,L. James misses 2-pt shot from 16 ft,,67-51,,
2:40.0,Offensive rebound by J. Smith,,67-51,,
2:21.0,L. James misses 2-pt shot from 15 ft,,67-51,,
2:20.0,,,67-51,,Defensive rebound by T. Gibson
2:01.0,,,67-53,2,J. Butler makes 2-pt shot from 16 ft (assist by D. Rose)
1:34.0,J. Smith makes 3-pt shot from 23 ft,3,70-53,,
1:06.0,,,70-55,2,D. Rose makes 2-pt shot from 10 ft (assist by M. Dunleavy)
0:46.0,Turnover by M. Dellavedova (bad pass; steal by T. Gibson),,70-55,,
0:44.0,,,70-57,2,J. Butler makes 2-pt shot at rim (assist by T. Gibson)
0:26.0,J. Smith makes 3-pt shot from 25 ft (assist by L. James),3,73-57,,
0:06.0,,,73-60,3,J. Butler makes 3-pt shot from 26 ft (assist by D. Rose)
0:00.0,L. James misses 3-pt shot from 27 ft,,73-60,,
0:00.0,Offensive rebound by Team,,73-60,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,,,73-60,,J. Butler misses 2-pt shot from 20 ft
11:42.0,Defensive rebound by T. Thompson,,73-60,,
11:21.0,Turnover by Team (shot clock),,73-60,,
11:05.0,,,73-60,,J. Butler misses 3-pt shot from 26 ft
11:04.0,Defensive rebound by L. James,,73-60,,
10:49.0,M. Dellavedova makes 2-pt shot from 5 ft,2,75-60,,
10:27.0,,,75-60,,T. Gibson misses 2-pt shot from 5 ft (block by L. James)
10:25.0,Defensive rebound by J. Smith,,75-60,,
10:19.0,M. Dellavedova makes 2-pt shot from 22 ft (assist by I. Shumpert),2,77-60,,
10:02.0,,,77-60,,J. Butler misses 2-pt shot from 16 ft
10:01.0,,,77-60,,Offensive rebound by J. Butler
10:00.0,,,77-60,,T. Gibson misses 2-pt shot from 1 ft (block by T. Thompson)
9:58.0,Defensive rebound by L. James,,77-60,,
9:47.0,L. James makes 2-pt shot from 6 ft,2,79-60,,
9:32.0,,,79-62,2,A. Brooks makes 2-pt shot from 2 ft
9:12.0,M. Dellavedova makes 3-pt shot from 25 ft (assist by L. James),3,82-62,,
9:11.0,,,82-62,,Chicago full timeout
9:11.0,,,82-62,,P. Gasol enters the game for J. Noah
9:11.0,T. Mozgov enters the game for I. Shumpert,,82-62,,
8:52.0,,,82-62,,A. Brooks misses 2-pt shot from 15 ft
8:51.0,Defensive rebound by T. Thompson,,82-62,,
8:27.0,M. Dellavedova misses 3-pt shot from 26 ft,,82-62,,
8:26.0,Offensive rebound by J. Smith,,82-62,,
8:05.0,L. James makes 2-pt shot from 2 ft,2,84-62,,
7:38.0,,,84-64,2,A. Brooks makes 2-pt shot from 15 ft
7:14.0,L. James misses 2-pt shot from 10 ft,,84-64,,
7:13.0,Offensive rebound by T. Mozgov,,84-64,,
7:12.0,Cleveland full timeout,,84-64,,
7:12.0,,,84-64,,D. Rose enters the game for A. Brooks
7:12.0,I. Shumpert enters the game for L. James,,84-64,,
7:04.0,M. Dellavedova misses 2-pt shot from 14 ft (block by T. Gibson),,84-64,,
7:03.0,Offensive rebound by M. Dellavedova,,84-64,,
6:57.0,I. Shumpert makes 2-pt shot from 17 ft,2,86-64,,
6:45.0,,,86-64,,Offensive charge foul by J. Butler
6:45.0,,,86-64,,Turnover by J. Butler (offensive foul)
6:26.0,J. Smith misses 3-pt shot from 24 ft,,86-64,,
6:25.0,Offensive rebound by T. Mozgov,,86-64,,
6:09.0,M. Dellavedova makes 2-pt shot from 8 ft,2,88-64,,
5:50.0,,,88-64,,P. Gasol misses 2-pt shot from 5 ft
5:49.0,Defensive rebound by T. Thompson,,88-64,,
5:36.0,Shooting foul by T. Gibson (drawn by M. Dellavedova),,88-64,,
5:36.0,M. Dellavedova makes free throw 1 of 2,1,89-64,,
5:36.0,L. James enters the game for I. Shumpert,,89-64,,
5:36.0,,,89-64,,J. Noah enters the game for P. Gasol
5:36.0,,,89-64,,N. Mirotic enters the game for T. Gibson
5:36.0,M. Dellavedova makes free throw 2 of 2,1,90-64,,
5:22.0,,,90-66,2,J. Noah makes 2-pt shot at rim (assist by D. Rose)
5:03.0,T. Thompson misses 2-pt shot from 7 ft,,90-66,,
5:02.0,,,90-66,,Defensive rebound by J. Butler
4:52.0,,,90-66,,J. Butler misses 2-pt shot from 4 ft (block by T. Thompson)
4:50.0,Defensive rebound by J. Smith,,90-66,,
4:37.0,T. Thompson makes 2-pt shot from 6 ft (assist by L. James),2,92-66,,
4:37.0,Shooting foul by J. Noah (drawn by T. Thompson),,92-66,,
4:37.0,T. Thompson makes free throw 1 of 1,1,93-66,,
4:26.0,,,93-66,,D. Rose misses 3-pt shot from 25 ft (block by J. Smith)
4:25.0,Defensive rebound by T. Thompson,,93-66,,
4:05.0,Turnover by J. Smith (lost ball),,93-66,,
4:05.0,,,93-66,,T. Snell enters the game for K. Hinrich
3:55.0,,,93-69,3,T. Snell makes 3-pt shot from 24 ft (assist by J. Noah)
3:32.0,L. James misses 2-pt shot from 12 ft,,93-69,,
3:31.0,,,93-69,,Defensive rebound by J. Noah
3:23.0,,,93-69,,Shooting foul by J. Smith (drawn by T. Snell)
3:23.0,,,93-70,1,T. Snell makes free throw 1 of 2
3:23.0,,,93-71,1,T. Snell makes free throw 2 of 2
3:02.0,Shooting foul by J. Butler (drawn by L. James),,93-71,,
3:02.0,L. James misses free throw 1 of 2,,93-71,,
3:02.0,Offensive rebound by Team,,93-71,,
3:02.0,L. James makes free throw 2 of 2,1,94-71,,
2:51.0,,,94-71,,N. Mirotic misses 2-pt shot from 22 ft
2:49.0,Defensive rebound by J. Smith,,94-71,,
2:31.0,Turnover by L. James (lost ball; steal by J. Butler),,94-71,,
2:21.0,,,94-71,,N. Mirotic misses 3-pt shot from 25 ft
2:20.0,Defensive rebound by M. Dellavedova,,94-71,,
2:16.0,Cleveland full timeout,,94-71,,
2:16.0,,,94-71,,D. McDermott enters the game for J. Noah
2:16.0,,,94-71,,N. Mohammed enters the game for J. Butler
2:16.0,,,94-71,,E. Moore enters the game for D. Rose
2:16.0,J. Harris enters the game for T. Thompson,,94-71,,
2:16.0,J. Jones enters the game for L. James,,94-71,,
2:16.0,K. Perkins enters the game for T. Mozgov,,94-71,,
2:16.0,M. Miller enters the game for J. Smith,,94-71,,
2:04.0,Turnover by M. Dellavedova (lost ball; steal by E. Moore),,94-71,,
2:03.0,Personal foul by M. Dellavedova (drawn by E. Moore),,94-71,,
1:54.0,,,94-71,,T. Snell misses 2-pt shot from 22 ft
1:53.0,Defensive rebound by J. Jones,,94-71,,
1:41.0,Turnover by J. Harris (bad pass; steal by E. Moore),,94-71,,
1:31.0,,,94-71,,N. Mohammed misses 2-pt shot from 16 ft
1:30.0,Defensive rebound by K. Perkins,,94-71,,
1:14.0,J. Jones misses 3-pt shot from 25 ft,,94-71,,
1:12.0,,,94-71,,Defensive rebound by D. McDermott
1:03.0,,,94-71,,E. Moore misses 2-pt shot from 18 ft
1:02.0,Defensive rebound by K. Perkins,,94-71,,
0:45.0,M. Dellavedova misses 3-pt shot from 26 ft,,94-71,,
0:43.0,,,94-71,,Defensive rebound by N. Mohammed
0:33.0,,,94-73,2,E. Moore makes 2-pt shot from 2 ft (assist by D. McDermott)
0:09.0,Turnover by Team (shot clock),,94-73,,
0:00.0,,,94-73,,N. Mohammed misses 3-pt shot from 25 ft
0:00.0,,,94-73,,Offensive rebound by Team
0:00.0,End of 4th quarter,,,,End of 4th quarter
