time,Detroit,pts.away,score,pts.home,Utah
2:16.0,A. Tolliver enters the game for J. Anthony,,78-81,,
2:16.0,,,78-82,1,D. Favors makes free throw 2 of 2
1:57.0,S. Dinwiddie makes 3-pt shot from 24 ft,3,81-82,,
1:39.0,,,81-84,2,R. Hood makes 2-pt shot from 10 ft (assist by D. Favors)
1:25.0,A. Tolliver misses 3-pt shot from 24 ft,,81-84,,
1:23.0,Offensive rebound by G. Monroe,,81-84,,
1:21.0,G. Monroe makes 2-pt shot from 5 ft,2,83-84,,
1:02.0,,,83-84,,G. Hayward misses 2-pt shot from 8 ft
1:00.0,Defensive rebound by S. Dinwiddie,,83-84,,
0:56.0,S. Dinwiddie misses 3-pt shot from 25 ft,,83-84,,
0:55.0,,,83-84,,Defensive rebound by R. Hood
0:38.0,,,83-86,2,G. Hayward makes 2-pt shot at rim (assist by R. Gobert)
0:38.0,Detroit full timeout,,83-86,,
0:32.0,G. Monroe makes 2-pt shot from 2 ft (assist by S. Dinwiddie),2,85-86,,
0:30.0,,,85-86,,Utah full timeout
0:30.0,T. Prince enters the game for A. Tolliver,,85-86,,
0:30.0,,,85-86,,T. Burke enters the game for R. Gobert
0:13.0,,,85-88,2,T. Burke makes 2-pt shot from 9 ft (assist by G. Hayward)
0:13.0,Detroit full timeout,,85-88,,
0:13.0,,,85-88,,R. Gobert enters the game for T. Burke
0:04.0,S. Dinwiddie misses 3-pt shot from 24 ft,,85-88,,
0:03.0,,,85-88,,Defensive rebound by R. Gobert
0:03.0,Personal foul by T. Prince (drawn by R. Gobert),,85-88,,
0:03.0,,,85-88,,R. Gobert misses free throw 1 of 2
0:03.0,,,85-88,,Offensive rebound by Team
0:03.0,A. Tolliver enters the game for T. Prince,,85-88,,
0:03.0,,,85-88,,E. Millsap enters the game for D. Favors
0:03.0,,,85-88,,R. Gobert misses free throw 2 of 2
0:02.0,Defensive rebound by G. Monroe,,85-88,,
0:01.0,S. Dinwiddie misses 3-pt shot from 59 ft,,85-88,,
0:00.0,Offensive rebound by Team,,85-88,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
