time,LA Clippers,pts.away,score,pts.home,Detroit
10:19.0,R. Bullock misses 3-pt shot from 23 ft,,27-30,,
10:18.0,,,27-30,,Defensive rebound by J. Jerebko
10:11.0,,,27-30,,J. Jerebko misses 3-pt shot from 26 ft
10:10.0,Defensive rebound by R. Bullock,,27-30,,
10:04.0,Turnover by J. Farmar (bad pass; steal by G. Monroe),,27-30,,
9:59.0,,,27-32,2,K. Singler makes 2-pt shot at rim (assist by S. Dinwiddie)
9:44.0,J. Crawford misses 2-pt shot from 5 ft,,27-32,,
9:43.0,,,27-32,,Defensive rebound by C. Butler
9:36.0,,,27-35,3,S. Dinwiddie makes 3-pt shot from 25 ft
9:16.0,S. Hawes misses 2-pt shot from 14 ft,,27-35,,
9:16.0,,,27-35,,Defensive rebound by G. Monroe
9:02.0,,,27-37,2,S. Dinwiddie makes 2-pt shot at rim
8:56.0,LA Clippers full timeout,,27-37,,
8:46.0,G. Davis makes 2-pt shot at rim (assist by J. Crawford),2,29-37,,
8:26.0,,,29-37,,J. Jerebko misses 2-pt shot from 1 ft
8:24.0,,,29-37,,Offensive rebound by G. Monroe
8:23.0,,,29-37,,G. Monroe misses 2-pt shot from 1 ft
8:21.0,Defensive rebound by S. Hawes,,29-37,,
8:12.0,S. Hawes misses 2-pt shot from 6 ft,,29-37,,
8:11.0,,,29-37,,Defensive rebound by G. Monroe
8:00.0,C. Paul enters the game for J. Farmar,,29-37,,
7:48.0,,,29-37,,S. Dinwiddie misses 3-pt shot from 26 ft
7:47.0,Defensive rebound by S. Hawes,,29-37,,
7:41.0,Shooting foul by K. Singler (drawn by J. Crawford),,29-37,,
7:41.0,,,29-37,,Technical foul by K. Singler (drawn by J. Crawford)
7:41.0,C. Paul makes technical free throw,1,30-37,,
7:41.0,J. Crawford makes free throw 1 of 2,1,31-37,,
7:41.0,,,31-37,,C. Martin enters the game for K. Singler
7:41.0,J. Crawford makes free throw 2 of 2,1,32-37,,
7:19.0,,,32-37,,Turnover by G. Monroe (lost ball; steal by R. Bullock)
6:57.0,S. Hawes misses 2-pt shot from 4 ft,,32-37,,
6:56.0,,,32-37,,Defensive rebound by G. Monroe
6:48.0,,,32-37,,C. Martin misses 3-pt shot from 25 ft
6:47.0,Defensive rebound by Team,,32-37,,
6:42.0,J. Redick enters the game for R. Bullock,,32-37,,
6:42.0,B. Griffin enters the game for S. Hawes,,32-37,,
6:42.0,D. Jordan enters the game for G. Davis,,32-37,,
6:42.0,,,32-37,,A. Drummond enters the game for J. Jerebko
6:32.0,B. Griffin misses 2-pt shot from 18 ft,,32-37,,
6:31.0,Offensive rebound by Team,,32-37,,
6:31.0,Jump ball: C. Butler vs. B. Griffin (J. Redick gains possession),,,,Jump ball: C. Butler vs. B. Griffin (J. Redick gains possession)
6:23.0,J. Crawford makes 3-pt shot from 26 ft (assist by C. Paul),3,35-37,,
5:58.0,,,35-37,,Turnover by A. Drummond (step out of bounds)
5:58.0,Official timeout,,35-37,,
5:58.0,,,35-37,,J. Smith enters the game for G. Monroe
5:58.0,,,35-37,,D. Augustin enters the game for C. Butler
5:58.0,,,35-37,,K. Caldwell-Pope enters the game for S. Dinwiddie
5:42.0,B. Griffin misses 2-pt shot at rim,,35-37,,
5:41.0,,,35-37,,Defensive rebound by J. Smith
5:29.0,,,35-39,2,D. Augustin makes 2-pt shot from 7 ft
5:29.0,,,35-39,,Shooting foul by J. Redick (drawn by D. Augustin)
5:29.0,,,35-40,1,D. Augustin makes free throw 1 of 1
