time,Sacramento,pts.away,score,pts.home,Minnesota
9:59.0,,,88-82,,Defensive rebound by S. Muhammad
9:38.0,,,88-82,,R. Hummel misses 2-pt shot from 18 ft
9:36.0,,,88-82,,Offensive rebound by S. Muhammad
9:34.0,,,88-84,2,S. Muhammad makes 2-pt shot from 9 ft
9:16.0,B. McLemore misses 3-pt shot from 23 ft,,88-84,,
9:15.0,Offensive rebound by D. Williams,,88-84,,
9:10.0,D. Williams makes 3-pt shot from 25 ft,3,91-84,,
8:56.0,,,91-84,,Z. LaVine misses 2-pt shot from 7 ft
8:54.0,Defensive rebound by B. McLemore,,91-84,,
8:38.0,R. Gay misses 2-pt shot from 15 ft,,91-84,,
8:37.0,,,91-84,,Defensive rebound by C. Budinger
8:28.0,,,91-84,,G. Dieng enters the game for R. Hummel
8:28.0,D. Cousins enters the game for C. Landry,,91-84,,
8:28.0,,,91-84,,C. Brewer enters the game for A. Wiggins
8:14.0,,,91-84,,C. Brewer misses 2-pt shot from 16 ft
8:13.0,Defensive rebound by D. Cousins,,91-84,,
8:03.0,D. Cousins makes 2-pt shot from 17 ft (assist by R. Sessions),2,93-84,,
7:52.0,,,93-84,,Minnesota full timeout
7:52.0,,,93-84,,M. Williams enters the game for Z. LaVine
7:36.0,,,93-84,,C. Brewer misses 3-pt shot from 23 ft
7:35.0,Defensive rebound by D. Cousins,,93-84,,
7:20.0,B. McLemore misses 2-pt shot from 2 ft,,93-84,,
7:19.0,Offensive rebound by D. Cousins,,93-84,,
7:16.0,D. Cousins makes 2-pt shot from 1 ft,2,95-84,,
7:06.0,Personal foul by B. McLemore,,95-84,,
7:06.0,,,95-84,,A. Wiggins enters the game for C. Budinger
6:56.0,,,95-86,2,A. Wiggins makes 2-pt shot from 2 ft (assist by M. Williams)
6:33.0,R. Sessions misses 3-pt shot from 26 ft,,95-86,,
6:32.0,,,95-86,,Defensive rebound by S. Muhammad
6:25.0,,,95-86,,C. Brewer misses 3-pt shot from 22 ft
6:23.0,Defensive rebound by B. McLemore,,95-86,,
6:09.0,Turnover by R. Sessions (lost ball; steal by S. Muhammad),,95-86,,
6:03.0,Shooting block foul by D. Cousins,,95-86,,
6:03.0,,,95-87,1,S. Muhammad makes free throw 1 of 2
6:03.0,D. Collison enters the game for R. Sessions,,95-87,,
6:03.0,,,95-87,,S. Muhammad misses free throw 2 of 2
6:02.0,Defensive rebound by Team,,95-87,,
6:02.0,,,95-87,,A. Bennett enters the game for S. Muhammad
5:53.0,D. Williams misses 3-pt shot from 25 ft,,95-87,,
5:51.0,,,95-87,,Defensive rebound by G. Dieng
5:37.0,,,95-90,3,A. Wiggins makes 3-pt shot from 24 ft (assist by A. Bennett)
5:36.0,Sacramento full timeout,,95-90,,
5:24.0,R. Gay makes 2-pt shot from 9 ft,2,97-90,,
5:01.0,Violation by Team (delay of game),,97-90,,
4:57.0,,,97-92,2,C. Brewer makes 2-pt shot from 11 ft (assist by G. Dieng)
4:39.0,Shooting foul by G. Dieng (drawn by D. Cousins),,97-92,,
4:39.0,D. Cousins makes free throw 1 of 2,1,98-92,,
4:39.0,D. Cousins makes free throw 2 of 2,1,99-92,,
4:32.0,Personal foul by R. Gay,,99-92,,
4:24.0,,,99-92,,A. Wiggins misses 2-pt shot from 17 ft
4:23.0,,,99-92,,Offensive rebound by A. Bennett
4:22.0,,,99-92,,A. Bennett misses 2-pt shot from 1 ft
4:21.0,Defensive rebound by D. Williams,,99-92,,
