time,Utah,pts.away,score,pts.home,Atlanta
5:38.0,E. Kanter makes 2-pt shot from 1 ft (assist by A. Burks),2,18-14,,
5:23.0,,,18-14,,P. Antic misses 2-pt shot from 19 ft
5:21.0,Defensive rebound by D. Favors,,18-14,,
5:14.0,A. Burks makes 2-pt shot from 18 ft (assist by D. Exum),2,20-14,,
4:58.0,,,20-14,,Shooting foul by D. Favors (drawn by P. Antic)
4:58.0,,,20-14,,P. Antic misses free throw 1 of 2
4:58.0,,,20-14,,Offensive rebound by Team
4:58.0,,,20-14,,K. Bazemore enters the game for T. Sefolosha
4:58.0,,,20-15,1,P. Antic makes free throw 2 of 2
4:42.0,Turnover by D. Favors (bad pass; steal by J. Teague),,20-15,,
4:36.0,,,20-17,2,J. Teague makes 2-pt shot at rim
4:27.0,,,20-17,,Personal foul by J. Teague (drawn by T. Burke)
4:20.0,D. Favors makes 2-pt shot from 13 ft (assist by T. Burke),2,22-17,,
4:08.0,,,22-17,,P. Millsap misses 2-pt shot from 2 ft (block by D. Favors)
4:07.0,,,22-17,,Offensive rebound by P. Millsap
4:07.0,T. Booker enters the game for E. Kanter,,22-17,,
4:01.0,,,22-19,2,K. Korver makes 2-pt shot from 14 ft (assist by J. Teague)
4:01.0,,,22-19,,Shooting foul by A. Burks (drawn by K. Korver)
4:01.0,,,22-19,,D. Schroder enters the game for J. Teague
4:01.0,,,22-20,1,K. Korver makes free throw 1 of 1
3:46.0,T. Burke makes 3-pt shot from 24 ft (assist by T. Booker),3,25-20,,
3:41.0,,,25-20,,Offensive charge foul by K. Bazemore
3:41.0,,,25-20,,Turnover by K. Bazemore (offensive foul)
3:28.0,D. Exum misses 3-pt shot from 23 ft,,25-20,,
3:28.0,,,25-20,,Defensive rebound by Team
3:14.0,,,25-22,2,P. Millsap makes 2-pt shot from 1 ft (assist by D. Schroder)
3:04.0,Turnover by T. Burke (bad pass; steal by K. Bazemore),,25-22,,
2:54.0,,,25-25,3,K. Korver makes 3-pt shot from 26 ft (assist by D. Schroder)
2:44.0,Utah full timeout,,25-25,,
2:44.0,R. Gobert enters the game for D. Favors,,25-25,,
2:44.0,J. Ingles enters the game for T. Burke,,25-25,,
2:31.0,D. Exum misses 3-pt shot from 23 ft,,25-25,,
2:30.0,,,25-25,,Defensive rebound by P. Millsap
2:25.0,,,25-28,3,K. Korver makes 3-pt shot from 27 ft (assist by P. Millsap)
2:05.0,D. Exum misses 2-pt shot from 5 ft,,25-28,,
2:04.0,,,25-28,,Defensive rebound by P. Millsap
1:59.0,,,25-28,,Turnover by P. Millsap (lost ball)
1:44.0,A. Burks makes 2-pt shot from 6 ft (assist by T. Booker),2,27-28,,
1:44.0,Shooting foul by K. Bazemore (drawn by A. Burks),,27-28,,
1:44.0,A. Burks makes free throw 1 of 1,1,28-28,,
1:22.0,,,28-28,,K. Korver misses 2-pt shot from 18 ft (block by R. Gobert)
1:20.0,,,28-28,,Offensive rebound by P. Millsap
1:19.0,,,28-28,,Turnover by Team (shot clock)
1:19.0,,,28-28,,A. Horford enters the game for P. Antic
1:19.0,,,28-28,,M. Muscala enters the game for P. Millsap
1:07.0,Turnover by A. Burks (bad pass; steal by K. Bazemore),,28-28,,
1:01.0,,,28-28,,K. Korver misses 3-pt shot from 25 ft
1:00.0,,,28-28,,Offensive rebound by Team
0:54.0,,,28-30,2,A. Horford makes 2-pt shot from 21 ft (assist by D. Schroder)
0:37.0,T. Booker misses 2-pt shot from 2 ft (block by M. Muscala),,28-30,,
0:36.0,Offensive rebound by T. Booker,,28-30,,
0:36.0,T. Booker makes 2-pt shot at rim,2,30-30,,
0:36.0,Shooting foul by A. Horford (drawn by T. Booker),,30-30,,
0:36.0,T. Booker misses free throw 1 of 1,,30-30,,
0:33.0,Offensive rebound by Team,,30-30,,
0:33.0,,,30-30,,S. Mack enters the game for K. Korver
0:24.0,T. Booker makes 2-pt shot from 1 ft (assist by A. Burks),2,32-30,,
0:04.0,,,32-32,2,D. Schroder makes 2-pt shot from 15 ft
0:00.0,J. Ingles misses 3-pt shot from 26 ft,,32-32,,
0:00.0,Offensive rebound by Team,,32-32,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:38.0,J. Ingles misses 3-pt shot from 24 ft,,32-32,,
11:37.0,,,32-32,,Defensive rebound by S. Mack
11:22.0,,,32-32,,Shooting foul by T. Booker (drawn by M. Muscala)
11:22.0,,,32-33,1,M. Muscala makes free throw 1 of 2
11:22.0,,,32-34,1,M. Muscala makes free throw 2 of 2
11:03.0,R. Gobert makes 2-pt shot at rim (assist by J. Ingles),2,34-34,,
11:03.0,Shooting foul by M. Muscala (drawn by R. Gobert),,34-34,,
11:03.0,R. Gobert makes free throw 1 of 1,1,35-34,,
10:38.0,,,35-34,,M. Muscala misses 2-pt shot from 16 ft
10:37.0,Defensive rebound by R. Gobert,,35-34,,
10:31.0,G. Hayward makes 2-pt shot from 18 ft,2,37-34,,
10:15.0,,,37-34,,S. Mack misses 2-pt shot from 7 ft
10:13.0,,,37-34,,Offensive rebound by A. Horford
10:01.0,,,37-34,,M. Muscala misses 2-pt shot from 8 ft
10:00.0,Defensive rebound by R. Gobert,,37-34,,
9:48.0,G. Hayward misses 2-pt shot from 3 ft,,37-34,,
9:46.0,,,37-34,,Defensive rebound by M. Muscala
9:35.0,,,37-34,,Turnover by D. Schroder (bad pass; steal by J. Ingles)
9:23.0,T. Booker makes 2-pt shot at rim (assist by J. Ingles),2,39-34,,
9:06.0,,,39-34,,Turnover by A. Horford (lost ball; steal by G. Hayward)
8:55.0,G. Hayward misses 2-pt shot from 1 ft (block by A. Horford),,39-34,,
8:52.0,Offensive rebound by R. Gobert,,39-34,,
8:42.0,T. Booker makes 2-pt shot from 4 ft,2,41-34,,
8:42.0,,,41-34,,Atlanta full timeout
8:42.0,,,41-34,,T. Sefolosha enters the game for K. Bazemore
8:42.0,,,41-34,,P. Millsap enters the game for M. Muscala
8:42.0,E. Kanter enters the game for D. Exum,,41-34,,
8:42.0,T. Burke enters the game for T. Booker,,41-34,,
8:29.0,,,41-34,,P. Millsap misses 2-pt shot from 1 ft
8:28.0,Defensive rebound by E. Kanter,,41-34,,
8:09.0,Turnover by R. Gobert (3 sec),,41-34,,
7:53.0,,,41-34,,A. Horford misses 2-pt shot from 15 ft
7:52.0,Defensive rebound by G. Hayward,,41-34,,
7:43.0,E. Kanter makes 3-pt shot from 25 ft (assist by T. Burke),3,44-34,,
7:25.0,,,44-34,,T. Sefolosha misses 2-pt shot from 6 ft
7:22.0,,,44-34,,Offensive rebound by T. Sefolosha
7:13.0,,,44-34,,D. Schroder misses 2-pt shot from 1 ft (block by R. Gobert)
7:13.0,,,44-34,,Offensive rebound by Team
7:13.0,D. Favors enters the game for R. Gobert,,44-34,,
7:13.0,,,44-34,,J. Teague enters the game for A. Horford
7:13.0,,,44-34,,P. Antic enters the game for D. Schroder
7:13.0,,,44-34,,K. Korver enters the game for S. Mack
7:06.0,Personal foul by G. Hayward (drawn by P. Millsap),,44-34,,
6:59.0,,,44-37,3,P. Antic makes 3-pt shot from 24 ft (assist by J. Teague)
6:46.0,G. Hayward makes 2-pt shot from 3 ft (assist by J. Ingles),2,46-37,,
6:46.0,Shooting foul by J. Teague (drawn by G. Hayward),,46-37,,
6:46.0,G. Hayward misses free throw 1 of 1,,46-37,,
6:44.0,,,46-37,,Defensive rebound by K. Korver
6:38.0,,,46-37,,Shooting foul by T. Burke (drawn by J. Teague)
6:38.0,,,46-37,,J. Teague misses free throw 1 of 2
6:38.0,,,46-37,,Offensive rebound by Team
6:38.0,D. Exum enters the game for G. Hayward,,46-37,,
6:38.0,,,46-37,,J. Teague misses free throw 2 of 2
6:37.0,,,46-37,,Offensive rebound by P. Millsap
6:27.0,,,46-37,,Turnover by K. Korver (bad pass; steal by E. Kanter)
6:23.0,I. Clark enters the game for T. Burke,,46-37,,
6:12.0,D. Favors makes 2-pt shot at rim (assist by J. Ingles),2,48-37,,
5:59.0,Personal foul by D. Exum (drawn by J. Teague),,48-37,,
5:59.0,Official timeout,,48-37,,
5:59.0,A. Burks enters the game for J. Ingles,,48-37,,
5:52.0,,,48-37,,Turnover by J. Teague (lost ball; steal by I. Clark)
5:52.0,,,48-37,,Personal foul by K. Korver (drawn by I. Clark)
5:33.0,I. Clark makes 2-pt shot from 1 ft,2,50-37,,
5:20.0,,,50-37,,Shooting foul by A. Burks (drawn by J. Teague)
5:20.0,,,50-38,1,J. Teague makes free throw 1 of 2
5:20.0,,,50-39,1,J. Teague makes free throw 2 of 2
5:20.0,Utah full timeout,,50-39,,
5:03.0,Turnover by D. Favors (bad pass; steal by J. Teague),,50-39,,
4:59.0,,,50-41,2,J. Teague makes 2-pt shot at rim
4:44.0,D. Exum misses 2-pt shot from 21 ft,,50-41,,
4:43.0,,,50-41,,Defensive rebound by P. Millsap
4:35.0,,,50-41,,Shooting foul by D. Exum (drawn by J. Teague)
4:35.0,,,50-42,1,J. Teague makes free throw 1 of 2
4:35.0,T. Booker enters the game for D. Exum,,50-42,,
4:35.0,T. Burke enters the game for E. Kanter,,50-42,,
4:35.0,,,50-43,1,J. Teague makes free throw 2 of 2
4:24.0,I. Clark misses 3-pt shot from 26 ft,,50-43,,
4:20.0,,,50-43,,Defensive rebound by T. Sefolosha
4:03.0,,,50-43,,Turnover by J. Teague (bad pass; steal by T. Burke)
3:56.0,T. Burke makes 2-pt shot from 1 ft,2,52-43,,
3:42.0,,,52-46,3,P. Millsap makes 3-pt shot from 25 ft (assist by J. Teague)
3:22.0,A. Burks misses 2-pt shot from 21 ft,,52-46,,
3:20.0,,,52-46,,Defensive rebound by P. Millsap
3:12.0,,,52-46,,J. Teague misses 3-pt shot from 25 ft
3:11.0,,,52-46,,Offensive rebound by P. Antic
3:05.0,,,52-49,3,P. Millsap makes 3-pt shot from 25 ft (assist by T. Sefolosha)
2:41.0,T. Burke misses 3-pt shot from 25 ft,,52-49,,
2:39.0,Offensive rebound by D. Favors,,52-49,,
2:28.0,A. Burks misses 2-pt shot from 21 ft,,52-49,,
2:27.0,,,52-49,,Defensive rebound by K. Korver
2:14.0,,,52-49,,P. Antic misses 3-pt shot from 26 ft
2:13.0,Defensive rebound by Team,,52-49,,
2:13.0,J. Ingles enters the game for I. Clark,,52-49,,
1:48.0,T. Burke misses 2-pt shot from 13 ft,,52-49,,
1:46.0,,,52-49,,Defensive rebound by P. Millsap
1:37.0,,,52-51,2,P. Millsap makes 2-pt shot at rim (assist by J. Teague)
1:16.0,T. Burke misses 2-pt shot from 1 ft,,52-51,,
1:15.0,,,52-51,,Defensive rebound by P. Antic
1:09.0,,,52-53,2,T. Sefolosha makes 2-pt shot at rim (assist by J. Teague)
1:06.0,Utah full timeout,,52-53,,
0:50.0,T. Burke misses 3-pt shot from 23 ft,,52-53,,
0:49.0,,,52-53,,Defensive rebound by P. Millsap
0:33.0,,,52-53,,Turnover by P. Antic (lost ball; steal by D. Favors)
0:29.0,Turnover by T. Booker (lost ball; steal by J. Teague),,52-53,,
0:28.0,,,52-55,2,J. Teague makes 2-pt shot at rim
0:10.0,Shooting foul by T. Sefolosha (drawn by A. Burks),,52-55,,
0:10.0,A. Burks makes free throw 1 of 2,1,53-55,,
0:10.0,I. Clark enters the game for T. Burke,,53-55,,
0:10.0,A. Burks makes free throw 2 of 2,1,54-55,,
0:03.0,,,54-57,2,J. Teague makes 2-pt shot at rim
0:00.0,A. Burks misses 3-pt shot from 44 ft,,54-57,,
0:00.0,Offensive rebound by Team,,54-57,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:49.0,G. Hayward makes 3-pt shot from 25 ft,3,57-57,,
11:27.0,,,57-57,,P. Millsap misses 3-pt shot from 23 ft
11:25.0,Defensive rebound by D. Favors,,57-57,,
11:15.0,T. Burke makes 2-pt shot from 23 ft (assist by D. Favors),2,59-57,,
10:58.0,,,59-57,,Turnover by T. Sefolosha (lost ball; steal by G. Hayward)
10:54.0,G. Hayward makes 2-pt shot at rim,2,61-57,,
10:54.0,,,61-57,,Atlanta full timeout
10:34.0,,,61-60,3,K. Korver makes 3-pt shot from 23 ft (assist by P. Millsap)
10:23.0,Turnover by G. Hayward (bad pass; steal by T. Sefolosha),,61-60,,
10:19.0,,,61-60,,Shooting foul by G. Hayward (drawn by K. Korver)
10:19.0,,,61-61,1,K. Korver makes free throw 1 of 2
10:19.0,,,61-62,1,K. Korver makes free throw 2 of 2
10:11.0,G. Hayward makes 2-pt shot from 1 ft (assist by T. Burke),2,63-62,,
10:11.0,Shooting foul by P. Millsap (drawn by G. Hayward),,63-62,,
10:11.0,G. Hayward misses free throw 1 of 1,,63-62,,
10:10.0,,,63-62,,Defensive rebound by T. Sefolosha
9:46.0,,,63-62,,Turnover by Team (shot clock)
9:32.0,A. Burks misses 3-pt shot from 25 ft,,63-62,,
9:30.0,Offensive rebound by D. Favors,,63-62,,
9:24.0,E. Kanter misses 2-pt shot at rim,,63-62,,
9:22.0,Offensive rebound by E. Kanter,,63-62,,
9:22.0,E. Kanter makes 2-pt shot at rim,2,65-62,,
9:11.0,,,65-62,,J. Teague misses 2-pt shot from 18 ft
9:10.0,Defensive rebound by G. Hayward,,65-62,,
8:58.0,T. Burke makes 2-pt shot from 22 ft (assist by E. Kanter),2,67-62,,
8:47.0,Personal foul by D. Favors (drawn by K. Korver),,67-62,,
8:34.0,,,67-64,2,P. Millsap makes 2-pt shot from 1 ft (assist by K. Korver)
8:17.0,T. Burke misses 2-pt shot from 22 ft,,67-64,,
8:16.0,,,67-64,,Defensive rebound by K. Korver
8:08.0,,,67-66,2,J. Teague makes 2-pt shot from 3 ft
7:44.0,T. Burke misses 3-pt shot from 26 ft,,67-66,,
7:42.0,Offensive rebound by D. Favors,,67-66,,
7:42.0,D. Favors makes 2-pt shot at rim,2,69-66,,
7:24.0,,,69-66,,P. Millsap misses 2-pt shot from 1 ft
7:23.0,,,69-66,,Offensive rebound by P. Millsap
7:23.0,,,69-68,2,P. Millsap makes 2-pt shot from 1 ft
7:03.0,A. Burks makes 2-pt shot from 22 ft (assist by T. Burke),2,71-68,,
6:40.0,,,71-71,3,P. Millsap makes 3-pt shot from 25 ft (assist by K. Korver)
6:25.0,A. Burks makes 2-pt shot from 1 ft (assist by D. Favors),2,73-71,,
6:16.0,,,73-73,2,J. Teague makes 2-pt shot from 1 ft
5:57.0,D. Favors misses 2-pt shot from 16 ft,,73-73,,
5:55.0,,,73-73,,Defensive rebound by T. Sefolosha
5:47.0,,,73-75,2,T. Sefolosha makes 2-pt shot from 1 ft (assist by K. Korver)
5:27.0,E. Kanter makes 2-pt shot from 15 ft (assist by T. Burke),2,75-75,,
5:14.0,,,75-75,,P. Millsap misses 2-pt shot from 3 ft (block by E. Kanter)
5:12.0,Defensive rebound by G. Hayward,,75-75,,
5:07.0,T. Burke makes 2-pt shot from 1 ft (assist by G. Hayward),2,77-75,,
4:46.0,,,77-77,2,A. Horford makes 2-pt shot from 18 ft (assist by J. Teague)
4:33.0,G. Hayward misses 2-pt shot from 21 ft,,77-77,,
4:32.0,,,77-77,,Defensive rebound by K. Korver
4:19.0,,,77-77,,T. Sefolosha misses 3-pt shot from 25 ft
4:18.0,Defensive rebound by T. Burke,,77-77,,
4:11.0,A. Burks makes 2-pt shot from 17 ft (assist by T. Burke),2,79-77,,
3:56.0,,,79-77,,K. Korver misses 2-pt shot from 18 ft
3:54.0,Defensive rebound by A. Burks,,79-77,,
3:37.0,G. Hayward misses 3-pt shot from 25 ft,,79-77,,
3:35.0,,,79-77,,Defensive rebound by P. Millsap
3:18.0,,,79-77,,K. Korver misses 3-pt shot from 25 ft
3:17.0,Defensive rebound by T. Burke,,79-77,,
3:11.0,Utah full timeout,,79-77,,
3:11.0,,,79-77,,P. Antic enters the game for A. Horford
3:11.0,,,79-77,,D. Schroder enters the game for K. Korver
3:11.0,T. Booker enters the game for E. Kanter,,79-77,,
3:11.0,D. Exum enters the game for G. Hayward,,79-77,,
3:03.0,D. Favors makes 2-pt shot from 15 ft (assist by T. Burke),2,81-77,,
2:44.0,,,81-79,2,P. Millsap makes 2-pt shot from 1 ft (assist by J. Teague)
2:23.0,D. Favors makes 2-pt shot from 2 ft (assist by T. Burke),2,83-79,,
2:04.0,Personal foul by D. Exum (drawn by T. Sefolosha),,83-79,,
1:55.0,,,83-79,,Turnover by P. Antic (bad pass; steal by A. Burks)
1:39.0,T. Booker makes 2-pt shot from 2 ft (assist by D. Exum),2,85-79,,
1:24.0,,,85-82,3,P. Millsap makes 3-pt shot from 25 ft (assist by J. Teague)
1:07.0,T. Burke misses 2-pt shot from 20 ft,,85-82,,
1:05.0,Offensive rebound by T. Booker,,85-82,,
0:58.0,Shooting foul by P. Millsap (drawn by D. Favors),,85-82,,
0:58.0,D. Favors makes free throw 1 of 2,1,86-82,,
0:58.0,,,86-82,,K. Bazemore enters the game for T. Sefolosha
0:58.0,,,86-82,,K. Korver enters the game for J. Teague
0:58.0,J. Ingles enters the game for T. Burke,,86-82,,
0:58.0,D. Favors misses free throw 2 of 2,,86-82,,
0:57.0,,,86-82,,Defensive rebound by P. Millsap
0:49.0,,,86-82,,Turnover by D. Schroder (bad pass; steal by T. Booker)
0:33.0,A. Burks makes 2-pt shot from 20 ft,2,88-82,,
0:25.0,,,88-82,,D. Schroder misses 2-pt shot from 4 ft (block by D. Exum)
0:25.0,,,88-82,,Offensive rebound by Team
0:25.0,R. Gobert enters the game for D. Favors,,88-82,,
0:25.0,,,88-82,,S. Mack enters the game for K. Bazemore
0:08.0,,,88-82,,Turnover by Team (shot clock)
0:08.0,,,88-82,,K. Bazemore enters the game for K. Korver
0:02.0,Turnover by A. Burks (bad pass),,88-82,,
0:02.0,,,88-82,,K. Korver enters the game for K. Bazemore
0:02.0,,,88-82,,Turnover by S. Mack (bad pass; steal by R. Gobert)
0:00.0,R. Gobert misses 3-pt shot from 28 ft,,88-82,,
0:00.0,Offensive rebound by Team,,88-82,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:35.0,,,88-82,,P. Millsap misses 3-pt shot from 26 ft (block by T. Booker)
11:34.0,,,88-82,,Offensive rebound by Team
11:34.0,,,88-82,,Turnover by Team (shot clock)
11:22.0,G. Hayward misses 2-pt shot from 19 ft,,88-82,,
11:20.0,,,88-82,,Defensive rebound by P. Millsap
11:06.0,,,88-82,,P. Millsap misses 2-pt shot from 7 ft
11:04.0,Defensive rebound by G. Hayward,,88-82,,
11:00.0,G. Hayward misses 2-pt shot from 2 ft,,88-82,,
10:59.0,,,88-82,,Defensive rebound by P. Antic
10:36.0,,,88-82,,P. Antic misses 3-pt shot from 23 ft
10:35.0,Defensive rebound by T. Booker,,88-82,,
10:19.0,T. Booker misses 3-pt shot from 25 ft,,88-82,,
10:17.0,,,88-82,,Defensive rebound by P. Antic
9:55.0,,,88-82,,P. Millsap misses 3-pt shot from 23 ft
9:52.0,Defensive rebound by D. Exum,,88-82,,
9:43.0,D. Exum makes 2-pt shot from 3 ft,2,90-82,,
9:27.0,,,90-82,,Shooting foul by D. Exum (drawn by D. Schroder)
9:27.0,,,90-83,1,D. Schroder makes free throw 1 of 2
9:27.0,E. Kanter enters the game for T. Booker,,90-83,,
9:27.0,,,90-83,,M. Muscala enters the game for P. Millsap
9:27.0,,,90-83,,A. Horford enters the game for P. Antic
9:27.0,,,90-83,,D. Schroder misses free throw 2 of 2
9:26.0,,,90-83,,Offensive rebound by K. Korver
9:16.0,,,90-83,,A. Horford misses 2-pt shot from 5 ft (block by R. Gobert)
9:14.0,Defensive rebound by G. Hayward,,90-83,,
9:02.0,,,90-83,,Def 3 sec tech foul by A. Horford
9:02.0,G. Hayward misses technical free throw,,90-83,,
9:02.0,Offensive rebound by Team,,90-83,,
8:56.0,G. Hayward misses 2-pt shot from 21 ft,,90-83,,
8:55.0,,,90-83,,Defensive rebound by K. Korver
8:38.0,,,90-85,2,D. Schroder makes 2-pt shot from 1 ft
8:19.0,E. Kanter misses 3-pt shot from 26 ft,,90-85,,
8:17.0,,,90-85,,Defensive rebound by K. Korver
8:01.0,,,90-87,2,A. Horford makes 2-pt shot from 19 ft (assist by S. Mack)
7:58.0,Utah full timeout,,90-87,,
7:58.0,,,90-87,,J. Teague enters the game for K. Korver
7:58.0,,,90-87,,T. Sefolosha enters the game for S. Mack
7:58.0,T. Burke enters the game for D. Exum,,90-87,,
7:58.0,D. Favors enters the game for R. Gobert,,90-87,,
7:39.0,G. Hayward misses 2-pt shot from 18 ft,,90-87,,
7:37.0,,,90-87,,Defensive rebound by J. Teague
7:18.0,,,90-87,,T. Sefolosha misses 2-pt shot from 2 ft
7:17.0,,,90-87,,Offensive rebound by M. Muscala
7:17.0,,,90-89,2,M. Muscala makes 2-pt shot from 1 ft
6:56.0,T. Burke misses 2-pt shot from 21 ft,,90-89,,
6:55.0,,,90-89,,Defensive rebound by A. Horford
6:52.0,,,90-89,,Turnover by A. Horford (bad pass; steal by T. Burke)
6:40.0,Shooting foul by M. Muscala (drawn by D. Favors),,90-89,,
6:40.0,D. Favors makes free throw 1 of 2,1,91-89,,
6:40.0,A. Burks enters the game for J. Ingles,,91-89,,
6:40.0,D. Favors misses free throw 2 of 2,,91-89,,
6:39.0,,,91-89,,Defensive rebound by Team
6:39.0,Loose ball foul by E. Kanter (drawn by M. Muscala),,91-89,,
6:26.0,,,91-89,,A. Horford misses 2-pt shot from 4 ft (block by D. Favors)
6:24.0,Defensive rebound by G. Hayward,,91-89,,
6:09.0,E. Kanter makes 2-pt shot from 8 ft,2,93-89,,
5:52.0,,,93-89,,Turnover by D. Schroder (lost ball)
5:52.0,Official timeout,,93-89,,
5:52.0,,,93-89,,P. Millsap enters the game for D. Schroder
5:52.0,,,93-89,,K. Korver enters the game for M. Muscala
5:36.0,D. Favors makes 2-pt shot from 6 ft (assist by T. Burke),2,95-89,,
5:13.0,,,95-89,,Turnover by J. Teague (bad pass; steal by T. Burke)
5:08.0,G. Hayward misses 2-pt shot from 1 ft (block by P. Millsap),,95-89,,
5:07.0,,,95-89,,Defensive rebound by P. Millsap
4:54.0,,,95-89,,K. Korver misses 3-pt shot from 22 ft
4:53.0,Defensive rebound by T. Burke,,95-89,,
4:34.0,A. Burks makes 2-pt shot from 22 ft (assist by D. Favors),2,97-89,,
4:18.0,,,97-89,,J. Teague misses 2-pt shot from 6 ft
4:15.0,,,97-89,,Offensive rebound by A. Horford
4:15.0,,,97-89,,A. Horford misses 2-pt shot at rim
4:14.0,Defensive rebound by D. Favors,,97-89,,
3:52.0,G. Hayward misses 2-pt shot from 22 ft,,97-89,,
3:48.0,,,97-89,,Defensive rebound by P. Millsap
3:29.0,,,97-89,,J. Teague misses 2-pt shot from 9 ft
3:27.0,,,97-89,,Offensive rebound by P. Millsap
3:27.0,,,97-91,2,P. Millsap makes 2-pt shot at rim
3:09.0,Turnover by T. Burke (lost ball; steal by P. Millsap),,97-91,,
3:02.0,,,97-93,2,T. Sefolosha makes 2-pt shot at rim (assist by K. Korver)
2:38.0,E. Kanter misses 3-pt shot from 23 ft,,97-93,,
2:37.0,,,97-93,,Defensive rebound by K. Korver
2:20.0,,,97-95,2,P. Millsap makes 2-pt shot from 2 ft
1:54.0,A. Burks misses 3-pt shot from 24 ft,,97-95,,
1:52.0,,,97-95,,Defensive rebound by J. Teague
1:33.0,,,97-95,,A. Horford misses 2-pt shot from 6 ft
1:29.0,Defensive rebound by A. Burks,,97-95,,
1:24.0,Utah full timeout,,97-95,,
1:24.0,,,97-95,,Atlanta full timeout
1:24.0,,,97-95,,P. Antic enters the game for A. Horford
1:24.0,T. Booker enters the game for E. Kanter,,97-95,,
1:19.0,G. Hayward misses 2-pt shot from 20 ft,,97-95,,
1:16.0,,,97-95,,Defensive rebound by T. Sefolosha
0:58.0,,,97-98,3,K. Korver makes 3-pt shot from 25 ft
0:47.0,T. Burke misses 2-pt shot from 2 ft (block by P. Millsap),,97-98,,
0:44.0,,,97-98,,Defensive rebound by K. Korver
0:39.0,Personal foul by D. Favors (drawn by T. Sefolosha),,97-98,,
0:33.0,,,97-98,,Turnover by J. Teague (bad pass)
0:33.0,Utah full timeout,,97-98,,
0:28.0,Turnover by D. Favors (bad pass),,97-98,,
0:06.0,,,97-98,,Shooting foul by T. Burke (drawn by J. Teague)
0:06.0,,,97-99,1,J. Teague makes free throw 1 of 2
0:06.0,,,97-100,1,J. Teague makes free throw 2 of 2
0:06.0,Utah full timeout,,97-100,,
0:06.0,S. Novak enters the game for T. Burke,,97-100,,
0:06.0,J. Ingles enters the game for T. Booker,,97-100,,
0:06.0,,,97-100,,K. Bazemore enters the game for K. Korver
0:06.0,,,97-100,,K. Korver enters the game for P. Antic
