time,Washington,pts.away,score,pts.home,New York
8:00.0,,,4-4,,C. Anthony misses 2-pt shot from 2 ft
7:59.0,Defensive rebound by P. Pierce,,4-4,,
7:49.0,Turnover by G. Temple (bad pass; steal by C. Anthony),,4-4,,
7:30.0,,,4-4,,C. Anthony misses 2-pt shot from 18 ft
7:28.0,Defensive rebound by N. Hilario,,4-4,,
7:18.0,M. Gortat makes 2-pt shot from 1 ft (assist by J. Wall),2,6-4,,
7:12.0,,,6-4,,New York full timeout
6:58.0,,,6-6,2,C. Anthony makes 2-pt shot from 18 ft (assist by S. Dalembert)
6:36.0,N. Hilario misses 2-pt shot from 2 ft,,6-6,,
6:35.0,,,6-6,,Defensive rebound by Team
6:18.0,,,6-8,2,I. Shumpert makes 2-pt shot from 1 ft
6:05.0,G. Temple misses 3-pt shot from 25 ft,,6-8,,
6:04.0,,,6-8,,Defensive rebound by A. Stoudemire
6:00.0,,,6-8,,Turnover by C. Anthony (bad pass)
5:48.0,P. Pierce misses 2-pt shot from 15 ft,,6-8,,
5:47.0,,,6-8,,Defensive rebound by S. Dalembert
5:36.0,,,6-8,,Turnover by S. Larkin (bad pass; steal by N. Hilario)
5:31.0,J. Wall misses 2-pt shot at rim,,6-8,,
5:30.0,,,6-8,,Defensive rebound by S. Larkin
5:24.0,,,6-11,3,I. Shumpert makes 3-pt shot from 24 ft (assist by S. Larkin)
5:10.0,,,6-11,,Personal foul by A. Stoudemire (drawn by N. Hilario)
5:10.0,,,6-11,,J. Smith enters the game for A. Stoudemire
5:10.0,D. Gooden enters the game for N. Hilario,,6-11,,
5:06.0,,,6-11,,Violation by S. Dalembert (kicked ball)
4:58.0,P. Pierce makes 2-pt shot from 2 ft,2,8-11,,
4:44.0,,,8-11,,Turnover by S. Dalembert (bad pass; steal by J. Wall)
4:36.0,D. Gooden makes 2-pt shot from 15 ft (assist by J. Wall),2,10-11,,
4:18.0,,,10-11,,Turnover by S. Dalembert (bad pass)
4:18.0,,,10-11,,C. Aldrich enters the game for S. Dalembert
4:18.0,O. Porter enters the game for P. Pierce,,10-11,,
4:18.0,Violation by Team (delay of game),,10-11,,
4:10.0,,,10-11,,Personal foul by S. Larkin (drawn by J. Wall)
4:10.0,,,10-11,,J. Smith enters the game for I. Shumpert
4:06.0,,,10-11,,Violation by C. Aldrich (kicked ball)
3:59.0,M. Gortat misses 2-pt shot from 11 ft,,10-11,,
3:58.0,,,10-11,,Defensive rebound by C. Anthony
3:48.0,,,10-11,,C. Anthony misses 2-pt shot from 17 ft
3:47.0,Defensive rebound by M. Gortat,,10-11,,
3:39.0,Offensive foul by M. Gortat,,10-11,,
3:39.0,Turnover by M. Gortat (offensive foul),,10-11,,
3:26.0,,,10-13,2,J. Smith makes 2-pt shot from 19 ft
3:06.0,J. Wall misses 2-pt shot from 23 ft,,10-13,,
3:05.0,,,10-13,,Defensive rebound by C. Anthony
2:54.0,,,10-15,2,J. Smith makes 2-pt shot from 19 ft (assist by J. Smith)
2:46.0,Washington full timeout,,10-15,,
2:33.0,G. Temple misses 3-pt shot from 24 ft,,10-15,,
2:31.0,,,10-15,,Defensive rebound by Team
2:31.0,,,10-15,,P. Prigioni enters the game for S. Larkin
2:20.0,,,10-15,,J. Smith misses 3-pt shot from 25 ft
2:19.0,Defensive rebound by D. Gooden,,10-15,,
2:09.0,,,10-15,,Personal block foul by C. Aldrich (drawn by J. Wall)
1:59.0,G. Temple makes 2-pt shot from 15 ft,2,12-15,,
1:33.0,,,12-17,2,C. Anthony makes 2-pt shot from 18 ft
1:28.0,,,12-17,,Violation by C. Aldrich (def goaltending)
1:28.0,M. Gortat makes 2-pt shot from 2 ft (assist by J. Wall),2,14-17,,
1:16.0,,,14-19,2,J. Smith makes 2-pt shot from 3 ft (assist by J. Smith)
1:02.0,G. Temple makes 3-pt shot from 23 ft (assist by J. Wall),3,17-19,,
0:51.0,,,17-21,2,C. Aldrich makes 2-pt shot at rim (assist by C. Anthony)
0:41.0,J. Wall misses 2-pt shot from 1 ft,,17-21,,
0:39.0,,,17-21,,Defensive rebound by C. Aldrich
0:29.0,,,17-21,,Shooting foul by M. Gortat (drawn by J. Smith)
0:29.0,,,17-22,1,J. Smith makes free throw 1 of 2
0:29.0,,,17-22,,T. Hardaway enters the game for C. Anthony
0:29.0,K. Seraphin enters the game for M. Gortat,,17-22,,
0:29.0,A. Miller enters the game for G. Temple,,17-22,,
0:29.0,G. Rice enters the game for J. Wall,,17-22,,
0:29.0,,,17-23,1,J. Smith makes free throw 2 of 2
0:15.0,A. Miller misses 2-pt shot from 1 ft,,17-23,,
0:14.0,,,17-23,,Defensive rebound by J. Smith
0:03.0,,,17-23,,J. Smith misses 2-pt shot from 20 ft
0:02.0,Defensive rebound by K. Seraphin,,17-23,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,G. Rice misses 2-pt shot from 11 ft,,17-23,,
11:44.0,,,17-23,,Defensive rebound by J. Smith
11:38.0,,,17-23,,T. Hardaway misses 2-pt shot from 18 ft
11:37.0,,,17-23,,Offensive rebound by Team
11:20.0,,,17-23,,C. Aldrich misses 2-pt shot from 10 ft
11:19.0,Defensive rebound by O. Porter,,17-23,,
11:01.0,G. Rice misses 3-pt shot from 25 ft,,17-23,,
11:00.0,,,17-23,,Defensive rebound by C. Aldrich
10:44.0,,,17-23,,Shooting foul by D. Gooden (drawn by J. Smith)
10:44.0,,,17-25,2,J. Smith makes 2-pt shot from 20 ft (assist by J. Smith)
10:44.0,,,17-26,1,J. Smith makes free throw 1 of 1
10:23.0,A. Miller makes 2-pt shot from 1 ft (assist by D. Gooden),2,19-26,,
10:03.0,,,19-26,,T. Hardaway misses 2-pt shot from 20 ft
10:02.0,,,19-26,,Offensive rebound by C. Aldrich
10:02.0,,,19-26,,C. Aldrich misses 2-pt shot from 1 ft
10:00.0,,,19-26,,Offensive rebound by Team
10:00.0,Loose ball foul by G. Rice (drawn by C. Aldrich),,19-26,,
9:58.0,,,19-26,,Offensive foul by C. Aldrich
9:58.0,,,19-26,,Turnover by C. Aldrich (offensive foul)
9:42.0,Turnover by K. Seraphin (lost ball),,19-26,,
9:21.0,,,19-28,2,J. Smith makes 2-pt shot from 14 ft (assist by C. Aldrich)
9:06.0,D. Gooden makes 2-pt shot from 15 ft (assist by G. Rice),2,21-28,,
8:58.0,Personal foul by A. Miller (drawn by P. Prigioni),,21-28,,
8:58.0,Official timeout,,21-28,,
8:58.0,,,21-28,,S. Dalembert enters the game for C. Aldrich
8:40.0,,,21-28,,T. Hardaway misses 2-pt shot from 2 ft
8:39.0,,,21-28,,Offensive rebound by S. Dalembert
8:39.0,,,21-28,,S. Dalembert misses 2-pt shot from 1 ft
8:38.0,Defensive rebound by O. Porter,,21-28,,
8:25.0,K. Seraphin makes 2-pt shot from 14 ft,2,23-28,,
8:13.0,,,23-28,,Turnover by J. Smith (lost ball; steal by A. Miller)
8:09.0,O. Porter makes 2-pt shot at rim (assist by A. Miller),2,25-28,,
7:46.0,,,25-31,3,T. Hardaway makes 3-pt shot from 25 ft (assist by J. Smith)
7:36.0,,,25-31,,Violation by J. Smith (kicked ball)
7:23.0,D. Gooden makes 2-pt shot from 21 ft (assist by O. Porter),2,27-31,,
7:07.0,,,27-31,,T. Hardaway misses 3-pt shot from 24 ft
7:06.0,Defensive rebound by G. Rice,,27-31,,
7:01.0,,,27-31,,Personal foul by S. Dalembert (drawn by K. Seraphin)
7:01.0,,,27-31,,I. Shumpert enters the game for T. Hardaway
7:01.0,,,27-31,,C. Anthony enters the game for J. Smith
7:01.0,P. Pierce enters the game for G. Rice,,27-31,,
7:01.0,N. Hilario enters the game for D. Gooden,,27-31,,
6:53.0,,,27-31,,Personal foul by P. Prigioni (drawn by N. Hilario)
6:40.0,A. Miller makes 2-pt shot from 9 ft,2,29-31,,
6:17.0,,,29-31,,P. Prigioni misses 3-pt shot from 25 ft
6:16.0,Defensive rebound by Team,,29-31,,
6:16.0,,,29-31,,Loose ball foul by J. Smith (drawn by N. Hilario)
6:16.0,,,29-31,,A. Stoudemire enters the game for J. Smith
5:59.0,K. Seraphin makes 2-pt shot from 4 ft (assist by P. Pierce),2,31-31,,
5:45.0,,,31-34,3,P. Prigioni makes 3-pt shot from 23 ft (assist by C. Anthony)
5:27.0,A. Miller misses 2-pt shot from 3 ft (block by S. Dalembert),,31-34,,
5:26.0,Offensive rebound by K. Seraphin,,31-34,,
5:23.0,N. Hilario misses 2-pt shot from 4 ft (block by S. Dalembert),,31-34,,
5:22.0,Offensive rebound by O. Porter,,31-34,,
5:20.0,O. Porter misses 2-pt shot from 9 ft,,31-34,,
5:19.0,,,31-34,,Defensive rebound by I. Shumpert
5:00.0,,,31-34,,I. Shumpert misses 2-pt shot from 1 ft
4:59.0,,,31-34,,Offensive rebound by S. Dalembert
4:59.0,,,31-36,2,S. Dalembert makes 2-pt shot at rim
4:42.0,N. Hilario misses 2-pt shot from 1 ft,,31-36,,
4:41.0,,,31-36,,Defensive rebound by S. Dalembert
4:27.0,,,31-36,,A. Stoudemire misses 2-pt shot from 4 ft
4:26.0,Defensive rebound by A. Miller,,31-36,,
4:16.0,A. Miller makes 2-pt shot from 8 ft,2,33-36,,
4:15.0,Technical foul by Team,,33-36,,
4:15.0,,,33-36,,New York full timeout
4:15.0,J. Wall enters the game for A. Miller,,33-36,,
4:15.0,,,33-36,,S. Larkin enters the game for P. Prigioni
4:15.0,,,33-36,,C. Anthony misses technical free throw
4:15.0,,,33-36,,Offensive rebound by Team
3:54.0,,,33-36,,Turnover by C. Anthony (lost ball; steal by P. Pierce)
3:44.0,N. Hilario makes 2-pt shot from 16 ft (assist by O. Porter),2,35-36,,
3:24.0,,,35-36,,I. Shumpert misses 2-pt shot from 11 ft
3:23.0,,,35-36,,Offensive rebound by S. Dalembert
3:21.0,,,35-38,2,C. Anthony makes 2-pt shot from 2 ft (assist by S. Dalembert)
3:21.0,Shooting block foul by N. Hilario (drawn by C. Anthony),,35-38,,
3:21.0,G. Temple enters the game for O. Porter,,35-38,,
3:21.0,,,35-39,1,C. Anthony makes free throw 1 of 1
3:09.0,P. Pierce misses 2-pt shot from 8 ft,,35-39,,
3:07.0,,,35-39,,Defensive rebound by S. Dalembert
3:02.0,,,35-39,,C. Anthony misses 2-pt shot from 2 ft (block by P. Pierce)
3:00.0,,,35-39,,Offensive rebound by A. Stoudemire
2:59.0,,,35-41,2,A. Stoudemire makes 2-pt shot from 3 ft
2:48.0,Turnover by J. Wall (bad pass; steal by A. Stoudemire),,35-41,,
2:45.0,,,35-41,,Shooting foul by G. Temple (drawn by I. Shumpert)
2:45.0,Washington full timeout,,35-41,,
2:45.0,M. Gortat enters the game for K. Seraphin,,35-41,,
2:45.0,,,35-41,,I. Shumpert misses free throw 1 of 2
2:45.0,,,35-41,,Offensive rebound by Team
2:45.0,,,35-42,1,I. Shumpert makes free throw 2 of 2
2:27.0,,,35-42,,Personal foul by C. Anthony (drawn by P. Pierce)
2:20.0,M. Gortat misses 2-pt shot from 19 ft,,35-42,,
2:19.0,,,35-42,,Defensive rebound by S. Dalembert
2:00.0,,,35-42,,A. Stoudemire misses 2-pt shot from 1 ft
1:59.0,Defensive rebound by N. Hilario,,35-42,,
1:52.0,P. Pierce makes 3-pt shot from 24 ft (assist by M. Gortat),3,38-42,,
1:28.0,,,38-42,,Turnover by I. Shumpert (lost ball)
1:28.0,,,38-42,,J. Smith enters the game for A. Stoudemire
1:28.0,D. Gooden enters the game for N. Hilario,,38-42,,
1:28.0,G. Rice enters the game for G. Temple,,38-42,,
1:14.0,D. Gooden misses 2-pt shot from 15 ft,,38-42,,
1:13.0,,,38-42,,Defensive rebound by J. Smith
1:05.0,,,38-45,3,I. Shumpert makes 3-pt shot from 24 ft
0:56.0,G. Rice misses 3-pt shot from 22 ft,,38-45,,
0:54.0,,,38-45,,Defensive rebound by Team
0:39.0,,,38-45,,C. Anthony misses 2-pt shot from 7 ft
0:37.0,Defensive rebound by D. Gooden,,38-45,,
0:30.0,J. Wall misses 2-pt shot from 22 ft,,38-45,,
0:29.0,Offensive rebound by D. Gooden,,38-45,,
0:28.0,Shooting foul by J. Smith (drawn by D. Gooden),,38-45,,
0:28.0,D. Gooden makes free throw 1 of 2,1,39-45,,
0:28.0,D. Gooden misses free throw 2 of 2,,39-45,,
0:28.0,,,39-45,,Defensive rebound by S. Dalembert
0:24.0,,,39-45,,New York full timeout
0:24.0,K. Seraphin enters the game for M. Gortat,,39-45,,
0:18.0,,,39-45,,Turnover by C. Anthony (lost ball; steal by P. Pierce)
0:14.0,Shooting foul by S. Dalembert (drawn by P. Pierce),,39-45,,
0:14.0,P. Pierce misses free throw 1 of 2,,39-45,,
0:14.0,Offensive rebound by Team,,39-45,,
0:14.0,,,39-45,,J. Smith enters the game for J. Smith
0:14.0,O. Porter enters the game for K. Seraphin,,39-45,,
0:14.0,P. Pierce makes free throw 2 of 2,1,40-45,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,Shooting foul by I. Shumpert (drawn by P. Pierce),,40-45,,
11:43.0,P. Pierce makes free throw 1 of 2,1,41-45,,
11:43.0,P. Pierce makes free throw 2 of 2,1,42-45,,
11:19.0,,,42-45,,A. Stoudemire misses 2-pt shot from 15 ft
11:18.0,Defensive rebound by P. Pierce,,42-45,,
11:15.0,Shooting foul by S. Larkin (drawn by G. Temple),,42-45,,
11:15.0,G. Temple misses free throw 1 of 2,,42-45,,
11:15.0,Offensive rebound by Team,,42-45,,
11:15.0,G. Temple makes free throw 2 of 2,1,43-45,,
10:54.0,,,43-45,,S. Dalembert misses 2-pt shot from 16 ft
10:53.0,Defensive rebound by G. Temple,,43-45,,
10:44.0,M. Gortat makes 2-pt shot from 3 ft (assist by J. Wall),2,45-45,,
10:42.0,,,45-45,,New York full timeout
10:18.0,,,45-45,,I. Shumpert misses 2-pt shot from 10 ft
10:16.0,Defensive rebound by M. Gortat,,45-45,,
10:10.0,N. Hilario misses 2-pt shot from 16 ft,,45-45,,
10:09.0,Offensive rebound by G. Temple,,45-45,,
9:57.0,M. Gortat misses 2-pt shot from 6 ft,,45-45,,
9:56.0,,,45-45,,Defensive rebound by I. Shumpert
9:43.0,,,45-48,3,C. Anthony makes 3-pt shot from 25 ft
9:19.0,P. Pierce misses 3-pt shot from 27 ft,,45-48,,
9:18.0,Offensive rebound by N. Hilario,,45-48,,
9:12.0,G. Temple makes 3-pt shot from 24 ft (assist by N. Hilario),3,48-48,,
8:59.0,,,48-48,,C. Anthony misses 2-pt shot from 14 ft
8:58.0,,,48-48,,Offensive rebound by C. Anthony
8:55.0,,,48-48,,C. Anthony misses 2-pt shot from 7 ft
8:54.0,Defensive rebound by M. Gortat,,48-48,,
8:50.0,N. Hilario makes 2-pt shot from 3 ft (assist by P. Pierce),2,50-48,,
8:50.0,,,50-48,,Shooting block foul by I. Shumpert (drawn by N. Hilario)
8:50.0,N. Hilario misses free throw 1 of 1,,50-48,,
8:50.0,,,50-48,,Defensive rebound by A. Stoudemire
8:36.0,,,50-48,,C. Anthony misses 2-pt shot from 18 ft
8:35.0,Defensive rebound by G. Temple,,50-48,,
8:29.0,P. Pierce makes 3-pt shot from 24 ft (assist by J. Wall),3,53-48,,
8:29.0,Shooting foul by S. Larkin (drawn by P. Pierce),,53-48,,
8:29.0,,,53-48,,J. Smith enters the game for S. Dalembert
8:29.0,P. Pierce makes free throw 1 of 1,1,54-48,,
8:16.0,Personal foul by G. Temple (drawn by I. Shumpert),,54-48,,
8:10.0,,,54-50,2,S. Larkin makes 2-pt shot from 2 ft
7:57.0,G. Temple misses 2-pt shot from 9 ft,,54-50,,
7:56.0,,,54-50,,Defensive rebound by A. Stoudemire
7:49.0,,,54-52,2,I. Shumpert makes 2-pt shot from 17 ft
7:27.0,N. Hilario misses 2-pt shot from 3 ft,,54-52,,
7:26.0,,,54-52,,Defensive rebound by S. Larkin
7:12.0,,,54-54,2,C. Anthony makes 2-pt shot from 21 ft
6:52.0,J. Wall makes 2-pt shot from 13 ft,2,56-54,,
6:33.0,,,56-56,2,A. Stoudemire makes 2-pt shot from 1 ft
6:33.0,,,56-56,,Shooting foul by M. Gortat (drawn by A. Stoudemire)
6:33.0,,,56-56,,A. Stoudemire misses free throw 1 of 1
6:32.0,Defensive rebound by M. Gortat,,56-56,,
6:26.0,J. Wall misses 2-pt shot at rim,,56-56,,
6:25.0,,,56-56,,Defensive rebound by A. Stoudemire
6:19.0,,,56-56,,I. Shumpert misses 2-pt shot from 10 ft
6:18.0,,,56-56,,Offensive rebound by J. Smith
6:15.0,,,56-56,,J. Smith misses 2-pt shot from 3 ft (block by N. Hilario)
6:14.0,Defensive rebound by N. Hilario,,56-56,,
6:06.0,P. Pierce misses 3-pt shot from 25 ft,,56-56,,
6:05.0,Offensive rebound by M. Gortat,,56-56,,
6:00.0,P. Pierce makes 2-pt shot from 18 ft (assist by M. Gortat),2,58-56,,
5:47.0,,,58-56,,J. Smith misses 2-pt shot from 21 ft
5:46.0,,,58-56,,Offensive rebound by A. Stoudemire
5:44.0,Personal foul by P. Pierce (drawn by A. Stoudemire),,58-56,,
5:44.0,,,58-56,,J. Smith enters the game for I. Shumpert
5:30.0,,,58-56,,Turnover by A. Stoudemire (traveling)
5:29.0,,,58-56,,Personal foul by S. Larkin (drawn by J. Wall)
5:29.0,,,58-56,,P. Prigioni enters the game for S. Larkin
5:29.0,J. Wall misses free throw 1 of 2,,58-56,,
5:29.0,Offensive rebound by Team,,58-56,,
5:29.0,J. Wall misses free throw 2 of 2,,58-56,,
5:29.0,Offensive rebound by M. Gortat,,58-56,,
5:16.0,N. Hilario misses 2-pt shot at rim,,58-56,,
5:15.0,,,58-56,,Defensive rebound by A. Stoudemire
5:00.0,,,58-56,,Turnover by J. Smith (bad pass; steal by J. Wall)
4:53.0,Turnover by G. Temple (bad pass; steal by J. Smith),,58-56,,
4:36.0,,,58-56,,C. Anthony misses 2-pt shot from 11 ft
4:35.0,Defensive rebound by N. Hilario,,58-56,,
4:31.0,,,58-56,,Personal foul by P. Prigioni (drawn by J. Wall)
4:31.0,J. Wall makes free throw 1 of 2,1,59-56,,
4:31.0,,,59-56,,C. Aldrich enters the game for A. Stoudemire
4:31.0,D. Gooden enters the game for N. Hilario,,59-56,,
4:31.0,J. Wall misses free throw 2 of 2,,59-56,,
4:30.0,,,59-56,,Defensive rebound by C. Aldrich
4:16.0,,,59-56,,J. Smith misses 3-pt shot from 25 ft
4:15.0,Defensive rebound by M. Gortat,,59-56,,
4:14.0,Offensive foul by M. Gortat,,59-56,,
4:14.0,Turnover by M. Gortat (offensive foul),,59-56,,
4:14.0,K. Seraphin enters the game for M. Gortat,,59-56,,
4:02.0,,,59-56,,Turnover by C. Anthony (palming)
3:39.0,G. Temple makes 3-pt shot from 24 ft (assist by P. Pierce),3,62-56,,
3:20.0,,,62-56,,J. Smith misses 2-pt shot from 1 ft
3:19.0,Defensive rebound by G. Temple,,62-56,,
3:13.0,J. Wall makes 2-pt shot from 1 ft,2,64-56,,
3:01.0,Personal foul by P. Pierce (drawn by C. Anthony),,64-56,,
3:01.0,O. Porter enters the game for P. Pierce,,64-56,,
3:01.0,,,64-56,,T. Hardaway enters the game for C. Anthony
2:53.0,,,64-56,,C. Aldrich misses 2-pt shot from 9 ft
2:51.0,,,64-56,,Offensive rebound by J. Smith
2:39.0,,,64-56,,T. Hardaway misses 3-pt shot from 24 ft
2:38.0,Defensive rebound by Team,,64-56,,
2:38.0,Washington full timeout,,64-56,,
2:22.0,O. Porter makes 2-pt shot from 19 ft (assist by D. Gooden),2,66-56,,
2:11.0,,,66-56,,C. Aldrich misses 2-pt shot from 6 ft
2:10.0,Defensive rebound by D. Gooden,,66-56,,
2:03.0,A. Miller enters the game for J. Wall,,66-56,,
1:51.0,K. Seraphin makes 2-pt shot from 8 ft,2,68-56,,
1:30.0,,,68-56,,J. Smith misses 2-pt shot from 21 ft
1:29.0,Defensive rebound by A. Miller,,68-56,,
1:13.0,K. Seraphin makes 2-pt shot from 11 ft (assist by G. Temple),2,70-56,,
0:52.0,,,70-58,2,T. Hardaway makes 2-pt shot from 20 ft
0:37.0,Shooting foul by C. Aldrich (drawn by K. Seraphin),,70-58,,
0:37.0,K. Seraphin makes free throw 1 of 2,1,71-58,,
0:37.0,G. Rice enters the game for G. Temple,,71-58,,
0:37.0,K. Seraphin makes free throw 2 of 2,1,72-58,,
0:23.0,,,72-58,,Shooting foul by G. Rice (drawn by J. Smith)
0:23.0,,,72-59,1,J. Smith makes free throw 1 of 2
0:23.0,J. Wall enters the game for D. Gooden,,72-59,,
0:23.0,,,72-59,,I. Shumpert enters the game for J. Smith
0:23.0,,,72-60,1,J. Smith makes free throw 2 of 2
0:03.0,O. Porter misses 3-pt shot from 24 ft (block by J. Smith),,72-60,,
0:01.0,Offensive rebound by Team,,72-60,,
0:01.0,D. Gooden enters the game for A. Miller,,72-60,,
0:01.0,,,72-60,,S. Dalembert enters the game for P. Prigioni
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,,,72-60,,Turnover by A. Stoudemire (3 sec)
11:33.0,Offensive foul by K. Seraphin,,72-60,,
11:33.0,Turnover by K. Seraphin (offensive foul),,72-60,,
11:14.0,,,72-62,2,A. Stoudemire makes 2-pt shot from 4 ft
11:00.0,G. Rice misses 3-pt shot from 26 ft,,72-62,,
10:59.0,Offensive rebound by O. Porter,,72-62,,
10:45.0,A. Miller makes 2-pt shot from 1 ft,2,74-62,,
10:28.0,Personal foul by D. Gooden (drawn by C. Anthony),,74-62,,
10:24.0,,,74-62,,Turnover by I. Shumpert (bad pass)
10:24.0,,,74-62,,Violation by Team (delay of game)
10:06.0,A. Miller misses 2-pt shot from 3 ft,,74-62,,
10:05.0,Offensive rebound by Team,,74-62,,
9:56.0,Turnover by A. Miller (bad pass; steal by A. Stoudemire),,74-62,,
9:48.0,Personal block foul by G. Rice (drawn by I. Shumpert),,74-62,,
9:37.0,,,74-65,3,I. Shumpert makes 3-pt shot from 24 ft (assist by C. Anthony)
9:11.0,A. Miller misses 2-pt shot from 10 ft,,74-65,,
9:10.0,Offensive rebound by O. Porter,,74-65,,
9:10.0,O. Porter misses 2-pt shot at rim,,74-65,,
9:08.0,Offensive rebound by Team,,74-65,,
8:55.0,D. Gooden makes 3-pt shot from 26 ft (assist by A. Miller),3,77-65,,
8:33.0,,,77-68,3,P. Prigioni makes 3-pt shot from 26 ft (assist by J. Smith)
8:21.0,,,77-68,,Personal foul by J. Smith (drawn by O. Porter)
8:21.0,Official timeout,,77-68,,
8:12.0,G. Rice misses 2-pt shot at rim (block by I. Shumpert),,77-68,,
8:11.0,,,77-68,,Defensive rebound by I. Shumpert
8:02.0,,,77-68,,C. Anthony misses 2-pt shot from 20 ft
8:01.0,,,77-68,,Offensive rebound by P. Prigioni
7:53.0,,,77-71,3,I. Shumpert makes 3-pt shot from 23 ft (assist by J. Smith)
7:32.0,K. Seraphin makes 2-pt shot from 13 ft (assist by A. Miller),2,79-71,,
7:14.0,,,79-71,,J. Smith misses 2-pt shot from 17 ft
7:13.0,Defensive rebound by O. Porter,,79-71,,
6:56.0,A. Miller makes 2-pt shot from 9 ft,2,81-71,,
6:41.0,,,81-73,2,C. Anthony makes 2-pt shot from 12 ft (assist by A. Stoudemire)
6:24.0,A. Miller makes 2-pt shot from 5 ft,2,83-73,,
6:15.0,,,83-73,,C. Anthony misses 2-pt shot from 21 ft
6:14.0,Defensive rebound by O. Porter,,83-73,,
5:58.0,D. Gooden misses 3-pt shot from 25 ft,,83-73,,
5:57.0,,,83-73,,Defensive rebound by A. Stoudemire
5:45.0,Personal foul by G. Rice (drawn by J. Smith),,83-73,,
5:45.0,,,83-73,,New York full timeout
5:45.0,P. Pierce enters the game for D. Gooden,,83-73,,
5:45.0,J. Wall enters the game for G. Rice,,83-73,,
5:45.0,,,83-73,,S. Larkin enters the game for P. Prigioni
5:42.0,Personal foul by P. Pierce (drawn by S. Larkin),,83-73,,
5:31.0,Personal foul by O. Porter (drawn by I. Shumpert),,83-73,,
5:31.0,,,83-74,1,I. Shumpert makes free throw 1 of 2
5:31.0,G. Temple enters the game for A. Miller,,83-74,,
5:31.0,N. Hilario enters the game for K. Seraphin,,83-74,,
5:31.0,,,83-75,1,I. Shumpert makes free throw 2 of 2
5:19.0,P. Pierce makes 3-pt shot from 25 ft (assist by J. Wall),3,86-75,,
4:54.0,,,86-75,,I. Shumpert misses 2-pt shot from 6 ft
4:53.0,,,86-75,,Offensive rebound by A. Stoudemire
4:51.0,,,86-75,,A. Stoudemire misses 2-pt shot at rim
4:50.0,,,86-75,,Offensive rebound by C. Anthony
4:50.0,,,86-75,,C. Anthony misses 2-pt shot at rim
4:48.0,Defensive rebound by P. Pierce,,86-75,,
4:37.0,,,86-75,,Personal foul by J. Smith (drawn by N. Hilario)
4:31.0,N. Hilario misses 2-pt shot from 5 ft,,86-75,,
4:30.0,,,86-75,,Defensive rebound by A. Stoudemire
4:19.0,,,86-75,,C. Anthony misses 2-pt shot from 2 ft
4:18.0,,,86-75,,Offensive rebound by C. Anthony
4:18.0,,,86-77,2,C. Anthony makes 2-pt shot from 2 ft
3:59.0,Turnover by N. Hilario (lost ball),,86-77,,
3:59.0,Loose ball foul by N. Hilario (drawn by S. Larkin),,86-77,,
3:59.0,,,86-77,,S. Larkin misses free throw 1 of 2
3:59.0,,,86-77,,Offensive rebound by Team
3:59.0,,,86-77,,Turnover by C. Anthony (lane violation.)
3:45.0,Shooting foul by A. Stoudemire (drawn by G. Temple),,86-77,,
