time,LA Clippers,pts.away,score,pts.home,Charlotte
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,,,31-23,,C. Zeller misses 2-pt shot from 18 ft
11:45.0,Defensive rebound by J. Farmar,,31-23,,
11:29.0,S. Hawes misses 3-pt shot from 26 ft,,31-23,,
11:28.0,,,31-23,,Defensive rebound by B. Biyombo
11:28.0,Personal foul by S. Hawes (drawn by C. Zeller),,31-23,,
11:28.0,Technical foul by S. Hawes (drawn by C. Zeller),,31-23,,
11:28.0,,,31-24,1,G. Neal makes technical free throw
11:15.0,,,31-24,,G. Neal misses 2-pt shot from 16 ft
11:14.0,Defensive rebound by J. Crawford,,31-24,,
11:05.0,J. Crawford misses 2-pt shot from 14 ft,,31-24,,
11:04.0,,,31-24,,Defensive rebound by B. Biyombo
10:53.0,,,31-24,,Shooting foul by S. Hawes (drawn by C. Zeller)
10:53.0,,,31-25,1,C. Zeller makes free throw 1 of 2
10:53.0,D. Jordan enters the game for S. Hawes,,31-25,,
10:53.0,,,31-25,,C. Zeller misses free throw 2 of 2
10:52.0,Defensive rebound by G. Davis,,31-25,,
10:37.0,H. Turkoglu misses 2-pt shot from 15 ft,,31-25,,
10:34.0,,,31-25,,Defensive rebound by L. Stephenson
10:19.0,,,31-27,2,B. Roberts makes 2-pt shot from 2 ft
9:56.0,G. Davis makes 2-pt shot from 5 ft (assist by J. Crawford),2,33-27,,
9:38.0,,,33-29,2,C. Zeller makes 2-pt shot from 1 ft (assist by L. Stephenson)
9:14.0,H. Turkoglu makes 2-pt shot from 4 ft (assist by G. Davis),2,35-29,,
8:56.0,,,35-31,2,B. Biyombo makes 2-pt shot from 6 ft (assist by L. Stephenson)
8:46.0,,,35-31,,Personal foul by C. Zeller (drawn by J. Crawford)
8:46.0,Official timeout,,35-31,,
8:40.0,Turnover by J. Crawford (lost ball; steal by B. Roberts),,35-31,,
8:35.0,,,35-33,2,B. Roberts makes 2-pt shot from 1 ft
8:18.0,H. Turkoglu misses 2-pt shot from 7 ft,,35-33,,
8:17.0,,,35-33,,Defensive rebound by C. Zeller
8:13.0,Shooting block foul by G. Davis (drawn by L. Stephenson),,35-33,,
8:13.0,,,35-33,,L. Stephenson misses free throw 1 of 2
8:13.0,,,35-33,,Offensive rebound by Team
8:13.0,,,35-34,1,L. Stephenson makes free throw 2 of 2
7:59.0,J. Crawford misses 3-pt shot from 25 ft,,35-34,,
7:57.0,Offensive rebound by H. Turkoglu,,35-34,,
7:54.0,H. Turkoglu makes 3-pt shot from 24 ft,3,38-34,,
7:36.0,,,38-36,2,C. Zeller makes 2-pt shot at rim (assist by L. Stephenson)
7:10.0,G. Davis misses 2-pt shot from 18 ft,,38-36,,
7:09.0,,,38-36,,Defensive rebound by B. Biyombo
6:58.0,,,38-36,,L. Stephenson misses 3-pt shot from 25 ft
6:57.0,Defensive rebound by D. Jordan,,38-36,,
6:53.0,Turnover by D. Jordan (bad pass; steal by C. Zeller),,38-36,,
6:46.0,Personal foul by D. Jordan (drawn by B. Roberts),,38-36,,
6:46.0,B. Griffin enters the game for G. Davis,,38-36,,
6:46.0,J. Redick enters the game for H. Turkoglu,,38-36,,
6:45.0,,,38-36,,A. Jefferson enters the game for G. Neal
6:45.0,,,38-36,,G. Henderson enters the game for B. Biyombo
6:35.0,,,38-36,,A. Jefferson misses 2-pt shot from 7 ft
6:34.0,Defensive rebound by B. Griffin,,38-36,,
6:29.0,Turnover by B. Griffin (bad pass),,38-36,,
6:29.0,C. Paul enters the game for J. Farmar,,38-36,,
6:04.0,,,38-38,2,A. Jefferson makes 2-pt shot from 6 ft (assist by G. Henderson)
5:50.0,J. Crawford makes 3-pt shot from 26 ft (assist by B. Griffin),3,41-38,,
5:28.0,,,41-40,2,G. Henderson makes 2-pt shot from 19 ft (assist by B. Roberts)
5:03.0,B. Griffin makes 2-pt shot from 1 ft (assist by C. Paul),2,43-40,,
4:56.0,Personal foul by B. Griffin (drawn by C. Zeller),,43-40,,
4:56.0,,,43-40,,Charlotte full timeout
4:56.0,R. Bullock enters the game for J. Crawford,,43-40,,
4:56.0,,,43-40,,K. Walker enters the game for B. Roberts
4:56.0,,,43-41,1,C. Zeller makes free throw 1 of 2
4:56.0,,,43-42,1,C. Zeller makes free throw 2 of 2
4:48.0,,,43-42,,Personal foul by C. Zeller (drawn by B. Griffin)
4:48.0,,,43-42,,M. Williams enters the game for C. Zeller
4:37.0,B. Griffin misses 2-pt shot from 3 ft,,43-42,,
4:35.0,,,43-42,,Defensive rebound by A. Jefferson
4:27.0,,,43-42,,G. Henderson misses 3-pt shot from 25 ft
4:25.0,,,43-42,,Offensive rebound by M. Williams
4:21.0,,,43-42,,L. Stephenson misses 2-pt shot from 20 ft
4:21.0,,,43-42,,Offensive rebound by Team
4:21.0,Loose ball foul by J. Redick (drawn by M. Williams),,43-42,,
4:21.0,,,43-43,1,M. Williams makes free throw 1 of 2
4:21.0,,,43-44,1,M. Williams makes free throw 2 of 2
4:09.0,J. Redick makes 3-pt shot from 26 ft (assist by C. Paul),3,46-44,,
3:49.0,Personal foul by C. Paul (drawn by K. Walker),,46-44,,
3:49.0,,,46-45,1,K. Walker makes free throw 1 of 2
3:49.0,,,46-46,1,K. Walker makes free throw 2 of 2
3:38.0,J. Redick misses 3-pt shot from 25 ft,,46-46,,
3:37.0,,,46-46,,Defensive rebound by L. Stephenson
3:21.0,,,46-46,,M. Williams misses 3-pt shot from 25 ft
3:19.0,Defensive rebound by B. Griffin,,46-46,,
3:06.0,C. Paul makes 2-pt shot from 19 ft (assist by B. Griffin),2,48-46,,
2:42.0,,,48-48,2,K. Walker makes 2-pt shot from 17 ft (assist by L. Stephenson)
2:38.0,,,48-48,,Personal foul by M. Williams (drawn by B. Griffin)
2:38.0,LA Clippers full timeout,,48-48,,
2:22.0,R. Bullock makes 3-pt shot from 24 ft (assist by B. Griffin),3,51-48,,
1:57.0,,,51-50,2,A. Jefferson makes 2-pt shot from 2 ft
