time,San Antonio,pts.away,score,pts.home,Milwaukee
9:08.0,,,4-6,,Shooting foul by K. Leonard (drawn by G. Antetokounmpo)
9:08.0,,,4-7,1,G. Antetokounmpo makes free throw 1 of 2
9:08.0,,,4-8,1,G. Antetokounmpo makes free throw 2 of 2
8:43.0,T. Parker misses 2-pt shot from 10 ft (block by M. Carter-Williams),,4-8,,
8:41.0,,,4-8,,Defensive rebound by G. Antetokounmpo
8:30.0,,,4-8,,E. Ilyasova misses 3-pt shot from 27 ft
8:29.0,Defensive rebound by T. Splitter,,4-8,,
8:12.0,K. Leonard makes 3-pt shot from 23 ft (assist by T. Duncan),3,7-8,,
8:01.0,,,7-8,,Shooting foul by T. Parker (drawn by M. Carter-Williams)
8:01.0,,,7-9,1,M. Carter-Williams makes free throw 1 of 2
8:01.0,,,7-10,1,M. Carter-Williams makes free throw 2 of 2
7:41.0,Turnover by T. Splitter (lost ball; steal by E. Ilyasova),,7-10,,
7:35.0,,,7-12,2,Z. Pachulia makes 2-pt shot from 12 ft (assist by M. Carter-Williams)
7:18.0,T. Parker makes 2-pt shot from 13 ft,2,9-12,,
7:07.0,,,9-14,2,G. Antetokounmpo makes 2-pt shot from 1 ft (assist by M. Carter-Williams)
6:43.0,T. Parker makes 2-pt shot from 9 ft (assist by K. Leonard),2,11-14,,
6:29.0,,,11-16,2,K. Middleton makes 2-pt shot from 15 ft (assist by M. Carter-Williams)
6:29.0,San Antonio full timeout,,11-16,,
6:29.0,B. Diaw enters the game for T. Splitter,,11-16,,
6:29.0,M. Belinelli enters the game for D. Green,,11-16,,
6:29.0,,,11-16,,J. Bayless enters the game for K. Middleton
6:10.0,K. Leonard misses 2-pt shot from 13 ft,,11-16,,
6:09.0,,,11-16,,Defensive rebound by Z. Pachulia
5:50.0,,,11-18,2,Z. Pachulia makes 2-pt shot at rim (assist by J. Bayless)
5:31.0,T. Parker makes 3-pt shot from 24 ft (assist by T. Duncan),3,14-18,,
5:17.0,,,14-20,2,E. Ilyasova makes 2-pt shot at rim
5:17.0,,,14-20,,Shooting foul by T. Parker (drawn by E. Ilyasova)
5:17.0,J. Ayres enters the game for T. Parker,,14-20,,
5:17.0,P. Mills enters the game for T. Duncan,,14-20,,
5:17.0,,,14-20,,E. Ilyasova misses free throw 1 of 1
5:15.0,Defensive rebound by Team,,14-20,,
4:52.0,K. Leonard makes 3-pt shot from 23 ft (assist by B. Diaw),3,17-20,,
4:31.0,,,17-20,,G. Antetokounmpo misses 2-pt shot from 17 ft
4:30.0,,,17-20,,Offensive rebound by Z. Pachulia
4:29.0,,,17-20,,Shooting foul by J. Ayres (drawn by Z. Pachulia)
4:29.0,,,17-21,1,Z. Pachulia makes free throw 1 of 2
4:29.0,,,17-21,,Z. Pachulia misses free throw 2 of 2
4:29.0,Defensive rebound by K. Leonard,,17-21,,
4:09.0,Shooting foul by M. Carter-Williams (drawn by J. Ayres),,17-21,,
4:09.0,J. Ayres misses free throw 1 of 2,,17-21,,
4:09.0,Offensive rebound by Team,,17-21,,
4:09.0,,,17-21,,J. Henson enters the game for Z. Pachulia
4:09.0,J. Ayres makes free throw 2 of 2,1,18-21,,
3:56.0,,,18-21,,E. Ilyasova misses 3-pt shot from 24 ft
3:55.0,Defensive rebound by B. Diaw,,18-21,,
3:40.0,M. Belinelli misses 3-pt shot from 25 ft,,18-21,,
3:39.0,Offensive rebound by Team,,18-21,,
3:22.0,B. Diaw makes 2-pt shot at rim (assist by M. Belinelli),2,20-21,,
3:09.0,,,20-21,,E. Ilyasova misses 3-pt shot from 22 ft
3:08.0,Defensive rebound by J. Ayres,,20-21,,
3:00.0,Shooting foul by M. Carter-Williams (drawn by M. Belinelli),,20-21,,
3:00.0,,,20-21,,Milwaukee full timeout
3:00.0,,,20-21,,T. Ennis enters the game for M. Carter-Williams
3:00.0,,,20-21,,K. Middleton enters the game for E. Ilyasova
3:00.0,M. Belinelli makes free throw 1 of 2,1,21-21,,
3:00.0,D. Green enters the game for K. Leonard,,21-21,,
3:00.0,M. Belinelli makes free throw 2 of 2,1,22-21,,
2:39.0,,,22-21,,T. Ennis misses 3-pt shot from 24 ft
2:38.0,,,22-21,,Offensive rebound by J. Henson
2:33.0,,,22-23,2,G. Antetokounmpo makes 2-pt shot at rim (assist by J. Henson)
2:21.0,M. Belinelli misses 2-pt shot from 6 ft,,22-23,,
2:21.0,Offensive rebound by Team,,22-23,,
2:21.0,,,22-23,,Loose ball foul by K. Middleton (drawn by J. Ayres)
2:21.0,J. Ayres makes free throw 1 of 2,1,23-23,,
2:21.0,,,23-23,,C. Johnson enters the game for K. Middleton
2:21.0,J. Ayres misses free throw 2 of 2,,23-23,,
2:20.0,,,23-23,,Defensive rebound by J. Henson
2:02.0,,,23-23,,Turnover by T. Ennis (bad pass)
1:42.0,J. Ayres makes 2-pt shot at rim (assist by P. Mills),2,25-23,,
1:21.0,,,25-25,2,J. Henson makes 2-pt shot from 6 ft (assist by C. Johnson)
1:15.0,Turnover by J. Ayres (traveling),,25-25,,
0:55.0,,,25-27,2,J. Bayless makes 2-pt shot from 11 ft (assist by G. Antetokounmpo)
0:50.0,,,25-27,,Personal foul by G. Antetokounmpo (drawn by B. Diaw)
0:50.0,B. Diaw makes free throw 1 of 2,1,26-27,,
0:50.0,B. Diaw makes free throw 2 of 2,1,27-27,,
0:36.0,,,27-27,,Shooting foul by J. Ayres (drawn by J. Henson)
0:36.0,,,27-27,,J. Henson misses free throw 1 of 2
0:36.0,,,27-27,,Offensive rebound by Team
0:36.0,,,27-28,1,J. Henson makes free throw 2 of 2
0:22.0,P. Mills misses 3-pt shot from 25 ft,,27-28,,
0:21.0,,,27-28,,Defensive rebound by G. Antetokounmpo
0:04.0,,,27-28,,J. Bayless misses 2-pt shot from 15 ft
0:03.0,Defensive rebound by D. Green,,27-28,,
0:00.0,D. Green misses 3-pt shot from 58 ft,,27-28,,
0:00.0,Offensive rebound by Team,,27-28,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,B. Diaw makes 2-pt shot from 1 ft,2,29-28,,
11:30.0,,,29-28,,C. Johnson misses 3-pt shot from 24 ft
11:28.0,Defensive rebound by B. Diaw,,29-28,,
11:21.0,B. Diaw makes 2-pt shot at rim (assist by P. Mills),2,31-28,,
10:59.0,,,31-30,2,E. Ilyasova makes 2-pt shot from 12 ft (assist by C. Johnson)
10:46.0,D. Green makes 2-pt shot at rim (assist by T. Splitter),2,33-30,,
10:46.0,Shooting foul by T. Ennis (drawn by D. Green),,33-30,,
10:46.0,D. Green makes free throw 1 of 1,1,34-30,,
10:33.0,,,34-30,,Turnover by J. Henson (bad pass)
10:16.0,Turnover by M. Belinelli (bad pass; steal by C. Johnson),,34-30,,
10:11.0,,,34-30,,C. Johnson misses 2-pt shot at rim
10:10.0,,,34-30,,Offensive rebound by J. Henson
10:10.0,,,34-32,2,J. Henson makes 2-pt shot at rim
10:10.0,San Antonio full timeout,,34-32,,
10:10.0,,,34-32,,Z. Pachulia enters the game for J. Henson
9:58.0,D. Green makes 3-pt shot from 25 ft (assist by P. Mills),3,37-32,,
9:40.0,,,37-35,3,C. Johnson makes 3-pt shot from 24 ft (assist by T. Ennis)
9:26.0,P. Mills misses 3-pt shot from 27 ft,,37-35,,
9:25.0,,,37-35,,Defensive rebound by J. Bayless
9:11.0,,,37-35,,Turnover by J. Bayless (lost ball; steal by B. Diaw)
9:05.0,D. Green misses 2-pt shot at rim,,37-35,,
9:04.0,,,37-35,,Defensive rebound by E. Ilyasova
9:00.0,,,37-35,,E. Ilyasova misses 2-pt shot from 1 ft (block by T. Splitter)
8:57.0,Defensive rebound by T. Splitter,,37-35,,
8:50.0,M. Belinelli misses 3-pt shot from 23 ft,,37-35,,
8:49.0,,,37-35,,Defensive rebound by T. Ennis
8:48.0,Personal take foul by T. Splitter (drawn by T. Ennis),,37-35,,
8:48.0,M. Bonner enters the game for B. Diaw,,37-35,,
8:48.0,K. Leonard enters the game for M. Belinelli,,37-35,,
8:41.0,,,37-37,2,J. Bayless makes 2-pt shot from 18 ft (assist by Z. Pachulia)
8:31.0,,,37-37,,Personal foul by J. Bayless (drawn by D. Green)
8:16.0,T. Splitter makes 2-pt shot from 6 ft,2,39-37,,
8:00.0,,,39-39,2,Z. Pachulia makes 2-pt shot from 16 ft (assist by T. Ennis)
7:51.0,Turnover by P. Mills (bad pass; steal by T. Ennis),,39-39,,
7:38.0,,,39-39,,Turnover by Z. Pachulia (bad pass; steal by K. Leonard)
7:35.0,T. Splitter makes 2-pt shot from 1 ft (assist by P. Mills),2,41-39,,
7:35.0,Shooting foul by T. Ennis (drawn by T. Splitter),,41-39,,
7:35.0,,,41-39,,M. Carter-Williams enters the game for T. Ennis
7:35.0,T. Splitter misses free throw 1 of 1,,41-39,,
7:34.0,,,41-39,,Defensive rebound by Z. Pachulia
7:20.0,,,41-39,,M. Carter-Williams misses 2-pt shot at rim (block by T. Splitter)
7:17.0,Defensive rebound by D. Green,,41-39,,
7:10.0,P. Mills makes 3-pt shot from 22 ft (assist by M. Bonner),3,44-39,,
6:55.0,,,44-39,,Z. Pachulia misses 2-pt shot from 13 ft
6:54.0,Defensive rebound by M. Bonner,,44-39,,
6:45.0,K. Leonard misses 2-pt shot from 6 ft,,44-39,,
6:44.0,Offensive rebound by D. Green,,44-39,,
6:44.0,D. Green misses 2-pt shot at rim,,44-39,,
6:42.0,,,44-39,,Defensive rebound by C. Johnson
6:42.0,Personal foul by K. Leonard (drawn by C. Johnson),,44-39,,
6:42.0,T. Duncan enters the game for T. Splitter,,44-39,,
6:42.0,T. Parker enters the game for P. Mills,,44-39,,
6:42.0,,,44-39,,K. Middleton enters the game for J. Bayless
6:22.0,,,44-41,2,E. Ilyasova makes 2-pt shot from 20 ft (assist by M. Carter-Williams)
6:00.0,D. Green makes 2-pt shot at rim (assist by K. Leonard),2,46-41,,
6:00.0,Shooting foul by C. Johnson (drawn by D. Green),,46-41,,
6:00.0,D. Green makes free throw 1 of 1,1,47-41,,
5:48.0,,,47-43,2,M. Carter-Williams makes 2-pt shot at rim
5:37.0,Offensive foul by K. Leonard,,47-43,,
5:37.0,Turnover by K. Leonard (offensive foul),,47-43,,
5:37.0,Official timeout,,47-43,,
5:37.0,M. Belinelli enters the game for K. Leonard,,47-43,,
5:37.0,,,47-43,,G. Antetokounmpo enters the game for C. Johnson
5:31.0,B. Diaw enters the game for M. Bonner,,47-43,,
5:25.0,,,47-43,,Turnover by M. Carter-Williams (bad pass; steal by D. Green)
5:05.0,M. Belinelli misses 3-pt shot from 26 ft,,47-43,,
5:04.0,,,47-43,,Defensive rebound by G. Antetokounmpo
4:52.0,Violation by T. Duncan (kicked ball),,47-43,,
4:47.0,,,47-46,3,K. Middleton makes 3-pt shot from 26 ft (assist by Z. Pachulia)
4:33.0,Shooting foul by E. Ilyasova (drawn by B. Diaw),,47-46,,
4:33.0,B. Diaw makes free throw 1 of 2,1,48-46,,
4:33.0,B. Diaw makes free throw 2 of 2,1,49-46,,
4:18.0,,,49-46,,Shooting foul by D. Green (drawn by Z. Pachulia)
4:18.0,,,49-47,1,Z. Pachulia makes free throw 1 of 2
4:18.0,,,49-47,,Z. Pachulia misses free throw 2 of 2
4:17.0,Defensive rebound by B. Diaw,,49-47,,
3:50.0,T. Duncan misses 3-pt shot from 25 ft,,49-47,,
3:49.0,,,49-47,,Defensive rebound by G. Antetokounmpo
3:37.0,,,49-47,,E. Ilyasova misses 2-pt shot from 7 ft
3:36.0,Defensive rebound by M. Belinelli,,49-47,,
3:26.0,T. Duncan makes 2-pt shot from 3 ft (assist by D. Green),2,51-47,,
3:04.0,,,51-49,2,M. Carter-Williams makes 2-pt shot at rim
2:42.0,T. Duncan makes 2-pt shot from 4 ft,2,53-49,,
2:40.0,,,53-49,,Milwaukee full timeout
2:40.0,R. Williams enters the game for M. Belinelli,,53-49,,
2:40.0,,,53-49,,J. Henson enters the game for Z. Pachulia
2:23.0,,,53-49,,G. Antetokounmpo misses 2-pt shot from 2 ft
2:22.0,Defensive rebound by R. Williams,,53-49,,
2:06.0,T. Duncan makes 2-pt shot at rim (assist by B. Diaw),2,55-49,,
1:52.0,,,55-49,,M. Carter-Williams misses 2-pt shot from 6 ft
1:51.0,Defensive rebound by D. Green,,55-49,,
1:47.0,,,55-49,,Personal foul by E. Ilyasova (drawn by B. Diaw)
1:47.0,B. Diaw makes free throw 1 of 2,1,56-49,,
1:47.0,B. Diaw makes free throw 2 of 2,1,57-49,,
1:38.0,,,57-49,,K. Middleton misses 2-pt shot from 15 ft
1:37.0,Defensive rebound by D. Green,,57-49,,
1:21.0,R. Williams makes 2-pt shot at rim (assist by B. Diaw),2,59-49,,
1:00.0,,,59-52,3,E. Ilyasova makes 3-pt shot from 26 ft (assist by M. Carter-Williams)
0:47.0,R. Williams makes 2-pt shot at rim (assist by T. Duncan),2,61-52,,
0:37.0,,,61-54,2,G. Antetokounmpo makes 2-pt shot from 5 ft (assist by K. Middleton)
0:27.0,,,61-54,,Personal block foul by G. Antetokounmpo (drawn by T. Parker)
0:27.0,T. Parker makes free throw 1 of 2,1,62-54,,
0:27.0,T. Parker makes free throw 2 of 2,1,63-54,,
0:12.0,,,63-54,,M. Carter-Williams misses 2-pt shot at rim (block by T. Duncan)
0:10.0,Defensive rebound by Team,,63-54,,
0:09.0,M. Bonner enters the game for B. Diaw,,63-54,,
0:01.0,D. Green misses 3-pt shot from 25 ft,,63-54,,
0:00.0,Offensive rebound by Team,,63-54,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:35.0,D. Green makes 3-pt shot from 23 ft (assist by T. Parker),3,66-54,,
11:13.0,,,66-57,3,E. Ilyasova makes 3-pt shot from 25 ft (assist by G. Antetokounmpo)
10:58.0,T. Parker makes 2-pt shot from 4 ft,2,68-57,,
10:38.0,,,68-57,,Turnover by Z. Pachulia (bad pass; steal by D. Green)
10:31.0,K. Leonard makes 2-pt shot from 13 ft,2,70-57,,
10:13.0,,,70-57,,G. Antetokounmpo misses 2-pt shot from 14 ft
10:12.0,Defensive rebound by T. Parker,,70-57,,
10:03.0,T. Parker makes 2-pt shot from 17 ft,2,72-57,,
10:03.0,,,72-57,,Milwaukee full timeout
10:03.0,,,72-57,,M. Plumlee enters the game for Z. Pachulia
9:43.0,,,72-57,,K. Middleton misses 2-pt shot from 13 ft
9:43.0,Defensive rebound by T. Duncan,,72-57,,
9:43.0,,,72-57,,Loose ball foul by G. Antetokounmpo (drawn by T. Duncan)
9:27.0,T. Duncan makes 2-pt shot from 11 ft,2,74-57,,
9:09.0,,,74-57,,M. Carter-Williams misses 2-pt shot from 17 ft
9:08.0,Defensive rebound by T. Splitter,,74-57,,
8:56.0,T. Duncan makes 2-pt shot at rim (assist by D. Green),2,76-57,,
8:40.0,Personal foul by D. Green (drawn by G. Antetokounmpo),,76-57,,
8:40.0,,,76-57,,J. Bayless enters the game for K. Middleton
8:24.0,,,76-57,,G. Antetokounmpo misses 2-pt shot from 8 ft
8:23.0,,,76-57,,Offensive rebound by M. Plumlee
8:22.0,,,76-57,,M. Plumlee misses 2-pt shot from 2 ft (block by T. Duncan)
8:19.0,,,76-57,,Offensive rebound by M. Plumlee
8:16.0,,,76-60,3,J. Bayless makes 3-pt shot from 22 ft (assist by M. Plumlee)
7:56.0,T. Duncan misses 2-pt shot from 16 ft,,76-60,,
7:55.0,,,76-60,,Defensive rebound by E. Ilyasova
7:45.0,,,76-60,,Turnover by J. Bayless (bad pass; steal by T. Duncan)
7:37.0,D. Green misses 2-pt shot from 1 ft,,76-60,,
7:36.0,Offensive rebound by D. Green,,76-60,,
7:36.0,D. Green misses 2-pt shot from 1 ft,,76-60,,
7:34.0,,,76-60,,Defensive rebound by M. Plumlee
7:27.0,,,76-60,,Shooting foul by T. Duncan (drawn by M. Carter-Williams)
7:27.0,,,76-61,1,M. Carter-Williams makes free throw 1 of 2
7:27.0,,,76-62,1,M. Carter-Williams makes free throw 2 of 2
7:11.0,T. Duncan makes 2-pt shot from 3 ft,2,78-62,,
7:11.0,Shooting foul by M. Plumlee (drawn by T. Duncan),,78-62,,
7:11.0,B. Diaw enters the game for T. Splitter,,78-62,,
7:11.0,M. Belinelli enters the game for D. Green,,78-62,,
7:11.0,T. Duncan makes free throw 1 of 1,1,79-62,,
6:56.0,,,79-62,,J. Bayless misses 2-pt shot from 14 ft
6:55.0,,,79-62,,Offensive rebound by M. Plumlee
6:46.0,,,79-62,,G. Antetokounmpo misses 2-pt shot from 16 ft
6:45.0,Defensive rebound by M. Belinelli,,79-62,,
6:21.0,T. Duncan misses 2-pt shot from 11 ft,,79-62,,
6:20.0,,,79-62,,Defensive rebound by M. Plumlee
6:12.0,,,79-64,2,E. Ilyasova makes 2-pt shot from 13 ft
5:50.0,T. Duncan makes 2-pt shot from 2 ft (assist by B. Diaw),2,81-64,,
5:43.0,Personal foul by M. Belinelli (drawn by J. Bayless),,81-64,,
5:38.0,,,81-64,,Turnover by M. Carter-Williams (bad pass; steal by K. Leonard)
5:36.0,,,81-64,,Clear path foul by G. Antetokounmpo
5:36.0,K. Leonard makes clear path free throw 1 of 2,1,82-64,,
5:36.0,C. Joseph enters the game for T. Parker,,82-64,,
5:36.0,K. Leonard misses clear path free throw 2 of 2,,82-64,,
5:36.0,Offensive rebound by Team,,82-64,,
5:24.0,K. Leonard misses 2-pt shot from 14 ft,,82-64,,
5:23.0,,,82-64,,Defensive rebound by M. Plumlee
5:10.0,,,82-66,2,G. Antetokounmpo makes 2-pt shot at rim (assist by E. Ilyasova)
4:57.0,K. Leonard misses 2-pt shot from 10 ft (block by G. Antetokounmpo),,82-66,,
4:55.0,,,82-66,,Defensive rebound by G. Antetokounmpo
4:48.0,,,82-66,,Shooting foul by B. Diaw (drawn by E. Ilyasova)
4:48.0,,,82-66,,E. Ilyasova misses free throw 1 of 2
4:48.0,,,82-66,,Offensive rebound by Team
4:48.0,T. Splitter enters the game for T. Duncan,,82-66,,
4:48.0,,,82-67,1,E. Ilyasova makes free throw 2 of 2
4:31.0,C. Joseph misses 2-pt shot at rim,,82-67,,
4:29.0,,,82-67,,Defensive rebound by M. Plumlee
4:20.0,,,82-69,2,G. Antetokounmpo makes 2-pt shot at rim (assist by J. Bayless)
4:18.0,San Antonio full timeout,,82-69,,
4:18.0,,,82-69,,K. Middleton enters the game for E. Ilyasova
4:00.0,B. Diaw misses 2-pt shot from 9 ft (block by G. Antetokounmpo),,82-69,,
3:58.0,,,82-69,,Defensive rebound by J. Bayless
3:47.0,Personal foul by K. Leonard (drawn by K. Middleton),,82-69,,
3:47.0,D. Green enters the game for K. Leonard,,82-69,,
3:47.0,,,82-70,1,K. Middleton makes free throw 1 of 2
3:47.0,,,82-71,1,K. Middleton makes free throw 2 of 2
3:29.0,B. Diaw makes 2-pt shot from 3 ft,2,84-71,,
3:15.0,,,84-73,2,G. Antetokounmpo makes 2-pt shot from 18 ft (assist by K. Middleton)
2:58.0,Shooting foul by J. Bayless (drawn by T. Splitter),,84-73,,
2:58.0,T. Splitter misses free throw 1 of 2,,84-73,,
2:58.0,Offensive rebound by Team,,84-73,,
2:58.0,T. Splitter makes free throw 2 of 2,1,85-73,,
2:43.0,,,85-73,,G. Antetokounmpo misses 2-pt shot from 17 ft
2:42.0,Defensive rebound by T. Splitter,,85-73,,
2:33.0,Shooting foul by M. Plumlee (drawn by T. Splitter),,85-73,,
2:33.0,T. Splitter misses free throw 1 of 2,,85-73,,
2:33.0,Offensive rebound by Team,,85-73,,
2:33.0,T. Splitter makes free throw 2 of 2,1,86-73,,
2:25.0,Personal foul by T. Splitter (drawn by J. Bayless),,86-73,,
2:25.0,,,86-74,1,J. Bayless makes free throw 1 of 2
2:25.0,T. Duncan enters the game for T. Splitter,,86-74,,
2:25.0,,,86-75,1,J. Bayless makes free throw 2 of 2
2:16.0,C. Joseph misses 2-pt shot at rim,,86-75,,
2:14.0,,,86-75,,Defensive rebound by G. Antetokounmpo
2:07.0,Shooting block foul by C. Joseph (drawn by K. Middleton),,86-75,,
2:07.0,,,86-76,1,K. Middleton makes free throw 1 of 2
2:07.0,,,86-77,1,K. Middleton makes free throw 2 of 2
1:53.0,T. Duncan misses 2-pt shot from 1 ft (block by M. Plumlee),,86-77,,
1:53.0,Offensive rebound by Team,,86-77,,
1:53.0,,,86-77,,T. Ennis enters the game for M. Carter-Williams
1:53.0,P. Mills enters the game for C. Joseph,,86-77,,
1:44.0,D. Green makes 2-pt shot from 18 ft (assist by T. Duncan),2,88-77,,
1:19.0,,,88-80,3,J. Bayless makes 3-pt shot from 27 ft (assist by T. Ennis)
0:59.0,M. Belinelli misses 3-pt shot from 27 ft,,88-80,,
0:58.0,,,88-80,,Defensive rebound by M. Plumlee
0:47.0,,,88-80,,J. Bayless misses 2-pt shot from 18 ft
0:46.0,Defensive rebound by T. Duncan,,88-80,,
0:29.0,M. Belinelli misses 2-pt shot from 17 ft,,88-80,,
0:28.0,Offensive rebound by T. Duncan,,88-80,,
0:25.0,M. Belinelli makes 3-pt shot from 25 ft (assist by T. Duncan),3,91-80,,
0:02.0,,,91-80,,J. Bayless misses 2-pt shot from 17 ft
0:00.0,Defensive rebound by B. Diaw,,91-80,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:48.0,,,91-82,2,T. Ennis makes 2-pt shot from 1 ft
11:27.0,M. Belinelli misses 2-pt shot from 5 ft,,91-82,,
11:26.0,,,91-82,,Defensive rebound by E. Ilyasova
11:04.0,,,91-82,,T. Ennis misses 2-pt shot from 1 ft
11:02.0,Defensive rebound by D. Green,,91-82,,
10:55.0,M. Belinelli makes 3-pt shot from 22 ft (assist by B. Diaw),3,94-82,,
10:35.0,,,94-84,2,K. Middleton makes 2-pt shot from 16 ft
10:25.0,B. Diaw makes 2-pt shot at rim (assist by T. Duncan),2,96-84,,
10:02.0,,,96-84,,M. Plumlee misses 2-pt shot from 4 ft
10:01.0,Defensive rebound by B. Diaw,,96-84,,
9:50.0,D. Green makes 2-pt shot at rim (assist by T. Duncan),2,98-84,,
9:47.0,,,98-84,,Milwaukee full timeout
9:47.0,,,98-84,,J. Henson enters the game for M. Plumlee
9:31.0,,,98-86,2,T. Ennis makes 2-pt shot from 13 ft
9:22.0,,,98-86,,Personal foul by K. Middleton (drawn by M. Belinelli)
9:07.0,D. Green misses 2-pt shot from 18 ft,,98-86,,
9:06.0,,,98-86,,Defensive rebound by E. Ilyasova
8:56.0,,,98-88,2,K. Middleton makes 2-pt shot from 13 ft (assist by J. Bayless)
8:43.0,B. Diaw misses 2-pt shot at rim,,98-88,,
8:42.0,,,98-88,,Defensive rebound by J. Henson
8:36.0,,,98-88,,T. Ennis misses 2-pt shot from 15 ft
8:35.0,Defensive rebound by P. Mills,,98-88,,
8:25.0,T. Parker enters the game for P. Mills,,98-88,,
8:20.0,,,98-88,,Personal foul by T. Ennis (drawn by D. Green)
8:12.0,M. Belinelli makes flagrant free throw 1 of 2,1,99-88,,
8:12.0,M. Belinelli makes flagrant free throw 2 of 2,1,100-88,,
8:12.0,K. Leonard enters the game for D. Green,,100-88,,
8:12.0,,,100-88,,M. Carter-Williams enters the game for J. Bayless
8:12.0,M. Belinelli makes free throw 3 of 3,1,101-88,,
8:07.0,,,101-88,,Personal foul by E. Ilyasova (drawn by B. Diaw)
7:49.0,T. Duncan misses 2-pt shot from 17 ft,,101-88,,
7:48.0,,,101-88,,Defensive rebound by E. Ilyasova
7:35.0,,,101-88,,J. Henson misses 2-pt shot at rim
7:34.0,Defensive rebound by T. Duncan,,101-88,,
7:29.0,,,101-88,,Personal foul by E. Ilyasova (drawn by B. Diaw)
7:29.0,B. Diaw makes free throw 1 of 2,1,102-88,,
7:29.0,,,102-88,,G. Antetokounmpo enters the game for E. Ilyasova
7:29.0,R. Williams enters the game for M. Belinelli,,102-88,,
7:29.0,B. Diaw makes free throw 2 of 2,1,103-88,,
7:05.0,,,103-88,,T. Ennis misses 3-pt shot from 25 ft
7:05.0,Defensive rebound by Team,,103-88,,
7:05.0,D. Green enters the game for B. Diaw,,103-88,,
6:46.0,Turnover by T. Duncan (lost ball; steal by G. Antetokounmpo),,103-88,,
6:43.0,,,103-90,2,G. Antetokounmpo makes 2-pt shot at rim
6:43.0,,,103-90,,Shooting foul by D. Green (drawn by G. Antetokounmpo)
6:43.0,San Antonio full timeout,,103-90,,
6:43.0,,,103-91,1,G. Antetokounmpo makes free throw 1 of 1
6:30.0,T. Duncan makes 2-pt shot from 7 ft (assist by D. Green),2,105-91,,
6:30.0,Shooting foul by J. Henson (drawn by T. Duncan),,105-91,,
6:30.0,T. Duncan misses free throw 1 of 1,,105-91,,
6:29.0,,,105-91,,Defensive rebound by J. Henson
6:14.0,Violation by T. Duncan (kicked ball),,105-91,,
6:09.0,,,105-91,,K. Middleton misses 3-pt shot from 24 ft
6:08.0,Defensive rebound by K. Leonard,,105-91,,
5:51.0,T. Duncan makes 2-pt shot at rim (assist by D. Green),2,107-91,,
5:40.0,,,107-91,,Shooting foul by R. Williams (drawn by M. Carter-Williams)
5:40.0,,,107-92,1,M. Carter-Williams makes free throw 1 of 2
5:40.0,,,107-92,,M. Plumlee enters the game for J. Henson
5:40.0,,,107-92,,M. Carter-Williams misses free throw 2 of 2
5:39.0,,,107-92,,Offensive rebound by G. Antetokounmpo
5:31.0,,,107-92,,M. Carter-Williams misses 2-pt shot from 1 ft
