time,Orlando,pts.away,score,pts.home,Portland
0:54.0,,,39-46,,L. Aldridge misses 2-pt shot from 14 ft
0:52.0,Defensive rebound by B. Gordon,,39-46,,
0:44.0,E. Payton makes 2-pt shot from 5 ft,2,41-46,,
0:44.0,,,41-46,,Portland full timeout
0:33.0,,,41-46,,D. Lillard misses 3-pt shot from 26 ft
0:32.0,Defensive rebound by C. Frye,,41-46,,
0:21.0,C. Frye misses 3-pt shot from 25 ft,,41-46,,
0:19.0,,,41-46,,Defensive rebound by D. Lillard
0:01.0,,,41-46,,D. Lillard misses 3-pt shot from 33 ft
0:00.0,,,41-46,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:40.0,D. Marble misses 3-pt shot from 24 ft,,41-46,,
11:39.0,Offensive rebound by E. Payton,,41-46,,
11:32.0,Turnover by V. Oladipo (lost ball),,41-46,,
11:20.0,,,41-48,2,C. Kaman makes 2-pt shot from 13 ft (assist by D. Lillard)
11:09.0,N. Vucevic makes 2-pt shot from 18 ft (assist by E. Payton),2,43-48,,
10:54.0,,,43-48,,Turnover by C. Kaman (lost ball; steal by C. Frye)
10:50.0,V. Oladipo makes 2-pt shot at rim (assist by C. Frye),2,45-48,,
10:31.0,,,45-48,,Turnover by D. Lillard (bad pass; steal by C. Frye)
10:15.0,N. Vucevic misses 2-pt shot at rim,,45-48,,
10:13.0,Offensive rebound by V. Oladipo,,45-48,,
10:12.0,Shooting foul by C. Kaman (drawn by N. Vucevic),,45-48,,
10:12.0,N. Vucevic misses free throw 1 of 2,,45-48,,
10:12.0,Offensive rebound by Team,,45-48,,
10:12.0,,,45-48,,M. Leonard enters the game for C. Kaman
10:12.0,N. Vucevic makes free throw 2 of 2,1,46-48,,
9:59.0,,,46-48,,Turnover by D. Lillard (bad pass; steal by D. Marble)
9:55.0,V. Oladipo makes 2-pt shot from 2 ft (assist by D. Marble),2,48-48,,
9:55.0,,,48-48,,Portland full timeout
9:36.0,,,48-48,,D. Lillard misses 2-pt shot from 17 ft
9:34.0,Defensive rebound by D. Marble,,48-48,,
9:24.0,N. Vucevic makes 2-pt shot from 20 ft (assist by V. Oladipo),2,50-48,,
9:09.0,,,50-48,,Turnover by D. Lillard (bad pass; steal by D. Marble)
9:04.0,E. Payton makes 2-pt shot from 1 ft (assist by D. Marble),2,52-48,,
8:48.0,,,52-51,3,W. Matthews makes 3-pt shot from 24 ft (assist by L. Aldridge)
8:27.0,N. Vucevic misses 2-pt shot from 12 ft,,52-51,,
8:26.0,,,52-51,,Defensive rebound by W. Matthews
8:15.0,,,52-53,2,L. Aldridge makes 2-pt shot from 14 ft
8:07.0,Shooting foul by M. Leonard (drawn by V. Oladipo),,52-53,,
8:07.0,V. Oladipo makes free throw 1 of 2,1,53-53,,
8:07.0,V. Oladipo misses free throw 2 of 2,,53-53,,
8:06.0,,,53-53,,Defensive rebound by D. Lillard
8:01.0,,,53-55,2,W. Matthews makes 2-pt shot from 2 ft (assist by D. Lillard)
7:48.0,N. Vucevic makes 2-pt shot from 8 ft (assist by E. Payton),2,55-55,,
7:34.0,,,55-55,,M. Leonard misses 3-pt shot from 26 ft
7:33.0,Defensive rebound by D. Marble,,55-55,,
7:27.0,,,55-55,,Personal foul by W. Matthews (drawn by E. Payton)
7:19.0,N. Vucevic misses 2-pt shot from 17 ft,,55-55,,
7:18.0,,,55-55,,Defensive rebound by N. Batum
7:08.0,,,55-55,,Turnover by W. Matthews (bad pass; steal by D. Marble)
7:06.0,D. Marble makes 2-pt shot at rim,2,57-55,,
6:51.0,,,57-57,2,L. Aldridge makes 2-pt shot from 7 ft
6:39.0,N. Vucevic makes 2-pt shot from 5 ft (assist by C. Frye),2,59-57,,
6:22.0,,,59-59,2,L. Aldridge makes 2-pt shot from 15 ft
6:07.0,C. Frye misses 3-pt shot from 25 ft,,59-59,,
6:06.0,Offensive rebound by E. Payton,,59-59,,
6:00.0,D. Marble misses 2-pt shot from 5 ft,,59-59,,
5:59.0,,,59-59,,Defensive rebound by L. Aldridge
5:53.0,,,59-62,3,N. Batum makes 3-pt shot from 26 ft
5:46.0,Orlando full timeout,,59-62,,
5:46.0,,,59-62,,S. Blake enters the game for W. Matthews
5:46.0,,,59-62,,C. Kaman enters the game for M. Leonard
5:38.0,V. Oladipo makes 2-pt shot from 1 ft,2,61-62,,
5:17.0,,,61-62,,L. Aldridge misses 2-pt shot from 20 ft
5:16.0,Defensive rebound by V. Oladipo,,61-62,,
5:12.0,E. Payton makes 2-pt shot at rim (assist by V. Oladipo),2,63-62,,
4:55.0,,,63-62,,N. Batum misses 3-pt shot from 28 ft
4:53.0,,,63-62,,Offensive rebound by Team
4:41.0,,,63-62,,N. Batum misses 2-pt shot from 14 ft
4:39.0,Defensive rebound by V. Oladipo,,63-62,,
4:32.0,C. Frye misses 2-pt shot at rim (block by C. Kaman),,63-62,,
4:32.0,,,63-62,,Defensive rebound by Team
4:23.0,,,63-64,2,D. Lillard makes 2-pt shot from 10 ft
4:14.0,E. Payton misses 2-pt shot from 5 ft,,63-64,,
4:13.0,Offensive rebound by N. Vucevic,,63-64,,
4:13.0,N. Vucevic makes 2-pt shot at rim,2,65-64,,
3:59.0,,,65-66,2,N. Batum makes 2-pt shot at rim (assist by L. Aldridge)
3:36.0,N. Vucevic misses 2-pt shot from 7 ft,,65-66,,
3:35.0,,,65-66,,Defensive rebound by L. Aldridge
3:25.0,,,65-66,,L. Aldridge misses 2-pt shot from 19 ft
3:24.0,Defensive rebound by V. Oladipo,,65-66,,
3:13.0,C. Frye makes 3-pt shot from 24 ft (assist by N. Vucevic),3,68-66,,
2:52.0,,,68-66,,C. Kaman misses 2-pt shot from 4 ft
2:51.0,,,68-66,,Offensive rebound by S. Blake
2:42.0,Personal foul by E. Payton (drawn by C. Kaman),,68-66,,
2:42.0,,,68-66,,W. Matthews enters the game for N. Batum
2:31.0,,,68-66,,L. Aldridge misses 2-pt shot from 13 ft
2:29.0,Defensive rebound by E. Payton,,68-66,,
2:20.0,N. Vucevic misses 2-pt shot from 18 ft,,68-66,,
2:19.0,,,68-66,,Defensive rebound by S. Blake
2:07.0,,,68-68,2,L. Aldridge makes 2-pt shot from 2 ft
2:05.0,Orlando full timeout,,68-68,,
2:05.0,,,68-68,,C. McCollum enters the game for D. Lillard
2:05.0,L. Ridnour enters the game for E. Payton,,68-68,,
1:52.0,N. Vucevic makes 2-pt shot from 7 ft (assist by C. Frye),2,70-68,,
1:40.0,Personal foul by D. Marble (drawn by W. Matthews),,70-68,,
1:30.0,,,70-68,,C. McCollum misses 2-pt shot from 1 ft
1:29.0,Defensive rebound by D. Marble,,70-68,,
1:20.0,C. Frye misses 3-pt shot from 24 ft,,70-68,,
1:19.0,,,70-68,,Defensive rebound by W. Matthews
1:09.0,,,70-70,2,C. Kaman makes 2-pt shot from 18 ft (assist by W. Matthews)
0:54.0,L. Ridnour misses 2-pt shot from 18 ft,,70-70,,
0:52.0,Offensive rebound by N. Vucevic,,70-70,,
0:49.0,V. Oladipo misses 3-pt shot from 22 ft,,70-70,,
0:48.0,,,70-70,,Defensive rebound by C. Kaman
0:33.0,,,70-70,,L. Aldridge misses 2-pt shot from 18 ft
0:32.0,,,70-70,,Offensive rebound by C. Kaman
0:17.0,,,70-70,,Shooting foul by N. Vucevic (drawn by L. Aldridge)
0:17.0,,,70-71,1,L. Aldridge makes free throw 1 of 2
0:17.0,,,70-71,,M. Leonard enters the game for C. Kaman
0:17.0,B. Gordon enters the game for D. Marble,,70-71,,
0:17.0,,,70-72,1,L. Aldridge makes free throw 2 of 2
0:04.0,Turnover by V. Oladipo (lost ball),,70-72,,
0:04.0,,,70-72,,D. Lillard enters the game for M. Leonard
0:04.0,E. Payton enters the game for C. Frye,,70-72,,
0:01.0,,,70-72,,L. Aldridge misses 2-pt shot from 21 ft
0:00.0,,,70-72,,Offensive rebound by D. Lillard
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:38.0,,,70-72,,Turnover by C. Kaman (lost ball; steal by K. O'Quinn)
11:31.0,D. Marble makes 2-pt shot from 6 ft,2,72-72,,
11:15.0,,,72-72,,S. Blake misses 3-pt shot from 25 ft
11:14.0,,,72-72,,Offensive rebound by Team
11:14.0,Loose ball foul by L. Ridnour (drawn by W. Matthews),,72-72,,
11:03.0,,,72-75,3,W. Matthews makes 3-pt shot from 25 ft
10:41.0,,,72-75,,Violation by C. McCollum (kicked ball)
10:34.0,K. O'Quinn makes 2-pt shot from 14 ft (assist by L. Ridnour),2,74-75,,
10:18.0,Personal foul by K. O'Quinn (drawn by C. Kaman),,74-75,,
10:12.0,,,74-75,,C. Kaman misses 2-pt shot from 6 ft
10:10.0,Defensive rebound by M. Harkless,,74-75,,
10:02.0,Shooting foul by C. McCollum (drawn by B. Gordon),,74-75,,
10:02.0,B. Gordon makes free throw 1 of 2,1,75-75,,
10:02.0,B. Gordon makes free throw 2 of 2,1,76-75,,
9:45.0,,,76-75,,W. Matthews misses 2-pt shot from 3 ft
9:43.0,,,76-75,,Offensive rebound by C. Kaman
9:43.0,,,76-77,2,C. Kaman makes 2-pt shot from 1 ft
9:22.0,B. Gordon misses 2-pt shot from 13 ft,,76-77,,
9:21.0,,,76-77,,Defensive rebound by W. Matthews
9:12.0,Personal foul by K. O'Quinn (drawn by S. Blake),,76-77,,
9:02.0,,,76-77,,S. Blake misses 3-pt shot from 25 ft
9:01.0,Defensive rebound by B. Gordon,,76-77,,
8:50.0,K. O'Quinn misses 2-pt shot from 17 ft,,76-77,,
8:49.0,,,76-77,,Defensive rebound by W. Matthews
8:45.0,,,76-77,,Turnover by S. Blake (lost ball; steal by D. Marble)
8:40.0,D. Marble makes 2-pt shot at rim (assist by K. O'Quinn),2,78-77,,
8:40.0,,,78-77,,Portland full timeout
8:40.0,,,78-77,,D. Lillard enters the game for W. Matthews
8:40.0,,,78-77,,N. Batum enters the game for C. McCollum
8:23.0,,,78-77,,Turnover by C. Kaman (lost ball; steal by M. Harkless)
8:04.0,B. Gordon misses 2-pt shot from 18 ft,,78-77,,
8:03.0,,,78-77,,Defensive rebound by D. Wright
7:56.0,,,78-77,,Shooting foul by M. Harkless (drawn by D. Wright)
7:56.0,,,78-78,1,D. Wright makes free throw 1 of 2
7:56.0,,,78-78,,L. Aldridge enters the game for C. Kaman
7:56.0,N. Vucevic enters the game for K. O'Quinn,,78-78,,
7:56.0,,,78-79,1,D. Wright makes free throw 2 of 2
7:44.0,N. Vucevic makes 2-pt shot from 8 ft (assist by L. Ridnour),2,80-79,,
7:29.0,E. Payton enters the game for L. Ridnour,,80-79,,
7:19.0,,,80-81,2,N. Batum makes 2-pt shot at rim (assist by L. Aldridge)
6:52.0,Turnover by N. Vucevic (lost ball; steal by L. Aldridge),,80-81,,
6:50.0,Personal foul by D. Marble (drawn by S. Blake),,80-81,,
6:50.0,,,80-81,,S. Blake misses free throw 1 of 2
6:50.0,,,80-81,,Offensive rebound by Team
6:50.0,V. Oladipo enters the game for D. Marble,,80-81,,
6:50.0,,,80-82,1,S. Blake makes free throw 2 of 2
6:37.0,Offensive foul by N. Vucevic,,80-82,,
6:37.0,Turnover by N. Vucevic (offensive foul),,80-82,,
6:19.0,,,80-85,3,D. Lillard makes 3-pt shot from 30 ft (assist by S. Blake)
6:06.0,E. Payton misses 2-pt shot from 7 ft,,80-85,,
6:05.0,,,80-85,,Defensive rebound by L. Aldridge
6:01.0,Orlando full timeout,,80-85,,
5:48.0,,,80-85,,S. Blake misses 2-pt shot from 19 ft
5:47.0,Defensive rebound by E. Payton,,80-85,,
5:46.0,,,80-85,,Personal foul by N. Batum (drawn by E. Payton)
5:46.0,,,80-85,,W. Matthews enters the game for S. Blake
5:25.0,Shooting foul by D. Wright (drawn by V. Oladipo),,80-85,,
5:25.0,V. Oladipo misses free throw 1 of 2,,80-85,,
5:25.0,Offensive rebound by Team,,80-85,,
5:25.0,V. Oladipo makes free throw 2 of 2,1,81-85,,
5:09.0,,,81-85,,Offensive charge foul by L. Aldridge
5:09.0,,,81-85,,Turnover by L. Aldridge (offensive foul)
4:56.0,V. Oladipo misses 2-pt shot from 20 ft,,81-85,,
4:55.0,,,81-85,,Defensive rebound by N. Batum
4:46.0,,,81-85,,Turnover by D. Lillard (lost ball; steal by V. Oladipo)
4:41.0,M. Harkless makes 2-pt shot at rim (assist by V. Oladipo),2,83-85,,
4:25.0,,,83-85,,Turnover by L. Aldridge (traveling)
4:12.0,Shooting foul by L. Aldridge (drawn by N. Vucevic),,83-85,,
4:12.0,N. Vucevic makes free throw 1 of 2,1,84-85,,
4:12.0,N. Vucevic makes free throw 2 of 2,1,85-85,,
3:56.0,,,85-85,,D. Lillard misses 3-pt shot from 26 ft
3:56.0,,,85-85,,Offensive rebound by Team
3:56.0,Loose ball foul by B. Gordon (drawn by W. Matthews),,85-85,,
3:56.0,,,85-86,1,W. Matthews makes free throw 1 of 2
3:56.0,,,85-86,,C. Kaman enters the game for D. Wright
3:56.0,C. Frye enters the game for M. Harkless,,85-86,,
3:56.0,,,85-87,1,W. Matthews makes free throw 2 of 2
3:45.0,Turnover by V. Oladipo (lost ball; steal by W. Matthews),,85-87,,
3:37.0,,,85-87,,Shooting foul by E. Payton (drawn by D. Lillard)
3:37.0,,,85-88,1,D. Lillard makes free throw 1 of 2
3:37.0,,,85-89,1,D. Lillard makes free throw 2 of 2
3:18.0,Turnover by V. Oladipo (lost ball; steal by W. Matthews),,85-89,,
3:14.0,,,85-91,2,W. Matthews makes 2-pt shot at rim (assist by N. Batum)
3:14.0,,,85-91,,Shooting foul by B. Gordon (drawn by W. Matthews)
3:14.0,,,85-91,,W. Matthews misses free throw 1 of 1
3:13.0,Defensive rebound by C. Frye,,85-91,,
2:56.0,Turnover by B. Gordon (traveling),,85-91,,
2:56.0,Official timeout,,85-91,,
