time,New York,pts.away,score,pts.home,Denver
3:22.0,,,21-19,2,T. Lawson makes 2-pt shot from 1 ft
3:11.0,Turnover by A. Bargnani (bad pass),,21-19,,
3:11.0,C. Aldrich enters the game for A. Bargnani,,21-19,,
2:54.0,,,21-21,2,W. Barton makes 2-pt shot from 1 ft (assist by W. Chandler)
2:37.0,Turnover by C. Aldrich (lost ball; steal by J. Hickson),,21-21,,
2:33.0,,,21-21,,W. Barton misses 2-pt shot at rim
2:31.0,,,21-21,,Offensive rebound by J. Hickson
2:31.0,,,21-23,2,J. Hickson makes 2-pt shot at rim
2:24.0,New York full timeout,,21-23,,
2:24.0,,,21-23,,J. Nelson enters the game for T. Lawson
2:12.0,L. Galloway misses 2-pt shot from 18 ft,,21-23,,
2:11.0,,,21-23,,Defensive rebound by J. Hickson
2:05.0,,,21-23,,Turnover by J. Hickson (bad pass; steal by S. Larkin)
1:43.0,S. Larkin makes 2-pt shot from 16 ft (assist by C. Early),2,23-23,,
1:22.0,,,23-25,2,W. Chandler makes 2-pt shot from 3 ft
1:09.0,Turnover by C. Aldrich (traveling),,23-25,,
1:09.0,L. Thomas enters the game for L. Galloway,,23-25,,
1:09.0,,,23-25,,G. Harris enters the game for W. Chandler
0:55.0,,,23-25,,J. Nelson misses 2-pt shot from 22 ft
0:54.0,Defensive rebound by C. Aldrich,,23-25,,
0:32.0,C. Early misses 2-pt shot from 16 ft,,23-25,,
0:31.0,,,23-25,,Defensive rebound by Team
0:10.0,,,23-25,,J. Hickson misses 2-pt shot from 11 ft
0:09.0,Defensive rebound by C. Early,,23-25,,
0:05.0,,,23-25,,Personal take foul by J. Nelson (drawn by S. Larkin)
0:05.0,T. Wear enters the game for C. Aldrich,,23-25,,
0:05.0,,,23-25,,E. Green enters the game for J. Nelson
0:01.0,S. Larkin makes 2-pt shot from 3 ft (assist by L. Amundson),2,25-25,,
0:00.0,,,25-25,,W. Barton misses 3-pt shot from 36 ft
0:00.0,,,25-25,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,,,25-25,,G. Harris misses 2-pt shot from 2 ft
11:45.0,Defensive rebound by L. Amundson,,25-25,,
11:32.0,Turnover by T. Wear (lost ball; steal by D. Arthur),,25-25,,
11:27.0,,,25-27,2,W. Barton makes 2-pt shot from 1 ft (assist by D. Arthur)
11:04.0,L. Thomas misses 2-pt shot from 18 ft,,25-27,,
11:02.0,,,25-27,,Defensive rebound by G. Harris
10:57.0,,,25-29,2,W. Barton makes 2-pt shot from 2 ft
10:57.0,,,25-29,,Shooting foul by L. Amundson (drawn by W. Barton)
10:57.0,,,25-30,1,W. Barton makes free throw 1 of 1
10:35.0,L. Amundson misses 2-pt shot from 6 ft,,25-30,,
10:34.0,,,25-30,,Defensive rebound by D. Arthur
10:24.0,,,25-30,,J. Hickson misses 2-pt shot from 6 ft
10:23.0,Defensive rebound by T. Wear,,25-30,,
10:14.0,C. Early makes 3-pt shot from 24 ft (assist by S. Larkin),3,28-30,,
10:06.0,,,28-30,,W. Barton misses 3-pt shot from 25 ft
10:05.0,Defensive rebound by L. Amundson,,28-30,,
9:51.0,T. Wear misses 3-pt shot from 24 ft,,28-30,,
9:50.0,,,28-30,,Defensive rebound by W. Barton
9:42.0,,,28-30,,D. Arthur misses 2-pt shot from 15 ft
9:40.0,Defensive rebound by L. Thomas,,28-30,,
9:27.0,S. Larkin misses 2-pt shot from 20 ft,,28-30,,
9:26.0,Offensive rebound by L. Amundson,,28-30,,
9:24.0,L. Amundson misses 2-pt shot from 7 ft,,28-30,,
9:23.0,Offensive rebound by L. Amundson,,28-30,,
9:05.0,Shooting foul by D. Arthur (drawn by T. Wear),,28-30,,
9:05.0,T. Wear misses free throw 1 of 2,,28-30,,
9:05.0,Offensive rebound by Team,,28-30,,
9:05.0,,,28-30,,D. Gallinari enters the game for J. Hickson
9:05.0,A. Bargnani enters the game for L. Amundson,,28-30,,
9:05.0,T. Wear makes free throw 2 of 2,1,29-30,,
8:47.0,,,29-33,3,D. Gallinari makes 3-pt shot from 24 ft
8:46.0,,,29-33,,Personal foul by J. Nelson (drawn by S. Larkin)
8:46.0,Official timeout,,29-33,,
8:46.0,,,29-33,,K. Faried enters the game for D. Arthur
8:46.0,L. Galloway enters the game for T. Wear,,29-33,,
8:38.0,Turnover by C. Early (bad pass; steal by W. Barton),,29-33,,
8:33.0,,,29-33,,W. Barton misses 2-pt shot from 2 ft (block by C. Early)
8:31.0,Defensive rebound by S. Larkin,,29-33,,
8:21.0,Shooting foul by K. Faried (drawn by L. Thomas),,29-33,,
8:21.0,L. Thomas makes free throw 1 of 2,1,30-33,,
8:21.0,L. Thomas makes free throw 2 of 2,1,31-33,,
8:06.0,,,31-33,,D. Gallinari misses 3-pt shot from 25 ft
8:05.0,,,31-33,,Offensive rebound by J. Nelson
8:01.0,,,31-33,,G. Harris misses 3-pt shot from 24 ft
8:00.0,Defensive rebound by L. Galloway,,31-33,,
7:52.0,Offensive foul by L. Thomas,,31-33,,
7:52.0,Turnover by L. Thomas (offensive foul),,31-33,,
7:52.0,,,31-33,,R. Foye enters the game for W. Barton
7:52.0,A. Shved enters the game for S. Larkin,,31-33,,
7:40.0,Personal foul by C. Early (drawn by G. Harris),,31-33,,
7:40.0,T. Wear enters the game for L. Thomas,,31-33,,
7:33.0,,,31-33,,J. Nelson misses 2-pt shot from 2 ft (block by L. Galloway)
7:31.0,,,31-33,,Offensive rebound by J. Nelson
7:26.0,,,31-36,3,D. Gallinari makes 3-pt shot from 27 ft (assist by J. Nelson)
7:09.0,A. Bargnani misses 2-pt shot from 1 ft,,31-36,,
7:08.0,,,31-36,,Defensive rebound by K. Faried
6:58.0,,,31-38,2,K. Faried makes 2-pt shot at rim (assist by R. Foye)
6:39.0,A. Bargnani misses 2-pt shot from 18 ft,,31-38,,
6:38.0,,,31-38,,Defensive rebound by R. Foye
6:26.0,,,31-38,,Shooting foul by A. Bargnani (drawn by K. Faried)
6:26.0,,,31-39,1,K. Faried makes free throw 1 of 2
6:26.0,,,31-39,,E. Green enters the game for J. Nelson
6:26.0,,,31-39,,K. Faried misses free throw 2 of 2
6:23.0,Defensive rebound by T. Wear,,31-39,,
6:08.0,,,31-39,,Personal foul by R. Foye (drawn by T. Wear)
6:08.0,,,31-39,,W. Chandler enters the game for D. Gallinari
5:54.0,A. Shved misses 2-pt shot at rim,,31-39,,
5:53.0,,,31-39,,Defensive rebound by W. Chandler
5:48.0,,,31-39,,E. Green misses 2-pt shot from 19 ft
5:46.0,,,31-39,,Offensive rebound by K. Faried
5:40.0,,,31-39,,G. Harris misses 3-pt shot from 24 ft
5:39.0,Defensive rebound by A. Bargnani,,31-39,,
5:35.0,L. Galloway makes 2-pt shot from 1 ft,2,33-39,,
5:35.0,Shooting foul by W. Chandler (drawn by L. Galloway),,33-39,,
5:35.0,,,33-39,,Denver full timeout
5:35.0,L. Galloway misses free throw 1 of 1,,33-39,,
5:34.0,,,33-39,,Defensive rebound by K. Faried
5:24.0,,,33-39,,R. Foye misses 3-pt shot from 24 ft
5:23.0,Defensive rebound by T. Wear,,33-39,,
5:16.0,Shooting foul by E. Green (drawn by A. Bargnani),,33-39,,
5:16.0,A. Bargnani makes free throw 1 of 2,1,34-39,,
5:16.0,A. Bargnani makes free throw 2 of 2,1,35-39,,
5:05.0,,,35-39,,K. Faried misses 2-pt shot from 2 ft
5:03.0,Defensive rebound by A. Bargnani,,35-39,,
4:46.0,L. Galloway makes 2-pt shot from 2 ft,2,37-39,,
4:24.0,,,37-41,2,K. Faried makes 2-pt shot at rim (assist by R. Foye)
4:05.0,A. Bargnani misses 2-pt shot from 14 ft,,37-41,,
4:04.0,,,37-41,,Defensive rebound by W. Chandler
3:51.0,,,37-43,2,R. Foye makes 2-pt shot from 18 ft
3:32.0,T. Wear misses 2-pt shot from 18 ft,,37-43,,
3:31.0,,,37-43,,Defensive rebound by W. Chandler
3:23.0,,,37-43,,W. Chandler misses 2-pt shot from 6 ft
3:22.0,Defensive rebound by C. Early,,37-43,,
3:13.0,A. Bargnani makes 3-pt shot from 25 ft (assist by C. Early),3,40-43,,
2:57.0,Personal foul by L. Galloway (drawn by R. Foye),,40-43,,
2:57.0,New York full timeout,,40-43,,
2:57.0,,,40-43,,J. Lauvergne enters the game for G. Harris
2:57.0,,,40-43,,T. Lawson enters the game for E. Green
2:57.0,J. Smith enters the game for A. Shved,,40-43,,
2:57.0,S. Larkin enters the game for C. Early,,40-43,,
2:57.0,L. Thomas enters the game for T. Wear,,40-43,,
2:42.0,,,40-43,,R. Foye misses 2-pt shot from 5 ft
2:41.0,,,40-43,,Offensive rebound by Team
2:41.0,,,40-43,,W. Barton enters the game for W. Chandler
2:31.0,,,40-43,,R. Foye misses 2-pt shot from 9 ft
2:30.0,,,40-43,,Offensive rebound by K. Faried
2:27.0,,,40-43,,K. Faried misses 2-pt shot from 3 ft
2:26.0,Defensive rebound by L. Thomas,,40-43,,
2:17.0,Turnover by L. Galloway (bad pass; steal by K. Faried),,40-43,,
2:12.0,,,40-45,2,W. Barton makes 2-pt shot at rim (assist by K. Faried)
1:53.0,Turnover by S. Larkin (bad pass; steal by J. Lauvergne),,40-45,,
1:41.0,,,40-47,2,J. Lauvergne makes 2-pt shot from 1 ft (assist by W. Barton)
1:21.0,J. Smith misses 2-pt shot from 16 ft,,40-47,,
1:20.0,,,40-47,,Defensive rebound by W. Barton
1:06.0,,,40-49,2,K. Faried makes 2-pt shot from 7 ft
0:59.0,New York full timeout,,40-49,,
0:59.0,,,40-49,,D. Arthur enters the game for K. Faried
0:53.0,Turnover by J. Smith (bad pass),,40-49,,
0:29.0,,,40-49,,T. Lawson misses 2-pt shot from 1 ft
0:28.0,,,40-49,,Offensive rebound by J. Lauvergne
0:27.0,,,40-51,2,J. Lauvergne makes 2-pt shot from 1 ft
0:08.0,Turnover by S. Larkin (step out of bounds),,40-51,,
0:08.0,,,40-51,,Denver full timeout
0:08.0,C. Early enters the game for J. Smith,,40-51,,
0:08.0,L. Amundson enters the game for A. Bargnani,,40-51,,
0:08.0,T. Wear enters the game for L. Galloway,,40-51,,
0:02.0,,,40-53,2,J. Lauvergne makes 2-pt shot from 3 ft (assist by T. Lawson)
0:02.0,,,40-53,,Shooting foul by L. Amundson (drawn by J. Lauvergne)
0:02.0,,,40-53,,E. Green enters the game for T. Lawson
0:02.0,A. Bargnani enters the game for L. Amundson,,40-53,,
0:02.0,,,40-53,,J. Lauvergne misses free throw 1 of 1
0:00.0,,,40-53,,Offensive rebound by D. Arthur
0:00.0,,,40-55,2,D. Arthur makes 2-pt shot from 1 ft
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,,,40-55,,K. Faried misses 2-pt shot from 1 ft (block by J. Smith)
11:42.0,,,40-55,,Offensive rebound by W. Chandler
11:42.0,,,40-55,,Shooting foul by A. Bargnani (drawn by W. Chandler)
11:42.0,,,40-56,1,W. Chandler makes free throw 1 of 2
11:42.0,,,40-57,1,W. Chandler makes free throw 2 of 2
11:19.0,L. Thomas misses 2-pt shot from 20 ft,,40-57,,
11:17.0,,,40-57,,Defensive rebound by D. Gallinari
11:09.0,,,40-57,,T. Lawson misses 2-pt shot from 15 ft
11:08.0,Defensive rebound by L. Thomas,,40-57,,
10:55.0,J. Smith makes 2-pt shot from 18 ft (assist by L. Thomas),2,42-57,,
10:32.0,,,42-59,2,K. Faried makes 2-pt shot at rim (assist by T. Lawson)
10:21.0,A. Shved makes 3-pt shot from 26 ft (assist by L. Thomas),3,45-59,,
10:14.0,Personal foul by L. Galloway (drawn by T. Lawson),,45-59,,
10:08.0,,,45-62,3,W. Chandler makes 3-pt shot from 26 ft (assist by T. Lawson)
9:50.0,L. Thomas misses 2-pt shot from 5 ft,,45-62,,
9:48.0,,,45-62,,Defensive rebound by K. Faried
9:42.0,,,45-65,3,T. Lawson makes 3-pt shot from 25 ft (assist by W. Chandler)
9:42.0,New York full timeout,,45-65,,
9:42.0,L. Amundson enters the game for L. Thomas,,45-65,,
9:42.0,C. Early enters the game for J. Smith,,45-65,,
9:20.0,A. Bargnani misses 2-pt shot from 19 ft,,45-65,,
9:18.0,,,45-65,,Defensive rebound by W. Chandler
9:05.0,,,45-65,,D. Gallinari misses 3-pt shot from 25 ft
9:02.0,Defensive rebound by L. Galloway,,45-65,,
8:52.0,A. Shved makes 2-pt shot from 2 ft,2,47-65,,
8:36.0,,,47-67,2,K. Faried makes 2-pt shot from 1 ft (assist by T. Lawson)
8:36.0,New York full timeout,,47-67,,
8:36.0,J. Smith enters the game for A. Bargnani,,47-67,,
8:29.0,L. Galloway makes 2-pt shot from 1 ft (assist by J. Smith),2,49-67,,
8:08.0,,,49-69,2,W. Chandler makes 2-pt shot from 7 ft
7:55.0,,,49-69,,Shooting block foul by R. Foye (drawn by A. Shved)
7:55.0,A. Shved makes free throw 1 of 2,1,50-69,,
7:55.0,S. Larkin enters the game for L. Galloway,,50-69,,
7:55.0,A. Shved misses free throw 2 of 2,,50-69,,
7:53.0,,,50-69,,Defensive rebound by K. Faried
7:37.0,,,50-69,,D. Gallinari misses 2-pt shot from 6 ft (block by L. Amundson)
7:36.0,,,50-69,,Offensive rebound by Team
7:32.0,,,50-69,,R. Foye misses 2-pt shot from 17 ft
7:31.0,Defensive rebound by S. Larkin,,50-69,,
7:21.0,S. Larkin misses 2-pt shot from 19 ft,,50-69,,
7:20.0,,,50-69,,Defensive rebound by Team
7:13.0,,,50-69,,Shooting foul by S. Larkin (drawn by T. Lawson)
7:13.0,,,50-70,1,T. Lawson makes free throw 1 of 2
7:13.0,,,50-71,1,T. Lawson makes free throw 2 of 2
6:53.0,C. Early misses 3-pt shot from 24 ft,,50-71,,
6:52.0,,,50-71,,Defensive rebound by R. Foye
6:47.0,,,50-74,3,W. Chandler makes 3-pt shot from 25 ft (assist by R. Foye)
6:47.0,Away from play foul by L. Amundson,,50-74,,
6:47.0,,,50-75,1,K. Faried makes free throw 1 of 1
6:29.0,Shooting foul by K. Faried (drawn by A. Shved),,50-75,,
6:29.0,A. Shved makes free throw 1 of 2,1,51-75,,
6:29.0,A. Shved makes free throw 2 of 2,1,52-75,,
6:14.0,,,52-75,,R. Foye misses 3-pt shot from 25 ft
6:13.0,Defensive rebound by C. Early,,52-75,,
6:06.0,,,52-75,,Personal foul by T. Lawson (drawn by L. Amundson)
5:55.0,Shooting foul by K. Faried (drawn by L. Amundson),,52-75,,
5:55.0,L. Amundson misses free throw 1 of 2,,52-75,,
5:55.0,Offensive rebound by Team,,52-75,,
5:55.0,Turnover by J. Smith (lane violation.),,52-75,,
5:42.0,,,52-77,2,K. Faried makes 2-pt shot at rim (assist by T. Lawson)
5:21.0,A. Shved misses 3-pt shot from 23 ft,,52-77,,
5:20.0,,,52-77,,Defensive rebound by R. Foye
4:58.0,,,52-77,,R. Foye misses 3-pt shot from 26 ft
4:57.0,,,52-77,,Offensive rebound by K. Faried
4:52.0,,,52-77,,K. Faried misses 2-pt shot from 4 ft (block by L. Amundson)
4:50.0,Defensive rebound by J. Smith,,52-77,,
4:44.0,J. Smith makes 2-pt shot from 1 ft,2,54-77,,
4:25.0,,,54-77,,T. Lawson misses 2-pt shot from 20 ft
4:22.0,Defensive rebound by C. Early,,54-77,,
4:12.0,A. Shved makes 3-pt shot from 25 ft (assist by C. Early),3,57-77,,
3:50.0,,,57-77,,W. Chandler misses 2-pt shot from 6 ft
3:50.0,,,57-77,,Offensive rebound by Team
3:50.0,,,57-77,,J. Hickson enters the game for K. Faried
3:50.0,A. Bargnani enters the game for J. Smith,,57-77,,
3:50.0,L. Thomas enters the game for S. Larkin,,57-77,,
3:50.0,T. Wear enters the game for L. Amundson,,57-77,,
3:50.0,L. Galloway enters the game for C. Early,,57-77,,
3:40.0,,,57-77,,W. Chandler misses 3-pt shot from 23 ft
3:38.0,Defensive rebound by A. Shved,,57-77,,
3:30.0,L. Thomas misses 2-pt shot from 2 ft (block by W. Chandler),,57-77,,
3:28.0,Offensive rebound by L. Thomas,,57-77,,
3:22.0,A. Bargnani misses 2-pt shot from 2 ft,,57-77,,
3:21.0,Offensive rebound by A. Bargnani,,57-77,,
3:20.0,A. Bargnani makes 2-pt shot from 1 ft,2,59-77,,
3:11.0,,,59-77,,Shooting foul by L. Galloway (drawn by T. Lawson)
3:11.0,,,59-78,1,T. Lawson makes free throw 1 of 2
3:11.0,,,59-78,,W. Barton enters the game for W. Chandler
3:11.0,S. Larkin enters the game for L. Galloway,,59-78,,
3:11.0,,,59-79,1,T. Lawson makes free throw 2 of 2
2:52.0,S. Larkin misses 3-pt shot from 24 ft,,59-79,,
2:51.0,,,59-79,,Defensive rebound by J. Hickson
2:35.0,,,59-82,3,D. Gallinari makes 3-pt shot from 24 ft (assist by W. Barton)
2:15.0,A. Bargnani misses 2-pt shot from 16 ft,,59-82,,
2:11.0,,,59-82,,Defensive rebound by W. Barton
1:53.0,,,59-82,,J. Hickson misses 2-pt shot from 5 ft
1:52.0,Defensive rebound by T. Wear,,59-82,,
1:38.0,A. Shved misses 3-pt shot from 25 ft,,59-82,,
1:37.0,,,59-82,,Defensive rebound by J. Hickson
1:24.0,,,59-85,3,R. Foye makes 3-pt shot from 26 ft (assist by T. Lawson)
1:10.0,Turnover by T. Wear (bad pass),,59-85,,
1:10.0,,,59-85,,Denver full timeout
1:10.0,C. Aldrich enters the game for A. Bargnani,,59-85,,
1:10.0,L. Galloway enters the game for A. Shved,,59-85,,
0:49.0,,,59-87,2,W. Barton makes 2-pt shot from 8 ft
0:26.0,L. Thomas misses 2-pt shot from 8 ft,,59-87,,
0:25.0,,,59-87,,Defensive rebound by D. Gallinari
0:16.0,,,59-89,2,J. Hickson makes 2-pt shot at rim (assist by D. Gallinari)
0:05.0,T. Wear misses 2-pt shot from 11 ft,,59-89,,
0:03.0,,,59-89,,Defensive rebound by T. Lawson
0:00.0,,,59-89,,Shooting foul by S. Larkin (drawn by T. Lawson)
0:00.0,,,59-90,1,T. Lawson makes free throw 1 of 3
0:00.0,,,59-90,,T. Lawson misses free throw 2 of 3
0:00.0,,,59-90,,Offensive rebound by Team
0:00.0,,,59-91,1,T. Lawson makes free throw 3 of 3
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,Turnover by L. Galloway (bad pass; steal by J. Hickson),,59-91,,
11:34.0,,,59-91,,Turnover by G. Harris (traveling)
11:12.0,L. Galloway makes 2-pt shot from 1 ft (assist by C. Aldrich),2,61-91,,
10:47.0,,,61-93,2,W. Barton makes 2-pt shot from 10 ft (assist by J. Hickson)
10:36.0,Offensive foul by C. Early,,61-93,,
10:36.0,Turnover by C. Early (offensive foul),,61-93,,
10:21.0,,,61-93,,J. Lauvergne misses 2-pt shot from 1 ft (block by C. Aldrich)
10:19.0,Defensive rebound by C. Early,,61-93,,
10:04.0,L. Galloway makes 2-pt shot from 4 ft (assist by T. Wear),2,63-93,,
9:55.0,,,63-93,,J. Lauvergne misses 2-pt shot from 2 ft (block by C. Aldrich)
9:54.0,,,63-93,,Offensive rebound by Team
9:43.0,,,63-95,2,E. Green makes 2-pt shot from 14 ft
9:29.0,S. Larkin makes 2-pt shot from 4 ft (assist by L. Galloway),2,65-95,,
9:12.0,,,65-95,,E. Green misses 3-pt shot from 25 ft
9:10.0,Defensive rebound by C. Aldrich,,65-95,,
8:52.0,C. Early misses 2-pt shot from 19 ft,,65-95,,
8:50.0,,,65-95,,Defensive rebound by E. Green
8:29.0,,,65-95,,J. Lauvergne misses 2-pt shot from 3 ft (block by S. Larkin)
8:26.0,,,65-95,,Offensive rebound by E. Green
8:09.0,,,65-95,,J. Lauvergne misses 3-pt shot from 24 ft
8:08.0,Defensive rebound by C. Aldrich,,65-95,,
7:46.0,T. Wear misses 2-pt shot from 22 ft,,65-95,,
7:45.0,Offensive rebound by Team,,65-95,,
7:45.0,Official timeout,,65-95,,
7:45.0,,,65-95,,K. Faried enters the game for J. Hickson
7:41.0,L. Galloway makes 2-pt shot from 19 ft (assist by C. Early),2,67-95,,
7:27.0,,,67-97,2,G. Harris makes 2-pt shot at rim
7:04.0,C. Aldrich misses 2-pt shot from 1 ft,,67-97,,
7:03.0,,,67-97,,Defensive rebound by G. Harris
6:44.0,,,67-99,2,K. Faried makes 2-pt shot from 14 ft
6:22.0,T. Wear misses 2-pt shot from 19 ft,,67-99,,
6:21.0,,,67-99,,Defensive rebound by E. Green
6:17.0,,,67-101,2,J. Lauvergne makes 2-pt shot at rim (assist by E. Green)
6:17.0,New York full timeout,,67-101,,
6:17.0,A. Shved enters the game for L. Galloway,,67-101,,
6:17.0,L. Thomas enters the game for T. Wear,,67-101,,
5:52.0,S. Larkin makes 2-pt shot from 11 ft (assist by C. Early),2,69-101,,
5:34.0,,,69-101,,Shooting foul by A. Shved (drawn by W. Barton)
5:34.0,,,69-102,1,W. Barton makes free throw 1 of 2
5:34.0,,,69-103,1,W. Barton makes free throw 2 of 2
5:14.0,A. Shved misses 2-pt shot from 16 ft,,69-103,,
5:13.0,,,69-103,,Defensive rebound by J. Lauvergne
4:51.0,,,69-103,,J. Lauvergne misses 2-pt shot from 4 ft (block by C. Aldrich)
4:50.0,,,69-103,,Offensive rebound by K. Faried
4:49.0,,,69-103,,Turnover by Team (shot clock)
4:32.0,,,69-103,,Personal foul by G. Harris (drawn by A. Shved)
4:32.0,A. Shved misses free throw 1 of 2,,69-103,,
4:32.0,Offensive rebound by Team,,69-103,,
4:32.0,J. Smith enters the game for L. Thomas,,69-103,,
4:32.0,A. Shved makes free throw 2 of 2,1,70-103,,
