time,Utah,pts.away,score,pts.home,Charlotte
4:22.0,,,32-44,,Offensive rebound by C. Zeller
4:11.0,,,32-44,,A. Jefferson misses 2-pt shot from 8 ft
4:10.0,,,32-44,,Offensive rebound by Team
4:10.0,Loose ball foul by E. Kanter (drawn by C. Zeller),,32-44,,
4:10.0,D. Favors enters the game for E. Kanter,,32-44,,
4:04.0,,,32-44,,C. Zeller misses 2-pt shot from 16 ft
4:03.0,Defensive rebound by A. Burks,,32-44,,
3:49.0,D. Favors makes 2-pt shot from 1 ft,2,34-44,,
3:24.0,,,34-46,2,G. Henderson makes 2-pt shot from 10 ft
3:08.0,R. Gobert makes 2-pt shot at rim (assist by A. Burks),2,36-46,,
2:54.0,,,36-46,,K. Walker misses 3-pt shot from 25 ft
2:53.0,Defensive rebound by A. Burks,,36-46,,
2:34.0,T. Burke misses 2-pt shot from 13 ft,,36-46,,
2:33.0,Offensive rebound by R. Gobert,,36-46,,
2:33.0,R. Gobert makes 2-pt shot from 1 ft,2,38-46,,
2:33.0,,,38-46,,Charlotte full timeout
2:33.0,Utah full timeout,,38-46,,
2:33.0,,,38-46,,M. Williams enters the game for C. Zeller
2:08.0,,,38-48,2,A. Jefferson makes 2-pt shot from 12 ft (assist by G. Henderson)
2:00.0,Shooting foul by A. Jefferson (drawn by R. Gobert),,38-48,,
2:00.0,R. Gobert misses free throw 1 of 2,,38-48,,
2:00.0,Offensive rebound by Team,,38-48,,
2:00.0,R. Gobert makes free throw 2 of 2,1,39-48,,
1:48.0,,,39-48,,M. Williams misses 3-pt shot from 25 ft
1:47.0,Defensive rebound by R. Gobert,,39-48,,
1:24.0,T. Burke misses 2-pt shot from 12 ft,,39-48,,
1:23.0,,,39-48,,Defensive rebound by M. Williams
1:11.0,,,39-48,,M. Williams misses 3-pt shot from 25 ft
1:10.0,Defensive rebound by R. Gobert,,39-48,,
0:58.0,G. Hayward misses 3-pt shot from 23 ft,,39-48,,
0:56.0,,,39-48,,Defensive rebound by G. Henderson
0:41.0,,,39-50,2,A. Jefferson makes 2-pt shot from 5 ft
0:27.0,T. Burke misses 2-pt shot from 19 ft,,39-50,,
0:26.0,,,39-50,,Defensive rebound by A. Jefferson
0:06.0,,,39-52,2,A. Jefferson makes 2-pt shot from 11 ft (assist by K. Walker)
0:00.0,T. Burke misses 3-pt shot from 33 ft,,39-52,,
0:00.0,Offensive rebound by Team,,39-52,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,,,39-52,,M. Kidd-Gilchrist misses 2-pt shot at rim (block by D. Favors)
11:46.0,Defensive rebound by T. Burke,,39-52,,
11:29.0,E. Kanter misses 2-pt shot from 17 ft,,39-52,,
11:28.0,,,39-52,,Defensive rebound by K. Walker
11:20.0,,,39-54,2,K. Walker makes 2-pt shot at rim (assist by A. Jefferson)
11:02.0,G. Hayward makes 2-pt shot from 16 ft (assist by D. Favors),2,41-54,,
10:45.0,,,41-54,,Shooting foul by E. Kanter (drawn by M. Kidd-Gilchrist)
10:45.0,,,41-54,,M. Kidd-Gilchrist misses free throw 1 of 2
10:45.0,,,41-54,,Offensive rebound by Team
10:45.0,,,41-55,1,M. Kidd-Gilchrist makes free throw 2 of 2
10:31.0,T. Burke misses 3-pt shot from 26 ft,,41-55,,
10:29.0,Offensive rebound by E. Kanter,,41-55,,
10:29.0,E. Kanter makes 2-pt shot at rim,2,43-55,,
10:09.0,,,43-55,,A. Jefferson misses 2-pt shot from 18 ft
10:07.0,,,43-55,,Offensive rebound by C. Zeller
9:59.0,,,43-57,2,G. Henderson makes 2-pt shot from 14 ft
9:45.0,D. Favors makes 2-pt shot from 1 ft,2,45-57,,
9:31.0,,,45-59,2,A. Jefferson makes 2-pt shot from 15 ft (assist by K. Walker)
9:18.0,,,45-59,,Personal foul by G. Henderson (drawn by A. Burks)
9:18.0,D. Exum enters the game for T. Burke,,45-59,,
9:18.0,R. Gobert enters the game for E. Kanter,,45-59,,
9:12.0,Turnover by D. Exum (lost ball; steal by K. Walker),,45-59,,
9:06.0,,,45-59,,K. Walker misses 2-pt shot from 1 ft
9:04.0,,,45-59,,Offensive rebound by M. Kidd-Gilchrist
9:00.0,,,45-59,,G. Henderson misses 3-pt shot from 25 ft
8:59.0,,,45-59,,Offensive rebound by C. Zeller
8:42.0,,,45-59,,K. Walker misses 3-pt shot from 25 ft
8:40.0,,,45-59,,Offensive rebound by M. Kidd-Gilchrist
8:32.0,,,45-59,,Shooting foul by R. Gobert (drawn by A. Jefferson)
8:32.0,,,45-59,,A. Jefferson misses free throw 1 of 2
8:32.0,,,45-59,,Offensive rebound by Team
8:32.0,,,45-60,1,A. Jefferson makes free throw 2 of 2
8:10.0,A. Burks misses 2-pt shot from 7 ft,,45-60,,
8:09.0,,,45-60,,Defensive rebound by M. Kidd-Gilchrist
7:58.0,,,45-62,2,G. Henderson makes 2-pt shot from 7 ft (assist by M. Kidd-Gilchrist)
7:47.0,D. Exum misses 3-pt shot from 25 ft,,45-62,,
7:46.0,,,45-62,,Defensive rebound by A. Jefferson
7:36.0,,,45-62,,C. Zeller misses 2-pt shot from 19 ft
7:34.0,Defensive rebound by A. Burks,,45-62,,
7:30.0,Shooting foul by G. Henderson (drawn by A. Burks),,45-62,,
7:30.0,A. Burks makes free throw 1 of 2,1,46-62,,
7:30.0,R. Hood enters the game for D. Exum,,46-62,,
7:30.0,A. Burks makes free throw 2 of 2,1,47-62,,
7:25.0,Personal take foul by A. Burks (drawn by K. Walker),,47-62,,
7:25.0,T. Burke enters the game for A. Burks,,47-62,,
7:14.0,,,47-62,,Shooting foul by G. Hayward (drawn by M. Kidd-Gilchrist)
7:14.0,,,47-63,1,M. Kidd-Gilchrist makes free throw 1 of 2
7:14.0,,,47-64,1,M. Kidd-Gilchrist makes free throw 2 of 2
7:01.0,R. Hood misses 3-pt shot from 27 ft,,47-64,,
7:00.0,,,47-64,,Defensive rebound by M. Kidd-Gilchrist
6:46.0,,,47-66,2,K. Walker makes 2-pt shot from 1 ft
6:32.0,T. Burke misses 2-pt shot from 7 ft,,47-66,,
6:30.0,,,47-66,,Defensive rebound by A. Jefferson
6:13.0,,,47-68,2,A. Jefferson makes 2-pt shot from 8 ft
6:13.0,Utah full timeout,,47-68,,
6:13.0,,,47-68,,G. Neal enters the game for M. Kidd-Gilchrist
6:13.0,T. Booker enters the game for D. Favors,,47-68,,
6:02.0,G. Hayward misses 2-pt shot from 21 ft,,47-68,,
6:01.0,,,47-68,,Defensive rebound by A. Jefferson
5:45.0,,,47-68,,Shooting foul by R. Hood (drawn by C. Zeller)
5:45.0,,,47-68,,C. Zeller misses free throw 1 of 2
5:45.0,,,47-68,,Offensive rebound by Team
5:45.0,,,47-69,1,C. Zeller makes free throw 2 of 2
5:31.0,R. Gobert makes 2-pt shot at rim (assist by G. Hayward),2,49-69,,
5:03.0,,,49-71,2,G. Henderson makes 2-pt shot from 13 ft
4:45.0,R. Hood misses 2-pt shot from 16 ft,,49-71,,
4:43.0,,,49-71,,Defensive rebound by A. Jefferson
4:29.0,,,49-71,,Shooting foul by R. Gobert (drawn by A. Jefferson)
4:29.0,,,49-72,1,A. Jefferson makes free throw 1 of 2
4:29.0,,,49-72,,M. Williams enters the game for C. Zeller
4:29.0,,,49-73,1,A. Jefferson makes free throw 2 of 2
4:18.0,T. Burke makes 2-pt shot from 17 ft,2,51-73,,
4:03.0,,,51-75,2,K. Walker makes 2-pt shot from 9 ft
3:50.0,T. Burke makes 2-pt shot from 4 ft,2,53-75,,
3:18.0,,,53-75,,G. Neal misses 2-pt shot from 2 ft
3:17.0,,,53-75,,Offensive rebound by M. Williams
3:17.0,,,53-75,,M. Williams misses 2-pt shot from 1 ft
3:16.0,Defensive rebound by R. Gobert,,53-75,,
3:09.0,R. Hood makes 2-pt shot at rim (assist by G. Hayward),2,55-75,,
2:44.0,,,55-77,2,G. Henderson makes 2-pt shot from 2 ft
2:26.0,G. Hayward makes 3-pt shot from 23 ft (assist by T. Burke),3,58-77,,
2:17.0,,,58-77,,Charlotte full timeout
2:17.0,E. Kanter enters the game for T. Burke,,58-77,,
2:17.0,D. Exum enters the game for R. Gobert,,58-77,,
2:17.0,,,58-77,,M. Kidd-Gilchrist enters the game for A. Jefferson
2:17.0,,,58-77,,B. Biyombo enters the game for G. Henderson
2:17.0,,,58-77,,B. Roberts enters the game for K. Walker
2:07.0,,,58-80,3,G. Neal makes 3-pt shot from 26 ft
1:51.0,G. Hayward makes 2-pt shot from 19 ft (assist by D. Exum),2,60-80,,
1:35.0,,,60-82,2,B. Roberts makes 2-pt shot from 15 ft
1:16.0,D. Exum makes 3-pt shot from 26 ft (assist by G. Hayward),3,63-82,,
0:52.0,,,63-84,2,G. Neal makes 2-pt shot from 2 ft (assist by B. Roberts)
0:41.0,E. Kanter misses 2-pt shot from 17 ft,,63-84,,
0:40.0,,,63-84,,Defensive rebound by M. Kidd-Gilchrist
0:20.0,,,63-84,,G. Neal misses 2-pt shot from 18 ft
0:18.0,Defensive rebound by G. Hayward,,63-84,,
0:02.0,Jump ball: G. Hayward vs. M. Kidd-Gilchrist (B. Biyombo gains possession),,,,Jump ball: G. Hayward vs. M. Kidd-Gilchrist (B. Biyombo gains possession)
0:02.0,Turnover by G. Hayward (lost ball; steal by M. Kidd-Gilchrist),,63-84,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,J. Ingles misses 3-pt shot from 24 ft,,63-84,,
11:45.0,,,63-84,,Defensive rebound by B. Roberts
11:26.0,,,63-84,,Turnover by G. Neal (bad pass; steal by T. Booker)
11:10.0,,,63-84,,Personal foul by M. Kidd-Gilchrist (drawn by T. Booker)
10:58.0,A. Burks misses 2-pt shot from 5 ft (block by M. Kidd-Gilchrist),,63-84,,
10:54.0,,,63-84,,Defensive rebound by M. Kidd-Gilchrist
10:48.0,,,63-84,,G. Neal misses 3-pt shot from 25 ft
10:46.0,Defensive rebound by E. Kanter,,63-84,,
10:31.0,Turnover by E. Kanter (bad pass; steal by G. Neal),,63-84,,
10:21.0,,,63-86,2,M. Kidd-Gilchrist makes 2-pt shot from 16 ft
10:03.0,A. Burks makes 2-pt shot from 20 ft (assist by T. Booker),2,65-86,,
9:39.0,,,65-86,,G. Neal misses 2-pt shot from 1 ft
9:37.0,Defensive rebound by J. Ingles,,65-86,,
9:31.0,D. Exum makes 3-pt shot from 23 ft (assist by J. Ingles),3,68-86,,
9:12.0,,,68-86,,M. Kidd-Gilchrist misses 2-pt shot from 4 ft (block by J. Ingles)
9:12.0,,,68-86,,Offensive rebound by Team
9:12.0,S. Novak enters the game for T. Booker,,68-86,,
9:05.0,,,68-86,,G. Neal misses 2-pt shot from 11 ft
9:02.0,Defensive rebound by E. Kanter,,68-86,,
9:00.0,J. Ingles makes 3-pt shot from 23 ft (assist by E. Kanter),3,71-86,,
8:53.0,,,71-86,,Charlotte full timeout
8:53.0,,,71-86,,A. Jefferson enters the game for M. Kidd-Gilchrist
8:53.0,,,71-86,,G. Henderson enters the game for B. Biyombo
8:39.0,,,71-86,,B. Roberts misses 3-pt shot from 23 ft
8:38.0,Defensive rebound by J. Ingles,,71-86,,
8:34.0,,,71-86,,Personal foul by G. Neal (drawn by A. Burks)
8:34.0,A. Burks makes free throw 1 of 3,1,72-86,,
8:34.0,A. Burks makes free throw 2 of 3,1,73-86,,
8:34.0,,,73-86,,K. Walker enters the game for B. Roberts
8:34.0,A. Burks makes free throw 3 of 3,1,74-86,,
8:17.0,,,74-88,2,M. Williams makes 2-pt shot from 18 ft
8:03.0,D. Exum misses 3-pt shot from 23 ft,,74-88,,
8:03.0,Offensive rebound by Team,,74-88,,
7:52.0,E. Kanter misses 2-pt shot from 16 ft,,74-88,,
7:51.0,,,74-88,,Defensive rebound by M. Williams
7:40.0,,,74-88,,K. Walker misses 2-pt shot from 1 ft
7:38.0,Defensive rebound by J. Ingles,,74-88,,
7:24.0,J. Ingles makes 2-pt shot from 1 ft,2,76-88,,
7:24.0,Shooting foul by M. Williams (drawn by J. Ingles),,76-88,,
7:24.0,R. Gobert enters the game for E. Kanter,,76-88,,
7:24.0,J. Ingles misses free throw 1 of 1,,76-88,,
7:19.0,,,76-88,,Defensive rebound by A. Jefferson
6:57.0,,,76-88,,G. Henderson misses 2-pt shot from 2 ft
6:56.0,Defensive rebound by R. Gobert,,76-88,,
6:52.0,A. Burks makes 2-pt shot from 17 ft,2,78-88,,
6:40.0,Personal foul by D. Exum (drawn by K. Walker),,78-88,,
6:40.0,,,78-88,,B. Biyombo enters the game for A. Jefferson
6:40.0,,,78-88,,M. Kidd-Gilchrist enters the game for G. Neal
6:33.0,,,78-88,,K. Walker misses 2-pt shot from 12 ft
6:33.0,Defensive rebound by Team,,78-88,,
6:18.0,A. Burks misses 2-pt shot from 1 ft,,78-88,,
6:15.0,,,78-88,,Defensive rebound by M. Kidd-Gilchrist
6:07.0,,,78-91,3,G. Henderson makes 3-pt shot from 23 ft (assist by M. Williams)
5:50.0,A. Burks misses 3-pt shot from 26 ft,,78-91,,
5:49.0,,,78-91,,Defensive rebound by M. Williams
5:38.0,,,78-93,2,K. Walker makes 2-pt shot from 18 ft
5:29.0,Utah full timeout,,78-93,,
5:29.0,R. Hood enters the game for A. Burks,,78-93,,
5:29.0,G. Hayward enters the game for D. Exum,,78-93,,
5:17.0,S. Novak misses 3-pt shot from 29 ft,,78-93,,
5:16.0,,,78-93,,Defensive rebound by Team
4:56.0,,,78-96,3,K. Walker makes 3-pt shot from 25 ft
4:44.0,G. Hayward misses 3-pt shot from 26 ft,,78-96,,
4:43.0,,,78-96,,Defensive rebound by M. Williams
4:34.0,,,78-96,,K. Walker misses 2-pt shot from 15 ft
4:31.0,Defensive rebound by R. Gobert,,78-96,,
4:20.0,S. Novak misses 3-pt shot from 25 ft,,78-96,,
4:18.0,,,78-96,,Defensive rebound by M. Kidd-Gilchrist
3:59.0,,,78-98,2,M. Kidd-Gilchrist makes 2-pt shot from 16 ft (assist by K. Walker)
3:32.0,G. Hayward misses 2-pt shot from 2 ft,,78-98,,
3:31.0,,,78-98,,Defensive rebound by M. Kidd-Gilchrist
3:23.0,,,78-98,,Shooting foul by S. Novak (drawn by M. Kidd-Gilchrist)
3:23.0,,,78-98,,M. Kidd-Gilchrist misses free throw 1 of 2
3:23.0,,,78-98,,Offensive rebound by Team
3:23.0,,,78-98,,J. Maxiell enters the game for G. Henderson
3:23.0,,,78-98,,J. Taylor enters the game for K. Walker
3:23.0,,,78-98,,J. Pargo enters the game for B. Biyombo
3:23.0,A. Burks enters the game for G. Hayward,,78-98,,
3:23.0,D. Exum enters the game for S. Novak,,78-98,,
3:23.0,,,78-98,,Violation by Team (delay of game)
3:23.0,,,78-99,1,M. Kidd-Gilchrist makes free throw 2 of 2
3:00.0,A. Burks misses 2-pt shot from 10 ft,,78-99,,
2:58.0,Offensive rebound by A. Burks,,78-99,,
2:58.0,A. Burks misses 2-pt shot at rim,,78-99,,
2:56.0,Offensive rebound by R. Gobert,,78-99,,
2:56.0,R. Gobert makes 2-pt shot at rim,2,80-99,,
2:44.0,,,80-99,,Turnover by M. Kidd-Gilchrist (lost ball)
2:44.0,Official timeout,,80-99,,
2:44.0,,,80-99,,P. Hairston enters the game for M. Kidd-Gilchrist
2:44.0,S. Novak enters the game for A. Burks,,80-99,,
2:44.0,I. Clark enters the game for R. Hood,,80-99,,
2:34.0,J. Ingles makes 3-pt shot from 23 ft (assist by D. Exum),3,83-99,,
2:23.0,,,83-101,2,M. Williams makes 2-pt shot from 21 ft (assist by J. Pargo)
