time,Philadelphia,pts.away,score,pts.home,Atlanta
5:51.0,Turnover by H. Sims (lost ball; steal by J. Teague),,10-12,,
5:35.0,,,10-12,,K. Bazemore misses 2-pt shot from 1 ft
5:33.0,,,10-12,,Offensive rebound by K. Bazemore
5:29.0,,,10-12,,J. Teague misses 3-pt shot from 25 ft
5:27.0,Defensive rebound by H. Thompson,,10-12,,
5:23.0,Offensive charge foul by K. McDaniels,,10-12,,
5:23.0,Turnover by K. McDaniels (offensive foul),,10-12,,
5:09.0,,,10-12,,D. Schroder misses 2-pt shot at rim
5:08.0,Defensive rebound by H. Sims,,10-12,,
4:58.0,K. McDaniels misses 2-pt shot from 1 ft,,10-12,,
4:57.0,,,10-12,,Defensive rebound by E. Brand
4:51.0,,,10-14,2,P. Millsap makes 2-pt shot at rim (assist by J. Teague)
4:49.0,Philadelphia full timeout,,10-14,,
4:26.0,Turnover by M. Carter-Williams (bad pass; steal by P. Millsap),,10-14,,
4:16.0,,,10-16,2,J. Teague makes 2-pt shot from 1 ft
3:58.0,H. Sims misses 2-pt shot from 18 ft,,10-16,,
3:57.0,,,10-16,,Defensive rebound by P. Millsap
3:39.0,,,10-16,,E. Brand misses 2-pt shot from 2 ft
3:38.0,Defensive rebound by H. Thompson,,10-16,,
3:26.0,H. Thompson misses 2-pt shot at rim,,10-16,,
3:25.0,,,10-16,,Defensive rebound by D. Schroder
3:19.0,,,10-16,,K. Bazemore misses 3-pt shot from 22 ft
3:18.0,Defensive rebound by M. Carter-Williams,,10-16,,
2:59.0,Offensive charge foul by K. McDaniels,,10-16,,
2:59.0,Turnover by K. McDaniels (offensive foul),,10-16,,
2:59.0,,,10-16,,J. Jenkins enters the game for J. Teague
2:59.0,R. Covington enters the game for K. McDaniels,,10-16,,
2:39.0,,,10-16,,Shooting foul by H. Sims (drawn by K. Bazemore)
2:39.0,,,10-16,,K. Bazemore misses free throw 1 of 2
2:39.0,,,10-16,,Offensive rebound by Team
2:39.0,,,10-17,1,K. Bazemore makes free throw 2 of 2
2:20.0,,,10-17,,Personal foul by K. Bazemore (drawn by H. Sims)
2:20.0,N. Noel enters the game for H. Thompson,,10-17,,
2:20.0,L. Drew enters the game for M. Carter-Williams,,10-17,,
2:10.0,Turnover by N. Noel (bad pass),,10-17,,
1:56.0,Personal foul by L. Drew (drawn by D. Schroder),,10-17,,
1:56.0,,,10-17,,D. Schroder misses free throw 1 of 2
1:56.0,,,10-17,,Offensive rebound by Team
1:56.0,,,10-17,,M. Scott enters the game for P. Millsap
1:56.0,,,10-17,,K. Korver enters the game for K. Bazemore
1:56.0,,,10-18,1,D. Schroder makes free throw 2 of 2
1:39.0,H. Sims misses 2-pt shot from 3 ft,,10-18,,
1:38.0,,,10-18,,Defensive rebound by E. Brand
1:25.0,,,10-18,,D. Schroder misses 2-pt shot from 7 ft
1:23.0,Defensive rebound by N. Noel,,10-18,,
1:07.0,Turnover by R. Covington (bad pass; steal by D. Schroder),,10-18,,
1:02.0,,,10-20,2,J. Jenkins makes 2-pt shot from 2 ft (assist by D. Schroder)
1:01.0,Philadelphia full timeout,,10-20,,
1:01.0,,,10-20,,A. Horford enters the game for E. Brand
1:01.0,L. Mbah a Moute enters the game for H. Sims,,10-20,,
0:52.0,,,10-20,,Personal foul by D. Schroder (drawn by L. Drew)
0:47.0,Turnover by L. Drew (offensive foul),,10-20,,
0:47.0,Offensive charge foul by L. Drew,,10-20,,
0:27.0,,,10-22,2,M. Scott makes 2-pt shot from 19 ft (assist by A. Horford)
0:08.0,Shooting foul by K. Korver (drawn by L. Mbah a Moute),,10-22,,
0:08.0,L. Mbah a Moute misses free throw 1 of 2,,10-22,,
0:08.0,Offensive rebound by Team,,10-22,,
0:08.0,L. Mbah a Moute misses free throw 2 of 2,,10-22,,
0:07.0,,,10-22,,Defensive rebound by K. Korver
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:38.0,R. Covington misses 3-pt shot from 25 ft,,10-22,,
11:36.0,,,10-22,,Defensive rebound by M. Scott
11:23.0,,,10-22,,K. Korver misses 2-pt shot from 20 ft
11:22.0,Defensive rebound by H. Sims,,10-22,,
11:16.0,R. Covington misses 3-pt shot from 24 ft,,10-22,,
11:14.0,,,10-22,,Defensive rebound by J. Jenkins
11:05.0,,,10-24,2,J. Jenkins makes 2-pt shot from 1 ft (assist by D. Schroder)
10:58.0,Shooting foul by M. Scott (drawn by J. Grant),,10-24,,
10:58.0,J. Grant makes free throw 1 of 2,1,11-24,,
10:58.0,M. Carter-Williams enters the game for H. Sims,,11-24,,
10:58.0,L. Mbah a Moute enters the game for L. Drew,,11-24,,
10:58.0,J. Grant makes free throw 2 of 2,1,12-24,,
10:49.0,,,12-24,,K. Korver misses 2-pt shot from 2 ft
10:48.0,,,12-24,,Offensive rebound by A. Horford
10:47.0,,,12-24,,A. Horford misses 2-pt shot at rim
10:46.0,Defensive rebound by N. Noel,,12-24,,
10:33.0,N. Noel makes 2-pt shot at rim (assist by L. Mbah a Moute),2,14-24,,
10:09.0,,,14-27,3,K. Korver makes 3-pt shot from 23 ft (assist by A. Horford)
9:43.0,M. Carter-Williams makes 3-pt shot from 23 ft (assist by R. Covington),3,17-27,,
9:30.0,,,17-29,2,A. Horford makes 2-pt shot from 18 ft (assist by D. Schroder)
9:11.0,L. Mbah a Moute misses 3-pt shot from 25 ft,,17-29,,
9:08.0,,,17-29,,Defensive rebound by D. Schroder
8:59.0,,,17-29,,K. Korver misses 3-pt shot from 25 ft
8:57.0,Defensive rebound by N. Noel,,17-29,,
8:52.0,Philadelphia full timeout,,17-29,,
8:52.0,J. Sampson enters the game for J. Grant,,17-29,,
8:35.0,M. Carter-Williams misses 2-pt shot from 4 ft (block by A. Horford),,17-29,,
8:33.0,,,17-29,,Defensive rebound by M. Scott
8:19.0,,,17-29,,A. Horford misses 2-pt shot from 6 ft
8:17.0,Defensive rebound by N. Noel,,17-29,,
8:12.0,R. Covington misses 3-pt shot from 22 ft,,17-29,,
8:10.0,,,17-29,,Defensive rebound by A. Horford
7:59.0,,,17-29,,D. Schroder misses 2-pt shot from 18 ft
7:57.0,Defensive rebound by N. Noel,,17-29,,
7:46.0,M. Carter-Williams makes 2-pt shot from 10 ft,2,19-29,,
7:30.0,,,19-31,2,D. Schroder makes 2-pt shot from 1 ft
7:22.0,J. Sampson misses 3-pt shot from 22 ft,,19-31,,
7:20.0,,,19-31,,Defensive rebound by K. Korver
7:14.0,,,19-34,3,J. Jenkins makes 3-pt shot from 25 ft (assist by D. Schroder)
6:51.0,J. Sampson misses 2-pt shot from 6 ft,,19-34,,
6:50.0,,,19-34,,Defensive rebound by A. Horford
6:39.0,,,19-36,2,D. Schroder makes 2-pt shot at rim
6:18.0,R. Covington misses 3-pt shot from 22 ft,,19-36,,
6:17.0,,,19-36,,Defensive rebound by M. Scott
6:10.0,,,19-36,,Turnover by D. Schroder (bad pass; steal by R. Covington)
6:06.0,,,19-36,,Shooting block foul by D. Schroder (drawn by M. Carter-Williams)
6:06.0,M. Carter-Williams misses free throw 1 of 2,,19-36,,
6:06.0,Offensive rebound by Team,,19-36,,
6:06.0,H. Thompson enters the game for R. Covington,,19-36,,
6:06.0,J. Grant enters the game for N. Noel,,19-36,,
6:06.0,,,19-36,,J. Teague enters the game for A. Horford
6:06.0,,,19-36,,P. Millsap enters the game for D. Schroder
6:06.0,,,19-36,,K. Bazemore enters the game for J. Jenkins
6:06.0,M. Carter-Williams makes free throw 2 of 2,1,20-36,,
5:58.0,,,20-36,,M. Scott misses 3-pt shot from 25 ft
5:55.0,,,20-36,,Offensive rebound by P. Millsap
5:55.0,,,20-38,2,P. Millsap makes 2-pt shot from 1 ft
5:39.0,J. Grant makes 2-pt shot at rim (assist by M. Carter-Williams),2,22-38,,
5:25.0,Personal foul by M. Carter-Williams (drawn by J. Teague),,22-38,,
5:25.0,Official timeout,,22-38,,
5:14.0,,,22-41,3,J. Teague makes 3-pt shot from 25 ft
4:56.0,,,22-41,,Personal foul by K. Korver (drawn by J. Grant)
4:56.0,R. Covington enters the game for H. Thompson,,22-41,,
4:56.0,,,22-41,,J. Jenkins enters the game for K. Korver
4:48.0,M. Carter-Williams makes 2-pt shot from 1 ft,2,24-41,,
4:44.0,,,24-41,,Turnover by J. Teague (lost ball; steal by R. Covington)
4:40.0,Shooting foul by P. Millsap (drawn by J. Sampson),,24-41,,
4:40.0,J. Sampson misses free throw 1 of 2,,24-41,,
4:40.0,Offensive rebound by Team,,24-41,,
4:40.0,,,24-41,,E. Brand enters the game for M. Scott
4:40.0,K. McDaniels enters the game for J. Grant,,24-41,,
4:40.0,J. Sampson makes free throw 2 of 2,1,25-41,,
4:22.0,,,25-43,2,P. Millsap makes 2-pt shot from 3 ft
4:10.0,M. Carter-Williams misses 2-pt shot from 2 ft,,25-43,,
4:08.0,,,25-43,,Defensive rebound by K. Bazemore
4:04.0,,,25-45,2,K. Bazemore makes 2-pt shot at rim
3:50.0,,,25-45,,Personal foul by K. Bazemore (drawn by L. Mbah a Moute)
3:50.0,L. Mbah a Moute makes free throw 1 of 2,1,26-45,,
3:50.0,L. Mbah a Moute misses free throw 2 of 2,,26-45,,
3:48.0,,,26-45,,Defensive rebound by E. Brand
3:28.0,,,26-45,,J. Teague misses 2-pt shot from 4 ft
3:28.0,,,26-45,,Offensive rebound by Team
3:28.0,Loose ball foul by J. Sampson (drawn by J. Teague),,26-45,,
3:28.0,,,26-45,,M. Muscala enters the game for E. Brand
3:17.0,,,26-45,,J. Teague misses 2-pt shot from 4 ft
3:16.0,Defensive rebound by M. Carter-Williams,,26-45,,
3:07.0,M. Carter-Williams misses 2-pt shot from 4 ft,,26-45,,
3:04.0,,,26-45,,Defensive rebound by J. Jenkins
2:59.0,,,26-45,,Shooting foul by R. Covington (drawn by P. Millsap)
2:59.0,,,26-45,,Atlanta full timeout
2:59.0,F. Aldemir enters the game for L. Mbah a Moute,,26-45,,
2:59.0,H. Thompson enters the game for J. Sampson,,26-45,,
2:59.0,,,26-46,1,P. Millsap makes free throw 1 of 2
2:59.0,,,26-47,1,P. Millsap makes free throw 2 of 2
2:44.0,H. Thompson misses 2-pt shot from 20 ft,,26-47,,
2:43.0,Offensive rebound by R. Covington,,26-47,,
2:42.0,R. Covington makes 2-pt shot at rim,2,28-47,,
2:29.0,Personal foul by H. Thompson (drawn by J. Teague),,28-47,,
2:29.0,L. Drew enters the game for M. Carter-Williams,,28-47,,
2:22.0,,,28-47,,Turnover by J. Teague (bad pass)
2:08.0,H. Thompson makes 3-pt shot from 22 ft (assist by R. Covington),3,31-47,,
1:46.0,,,31-47,,J. Teague misses 2-pt shot from 8 ft
1:45.0,Defensive rebound by R. Covington,,31-47,,
1:35.0,R. Covington misses 2-pt shot from 18 ft,,31-47,,
1:34.0,,,31-47,,Defensive rebound by J. Jenkins
1:25.0,,,31-49,2,J. Jenkins makes 2-pt shot from 18 ft
1:08.0,H. Thompson makes 3-pt shot from 25 ft (assist by L. Drew),3,34-49,,
0:56.0,,,34-49,,J. Jenkins misses 2-pt shot from 3 ft (block by K. McDaniels)
0:54.0,Defensive rebound by R. Covington,,34-49,,
0:49.0,Offensive charge foul by R. Covington,,34-49,,
0:49.0,Turnover by R. Covington (offensive foul),,34-49,,
0:49.0,,,34-49,,K. Korver enters the game for K. Bazemore
0:49.0,,,34-49,,A. Horford enters the game for M. Muscala
0:28.0,,,34-49,,A. Horford misses 3-pt shot from 22 ft
0:25.0,Defensive rebound by R. Covington,,34-49,,
0:07.0,K. McDaniels misses 3-pt shot from 23 ft,,34-49,,
0:04.0,Offensive rebound by R. Covington,,34-49,,
0:04.0,R. Covington misses 2-pt shot from 1 ft,,34-49,,
0:01.0,Offensive rebound by K. McDaniels,,34-49,,
0:01.0,K. McDaniels misses 2-pt shot from 4 ft,,34-49,,
0:00.0,Offensive rebound by Team,,34-49,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,M. Carter-Williams misses 2-pt shot from 3 ft,,34-49,,
11:44.0,Offensive rebound by N. Noel,,34-49,,
11:44.0,N. Noel makes 2-pt shot at rim,2,36-49,,
11:26.0,,,36-51,2,A. Horford makes 2-pt shot from 2 ft (assist by J. Teague)
11:09.0,H. Thompson makes 3-pt shot from 24 ft (assist by R. Covington),3,39-51,,
10:54.0,,,39-53,2,A. Horford makes 2-pt shot from 21 ft (assist by J. Teague)
10:36.0,L. Mbah a Moute misses 3-pt shot from 23 ft,,39-53,,
10:35.0,Offensive rebound by H. Thompson,,39-53,,
10:32.0,M. Carter-Williams makes 3-pt shot from 25 ft (assist by H. Thompson),3,42-53,,
10:13.0,,,42-53,,Turnover by P. Millsap (lost ball; steal by L. Mbah a Moute)
10:08.0,M. Carter-Williams makes 2-pt shot at rim,2,44-53,,
10:03.0,Personal take foul by R. Covington (drawn by J. Teague),,44-53,,
10:03.0,L. Drew enters the game for M. Carter-Williams,,44-53,,
9:53.0,,,44-53,,K. Korver misses 3-pt shot from 22 ft
9:51.0,Defensive rebound by R. Covington,,44-53,,
9:32.0,H. Thompson misses 3-pt shot from 25 ft,,44-53,,
9:30.0,,,44-53,,Defensive rebound by A. Horford
9:21.0,,,44-53,,K. Korver misses 2-pt shot from 20 ft
9:19.0,Defensive rebound by R. Covington,,44-53,,
9:09.0,L. Mbah a Moute misses 3-pt shot from 24 ft,,44-53,,
9:07.0,,,44-53,,Defensive rebound by Team
8:53.0,,,44-53,,P. Millsap misses 2-pt shot from 15 ft
8:51.0,Defensive rebound by R. Covington,,44-53,,
8:35.0,R. Covington misses 3-pt shot from 24 ft (block by K. Bazemore),,44-53,,
8:32.0,Offensive rebound by R. Covington,,44-53,,
8:29.0,R. Covington misses 3-pt shot from 23 ft,,44-53,,
8:28.0,,,44-53,,Defensive rebound by A. Horford
8:22.0,,,44-56,3,K. Korver makes 3-pt shot from 24 ft (assist by J. Teague)
8:07.0,Shooting foul by K. Bazemore (drawn by N. Noel),,44-56,,
8:07.0,N. Noel makes free throw 1 of 2,1,45-56,,
8:07.0,N. Noel misses free throw 2 of 2,,45-56,,
8:04.0,,,45-56,,Defensive rebound by P. Millsap
7:55.0,,,45-59,3,J. Teague makes 3-pt shot from 25 ft
7:37.0,H. Thompson makes 3-pt shot from 23 ft (assist by L. Drew),3,48-59,,
7:33.0,,,48-59,,Offensive foul by J. Teague
7:33.0,,,48-59,,Turnover by J. Teague (offensive foul)
7:21.0,H. Thompson misses 2-pt shot from 22 ft,,48-59,,
7:19.0,Offensive rebound by N. Noel,,48-59,,
7:10.0,N. Noel misses 2-pt shot from 1 ft (block by A. Horford),,48-59,,
7:07.0,,,48-59,,Defensive rebound by A. Horford
6:58.0,,,48-59,,Turnover by A. Horford (bad pass; steal by H. Thompson)
6:49.0,R. Covington misses 3-pt shot from 23 ft,,48-59,,
6:48.0,Offensive rebound by Team,,48-59,,
6:48.0,H. Sims enters the game for N. Noel,,48-59,,
6:41.0,L. Drew makes 3-pt shot from 24 ft,3,51-59,,
6:25.0,,,51-59,,P. Millsap misses 2-pt shot from 4 ft
6:24.0,,,51-59,,Offensive rebound by P. Millsap
6:19.0,,,51-62,3,P. Millsap makes 3-pt shot from 23 ft (assist by J. Teague)
6:11.0,Philadelphia full timeout,,51-62,,
6:11.0,,,51-62,,E. Brand enters the game for A. Horford
6:11.0,,,51-62,,D. Schroder enters the game for K. Korver
5:56.0,H. Sims makes 2-pt shot from 15 ft (assist by L. Drew),2,53-62,,
5:32.0,,,53-62,,J. Teague misses 3-pt shot from 24 ft
5:29.0,Defensive rebound by L. Mbah a Moute,,53-62,,
5:16.0,,,53-62,,Personal foul by J. Teague (drawn by H. Sims)
5:16.0,J. Sampson enters the game for R. Covington,,53-62,,
5:09.0,H. Sims misses 2-pt shot from 18 ft,,53-62,,
5:07.0,,,53-62,,Defensive rebound by E. Brand
4:54.0,Personal foul by H. Sims (drawn by J. Teague),,53-62,,
4:54.0,M. Carter-Williams enters the game for L. Drew,,53-62,,
4:54.0,,,53-62,,Turnover by K. Bazemore (bad pass)
4:37.0,L. Mbah a Moute misses 2-pt shot from 1 ft,,53-62,,
4:36.0,,,53-62,,Defensive rebound by E. Brand
4:27.0,,,53-62,,K. Bazemore misses 3-pt shot from 22 ft
4:26.0,Defensive rebound by Team,,53-62,,
4:26.0,,,53-62,,Loose ball foul by E. Brand (drawn by H. Sims)
4:08.0,Turnover by H. Sims (bad pass; steal by P. Millsap),,53-62,,
3:49.0,,,53-64,2,D. Schroder makes 2-pt shot from 6 ft
3:33.0,Offensive charge foul by J. Sampson,,53-64,,
3:33.0,Turnover by J. Sampson (offensive foul),,53-64,,
3:33.0,J. Grant enters the game for L. Mbah a Moute,,53-64,,
3:33.0,,,53-64,,J. Jenkins enters the game for J. Teague
3:20.0,,,53-64,,Offensive foul by E. Brand
3:20.0,,,53-64,,Turnover by E. Brand (offensive foul)
3:20.0,R. Covington enters the game for H. Thompson,,53-64,,
3:09.0,R. Covington makes 2-pt shot from 6 ft (assist by J. Sampson),2,55-64,,
2:55.0,,,55-64,,P. Millsap misses 2-pt shot from 8 ft (block by H. Sims)
2:53.0,Defensive rebound by M. Carter-Williams,,55-64,,
2:47.0,Offensive charge foul by J. Sampson,,55-64,,
2:47.0,Turnover by J. Sampson (offensive foul),,55-64,,
2:47.0,,,55-64,,Atlanta full timeout
2:47.0,N. Noel enters the game for J. Sampson,,55-64,,
2:47.0,K. McDaniels enters the game for H. Sims,,55-64,,
2:27.0,,,55-64,,P. Millsap misses 2-pt shot from 12 ft
2:24.0,,,55-64,,Offensive rebound by D. Schroder
2:03.0,,,55-64,,K. Bazemore misses 2-pt shot at rim (block by N. Noel)
2:02.0,Defensive rebound by J. Grant,,55-64,,
2:00.0,R. Covington makes 2-pt shot at rim,2,57-64,,
2:00.0,Shooting foul by D. Schroder (drawn by R. Covington),,57-64,,
2:00.0,,,57-64,,K. Korver enters the game for E. Brand
2:00.0,,,57-64,,A. Horford enters the game for K. Bazemore
2:00.0,R. Covington makes free throw 1 of 1,1,58-64,,
1:46.0,,,58-64,,Turnover by P. Millsap (lost ball; steal by M. Carter-Williams)
1:39.0,K. McDaniels misses 2-pt shot at rim,,58-64,,
1:39.0,,,58-64,,Defensive rebound by D. Schroder
1:39.0,Personal foul by R. Covington (drawn by D. Schroder),,58-64,,
1:39.0,,,58-64,,M. Scott enters the game for P. Millsap
1:39.0,H. Thompson enters the game for R. Covington,,58-64,,
1:20.0,,,58-66,2,D. Schroder makes 2-pt shot from 1 ft
1:03.0,J. Grant makes 3-pt shot from 24 ft (assist by M. Carter-Williams),3,61-66,,
0:46.0,,,61-68,2,A. Horford makes 2-pt shot from 4 ft (assist by D. Schroder)
0:25.0,K. McDaniels makes 3-pt shot from 23 ft (assist by J. Grant),3,64-68,,
0:07.0,,,64-71,3,D. Schroder makes 3-pt shot from 24 ft
0:02.0,N. Noel makes 2-pt shot at rim (assist by M. Carter-Williams),2,66-71,,
0:00.0,,,66-71,,M. Scott misses 3-pt shot from 43 ft
0:00.0,,,66-71,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,,,66-71,,Shooting foul by H. Thompson (drawn by A. Horford)
11:44.0,,,66-72,1,A. Horford makes free throw 1 of 2
11:44.0,,,66-73,1,A. Horford makes free throw 2 of 2
11:34.0,Turnover by M. Carter-Williams (bad pass; steal by M. Scott),,66-73,,
11:24.0,Personal foul by M. Carter-Williams (drawn by D. Schroder),,66-73,,
11:10.0,,,66-73,,D. Schroder misses 3-pt shot from 25 ft
11:08.0,Defensive rebound by M. Carter-Williams,,66-73,,
10:51.0,M. Carter-Williams misses 2-pt shot from 1 ft,,66-73,,
10:50.0,,,66-73,,Defensive rebound by K. Korver
10:42.0,,,66-73,,M. Scott misses 3-pt shot from 24 ft
10:39.0,,,66-73,,Offensive rebound by Team
10:39.0,Violation by J. Grant (kicked ball),,66-73,,
10:33.0,,,66-73,,Turnover by D. Schroder (bad pass; steal by M. Carter-Williams)
10:25.0,H. Thompson misses 3-pt shot from 24 ft,,66-73,,
10:24.0,,,66-73,,Defensive rebound by K. Korver
10:08.0,Personal foul by N. Noel (drawn by D. Schroder),,66-73,,
9:57.0,,,66-73,,Turnover by D. Schroder (traveling)
9:57.0,L. Mbah a Moute enters the game for N. Noel,,66-73,,
9:44.0,J. Grant makes 3-pt shot from 25 ft (assist by M. Carter-Williams),3,69-73,,
9:24.0,,,69-73,,M. Scott misses 3-pt shot from 24 ft
9:23.0,Defensive rebound by M. Carter-Williams,,69-73,,
9:01.0,M. Carter-Williams misses 2-pt shot from 3 ft,,69-73,,
9:00.0,,,69-73,,Defensive rebound by D. Schroder
8:47.0,,,69-73,,D. Schroder misses 2-pt shot at rim
8:45.0,Defensive rebound by K. McDaniels,,69-73,,
8:40.0,K. McDaniels misses 2-pt shot from 1 ft,,69-73,,
8:39.0,,,69-73,,Defensive rebound by M. Scott
8:29.0,,,69-73,,Atlanta full timeout
8:29.0,,,69-73,,J. Teague enters the game for D. Schroder
8:29.0,,,69-73,,P. Millsap enters the game for J. Jenkins
8:29.0,,,69-73,,K. Bazemore enters the game for M. Scott
8:17.0,,,69-75,2,A. Horford makes 2-pt shot from 8 ft
7:59.0,Shooting foul by K. Korver (drawn by K. McDaniels),,69-75,,
7:59.0,K. McDaniels makes free throw 1 of 2,1,70-75,,
7:59.0,K. McDaniels makes free throw 2 of 2,1,71-75,,
7:43.0,,,71-75,,K. Bazemore misses 3-pt shot from 23 ft
7:42.0,Defensive rebound by K. McDaniels,,71-75,,
7:27.0,K. McDaniels misses 3-pt shot from 24 ft,,71-75,,
7:26.0,,,71-75,,Defensive rebound by A. Horford
7:06.0,,,71-75,,J. Teague misses 3-pt shot from 25 ft
7:04.0,Defensive rebound by M. Carter-Williams,,71-75,,
6:50.0,L. Mbah a Moute makes 2-pt shot from 1 ft (assist by K. McDaniels),2,73-75,,
6:32.0,,,73-77,2,A. Horford makes 2-pt shot from 18 ft (assist by J. Teague)
6:24.0,Philadelphia full timeout,,73-77,,
6:24.0,,,73-77,,D. Schroder enters the game for K. Korver
6:08.0,J. Grant makes 3-pt shot from 24 ft (assist by M. Carter-Williams),3,76-77,,
5:41.0,,,76-77,,P. Millsap misses 2-pt shot from 7 ft
5:39.0,,,76-77,,Offensive rebound by P. Millsap
5:39.0,,,76-79,2,P. Millsap makes 2-pt shot at rim
5:13.0,K. McDaniels misses 2-pt shot at rim (block by A. Horford),,76-79,,
5:12.0,Offensive rebound by Team,,76-79,,
5:12.0,Turnover by Team (shot clock),,76-79,,
5:12.0,N. Noel enters the game for H. Thompson,,76-79,,
4:53.0,,,76-79,,Shooting foul by J. Grant (drawn by J. Teague)
4:53.0,,,76-80,1,J. Teague makes free throw 1 of 2
4:53.0,,,76-81,1,J. Teague makes free throw 2 of 2
4:38.0,M. Carter-Williams misses 3-pt shot from 23 ft,,76-81,,
4:35.0,Offensive rebound by L. Mbah a Moute,,76-81,,
4:21.0,L. Mbah a Moute makes 3-pt shot from 24 ft (assist by M. Carter-Williams),3,79-81,,
4:07.0,,,79-81,,Shooting foul by N. Noel (drawn by K. Bazemore)
4:07.0,,,79-81,,K. Bazemore misses free throw 1 of 2
4:07.0,,,79-81,,Offensive rebound by Team
4:07.0,,,79-81,,K. Korver enters the game for D. Schroder
4:07.0,,,79-81,,K. Bazemore misses free throw 2 of 2
4:05.0,Defensive rebound by L. Mbah a Moute,,79-81,,
3:54.0,K. McDaniels misses 3-pt shot from 24 ft,,79-81,,
3:54.0,,,79-81,,Defensive rebound by Team
3:54.0,,,79-81,,D. Schroder enters the game for K. Bazemore
3:41.0,,,79-81,,A. Horford misses 2-pt shot from 2 ft (block by N. Noel)
3:38.0,Defensive rebound by J. Grant,,79-81,,
3:20.0,L. Mbah a Moute makes 2-pt shot from 20 ft,2,81-81,,
