time,Indiana,pts.away,score,pts.home,Houston
1:14.0,C. Watson misses free throw 2 of 2,,43-53,,
1:14.0,,,43-53,,Defensive rebound by D. Howard
0:59.0,,,43-53,,Turnover by J. Harden (lost ball; steal by C. Miles)
0:54.0,R. Stuckey makes 2-pt shot at rim (assist by C. Miles),2,45-53,,
0:37.0,,,45-53,,J. Smith misses 2-pt shot from 16 ft
0:35.0,Defensive rebound by C. Watson,,45-53,,
0:23.0,Turnover by R. Hibbert (bad pass; steal by J. Harden),,45-53,,
0:19.0,,,45-53,,Shooting foul by R. Stuckey (drawn by J. Harden)
0:19.0,,,45-54,1,J. Harden makes free throw 1 of 2
0:19.0,,,45-55,1,J. Harden makes free throw 2 of 2
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,D. West makes 2-pt shot from 15 ft (assist by R. Stuckey),2,47-55,,
11:30.0,,,47-58,3,J. Harden makes 3-pt shot from 25 ft (assist by D. Howard)
11:12.0,R. Hibbert makes 2-pt shot from 17 ft (assist by S. Hill),2,49-58,,
10:46.0,,,49-58,,Shooting foul by R. Hibbert (drawn by D. Howard)
10:46.0,,,49-59,1,D. Howard makes free throw 1 of 2
10:46.0,,,49-59,,D. Howard misses free throw 2 of 2
10:46.0,Defensive rebound by D. West,,49-59,,
10:31.0,R. Hibbert misses 2-pt shot from 4 ft,,49-59,,
10:31.0,Offensive rebound by Team,,49-59,,
10:30.0,Turnover by R. Stuckey (bad pass; steal by P. Beverley),,49-59,,
10:24.0,,,49-61,2,D. Howard makes 2-pt shot at rim (assist by J. Harden)
10:08.0,,,49-61,,Def 3 sec tech foul by D. Howard
10:08.0,C. Watson makes technical free throw,1,50-61,,
9:59.0,S. Hill misses 2-pt shot from 2 ft (block by D. Howard),,50-61,,
9:57.0,,,50-61,,Defensive rebound by D. Howard
9:57.0,Personal foul by S. Hill (drawn by D. Howard),,50-61,,
9:34.0,,,50-61,,D. Motiejunas misses 2-pt shot from 6 ft
9:34.0,Defensive rebound by Team,,50-61,,
9:34.0,,,50-61,,Loose ball foul by D. Howard (drawn by S. Hill)
9:17.0,D. West makes 2-pt shot from 17 ft,2,52-61,,
9:02.0,,,52-63,2,T. Ariza makes 2-pt shot at rim (assist by P. Beverley)
8:48.0,Turnover by C. Watson (bad pass),,52-63,,
8:37.0,,,52-63,,P. Beverley misses 2-pt shot from 6 ft
8:36.0,Defensive rebound by D. West,,52-63,,
8:28.0,C. Watson misses 2-pt shot from 22 ft,,52-63,,
8:27.0,Offensive rebound by D. West,,52-63,,
8:23.0,R. Hibbert misses 2-pt shot from 1 ft (block by J. Harden),,52-63,,
8:22.0,,,52-63,,Defensive rebound by P. Beverley
8:15.0,,,52-63,,P. Beverley misses 3-pt shot from 26 ft
8:14.0,,,52-63,,Offensive rebound by D. Howard
8:11.0,,,52-63,,Shooting foul by R. Hibbert (drawn by D. Howard)
8:11.0,,,52-64,1,D. Howard makes free throw 1 of 2
8:11.0,,,52-64,,D. Howard misses free throw 2 of 2
8:11.0,Defensive rebound by R. Hibbert,,52-64,,
7:50.0,Turnover by C. Watson (back court),,52-64,,
7:35.0,,,52-64,,T. Ariza misses 3-pt shot from 23 ft
7:34.0,Defensive rebound by C. Watson,,52-64,,
7:23.0,S. Hill makes 2-pt shot from 1 ft (assist by D. West),2,54-64,,
7:09.0,,,54-64,,P. Beverley misses 3-pt shot from 24 ft
7:08.0,Defensive rebound by R. Stuckey,,54-64,,
7:03.0,R. Stuckey makes 2-pt shot at rim,2,56-64,,
6:44.0,,,56-64,,Shooting foul by R. Stuckey (drawn by J. Harden)
6:44.0,,,56-65,1,J. Harden makes free throw 1 of 3
6:44.0,,,56-66,1,J. Harden makes free throw 2 of 3
6:44.0,,,56-67,1,J. Harden makes free throw 3 of 3
6:28.0,R. Stuckey misses 2-pt shot from 14 ft,,56-67,,
6:27.0,Offensive rebound by R. Hibbert,,56-67,,
6:27.0,R. Hibbert makes 2-pt shot at rim,2,58-67,,
6:10.0,,,58-69,2,D. Motiejunas makes 2-pt shot from 4 ft (assist by P. Beverley)
6:00.0,,,58-69,,Personal foul by D. Howard (drawn by R. Hibbert)
6:00.0,C. Miles enters the game for R. Stuckey,,58-69,,
5:59.0,Turnover by S. Hill (bad pass; steal by P. Beverley),,58-69,,
5:54.0,,,58-69,,P. Beverley misses 2-pt shot from 1 ft
5:53.0,,,58-69,,Offensive rebound by J. Harden
5:53.0,,,58-71,2,J. Harden makes 2-pt shot from 1 ft
5:37.0,C. Watson makes 2-pt shot from 16 ft,2,60-71,,
5:22.0,Personal foul by R. Hibbert (drawn by D. Howard),,60-71,,
5:22.0,,,60-71,,Houston full timeout
5:22.0,,,60-71,,J. Smith enters the game for D. Motiejunas
5:22.0,I. Mahinmi enters the game for R. Hibbert,,60-71,,
5:22.0,,,60-72,1,D. Howard makes free throw 1 of 2
5:22.0,,,60-72,,D. Howard misses free throw 2 of 2
5:21.0,Defensive rebound by I. Mahinmi,,60-72,,
5:04.0,Turnover by C. Watson (bad pass; steal by T. Ariza),,60-72,,
4:59.0,,,60-72,,Turnover by J. Harden (bad pass)
4:45.0,D. West misses 2-pt shot from 10 ft,,60-72,,
4:44.0,,,60-72,,Defensive rebound by Team
4:22.0,,,60-75,3,J. Harden makes 3-pt shot from 25 ft
4:14.0,Indiana full timeout,,60-75,,
4:14.0,,,60-75,,C. Brewer enters the game for T. Ariza
4:09.0,,,60-75,,Violation by D. Howard (kicked ball)
3:58.0,C. Miles misses 3-pt shot from 26 ft,,60-75,,
3:57.0,,,60-75,,Defensive rebound by C. Brewer
3:41.0,,,60-78,3,J. Harden makes 3-pt shot from 23 ft (assist by P. Beverley)
3:23.0,C. Watson misses 2-pt shot from 18 ft,,60-78,,
3:22.0,,,60-78,,Defensive rebound by D. Howard
3:14.0,,,60-81,3,J. Harden makes 3-pt shot from 26 ft (assist by P. Beverley)
2:56.0,C. Miles misses 3-pt shot from 24 ft,,60-81,,
2:55.0,Offensive rebound by Team,,60-81,,
2:55.0,,,60-81,,J. Terry enters the game for D. Howard
2:55.0,,,60-81,,D. Motiejunas enters the game for P. Beverley
2:55.0,D. Sloan enters the game for C. Watson,,60-81,,
2:48.0,D. Sloan makes 2-pt shot from 1 ft (assist by D. West),2,62-81,,
2:32.0,,,62-84,3,C. Brewer makes 3-pt shot from 24 ft (assist by J. Terry)
2:09.0,S. Hill misses 3-pt shot from 24 ft,,62-84,,
2:07.0,,,62-84,,Defensive rebound by J. Smith
2:00.0,,,62-86,2,J. Smith makes 2-pt shot from 1 ft
2:00.0,,,62-86,,Shooting foul by I. Mahinmi (drawn by J. Smith)
2:00.0,Indiana full timeout,,62-86,,
2:00.0,,,62-86,,J. Smith misses free throw 1 of 1
2:00.0,Defensive rebound by I. Mahinmi,,62-86,,
1:45.0,C. Miles misses 2-pt shot from 1 ft,,62-86,,
1:44.0,,,62-86,,Defensive rebound by D. Motiejunas
1:26.0,,,62-86,,J. Harden misses 3-pt shot from 25 ft
1:25.0,,,62-86,,Offensive rebound by D. Motiejunas
1:22.0,,,62-86,,J. Harden misses 3-pt shot from 26 ft
1:21.0,Defensive rebound by S. Hill,,62-86,,
1:05.0,C. Miles makes 3-pt shot from 22 ft (assist by D. Sloan),3,65-86,,
0:45.0,,,65-88,2,D. Motiejunas makes 2-pt shot at rim (assist by J. Smith)
0:33.0,Shooting foul by D. Motiejunas (drawn by I. Mahinmi),,65-88,,
0:33.0,I. Mahinmi makes free throw 1 of 2,1,66-88,,
0:33.0,L. Scola enters the game for D. West,,66-88,,
0:33.0,D. Rudez enters the game for S. Hill,,66-88,,
0:33.0,I. Mahinmi misses free throw 2 of 2,,66-88,,
0:33.0,Offensive rebound by L. Scola,,66-88,,
0:09.0,D. Sloan makes 2-pt shot from 20 ft,2,68-88,,
0:06.0,Personal foul by I. Mahinmi (drawn by J. Harden),,68-88,,
0:06.0,,,68-88,,J. Harden misses free throw 1 of 2
0:06.0,,,68-88,,Offensive rebound by Team
0:06.0,,,68-89,1,J. Harden makes free throw 2 of 2
0:01.0,Turnover by L. Scola (bad pass; steal by J. Harden),,68-89,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,,,68-91,2,C. Brewer makes 2-pt shot from 6 ft
11:26.0,D. Rudez misses 3-pt shot from 25 ft,,68-91,,
11:25.0,,,68-91,,Defensive rebound by D. Motiejunas
11:13.0,,,68-91,,C. Brewer misses 2-pt shot from 10 ft
11:12.0,Defensive rebound by I. Mahinmi,,68-91,,
11:02.0,D. Rudez misses 2-pt shot from 21 ft,,68-91,,
11:01.0,,,68-91,,Defensive rebound by D. Motiejunas
10:53.0,,,68-91,,J. Smith misses 2-pt shot from 2 ft
10:52.0,Defensive rebound by L. Scola,,68-91,,
10:45.0,C. Miles misses 3-pt shot from 25 ft,,68-91,,
10:44.0,,,68-91,,Defensive rebound by D. Motiejunas
10:36.0,,,68-91,,Turnover by J. Smith (bad pass)
10:27.0,,,68-91,,Personal foul by C. Brewer (drawn by D. Rudez)
10:19.0,D. Sloan makes 2-pt shot from 10 ft,2,70-91,,
10:06.0,,,70-93,2,D. Motiejunas makes 2-pt shot from 1 ft (assist by J. Terry)
9:59.0,D. Sloan makes 2-pt shot from 3 ft,2,72-93,,
9:44.0,,,72-93,,Turnover by C. Brewer (lost ball; steal by C. Miles)
9:41.0,C. Miles makes 2-pt shot from 1 ft (assist by D. Sloan),2,74-93,,
9:41.0,Shooting foul by J. Terry (drawn by C. Miles),,74-93,,
9:41.0,C. Miles makes free throw 1 of 1,1,75-93,,
9:23.0,,,75-93,,D. Motiejunas misses 2-pt shot from 9 ft
9:22.0,Defensive rebound by L. Scola,,75-93,,
9:16.0,D. Rudez misses 3-pt shot from 22 ft,,75-93,,
9:14.0,Offensive rebound by I. Mahinmi,,75-93,,
9:14.0,I. Mahinmi misses 2-pt shot from 1 ft,,75-93,,
9:12.0,Offensive rebound by I. Mahinmi,,75-93,,
9:12.0,I. Mahinmi makes 2-pt shot from 1 ft,2,77-93,,
9:00.0,,,77-93,,Turnover by K. Papanikolaou (lost ball; steal by C. Miles)
8:54.0,C. Miles makes 2-pt shot at rim,2,79-93,,
8:54.0,,,79-93,,Houston full timeout
8:54.0,,,79-93,,P. Beverley enters the game for C. Brewer
8:54.0,,,79-93,,J. Harden enters the game for J. Terry
8:38.0,,,79-95,2,J. Harden makes 2-pt shot from 1 ft
8:16.0,,,79-95,,Personal foul by D. Motiejunas (drawn by L. Scola)
8:16.0,S. Hill enters the game for C. Miles,,79-95,,
8:16.0,,,79-95,,D. Howard enters the game for D. Motiejunas
8:06.0,Shooting foul by D. Howard (drawn by S. Hill),,79-95,,
8:06.0,S. Hill makes free throw 1 of 2,1,80-95,,
8:06.0,S. Hill makes free throw 2 of 2,1,81-95,,
7:52.0,,,81-97,2,J. Harden makes 2-pt shot from 15 ft
7:52.0,Loose ball foul by L. Scola (drawn by D. Howard),,81-97,,
7:52.0,,,81-97,,D. Howard misses free throw 1 of 1
7:52.0,Defensive rebound by I. Mahinmi,,81-97,,
7:38.0,Turnover by D. Sloan (bad pass; steal by K. Papanikolaou),,81-97,,
7:34.0,,,81-97,,Turnover by K. Papanikolaou (bad pass; steal by D. Rudez)
7:27.0,L. Scola makes 2-pt shot from 2 ft (assist by D. Rudez),2,83-97,,
7:10.0,,,83-97,,D. Howard misses 2-pt shot from 1 ft
7:09.0,Defensive rebound by I. Mahinmi,,83-97,,
7:04.0,I. Mahinmi makes 2-pt shot at rim (assist by D. Rudez),2,85-97,,
6:48.0,,,85-97,,Shooting foul by D. Sloan (drawn by J. Harden)
6:48.0,,,85-98,1,J. Harden makes free throw 1 of 2
6:48.0,,,85-98,,T. Ariza enters the game for K. Papanikolaou
6:48.0,,,85-99,1,J. Harden makes free throw 2 of 2
6:36.0,D. Sloan misses 2-pt shot from 9 ft,,85-99,,
6:35.0,,,85-99,,Defensive rebound by J. Smith
6:31.0,,,85-99,,Offensive foul by D. Howard
6:31.0,,,85-99,,Turnover by D. Howard (offensive foul)
6:18.0,D. Rudez misses 2-pt shot from 18 ft,,85-99,,
6:17.0,,,85-99,,Defensive rebound by D. Howard
6:11.0,,,85-99,,J. Harden misses 3-pt shot from 25 ft
6:10.0,,,85-99,,Offensive rebound by J. Smith
6:01.0,,,85-99,,J. Smith misses 2-pt shot from 1 ft
6:00.0,Defensive rebound by I. Mahinmi,,85-99,,
5:55.0,D. Sloan makes 2-pt shot from 1 ft,2,87-99,,
5:41.0,,,87-99,,Shooting foul by L. Scola (drawn by D. Howard)
5:41.0,,,87-99,,Houston full timeout
5:41.0,C. Miles enters the game for D. Rudez,,87-99,,
5:41.0,,,87-99,,D. Howard misses free throw 1 of 2
5:41.0,,,87-99,,Offensive rebound by Team
5:41.0,,,87-99,,D. Howard misses free throw 2 of 2
5:41.0,,,87-99,,Offensive rebound by J. Smith
5:34.0,,,87-99,,T. Ariza misses 3-pt shot from 27 ft
5:33.0,Defensive rebound by C. Miles,,87-99,,
5:13.0,S. Hill misses 3-pt shot from 23 ft,,87-99,,
5:12.0,Offensive rebound by I. Mahinmi,,87-99,,
5:07.0,S. Hill makes 3-pt shot from 23 ft (assist by I. Mahinmi),3,90-99,,
4:50.0,,,90-101,2,J. Smith makes 2-pt shot from 2 ft (assist by J. Harden)
4:28.0,Turnover by S. Hill (bad pass),,90-101,,
4:11.0,,,90-101,,Shooting foul by D. Sloan (drawn by J. Harden)
4:11.0,,,90-102,1,J. Harden makes free throw 1 of 2
4:11.0,,,90-103,1,J. Harden makes free throw 2 of 2
3:49.0,Shooting foul by J. Smith (drawn by S. Hill),,90-103,,
3:49.0,S. Hill makes free throw 1 of 2,1,91-103,,
3:49.0,S. Hill makes free throw 2 of 2,1,92-103,,
3:32.0,,,92-103,,J. Smith misses 3-pt shot from 24 ft
3:31.0,Defensive rebound by C. Miles,,92-103,,
