time,Oklahoma City,pts.away,score,pts.home,Denver
4:58.0,S. Ibaka makes 3-pt shot from 25 ft (assist by S. Telfair),3,65-75,,
4:36.0,,,65-75,,A. Afflalo misses 3-pt shot from 25 ft
4:34.0,,,65-75,,Offensive rebound by W. Chandler
4:34.0,,,65-77,2,W. Chandler makes 2-pt shot from 2 ft
4:21.0,Turnover by K. Perkins (lost ball; steal by K. Faried),,65-77,,
4:15.0,,,65-79,2,T. Lawson makes 2-pt shot from 2 ft (assist by A. Afflalo)
4:09.0,Oklahoma City full timeout,,65-79,,
4:09.0,R. Jackson enters the game for N. Collison,,65-79,,
3:56.0,,,65-79,,Personal foul by T. Lawson (drawn by S. Telfair)
3:46.0,R. Jackson misses 3-pt shot from 26 ft,,65-79,,
3:45.0,Offensive rebound by K. Perkins,,65-79,,
3:41.0,,,65-79,,Personal block foul by T. Mozgov (drawn by S. Telfair)
3:31.0,S. Telfair makes 2-pt shot from 5 ft,2,67-79,,
3:07.0,,,67-81,2,A. Afflalo makes 2-pt shot from 7 ft
2:50.0,R. Jackson misses 2-pt shot from 16 ft,,67-81,,
2:50.0,Offensive rebound by Team,,67-81,,
2:50.0,,,67-81,,D. Gallinari enters the game for W. Chandler
2:42.0,A. Morrow makes 2-pt shot from 2 ft,2,69-81,,
2:17.0,,,69-81,,T. Lawson misses 2-pt shot from 2 ft
2:16.0,,,69-81,,Offensive rebound by K. Faried
2:15.0,,,69-83,2,K. Faried makes 2-pt shot at rim
1:49.0,R. Jackson misses 2-pt shot from 18 ft,,69-83,,
1:47.0,Offensive rebound by R. Jackson,,69-83,,
1:35.0,S. Telfair makes 3-pt shot from 25 ft (assist by K. Perkins),3,72-83,,
1:23.0,,,72-83,,Turnover by T. Lawson (bad pass)
1:07.0,R. Jackson misses 2-pt shot from 1 ft (block by T. Mozgov),,72-83,,
1:06.0,Offensive rebound by S. Ibaka,,72-83,,
1:05.0,,,72-83,,Personal foul by T. Mozgov (drawn by S. Ibaka)
1:05.0,,,72-83,,D. Arthur enters the game for A. Afflalo
1:05.0,,,72-83,,R. Foye enters the game for K. Faried
0:58.0,R. Jackson misses 2-pt shot from 18 ft,,72-83,,
0:57.0,,,72-83,,Defensive rebound by D. Gallinari
0:50.0,,,72-83,,D. Gallinari misses 3-pt shot from 26 ft
0:48.0,Defensive rebound by R. Jackson,,72-83,,
0:42.0,R. Jackson makes 2-pt shot from 5 ft,2,74-83,,
0:30.0,,,74-85,2,T. Mozgov makes 2-pt shot from 1 ft (assist by T. Lawson)
0:12.0,Turnover by S. Ibaka (bad pass; steal by D. Arthur),,74-85,,
0:07.0,,,74-85,,R. Foye misses 3-pt shot from 26 ft
0:04.0,,,74-85,,Offensive rebound by D. Gallinari
0:01.0,,,74-88,3,D. Gallinari makes 3-pt shot from 24 ft (assist by T. Lawson)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,,,74-90,2,R. Foye makes 2-pt shot from 22 ft (assist by D. Gallinari)
11:30.0,R. Jackson makes 2-pt shot at rim,2,76-90,,
11:21.0,Personal foul by K. Perkins (drawn by J. McGee),,76-90,,
11:09.0,,,76-90,,D. Gallinari misses 3-pt shot from 26 ft
11:09.0,Defensive rebound by Team,,76-90,,
11:00.0,,,76-90,,Personal foul by R. Foye (drawn by R. Jackson)
10:55.0,R. Jackson misses 2-pt shot from 18 ft,,76-90,,
10:52.0,Offensive rebound by R. Jackson,,76-90,,
10:45.0,S. Telfair makes 3-pt shot from 24 ft (assist by R. Jackson),3,79-90,,
10:28.0,,,79-90,,Shooting foul by R. Jackson (drawn by D. Gallinari)
10:28.0,,,79-90,,D. Gallinari misses free throw 1 of 2
10:28.0,,,79-90,,Offensive rebound by Team
10:28.0,,,79-91,1,D. Gallinari makes free throw 2 of 2
10:15.0,Shooting foul by D. Arthur (drawn by R. Jackson),,79-91,,
10:15.0,R. Jackson makes free throw 1 of 2,1,80-91,,
10:15.0,R. Jackson makes free throw 2 of 2,1,81-91,,
10:04.0,Personal foul by S. Telfair (drawn by N. Robinson),,81-91,,
9:50.0,,,81-94,3,R. Foye makes 3-pt shot from 26 ft (assist by D. Arthur)
9:36.0,Shooting foul by J. McGee (drawn by R. Jackson),,81-94,,
9:36.0,R. Jackson makes free throw 1 of 2,1,82-94,,
9:36.0,R. Jackson makes free throw 2 of 2,1,83-94,,
9:22.0,,,83-94,,R. Foye misses 3-pt shot from 24 ft
9:21.0,Defensive rebound by A. Morrow,,83-94,,
9:04.0,S. Ibaka misses 2-pt shot from 15 ft,,83-94,,
9:03.0,,,83-94,,Defensive rebound by D. Arthur
8:57.0,,,83-94,,D. Arthur misses 3-pt shot from 24 ft
8:55.0,Defensive rebound by S. Ibaka,,83-94,,
8:47.0,S. Ibaka makes 2-pt shot from 18 ft (assist by R. Jackson),2,85-94,,
8:47.0,,,85-94,,Denver full timeout
8:26.0,,,85-94,,D. Gallinari misses 3-pt shot from 25 ft
8:23.0,,,85-94,,Offensive rebound by N. Robinson
8:14.0,,,85-94,,R. Foye misses 3-pt shot from 26 ft
8:11.0,Defensive rebound by S. Ibaka,,85-94,,
7:56.0,Offensive foul by K. Perkins,,85-94,,
7:56.0,Turnover by K. Perkins (offensive foul),,85-94,,
7:44.0,,,85-94,,Turnover by R. Foye (bad pass; steal by R. Jackson)
7:33.0,A. Morrow misses 3-pt shot from 23 ft,,85-94,,
7:31.0,,,85-94,,Defensive rebound by R. Foye
7:20.0,,,85-94,,J. McGee misses 2-pt shot from 1 ft
7:19.0,Defensive rebound by K. Perkins,,85-94,,
7:13.0,Shooting foul by R. Foye (drawn by R. Jackson),,85-94,,
7:13.0,R. Jackson makes free throw 1 of 2,1,86-94,,
7:13.0,,,86-94,,T. Lawson enters the game for D. Gallinari
7:13.0,,,86-94,,A. Afflalo enters the game for R. Foye
7:13.0,,,86-94,,W. Chandler enters the game for J. McGee
7:13.0,,,86-94,,T. Mozgov enters the game for N. Robinson
7:13.0,R. Jackson makes free throw 2 of 2,1,87-94,,
6:57.0,N. Collison enters the game for S. Ibaka,,87-94,,
6:52.0,,,87-94,,W. Chandler misses 2-pt shot from 2 ft
6:50.0,,,87-94,,Offensive rebound by W. Chandler
6:50.0,,,87-96,2,W. Chandler makes 2-pt shot from 2 ft
6:38.0,R. Jackson misses 2-pt shot from 6 ft,,87-96,,
6:35.0,Offensive rebound by R. Jackson,,87-96,,
6:33.0,R. Jackson misses 2-pt shot from 2 ft (block by D. Arthur),,87-96,,
6:31.0,,,87-96,,Defensive rebound by T. Mozgov
6:22.0,S. Ibaka enters the game for K. Perkins,,87-96,,
6:10.0,,,87-96,,A. Afflalo misses 3-pt shot from 26 ft
6:09.0,Defensive rebound by S. Telfair,,87-96,,
5:50.0,A. Morrow makes 2-pt shot from 12 ft,2,89-96,,
5:37.0,,,89-96,,T. Lawson misses 2-pt shot from 14 ft
5:36.0,,,89-96,,Offensive rebound by D. Arthur
5:36.0,,,89-96,,Shooting foul by S. Ibaka (drawn by D. Arthur)
5:36.0,Official timeout,,89-96,,
5:36.0,,,89-97,1,D. Arthur makes free throw 1 of 2
5:36.0,,,89-98,1,D. Arthur makes free throw 2 of 2
5:14.0,N. Collison misses 3-pt shot from 24 ft,,89-98,,
5:12.0,,,89-98,,Defensive rebound by D. Arthur
4:58.0,,,89-98,,Turnover by W. Chandler (lost ball; steal by R. Jackson)
4:44.0,,,89-98,,Personal foul by A. Afflalo (drawn by A. Morrow)
4:44.0,A. Morrow makes free throw 1 of 2,1,90-98,,
4:44.0,,,90-98,,K. Faried enters the game for D. Arthur
4:44.0,A. Morrow makes free throw 2 of 2,1,91-98,,
4:27.0,,,91-98,,Shooting foul by S. Telfair (drawn by T. Lawson)
4:27.0,,,91-99,1,T. Lawson makes free throw 1 of 2
4:27.0,,,91-100,1,T. Lawson makes free throw 2 of 2
4:07.0,S. Telfair makes 3-pt shot from 25 ft,3,94-100,,
3:46.0,,,94-100,,Shooting foul by N. Collison (drawn by K. Faried)
3:46.0,,,94-101,1,K. Faried makes free throw 1 of 2
3:46.0,,,94-101,,K. Faried misses free throw 2 of 2
3:46.0,Defensive rebound by Team,,94-101,,
3:46.0,,,94-101,,Loose ball foul by T. Mozgov (drawn by N. Collison)
3:46.0,N. Collison misses free throw 1 of 2,,94-101,,
3:46.0,Offensive rebound by Team,,94-101,,
3:46.0,N. Collison makes free throw 2 of 2,1,95-101,,
3:29.0,,,95-101,,W. Chandler misses 2-pt shot from 1 ft
3:28.0,Defensive rebound by N. Collison,,95-101,,
3:19.0,S. Ibaka makes 3-pt shot from 24 ft (assist by R. Jackson),3,98-101,,
3:15.0,,,98-101,,Denver full timeout
3:02.0,,,98-101,,W. Chandler misses 3-pt shot from 24 ft
3:00.0,Defensive rebound by R. Jackson,,98-101,,
2:45.0,R. Jackson misses 3-pt shot from 25 ft,,98-101,,
2:42.0,,,98-101,,Defensive rebound by K. Faried
2:27.0,,,98-104,3,W. Chandler makes 3-pt shot from 25 ft (assist by T. Lawson)
2:02.0,S. Ibaka misses 2-pt shot from 7 ft,,98-104,,
2:01.0,,,98-104,,Defensive rebound by W. Chandler
1:42.0,,,98-107,3,A. Afflalo makes 3-pt shot from 22 ft (assist by T. Lawson)
1:42.0,Oklahoma City full timeout,,98-107,,
1:42.0,,,98-107,,D. Arthur enters the game for K. Faried
1:27.0,,,98-107,,Defensive rebound by T. Mozgov
1:09.0,,,98-107,,A. Afflalo misses 3-pt shot from 23 ft
1:07.0,Defensive rebound by S. Ibaka,,98-107,,
0:57.0,A. Morrow misses 3-pt shot from 25 ft,,98-107,,
