time,Atlanta,pts.away,score,pts.home,LA Clippers
9:47.0,J. Teague makes 3-pt shot from 26 ft (assist by K. Korver),3,53-49,,
9:34.0,,,53-51,2,J. Redick makes 2-pt shot from 20 ft (assist by C. Paul)
9:20.0,A. Horford makes 2-pt shot from 18 ft (assist by J. Teague),2,55-51,,
9:03.0,,,55-51,,J. Redick misses 2-pt shot from 18 ft
9:02.0,Defensive rebound by J. Teague,,55-51,,
8:54.0,A. Horford misses 2-pt shot from 16 ft,,55-51,,
8:53.0,,,55-51,,Defensive rebound by D. Jordan
8:49.0,,,55-53,2,B. Griffin makes 2-pt shot from 1 ft (assist by M. Barnes)
8:49.0,,,55-53,,Shooting foul by A. Horford (drawn by B. Griffin)
8:49.0,,,55-54,1,B. Griffin makes free throw 1 of 1
8:29.0,J. Teague makes 3-pt shot from 25 ft (assist by D. Carroll),3,58-54,,
8:17.0,Personal foul by D. Carroll (drawn by C. Paul),,58-54,,
8:04.0,,,58-56,2,M. Barnes makes 2-pt shot from 7 ft (assist by B. Griffin)
7:51.0,K. Korver misses 3-pt shot from 26 ft,,58-56,,
7:49.0,,,58-56,,Defensive rebound by C. Paul
7:47.0,,,58-56,,Shooting foul by J. Teague (drawn by C. Paul)
7:47.0,,,58-57,1,C. Paul makes free throw 1 of 2
7:47.0,,,58-58,1,C. Paul makes free throw 2 of 2
7:32.0,,,58-58,,Personal block foul by C. Paul (drawn by J. Teague)
7:22.0,A. Horford makes 2-pt shot from 4 ft (assist by J. Teague),2,60-58,,
7:08.0,,,60-58,,Offensive charge foul by C. Paul
7:08.0,,,60-58,,Turnover by C. Paul (offensive foul)
7:08.0,,,60-58,,J. Farmar enters the game for C. Paul
7:00.0,,,60-58,,Shooting block foul by J. Farmar (drawn by J. Teague)
7:00.0,J. Teague makes free throw 1 of 2,1,61-58,,
7:00.0,J. Teague makes free throw 2 of 2,1,62-58,,
6:48.0,Def 3 sec tech foul by A. Horford,,62-58,,
6:48.0,,,62-59,1,J. Redick makes technical free throw
6:39.0,,,62-61,2,B. Griffin makes 2-pt shot from 2 ft
6:22.0,P. Millsap makes 2-pt shot from 9 ft,2,64-61,,
5:59.0,,,64-61,,Shooting foul by P. Millsap (drawn by B. Griffin)
5:59.0,,,64-61,,LA Clippers full timeout
5:59.0,P. Antic enters the game for A. Horford,,64-61,,
5:59.0,,,64-62,1,B. Griffin makes free throw 1 of 2
5:59.0,,,64-62,,B. Griffin misses free throw 2 of 2
5:57.0,Defensive rebound by D. Carroll,,64-62,,
5:41.0,Shooting foul by D. Jordan (drawn by P. Millsap),,64-62,,
5:41.0,P. Millsap misses free throw 1 of 2,,64-62,,
5:41.0,Offensive rebound by Team,,64-62,,
5:41.0,T. Sefolosha enters the game for K. Korver,,64-62,,
5:41.0,P. Millsap makes free throw 2 of 2,1,65-62,,
5:17.0,,,65-64,2,M. Barnes makes 2-pt shot from 18 ft (assist by J. Farmar)
5:06.0,,,65-64,,Personal foul by J. Farmar (drawn by P. Antic)
5:06.0,P. Antic makes free throw 1 of 2,1,66-64,,
5:06.0,P. Antic makes free throw 2 of 2,1,67-64,,
4:51.0,,,67-64,,B. Griffin misses 2-pt shot from 2 ft
4:49.0,,,67-64,,Offensive rebound by M. Barnes
4:46.0,,,67-64,,Turnover by J. Redick (back court)
4:36.0,Turnover by J. Teague (lost ball),,67-64,,
4:36.0,Jump ball: D. Jordan vs. P. Millsap (B. Griffin gains possession),,,,Jump ball: D. Jordan vs. P. Millsap (B. Griffin gains possession)
4:26.0,,,67-64,,J. Redick misses 3-pt shot from 22 ft
4:26.0,,,67-64,,Offensive rebound by Team
4:26.0,,,67-64,,LA Clippers full timeout
4:09.0,,,67-64,,Turnover by M. Barnes (lost ball; steal by T. Sefolosha)
4:05.0,J. Teague misses 2-pt shot from 2 ft (block by M. Barnes),,67-64,,
4:04.0,,,67-64,,Defensive rebound by D. Jordan
3:58.0,,,67-64,,J. Farmar misses 3-pt shot from 25 ft
3:55.0,Defensive rebound by P. Millsap,,67-64,,
3:33.0,P. Millsap misses 2-pt shot from 15 ft,,67-64,,
3:31.0,,,67-64,,Defensive rebound by J. Farmar
3:20.0,,,67-66,2,J. Redick makes 2-pt shot from 14 ft (assist by B. Griffin)
3:10.0,J. Teague misses 2-pt shot from 2 ft (block by D. Jordan),,67-66,,
3:08.0,,,67-66,,Defensive rebound by B. Griffin
3:08.0,,,67-66,,Shooting foul by D. Carroll (drawn by B. Griffin)
3:08.0,,,67-67,1,B. Griffin makes free throw 1 of 2
3:08.0,,,67-67,,J. Crawford enters the game for M. Barnes
3:08.0,,,67-67,,S. Hawes enters the game for D. Jordan
3:08.0,,,67-67,,B. Griffin misses free throw 2 of 2
3:05.0,Defensive rebound by D. Carroll,,67-67,,
2:58.0,D. Carroll makes 2-pt shot from 1 ft (assist by J. Teague),2,69-67,,
2:46.0,,,69-67,,Turnover by S. Hawes (bad pass; steal by J. Teague)
2:39.0,D. Carroll makes 3-pt shot from 26 ft (assist by J. Teague),3,72-67,,
2:20.0,,,72-67,,J. Crawford misses 2-pt shot from 19 ft
2:18.0,Defensive rebound by P. Millsap,,72-67,,
2:12.0,J. Teague makes 2-pt shot from 2 ft,2,74-67,,
1:52.0,,,74-67,,Turnover by B. Griffin (3 sec)
1:52.0,,,74-67,,R. Bullock enters the game for J. Redick
1:33.0,J. Teague misses 3-pt shot from 26 ft,,74-67,,
1:32.0,Offensive rebound by J. Teague,,74-67,,
1:27.0,J. Teague misses 2-pt shot from 2 ft,,74-67,,
1:25.0,,,74-67,,Defensive rebound by B. Griffin
1:10.0,,,74-67,,Turnover by J. Crawford (bad pass; steal by T. Sefolosha)
1:10.0,Shooting foul by B. Griffin (drawn by D. Carroll),,74-67,,
1:10.0,D. Schroder enters the game for J. Teague,,74-67,,
1:10.0,D. Carroll makes free throw 1 of 2,1,75-67,,
1:10.0,A. Horford enters the game for P. Millsap,,75-67,,
1:10.0,D. Carroll misses free throw 2 of 2,,75-67,,
1:08.0,,,75-67,,Defensive rebound by R. Bullock
0:47.0,,,75-67,,B. Griffin misses 2-pt shot from 4 ft
0:45.0,Defensive rebound by T. Sefolosha,,75-67,,
0:33.0,A. Horford misses 2-pt shot from 5 ft,,75-67,,
0:33.0,Offensive rebound by Team,,75-67,,
0:33.0,,,75-67,,Loose ball foul by B. Griffin (drawn by P. Antic)
0:33.0,P. Antic misses free throw 1 of 2,,75-67,,
0:33.0,Offensive rebound by Team,,75-67,,
0:33.0,K. Bazemore enters the game for D. Carroll,,75-67,,
0:33.0,,,75-67,,D. Jordan enters the game for B. Griffin
0:33.0,P. Antic misses free throw 2 of 2,,75-67,,
0:29.0,,,75-67,,Defensive rebound by S. Hawes
0:13.0,,,75-69,2,J. Crawford makes 2-pt shot from 16 ft (assist by J. Farmar)
0:10.0,Atlanta full timeout,,75-69,,
0:10.0,,,75-69,,M. Barnes enters the game for J. Crawford
0:10.0,K. Korver enters the game for K. Bazemore,,75-69,,
0:01.0,P. Antic makes 2-pt shot from 1 ft (assist by K. Korver),2,77-69,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:37.0,,,77-72,3,J. Crawford makes 3-pt shot from 27 ft (assist by C. Paul)
11:20.0,P. Antic makes 3-pt shot from 24 ft (assist by D. Schroder),3,80-72,,
11:03.0,,,80-72,,S. Hawes misses 3-pt shot from 23 ft
11:02.0,Defensive rebound by T. Sefolosha,,80-72,,
10:45.0,D. Schroder makes 2-pt shot from 1 ft,2,82-72,,
10:38.0,,,82-72,,LA Clippers full timeout
10:38.0,,,82-72,,J. Redick enters the game for R. Bullock
10:30.0,,,82-74,2,C. Paul makes 2-pt shot from 13 ft
10:17.0,P. Antic misses 3-pt shot from 25 ft,,82-74,,
10:14.0,,,82-74,,Defensive rebound by D. Jordan
10:08.0,,,82-76,2,D. Jordan makes 2-pt shot from 1 ft (assist by C. Paul)
10:08.0,,,82-76,,Shooting foul by P. Antic (drawn by D. Jordan)
10:08.0,,,82-76,,D. Jordan misses free throw 1 of 1
10:06.0,Defensive rebound by T. Sefolosha,,82-76,,
9:46.0,A. Horford misses 2-pt shot from 18 ft,,82-76,,
9:44.0,Offensive rebound by D. Schroder,,82-76,,
9:33.0,D. Schroder makes 2-pt shot from 14 ft,2,84-76,,
9:23.0,Personal foul by D. Schroder (drawn by C. Paul),,84-76,,
9:12.0,,,84-76,,Turnover by S. Hawes (bad pass)
8:55.0,Shooting foul by S. Hawes (drawn by P. Antic),,84-76,,
8:55.0,Official timeout,,84-76,,
8:55.0,,,84-76,,B. Griffin enters the game for S. Hawes
8:55.0,P. Millsap enters the game for A. Horford,,84-76,,
8:55.0,P. Antic makes free throw 1 of 2,1,85-76,,
8:55.0,P. Antic makes free throw 2 of 2,1,86-76,,
8:39.0,,,86-76,,Shooting foul by T. Sefolosha (drawn by J. Crawford)
8:39.0,,,86-77,1,J. Crawford makes free throw 1 of 2
8:39.0,A. Horford enters the game for P. Antic,,86-77,,
8:39.0,,,86-78,1,J. Crawford makes free throw 2 of 2
8:30.0,D. Schroder makes 3-pt shot from 25 ft,3,89-78,,
8:06.0,,,89-78,,J. Crawford misses 3-pt shot from 25 ft
8:05.0,Defensive rebound by P. Millsap,,89-78,,
7:44.0,P. Millsap misses 3-pt shot from 24 ft,,89-78,,
7:43.0,,,89-78,,Defensive rebound by C. Paul
7:36.0,,,89-78,,Turnover by B. Griffin (lost ball; steal by P. Millsap)
7:30.0,A. Horford makes 2-pt shot at rim (assist by P. Millsap),2,91-78,,
7:16.0,,,91-78,,Turnover by C. Paul (lost ball; steal by D. Schroder)
7:12.0,P. Millsap makes 2-pt shot at rim (assist by D. Schroder),2,93-78,,
7:12.0,,,93-78,,LA Clippers full timeout
6:56.0,,,93-78,,Turnover by B. Griffin (traveling)
6:43.0,D. Schroder misses 2-pt shot from 3 ft (block by D. Jordan),,93-78,,
6:41.0,Offensive rebound by Team,,93-78,,
6:39.0,T. Sefolosha misses 2-pt shot at rim (block by J. Crawford),,93-78,,
6:39.0,Offensive rebound by Team,,93-78,,
6:35.0,P. Millsap misses 2-pt shot from 13 ft,,93-78,,
6:33.0,,,93-78,,Defensive rebound by D. Jordan
6:29.0,Personal foul by D. Schroder (drawn by C. Paul),,93-78,,
