time,Utah,pts.away,score,pts.home,Dallas
9:32.0,D. Favors makes 2-pt shot at rim (assist by E. Millsap),2,43-42,,
9:17.0,,,43-44,2,D. Nowitzki makes 2-pt shot from 19 ft (assist by J. Barea)
8:50.0,D. Exum misses 2-pt shot from 12 ft,,43-44,,
8:48.0,,,43-44,,Defensive rebound by D. Nowitzki
8:39.0,,,43-47,3,J. Barea makes 3-pt shot from 26 ft
8:15.0,G. Hayward misses 2-pt shot at rim,,43-47,,
8:14.0,Offensive rebound by G. Hayward,,43-47,,
8:14.0,G. Hayward misses 2-pt shot at rim,,43-47,,
8:13.0,Offensive rebound by Team,,43-47,,
8:13.0,T. Burke enters the game for D. Exum,,43-47,,
8:07.0,Turnover by G. Hayward (lost ball; steal by G. Smith),,43-47,,
8:02.0,,,43-49,2,J. Barea makes 2-pt shot from 2 ft (assist by C. Parsons)
7:48.0,,,43-49,,Personal block foul by M. Ellis (drawn by E. Millsap)
7:41.0,E. Kanter misses 2-pt shot from 22 ft,,43-49,,
7:39.0,,,43-49,,Defensive rebound by M. Ellis
7:30.0,,,43-49,,C. Parsons misses 2-pt shot from 2 ft
7:27.0,Defensive rebound by E. Kanter,,43-49,,
7:15.0,G. Hayward misses 2-pt shot from 4 ft,,43-49,,
7:14.0,Offensive rebound by E. Kanter,,43-49,,
7:14.0,E. Kanter misses 2-pt shot from 1 ft,,43-49,,
7:13.0,Offensive rebound by Team,,43-49,,
7:04.0,D. Favors misses 2-pt shot from 12 ft,,43-49,,
7:02.0,,,43-49,,Defensive rebound by D. Nowitzki
6:52.0,,,43-52,3,J. Barea makes 3-pt shot from 24 ft
6:46.0,Utah full timeout,,43-52,,
6:46.0,,,43-52,,A. Aminu enters the game for D. Nowitzki
6:37.0,T. Burke makes 3-pt shot from 23 ft (assist by G. Hayward),3,46-52,,
6:19.0,,,46-52,,A. Aminu misses 2-pt shot from 6 ft
6:18.0,Defensive rebound by E. Kanter,,46-52,,
6:18.0,,,46-52,,Personal foul by A. Aminu (drawn by E. Kanter)
6:18.0,R. Gobert enters the game for E. Kanter,,46-52,,
6:18.0,T. Booker enters the game for D. Favors,,46-52,,
6:02.0,E. Millsap misses 3-pt shot from 23 ft,,46-52,,
6:01.0,,,46-52,,Defensive rebound by A. Aminu
5:44.0,,,46-55,3,J. Barea makes 3-pt shot from 25 ft (assist by C. Parsons)
5:19.0,G. Hayward misses 3-pt shot from 27 ft,,46-55,,
5:17.0,,,46-55,,Defensive rebound by J. Barea
5:01.0,Personal foul by R. Gobert (drawn by C. Parsons),,46-55,,
4:51.0,,,46-55,,C. Parsons misses 2-pt shot from 21 ft
4:50.0,Defensive rebound by G. Hayward,,46-55,,
4:35.0,T. Booker misses 2-pt shot from 6 ft,,46-55,,
4:32.0,,,46-55,,Defensive rebound by C. Parsons
4:26.0,,,46-57,2,J. Barea makes 2-pt shot from 1 ft
4:00.0,T. Burke makes 3-pt shot from 25 ft (assist by G. Hayward),3,49-57,,
3:49.0,,,49-57,,Dallas full timeout
3:49.0,,,49-57,,C. Villanueva enters the game for C. Parsons
3:49.0,,,49-57,,B. James enters the game for G. Smith
3:40.0,,,49-57,,Shooting foul by E. Millsap (drawn by B. James)
3:40.0,,,49-58,1,B. James makes free throw 1 of 2
3:40.0,,,49-58,,B. James misses free throw 2 of 2
3:39.0,Defensive rebound by T. Booker,,49-58,,
3:22.0,G. Hayward makes 3-pt shot from 25 ft (assist by R. Gobert),3,52-58,,
3:06.0,,,52-58,,Turnover by M. Ellis (lost ball; steal by G. Hayward)
3:01.0,E. Millsap makes 2-pt shot from 2 ft (assist by T. Burke),2,54-58,,
2:39.0,,,54-60,2,J. Barea makes 2-pt shot from 13 ft
2:22.0,Shooting foul by M. Ellis (drawn by R. Gobert),,54-60,,
2:22.0,R. Gobert misses free throw 1 of 2,,54-60,,
2:22.0,Offensive rebound by Team,,54-60,,
2:22.0,,,54-60,,D. Harris enters the game for M. Ellis
2:22.0,,,54-60,,D. Nowitzki enters the game for C. Villanueva
2:22.0,R. Gobert misses free throw 2 of 2,,54-60,,
2:21.0,,,54-60,,Defensive rebound by D. Nowitzki
2:09.0,,,54-60,,J. Barea misses 3-pt shot from 25 ft
2:07.0,Defensive rebound by T. Burke,,54-60,,
1:44.0,Turnover by G. Hayward (lost ball; steal by D. Nowitzki),,54-60,,
1:25.0,,,54-60,,B. James misses 2-pt shot from 1 ft
1:22.0,,,54-60,,Offensive rebound by B. James
1:22.0,,,54-62,2,B. James makes 2-pt shot at rim
1:00.0,T. Burke misses 2-pt shot from 23 ft,,54-62,,
1:00.0,,,54-62,,Defensive rebound by D. Nowitzki
0:56.0,,,54-62,,Turnover by D. Nowitzki (bad pass)
0:35.0,E. Millsap misses 3-pt shot from 26 ft,,54-62,,
0:33.0,Offensive rebound by Team,,54-62,,
0:33.0,D. Favors enters the game for R. Gobert,,54-62,,
0:31.0,T. Booker makes 3-pt shot from 24 ft (assist by G. Hayward),3,57-62,,
0:08.0,,,57-62,,J. Barea misses 2-pt shot from 6 ft
0:06.0,,,57-62,,Offensive rebound by A. Aminu
0:04.0,,,57-64,2,A. Aminu makes 2-pt shot from 6 ft
0:02.0,Offensive foul by E. Millsap,,57-64,,
0:02.0,Turnover by E. Millsap (offensive foul),,57-64,,
0:02.0,,,57-64,,Turnover by D. Harris (bad pass; steal by T. Booker)
0:00.0,T. Booker misses 3-pt shot from 50 ft,,57-64,,
0:00.0,Offensive rebound by Team,,57-64,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,,,57-64,,D. Nowitzki misses 2-pt shot from 19 ft
11:46.0,Defensive rebound by R. Gobert,,57-64,,
11:25.0,D. Favors misses 2-pt shot from 6 ft (block by B. James),,57-64,,
11:25.0,Offensive rebound by Team,,57-64,,
11:22.0,T. Burke misses 3-pt shot from 23 ft,,57-64,,
11:21.0,,,57-64,,Defensive rebound by M. Ellis
11:12.0,Personal block foul by D. Favors (drawn by D. Harris),,57-64,,
10:57.0,,,57-67,3,D. Harris makes 3-pt shot from 29 ft (assist by M. Ellis)
10:44.0,T. Burke misses 2-pt shot from 3 ft,,57-67,,
10:42.0,Offensive rebound by Team,,57-67,,
10:40.0,Turnover by D. Favors (bad pass; steal by M. Ellis),,57-67,,
10:36.0,,,57-69,2,A. Aminu makes 2-pt shot at rim (assist by M. Ellis)
10:21.0,D. Exum makes 2-pt shot at rim,2,59-69,,
10:03.0,,,59-71,2,D. Nowitzki makes 2-pt shot from 18 ft (assist by D. Harris)
9:39.0,Shooting foul by D. Nowitzki (drawn by R. Gobert),,59-71,,
9:39.0,R. Gobert misses free throw 1 of 2,,59-71,,
9:39.0,Offensive rebound by Team,,59-71,,
9:39.0,,,59-71,,C. Villanueva enters the game for D. Nowitzki
9:39.0,R. Gobert misses free throw 2 of 2,,59-71,,
9:37.0,,,59-71,,Defensive rebound by A. Aminu
9:22.0,,,59-71,,D. Harris misses 3-pt shot from 25 ft
9:20.0,Defensive rebound by D. Favors,,59-71,,
9:06.0,Turnover by T. Burke (bad pass; steal by M. Ellis),,59-71,,
9:03.0,Shooting block foul by S. Novak (drawn by M. Ellis),,59-71,,
9:03.0,,,59-72,1,D. Harris makes free throw 1 of 2
9:03.0,T. Booker enters the game for R. Gobert,,59-72,,
9:03.0,,,59-72,,D. Harris misses free throw 2 of 2
9:02.0,Defensive rebound by D. Favors,,59-72,,
8:48.0,S. Novak makes 3-pt shot from 22 ft (assist by D. Exum),3,62-72,,
8:25.0,,,62-72,,A. Aminu misses 2-pt shot from 13 ft
8:24.0,Defensive rebound by S. Novak,,62-72,,
8:18.0,S. Novak makes 3-pt shot from 25 ft (assist by T. Burke),3,65-72,,
8:17.0,,,65-72,,Dallas full timeout
8:17.0,,,65-72,,C. Parsons enters the game for A. Aminu
8:03.0,,,65-72,,C. Villanueva misses 2-pt shot from 10 ft
8:00.0,Defensive rebound by T. Booker,,65-72,,
7:45.0,D. Exum misses 3-pt shot from 23 ft,,65-72,,
7:43.0,Offensive rebound by T. Booker,,65-72,,
7:43.0,Shooting foul by B. James (drawn by T. Booker),,65-72,,
7:43.0,T. Booker misses free throw 1 of 2,,65-72,,
7:43.0,Offensive rebound by Team,,65-72,,
7:43.0,,,65-72,,J. Barea enters the game for M. Ellis
7:43.0,,,65-72,,G. Smith enters the game for B. James
7:43.0,,,65-72,,D. Nowitzki enters the game for C. Villanueva
7:43.0,E. Millsap enters the game for T. Burke,,65-72,,
7:43.0,G. Hayward enters the game for S. Novak,,65-72,,
7:43.0,T. Booker makes free throw 2 of 2,1,66-72,,
7:21.0,,,66-72,,Shooting foul by G. Hayward (drawn by G. Smith)
7:21.0,,,66-73,1,G. Smith makes free throw 1 of 2
7:21.0,,,66-73,,G. Smith misses free throw 2 of 2
7:20.0,,,66-73,,Offensive rebound by D. Nowitzki
7:05.0,,,66-73,,D. Nowitzki misses 2-pt shot from 18 ft
7:04.0,,,66-73,,Offensive rebound by Team
6:57.0,Personal block foul by E. Millsap (drawn by J. Barea),,66-73,,
6:39.0,,,66-73,,D. Nowitzki misses 2-pt shot from 18 ft
6:38.0,Defensive rebound by G. Hayward,,66-73,,
6:25.0,,,66-73,,Personal block foul by G. Smith (drawn by T. Booker)
6:16.0,Turnover by T. Booker (lost ball),,66-73,,
6:04.0,,,66-73,,Shooting foul by D. Favors (drawn by G. Smith)
6:04.0,,,66-73,,G. Smith misses free throw 1 of 2
6:04.0,,,66-73,,Offensive rebound by Team
6:04.0,,,66-74,1,G. Smith makes free throw 2 of 2
5:54.0,Turnover by G. Hayward (bad pass; steal by C. Parsons),,66-74,,
5:34.0,,,66-74,,D. Nowitzki misses 2-pt shot from 7 ft
5:34.0,,,66-74,,Offensive rebound by D. Nowitzki
5:34.0,,,66-74,,Shooting foul by T. Booker (drawn by D. Nowitzki)
5:34.0,Official timeout,,66-74,,
5:34.0,R. Gobert enters the game for D. Exum,,66-74,,
5:34.0,T. Burke enters the game for T. Booker,,66-74,,
5:34.0,,,66-75,1,D. Nowitzki makes free throw 1 of 2
5:34.0,,,66-76,1,D. Nowitzki makes free throw 2 of 2
5:10.0,Turnover by Team (shot clock),,66-76,,
4:51.0,,,66-76,,D. Harris misses 3-pt shot from 25 ft
4:49.0,Defensive rebound by E. Millsap,,66-76,,
4:46.0,,,66-76,,Personal block foul by C. Parsons (drawn by E. Millsap)
4:46.0,,,66-76,,M. Ellis enters the game for D. Harris
4:33.0,D. Favors makes 2-pt shot from 5 ft,2,68-76,,
4:33.0,Shooting foul by G. Smith (drawn by D. Favors),,68-76,,
4:33.0,D. Favors makes free throw 1 of 1,1,69-76,,
4:15.0,,,69-78,2,D. Nowitzki makes 2-pt shot from 8 ft
4:15.0,,,69-78,,Shooting foul by E. Millsap (drawn by D. Nowitzki)
4:15.0,,,69-78,,B. James enters the game for G. Smith
4:15.0,,,69-79,1,D. Nowitzki makes free throw 1 of 1
4:04.0,T. Burke makes 3-pt shot from 25 ft (assist by E. Millsap),3,72-79,,
3:37.0,,,72-79,,J. Barea misses 3-pt shot from 24 ft
3:35.0,Defensive rebound by E. Millsap,,72-79,,
3:25.0,Shooting foul by D. Nowitzki (drawn by D. Favors),,72-79,,
3:25.0,D. Favors misses free throw 1 of 2,,72-79,,
3:25.0,Offensive rebound by Team,,72-79,,
3:25.0,D. Favors makes free throw 2 of 2,1,73-79,,
3:11.0,,,73-79,,D. Nowitzki misses 3-pt shot from 25 ft
3:10.0,Defensive rebound by T. Burke,,73-79,,
3:02.0,T. Burke misses 2-pt shot from 17 ft,,73-79,,
