time,Atlanta,pts.away,score,pts.home,New Orleans
1:51.0,D. Schroder makes free throw 1 of 2,1,18-27,,
1:51.0,A. Horford enters the game for P. Antic,,18-27,,
1:51.0,K. Korver enters the game for K. Bazemore,,18-27,,
1:51.0,M. Scott enters the game for P. Millsap,,18-27,,
1:51.0,D. Schroder makes free throw 2 of 2,1,19-27,,
1:41.0,,,19-27,,A. Davis misses 2-pt shot from 17 ft
1:40.0,Defensive rebound by D. Schroder,,19-27,,
1:25.0,D. Schroder misses 3-pt shot from 24 ft,,19-27,,
1:24.0,,,19-27,,Defensive rebound by Q. Pondexter
1:05.0,,,19-27,,T. Evans misses 2-pt shot from 12 ft
1:03.0,Defensive rebound by M. Scott,,19-27,,
0:57.0,M. Scott makes 3-pt shot from 25 ft (assist by D. Schroder),3,22-27,,
0:43.0,,,22-29,2,T. Evans makes 2-pt shot from 2 ft
0:34.0,M. Scott misses 3-pt shot from 25 ft,,22-29,,
0:33.0,Offensive rebound by A. Horford,,22-29,,
0:13.0,D. Schroder misses 2-pt shot from 1 ft,,22-29,,
0:12.0,,,22-29,,Defensive rebound by T. Evans
0:06.0,,,22-32,3,Q. Pondexter makes 3-pt shot from 23 ft (assist by T. Evans)
0:02.0,M. Scott misses 3-pt shot from 25 ft,,22-32,,
0:01.0,,,22-32,,Defensive rebound by Team
0:00.0,,,22-32,,Q. Pondexter misses 3-pt shot from 49 ft
0:00.0,,,22-32,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,,,22-32,,Turnover by J. Fredette (lost ball; steal by A. Horford)
11:42.0,Turnover by A. Horford (lost ball; steal by J. Fredette),,22-32,,
11:32.0,,,22-34,2,A. Davis makes 2-pt shot from 1 ft (assist by Q. Pondexter)
11:20.0,M. Scott misses 3-pt shot from 25 ft,,22-34,,
11:19.0,,,22-34,,Defensive rebound by A. Davis
11:12.0,,,22-34,,A. Davis misses 2-pt shot at rim
11:10.0,,,22-34,,Offensive rebound by J. Fredette
11:04.0,,,22-34,,J. Salmons misses 3-pt shot from 22 ft
11:02.0,Defensive rebound by D. Carroll,,22-34,,
10:43.0,M. Scott makes 2-pt shot from 1 ft (assist by A. Horford),2,24-34,,
10:17.0,,,24-34,,Q. Pondexter misses 3-pt shot from 23 ft
10:16.0,,,24-34,,Offensive rebound by A. Davis
10:16.0,,,24-36,2,A. Davis makes 2-pt shot at rim
9:55.0,A. Horford makes 2-pt shot from 17 ft (assist by D. Schroder),2,26-36,,
9:35.0,,,26-36,,Turnover by J. Fredette (bad pass; steal by A. Horford)
9:35.0,,,26-36,,Loose ball foul by A. Davis (drawn by D. Schroder)
9:35.0,,,26-36,,O. Asik enters the game for A. Davis
9:35.0,J. Jenkins enters the game for D. Carroll,,26-36,,
9:22.0,M. Scott misses 3-pt shot from 26 ft,,26-36,,
9:21.0,,,26-36,,Defensive rebound by O. Asik
9:07.0,,,26-36,,Turnover by J. Fredette (bad pass)
8:57.0,K. Korver misses 2-pt shot from 16 ft,,26-36,,
8:56.0,,,26-36,,Defensive rebound by O. Asik
8:36.0,,,26-36,,R. Anderson misses 2-pt shot from 13 ft
8:35.0,Defensive rebound by A. Horford,,26-36,,
8:19.0,D. Schroder misses 2-pt shot from 9 ft (block by J. Fredette),,26-36,,
8:18.0,Offensive rebound by D. Schroder,,26-36,,
8:13.0,D. Schroder misses 3-pt shot from 23 ft,,26-36,,
8:12.0,,,26-36,,Defensive rebound by Q. Pondexter
8:07.0,,,26-36,,New Orleans full timeout
8:07.0,J. Teague enters the game for D. Schroder,,26-36,,
8:07.0,,,26-36,,E. Gordon enters the game for J. Salmons
7:58.0,,,26-36,,J. Fredette misses 3-pt shot from 23 ft
7:57.0,Defensive rebound by J. Teague,,26-36,,
7:51.0,J. Teague makes 2-pt shot from 4 ft,2,28-36,,
7:29.0,,,28-36,,Shooting foul by J. Teague (drawn by J. Fredette)
7:29.0,,,28-37,1,J. Fredette makes free throw 1 of 2
7:29.0,P. Millsap enters the game for A. Horford,,28-37,,
7:29.0,,,28-38,1,J. Fredette makes free throw 2 of 2
7:11.0,P. Millsap misses 2-pt shot from 5 ft,,28-38,,
7:10.0,,,28-38,,Defensive rebound by O. Asik
7:04.0,,,28-38,,Shooting foul by M. Scott (drawn by E. Gordon)
7:04.0,,,28-39,1,E. Gordon makes free throw 1 of 2
7:04.0,,,28-40,1,E. Gordon makes free throw 2 of 2
6:53.0,Turnover by K. Korver (bad pass),,28-40,,
6:53.0,K. Bazemore enters the game for K. Korver,,28-40,,
6:38.0,,,28-40,,R. Anderson misses 3-pt shot from 25 ft
6:37.0,Defensive rebound by M. Scott,,28-40,,
6:27.0,J. Jenkins makes 2-pt shot from 2 ft (assist by J. Teague),2,30-40,,
6:12.0,,,30-42,2,Q. Pondexter makes 2-pt shot from 2 ft (assist by E. Gordon)
5:59.0,J. Teague misses 2-pt shot from 1 ft,,30-42,,
5:58.0,,,30-42,,Defensive rebound by R. Anderson
5:47.0,,,30-42,,R. Anderson misses 3-pt shot from 25 ft
5:46.0,Defensive rebound by K. Bazemore,,30-42,,
5:39.0,K. Bazemore makes 2-pt shot from 7 ft,2,32-42,,
5:39.0,Shooting foul by R. Anderson (drawn by K. Bazemore),,32-42,,
5:39.0,Official timeout,,32-42,,
5:39.0,D. Carroll enters the game for J. Jenkins,,32-42,,
5:39.0,,,32-42,,A. Davis enters the game for R. Anderson
5:39.0,,,32-42,,T. Evans enters the game for J. Fredette
5:39.0,K. Bazemore makes free throw 1 of 1,1,33-42,,
5:18.0,,,33-42,,E. Gordon misses 3-pt shot from 23 ft
5:16.0,,,33-42,,Offensive rebound by A. Davis
5:15.0,,,33-44,2,A. Davis makes 2-pt shot at rim
4:56.0,P. Millsap makes 2-pt shot from 1 ft,2,35-44,,
4:36.0,,,35-44,,Q. Pondexter misses 2-pt shot from 3 ft (block by P. Millsap)
4:34.0,Defensive rebound by K. Bazemore,,35-44,,
4:15.0,J. Teague makes 2-pt shot from 2 ft,2,37-44,,
4:02.0,Violation by K. Bazemore (kicked ball),,37-44,,
4:02.0,,,37-44,,D. Cunningham enters the game for Q. Pondexter
3:53.0,Personal foul by D. Carroll (drawn by A. Davis),,37-44,,
3:48.0,,,37-46,2,A. Davis makes 2-pt shot from 8 ft (assist by E. Gordon)
3:37.0,Shooting foul by O. Asik (drawn by P. Millsap),,37-46,,
3:37.0,P. Millsap misses free throw 1 of 2,,37-46,,
3:37.0,Offensive rebound by Team,,37-46,,
3:37.0,A. Horford enters the game for M. Scott,,37-46,,
3:37.0,P. Millsap makes free throw 2 of 2,1,38-46,,
3:20.0,,,38-46,,Turnover by O. Asik (lost ball)
3:11.0,J. Teague makes 2-pt shot from 1 ft,2,40-46,,
2:53.0,,,40-48,2,A. Davis makes 2-pt shot from 19 ft (assist by D. Cunningham)
2:25.0,J. Teague misses 2-pt shot from 21 ft (block by A. Davis),,40-48,,
2:24.0,,,40-48,,Defensive rebound by A. Davis
2:17.0,,,40-48,,T. Evans misses 2-pt shot from 2 ft
2:15.0,Defensive rebound by P. Millsap,,40-48,,
2:07.0,Atlanta full timeout,,40-48,,
2:07.0,K. Korver enters the game for K. Bazemore,,40-48,,
2:07.0,,,40-48,,R. Anderson enters the game for A. Davis
1:57.0,P. Millsap misses 2-pt shot from 2 ft (block by R. Anderson),,40-48,,
1:55.0,,,40-48,,Defensive rebound by T. Evans
1:35.0,,,40-50,2,R. Anderson makes 2-pt shot from 2 ft (assist by E. Gordon)
1:20.0,D. Carroll misses 3-pt shot from 25 ft,,40-50,,
1:18.0,,,40-50,,Defensive rebound by O. Asik
1:11.0,,,40-50,,Shooting foul by K. Korver (drawn by O. Asik)
1:11.0,,,40-51,1,O. Asik makes free throw 1 of 2
1:11.0,,,40-51,,Q. Pondexter enters the game for E. Gordon
1:11.0,,,40-52,1,O. Asik makes free throw 2 of 2
0:58.0,K. Korver makes 2-pt shot from 20 ft (assist by J. Teague),2,42-52,,
0:36.0,,,42-54,2,T. Evans makes 2-pt shot from 7 ft (assist by O. Asik)
0:32.0,J. Teague misses 3-pt shot from 26 ft,,42-54,,
0:31.0,,,42-54,,Defensive rebound by Team
0:30.0,,,42-54,,A. Davis enters the game for O. Asik
0:30.0,,,42-54,,E. Gordon enters the game for D. Cunningham
0:30.0,K. Bazemore enters the game for K. Korver,,42-54,,
0:08.0,,,42-54,,E. Gordon misses 3-pt shot from 25 ft
0:07.0,,,42-54,,Offensive rebound by A. Davis
0:06.0,Personal foul by A. Horford (drawn by A. Davis),,42-54,,
0:06.0,,,42-55,1,A. Davis makes free throw 1 of 2
0:06.0,,,42-55,,O. Asik enters the game for R. Anderson
0:06.0,Atlanta full timeout,,42-55,,
0:06.0,,,42-55,,D. Cunningham enters the game for E. Gordon
0:06.0,K. Korver enters the game for K. Bazemore,,42-55,,
0:06.0,,,42-55,,A. Davis misses free throw 2 of 2
0:06.0,Defensive rebound by A. Horford,,42-55,,
0:00.0,A. Horford misses 3-pt shot from 25 ft,,42-55,,
0:00.0,Offensive rebound by Team,,42-55,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,,,42-57,2,D. Cunningham makes 2-pt shot from 19 ft (assist by E. Gordon)
11:32.0,Shooting foul by E. Gordon (drawn by P. Millsap),,42-57,,
11:32.0,P. Millsap makes free throw 1 of 2,1,43-57,,
11:32.0,P. Millsap makes free throw 2 of 2,1,44-57,,
11:15.0,,,44-57,,A. Davis misses 2-pt shot from 14 ft
11:14.0,Defensive rebound by K. Korver,,44-57,,
11:04.0,K. Korver makes 3-pt shot from 23 ft (assist by A. Horford),3,47-57,,
10:45.0,Violation by D. Carroll (kicked ball),,47-57,,
10:36.0,,,47-60,3,E. Gordon makes 3-pt shot from 23 ft (assist by T. Evans)
10:25.0,D. Carroll makes 3-pt shot from 25 ft (assist by A. Horford),3,50-60,,
10:09.0,,,50-60,,Turnover by E. Gordon (lost ball; steal by J. Teague)
9:47.0,D. Carroll makes 3-pt shot from 25 ft (assist by J. Teague),3,53-60,,
9:38.0,,,53-60,,New Orleans full timeout
9:32.0,,,53-60,,A. Davis misses 2-pt shot from 2 ft
9:30.0,Defensive rebound by J. Teague,,53-60,,
9:28.0,J. Teague misses 2-pt shot from 2 ft (block by E. Gordon),,53-60,,
9:28.0,Offensive rebound by Team,,53-60,,
9:19.0,P. Millsap misses 2-pt shot from 2 ft,,53-60,,
9:18.0,,,53-60,,Defensive rebound by E. Gordon
9:03.0,,,53-62,2,D. Cunningham makes 2-pt shot from 5 ft (assist by T. Evans)
8:39.0,A. Horford misses 2-pt shot from 11 ft,,53-62,,
8:38.0,,,53-62,,Defensive rebound by D. Cunningham
8:32.0,,,53-64,2,E. Gordon makes 2-pt shot from 15 ft
8:08.0,Shooting foul by E. Gordon (drawn by P. Millsap),,53-64,,
8:08.0,P. Millsap makes free throw 1 of 2,1,54-64,,
8:08.0,,,54-64,,Q. Pondexter enters the game for E. Gordon
8:08.0,P. Millsap makes free throw 2 of 2,1,55-64,,
7:44.0,,,55-67,3,T. Evans makes 3-pt shot from 24 ft (assist by A. Davis)
7:28.0,P. Millsap makes 2-pt shot from 1 ft (assist by K. Korver),2,57-67,,
7:09.0,,,57-69,2,D. Cunningham makes 2-pt shot from 21 ft (assist by T. Evans)
6:53.0,J. Teague makes 2-pt shot from 1 ft,2,59-69,,
6:38.0,Personal foul by P. Millsap (drawn by T. Evans),,59-69,,
6:38.0,Technical foul by P. Millsap (drawn by T. Evans),,59-69,,
6:38.0,,,59-69,,A. Davis misses technical free throw
6:38.0,,,59-69,,Offensive rebound by Team
6:38.0,K. Bazemore enters the game for D. Carroll,,59-69,,
6:30.0,,,59-69,,O. Asik misses 2-pt shot at rim (block by P. Millsap)
6:28.0,,,59-69,,Offensive rebound by Q. Pondexter
6:25.0,,,59-69,,Shooting foul by P. Millsap (drawn by D. Cunningham)
6:25.0,,,59-70,1,D. Cunningham makes free throw 1 of 2
6:25.0,,,59-71,1,D. Cunningham makes free throw 2 of 2
6:12.0,Turnover by J. Teague (lost ball; steal by T. Evans),,59-71,,
6:08.0,,,59-73,2,D. Cunningham makes 2-pt shot at rim (assist by T. Evans)
6:06.0,Atlanta full timeout,,59-73,,
5:51.0,K. Korver makes 3-pt shot from 26 ft (assist by P. Millsap),3,62-73,,
5:29.0,,,62-75,2,A. Davis makes 2-pt shot from 17 ft (assist by T. Evans)
5:06.0,K. Korver makes 2-pt shot from 20 ft,2,64-75,,
4:49.0,,,64-77,2,A. Davis makes 2-pt shot at rim (assist by T. Evans)
4:28.0,P. Millsap misses 2-pt shot from 3 ft (block by A. Davis),,64-77,,
4:27.0,,,64-77,,Defensive rebound by O. Asik
4:18.0,,,64-79,2,T. Evans makes 2-pt shot from 2 ft
4:07.0,J. Teague makes 2-pt shot from 1 ft,2,66-79,,
3:46.0,,,66-79,,T. Evans misses 3-pt shot from 24 ft
3:45.0,Defensive rebound by A. Horford,,66-79,,
3:36.0,Shooting foul by Q. Pondexter (drawn by J. Teague),,66-79,,
3:36.0,J. Teague makes free throw 1 of 2,1,67-79,,
3:36.0,P. Antic enters the game for A. Horford,,67-79,,
3:36.0,,,67-79,,R. Anderson enters the game for O. Asik
3:36.0,J. Teague makes free throw 2 of 2,1,68-79,,
3:18.0,,,68-79,,Turnover by Q. Pondexter (traveling)
3:18.0,D. Schroder enters the game for J. Teague,,68-79,,
3:08.0,Turnover by P. Antic (bad pass; steal by T. Evans),,68-79,,
3:00.0,,,68-79,,D. Cunningham misses 2-pt shot from 20 ft
2:58.0,,,68-79,,Offensive rebound by A. Davis
2:55.0,,,68-81,2,A. Davis makes 2-pt shot at rim
2:45.0,K. Korver misses 2-pt shot from 3 ft (block by D. Cunningham),,68-81,,
2:44.0,,,68-81,,Defensive rebound by R. Anderson
2:38.0,,,68-81,,Q. Pondexter misses 2-pt shot from 1 ft (block by P. Antic)
2:37.0,,,68-81,,Offensive rebound by T. Evans
2:34.0,,,68-81,,T. Evans misses 2-pt shot from 1 ft
2:33.0,,,68-81,,Offensive rebound by A. Davis
2:33.0,,,68-81,,A. Davis misses 2-pt shot from 2 ft
2:32.0,,,68-81,,Offensive rebound by T. Evans
2:31.0,,,68-81,,New Orleans full timeout
2:31.0,,,68-81,,J. Fredette enters the game for D. Cunningham
2:31.0,D. Carroll enters the game for K. Korver,,68-81,,
2:25.0,,,68-81,,A. Davis misses 2-pt shot from 1 ft
2:23.0,,,68-81,,Offensive rebound by R. Anderson
2:23.0,,,68-83,2,R. Anderson makes 2-pt shot from 1 ft
2:05.0,D. Carroll misses 3-pt shot from 25 ft,,68-83,,
2:03.0,Offensive rebound by P. Millsap,,68-83,,
2:01.0,P. Millsap makes 2-pt shot from 2 ft,2,70-83,,
1:41.0,,,70-83,,R. Anderson misses 3-pt shot from 25 ft
1:39.0,,,70-83,,Offensive rebound by A. Davis
1:38.0,,,70-83,,Turnover by Q. Pondexter (lost ball)
1:38.0,,,70-83,,J. Salmons enters the game for T. Evans
1:29.0,D. Schroder makes 2-pt shot from 2 ft,2,72-83,,
1:06.0,,,72-85,2,A. Davis makes 2-pt shot from 14 ft (assist by J. Salmons)
0:54.0,,,72-85,,Personal foul by J. Fredette (drawn by D. Schroder)
0:45.0,K. Bazemore misses 3-pt shot from 26 ft,,72-85,,
0:44.0,,,72-85,,Defensive rebound by A. Davis
0:23.0,,,72-85,,Shooting foul by P. Antic (drawn by R. Anderson)
0:23.0,Technical foul by P. Antic (drawn by R. Anderson),,72-85,,
0:23.0,,,72-86,1,R. Anderson makes technical free throw
0:23.0,,,72-87,1,R. Anderson makes free throw 1 of 2
0:23.0,M. Scott enters the game for P. Antic,,72-87,,
0:23.0,,,72-87,,O. Asik enters the game for A. Davis
0:23.0,,,72-88,1,R. Anderson makes free throw 2 of 2
0:04.0,D. Schroder makes 2-pt shot from 1 ft,2,74-88,,
0:00.0,,,74-88,,J. Fredette misses 3-pt shot from 25 ft
0:00.0,,,74-88,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:49.0,D. Schroder misses 2-pt shot from 4 ft (block by J. Fredette),,74-88,,
11:47.0,Offensive rebound by Team,,74-88,,
11:47.0,,,74-88,,Loose ball foul by J. Fredette (drawn by D. Schroder)
11:42.0,D. Schroder misses 2-pt shot from 2 ft,,74-88,,
11:41.0,,,74-88,,Defensive rebound by O. Asik
11:31.0,,,74-88,,Turnover by J. Salmons (bad pass; steal by M. Scott)
11:26.0,D. Schroder makes 2-pt shot at rim,2,76-88,,
11:05.0,,,76-88,,R. Anderson misses 2-pt shot from 7 ft
11:04.0,Defensive rebound by M. Scott,,76-88,,
10:52.0,A. Horford makes 2-pt shot from 12 ft,2,78-88,,
10:27.0,,,78-90,2,J. Fredette makes 2-pt shot from 2 ft
10:14.0,D. Schroder misses 2-pt shot from 8 ft,,78-90,,
10:11.0,Offensive rebound by A. Horford,,78-90,,
10:09.0,A. Horford misses 2-pt shot from 2 ft,,78-90,,
10:08.0,,,78-90,,Defensive rebound by O. Asik
9:56.0,,,78-90,,Q. Pondexter misses 3-pt shot from 24 ft
9:54.0,Defensive rebound by J. Jenkins,,78-90,,
9:49.0,,,78-90,,Personal foul by Q. Pondexter (drawn by D. Schroder)
9:49.0,,,78-90,,E. Gordon enters the game for J. Salmons
9:32.0,D. Schroder misses 2-pt shot from 4 ft (block by Q. Pondexter),,78-90,,
9:32.0,,,78-90,,Defensive rebound by Team
9:19.0,,,78-90,,J. Fredette misses 3-pt shot from 23 ft
9:18.0,Defensive rebound by Team,,78-90,,
9:18.0,K. Korver enters the game for D. Carroll,,78-90,,
9:03.0,M. Scott misses 2-pt shot from 2 ft (block by O. Asik),,78-90,,
9:02.0,,,78-90,,Defensive rebound by O. Asik
8:56.0,,,78-93,3,E. Gordon makes 3-pt shot from 24 ft (assist by J. Fredette)
8:55.0,Atlanta full timeout,,78-93,,
8:55.0,J. Teague enters the game for D. Schroder,,78-93,,
8:39.0,A. Horford misses 2-pt shot from 4 ft,,78-93,,
8:37.0,Offensive rebound by A. Horford,,78-93,,
8:35.0,A. Horford misses 2-pt shot from 5 ft,,78-93,,
8:33.0,,,78-93,,Defensive rebound by O. Asik
8:11.0,,,78-93,,Q. Pondexter misses 3-pt shot from 25 ft
8:10.0,,,78-93,,Offensive rebound by Team
8:04.0,,,78-93,,E. Gordon misses 2-pt shot from 5 ft
8:01.0,Defensive rebound by K. Korver,,78-93,,
7:55.0,J. Jenkins misses 2-pt shot from 10 ft,,78-93,,
7:53.0,,,78-93,,Defensive rebound by J. Fredette
7:42.0,Personal foul by J. Jenkins (drawn by J. Fredette),,78-93,,
7:42.0,P. Millsap enters the game for A. Horford,,78-93,,
7:31.0,,,78-95,2,Q. Pondexter makes 2-pt shot from 2 ft (assist by J. Fredette)
7:16.0,J. Jenkins makes 2-pt shot from 23 ft (assist by J. Teague),2,80-95,,
7:03.0,,,80-95,,Shooting foul by J. Teague (drawn by O. Asik)
7:03.0,,,80-95,,O. Asik misses free throw 1 of 2
7:03.0,,,80-95,,Offensive rebound by Team
7:03.0,,,80-96,1,O. Asik makes free throw 2 of 2
6:56.0,P. Millsap makes 2-pt shot from 2 ft (assist by J. Teague),2,82-96,,
6:39.0,,,82-99,3,J. Fredette makes 3-pt shot from 25 ft (assist by E. Gordon)
6:27.0,P. Millsap misses 3-pt shot from 26 ft,,82-99,,
6:26.0,,,82-99,,Defensive rebound by E. Gordon
6:06.0,,,82-99,,E. Gordon misses 2-pt shot from 2 ft
6:05.0,,,82-99,,Offensive rebound by O. Asik
6:05.0,,,82-99,,O. Asik misses 2-pt shot from 1 ft
6:04.0,,,82-99,,Offensive rebound by O. Asik
6:03.0,,,82-101,2,O. Asik makes 2-pt shot at rim
5:44.0,J. Teague makes 2-pt shot from 2 ft,2,84-101,,
5:21.0,,,84-103,2,E. Gordon makes 2-pt shot from 2 ft
5:07.0,J. Teague misses 2-pt shot from 2 ft,,84-103,,
5:06.0,Offensive rebound by P. Millsap,,84-103,,
5:06.0,P. Millsap misses 2-pt shot from 1 ft,,84-103,,
5:05.0,,,84-103,,Defensive rebound by R. Anderson
4:57.0,Personal foul by J. Teague (drawn by J. Fredette),,84-103,,
4:57.0,Official timeout,,84-103,,
4:57.0,,,84-103,,T. Evans enters the game for O. Asik
4:57.0,,,84-103,,A. Davis enters the game for J. Fredette
4:57.0,K. Bazemore enters the game for P. Millsap,,84-103,,
4:57.0,D. Schroder enters the game for K. Korver,,84-103,,
4:57.0,M. Muscala enters the game for J. Teague,,84-103,,
4:45.0,,,84-103,,A. Davis misses 2-pt shot from 17 ft
4:44.0,Defensive rebound by K. Bazemore,,84-103,,
4:32.0,K. Bazemore makes 2-pt shot from 6 ft (assist by D. Schroder),2,86-103,,
4:13.0,,,86-105,2,T. Evans makes 2-pt shot from 2 ft (assist by A. Davis)
3:50.0,J. Jenkins misses 2-pt shot from 21 ft,,86-105,,
3:50.0,Offensive rebound by M. Muscala,,86-105,,
3:50.0,,,86-105,,Violation by A. Davis (def goaltending)
3:50.0,M. Muscala makes 2-pt shot at rim,2,88-105,,
3:35.0,,,88-107,2,R. Anderson makes 2-pt shot from 21 ft (assist by E. Gordon)
3:15.0,M. Scott makes 2-pt shot from 7 ft (assist by D. Schroder),2,90-107,,
3:15.0,Shooting foul by Q. Pondexter (drawn by M. Scott),,90-107,,
3:15.0,M. Scott makes free throw 1 of 1,1,91-107,,
3:00.0,,,91-107,,T. Evans misses 2-pt shot from 1 ft
2:59.0,,,91-107,,Offensive rebound by A. Davis
2:59.0,,,91-107,,A. Davis misses 2-pt shot from 1 ft
2:59.0,,,91-107,,Offensive rebound by Q. Pondexter
2:56.0,,,91-107,,Turnover by Q. Pondexter (lost ball)
2:56.0,,,91-107,,New Orleans full timeout
