time,Washington,pts.away,score,pts.home,Golden State
2:33.0,,,16-20,,Turnover by S. Curry (lost ball)
2:23.0,J. Wall makes 2-pt shot from 17 ft,2,18-20,,
1:58.0,,,18-20,,D. Lee misses 2-pt shot from 16 ft
1:56.0,,,18-20,,Offensive rebound by F. Ezeli
1:54.0,,,18-20,,F. Ezeli misses 2-pt shot from 1 ft
1:54.0,,,18-20,,Offensive rebound by F. Ezeli
1:54.0,,,18-20,,Shooting foul by D. Gooden (drawn by F. Ezeli)
1:54.0,,,18-21,1,F. Ezeli makes free throw 1 of 2
1:54.0,,,18-22,1,F. Ezeli makes free throw 2 of 2
1:43.0,J. Wall makes 2-pt shot from 19 ft,2,20-22,,
1:31.0,,,20-22,,Turnover by D. Lee (bad pass; steal by M. Gortat)
1:23.0,J. Wall misses 2-pt shot from 18 ft,,20-22,,
1:22.0,,,20-22,,Defensive rebound by F. Ezeli
1:13.0,,,20-24,2,S. Curry makes 2-pt shot from 19 ft
1:01.0,D. Gooden makes 2-pt shot at rim (assist by M. Webster),2,22-24,,
0:43.0,,,22-26,2,L. Barbosa makes 2-pt shot from 1 ft (assist by A. Iguodala)
0:31.0,D. Gooden misses 2-pt shot from 18 ft,,22-26,,
0:29.0,,,22-26,,Defensive rebound by F. Ezeli
0:09.0,,,22-26,,L. Barbosa misses 2-pt shot from 2 ft
0:08.0,,,22-26,,Offensive rebound by D. Lee
0:08.0,,,22-26,,D. Lee misses 2-pt shot from 1 ft
0:08.0,,,22-26,,Offensive rebound by D. Lee
0:08.0,,,22-26,,Shooting foul by D. Gooden (drawn by D. Lee)
0:08.0,,,22-27,1,D. Lee makes free throw 1 of 2
0:08.0,,,22-27,,H. Barnes enters the game for F. Ezeli
0:08.0,B. Beal enters the game for R. Sessions,,22-27,,
0:08.0,,,22-27,,D. Lee misses free throw 2 of 2
0:07.0,Defensive rebound by D. Gooden,,22-27,,
0:00.0,J. Wall makes 2-pt shot from 16 ft,2,24-27,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,Turnover by M. Webster (lost ball; steal by S. Livingston),,24-27,,
11:35.0,,,24-27,,Turnover by D. Lee (bad pass)
11:15.0,B. Beal misses 2-pt shot from 18 ft,,24-27,,
11:14.0,,,24-27,,Defensive rebound by S. Livingston
11:01.0,,,24-27,,D. Lee misses 2-pt shot from 2 ft
10:58.0,,,24-27,,Offensive rebound by F. Ezeli
10:58.0,,,24-27,,F. Ezeli misses 2-pt shot at rim
10:57.0,Defensive rebound by K. Seraphin,,24-27,,
10:54.0,R. Sessions misses 2-pt shot from 2 ft,,24-27,,
10:53.0,,,24-27,,Defensive rebound by F. Ezeli
10:34.0,,,24-27,,L. Barbosa misses 2-pt shot from 21 ft
10:33.0,Defensive rebound by B. Beal,,24-27,,
10:25.0,D. Gooden misses 2-pt shot from 19 ft,,24-27,,
10:24.0,,,24-27,,Defensive rebound by A. Iguodala
10:05.0,,,24-27,,D. Lee misses 2-pt shot from 17 ft
10:04.0,Defensive rebound by K. Seraphin,,24-27,,
9:57.0,B. Beal makes 2-pt shot from 16 ft,2,26-27,,
9:41.0,,,26-27,,D. Lee misses 2-pt shot from 5 ft
9:40.0,,,26-27,,Offensive rebound by F. Ezeli
9:35.0,,,26-27,,A. Iguodala misses 3-pt shot from 24 ft
9:33.0,,,26-27,,Offensive rebound by Team
9:33.0,,,26-27,,M. Speights enters the game for F. Ezeli
9:33.0,,,26-27,,K. Thompson enters the game for L. Barbosa
9:33.0,N. Hilario enters the game for D. Gooden,,26-27,,
9:23.0,,,26-27,,S. Livingston misses 2-pt shot from 8 ft
9:22.0,,,26-27,,Offensive rebound by D. Lee
9:22.0,,,26-27,,D. Lee misses 2-pt shot at rim
9:19.0,Defensive rebound by B. Beal,,26-27,,
9:03.0,R. Sessions makes 3-pt shot from 25 ft (assist by N. Hilario),3,29-27,,
8:49.0,,,29-30,3,A. Iguodala makes 3-pt shot from 26 ft (assist by K. Thompson)
8:33.0,Official timeout,,29-30,,
8:24.0,Shooting foul by A. Iguodala (drawn by M. Webster),,29-30,,
8:24.0,M. Webster makes free throw 1 of 2,1,30-30,,
8:24.0,M. Webster makes free throw 2 of 2,1,31-30,,
8:05.0,,,31-32,2,K. Thompson makes 2-pt shot from 17 ft (assist by M. Speights)
7:49.0,R. Sessions makes 2-pt shot from 1 ft (assist by K. Seraphin),2,33-32,,
7:33.0,,,33-34,2,M. Speights makes 2-pt shot from 18 ft (assist by K. Thompson)
7:13.0,M. Webster misses 2-pt shot from 20 ft,,33-34,,
7:12.0,,,33-34,,Defensive rebound by M. Speights
7:00.0,,,33-36,2,M. Speights makes 2-pt shot from 17 ft (assist by K. Thompson)
6:41.0,K. Seraphin misses 2-pt shot from 19 ft,,33-36,,
6:40.0,,,33-36,,Defensive rebound by M. Speights
6:31.0,,,33-38,2,M. Speights makes 2-pt shot from 19 ft (assist by A. Iguodala)
6:23.0,Washington full timeout,,33-38,,
6:23.0,J. Wall enters the game for M. Webster,,33-38,,
6:23.0,P. Pierce enters the game for R. Sessions,,33-38,,
6:11.0,P. Pierce makes 2-pt shot from 3 ft (assist by B. Beal),2,35-38,,
5:56.0,,,35-40,2,M. Speights makes 2-pt shot from 17 ft (assist by D. Lee)
5:37.0,K. Seraphin makes 2-pt shot from 10 ft (assist by J. Wall),2,37-40,,
5:26.0,,,37-40,,Turnover by S. Livingston (bad pass)
5:05.0,P. Pierce makes 2-pt shot from 17 ft (assist by K. Seraphin),2,39-40,,
4:49.0,,,39-40,,M. Speights misses 2-pt shot from 17 ft
4:48.0,Defensive rebound by J. Wall,,39-40,,
4:40.0,K. Seraphin misses 2-pt shot from 7 ft,,39-40,,
4:39.0,Offensive rebound by N. Hilario,,39-40,,
4:37.0,N. Hilario makes 2-pt shot at rim,2,41-40,,
4:25.0,,,41-40,,K. Thompson misses 3-pt shot from 26 ft
4:25.0,Defensive rebound by J. Wall,,41-40,,
4:18.0,P. Pierce makes 2-pt shot from 14 ft (assist by J. Wall),2,43-40,,
4:16.0,,,43-40,,Golden State full timeout
4:16.0,,,43-40,,D. Green enters the game for D. Lee
4:16.0,,,43-40,,A. Bogut enters the game for S. Livingston
4:16.0,,,43-40,,S. Curry enters the game for M. Speights
4:00.0,,,43-40,,K. Thompson misses 3-pt shot from 26 ft
3:59.0,Defensive rebound by K. Seraphin,,43-40,,
3:42.0,K. Seraphin misses 2-pt shot from 9 ft,,43-40,,
3:41.0,,,43-40,,Defensive rebound by D. Green
3:32.0,,,43-40,,Offensive foul by A. Bogut
3:32.0,,,43-40,,Turnover by A. Bogut (offensive foul)
3:32.0,,,43-40,,H. Barnes enters the game for A. Iguodala
3:32.0,,,43-40,,J. Holiday enters the game for K. Thompson
3:32.0,M. Gortat enters the game for K. Seraphin,,43-40,,
3:32.0,M. Webster enters the game for B. Beal,,43-40,,
3:18.0,Shooting foul by D. Green (drawn by P. Pierce),,43-40,,
3:18.0,P. Pierce misses free throw 1 of 2,,43-40,,
3:18.0,Offensive rebound by Team,,43-40,,
3:18.0,P. Pierce makes free throw 2 of 2,1,44-40,,
3:03.0,,,44-42,2,D. Green makes 2-pt shot from 11 ft (assist by H. Barnes)
2:48.0,Turnover by N. Hilario (bad pass; steal by H. Barnes),,44-42,,
2:37.0,,,44-42,,D. Green misses 3-pt shot from 25 ft
2:36.0,Defensive rebound by Team,,44-42,,
2:20.0,N. Hilario misses 2-pt shot from 16 ft,,44-42,,
2:19.0,,,44-42,,Defensive rebound by H. Barnes
2:07.0,,,44-44,2,S. Curry makes 2-pt shot from 2 ft
1:52.0,M. Gortat makes 2-pt shot from 1 ft (assist by J. Wall),2,46-44,,
1:41.0,,,46-47,3,D. Green makes 3-pt shot from 25 ft (assist by S. Curry)
1:30.0,Offensive foul by N. Hilario,,46-47,,
1:30.0,Turnover by N. Hilario (offensive foul),,46-47,,
1:21.0,,,46-50,3,D. Green makes 3-pt shot from 25 ft (assist by S. Curry)
1:15.0,Washington full timeout,,46-50,,
1:15.0,B. Beal enters the game for M. Webster,,46-50,,
1:10.0,M. Gortat misses 2-pt shot from 2 ft (block by A. Bogut),,46-50,,
1:09.0,,,46-50,,Defensive rebound by S. Curry
1:02.0,Personal foul by J. Wall (drawn by S. Curry),,46-50,,
0:55.0,,,46-50,,D. Green misses 3-pt shot from 25 ft
0:54.0,,,46-50,,Offensive rebound by A. Bogut
0:54.0,,,46-50,,A. Bogut misses 2-pt shot from 1 ft
0:52.0,,,46-50,,Offensive rebound by A. Bogut
0:52.0,,,46-52,2,A. Bogut makes 2-pt shot at rim
0:32.0,B. Beal makes 3-pt shot from 26 ft (assist by P. Pierce),3,49-52,,
0:13.0,,,49-52,,Shooting foul by N. Hilario (drawn by D. Green)
0:13.0,,,49-52,,D. Green misses free throw 1 of 2
0:13.0,,,49-52,,Offensive rebound by Team
0:13.0,,,49-52,,D. Green misses free throw 2 of 2
0:12.0,Defensive rebound by N. Hilario,,49-52,,
0:03.0,J. Wall misses 3-pt shot from 25 ft,,49-52,,
0:00.0,Offensive rebound by Team,,49-52,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,Turnover by M. Gortat (lost ball; steal by H. Barnes),,49-52,,
11:35.0,,,49-52,,S. Curry misses 2-pt shot from 5 ft
11:35.0,Defensive rebound by J. Wall,,49-52,,
11:26.0,N. Hilario misses 2-pt shot from 18 ft,,49-52,,
11:25.0,,,49-52,,Defensive rebound by S. Curry
11:11.0,,,49-52,,Shooting foul by J. Wall (drawn by K. Thompson)
11:11.0,,,49-53,1,K. Thompson makes free throw 1 of 2
11:11.0,,,49-54,1,K. Thompson makes free throw 2 of 2
10:52.0,Turnover by P. Pierce (bad pass; steal by K. Thompson),,49-54,,
10:49.0,,,49-54,,K. Thompson misses 3-pt shot from 26 ft
10:49.0,Defensive rebound by Team,,49-54,,
10:34.0,B. Beal misses 2-pt shot from 18 ft,,49-54,,
10:32.0,Offensive rebound by N. Hilario,,49-54,,
10:27.0,P. Pierce misses 3-pt shot from 24 ft,,49-54,,
10:26.0,,,49-54,,Defensive rebound by S. Curry
10:18.0,,,49-57,3,D. Green makes 3-pt shot from 24 ft (assist by S. Curry)
10:04.0,J. Wall misses 2-pt shot from 16 ft,,49-57,,
10:03.0,,,49-57,,Defensive rebound by D. Green
9:57.0,,,49-57,,S. Curry misses 3-pt shot from 25 ft
9:57.0,,,49-57,,Offensive rebound by H. Barnes
9:52.0,,,49-57,,H. Barnes misses 2-pt shot from 20 ft
9:52.0,Defensive rebound by M. Gortat,,49-57,,
9:38.0,M. Gortat misses 2-pt shot from 1 ft (block by D. Green),,49-57,,
9:35.0,,,49-57,,Defensive rebound by H. Barnes
9:28.0,,,49-57,,K. Thompson misses 3-pt shot from 23 ft
9:27.0,Defensive rebound by J. Wall,,49-57,,
9:15.0,P. Pierce misses 2-pt shot from 5 ft,,49-57,,
9:14.0,,,49-57,,Defensive rebound by A. Bogut
8:57.0,,,49-57,,Shooting foul by M. Gortat (drawn by H. Barnes)
8:57.0,,,49-58,1,H. Barnes makes free throw 1 of 2
8:57.0,,,49-59,1,H. Barnes makes free throw 2 of 2
8:34.0,J. Wall misses 2-pt shot from 10 ft,,49-59,,
8:33.0,Offensive rebound by Team,,49-59,,
8:33.0,Turnover by Team (shot clock),,49-59,,
8:21.0,,,49-59,,D. Green misses 3-pt shot from 25 ft
8:20.0,Defensive rebound by Team,,49-59,,
8:17.0,Jump ball: D. Green vs. J. Wall,,,,Jump ball: D. Green vs. J. Wall
8:05.0,Turnover by N. Hilario (lost ball; steal by D. Green),,49-59,,
7:55.0,,,49-59,,Turnover by K. Thompson (step out of bounds)
7:35.0,Shooting foul by H. Barnes (drawn by N. Hilario),,49-59,,
7:35.0,N. Hilario misses free throw 1 of 2,,49-59,,
7:35.0,Offensive rebound by Team,,49-59,,
7:35.0,N. Hilario makes free throw 2 of 2,1,50-59,,
7:16.0,,,50-61,2,K. Thompson makes 2-pt shot from 13 ft
6:54.0,P. Pierce misses 3-pt shot from 25 ft,,50-61,,
6:53.0,,,50-61,,Defensive rebound by A. Bogut
6:30.0,,,50-61,,S. Curry misses 3-pt shot from 29 ft
6:28.0,Defensive rebound by N. Hilario,,50-61,,
6:13.0,,,50-61,,Def 3 sec tech foul by D. Green
6:13.0,B. Beal makes technical free throw,1,51-61,,
6:13.0,M. Webster enters the game for P. Pierce,,51-61,,
6:13.0,D. Gooden enters the game for N. Hilario,,51-61,,
5:59.0,J. Wall misses 2-pt shot from 1 ft,,51-61,,
5:59.0,,,51-61,,Defensive rebound by Team
5:59.0,,,51-61,,Golden State full timeout
5:59.0,,,51-61,,L. Barbosa enters the game for K. Thompson
5:35.0,,,51-61,,A. Bogut misses 2-pt shot at rim
5:34.0,,,51-61,,Offensive rebound by A. Bogut
5:34.0,,,51-63,2,A. Bogut makes 2-pt shot at rim
5:14.0,B. Beal misses 2-pt shot from 18 ft,,51-63,,
5:13.0,,,51-63,,Defensive rebound by D. Green
5:08.0,,,51-63,,Turnover by D. Green (lost ball; steal by B. Beal)
5:03.0,J. Wall misses 2-pt shot from 2 ft,,51-63,,
5:00.0,,,51-63,,Defensive rebound by A. Bogut
4:47.0,,,51-63,,S. Curry misses 2-pt shot from 14 ft
4:46.0,Defensive rebound by M. Gortat,,51-63,,
4:34.0,B. Beal misses 2-pt shot from 19 ft,,51-63,,
4:32.0,,,51-63,,Defensive rebound by S. Curry
4:24.0,,,51-66,3,S. Curry makes 3-pt shot from 25 ft
3:59.0,M. Webster misses 2-pt shot from 17 ft,,51-66,,
3:59.0,Offensive rebound by M. Webster,,51-66,,
3:59.0,M. Webster misses 2-pt shot from 17 ft,,51-66,,
3:59.0,,,51-66,,Defensive rebound by Team
3:59.0,K. Seraphin enters the game for M. Gortat,,51-66,,
3:59.0,,,51-66,,D. Lee enters the game for D. Green
3:37.0,,,51-66,,L. Barbosa misses 2-pt shot from 1 ft
3:36.0,,,51-66,,Offensive rebound by A. Bogut
3:36.0,,,51-68,2,A. Bogut makes 2-pt shot at rim
3:18.0,Turnover by D. Gooden (lost ball; steal by H. Barnes),,51-68,,
3:09.0,,,51-71,3,S. Curry makes 3-pt shot from 27 ft (assist by H. Barnes)
3:09.0,Washington full timeout,,51-71,,
3:09.0,,,51-71,,A. Iguodala enters the game for H. Barnes
2:46.0,J. Wall misses 2-pt shot from 20 ft,,51-71,,
2:45.0,,,51-71,,Defensive rebound by L. Barbosa
2:28.0,,,51-74,3,S. Curry makes 3-pt shot from 28 ft
2:03.0,Shooting foul by S. Curry (drawn by M. Webster),,51-74,,
2:03.0,M. Webster misses free throw 1 of 3,,51-74,,
2:03.0,Offensive rebound by Team,,51-74,,
2:03.0,M. Webster makes free throw 2 of 3,1,52-74,,
2:03.0,M. Webster makes free throw 3 of 3,1,53-74,,
1:46.0,,,53-77,3,A. Iguodala makes 3-pt shot from 25 ft (assist by A. Bogut)
1:29.0,Shooting foul by A. Bogut (drawn by K. Seraphin),,53-77,,
1:29.0,K. Seraphin misses free throw 1 of 2,,53-77,,
1:29.0,Offensive rebound by Team,,53-77,,
1:29.0,,,53-77,,M. Speights enters the game for A. Bogut
1:29.0,K. Seraphin makes free throw 2 of 2,1,54-77,,
1:19.0,,,54-77,,S. Curry misses 2-pt shot from 19 ft
1:16.0,Defensive rebound by K. Seraphin,,54-77,,
1:02.0,K. Seraphin makes 2-pt shot from 12 ft,2,56-77,,
0:46.0,,,56-79,2,M. Speights makes 2-pt shot from 5 ft (assist by S. Curry)
0:25.0,J. Wall misses 3-pt shot from 25 ft,,56-79,,
0:25.0,Offensive rebound by Team,,56-79,,
0:25.0,,,56-79,,Loose ball foul by D. Lee (drawn by D. Gooden)
0:25.0,D. Gooden makes free throw 1 of 2,1,57-79,,
0:25.0,D. Gooden misses free throw 2 of 2,,57-79,,
0:24.0,,,57-79,,Defensive rebound by A. Iguodala
0:06.0,Personal foul by J. Wall (drawn by S. Curry),,57-79,,
0:06.0,,,57-79,,Golden State full timeout
0:04.0,,,57-79,,Shooting foul by M. Webster (drawn by A. Iguodala)
0:04.0,,,57-80,1,A. Iguodala makes free throw 1 of 2
0:04.0,,,57-80,,D. Green enters the game for D. Lee
0:04.0,,,57-81,1,A. Iguodala makes free throw 2 of 2
0:01.0,J. Wall misses 3-pt shot from 49 ft,,57-81,,
0:00.0,Offensive rebound by Team,,57-81,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,,,57-81,,A. Iguodala misses 3-pt shot from 23 ft
11:41.0,Defensive rebound by K. Seraphin,,57-81,,
11:16.0,N. Hilario misses 2-pt shot from 3 ft,,57-81,,
11:15.0,,,57-81,,Defensive rebound by D. Lee
11:10.0,Personal foul by M. Webster (drawn by A. Iguodala),,57-81,,
11:03.0,,,57-81,,M. Speights misses 2-pt shot from 17 ft
11:02.0,Defensive rebound by K. Seraphin,,57-81,,
10:39.0,K. Seraphin misses 2-pt shot from 18 ft,,57-81,,
10:38.0,,,57-81,,Defensive rebound by M. Speights
10:31.0,,,57-83,2,D. Lee makes 2-pt shot from 7 ft (assist by A. Iguodala)
10:14.0,Turnover by R. Sessions (bad pass),,57-83,,
10:02.0,,,57-85,2,D. Lee makes 2-pt shot from 7 ft (assist by S. Livingston)
9:43.0,R. Sessions misses 2-pt shot from 2 ft,,57-85,,
9:42.0,,,57-85,,Defensive rebound by D. Lee
9:39.0,,,57-85,,Shooting foul by J. Wall (drawn by M. Speights)
9:39.0,Washington full timeout,,57-85,,
9:39.0,P. Pierce enters the game for M. Webster,,57-85,,
9:39.0,B. Beal enters the game for J. Wall,,57-85,,
9:39.0,,,57-85,,B. Rush enters the game for L. Barbosa
9:39.0,,,57-86,1,M. Speights makes free throw 1 of 2
9:39.0,,,57-87,1,M. Speights makes free throw 2 of 2
9:16.0,K. Seraphin makes 2-pt shot from 6 ft,2,59-87,,
8:53.0,,,59-90,3,B. Rush makes 3-pt shot from 28 ft (assist by M. Speights)
8:37.0,R. Sessions misses 3-pt shot from 24 ft,,59-90,,
8:36.0,,,59-90,,Defensive rebound by D. Lee
8:23.0,,,59-90,,A. Iguodala misses 3-pt shot from 27 ft
8:22.0,Defensive rebound by R. Sessions,,59-90,,
8:13.0,Shooting foul by D. Lee (drawn by K. Seraphin),,59-90,,
8:13.0,K. Seraphin makes free throw 1 of 2,1,60-90,,
8:13.0,,,60-90,,F. Ezeli enters the game for M. Speights
8:13.0,K. Seraphin makes free throw 2 of 2,1,61-90,,
7:53.0,,,61-90,,B. Rush misses 2-pt shot from 13 ft
7:52.0,Defensive rebound by Team,,61-90,,
7:33.0,B. Beal makes 2-pt shot from 14 ft,2,63-90,,
7:10.0,,,63-93,3,A. Iguodala makes 3-pt shot from 23 ft
6:58.0,Shooting foul by F. Ezeli (drawn by B. Beal),,63-93,,
6:58.0,B. Beal misses free throw 1 of 2,,63-93,,
6:58.0,Offensive rebound by Team,,63-93,,
6:58.0,D. Blair enters the game for N. Hilario,,63-93,,
6:58.0,B. Beal makes free throw 2 of 2,1,64-93,,
6:44.0,,,64-93,,F. Ezeli misses 2-pt shot from 4 ft (block by K. Seraphin)
6:42.0,Defensive rebound by D. Blair,,64-93,,
6:39.0,R. Sessions makes 2-pt shot from 1 ft,2,66-93,,
6:26.0,,,66-93,,S. Livingston misses 2-pt shot from 14 ft
6:25.0,,,66-93,,Offensive rebound by A. Iguodala
6:11.0,,,66-95,2,S. Livingston makes 2-pt shot from 5 ft (assist by D. Lee)
5:55.0,B. Beal misses 3-pt shot from 25 ft,,66-95,,
5:52.0,,,66-95,,Defensive rebound by D. Lee
5:42.0,,,66-95,,F. Ezeli misses 2-pt shot from 16 ft
5:41.0,Defensive rebound by D. Blair,,66-95,,
5:37.0,Shooting foul by F. Ezeli (drawn by K. Seraphin),,66-95,,
5:37.0,Official timeout,,66-95,,
5:37.0,O. Porter enters the game for B. Beal,,66-95,,
5:37.0,T. Murry enters the game for P. Pierce,,66-95,,
5:37.0,,,66-95,,J. Holiday enters the game for A. Iguodala
5:37.0,K. Seraphin makes free throw 1 of 2,1,67-95,,
5:37.0,K. Seraphin misses free throw 2 of 2,,67-95,,
5:36.0,,,67-95,,Defensive rebound by F. Ezeli
5:21.0,,,67-95,,D. Lee misses 2-pt shot from 5 ft
5:19.0,,,67-95,,Offensive rebound by S. Livingston
5:17.0,,,67-95,,J. Holiday misses 2-pt shot from 19 ft
5:14.0,Defensive rebound by D. Blair,,67-95,,
5:11.0,Shooting foul by S. Livingston (drawn by R. Sessions),,67-95,,
5:11.0,R. Sessions makes free throw 1 of 2,1,68-95,,
5:11.0,R. Sessions makes free throw 2 of 2,1,69-95,,
5:01.0,,,69-95,,J. Holiday misses 2-pt shot from 11 ft
5:00.0,,,69-95,,Offensive rebound by D. Lee
5:00.0,,,69-97,2,D. Lee makes 2-pt shot from 1 ft
4:39.0,D. Blair misses 2-pt shot from 13 ft,,69-97,,
4:38.0,,,69-97,,Defensive rebound by D. Lee
4:28.0,,,69-97,,D. Lee misses 2-pt shot from 18 ft
4:28.0,Defensive rebound by Team,,69-97,,
4:12.0,K. Seraphin makes 2-pt shot from 10 ft (assist by T. Murry),2,71-97,,
3:52.0,,,71-97,,Shooting foul by D. Blair (drawn by B. Rush)
3:52.0,,,71-97,,B. Rush misses free throw 1 of 2
3:52.0,,,71-97,,Offensive rebound by Team
3:52.0,,,71-97,,M. Speights enters the game for D. Lee
3:52.0,,,71-97,,B. Rush misses free throw 2 of 2
3:52.0,Defensive rebound by K. Seraphin,,71-97,,
3:34.0,D. Blair misses 2-pt shot from 6 ft,,71-97,,
