time,Brooklyn,pts.away,score,pts.home,Miami
2:39.0,M. Plumlee enters the game for B. Lopez,,19-29,,
2:39.0,,,19-29,,M. Chalmers misses technical free throw
2:39.0,Offensive rebound by Team,,19-29,,
2:39.0,,,19-29,,U. Haslem enters the game for C. Andersen
2:32.0,J. Jack misses 2-pt shot from 13 ft,,19-29,,
2:31.0,Offensive rebound by B. Bogdanovic,,19-29,,
2:26.0,Turnover by J. Jack (lost ball; steal by H. Walker),,19-29,,
2:04.0,,,19-29,,H. Walker misses 3-pt shot from 25 ft
2:03.0,Defensive rebound by M. Brown,,19-29,,
1:56.0,,,19-29,,Personal foul by L. Deng (drawn by M. Brown)
1:40.0,B. Bogdanovic misses 3-pt shot from 24 ft,,19-29,,
1:39.0,,,19-29,,Defensive rebound by H. Walker
1:34.0,,,19-31,2,U. Haslem makes 2-pt shot at rim (assist by L. Deng)
1:34.0,,,19-31,,Shooting foul by M. Plumlee (drawn by U. Haslem)
1:34.0,,,19-31,,M. Beasley enters the game for H. Walker
1:34.0,C. Jefferson enters the game for T. Young,,19-31,,
1:34.0,,,19-32,1,U. Haslem makes free throw 1 of 1
1:18.0,M. Plumlee misses 2-pt shot from 4 ft,,19-32,,
1:17.0,Offensive rebound by M. Plumlee,,19-32,,
1:16.0,M. Plumlee misses 2-pt shot from 3 ft (block by U. Haslem),,19-32,,
1:15.0,Offensive rebound by Team,,19-32,,
1:00.0,C. Jefferson misses 2-pt shot from 13 ft,,19-32,,
1:00.0,,,19-32,,Defensive rebound by M. Chalmers
0:56.0,,,19-32,,T. Johnson misses 2-pt shot at rim
0:55.0,Defensive rebound by J. Jack,,19-32,,
0:52.0,M. Plumlee makes 2-pt shot at rim (assist by J. Jack),2,21-32,,
0:37.0,,,21-32,,L. Deng misses 2-pt shot from 4 ft
0:36.0,Defensive rebound by B. Bogdanovic,,21-32,,
0:30.0,Turnover by B. Bogdanovic (bad pass),,21-32,,
0:09.0,,,21-34,2,T. Johnson makes 2-pt shot from 19 ft
0:02.0,Shooting foul by M. Chalmers (drawn by J. Jack),,21-34,,
0:02.0,J. Jack makes free throw 1 of 2,1,22-34,,
0:02.0,J. Jack makes free throw 2 of 2,1,23-34,,
0:01.0,,,23-34,,M. Chalmers misses 3-pt shot from 54 ft
0:00.0,,,23-34,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:39.0,Violation by M. Plumlee (def goaltending),,23-34,,
11:39.0,,,23-36,2,U. Haslem makes 2-pt shot from 2 ft (assist by D. Wade)
11:26.0,B. Bogdanovic makes 3-pt shot from 25 ft (assist by J. Jack),3,26-36,,
11:11.0,,,26-36,,U. Haslem misses 3-pt shot from 24 ft
11:10.0,Defensive rebound by C. Jefferson,,26-36,,
11:04.0,B. Bogdanovic misses 3-pt shot from 25 ft,,26-36,,
11:03.0,Offensive rebound by M. Plumlee,,26-36,,
11:01.0,M. Plumlee makes 2-pt shot from 3 ft,2,28-36,,
11:01.0,Shooting foul by M. Beasley (drawn by M. Plumlee),,28-36,,
11:01.0,M. Plumlee misses free throw 1 of 1,,28-36,,
11:00.0,,,28-36,,Defensive rebound by Team
10:42.0,,,28-36,,G. Dragic misses 3-pt shot from 24 ft
10:41.0,Defensive rebound by M. Plumlee,,28-36,,
10:33.0,Turnover by B. Bogdanovic (bad pass; steal by U. Haslem),,28-36,,
10:25.0,,,28-38,2,D. Wade makes 2-pt shot from 11 ft
10:25.0,,,28-38,,Shooting foul by M. Brown (drawn by D. Wade)
10:25.0,J. Johnson enters the game for M. Brown,,28-38,,
10:25.0,,,28-39,1,D. Wade makes free throw 1 of 1
10:14.0,M. Plumlee misses 2-pt shot from 1 ft (block by M. Beasley),,28-39,,
10:13.0,Offensive rebound by M. Plumlee,,28-39,,
10:12.0,Turnover by M. Plumlee (traveling),,28-39,,
10:00.0,,,28-39,,U. Haslem misses 2-pt shot from 17 ft
9:59.0,Defensive rebound by J. Jack,,28-39,,
9:52.0,J. Jack misses 2-pt shot from 5 ft,,28-39,,
9:51.0,,,28-39,,Defensive rebound by U. Haslem
9:31.0,,,28-39,,D. Wade misses 2-pt shot from 3 ft
9:30.0,,,28-39,,Offensive rebound by U. Haslem
9:29.0,,,28-39,,U. Haslem misses 2-pt shot from 18 ft
9:29.0,Defensive rebound by J. Johnson,,28-39,,
9:19.0,B. Bogdanovic misses 2-pt shot from 1 ft,,28-39,,
9:18.0,,,28-39,,Defensive rebound by U. Haslem
9:15.0,,,28-41,2,D. Wade makes 2-pt shot at rim (assist by U. Haslem)
9:15.0,Brooklyn full timeout,,28-41,,
9:15.0,D. Williams enters the game for J. Jack,,28-41,,
8:57.0,Turnover by D. Williams (lost ball; steal by T. Johnson),,28-41,,
8:53.0,,,28-43,2,T. Johnson makes 2-pt shot at rim
8:33.0,M. Plumlee misses 2-pt shot from 2 ft,,28-43,,
8:32.0,,,28-43,,Defensive rebound by U. Haslem
8:23.0,,,28-45,2,M. Beasley makes 2-pt shot from 11 ft
8:07.0,,,28-45,,Personal foul by T. Johnson (drawn by M. Plumlee)
8:07.0,B. Lopez enters the game for M. Plumlee,,28-45,,
8:07.0,,,28-45,,M. Chalmers enters the game for T. Johnson
8:00.0,D. Williams makes 3-pt shot from 24 ft (assist by B. Bogdanovic),3,31-45,,
7:32.0,,,31-45,,D. Wade misses 2-pt shot from 9 ft
7:31.0,Defensive rebound by B. Lopez,,31-45,,
7:23.0,D. Williams misses 2-pt shot from 5 ft,,31-45,,
7:22.0,,,31-45,,Defensive rebound by U. Haslem
7:18.0,,,31-47,2,D. Wade makes 2-pt shot at rim (assist by U. Haslem)
7:04.0,Shooting foul by U. Haslem (drawn by D. Williams),,31-47,,
7:04.0,Technical foul by D. Williams,,31-47,,
7:04.0,,,31-48,1,G. Dragic makes technical free throw
7:04.0,D. Williams makes free throw 1 of 2,1,32-48,,
7:04.0,,,32-48,,L. Deng enters the game for D. Wade
7:04.0,D. Williams makes free throw 2 of 2,1,33-48,,
6:50.0,,,33-48,,U. Haslem misses 2-pt shot from 1 ft
6:49.0,Defensive rebound by B. Lopez,,33-48,,
6:36.0,Offensive foul by D. Williams,,33-48,,
6:36.0,Turnover by D. Williams (offensive foul),,33-48,,
6:18.0,,,33-48,,M. Beasley misses 2-pt shot from 16 ft
6:17.0,Defensive rebound by B. Lopez,,33-48,,
6:17.0,,,33-48,,Personal foul by U. Haslem (drawn by B. Lopez)
5:56.0,B. Lopez misses 2-pt shot from 1 ft,,33-48,,
5:55.0,Offensive rebound by B. Lopez,,33-48,,
5:55.0,Shooting foul by M. Beasley (drawn by B. Lopez),,33-48,,
5:55.0,Official timeout,,33-48,,
5:55.0,B. Lopez makes free throw 1 of 2,1,34-48,,
5:55.0,B. Lopez misses free throw 2 of 2,,34-48,,
5:54.0,,,34-48,,Defensive rebound by U. Haslem
5:34.0,,,34-48,,L. Deng misses 3-pt shot from 24 ft
5:33.0,Defensive rebound by J. Johnson,,34-48,,
5:23.0,C. Jefferson misses 2-pt shot from 20 ft,,34-48,,
5:22.0,Offensive rebound by Team,,34-48,,
5:22.0,,,34-48,,C. Andersen enters the game for U. Haslem
5:20.0,Turnover by J. Johnson (bad pass; steal by M. Chalmers),,34-48,,
5:16.0,,,34-48,,Shooting foul by C. Jefferson (drawn by G. Dragic)
5:16.0,,,34-49,1,G. Dragic makes free throw 1 of 2
5:16.0,,,34-50,1,G. Dragic makes free throw 2 of 2
4:59.0,B. Lopez makes 2-pt shot from 3 ft (assist by C. Jefferson),2,36-50,,
4:41.0,,,36-52,2,M. Chalmers makes 2-pt shot from 1 ft (assist by G. Dragic)
4:30.0,Turnover by D. Williams (bad pass; steal by L. Deng),,36-52,,
4:26.0,,,36-52,,Shooting foul by B. Bogdanovic (drawn by G. Dragic)
4:26.0,,,36-53,1,G. Dragic makes free throw 1 of 2
4:26.0,T. Young enters the game for C. Jefferson,,36-53,,
4:26.0,,,36-54,1,G. Dragic makes free throw 2 of 2
4:12.0,B. Bogdanovic makes 2-pt shot from 1 ft (assist by T. Young),2,38-54,,
3:48.0,,,38-54,,M. Chalmers misses 2-pt shot from 20 ft
3:47.0,,,38-54,,Offensive rebound by C. Andersen
3:45.0,,,38-56,2,C. Andersen makes 2-pt shot from 4 ft
3:45.0,,,38-56,,Shooting foul by T. Young (drawn by C. Andersen)
3:45.0,,,38-56,,C. Andersen misses free throw 1 of 1
3:44.0,Defensive rebound by B. Lopez,,38-56,,
3:28.0,B. Lopez makes 2-pt shot at rim (assist by D. Williams),2,40-56,,
3:15.0,,,40-58,2,C. Andersen makes 2-pt shot at rim (assist by M. Beasley)
3:03.0,J. Johnson makes 2-pt shot from 5 ft,2,42-58,,
2:45.0,,,42-58,,L. Deng misses 2-pt shot from 18 ft
2:44.0,Defensive rebound by T. Young,,42-58,,
2:34.0,J. Johnson misses 2-pt shot from 15 ft,,42-58,,
2:33.0,Offensive rebound by B. Lopez,,42-58,,
2:30.0,B. Lopez makes 2-pt shot from 8 ft,2,44-58,,
2:30.0,,,44-58,,Miami full timeout
2:30.0,,,44-58,,D. Wade enters the game for M. Chalmers
2:30.0,,,44-58,,H. Walker enters the game for M. Beasley
2:16.0,,,44-58,,C. Andersen misses 2-pt shot from 1 ft
2:15.0,Defensive rebound by T. Young,,44-58,,
2:12.0,Shooting foul by G. Dragic (drawn by J. Johnson),,44-58,,
2:12.0,J. Johnson makes free throw 1 of 2,1,45-58,,
2:12.0,,,45-58,,T. Johnson enters the game for G. Dragic
2:12.0,J. Johnson makes free throw 2 of 2,1,46-58,,
2:02.0,,,46-58,,D. Wade misses 2-pt shot from 19 ft
2:01.0,Defensive rebound by B. Bogdanovic,,46-58,,
1:59.0,J. Johnson misses 2-pt shot from 2 ft,,46-58,,
1:58.0,Offensive rebound by J. Johnson,,46-58,,
1:54.0,,,46-58,,Personal foul by C. Andersen (drawn by J. Johnson)
1:54.0,J. Johnson makes free throw 1 of 2,1,47-58,,
1:54.0,J. Johnson makes free throw 2 of 2,1,48-58,,
1:43.0,,,48-58,,Turnover by T. Johnson (lost ball; steal by D. Williams)
1:33.0,D. Williams misses 2-pt shot from 10 ft,,48-58,,
1:32.0,,,48-58,,Defensive rebound by T. Johnson
1:29.0,Shooting block foul by B. Bogdanovic (drawn by L. Deng),,48-58,,
1:29.0,,,48-59,1,L. Deng makes free throw 1 of 2
1:29.0,,,48-60,1,L. Deng makes free throw 2 of 2
1:18.0,Turnover by J. Johnson (lost ball; steal by C. Andersen),,48-60,,
1:17.0,Personal foul by J. Johnson (drawn by D. Wade),,48-60,,
1:17.0,,,48-61,1,D. Wade makes free throw 1 of 2
1:17.0,,,48-61,,U. Haslem enters the game for C. Andersen
1:17.0,,,48-62,1,D. Wade makes free throw 2 of 2
0:56.0,B. Lopez misses 2-pt shot from 6 ft,,48-62,,
0:55.0,,,48-62,,Defensive rebound by H. Walker
0:36.0,,,48-62,,Turnover by T. Johnson (lost ball; steal by D. Williams)
0:31.0,T. Young makes 2-pt shot at rim (assist by D. Williams),2,50-62,,
0:12.0,,,50-62,,U. Haslem misses 2-pt shot at rim
0:10.0,,,50-62,,Offensive rebound by U. Haslem
0:09.0,,,50-62,,U. Haslem misses 2-pt shot at rim
0:08.0,Defensive rebound by Team,,50-62,,
0:01.0,,,50-62,,Shooting block foul by H. Walker (drawn by T. Young)
0:01.0,T. Young misses free throw 1 of 2,,50-62,,
0:01.0,Offensive rebound by Team,,50-62,,
0:01.0,T. Young makes free throw 2 of 2,1,51-62,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:39.0,,,51-62,,G. Dragic misses 3-pt shot from 24 ft
11:38.0,Defensive rebound by B. Lopez,,51-62,,
11:28.0,Turnover by J. Johnson (step out of bounds),,51-62,,
11:11.0,,,51-62,,D. Wade misses 2-pt shot from 19 ft
11:10.0,Defensive rebound by D. Williams,,51-62,,
11:04.0,,,51-62,,Personal foul by H. Walker (drawn by B. Lopez)
10:57.0,Turnover by D. Williams (bad pass; steal by D. Wade),,51-62,,
10:57.0,Clear path foul by D. Williams,,51-62,,
10:57.0,,,51-63,1,D. Wade makes clear path free throw 1 of 2
10:57.0,,,51-64,1,D. Wade makes clear path free throw 2 of 2
10:35.0,,,51-64,,D. Wade misses 2-pt shot from 16 ft
10:34.0,Defensive rebound by D. Williams,,51-64,,
10:28.0,D. Williams makes 3-pt shot from 24 ft,3,54-64,,
10:06.0,,,54-66,2,L. Deng makes 2-pt shot from 12 ft
9:46.0,Turnover by J. Johnson (bad pass; steal by H. Walker),,54-66,,
9:43.0,Shooting block foul by D. Williams (drawn by G. Dragic),,54-66,,
9:43.0,,,54-66,,G. Dragic misses free throw 1 of 2
9:43.0,,,54-66,,Offensive rebound by Team
9:43.0,,,54-67,1,G. Dragic makes free throw 2 of 2
9:27.0,J. Johnson misses 3-pt shot from 25 ft,,54-67,,
9:26.0,,,54-67,,Defensive rebound by D. Wade
9:23.0,,,54-67,,Turnover by D. Wade (bad pass; steal by T. Young)
9:13.0,J. Johnson misses 3-pt shot from 23 ft,,54-67,,
9:12.0,,,54-67,,Defensive rebound by C. Andersen
9:02.0,Personal foul by M. Brown (drawn by L. Deng),,54-67,,
8:53.0,,,54-69,2,D. Wade makes 2-pt shot from 5 ft
8:36.0,Shooting foul by D. Wade (drawn by B. Lopez),,54-69,,
8:36.0,B. Lopez makes free throw 1 of 2,1,55-69,,
8:36.0,B. Lopez makes free throw 2 of 2,1,56-69,,
8:13.0,,,56-69,,D. Wade misses 2-pt shot from 18 ft
8:12.0,,,56-69,,Offensive rebound by Team
8:11.0,,,56-69,,Turnover by Team (shot clock)
7:56.0,T. Young misses 3-pt shot from 25 ft,,56-69,,
7:55.0,,,56-69,,Defensive rebound by Team
7:40.0,,,56-69,,G. Dragic misses 2-pt shot from 2 ft
7:39.0,,,56-69,,Offensive rebound by C. Andersen
7:33.0,,,56-69,,H. Walker misses 3-pt shot from 24 ft
7:32.0,Defensive rebound by T. Young,,56-69,,
7:21.0,Shooting foul by C. Andersen (drawn by J. Johnson),,56-69,,
7:21.0,J. Johnson makes free throw 1 of 2,1,57-69,,
7:21.0,J. Johnson makes free throw 2 of 2,1,58-69,,
6:56.0,,,58-69,,D. Wade misses 2-pt shot from 18 ft
6:55.0,Defensive rebound by Team,,58-69,,
6:47.0,Turnover by D. Williams (traveling),,58-69,,
6:33.0,,,58-69,,D. Wade misses 2-pt shot from 12 ft
6:32.0,Defensive rebound by B. Lopez,,58-69,,
6:23.0,D. Williams makes 3-pt shot from 24 ft (assist by J. Johnson),3,61-69,,
6:22.0,,,61-69,,Miami full timeout
6:06.0,,,61-69,,Turnover by G. Dragic (bad pass)
5:46.0,D. Williams makes 2-pt shot at rim,2,63-69,,
5:21.0,,,63-71,2,G. Dragic makes 2-pt shot from 7 ft
4:58.0,M. Brown misses 3-pt shot from 24 ft,,63-71,,
4:57.0,,,63-71,,Defensive rebound by H. Walker
4:44.0,,,63-73,2,C. Andersen makes 2-pt shot at rim (assist by D. Wade)
4:14.0,B. Lopez makes 2-pt shot from 11 ft,2,65-73,,
3:46.0,,,65-76,3,L. Deng makes 3-pt shot from 24 ft (assist by G. Dragic)
3:31.0,J. Johnson misses 2-pt shot from 10 ft,,65-76,,
3:30.0,,,65-76,,Defensive rebound by C. Andersen
3:17.0,,,65-76,,D. Wade misses 2-pt shot from 12 ft
3:16.0,,,65-76,,Offensive rebound by C. Andersen
3:00.0,,,65-78,2,D. Wade makes 2-pt shot from 1 ft (assist by G. Dragic)
2:59.0,Brooklyn full timeout,,65-78,,
2:59.0,,,65-78,,U. Haslem enters the game for C. Andersen
2:59.0,,,65-78,,M. Chalmers enters the game for D. Wade
2:59.0,B. Bogdanovic enters the game for M. Brown,,65-78,,
2:59.0,J. Jack enters the game for D. Williams,,65-78,,
2:38.0,T. Young misses 2-pt shot from 7 ft,,65-78,,
2:37.0,,,65-78,,Defensive rebound by L. Deng
2:20.0,,,65-80,2,G. Dragic makes 2-pt shot from 12 ft
1:55.0,J. Johnson misses 3-pt shot from 25 ft,,65-80,,
1:54.0,,,65-80,,Defensive rebound by H. Walker
1:41.0,,,65-80,,H. Walker misses 3-pt shot from 25 ft
1:40.0,Defensive rebound by B. Lopez,,65-80,,
1:31.0,,,65-80,,Personal foul by L. Deng (drawn by B. Lopez)
1:31.0,M. Plumlee enters the game for B. Lopez,,65-80,,
1:31.0,,,65-80,,M. Beasley enters the game for H. Walker
1:27.0,M. Plumlee makes 2-pt shot at rim (assist by J. Jack),2,67-80,,
1:27.0,Shooting foul by M. Beasley (drawn by M. Plumlee),,67-80,,
1:27.0,M. Plumlee misses free throw 1 of 1,,67-80,,
1:26.0,,,67-80,,Defensive rebound by U. Haslem
1:08.0,,,67-80,,Shooting foul by T. Young (drawn by U. Haslem)
1:08.0,,,67-80,,U. Haslem misses free throw 1 of 2
1:08.0,,,67-80,,Offensive rebound by Team
1:08.0,M. Brown enters the game for J. Johnson,,67-80,,
1:08.0,,,67-81,1,U. Haslem makes free throw 2 of 2
0:58.0,Turnover by B. Bogdanovic (lost ball; steal by G. Dragic),,67-81,,
0:51.0,,,67-81,,M. Chalmers misses 3-pt shot from 23 ft
0:50.0,,,67-81,,Offensive rebound by U. Haslem
0:34.0,,,67-81,,Shooting foul by M. Plumlee (drawn by U. Haslem)
0:34.0,,,67-81,,U. Haslem misses free throw 1 of 2
0:34.0,,,67-81,,Offensive rebound by Team
0:34.0,,,67-81,,T. Johnson enters the game for G. Dragic
0:34.0,,,67-82,1,U. Haslem makes free throw 2 of 2
0:33.0,Turnover by J. Jack (lost ball; steal by M. Beasley),,67-82,,
0:29.0,C. Jefferson enters the game for T. Young,,67-82,,
0:08.0,,,67-82,,Turnover by T. Johnson (bad pass; steal by C. Jefferson)
0:08.0,C. Jefferson misses 3-pt shot from 68 ft,,67-82,,
0:06.0,,,67-82,,Defensive rebound by T. Johnson
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,Shooting foul by M. Beasley (drawn by M. Brown),,67-82,,
11:47.0,M. Brown makes free throw 1 of 2,1,68-82,,
11:47.0,M. Brown makes free throw 2 of 2,1,69-82,,
11:36.0,,,69-82,,Shooting foul by C. Jefferson (drawn by M. Beasley)
11:36.0,,,69-82,,M. Beasley misses free throw 1 of 2
11:36.0,,,69-82,,Offensive rebound by Team
11:36.0,,,69-83,1,M. Beasley makes free throw 2 of 2
11:24.0,C. Jefferson misses 2-pt shot at rim,,69-83,,
11:23.0,Offensive rebound by M. Plumlee,,69-83,,
11:13.0,Jump ball: U. Haslem vs. J. Jack,,,,Jump ball: U. Haslem vs. J. Jack
11:08.0,Shooting foul by U. Haslem (drawn by M. Plumlee),,69-83,,
11:08.0,M. Plumlee makes free throw 1 of 2,1,70-83,,
11:08.0,M. Plumlee misses free throw 2 of 2,,70-83,,
11:07.0,Offensive rebound by Team,,70-83,,
11:02.0,,,70-83,,Personal foul by M. Beasley (drawn by C. Jefferson)
11:02.0,,,70-83,,L. Deng enters the game for M. Beasley
10:58.0,Offensive foul by M. Plumlee,,70-83,,
10:58.0,Turnover by M. Plumlee (offensive foul),,70-83,,
10:44.0,,,70-86,3,H. Walker makes 3-pt shot from 24 ft (assist by U. Haslem)
10:27.0,Shooting foul by L. Deng (drawn by B. Bogdanovic),,70-86,,
10:27.0,B. Bogdanovic makes free throw 1 of 2,1,71-86,,
10:27.0,B. Bogdanovic makes free throw 2 of 2,1,72-86,,
10:13.0,,,72-86,,Offensive foul by U. Haslem
10:13.0,,,72-86,,Turnover by U. Haslem (offensive foul)
10:04.0,C. Jefferson misses 2-pt shot from 19 ft,,72-86,,
10:03.0,,,72-86,,Defensive rebound by M. Chalmers
9:53.0,,,72-86,,L. Deng misses 3-pt shot from 24 ft
9:51.0,Defensive rebound by J. Jack,,72-86,,
9:46.0,Turnover by J. Jack (lost ball; steal by H. Walker),,72-86,,
9:42.0,,,72-86,,Turnover by M. Chalmers (bad pass; steal by M. Brown)
9:36.0,Shooting foul by H. Walker (drawn by J. Jack),,72-86,,
9:36.0,J. Jack misses free throw 1 of 2,,72-86,,
9:36.0,Offensive rebound by Team,,72-86,,
9:36.0,J. Jack makes free throw 2 of 2,1,73-86,,
9:25.0,,,73-86,,Turnover by M. Chalmers (lost ball; steal by B. Bogdanovic)
9:20.0,J. Jack makes 2-pt shot at rim (assist by B. Bogdanovic),2,75-86,,
9:20.0,,,75-86,,Miami full timeout
9:20.0,,,75-86,,D. Wade enters the game for L. Deng
9:05.0,,,75-86,,T. Johnson misses 3-pt shot from 23 ft
9:04.0,Defensive rebound by C. Jefferson,,75-86,,
8:53.0,Shooting foul by H. Walker (drawn by M. Plumlee),,75-86,,
8:53.0,M. Plumlee misses free throw 1 of 2,,75-86,,
8:53.0,Offensive rebound by Team,,75-86,,
8:53.0,M. Plumlee makes free throw 2 of 2,1,76-86,,
8:37.0,,,76-86,,D. Wade misses 2-pt shot from 19 ft
8:36.0,Defensive rebound by M. Plumlee,,76-86,,
8:25.0,Turnover by J. Jack (bad pass; steal by H. Walker),,76-86,,
8:11.0,,,76-86,,T. Johnson misses 3-pt shot from 24 ft
8:10.0,,,76-86,,Offensive rebound by H. Walker
8:05.0,,,76-86,,M. Chalmers misses 3-pt shot from 24 ft
8:04.0,,,76-86,,Offensive rebound by D. Wade
7:47.0,,,76-88,2,D. Wade makes 2-pt shot from 11 ft
7:29.0,C. Jefferson makes 2-pt shot from 10 ft,2,78-88,,
7:16.0,,,78-88,,U. Haslem misses 2-pt shot at rim (block by M. Plumlee)
7:15.0,,,78-88,,Offensive rebound by Team
7:12.0,,,78-88,,Turnover by D. Wade (bad pass; steal by M. Plumlee)
7:06.0,B. Bogdanovic misses 2-pt shot from 23 ft,,78-88,,
7:05.0,Offensive rebound by J. Jack,,78-88,,
7:03.0,Shooting foul by M. Chalmers (drawn by C. Jefferson),,78-88,,
7:03.0,C. Jefferson misses free throw 1 of 2,,78-88,,
7:03.0,Offensive rebound by Team,,78-88,,
7:03.0,,,78-88,,G. Dragic enters the game for T. Johnson
7:03.0,,,78-88,,C. Andersen enters the game for U. Haslem
7:03.0,C. Jefferson misses free throw 2 of 2,,78-88,,
7:02.0,,,78-88,,Defensive rebound by H. Walker
