time,Detroit,pts.away,score,pts.home,Philadelphia
6:34.0,C. Butler enters the game for A. Drummond,,4-18,,
6:34.0,A. Tolliver enters the game for K. Singler,,4-18,,
6:34.0,,,4-18,,K. McDaniels enters the game for J. Sampson
6:34.0,,,4-18,,H. Thompson enters the game for R. Covington
6:34.0,Turnover by C. Butler (bad pass; steal by L. Mbah a Moute),,4-18,,
6:29.0,,,4-20,2,L. Mbah a Moute makes 2-pt shot from 1 ft
6:20.0,,,4-20,,Personal foul by K. McDaniels (drawn by K. Caldwell-Pope)
6:07.0,K. Caldwell-Pope misses 2-pt shot from 1 ft,,4-20,,
6:06.0,,,4-20,,Defensive rebound by M. Carter-Williams
5:55.0,,,4-22,2,N. Noel makes 2-pt shot at rim (assist by M. Carter-Williams)
5:43.0,Turnover by A. Tolliver (bad pass; steal by K. McDaniels),,4-22,,
5:39.0,,,4-24,2,K. McDaniels makes 2-pt shot at rim
5:26.0,D. Augustin misses 2-pt shot from 2 ft,,4-24,,
5:24.0,,,4-24,,Defensive rebound by M. Carter-Williams
5:13.0,,,4-24,,Philadelphia full timeout
5:13.0,,,4-24,,L. Drew enters the game for L. Mbah a Moute
5:13.0,,,4-24,,H. Sims enters the game for N. Noel
5:13.0,,,4-24,,J. Grant enters the game for M. Carter-Williams
5:13.0,J. Meeks enters the game for K. Caldwell-Pope,,4-24,,
5:01.0,,,4-24,,L. Drew misses 3-pt shot from 24 ft
5:00.0,Defensive rebound by C. Butler,,4-24,,
4:39.0,A. Tolliver misses 3-pt shot from 23 ft (block by J. Grant),,4-24,,
4:39.0,Offensive rebound by Team,,4-24,,
4:36.0,J. Meeks misses 3-pt shot from 25 ft,,4-24,,
4:36.0,Offensive rebound by Team,,4-24,,
4:36.0,Turnover by Team (shot clock),,4-24,,
4:23.0,,,4-24,,H. Thompson misses 3-pt shot from 25 ft
4:21.0,Defensive rebound by G. Monroe,,4-24,,
4:13.0,J. Meeks misses 2-pt shot from 3 ft,,4-24,,
4:10.0,Offensive rebound by G. Monroe,,4-24,,
4:09.0,Shooting foul by K. McDaniels (drawn by G. Monroe),,4-24,,
4:09.0,G. Monroe makes free throw 1 of 2,1,5-24,,
4:09.0,G. Monroe makes free throw 2 of 2,1,6-24,,
3:55.0,,,6-24,,H. Thompson misses 2-pt shot from 1 ft
3:54.0,,,6-24,,Offensive rebound by H. Sims
3:53.0,,,6-26,2,H. Sims makes 2-pt shot from 7 ft
3:38.0,,,6-26,,Personal foul by L. Drew (drawn by J. Meeks)
3:38.0,J. Meeks makes free throw 1 of 2,1,7-26,,
3:38.0,J. Meeks makes free throw 2 of 2,1,8-26,,
3:21.0,,,8-26,,H. Thompson misses 3-pt shot from 25 ft
3:19.0,Defensive rebound by G. Monroe,,8-26,,
3:09.0,A. Drummond enters the game for G. Monroe,,8-26,,
2:56.0,A. Tolliver misses 3-pt shot from 25 ft,,8-26,,
2:54.0,,,8-26,,Defensive rebound by K. McDaniels
2:39.0,,,8-28,2,H. Sims makes 2-pt shot from 19 ft (assist by L. Drew)
2:23.0,J. Meeks misses 3-pt shot from 24 ft,,8-28,,
2:21.0,,,8-28,,Defensive rebound by H. Sims
2:05.0,,,8-28,,Turnover by H. Sims (bad pass; steal by A. Drummond)
2:00.0,D. Augustin misses 2-pt shot from 1 ft,,8-28,,
1:58.0,Offensive rebound by A. Drummond,,8-28,,
1:58.0,A. Drummond makes 2-pt shot at rim,2,10-28,,
1:40.0,,,10-28,,H. Sims misses 2-pt shot from 1 ft (block by A. Drummond)
1:38.0,,,10-28,,Offensive rebound by H. Thompson
1:34.0,,,10-28,,H. Thompson misses 2-pt shot from 17 ft
1:32.0,Defensive rebound by A. Drummond,,10-28,,
1:21.0,Shooting foul by J. Grant (drawn by J. Meeks),,10-28,,
1:21.0,J. Meeks makes free throw 1 of 2,1,11-28,,
1:21.0,S. Dinwiddie enters the game for D. Augustin,,11-28,,
1:21.0,J. Meeks makes free throw 2 of 2,1,12-28,,
1:05.0,,,12-28,,Turnover by J. Grant (lost ball; steal by C. Butler)
0:57.0,C. Butler makes 2-pt shot from 19 ft (assist by A. Tolliver),2,14-28,,
0:43.0,,,14-28,,H. Thompson misses 3-pt shot from 25 ft
0:41.0,Defensive rebound by A. Drummond,,14-28,,
0:35.0,Offensive foul by A. Drummond,,14-28,,
0:35.0,Turnover by A. Drummond (offensive foul),,14-28,,
0:25.0,,,14-28,,Turnover by H. Sims (bad pass; steal by C. Butler)
0:17.0,S. Dinwiddie misses 2-pt shot at rim,,14-28,,
0:17.0,Offensive rebound by A. Drummond,,14-28,,
0:17.0,A. Drummond makes 2-pt shot at rim,2,16-28,,
0:01.0,,,16-28,,H. Thompson misses 3-pt shot from 25 ft
0:00.0,,,16-28,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,,,16-30,2,H. Sims makes 2-pt shot from 17 ft (assist by H. Thompson)
11:27.0,A. Drummond misses 2-pt shot from 1 ft,,16-30,,
11:25.0,,,16-30,,Defensive rebound by H. Sims
11:14.0,,,16-32,2,H. Thompson makes 2-pt shot from 1 ft (assist by J. Grant)
10:55.0,Shooting foul by H. Thompson (drawn by J. Meeks),,16-32,,
10:55.0,J. Meeks makes free throw 1 of 2,1,17-32,,
10:55.0,,,17-32,,M. Carter-Williams enters the game for H. Thompson
10:55.0,,,17-32,,N. Noel enters the game for L. Drew
10:55.0,,,17-32,,R. Covington enters the game for J. Grant
10:55.0,,,17-32,,L. Mbah a Moute enters the game for H. Sims
10:55.0,J. Meeks makes free throw 2 of 2,1,18-32,,
10:39.0,,,18-32,,K. McDaniels misses 3-pt shot from 26 ft
10:38.0,Defensive rebound by J. Meeks,,18-32,,
10:33.0,,,18-32,,J. Sampson enters the game for K. McDaniels
10:25.0,J. Meeks misses 2-pt shot from 1 ft,,18-32,,
10:22.0,Offensive rebound by A. Drummond,,18-32,,
10:22.0,Turnover by A. Drummond (lost ball; steal by J. Sampson),,18-32,,
10:04.0,,,18-32,,Turnover by M. Carter-Williams (lost ball; steal by S. Dinwiddie)
9:59.0,J. Meeks makes 2-pt shot at rim (assist by S. Dinwiddie),2,20-32,,
9:34.0,,,20-32,,Shooting foul by S. Dinwiddie (drawn by M. Carter-Williams)
9:34.0,,,20-34,2,M. Carter-Williams makes 2-pt shot from 7 ft
9:34.0,,,20-34,,M. Carter-Williams misses free throw 1 of 1
9:32.0,Defensive rebound by C. Butler,,20-34,,
9:14.0,A. Drummond misses 2-pt shot from 2 ft,,20-34,,
9:13.0,,,20-34,,Defensive rebound by J. Sampson
9:13.0,Personal foul by A. Drummond (drawn by J. Sampson),,20-34,,
9:13.0,G. Monroe enters the game for A. Drummond,,20-34,,
8:59.0,Personal foul by A. Tolliver (drawn by L. Mbah a Moute),,20-34,,
8:59.0,Official timeout,,20-34,,
8:48.0,,,20-34,,L. Mbah a Moute misses 2-pt shot from 14 ft
8:47.0,Defensive rebound by G. Monroe,,20-34,,
8:29.0,G. Monroe misses 2-pt shot from 1 ft,,20-34,,
8:27.0,,,20-34,,Defensive rebound by J. Sampson
8:22.0,,,20-36,2,J. Sampson makes 2-pt shot at rim
8:12.0,,,20-36,,Personal foul by N. Noel (drawn by S. Dinwiddie)
8:04.0,C. Butler misses 2-pt shot from 21 ft,,20-36,,
8:02.0,,,20-36,,Defensive rebound by M. Carter-Williams
7:39.0,,,20-36,,Turnover by J. Sampson (bad pass; steal by A. Tolliver)
7:33.0,J. Meeks makes 2-pt shot from 2 ft (assist by S. Dinwiddie),2,22-36,,
7:24.0,,,22-38,2,M. Carter-Williams makes 2-pt shot from 20 ft
7:08.0,G. Monroe makes 2-pt shot from 1 ft (assist by J. Meeks),2,24-38,,
6:51.0,,,24-38,,Turnover by M. Carter-Williams (bad pass)
6:51.0,,,24-38,,K. McDaniels enters the game for J. Sampson
6:36.0,J. Meeks misses 2-pt shot from 16 ft (block by K. McDaniels),,24-38,,
6:35.0,,,24-38,,Defensive rebound by R. Covington
6:30.0,,,24-40,2,K. McDaniels makes 2-pt shot at rim (assist by R. Covington)
6:09.0,S. Dinwiddie misses 3-pt shot from 25 ft,,24-40,,
6:07.0,Offensive rebound by C. Butler,,24-40,,
6:07.0,D. Augustin enters the game for S. Dinwiddie,,24-40,,
6:05.0,Turnover by Team (shot clock),,24-40,,
6:05.0,,,24-40,,Philadelphia full timeout
6:05.0,K. Singler enters the game for C. Butler,,24-40,,
6:05.0,J. Jerebko enters the game for A. Tolliver,,24-40,,
5:44.0,,,24-40,,L. Mbah a Moute misses 2-pt shot from 2 ft
5:43.0,,,24-40,,Offensive rebound by L. Mbah a Moute
5:41.0,,,24-40,,L. Mbah a Moute misses 2-pt shot from 1 ft
5:40.0,Defensive rebound by G. Monroe,,24-40,,
5:24.0,Turnover by J. Jerebko (lost ball; steal by N. Noel),,24-40,,
5:02.0,,,24-40,,L. Mbah a Moute misses 2-pt shot from 3 ft
5:00.0,,,24-40,,Offensive rebound by R. Covington
4:59.0,,,24-40,,R. Covington misses 2-pt shot from 1 ft
4:58.0,,,24-40,,Offensive rebound by R. Covington
4:56.0,,,24-42,2,R. Covington makes 2-pt shot from 7 ft
4:49.0,Detroit full timeout,,24-42,,
4:49.0,,,24-42,,H. Sims enters the game for N. Noel
4:40.0,,,24-42,,Def 3 sec tech foul by R. Covington
4:40.0,,,24-42,,J. Grant enters the game for L. Mbah a Moute
4:40.0,J. Meeks makes technical free throw,1,25-42,,
4:32.0,J. Jerebko makes 3-pt shot from 23 ft (assist by J. Meeks),3,28-42,,
4:19.0,,,28-42,,H. Sims misses 2-pt shot from 6 ft
4:18.0,,,28-42,,Offensive rebound by J. Grant
4:18.0,,,28-42,,J. Grant misses 2-pt shot from 2 ft
4:18.0,,,28-42,,Offensive rebound by Team
4:06.0,,,28-44,2,H. Sims makes 2-pt shot from 14 ft (assist by R. Covington)
3:52.0,J. Meeks misses 2-pt shot from 9 ft,,28-44,,
3:50.0,Offensive rebound by G. Monroe,,28-44,,
3:50.0,G. Monroe misses 2-pt shot from 1 ft (block by H. Sims),,28-44,,
3:47.0,Offensive rebound by G. Monroe,,28-44,,
3:44.0,G. Monroe makes 2-pt shot from 3 ft,2,30-44,,
3:44.0,Shooting foul by H. Sims (drawn by G. Monroe),,30-44,,
3:44.0,G. Monroe makes free throw 1 of 1,1,31-44,,
3:24.0,,,31-46,2,K. McDaniels makes 2-pt shot from 2 ft (assist by J. Grant)
3:03.0,J. Jerebko makes 2-pt shot at rim (assist by G. Monroe),2,33-46,,
2:45.0,,,33-48,2,J. Grant makes 2-pt shot from 7 ft (assist by M. Carter-Williams)
2:33.0,J. Meeks misses 2-pt shot from 14 ft,,33-48,,
2:31.0,,,33-48,,Defensive rebound by K. McDaniels
2:26.0,,,33-48,,Turnover by K. McDaniels (bad pass; steal by K. Singler)
2:26.0,,,33-48,,Personal foul by M. Carter-Williams (drawn by K. Singler)
2:26.0,,,33-48,,L. Drew enters the game for M. Carter-Williams
2:26.0,K. Caldwell-Pope enters the game for J. Meeks,,33-48,,
2:14.0,D. Augustin misses 3-pt shot from 25 ft,,33-48,,
2:13.0,,,33-48,,Defensive rebound by K. McDaniels
2:04.0,Personal foul by J. Jerebko (drawn by J. Grant),,33-48,,
2:04.0,,,33-48,,H. Thompson enters the game for R. Covington
1:49.0,,,33-48,,J. Grant misses 2-pt shot from 4 ft (block by J. Jerebko)
1:49.0,,,33-48,,Offensive rebound by Team
1:49.0,,,33-48,,Turnover by Team (shot clock)
1:33.0,G. Monroe misses 2-pt shot from 2 ft,,33-48,,
1:32.0,,,33-48,,Defensive rebound by L. Drew
1:25.0,,,33-48,,H. Thompson misses 3-pt shot from 25 ft
1:24.0,Defensive rebound by Team,,33-48,,
1:09.0,K. Caldwell-Pope misses 3-pt shot from 24 ft,,33-48,,
1:07.0,,,33-48,,Defensive rebound by H. Sims
0:55.0,,,33-48,,Turnover by H. Sims (bad pass; steal by J. Jerebko)
0:44.0,K. Caldwell-Pope misses 2-pt shot from 6 ft,,33-48,,
0:42.0,Offensive rebound by G. Monroe,,33-48,,
0:42.0,G. Monroe makes 2-pt shot from 1 ft,2,35-48,,
0:19.0,,,35-48,,Turnover by J. Grant (dbl dribble)
0:01.0,G. Monroe makes 2-pt shot from 1 ft (assist by D. Augustin),2,37-48,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:39.0,,,37-48,,M. Carter-Williams misses 2-pt shot from 13 ft
11:37.0,Defensive rebound by G. Monroe,,37-48,,
11:18.0,G. Monroe makes 2-pt shot from 7 ft (assist by D. Augustin),2,39-48,,
10:57.0,,,39-48,,Shooting foul by A. Drummond (drawn by N. Noel)
10:57.0,,,39-48,,N. Noel misses free throw 1 of 2
10:57.0,,,39-48,,Offensive rebound by Team
10:57.0,J. Jerebko enters the game for A. Drummond,,39-48,,
10:57.0,,,39-49,1,N. Noel makes free throw 2 of 2
10:41.0,G. Monroe misses 2-pt shot from 3 ft,,39-49,,
10:39.0,,,39-49,,Defensive rebound by J. Sampson
10:24.0,,,39-49,,L. Mbah a Moute misses 3-pt shot from 24 ft
10:23.0,Defensive rebound by J. Jerebko,,39-49,,
10:23.0,,,39-49,,Loose ball foul by R. Covington (drawn by K. Caldwell-Pope)
10:11.0,K. Singler misses 3-pt shot from 25 ft,,39-49,,
10:09.0,,,39-49,,Defensive rebound by L. Mbah a Moute
9:53.0,,,39-49,,Turnover by J. Sampson (traveling)
9:40.0,D. Augustin misses 3-pt shot from 26 ft,,39-49,,
9:38.0,,,39-49,,Defensive rebound by J. Sampson
9:32.0,,,39-52,3,R. Covington makes 3-pt shot from 25 ft (assist by M. Carter-Williams)
9:12.0,G. Monroe makes 2-pt shot from 3 ft (assist by K. Singler),2,41-52,,
8:57.0,,,41-52,,Shooting foul by K. Singler (drawn by M. Carter-Williams)
8:57.0,,,41-53,1,M. Carter-Williams makes free throw 1 of 2
8:57.0,,,41-53,,M. Carter-Williams misses free throw 2 of 2
8:56.0,Defensive rebound by J. Jerebko,,41-53,,
8:43.0,Turnover by K. Caldwell-Pope (bad pass),,41-53,,
8:29.0,,,41-53,,Turnover by N. Noel (lost ball; steal by D. Augustin)
8:27.0,Shooting foul by J. Sampson (drawn by D. Augustin),,41-53,,
8:27.0,D. Augustin makes free throw 1 of 2,1,42-53,,
8:27.0,D. Augustin makes free throw 2 of 2,1,43-53,,
8:10.0,,,43-56,3,J. Sampson makes 3-pt shot from 24 ft (assist by L. Mbah a Moute)
7:52.0,J. Jerebko misses 2-pt shot from 5 ft,,43-56,,
7:50.0,Offensive rebound by G. Monroe,,43-56,,
7:50.0,G. Monroe makes 2-pt shot from 1 ft,2,45-56,,
7:25.0,,,45-56,,R. Covington misses 3-pt shot from 22 ft
7:23.0,,,45-56,,Offensive rebound by L. Mbah a Moute
7:09.0,,,45-59,3,R. Covington makes 3-pt shot from 25 ft (assist by N. Noel)
6:53.0,J. Meeks enters the game for K. Caldwell-Pope,,45-59,,
6:42.0,J. Meeks misses 2-pt shot from 14 ft,,45-59,,
6:42.0,Offensive rebound by J. Jerebko,,45-59,,
6:42.0,J. Jerebko makes 2-pt shot from 1 ft,2,47-59,,
6:42.0,Shooting foul by R. Covington (drawn by J. Jerebko),,47-59,,
6:42.0,,,47-59,,J. Grant enters the game for R. Covington
6:42.0,J. Jerebko makes free throw 1 of 1,1,48-59,,
6:28.0,,,48-59,,Turnover by M. Carter-Williams (bad pass; steal by G. Monroe)
6:19.0,J. Jerebko makes 2-pt shot from 18 ft (assist by K. Singler),2,50-59,,
6:18.0,,,50-59,,Philadelphia full timeout
5:56.0,,,50-59,,J. Sampson misses 2-pt shot from 2 ft
5:54.0,Defensive rebound by D. Augustin,,50-59,,
5:35.0,J. Meeks misses 3-pt shot from 25 ft,,50-59,,
5:33.0,,,50-59,,Defensive rebound by L. Mbah a Moute
5:18.0,,,50-62,3,M. Carter-Williams makes 3-pt shot from 26 ft (assist by N. Noel)
4:57.0,Turnover by K. Singler (traveling),,50-62,,
4:57.0,,,50-62,,H. Sims enters the game for N. Noel
4:57.0,,,50-62,,K. McDaniels enters the game for J. Sampson
4:46.0,,,50-62,,M. Carter-Williams misses 2-pt shot from 14 ft
4:44.0,Defensive rebound by G. Monroe,,50-62,,
4:31.0,J. Jerebko misses 2-pt shot from 9 ft,,50-62,,
4:29.0,,,50-62,,Defensive rebound by M. Carter-Williams
4:10.0,,,50-62,,L. Mbah a Moute misses 2-pt shot from 3 ft
4:09.0,,,50-62,,Offensive rebound by Team
4:09.0,C. Butler enters the game for K. Singler,,50-62,,
4:07.0,,,50-64,2,J. Grant makes 2-pt shot at rim (assist by M. Carter-Williams)
3:43.0,Shooting foul by H. Sims (drawn by G. Monroe),,50-64,,
3:43.0,G. Monroe makes free throw 1 of 2,1,51-64,,
3:43.0,G. Monroe misses free throw 2 of 2,,51-64,,
3:42.0,,,51-64,,Defensive rebound by H. Sims
3:30.0,,,51-64,,Offensive foul by H. Sims
3:30.0,,,51-64,,Turnover by H. Sims (offensive foul)
3:00.0,Turnover by D. Augustin (bad pass; steal by J. Grant),,51-64,,
2:39.0,,,51-64,,K. McDaniels misses 2-pt shot from 13 ft
2:39.0,,,51-64,,Offensive rebound by Team
2:39.0,Personal foul by J. Jerebko (drawn by H. Sims),,51-64,,
2:39.0,Detroit full timeout,,51-64,,
2:39.0,,,51-64,,H. Thompson enters the game for L. Mbah a Moute
2:25.0,,,51-66,2,K. McDaniels makes 2-pt shot from 16 ft (assist by H. Sims)
2:00.0,D. Augustin misses 2-pt shot from 3 ft (block by J. Grant),,51-66,,
1:58.0,Offensive rebound by C. Butler,,51-66,,
1:57.0,Turnover by Team (shot clock),,51-66,,
1:57.0,,,51-66,,L. Drew enters the game for M. Carter-Williams
1:33.0,,,51-66,,H. Thompson misses 3-pt shot from 26 ft
1:32.0,,,51-66,,Offensive rebound by J. Grant
1:15.0,,,51-66,,K. McDaniels misses 2-pt shot from 3 ft (block by J. Jerebko)
1:13.0,,,51-66,,Offensive rebound by H. Sims
1:13.0,,,51-68,2,H. Sims makes 2-pt shot from 1 ft
0:55.0,,,51-68,,Personal foul by H. Thompson (drawn by J. Meeks)
0:55.0,J. Meeks makes free throw 1 of 2,1,52-68,,
0:55.0,J. Anthony enters the game for G. Monroe,,52-68,,
0:55.0,S. Dinwiddie enters the game for D. Augustin,,52-68,,
0:55.0,J. Meeks makes free throw 2 of 2,1,53-68,,
0:34.0,,,53-68,,J. Grant misses 3-pt shot from 24 ft
0:32.0,Defensive rebound by C. Butler,,53-68,,
0:25.0,,,53-68,,Personal foul by L. Drew (drawn by S. Dinwiddie)
0:25.0,S. Dinwiddie makes free throw 1 of 2,1,54-68,,
0:25.0,,,54-68,,R. Covington enters the game for H. Sims
0:25.0,S. Dinwiddie makes free throw 2 of 2,1,55-68,,
0:01.0,,,55-68,,L. Drew misses 3-pt shot from 22 ft
0:00.0,Defensive rebound by C. Butler,,55-68,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,S. Dinwiddie misses 2-pt shot from 1 ft (block by H. Sims),,55-68,,
11:46.0,Offensive rebound by Team,,55-68,,
11:38.0,C. Butler misses 3-pt shot from 25 ft,,55-68,,
11:36.0,Offensive rebound by A. Tolliver,,55-68,,
11:32.0,S. Dinwiddie makes 2-pt shot from 1 ft (assist by A. Tolliver),2,57-68,,
11:07.0,,,57-68,,Shooting foul by C. Butler (drawn by K. McDaniels)
11:07.0,,,57-69,1,K. McDaniels makes free throw 1 of 2
11:07.0,,,57-70,1,K. McDaniels makes free throw 2 of 2
10:49.0,A. Tolliver misses 3-pt shot from 26 ft,,57-70,,
10:47.0,,,57-70,,Defensive rebound by J. Grant
10:39.0,Personal foul by C. Butler (drawn by H. Thompson),,57-70,,
10:30.0,,,57-70,,J. Grant misses 2-pt shot from 1 ft (block by J. Anthony)
10:29.0,,,57-70,,Offensive rebound by J. Grant
10:28.0,,,57-70,,Turnover by J. Grant (bad pass; steal by J. Meeks)
10:26.0,J. Meeks makes 2-pt shot at rim,2,59-70,,
9:57.0,,,59-70,,L. Drew misses 3-pt shot from 32 ft
9:57.0,,,59-70,,Offensive rebound by Team
9:57.0,,,59-70,,Turnover by Team (shot clock)
9:42.0,J. Meeks misses 2-pt shot from 7 ft (block by H. Thompson),,59-70,,
9:42.0,Offensive rebound by Team,,59-70,,
9:42.0,,,59-70,,M. Carter-Williams enters the game for H. Thompson
9:42.0,,,59-70,,N. Noel enters the game for L. Drew
9:42.0,,,59-70,,L. Mbah a Moute enters the game for J. Grant
9:42.0,,,59-70,,R. Covington enters the game for H. Sims
9:40.0,Offensive foul by S. Dinwiddie,,59-70,,
9:40.0,Turnover by S. Dinwiddie (offensive foul),,59-70,,
9:16.0,,,59-70,,M. Carter-Williams misses 2-pt shot from 11 ft (block by S. Dinwiddie)
9:13.0,Defensive rebound by C. Butler,,59-70,,
9:07.0,Turnover by J. Meeks (bad pass; steal by N. Noel),,59-70,,
9:01.0,,,59-70,,R. Covington misses 2-pt shot from 5 ft
9:00.0,Defensive rebound by A. Tolliver,,59-70,,
8:49.0,C. Butler misses 3-pt shot from 26 ft,,59-70,,
8:48.0,,,59-70,,Defensive rebound by K. McDaniels
8:25.0,,,59-70,,M. Carter-Williams misses 3-pt shot from 26 ft
8:24.0,Defensive rebound by S. Dinwiddie,,59-70,,
8:19.0,Shooting foul by R. Covington (drawn by S. Dinwiddie),,59-70,,
8:19.0,Official timeout,,59-70,,
8:19.0,A. Drummond enters the game for J. Anthony,,59-70,,
8:19.0,S. Dinwiddie makes free throw 1 of 2,1,60-70,,
8:19.0,K. Caldwell-Pope enters the game for C. Butler,,60-70,,
8:19.0,,,60-70,,H. Thompson enters the game for R. Covington
8:19.0,S. Dinwiddie makes free throw 2 of 2,1,61-70,,
8:09.0,,,61-70,,M. Carter-Williams misses 2-pt shot from 1 ft
8:07.0,,,61-70,,Offensive rebound by N. Noel
8:07.0,,,61-72,2,N. Noel makes 2-pt shot from 2 ft
7:46.0,K. Caldwell-Pope makes 2-pt shot from 18 ft (assist by J. Meeks),2,63-72,,
7:28.0,,,63-72,,Turnover by L. Mbah a Moute (bad pass; steal by J. Meeks)
7:24.0,J. Meeks misses 2-pt shot from 1 ft (block by M. Carter-Williams),,63-72,,
7:23.0,Offensive rebound by Team,,63-72,,
7:23.0,,,63-72,,J. Sampson enters the game for K. McDaniels
7:13.0,S. Dinwiddie misses 3-pt shot from 25 ft,,63-72,,
7:11.0,,,63-72,,Defensive rebound by N. Noel
6:53.0,,,63-74,2,L. Mbah a Moute makes 2-pt shot at rim (assist by M. Carter-Williams)
6:35.0,S. Dinwiddie misses 2-pt shot from 3 ft (block by M. Carter-Williams),,63-74,,
6:33.0,,,63-74,,Defensive rebound by M. Carter-Williams
6:30.0,,,63-74,,Shooting foul by K. Caldwell-Pope (drawn by J. Sampson)
6:30.0,,,63-75,1,J. Sampson makes free throw 1 of 2
6:30.0,D. Augustin enters the game for S. Dinwiddie,,63-75,,
6:30.0,,,63-75,,J. Sampson misses free throw 2 of 2
6:28.0,Defensive rebound by K. Caldwell-Pope,,63-75,,
6:09.0,Turnover by K. Caldwell-Pope (bad pass; steal by L. Mbah a Moute),,63-75,,
6:08.0,Personal foul by J. Meeks (drawn by L. Mbah a Moute),,63-75,,
5:48.0,,,63-75,,N. Noel misses 2-pt shot from 1 ft
5:47.0,Defensive rebound by A. Tolliver,,63-75,,
5:42.0,D. Augustin misses 3-pt shot from 23 ft,,63-75,,
5:40.0,Offensive rebound by A. Tolliver,,63-75,,
5:37.0,D. Augustin misses 3-pt shot from 26 ft,,63-75,,
5:34.0,,,63-75,,Defensive rebound by M. Carter-Williams
5:24.0,,,63-77,2,L. Mbah a Moute makes 2-pt shot from 22 ft (assist by M. Carter-Williams)
5:23.0,Detroit full timeout,,63-77,,
5:23.0,G. Monroe enters the game for A. Tolliver,,63-77,,
4:59.0,K. Caldwell-Pope misses 2-pt shot from 21 ft,,63-77,,
4:57.0,,,63-77,,Defensive rebound by L. Mbah a Moute
4:32.0,,,63-77,,L. Mbah a Moute misses 2-pt shot from 2 ft
4:31.0,Defensive rebound by A. Drummond,,63-77,,
4:20.0,J. Meeks makes 3-pt shot from 25 ft (assist by K. Caldwell-Pope),3,66-77,,
3:51.0,,,66-77,,Turnover by M. Carter-Williams (traveling)
