time,Charlotte,pts.away,score,pts.home,Orlando
7:49.0,G. Neal makes free throw 1 of 1,1,29-24,,
7:28.0,,,29-27,3,B. Gordon makes 3-pt shot from 23 ft
7:16.0,,,29-27,,Def 3 sec tech foul by N. Vucevic
7:16.0,G. Neal makes technical free throw,1,30-27,,
7:16.0,M. Kidd-Gilchrist enters the game for P. Hairston,,30-27,,
7:16.0,G. Henderson enters the game for G. Neal,,30-27,,
7:09.0,Turnover by G. Henderson (dbl dribble),,30-27,,
6:59.0,,,30-27,,Shooting foul by B. Biyombo (drawn by V. Oladipo)
6:59.0,,,30-28,1,V. Oladipo makes free throw 1 of 2
6:59.0,J. Maxiell enters the game for B. Biyombo,,30-28,,
6:59.0,,,30-29,1,V. Oladipo makes free throw 2 of 2
6:44.0,M. Kidd-Gilchrist makes 2-pt shot from 1 ft,2,32-29,,
6:44.0,Shooting foul by B. Gordon (drawn by M. Kidd-Gilchrist),,32-29,,
6:44.0,C. Zeller enters the game for M. Williams,,32-29,,
6:44.0,,,32-29,,K. O'Quinn enters the game for B. Gordon
6:44.0,M. Kidd-Gilchrist misses free throw 1 of 1,,32-29,,
6:43.0,,,32-29,,Defensive rebound by N. Vucevic
6:28.0,,,32-29,,V. Oladipo misses 3-pt shot from 26 ft
6:27.0,Defensive rebound by M. Kidd-Gilchrist,,32-29,,
6:13.0,Turnover by M. Kidd-Gilchrist (lost ball; steal by V. Oladipo),,32-29,,
6:00.0,K. Walker enters the game for B. Roberts,,32-29,,
6:00.0,Jump ball: E. Payton vs. C. Zeller (G. Henderson gains possession),,,,Jump ball: E. Payton vs. C. Zeller (G. Henderson gains possession)
5:59.0,,,32-29,,Turnover by E. Payton (lost ball; steal by C. Zeller)
5:54.0,G. Henderson makes 2-pt shot at rim,2,34-29,,
5:36.0,,,34-29,,K. O'Quinn misses 2-pt shot from 16 ft
5:35.0,Defensive rebound by J. Maxiell,,34-29,,
5:22.0,M. Kidd-Gilchrist makes 2-pt shot from 1 ft (assist by G. Henderson),2,36-29,,
5:17.0,,,36-29,,Orlando full timeout
5:12.0,,,36-29,,Turnover by V. Oladipo (step out of bounds)
4:56.0,G. Henderson makes 2-pt shot from 13 ft,2,38-29,,
4:37.0,,,38-29,,Turnover by K. O'Quinn (traveling)
4:37.0,,,38-29,,E. Fournier enters the game for V. Oladipo
4:23.0,G. Henderson misses 2-pt shot from 16 ft,,38-29,,
4:22.0,Offensive rebound by M. Kidd-Gilchrist,,38-29,,
4:21.0,M. Kidd-Gilchrist makes 2-pt shot from 1 ft,2,40-29,,
4:21.0,Shooting foul by T. Harris (drawn by M. Kidd-Gilchrist),,40-29,,
4:21.0,M. Kidd-Gilchrist misses free throw 1 of 1,,40-29,,
4:20.0,,,40-29,,Defensive rebound by N. Vucevic
3:58.0,,,40-29,,T. Harris misses 2-pt shot from 17 ft
3:57.0,Defensive rebound by M. Kidd-Gilchrist,,40-29,,
3:44.0,K. Walker makes 3-pt shot from 24 ft,3,43-29,,
3:19.0,,,43-29,,N. Vucevic misses 2-pt shot from 17 ft
3:18.0,Defensive rebound by C. Zeller,,43-29,,
3:12.0,Shooting foul by T. Harris (drawn by M. Kidd-Gilchrist),,43-29,,
3:12.0,M. Kidd-Gilchrist makes free throw 1 of 2,1,44-29,,
3:12.0,,,44-29,,C. Frye enters the game for T. Harris
3:12.0,,,44-29,,D. Dedmon enters the game for K. O'Quinn
3:12.0,,,44-29,,D. Marble enters the game for N. Vucevic
3:12.0,M. Kidd-Gilchrist makes free throw 2 of 2,1,45-29,,
2:52.0,Charlotte full timeout,,45-29,,
2:52.0,,,45-29,,Turnover by E. Fournier (lost ball; steal by K. Walker)
2:52.0,Jump ball: E. Fournier vs. K. Walker,,,,Jump ball: E. Fournier vs. K. Walker
2:29.0,K. Walker misses 3-pt shot from 23 ft,,45-29,,
2:26.0,Offensive rebound by M. Kidd-Gilchrist,,45-29,,
2:22.0,K. Walker misses 2-pt shot from 16 ft,,45-29,,
2:20.0,,,45-29,,Defensive rebound by D. Dedmon
2:05.0,,,45-29,,E. Fournier misses 3-pt shot from 25 ft
2:04.0,Defensive rebound by Team,,45-29,,
2:04.0,,,45-29,,Loose ball foul by D. Dedmon (drawn by C. Zeller)
2:04.0,C. Zeller makes free throw 1 of 2,1,46-29,,
2:04.0,C. Zeller makes free throw 2 of 2,1,47-29,,
1:42.0,,,47-29,,E. Fournier misses 2-pt shot from 14 ft
1:41.0,Defensive rebound by C. Zeller,,47-29,,
1:20.0,C. Zeller makes 2-pt shot from 17 ft (assist by K. Walker),2,49-29,,
1:08.0,,,49-29,,E. Payton misses 2-pt shot at rim
1:07.0,,,49-29,,Offensive rebound by D. Dedmon
0:50.0,,,49-29,,Turnover by D. Marble (bad pass; steal by K. Walker)
0:47.0,Shooting foul by E. Fournier (drawn by C. Zeller),,49-29,,
0:47.0,C. Zeller makes free throw 1 of 2,1,50-29,,
0:47.0,C. Zeller makes free throw 2 of 2,1,51-29,,
0:36.0,,,51-29,,E. Fournier misses 2-pt shot from 1 ft
0:31.0,,,51-29,,Offensive rebound by E. Fournier
0:10.0,,,51-29,,E. Payton misses 2-pt shot from 17 ft
0:08.0,,,51-29,,Offensive rebound by D. Dedmon
0:06.0,,,51-29,,D. Dedmon misses 2-pt shot at rim
0:04.0,Defensive rebound by G. Henderson,,51-29,,
0:01.0,Shooting foul by C. Frye (drawn by G. Henderson),,51-29,,
0:01.0,G. Henderson makes free throw 1 of 2,1,52-29,,
0:01.0,G. Henderson misses free throw 2 of 2,,52-29,,
0:00.0,,,52-29,,Defensive rebound by D. Dedmon
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,,,52-31,2,T. Harris makes 2-pt shot from 6 ft
11:18.0,C. Zeller misses 2-pt shot from 11 ft,,52-31,,
11:15.0,,,52-31,,Defensive rebound by T. Harris
11:03.0,,,52-33,2,V. Oladipo makes 2-pt shot at rim
10:46.0,,,52-33,,Personal foul by T. Harris (drawn by M. Kidd-Gilchrist)
10:36.0,K. Walker misses 2-pt shot from 17 ft,,52-33,,
10:34.0,Offensive rebound by M. Kidd-Gilchrist,,52-33,,
10:30.0,K. Walker misses 3-pt shot from 26 ft,,52-33,,
10:29.0,,,52-33,,Defensive rebound by N. Vucevic
10:14.0,,,52-33,,T. Harris misses 3-pt shot from 25 ft
10:13.0,Defensive rebound by C. Zeller,,52-33,,
10:06.0,Turnover by K. Walker (lost ball; steal by T. Harris),,52-33,,
9:57.0,,,52-35,2,N. Vucevic makes 2-pt shot from 10 ft (assist by E. Payton)
9:47.0,,,52-35,,Personal foul by K. O'Quinn (drawn by G. Henderson)
9:38.0,Turnover by C. Zeller (bad pass; steal by V. Oladipo),,52-35,,
9:33.0,,,52-37,2,T. Harris makes 2-pt shot at rim (assist by V. Oladipo)
9:32.0,Charlotte full timeout,,52-37,,
9:16.0,Turnover by G. Henderson (bad pass; steal by E. Payton),,52-37,,
9:10.0,,,52-37,,V. Oladipo misses 2-pt shot from 1 ft
9:07.0,Defensive rebound by M. Kidd-Gilchrist,,52-37,,
9:01.0,G. Henderson misses 2-pt shot at rim (block by T. Harris),,52-37,,
