time,Sacramento,pts.away,score,pts.home,Denver
10:22.0,Turnover by A. Miller (bad pass; steal by J. Nurkic),,28-42,,
10:19.0,,,28-42,,Shooting foul by R. Hollins (drawn by J. Nurkic)
10:19.0,,,28-42,,J. Nurkic misses free throw 1 of 2
10:19.0,,,28-42,,Offensive rebound by Team
10:19.0,B. McLemore enters the game for N. Stauskas,,28-42,,
10:19.0,D. Williams enters the game for C. Landry,,28-42,,
10:19.0,,,28-42,,J. Nurkic misses free throw 2 of 2
10:17.0,Defensive rebound by O. Casspi,,28-42,,
10:04.0,Shooting foul by E. Green (drawn by A. Miller),,28-42,,
10:04.0,A. Miller makes free throw 1 of 2,1,29-42,,
10:04.0,A. Miller misses free throw 2 of 2,,29-42,,
10:03.0,,,29-42,,Defensive rebound by J. Nurkic
9:51.0,,,29-42,,Turnover by W. Barton (lost ball; steal by D. Williams)
9:45.0,A. Miller makes 2-pt shot at rim (assist by D. Williams),2,31-42,,
9:26.0,,,31-42,,Turnover by J. Nurkic (lost ball; steal by D. Williams)
9:23.0,O. Casspi makes 2-pt shot from 1 ft (assist by B. McLemore),2,33-42,,
9:23.0,Shooting foul by E. Green (drawn by O. Casspi),,33-42,,
9:23.0,O. Casspi misses free throw 1 of 1,,33-42,,
9:21.0,,,33-42,,Defensive rebound by J. Nurkic
8:59.0,,,33-42,,E. Green misses 2-pt shot from 22 ft
8:58.0,Defensive rebound by Team,,33-42,,
8:58.0,Official timeout,,33-42,,
8:47.0,Turnover by B. McLemore (bad pass; steal by J. Hickson),,33-42,,
8:30.0,Personal foul by A. Miller (drawn by J. Hickson),,33-42,,
8:16.0,,,33-42,,T. Lawson misses 2-pt shot from 11 ft
8:15.0,Defensive rebound by D. Williams,,33-42,,
7:56.0,D. Williams misses 3-pt shot from 23 ft,,33-42,,
7:55.0,,,33-42,,Defensive rebound by Team
7:55.0,J. Thompson enters the game for R. Hollins,,33-42,,
7:55.0,,,33-42,,W. Chandler enters the game for J. Hickson
7:45.0,,,33-42,,W. Chandler misses 3-pt shot from 23 ft
7:42.0,Defensive rebound by O. Casspi,,33-42,,
7:28.0,B. McLemore misses 3-pt shot from 25 ft,,33-42,,
7:27.0,,,33-42,,Defensive rebound by W. Chandler
7:20.0,,,33-42,,W. Barton misses 2-pt shot from 12 ft
7:19.0,Defensive rebound by O. Casspi,,33-42,,
7:11.0,O. Casspi makes 2-pt shot from 2 ft (assist by B. McLemore),2,35-42,,
6:48.0,,,35-45,3,W. Chandler makes 3-pt shot from 25 ft (assist by W. Barton)
6:39.0,Turnover by D. Williams (lost ball; steal by W. Barton),,35-45,,
6:39.0,Personal foul by O. Casspi (drawn by W. Barton),,35-45,,
6:39.0,R. McCallum enters the game for A. Miller,,35-45,,
6:39.0,,,35-45,,K. Faried enters the game for J. Nurkic
6:27.0,,,35-47,2,W. Chandler makes 2-pt shot from 11 ft (assist by T. Lawson)
6:03.0,R. McCallum makes 2-pt shot from 13 ft,2,37-47,,
5:54.0,,,37-47,,W. Barton misses 3-pt shot from 26 ft
5:53.0,Defensive rebound by B. McLemore,,37-47,,
5:45.0,R. McCallum makes 3-pt shot from 24 ft (assist by O. Casspi),3,40-47,,
5:33.0,,,40-47,,Denver full timeout
5:19.0,,,40-47,,Shooting foul by J. Thompson (drawn by W. Chandler)
5:19.0,,,40-48,1,W. Chandler makes free throw 1 of 2
5:19.0,,,40-48,,R. Foye enters the game for W. Barton
5:19.0,,,40-48,,D. Gallinari enters the game for E. Green
5:19.0,,,40-49,1,W. Chandler makes free throw 2 of 2
5:04.0,O. Casspi makes 2-pt shot from 1 ft,2,42-49,,
4:52.0,,,42-49,,Turnover by D. Gallinari (bad pass; steal by J. Thompson)
4:47.0,R. McCallum makes 2-pt shot at rim (assist by O. Casspi),2,44-49,,
4:32.0,,,44-51,2,K. Faried makes 2-pt shot from 1 ft (assist by D. Gallinari)
4:22.0,Turnover by R. McCallum (bad pass; steal by K. Faried),,44-51,,
4:18.0,,,44-51,,Turnover by K. Faried (bad pass; steal by B. McLemore)
4:17.0,,,44-51,,Personal foul by W. Chandler (drawn by B. McLemore)
4:17.0,,,44-51,,G. Harris enters the game for T. Lawson
3:59.0,D. Williams makes 2-pt shot from 1 ft (assist by R. McCallum),2,46-51,,
3:43.0,,,46-54,3,W. Chandler makes 3-pt shot from 24 ft (assist by D. Gallinari)
3:32.0,,,46-54,,Personal foul by K. Faried (drawn by J. Thompson)
3:28.0,J. Thompson makes 2-pt shot at rim (assist by B. McLemore),2,48-54,,
3:08.0,,,48-54,,D. Gallinari misses 2-pt shot from 17 ft
3:07.0,Defensive rebound by R. McCallum,,48-54,,
2:57.0,B. McLemore makes 2-pt shot at rim (assist by O. Casspi),2,50-54,,
2:35.0,,,50-54,,D. Gallinari misses 3-pt shot from 27 ft
2:33.0,Defensive rebound by R. McCallum,,50-54,,
2:18.0,R. McCallum makes 2-pt shot from 4 ft,2,52-54,,
2:03.0,,,52-54,,W. Chandler misses 3-pt shot from 24 ft
2:01.0,Defensive rebound by J. Thompson,,52-54,,
1:52.0,B. McLemore misses 2-pt shot from 19 ft,,52-54,,
1:51.0,Offensive rebound by J. Thompson,,52-54,,
1:50.0,J. Thompson makes 2-pt shot at rim,2,54-54,,
1:39.0,,,54-54,,R. Foye misses 3-pt shot from 25 ft
1:38.0,Defensive rebound by B. McLemore,,54-54,,
1:24.0,O. Casspi makes 3-pt shot from 25 ft (assist by J. Thompson),3,57-54,,
1:09.0,,,57-54,,Shooting foul by O. Casspi (drawn by R. Foye)
1:09.0,Sacramento full timeout,,57-54,,
1:09.0,,,57-54,,W. Barton enters the game for W. Chandler
1:09.0,,,57-55,1,R. Foye makes free throw 1 of 2
1:09.0,,,57-56,1,R. Foye makes free throw 2 of 2
0:48.0,Shooting foul by K. Faried (drawn by D. Williams),,57-56,,
0:48.0,D. Williams makes free throw 1 of 2,1,58-56,,
0:48.0,D. Williams makes free throw 2 of 2,1,59-56,,
0:34.0,,,59-58,2,W. Barton makes 2-pt shot from 4 ft
0:11.0,Turnover by R. McCallum (lost ball; steal by R. Foye),,59-58,,
0:07.0,,,59-60,2,W. Barton makes 2-pt shot from 2 ft (assist by R. Foye)
0:02.0,B. McLemore misses 3-pt shot from 26 ft,,59-60,,
0:01.0,,,59-60,,Defensive rebound by D. Gallinari
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,,,59-63,3,R. Foye makes 3-pt shot from 24 ft (assist by W. Chandler)
11:28.0,Turnover by B. McLemore (bad pass; steal by D. Gallinari),,59-63,,
11:23.0,Personal foul by J. Thompson (drawn by K. Faried),,59-63,,
11:23.0,Technical foul by J. Thompson (drawn by K. Faried),,59-63,,
11:23.0,,,59-64,1,R. Foye makes technical free throw
11:19.0,,,59-64,,Shooting foul by O. Casspi (drawn by D. Gallinari)
11:19.0,,,59-65,1,D. Gallinari makes free throw 1 of 2
11:19.0,,,59-66,1,D. Gallinari makes free throw 2 of 2
11:14.0,,,59-66,,Personal foul by K. Faried (drawn by J. Thompson)
11:06.0,Turnover by J. Thompson (3 sec),,59-66,,
10:49.0,,,59-66,,Turnover by D. Gallinari (bad pass; steal by J. Thompson)
10:46.0,O. Casspi makes 2-pt shot from 1 ft (assist by J. Thompson),2,61-66,,
10:46.0,Shooting foul by T. Lawson (drawn by O. Casspi),,61-66,,
10:46.0,O. Casspi makes free throw 1 of 1,1,62-66,,
10:34.0,,,62-69,3,D. Gallinari makes 3-pt shot from 26 ft (assist by T. Lawson)
10:13.0,J. Thompson makes 2-pt shot from 2 ft,2,64-69,,
10:04.0,Personal foul by J. Thompson (drawn by K. Faried),,64-69,,
9:48.0,,,64-71,2,T. Lawson makes 2-pt shot from 2 ft (assist by R. Foye)
9:29.0,R. McCallum misses 3-pt shot from 25 ft,,64-71,,
9:28.0,,,64-71,,Defensive rebound by W. Chandler
9:18.0,Personal foul by J. Thompson (drawn by K. Faried),,64-71,,
9:18.0,C. Landry enters the game for J. Thompson,,64-71,,
9:18.0,A. Miller enters the game for R. McCallum,,64-71,,
9:08.0,,,64-71,,W. Chandler misses 3-pt shot from 24 ft
9:07.0,Defensive rebound by O. Casspi,,64-71,,
8:52.0,Shooting foul by R. Foye (drawn by B. McLemore),,64-71,,
8:52.0,B. McLemore misses free throw 1 of 2,,64-71,,
8:52.0,Offensive rebound by Team,,64-71,,
8:52.0,B. McLemore makes free throw 2 of 2,1,65-71,,
8:39.0,,,65-73,2,W. Chandler makes 2-pt shot from 2 ft (assist by D. Gallinari)
8:24.0,Turnover by O. Casspi (bad pass; steal by W. Chandler),,65-73,,
8:16.0,,,65-73,,Shooting foul by B. McLemore (drawn by R. Foye)
8:16.0,,,65-74,1,R. Foye makes free throw 1 of 2
8:16.0,,,65-75,1,R. Foye makes free throw 2 of 2
8:16.0,Technical foul by Team,,65-75,,
8:16.0,,,65-76,1,R. Foye makes technical free throw
7:57.0,Turnover by O. Casspi (bad pass),,65-76,,
7:50.0,,,65-76,,W. Chandler misses 2-pt shot from 1 ft
7:49.0,Defensive rebound by O. Casspi,,65-76,,
7:38.0,Shooting foul by W. Chandler (drawn by C. Landry),,65-76,,
7:38.0,C. Landry makes free throw 1 of 2,1,66-76,,
7:38.0,C. Landry makes free throw 2 of 2,1,67-76,,
7:22.0,,,67-76,,Turnover by T. Lawson (bad pass; steal by O. Casspi)
7:22.0,,,67-76,,Personal foul by R. Foye (drawn by O. Casspi)
7:22.0,O. Casspi misses free throw 1 of 2,,67-76,,
7:22.0,Offensive rebound by Team,,67-76,,
7:22.0,O. Casspi makes free throw 2 of 2,1,68-76,,
7:07.0,N. Stauskas enters the game for B. McLemore,,68-76,,
7:00.0,,,68-76,,W. Chandler misses 2-pt shot from 2 ft
6:58.0,,,68-76,,Offensive rebound by W. Chandler
6:58.0,,,68-78,2,W. Chandler makes 2-pt shot at rim
6:44.0,Turnover by C. Landry (3 sec),,68-78,,
6:33.0,,,68-78,,T. Lawson misses 2-pt shot from 15 ft
6:32.0,,,68-78,,Offensive rebound by K. Faried
6:30.0,,,68-80,2,K. Faried makes 2-pt shot from 1 ft
6:16.0,A. Miller misses 2-pt shot from 7 ft,,68-80,,
6:14.0,,,68-80,,Defensive rebound by W. Chandler
6:05.0,,,68-80,,R. Foye misses 2-pt shot from 17 ft
6:04.0,Defensive rebound by Team,,68-80,,
5:43.0,O. Casspi misses 2-pt shot from 22 ft,,68-80,,
5:42.0,,,68-80,,Defensive rebound by W. Chandler
5:39.0,,,68-80,,Shooting foul by O. Casspi (drawn by D. Gallinari)
5:39.0,,,68-80,,Denver full timeout
5:39.0,R. McCallum enters the game for O. Casspi,,68-80,,
5:39.0,,,68-81,1,D. Gallinari makes free throw 1 of 2
5:39.0,,,68-82,1,D. Gallinari makes free throw 2 of 2
5:28.0,D. Williams makes 2-pt shot from 17 ft (assist by R. McCallum),2,70-82,,
5:11.0,,,70-82,,R. Foye misses 2-pt shot from 1 ft
5:08.0,Defensive rebound by D. Williams,,70-82,,
4:59.0,D. Williams misses 3-pt shot from 25 ft,,70-82,,
4:58.0,,,70-82,,Defensive rebound by D. Gallinari
4:44.0,,,70-82,,K. Faried misses 2-pt shot from 5 ft
4:42.0,Defensive rebound by N. Stauskas,,70-82,,
4:39.0,Shooting foul by D. Gallinari (drawn by R. McCallum),,70-82,,
4:39.0,R. McCallum misses free throw 1 of 2,,70-82,,
4:39.0,Offensive rebound by Team,,70-82,,
4:39.0,R. McCallum makes free throw 2 of 2,1,71-82,,
4:26.0,,,71-84,2,T. Lawson makes 2-pt shot from 8 ft
4:13.0,Turnover by R. McCallum (bad pass; steal by K. Faried),,71-84,,
4:09.0,,,71-84,,Turnover by K. Faried (bad pass; steal by D. Williams)
4:03.0,N. Stauskas makes 3-pt shot from 24 ft (assist by D. Williams),3,74-84,,
3:40.0,,,74-87,3,D. Gallinari makes 3-pt shot from 23 ft (assist by T. Lawson)
3:24.0,D. Williams misses 2-pt shot from 2 ft,,74-87,,
3:22.0,Offensive rebound by D. Williams,,74-87,,
3:22.0,D. Williams misses 2-pt shot from 2 ft,,74-87,,
3:20.0,,,74-87,,Defensive rebound by D. Gallinari
3:16.0,,,74-87,,W. Chandler misses 2-pt shot from 2 ft
3:13.0,,,74-87,,Offensive rebound by K. Faried
3:13.0,,,74-89,2,K. Faried makes 2-pt shot at rim
2:53.0,A. Miller makes 2-pt shot at rim,2,76-89,,
2:48.0,,,76-91,2,K. Faried makes 2-pt shot at rim (assist by T. Lawson)
2:47.0,Sacramento full timeout,,76-91,,
2:47.0,R. Hollins enters the game for D. Williams,,76-91,,
2:47.0,O. Casspi enters the game for C. Landry,,76-91,,
2:37.0,Turnover by R. McCallum (bad pass),,76-91,,
2:18.0,,,76-91,,R. Foye misses 3-pt shot from 23 ft
2:17.0,Defensive rebound by R. Hollins,,76-91,,
2:07.0,O. Casspi misses 3-pt shot from 27 ft,,76-91,,
2:05.0,Offensive rebound by R. Hollins,,76-91,,
2:01.0,R. Hollins makes 2-pt shot at rim,2,78-91,,
1:43.0,,,78-91,,R. Foye misses 3-pt shot from 25 ft
1:42.0,Defensive rebound by O. Casspi,,78-91,,
1:35.0,R. Hollins makes 2-pt shot at rim (assist by A. Miller),2,80-91,,
1:20.0,,,80-91,,Shooting foul by R. Hollins (drawn by K. Faried)
1:20.0,,,80-92,1,K. Faried makes free throw 1 of 2
1:20.0,,,80-93,1,K. Faried makes free throw 2 of 2
1:03.0,R. Hollins makes 2-pt shot from 2 ft (assist by A. Miller),2,82-93,,
0:50.0,,,82-93,,Turnover by R. Foye (bad pass)
0:49.0,Turnover by N. Stauskas (bad pass; steal by T. Lawson),,82-93,,
0:47.0,,,82-93,,Shooting foul by N. Stauskas (drawn by K. Faried)
0:47.0,,,82-93,,K. Faried misses free throw 1 of 2
0:47.0,,,82-93,,Offensive rebound by Team
0:47.0,,,82-94,1,K. Faried makes free throw 2 of 2
0:34.0,O. Casspi misses 2-pt shot from 8 ft,,82-94,,
0:32.0,,,82-94,,Defensive rebound by W. Chandler
0:25.0,,,82-94,,Offensive foul by R. Foye
0:25.0,,,82-94,,Turnover by R. Foye (offensive foul)
0:01.0,N. Stauskas makes 2-pt shot from 17 ft (assist by O. Casspi),2,84-94,,
0:00.0,,,84-94,,R. Foye misses 3-pt shot from 57 ft
0:00.0,,,84-94,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:35.0,R. Hollins misses 2-pt shot from 2 ft,,84-94,,
11:34.0,,,84-94,,Defensive rebound by D. Gallinari
11:15.0,,,84-94,,Turnover by T. Lawson (bad pass; steal by R. McCallum)
11:10.0,O. Casspi makes 2-pt shot at rim (assist by B. McLemore),2,86-94,,
10:50.0,,,86-94,,Turnover by G. Harris (lost ball; steal by B. McLemore)
10:46.0,Turnover by O. Casspi (lost ball; steal by W. Chandler),,86-94,,
10:41.0,,,86-96,2,G. Harris makes 2-pt shot at rim (assist by W. Chandler)
10:22.0,Turnover by N. Stauskas (lost ball; steal by W. Chandler),,86-96,,
10:13.0,,,86-98,2,W. Chandler makes 2-pt shot from 1 ft (assist by G. Harris)
10:13.0,Sacramento full timeout,,86-98,,
9:54.0,R. McCallum makes 2-pt shot from 15 ft (assist by B. McLemore),2,88-98,,
9:36.0,,,88-100,2,W. Chandler makes 2-pt shot from 2 ft (assist by T. Lawson)
9:11.0,R. McCallum misses 2-pt shot from 15 ft,,88-100,,
9:09.0,,,88-100,,Defensive rebound by D. Gallinari
8:57.0,,,88-103,3,W. Chandler makes 3-pt shot from 24 ft (assist by G. Harris)
8:40.0,R. McCallum misses 2-pt shot from 1 ft,,88-103,,
8:38.0,,,88-103,,Defensive rebound by J. Hickson
8:31.0,,,88-103,,G. Harris misses 3-pt shot from 22 ft
8:29.0,Defensive rebound by R. Hollins,,88-103,,
8:25.0,N. Stauskas misses 2-pt shot from 2 ft,,88-103,,
8:24.0,Offensive rebound by Team,,88-103,,
8:23.0,Shooting foul by W. Chandler (drawn by O. Casspi),,88-103,,
8:23.0,O. Casspi makes free throw 1 of 2,1,89-103,,
8:23.0,D. Williams enters the game for N. Stauskas,,89-103,,
8:23.0,,,89-103,,W. Barton enters the game for W. Chandler
8:23.0,O. Casspi makes free throw 2 of 2,1,90-103,,
8:06.0,,,90-103,,D. Gallinari misses 2-pt shot from 21 ft
8:05.0,Defensive rebound by B. McLemore,,90-103,,
7:52.0,R. McCallum makes 2-pt shot from 1 ft (assist by B. McLemore),2,92-103,,
7:37.0,,,92-103,,D. Gallinari misses 2-pt shot from 5 ft
7:36.0,,,92-103,,Offensive rebound by J. Hickson
7:32.0,,,92-105,2,J. Hickson makes 2-pt shot from 2 ft
7:20.0,O. Casspi misses 3-pt shot from 25 ft,,92-105,,
7:18.0,,,92-105,,Defensive rebound by W. Barton
7:11.0,,,92-105,,Shooting foul by D. Williams (drawn by J. Hickson)
7:11.0,,,92-107,2,J. Hickson makes 2-pt shot at rim (assist by D. Gallinari)
7:11.0,,,92-107,,J. Lauvergne enters the game for D. Gallinari
7:11.0,J. Thompson enters the game for R. Hollins,,92-107,,
7:11.0,,,92-108,1,J. Hickson makes free throw 1 of 1
7:00.0,D. Williams makes 2-pt shot from 2 ft (assist by O. Casspi),2,94-108,,
7:00.0,Shooting foul by J. Lauvergne (drawn by B. McLemore),,94-108,,
7:00.0,D. Stockton enters the game for O. Casspi,,94-108,,
7:00.0,D. Williams makes free throw 1 of 1,1,95-108,,
6:36.0,,,95-110,2,J. Hickson makes 2-pt shot from 8 ft (assist by J. Lauvergne)
6:21.0,J. Thompson misses 2-pt shot from 5 ft,,95-110,,
6:19.0,,,95-110,,Defensive rebound by W. Barton
6:08.0,,,95-113,3,W. Barton makes 3-pt shot from 26 ft (assist by T. Lawson)
5:49.0,,,95-113,,Def 3 sec tech foul by J. Hickson
5:49.0,Official timeout,,95-113,,
5:49.0,,,95-113,,J. Nurkic enters the game for T. Lawson
5:49.0,,,95-113,,E. Green enters the game for J. Hickson
5:49.0,B. McLemore misses technical free throw,,95-113,,
5:49.0,Offensive rebound by Team,,95-113,,
5:38.0,B. McLemore misses 3-pt shot from 25 ft,,95-113,,
5:37.0,Offensive rebound by B. McLemore,,95-113,,
5:32.0,D. Williams misses 2-pt shot from 15 ft,,95-113,,
5:30.0,,,95-113,,Defensive rebound by W. Barton
5:19.0,,,95-113,,E. Green misses 3-pt shot from 24 ft
5:19.0,Defensive rebound by Team,,95-113,,
4:59.0,Turnover by J. Thompson (bad pass; steal by W. Barton),,95-113,,
4:48.0,,,95-113,,E. Green misses 2-pt shot from 15 ft
4:45.0,,,95-113,,Offensive rebound by J. Nurkic
4:42.0,,,95-113,,Turnover by E. Green (bad pass; steal by B. McLemore)
4:42.0,B. McLemore makes 2-pt shot at rim,2,97-113,,
4:42.0,Shooting foul by W. Barton (drawn by B. McLemore),,97-113,,
4:42.0,B. McLemore makes free throw 1 of 1,1,98-113,,
4:24.0,,,98-113,,Turnover by J. Nurkic (lost ball; steal by B. McLemore)
4:19.0,,,98-113,,Personal foul by W. Barton (drawn by B. McLemore)
4:19.0,N. Stauskas enters the game for R. McCallum,,98-113,,
