time,Miami,pts.away,score,pts.home,Charlotte
3:29.0,,,30-38,,M. Williams enters the game for C. Zeller
3:15.0,D. Wade misses 2-pt shot from 16 ft,,30-38,,
3:12.0,,,30-38,,Defensive rebound by M. Kidd-Gilchrist
3:04.0,,,30-40,2,B. Biyombo makes 2-pt shot at rim (assist by G. Henderson)
2:34.0,N. Cole makes 2-pt shot from 18 ft (assist by C. Bosh),2,32-40,,
2:19.0,,,32-40,,G. Henderson misses 3-pt shot from 23 ft
2:18.0,Defensive rebound by C. Andersen,,32-40,,
2:03.0,D. Granger makes 3-pt shot from 25 ft (assist by N. Cole),3,35-40,,
1:52.0,,,35-40,,K. Walker misses 2-pt shot from 3 ft (block by N. Cole)
1:52.0,,,35-40,,Offensive rebound by Team
1:52.0,Official timeout,,35-40,,
1:52.0,,,35-40,,A. Jefferson enters the game for B. Biyombo
1:52.0,M. Chalmers enters the game for D. Wade,,35-40,,
1:39.0,,,35-40,,K. Walker misses 3-pt shot from 26 ft
1:38.0,Defensive rebound by C. Andersen,,35-40,,
1:27.0,Shooting foul by M. Williams (drawn by C. Bosh),,35-40,,
1:27.0,C. Bosh makes free throw 1 of 2,1,36-40,,
1:27.0,,,36-40,,C. Zeller enters the game for M. Williams
1:27.0,C. Bosh makes free throw 2 of 2,1,37-40,,
1:03.0,,,37-43,3,K. Walker makes 3-pt shot from 28 ft (assist by G. Henderson)
0:47.0,M. Chalmers makes 2-pt shot from 6 ft (assist by C. Bosh),2,39-43,,
0:40.0,Violation by C. Andersen (kicked ball),,39-43,,
0:25.0,,,39-45,2,G. Henderson makes 2-pt shot from 16 ft
0:04.0,C. Bosh misses 2-pt shot from 9 ft,,39-45,,
0:02.0,,,39-45,,Defensive rebound by A. Jefferson
0:00.0,,,39-45,,K. Walker misses 3-pt shot from 59 ft
0:00.0,,,39-45,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,,,39-45,,C. Zeller misses 2-pt shot from 17 ft
11:42.0,Defensive rebound by C. Andersen,,39-45,,
11:23.0,Turnover by D. Wade (lost ball; steal by B. Biyombo),,39-45,,
11:10.0,,,39-45,,C. Zeller misses 2-pt shot from 1 ft
11:09.0,,,39-45,,Offensive rebound by B. Biyombo
11:09.0,,,39-47,2,B. Biyombo makes 2-pt shot at rim
10:53.0,Shooting foul by C. Zeller (drawn by C. Andersen),,39-47,,
10:53.0,C. Andersen makes free throw 1 of 2,1,40-47,,
10:53.0,C. Andersen makes free throw 2 of 2,1,41-47,,
10:38.0,,,41-47,,G. Henderson misses 2-pt shot from 18 ft
10:36.0,Defensive rebound by M. Chalmers,,41-47,,
10:21.0,D. Granger misses 2-pt shot from 1 ft (block by B. Biyombo),,41-47,,
10:19.0,,,41-47,,Defensive rebound by C. Zeller
10:18.0,,,41-47,,Shooting foul by M. Chalmers (drawn by C. Zeller)
10:18.0,,,41-47,,C. Zeller misses free throw 1 of 2
10:18.0,,,41-47,,Offensive rebound by Team
10:18.0,,,41-47,,C. Zeller misses free throw 2 of 2
10:16.0,Defensive rebound by D. Wade,,41-47,,
9:52.0,C. Bosh misses 2-pt shot from 10 ft,,41-47,,
9:51.0,,,41-47,,Defensive rebound by B. Biyombo
9:37.0,,,41-47,,G. Henderson misses 2-pt shot from 15 ft
9:36.0,Defensive rebound by C. Bosh,,41-47,,
9:16.0,C. Bosh misses 3-pt shot from 26 ft,,41-47,,
9:15.0,,,41-47,,Defensive rebound by C. Zeller
9:06.0,,,41-47,,Turnover by B. Biyombo (lost ball; steal by D. Granger)
8:49.0,C. Bosh makes 2-pt shot at rim,2,43-47,,
8:39.0,,,43-50,3,K. Walker makes 3-pt shot from 24 ft
8:19.0,D. Wade misses 2-pt shot from 19 ft,,43-50,,
8:18.0,,,43-50,,Defensive rebound by C. Zeller
8:14.0,,,43-50,,Shooting foul by D. Granger (drawn by M. Kidd-Gilchrist)
8:14.0,,,43-50,,M. Kidd-Gilchrist misses free throw 1 of 2
8:14.0,,,43-50,,Offensive rebound by Team
8:14.0,,,43-51,1,M. Kidd-Gilchrist makes free throw 2 of 2
7:58.0,D. Wade makes 2-pt shot from 1 ft (assist by C. Andersen),2,45-51,,
7:44.0,,,45-53,2,M. Kidd-Gilchrist makes 2-pt shot at rim (assist by C. Zeller)
7:27.0,D. Wade makes 2-pt shot from 9 ft,2,47-53,,
7:14.0,,,47-53,,C. Zeller misses 2-pt shot at rim (block by C. Andersen)
7:12.0,,,47-53,,Offensive rebound by C. Zeller
7:07.0,,,47-53,,Turnover by M. Kidd-Gilchrist (lost ball; steal by D. Wade)
6:45.0,D. Wade misses 2-pt shot from 17 ft,,47-53,,
6:43.0,,,47-53,,Defensive rebound by C. Zeller
6:35.0,,,47-53,,M. Kidd-Gilchrist misses 2-pt shot from 16 ft
6:32.0,,,47-53,,Offensive rebound by B. Biyombo
6:32.0,,,47-53,,B. Biyombo misses 2-pt shot from 2 ft
6:29.0,,,47-53,,Offensive rebound by M. Kidd-Gilchrist
6:28.0,,,47-53,,M. Kidd-Gilchrist misses 2-pt shot at rim (block by C. Andersen)
6:26.0,,,47-53,,Offensive rebound by B. Biyombo
6:22.0,,,47-53,,K. Walker misses 3-pt shot from 24 ft
6:22.0,,,47-53,,Offensive rebound by Team
6:22.0,Loose ball foul by D. Wade (drawn by M. Kidd-Gilchrist),,47-53,,
6:22.0,S. Napier enters the game for D. Wade,,47-53,,
6:22.0,J. Ennis enters the game for D. Granger,,47-53,,
6:17.0,,,47-53,,Shooting foul by C. Andersen (drawn by B. Biyombo)
6:17.0,,,47-53,,B. Biyombo misses free throw 1 of 2
6:17.0,,,47-53,,Offensive rebound by Team
6:17.0,,,47-54,1,B. Biyombo makes free throw 2 of 2
5:56.0,C. Bosh misses 2-pt shot from 12 ft,,47-54,,
5:54.0,,,47-54,,Defensive rebound by G. Henderson
5:38.0,,,47-56,2,G. Henderson makes 2-pt shot from 13 ft (assist by C. Zeller)
5:37.0,Miami full timeout,,47-56,,
5:09.0,J. Ennis misses 3-pt shot from 23 ft,,47-56,,
5:08.0,,,47-56,,Defensive rebound by M. Kidd-Gilchrist
4:54.0,,,47-56,,B. Biyombo misses 2-pt shot from 7 ft
4:52.0,Defensive rebound by C. Andersen,,47-56,,
4:41.0,C. Bosh makes 2-pt shot at rim (assist by C. Andersen),2,49-56,,
4:22.0,,,49-56,,K. Walker misses 2-pt shot from 16 ft
4:20.0,,,49-56,,Offensive rebound by B. Biyombo
4:20.0,,,49-58,2,B. Biyombo makes 2-pt shot at rim
4:02.0,C. Andersen makes 2-pt shot from 17 ft,2,51-58,,
3:42.0,,,51-58,,B. Biyombo misses 2-pt shot from 1 ft (block by C. Andersen)
3:40.0,,,51-58,,Offensive rebound by M. Kidd-Gilchrist
3:40.0,,,51-58,,M. Kidd-Gilchrist misses 2-pt shot at rim
3:38.0,Defensive rebound by C. Bosh,,51-58,,
3:28.0,Turnover by S. Napier (lost ball; steal by M. Kidd-Gilchrist),,51-58,,
3:24.0,,,51-58,,Turnover by B. Biyombo (lost ball; steal by J. Ennis)
3:22.0,C. Andersen misses 2-pt shot from 1 ft,,51-58,,
3:22.0,,,51-58,,Defensive rebound by Team
3:22.0,U. Haslem enters the game for C. Andersen,,51-58,,
3:22.0,S. Williams enters the game for C. Bosh,,51-58,,
3:15.0,,,51-58,,L. Stephenson enters the game for C. Zeller
3:15.0,,,51-58,,M. Williams enters the game for G. Henderson
3:00.0,,,51-58,,K. Walker misses 3-pt shot from 27 ft
2:59.0,Defensive rebound by S. Williams,,51-58,,
2:50.0,M. Chalmers misses 2-pt shot from 1 ft,,51-58,,
2:50.0,,,51-58,,Defensive rebound by Team
2:50.0,Loose ball foul by U. Haslem (drawn by M. Kidd-Gilchrist),,51-58,,
2:50.0,,,51-58,,Charlotte full timeout
2:50.0,,,51-59,1,M. Kidd-Gilchrist makes free throw 1 of 2
2:50.0,,,51-60,1,M. Kidd-Gilchrist makes free throw 2 of 2
2:22.0,U. Haslem makes 2-pt shot from 2 ft (assist by S. Napier),2,53-60,,
1:56.0,,,53-62,2,M. Kidd-Gilchrist makes 2-pt shot from 6 ft (assist by K. Walker)
1:38.0,S. Napier misses 2-pt shot from 11 ft,,53-62,,
1:37.0,,,53-62,,Defensive rebound by M. Kidd-Gilchrist
1:29.0,,,53-64,2,B. Biyombo makes 2-pt shot at rim (assist by L. Stephenson)
1:29.0,,,53-64,,Shooting foul by S. Williams (drawn by B. Biyombo)
1:29.0,D. Wade enters the game for M. Chalmers,,53-64,,
1:29.0,,,53-64,,G. Neal enters the game for M. Kidd-Gilchrist
1:29.0,,,53-65,1,B. Biyombo makes free throw 1 of 1
1:07.0,S. Williams misses 2-pt shot from 15 ft,,53-65,,
1:05.0,Offensive rebound by J. Ennis,,53-65,,
1:05.0,J. Ennis misses 2-pt shot at rim,,53-65,,
1:03.0,Offensive rebound by J. Ennis,,53-65,,
1:02.0,J. Ennis makes 2-pt shot at rim,2,55-65,,
0:40.0,,,55-65,,G. Neal misses 3-pt shot from 25 ft
0:39.0,Defensive rebound by U. Haslem,,55-65,,
0:31.0,D. Wade misses 2-pt shot from 8 ft,,55-65,,
0:30.0,Offensive rebound by U. Haslem,,55-65,,
0:22.0,,,55-65,,Personal foul by L. Stephenson (drawn by D. Wade)
0:22.0,,,55-65,,A. Jefferson enters the game for B. Biyombo
0:07.0,D. Wade misses 2-pt shot from 12 ft,,55-65,,
0:05.0,Offensive rebound by S. Napier,,55-65,,
0:00.0,J. Ennis misses 2-pt shot from 1 ft (block by A. Jefferson),,55-65,,
0:00.0,Offensive rebound by Team,,55-65,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,D. Wade misses 2-pt shot from 7 ft,,55-65,,
11:45.0,Offensive rebound by Team,,55-65,,
11:45.0,,,55-65,,Loose ball foul by M. Williams (drawn by S. Williams)
11:40.0,,,55-65,,Personal foul by G. Neal (drawn by D. Wade)
11:24.0,D. Wade makes 2-pt shot from 1 ft,2,57-65,,
11:03.0,,,57-65,,G. Neal misses 3-pt shot from 25 ft
11:01.0,Defensive rebound by S. Napier,,57-65,,
10:37.0,D. Wade makes 2-pt shot from 5 ft,2,59-65,,
10:18.0,,,59-67,2,A. Jefferson makes 2-pt shot from 13 ft (assist by G. Neal)
9:57.0,S. Williams misses 2-pt shot from 2 ft (block by M. Williams),,59-67,,
9:54.0,Offensive rebound by S. Williams,,59-67,,
9:54.0,S. Williams makes 2-pt shot from 1 ft,2,61-67,,
9:37.0,,,61-67,,Offensive foul by L. Stephenson
9:37.0,,,61-67,,Turnover by L. Stephenson (offensive foul)
9:14.0,S. Williams makes 3-pt shot from 29 ft (assist by D. Wade),3,64-67,,
8:58.0,,,64-67,,Turnover by B. Roberts (lost ball)
8:58.0,Official timeout,,64-67,,
8:58.0,,,64-67,,C. Zeller enters the game for M. Williams
8:48.0,S. Williams misses 3-pt shot from 26 ft,,64-67,,
8:47.0,,,64-67,,Defensive rebound by G. Neal
8:34.0,,,64-67,,G. Neal misses 3-pt shot from 25 ft
8:33.0,Defensive rebound by U. Haslem,,64-67,,
8:27.0,,,64-67,,Personal foul by C. Zeller (drawn by S. Williams)
8:27.0,,,64-67,,G. Henderson enters the game for G. Neal
8:10.0,S. Napier misses 2-pt shot from 20 ft,,64-67,,
8:09.0,,,64-67,,Defensive rebound by A. Jefferson
7:52.0,,,64-67,,B. Roberts misses 2-pt shot from 11 ft
7:50.0,,,64-67,,Offensive rebound by A. Jefferson
7:50.0,,,64-69,2,A. Jefferson makes 2-pt shot at rim
7:25.0,Shooting foul by A. Jefferson (drawn by J. Ennis),,64-69,,
7:25.0,J. Ennis makes free throw 1 of 2,1,65-69,,
7:25.0,M. Chalmers enters the game for D. Wade,,65-69,,
7:25.0,C. Bosh enters the game for U. Haslem,,65-69,,
7:25.0,,,65-69,,K. Walker enters the game for B. Roberts
7:25.0,J. Ennis makes free throw 2 of 2,1,66-69,,
7:00.0,,,66-71,2,A. Jefferson makes 2-pt shot from 8 ft (assist by C. Zeller)
6:46.0,Turnover by M. Chalmers (lost ball),,66-71,,
6:29.0,,,66-71,,A. Jefferson misses 2-pt shot from 6 ft
6:29.0,,,66-71,,Offensive rebound by Team
6:28.0,,,66-71,,Turnover by G. Henderson (bad pass)
6:28.0,Miami full timeout,,66-71,,
6:09.0,C. Bosh makes 2-pt shot from 17 ft (assist by S. Napier),2,68-71,,
5:39.0,,,68-71,,A. Jefferson misses 2-pt shot from 13 ft
5:38.0,,,68-71,,Offensive rebound by C. Zeller
5:21.0,,,68-71,,G. Henderson misses 2-pt shot from 16 ft
5:21.0,,,68-71,,Offensive rebound by Team
5:21.0,Loose ball foul by M. Chalmers (drawn by C. Zeller),,68-71,,
5:09.0,,,68-71,,A. Jefferson misses 2-pt shot from 5 ft (block by S. Williams)
5:07.0,Defensive rebound by J. Ennis,,68-71,,
4:53.0,Turnover by M. Chalmers (lost ball; steal by A. Jefferson),,68-71,,
4:43.0,,,68-71,,Shooting foul by C. Bosh (drawn by C. Zeller)
4:43.0,,,68-72,1,C. Zeller makes free throw 1 of 2
4:43.0,,,68-72,,B. Biyombo enters the game for A. Jefferson
4:43.0,,,68-72,,M. Kidd-Gilchrist enters the game for L. Stephenson
4:43.0,D. Wade enters the game for S. Napier,,68-72,,
4:43.0,,,68-72,,C. Zeller misses free throw 2 of 2
4:41.0,Defensive rebound by J. Ennis,,68-72,,
4:25.0,C. Bosh misses 2-pt shot from 2 ft (block by C. Zeller),,68-72,,
4:23.0,,,68-72,,Defensive rebound by B. Biyombo
4:20.0,,,68-72,,Offensive charge foul by M. Kidd-Gilchrist
4:20.0,,,68-72,,Turnover by M. Kidd-Gilchrist (offensive foul)
4:05.0,C. Bosh makes 3-pt shot from 25 ft (assist by D. Wade),3,71-72,,
3:46.0,,,71-72,,Turnover by G. Henderson (lost ball; steal by S. Williams)
3:37.0,M. Chalmers makes 3-pt shot from 25 ft (assist by D. Wade),3,74-72,,
3:37.0,,,74-72,,Charlotte full timeout
3:37.0,,,74-72,,M. Williams enters the game for B. Biyombo
3:17.0,,,74-72,,K. Walker misses 2-pt shot from 21 ft
