time,Indiana,pts.away,score,pts.home,LA Lakers
6:49.0,R. Stuckey makes 3-pt shot from 24 ft (assist by D. Sloan),3,10-11,,
6:35.0,,,10-11,,J. Hill misses 2-pt shot from 14 ft
6:33.0,Defensive rebound by R. Hibbert,,10-11,,
6:19.0,R. Hibbert misses 2-pt shot from 2 ft,,10-11,,
6:18.0,,,10-11,,Defensive rebound by W. Johnson
6:07.0,,,10-11,,Turnover by E. Davis (lost ball; steal by R. Hibbert)
6:01.0,R. Stuckey misses 2-pt shot at rim,,10-11,,
5:58.0,,,10-11,,Defensive rebound by E. Davis
5:49.0,,,10-11,,J. Hill misses 2-pt shot from 11 ft
5:49.0,,,10-11,,Offensive rebound by Team
5:49.0,Loose ball foul by D. West (drawn by E. Davis),,10-11,,
5:49.0,,,10-11,,LA Lakers full timeout
5:49.0,C. Miles enters the game for R. Stuckey,,10-11,,
5:40.0,,,10-11,,K. Bryant misses 2-pt shot from 15 ft
5:38.0,Defensive rebound by R. Hibbert,,10-11,,
5:20.0,C. Miles makes 2-pt shot from 5 ft (assist by D. Sloan),2,12-11,,
5:03.0,,,12-13,2,E. Davis makes 2-pt shot from 13 ft (assist by R. Price)
4:50.0,S. Hill misses 3-pt shot from 24 ft,,12-13,,
4:48.0,,,12-13,,Defensive rebound by E. Davis
4:35.0,,,12-13,,J. Hill misses 2-pt shot from 14 ft
4:34.0,Defensive rebound by R. Hibbert,,12-13,,
4:14.0,C. Miles misses 3-pt shot from 24 ft,,12-13,,
4:13.0,,,12-13,,Defensive rebound by J. Hill
4:04.0,,,12-13,,E. Davis misses 2-pt shot from 1 ft
4:01.0,Defensive rebound by S. Hill,,12-13,,
3:49.0,Shooting foul by E. Davis (drawn by S. Hill),,12-13,,
3:49.0,S. Hill makes free throw 1 of 2,1,13-13,,
3:49.0,,,13-13,,C. Boozer enters the game for J. Hill
3:49.0,,,13-13,,N. Young enters the game for W. Johnson
3:49.0,L. Allen enters the game for R. Hibbert,,13-13,,
3:49.0,S. Hill makes free throw 2 of 2,1,14-13,,
3:36.0,,,14-15,2,K. Bryant makes 2-pt shot at rim (assist by C. Boozer)
3:18.0,C. Miles makes 3-pt shot from 25 ft (assist by D. Sloan),3,17-15,,
2:54.0,,,17-15,,K. Bryant misses 2-pt shot from 20 ft
2:53.0,Defensive rebound by C. Miles,,17-15,,
2:38.0,C. Miles makes 3-pt shot from 24 ft (assist by S. Hill),3,20-15,,
2:23.0,,,20-15,,N. Young misses 3-pt shot from 24 ft
2:22.0,Defensive rebound by D. Sloan,,20-15,,
2:11.0,S. Hill makes 3-pt shot from 24 ft (assist by D. Sloan),3,23-15,,
2:09.0,,,23-15,,LA Lakers full timeout
2:09.0,Indiana full timeout,,23-15,,
2:09.0,,,23-15,,W. Ellington enters the game for E. Davis
2:09.0,,,23-15,,J. Lin enters the game for K. Bryant
2:09.0,,,23-15,,R. Sacre enters the game for R. Price
1:52.0,,,23-15,,C. Boozer misses 2-pt shot from 13 ft
1:51.0,Defensive rebound by D. Sloan,,23-15,,
1:38.0,C. Miles makes 3-pt shot from 25 ft (assist by D. West),3,26-15,,
1:25.0,,,26-15,,W. Ellington misses 2-pt shot from 19 ft
1:24.0,Defensive rebound by D. West,,26-15,,
1:03.0,D. Sloan makes 2-pt shot from 1 ft,2,28-15,,
0:44.0,,,28-15,,N. Young misses 2-pt shot from 1 ft
0:43.0,Defensive rebound by L. Allen,,28-15,,
0:36.0,D. West misses 2-pt shot from 1 ft,,28-15,,
0:35.0,Offensive rebound by D. West,,28-15,,
0:32.0,Turnover by D. West (bad pass; steal by J. Lin),,28-15,,
0:30.0,,,28-15,,Offensive foul by J. Lin
0:30.0,,,28-15,,Turnover by J. Lin (offensive foul)
0:30.0,R. Stuckey enters the game for S. Hill,,28-15,,
0:30.0,C. Copeland enters the game for D. West,,28-15,,
0:30.0,L. Scola enters the game for D. Sloan,,28-15,,
0:09.0,C. Miles misses 2-pt shot from 17 ft,,28-15,,
0:06.0,Offensive rebound by Team,,28-15,,
0:06.0,Turnover by Team (shot clock),,28-15,,
0:02.0,Personal foul by C. Copeland (drawn by N. Young),,28-15,,
0:02.0,S. Hill enters the game for C. Copeland,,28-15,,
0:01.0,,,28-15,,J. Lin misses 2-pt shot from 22 ft
0:00.0,,,28-15,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:51.0,,,28-15,,Shooting foul by L. Scola (drawn by C. Boozer)
11:51.0,,,28-16,1,C. Boozer makes free throw 1 of 2
11:51.0,,,28-17,1,C. Boozer makes free throw 2 of 2
11:36.0,C. Miles misses 2-pt shot from 20 ft,,28-17,,
11:36.0,Offensive rebound by Team,,28-17,,
11:36.0,,,28-17,,Loose ball foul by R. Sacre (drawn by L. Allen)
11:22.0,Turnover by C. Copeland (bad pass),,28-17,,
11:13.0,,,28-17,,Shooting foul by C. Copeland (drawn by N. Young)
11:13.0,,,28-18,1,N. Young makes free throw 1 of 2
11:13.0,,,28-19,1,N. Young makes free throw 2 of 2
10:50.0,L. Scola misses 2-pt shot from 19 ft,,28-19,,
10:49.0,,,28-19,,Defensive rebound by R. Sacre
10:37.0,,,28-21,2,C. Boozer makes 2-pt shot from 1 ft (assist by N. Young)
10:24.0,R. Stuckey misses 2-pt shot from 7 ft,,28-21,,
10:21.0,Offensive rebound by L. Scola,,28-21,,
10:18.0,L. Scola makes 2-pt shot from 1 ft,2,30-21,,
10:04.0,,,30-21,,J. Lin misses 2-pt shot from 18 ft
10:03.0,Defensive rebound by L. Scola,,30-21,,
9:53.0,Turnover by C. Miles (lost ball),,30-21,,
9:37.0,,,30-23,2,N. Young makes 2-pt shot from 17 ft
9:20.0,R. Stuckey makes 2-pt shot from 17 ft,2,32-23,,
9:05.0,,,32-23,,N. Young misses 3-pt shot from 24 ft
9:04.0,Defensive rebound by L. Allen,,32-23,,
8:57.0,Shooting foul by J. Lin (drawn by R. Stuckey),,32-23,,
8:57.0,Official timeout,,32-23,,
8:57.0,R. Stuckey makes free throw 1 of 2,1,33-23,,
8:57.0,R. Stuckey makes free throw 2 of 2,1,34-23,,
8:44.0,,,34-25,2,C. Boozer makes 2-pt shot from 1 ft (assist by J. Lin)
8:25.0,R. Stuckey misses 2-pt shot from 9 ft,,34-25,,
8:25.0,Offensive rebound by L. Scola,,34-25,,
8:25.0,,,34-25,,Personal foul by W. Ellington (drawn by L. Scola)
8:19.0,C. Miles makes 2-pt shot at rim (assist by L. Scola),2,36-25,,
8:04.0,,,36-25,,W. Ellington misses 3-pt shot from 25 ft
8:02.0,Defensive rebound by R. Stuckey,,36-25,,
7:56.0,C. Miles makes 2-pt shot from 16 ft (assist by R. Stuckey),2,38-25,,
7:38.0,,,38-25,,N. Young misses 2-pt shot from 17 ft
7:37.0,,,38-25,,Offensive rebound by R. Sacre
7:32.0,,,38-25,,Shooting foul by L. Allen (drawn by J. Lin)
7:32.0,,,38-25,,J. Lin misses free throw 1 of 2
7:32.0,,,38-25,,Offensive rebound by Team
7:32.0,,,38-25,,J. Hill enters the game for R. Sacre
7:32.0,,,38-26,1,J. Lin makes free throw 2 of 2
7:12.0,C. Miles misses 2-pt shot from 2 ft,,38-26,,
7:10.0,,,38-26,,Defensive rebound by W. Ellington
7:10.0,,,38-26,,Shooting foul by C. Copeland (drawn by N. Young)
7:10.0,,,38-27,1,N. Young makes free throw 1 of 2
7:10.0,,,38-27,,K. Bryant enters the game for J. Lin
7:10.0,,,38-27,,R. Price enters the game for W. Ellington
7:10.0,D. Sloan enters the game for C. Miles,,38-27,,
7:10.0,S. Hill enters the game for C. Copeland,,38-27,,
7:10.0,,,38-28,1,N. Young makes free throw 2 of 2
6:45.0,L. Scola makes 2-pt shot from 11 ft (assist by L. Allen),2,40-28,,
6:20.0,,,40-28,,C. Boozer misses 2-pt shot from 3 ft (block by L. Allen)
6:19.0,Defensive rebound by D. Sloan,,40-28,,
6:15.0,S. Hill misses 3-pt shot from 24 ft,,40-28,,
6:15.0,,,40-28,,Defensive rebound by Team
6:15.0,R. Hibbert enters the game for L. Allen,,40-28,,
6:15.0,,,40-28,,E. Davis enters the game for C. Boozer
6:01.0,,,40-28,,Shooting foul by R. Stuckey (drawn by N. Young)
6:01.0,,,40-29,1,N. Young makes free throw 1 of 3
6:01.0,,,40-30,1,N. Young makes free throw 2 of 3
6:01.0,,,40-31,1,N. Young makes free throw 3 of 3
5:41.0,S. Hill makes 2-pt shot from 1 ft (assist by L. Scola),2,42-31,,
5:28.0,,,42-31,,LA Lakers full timeout
5:25.0,,,42-33,2,E. Davis makes 2-pt shot from 10 ft (assist by K. Bryant)
5:07.0,R. Stuckey misses 3-pt shot from 23 ft,,42-33,,
5:05.0,,,42-33,,Defensive rebound by J. Hill
5:03.0,,,42-33,,Turnover by J. Hill (bad pass)
5:03.0,C. Miles enters the game for R. Stuckey,,42-33,,
4:51.0,D. Sloan makes 2-pt shot from 13 ft,2,44-33,,
4:37.0,,,44-33,,N. Young misses 2-pt shot from 15 ft
4:36.0,Defensive rebound by L. Scola,,44-33,,
4:28.0,D. Sloan misses 2-pt shot from 1 ft (block by J. Hill),,44-33,,
4:28.0,,,44-33,,Defensive rebound by Team
4:28.0,,,44-33,,W. Johnson enters the game for N. Young
4:13.0,,,44-33,,R. Price misses 3-pt shot from 23 ft
4:13.0,Defensive rebound by Team,,44-33,,
4:13.0,,,44-33,,Loose ball foul by J. Hill (drawn by R. Hibbert)
4:01.0,Turnover by L. Scola (traveling),,44-33,,
3:42.0,,,44-36,3,R. Price makes 3-pt shot from 23 ft (assist by K. Bryant)
3:42.0,Indiana full timeout,,44-36,,
3:42.0,D. West enters the game for L. Scola,,44-36,,
3:21.0,D. Sloan misses 3-pt shot from 25 ft,,44-36,,
3:19.0,,,44-36,,Defensive rebound by W. Johnson
3:00.0,,,44-36,,J. Hill misses 2-pt shot from 19 ft
2:59.0,Defensive rebound by R. Hibbert,,44-36,,
2:40.0,D. Sloan misses 3-pt shot from 22 ft,,44-36,,
2:39.0,,,44-36,,Defensive rebound by J. Hill
2:15.0,,,44-36,,W. Johnson misses 3-pt shot from 22 ft
2:14.0,Defensive rebound by D. Sloan,,44-36,,
1:57.0,R. Hibbert makes 2-pt shot from 17 ft (assist by D. Sloan),2,46-36,,
1:42.0,,,46-36,,Shooting foul by C. Miles (drawn by E. Davis)
1:42.0,,,46-37,1,E. Davis makes free throw 1 of 2
1:42.0,,,46-38,1,E. Davis makes free throw 2 of 2
1:27.0,S. Hill misses 2-pt shot from 11 ft,,46-38,,
1:25.0,Offensive rebound by Team,,46-38,,
1:09.0,S. Hill misses 3-pt shot from 24 ft,,46-38,,
1:08.0,,,46-38,,Defensive rebound by W. Johnson
1:03.0,,,46-38,,Turnover by K. Bryant (bad pass; steal by C. Miles)
1:00.0,C. Miles makes 2-pt shot at rim,2,48-38,,
0:50.0,,,48-38,,K. Bryant misses 3-pt shot from 22 ft
0:49.0,Defensive rebound by R. Hibbert,,48-38,,
0:39.0,D. Sloan misses 3-pt shot from 25 ft,,48-38,,
0:38.0,Offensive rebound by C. Miles,,48-38,,
0:34.0,C. Miles misses 3-pt shot from 24 ft,,48-38,,
0:31.0,,,48-38,,Defensive rebound by K. Bryant
0:25.0,,,48-38,,E. Davis misses 2-pt shot from 3 ft
0:25.0,,,48-38,,Offensive rebound by J. Hill
0:24.0,,,48-38,,J. Hill misses 2-pt shot from 3 ft
0:20.0,Defensive rebound by D. West,,48-38,,
0:16.0,Indiana full timeout,,48-38,,
0:16.0,C. Copeland enters the game for R. Hibbert,,48-38,,
0:16.0,,,48-38,,W. Ellington enters the game for W. Johnson
0:16.0,,,48-38,,N. Young enters the game for J. Hill
0:03.0,Turnover by D. West (bad pass; steal by N. Young),,48-38,,
0:01.0,,,48-41,3,N. Young makes 3-pt shot from 24 ft
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,,,48-41,,K. Bryant misses 2-pt shot from 9 ft
11:40.0,Defensive rebound by D. West,,48-41,,
11:24.0,D. West makes 2-pt shot from 16 ft (assist by R. Stuckey),2,50-41,,
11:14.0,,,50-41,,Turnover by K. Bryant (bad pass; steal by R. Stuckey)
11:04.0,S. Hill misses 2-pt shot from 15 ft,,50-41,,
11:03.0,,,50-41,,Defensive rebound by E. Davis
10:52.0,,,50-41,,E. Davis misses 2-pt shot from 8 ft
10:50.0,Defensive rebound by R. Hibbert,,50-41,,
10:40.0,R. Hibbert makes 2-pt shot from 16 ft (assist by R. Stuckey),2,52-41,,
10:16.0,,,52-43,2,K. Bryant makes 2-pt shot from 9 ft
10:02.0,Shooting foul by R. Price (drawn by D. Sloan),,52-43,,
10:02.0,D. Sloan makes free throw 1 of 2,1,53-43,,
10:02.0,D. Sloan makes free throw 2 of 2,1,54-43,,
9:46.0,,,54-43,,W. Ellington misses 3-pt shot from 24 ft
9:43.0,,,54-43,,Offensive rebound by E. Davis
9:43.0,,,54-43,,E. Davis misses 2-pt shot from 1 ft
9:41.0,Defensive rebound by R. Stuckey,,54-43,,
9:38.0,,,54-43,,Personal block foul by R. Price (drawn by R. Stuckey)
9:25.0,D. West makes 2-pt shot from 6 ft (assist by D. Sloan),2,56-43,,
9:14.0,,,56-43,,Shooting foul by D. Sloan (drawn by J. Hill)
9:14.0,,,56-44,1,J. Hill makes free throw 1 of 2
9:14.0,,,56-45,1,J. Hill makes free throw 2 of 2
8:52.0,D. Sloan misses 2-pt shot from 20 ft,,56-45,,
8:50.0,Offensive rebound by R. Hibbert,,56-45,,
8:39.0,,,56-45,,Personal foul by K. Bryant (drawn by R. Hibbert)
8:27.0,Turnover by D. West (3 sec),,56-45,,
8:18.0,,,56-45,,Turnover by W. Ellington (bad pass)
7:55.0,D. Sloan misses 3-pt shot from 24 ft,,56-45,,
7:55.0,Offensive rebound by Team,,56-45,,
7:55.0,,,56-45,,Loose ball foul by J. Hill (drawn by R. Hibbert)
7:55.0,L. Allen enters the game for R. Hibbert,,56-45,,
7:43.0,Turnover by D. West (bad pass; steal by J. Hill),,56-45,,
7:32.0,,,56-45,,R. Price misses 3-pt shot from 24 ft
7:31.0,Defensive rebound by S. Hill,,56-45,,
7:24.0,Turnover by S. Hill (lost ball; steal by K. Bryant),,56-45,,
7:21.0,Violation by R. Stuckey (kicked ball),,56-45,,
7:05.0,,,56-47,2,R. Price makes 2-pt shot from 14 ft (assist by J. Hill)
6:42.0,D. Sloan makes 2-pt shot from 14 ft,2,58-47,,
6:24.0,Personal foul by D. Sloan (drawn by J. Hill),,58-47,,
6:24.0,C. Miles enters the game for R. Stuckey,,58-47,,
6:18.0,,,58-49,2,W. Ellington makes 2-pt shot at rim (assist by K. Bryant)
5:59.0,D. Sloan misses 2-pt shot from 1 ft,,58-49,,
5:57.0,Offensive rebound by L. Allen,,58-49,,
5:54.0,L. Allen makes 2-pt shot at rim,2,60-49,,
5:45.0,Personal foul by S. Hill (drawn by K. Bryant),,60-49,,
5:45.0,,,60-49,,LA Lakers full timeout
5:32.0,,,60-49,,W. Ellington misses 2-pt shot from 21 ft
5:31.0,,,60-49,,Offensive rebound by J. Hill
5:19.0,,,60-49,,Shooting foul by L. Allen (drawn by E. Davis)
5:19.0,,,60-49,,E. Davis misses free throw 1 of 2
5:19.0,,,60-49,,Offensive rebound by Team
5:19.0,,,60-50,1,E. Davis makes free throw 2 of 2
5:05.0,D. West misses 2-pt shot from 10 ft,,60-50,,
5:04.0,Offensive rebound by L. Allen,,60-50,,
4:54.0,S. Hill misses 3-pt shot from 24 ft,,60-50,,
4:53.0,Offensive rebound by D. West,,60-50,,
4:53.0,D. West makes 2-pt shot from 1 ft,2,62-50,,
4:53.0,Shooting foul by E. Davis (drawn by D. West),,62-50,,
4:53.0,,,62-50,,C. Boozer enters the game for J. Hill
4:53.0,,,62-50,,N. Young enters the game for W. Ellington
4:53.0,D. West makes free throw 1 of 1,1,63-50,,
4:40.0,,,63-50,,K. Bryant misses 2-pt shot from 21 ft
4:39.0,Defensive rebound by L. Allen,,63-50,,
4:28.0,Turnover by S. Hill (bad pass; steal by R. Price),,63-50,,
4:22.0,,,63-50,,R. Price misses 2-pt shot at rim
4:20.0,Defensive rebound by D. Sloan,,63-50,,
4:16.0,D. West misses 3-pt shot from 25 ft,,63-50,,
4:13.0,,,63-50,,Defensive rebound by K. Bryant
4:06.0,,,63-52,2,C. Boozer makes 2-pt shot from 18 ft (assist by K. Bryant)
3:48.0,C. Miles misses 2-pt shot from 15 ft,,63-52,,
3:47.0,,,63-52,,Defensive rebound by E. Davis
3:39.0,,,63-54,2,E. Davis makes 2-pt shot at rim (assist by K. Bryant)
3:35.0,Indiana full timeout,,63-54,,
3:26.0,L. Allen misses 2-pt shot from 19 ft,,63-54,,
3:25.0,,,63-54,,Defensive rebound by N. Young
3:10.0,,,63-54,,R. Price misses 3-pt shot from 23 ft
3:10.0,Defensive rebound by Team,,63-54,,
3:06.0,Turnover by D. Sloan (lost ball; steal by R. Price),,63-54,,
3:02.0,,,63-56,2,R. Price makes 2-pt shot at rim
2:48.0,,,63-56,,Personal block foul by R. Price (drawn by D. Sloan)
2:48.0,D. Sloan makes free throw 1 of 2,1,64-56,,
2:48.0,,,64-56,,R. Kelly enters the game for K. Bryant
2:48.0,,,64-56,,J. Lin enters the game for R. Price
2:48.0,D. Sloan misses free throw 2 of 2,,64-56,,
2:46.0,,,64-56,,Defensive rebound by R. Kelly
2:35.0,,,64-56,,Turnover by N. Young (bad pass; steal by S. Hill)
2:22.0,C. Miles misses 3-pt shot from 24 ft,,64-56,,
2:21.0,Offensive rebound by D. West,,64-56,,
2:01.0,D. Sloan misses 3-pt shot from 25 ft,,64-56,,
1:59.0,Offensive rebound by L. Allen,,64-56,,
1:47.0,D. West makes 2-pt shot from 19 ft (assist by D. Sloan),2,66-56,,
1:27.0,,,66-56,,Turnover by C. Boozer (bad pass)
1:27.0,R. Stuckey enters the game for D. Sloan,,66-56,,
1:27.0,C. Copeland enters the game for S. Hill,,66-56,,
1:11.0,R. Stuckey misses 2-pt shot from 11 ft,,66-56,,
1:10.0,Offensive rebound by R. Stuckey,,66-56,,
0:59.0,D. West makes 2-pt shot from 17 ft (assist by R. Stuckey),2,68-56,,
0:49.0,,,68-56,,Shooting foul by R. Stuckey (drawn by J. Lin)
0:49.0,,,68-57,1,J. Lin makes free throw 1 of 2
0:49.0,,,68-58,1,J. Lin makes free throw 2 of 2
0:34.0,Shooting foul by E. Davis (drawn by C. Miles),,68-58,,
0:34.0,C. Miles misses free throw 1 of 2,,68-58,,
0:34.0,Offensive rebound by Team,,68-58,,
0:34.0,C. Miles makes free throw 2 of 2,1,69-58,,
0:30.0,,,69-61,3,J. Lin makes 3-pt shot from 24 ft
0:09.0,D. West misses 2-pt shot from 13 ft,,69-61,,
0:07.0,,,69-61,,Defensive rebound by J. Lin
0:03.0,,,69-61,,Shooting foul by R. Stuckey (drawn by J. Lin)
0:03.0,,,69-62,1,J. Lin makes free throw 1 of 2
0:03.0,,,69-63,1,J. Lin makes free throw 2 of 2
0:01.0,C. Miles misses 3-pt shot from 33 ft,,69-63,,
0:00.0,Offensive rebound by Team,,69-63,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,C. Copeland misses 3-pt shot from 23 ft,,69-63,,
11:42.0,,,69-63,,Defensive rebound by N. Young
11:28.0,,,69-65,2,C. Boozer makes 2-pt shot from 15 ft (assist by R. Sacre)
11:12.0,Turnover by R. Stuckey (lost ball),,69-65,,
11:01.0,,,69-65,,J. Lin misses 2-pt shot from 15 ft
11:00.0,Defensive rebound by L. Scola,,69-65,,
10:42.0,C. Miles misses 3-pt shot from 24 ft,,69-65,,
10:41.0,,,69-65,,Defensive rebound by R. Sacre
10:31.0,,,69-68,3,N. Young makes 3-pt shot from 24 ft
10:29.0,Indiana full timeout,,69-68,,
10:29.0,R. Hibbert enters the game for L. Allen,,69-68,,
10:15.0,L. Scola misses 2-pt shot from 2 ft,,69-68,,
10:13.0,Offensive rebound by R. Hibbert,,69-68,,
10:13.0,R. Hibbert makes 2-pt shot at rim,2,71-68,,
9:54.0,,,71-68,,Offensive foul by C. Boozer
9:54.0,,,71-68,,Turnover by C. Boozer (offensive foul)
9:44.0,R. Stuckey misses 2-pt shot from 6 ft,,71-68,,
9:42.0,,,71-68,,Defensive rebound by J. Lin
9:39.0,,,71-68,,Turnover by J. Lin (bad pass; steal by C. Miles)
9:28.0,Shooting foul by R. Kelly (drawn by L. Scola),,71-68,,
9:28.0,L. Scola misses free throw 1 of 2,,71-68,,
9:28.0,Offensive rebound by Team,,71-68,,
9:28.0,L. Scola makes free throw 2 of 2,1,72-68,,
9:14.0,Personal foul by C. Copeland (drawn by J. Lin),,72-68,,
9:07.0,,,72-70,2,J. Lin makes 2-pt shot from 10 ft
8:48.0,C. Copeland misses 3-pt shot from 23 ft,,72-70,,
8:46.0,,,72-70,,Defensive rebound by C. Boozer
8:42.0,Personal foul by L. Scola (drawn by J. Lin),,72-70,,
8:32.0,,,72-70,,N. Young misses 2-pt shot from 21 ft
8:31.0,Defensive rebound by Team,,72-70,,
8:12.0,C. Copeland makes 2-pt shot from 2 ft (assist by L. Scola),2,74-70,,
8:12.0,Shooting foul by R. Kelly (drawn by C. Copeland),,74-70,,
8:12.0,C. Copeland misses free throw 1 of 1,,74-70,,
8:10.0,,,74-70,,Defensive rebound by R. Kelly
7:55.0,,,74-72,2,C. Boozer makes 2-pt shot from 16 ft (assist by J. Lin)
7:31.0,C. Copeland misses 2-pt shot from 2 ft (block by R. Sacre),,74-72,,
7:29.0,,,74-72,,Defensive rebound by R. Sacre
7:19.0,,,74-74,2,N. Young makes 2-pt shot from 2 ft
7:02.0,,,74-74,,Personal foul by N. Young (drawn by C. Miles)
7:02.0,S. Hill enters the game for C. Copeland,,74-74,,
7:02.0,D. Sloan enters the game for C. Miles,,74-74,,
6:49.0,R. Stuckey makes 3-pt shot from 24 ft,3,77-74,,
6:28.0,,,77-74,,R. Sacre misses 2-pt shot from 13 ft
6:27.0,Defensive rebound by L. Scola,,77-74,,
6:16.0,R. Stuckey misses 2-pt shot from 12 ft,,77-74,,
6:15.0,,,77-74,,Defensive rebound by C. Boozer
6:08.0,,,77-74,,J. Lin misses 3-pt shot from 24 ft
6:07.0,,,77-74,,Offensive rebound by C. Boozer
6:03.0,,,77-74,,N. Young misses 3-pt shot from 22 ft
6:00.0,Defensive rebound by L. Scola,,77-74,,
5:55.0,Technical foul by R. Hibbert,,77-74,,
5:55.0,Official timeout,,77-74,,
5:55.0,,,77-74,,E. Davis enters the game for R. Sacre
5:55.0,,,77-74,,K. Bryant enters the game for R. Kelly
5:55.0,,,77-75,1,N. Young makes technical free throw
5:55.0,R. Hibbert makes flagrant free throw 1 of 2,1,78-75,,
5:55.0,R. Hibbert makes flagrant free throw 2 of 2,1,79-75,,
5:42.0,Turnover by R. Stuckey (traveling),,79-75,,
5:28.0,,,79-75,,N. Young misses 2-pt shot from 20 ft
5:27.0,Defensive rebound by D. Sloan,,79-75,,
5:15.0,R. Hibbert misses 2-pt shot from 3 ft,,79-75,,
5:12.0,,,79-75,,Defensive rebound by C. Boozer
4:59.0,,,79-75,,C. Boozer misses 2-pt shot from 18 ft
4:58.0,Defensive rebound by L. Scola,,79-75,,
4:45.0,L. Scola misses 2-pt shot from 17 ft,,79-75,,
4:44.0,,,79-75,,Defensive rebound by E. Davis
4:39.0,Personal block foul by L. Scola (drawn by K. Bryant),,79-75,,
4:39.0,C. Miles enters the game for R. Stuckey,,79-75,,
4:39.0,D. West enters the game for L. Scola,,79-75,,
4:35.0,,,79-75,,Shooting foul by C. Miles (drawn by N. Young)
4:35.0,,,79-76,1,N. Young makes free throw 1 of 2
4:35.0,,,79-77,1,N. Young makes free throw 2 of 2
4:18.0,,,79-77,,Personal foul by N. Young (drawn by C. Miles)
4:18.0,C. Miles misses free throw 1 of 2,,79-77,,
4:18.0,Offensive rebound by Team,,79-77,,
4:18.0,C. Miles makes free throw 2 of 2,1,80-77,,
4:08.0,Personal foul by C. Miles (drawn by N. Young),,80-77,,
4:08.0,,,80-78,1,N. Young makes free throw 1 of 2
4:08.0,,,80-79,1,N. Young makes free throw 2 of 2
3:58.0,D. West misses 2-pt shot from 17 ft,,80-79,,
3:57.0,Offensive rebound by S. Hill,,80-79,,
3:51.0,C. Miles misses 3-pt shot from 24 ft,,80-79,,
3:50.0,,,80-79,,Defensive rebound by J. Lin
3:30.0,,,80-79,,K. Bryant misses 2-pt shot from 15 ft
3:27.0,Defensive rebound by R. Hibbert,,80-79,,
3:07.0,S. Hill misses 2-pt shot from 1 ft,,80-79,,
3:06.0,Offensive rebound by Team,,80-79,,
3:06.0,Turnover by Team (shot clock),,80-79,,
2:52.0,,,80-79,,C. Boozer misses 2-pt shot from 2 ft (block by R. Hibbert)
2:50.0,Defensive rebound by R. Hibbert,,80-79,,
2:45.0,D. Sloan makes 2-pt shot from 1 ft,2,82-79,,
2:39.0,,,82-79,,LA Lakers full timeout
2:39.0,,,82-79,,R. Kelly enters the game for E. Davis
2:32.0,,,82-79,,Shooting foul by S. Hill (drawn by K. Bryant)
2:32.0,,,82-80,1,K. Bryant makes free throw 1 of 2
2:32.0,,,82-81,1,K. Bryant makes free throw 2 of 2
2:16.0,C. Miles misses 2-pt shot from 10 ft,,82-81,,
2:15.0,,,82-81,,Defensive rebound by K. Bryant
