time,Sacramento,pts.away,score,pts.home,Miami
1:09.0,Defensive rebound by O. Casspi,,25-24,,
0:59.0,A. Miller misses 2-pt shot at rim (block by T. Johnson),,25-24,,
0:58.0,Offensive rebound by A. Miller,,25-24,,
0:48.0,J. Thompson makes 2-pt shot from 7 ft,2,27-24,,
0:39.0,,,27-24,,Turnover by T. Johnson (bad pass)
0:24.0,Turnover by N. Stauskas (lost ball; steal by M. Chalmers),,27-24,,
0:22.0,Personal foul by O. Casspi (drawn by M. Chalmers),,27-24,,
0:22.0,,,27-25,1,M. Chalmers makes free throw 1 of 2
0:22.0,,,27-26,1,M. Chalmers makes free throw 2 of 2
0:00.0,D. Williams makes 3-pt shot from 25 ft,3,30-26,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,,,30-28,2,T. Johnson makes 2-pt shot from 5 ft
11:29.0,Shooting foul by H. Walker (drawn by D. Cousins),,30-28,,
11:29.0,D. Cousins makes free throw 1 of 2,1,31-28,,
11:29.0,D. Cousins misses free throw 2 of 2,,31-28,,
11:28.0,,,31-28,,Defensive rebound by J. Ennis
11:14.0,,,31-28,,M. Beasley misses 2-pt shot from 17 ft
11:13.0,Defensive rebound by D. Williams,,31-28,,
11:02.0,Offensive foul by D. Cousins,,31-28,,
11:02.0,Turnover by D. Cousins (offensive foul),,31-28,,
10:49.0,,,31-28,,T. Johnson misses 2-pt shot from 2 ft (block by D. Cousins)
10:48.0,Defensive rebound by O. Casspi,,31-28,,
10:45.0,Offensive charge foul by N. Stauskas,,31-28,,
10:45.0,Turnover by N. Stauskas (offensive foul),,31-28,,
10:29.0,,,31-30,2,H. Walker makes 2-pt shot from 1 ft
10:15.0,,,31-30,,Personal foul by M. Beasley (drawn by D. Cousins)
10:15.0,B. McLemore enters the game for N. Stauskas,,31-30,,
10:15.0,,,31-30,,U. Haslem enters the game for H. Walker
10:07.0,Jump ball: D. Cousins vs. T. Johnson (A. Miller gains possession),,,,Jump ball: D. Cousins vs. T. Johnson (A. Miller gains possession)
10:01.0,D. Cousins makes 2-pt shot from 1 ft (assist by A. Miller),2,33-30,,
9:47.0,,,33-30,,M. Beasley misses 2-pt shot from 17 ft
9:46.0,,,33-30,,Offensive rebound by U. Haslem
9:45.0,,,33-30,,U. Haslem misses 2-pt shot from 6 ft
9:44.0,Defensive rebound by O. Casspi,,33-30,,
9:34.0,,,33-30,,Personal foul by M. Chalmers (drawn by O. Casspi)
9:34.0,,,33-30,,S. Napier enters the game for M. Chalmers
9:26.0,D. Cousins makes 2-pt shot at rim (assist by O. Casspi),2,35-30,,
9:26.0,,,35-30,,Miami full timeout
9:21.0,Personal foul by A. Miller (drawn by S. Napier),,35-30,,
9:02.0,,,35-30,,J. Ennis misses 3-pt shot from 23 ft
9:01.0,Defensive rebound by D. Cousins,,35-30,,
8:57.0,B. McLemore makes 2-pt shot at rim (assist by D. Cousins),2,37-30,,
8:41.0,,,37-30,,T. Johnson misses 3-pt shot from 24 ft
8:40.0,Defensive rebound by O. Casspi,,37-30,,
8:28.0,B. McLemore misses 2-pt shot from 19 ft,,37-30,,
8:27.0,,,37-30,,Defensive rebound by U. Haslem
8:18.0,,,37-30,,Shooting foul by D. Cousins (drawn by S. Napier)
8:18.0,,,37-31,1,S. Napier makes free throw 1 of 2
8:18.0,,,37-31,,D. Wade enters the game for T. Johnson
8:18.0,,,37-31,,H. Walker enters the game for J. Ennis
8:18.0,R. Gay enters the game for D. Cousins,,37-31,,
8:18.0,,,37-31,,S. Napier misses free throw 2 of 2
8:17.0,Defensive rebound by D. Williams,,37-31,,
8:01.0,D. Williams misses 2-pt shot from 16 ft,,37-31,,
8:00.0,Offensive rebound by R. Gay,,37-31,,
7:52.0,O. Casspi makes 3-pt shot from 24 ft (assist by A. Miller),3,40-31,,
7:31.0,,,40-33,2,D. Wade makes 2-pt shot from 5 ft
7:24.0,Turnover by B. McLemore (lost ball; steal by D. Wade),,40-33,,
7:18.0,,,40-33,,M. Beasley misses 2-pt shot from 2 ft (block by R. Gay)
7:17.0,,,40-33,,Offensive rebound by M. Beasley
7:15.0,,,40-35,2,M. Beasley makes 2-pt shot from 1 ft
6:52.0,Offensive charge foul by R. Gay,,40-35,,
6:52.0,Turnover by R. Gay (offensive foul),,40-35,,
6:28.0,,,40-35,,S. Napier misses 3-pt shot from 24 ft
6:27.0,Defensive rebound by Team,,40-35,,
6:27.0,R. McCallum enters the game for A. Miller,,40-35,,
6:27.0,J. Thompson enters the game for D. Williams,,40-35,,
6:15.0,,,40-35,,Personal foul by H. Walker (drawn by R. Gay)
6:15.0,,,40-35,,T. Johnson enters the game for H. Walker
6:11.0,,,40-35,,Personal foul by U. Haslem (drawn by B. McLemore)
6:11.0,B. McLemore makes free throw 1 of 2,1,41-35,,
6:11.0,B. McLemore makes free throw 2 of 2,1,42-35,,
5:46.0,,,42-35,,U. Haslem misses 2-pt shot from 2 ft (block by R. Gay)
5:43.0,Defensive rebound by O. Casspi,,42-35,,
5:42.0,B. McLemore makes 2-pt shot from 1 ft,2,44-35,,
5:42.0,,,44-35,,Miami full timeout
5:42.0,Official timeout,,44-35,,
5:42.0,,,44-35,,M. Chalmers enters the game for U. Haslem
5:42.0,,,44-35,,C. Andersen enters the game for S. Napier
5:28.0,,,44-35,,D. Wade misses 2-pt shot from 8 ft
5:27.0,,,44-35,,Offensive rebound by Team
5:27.0,Loose ball foul by J. Thompson (drawn by C. Andersen),,44-35,,
5:11.0,Personal foul by J. Thompson (drawn by C. Andersen),,44-35,,
5:05.0,,,44-37,2,C. Andersen makes 2-pt shot from 1 ft (assist by D. Wade)
4:51.0,R. Gay makes 2-pt shot from 17 ft (assist by R. McCallum),2,46-37,,
4:30.0,,,46-37,,Turnover by D. Wade (bad pass)
4:18.0,R. Gay makes 2-pt shot from 16 ft,2,48-37,,
4:01.0,,,48-39,2,M. Beasley makes 2-pt shot at rim
3:47.0,B. McLemore misses 3-pt shot from 23 ft,,48-39,,
3:46.0,,,48-39,,Defensive rebound by M. Beasley
3:38.0,,,48-39,,Turnover by M. Beasley (step out of bounds)
3:22.0,R. Gay misses 3-pt shot from 25 ft,,48-39,,
3:21.0,,,48-39,,Defensive rebound by Team
3:21.0,Loose ball foul by J. Thompson (drawn by C. Andersen),,48-39,,
3:21.0,,,48-40,1,C. Andersen makes free throw 1 of 2
3:21.0,R. Evans enters the game for J. Thompson,,48-40,,
3:21.0,,,48-41,1,C. Andersen makes free throw 2 of 2
3:05.0,Turnover by O. Casspi (lost ball; steal by M. Beasley),,48-41,,
3:01.0,,,48-43,2,M. Chalmers makes 2-pt shot at rim (assist by D. Wade)
2:44.0,R. Gay makes 2-pt shot from 5 ft,2,50-43,,
2:31.0,,,50-43,,D. Wade misses 2-pt shot from 9 ft
2:30.0,Defensive rebound by O. Casspi,,50-43,,
2:20.0,Shooting foul by T. Johnson (drawn by R. McCallum),,50-43,,
2:20.0,Sacramento full timeout,,50-43,,
2:20.0,A. Miller enters the game for O. Casspi,,50-43,,
2:20.0,R. McCallum makes free throw 1 of 2,1,51-43,,
2:20.0,R. McCallum makes free throw 2 of 2,1,52-43,,
2:06.0,,,52-43,,Turnover by T. Johnson (lost ball; steal by R. Gay)
2:00.0,R. McCallum makes 2-pt shot at rim (assist by A. Miller),2,54-43,,
1:54.0,,,54-43,,Shooting foul by R. Gay (drawn by T. Johnson)
1:54.0,,,54-43,,T. Johnson misses free throw 1 of 2
1:54.0,,,54-43,,Offensive rebound by Team
1:54.0,,,54-44,1,T. Johnson makes free throw 2 of 2
1:40.0,R. Gay misses 3-pt shot from 25 ft,,54-44,,
1:39.0,,,54-44,,Defensive rebound by M. Chalmers
1:31.0,,,54-44,,D. Wade misses 2-pt shot from 19 ft
1:30.0,Defensive rebound by B. McLemore,,54-44,,
1:12.0,R. Gay makes 2-pt shot at rim (assist by A. Miller),2,56-44,,
0:48.0,,,56-44,,T. Johnson misses 2-pt shot from 17 ft
0:47.0,Defensive rebound by R. McCallum,,56-44,,
0:31.0,B. McLemore makes 3-pt shot from 24 ft (assist by R. McCallum),3,59-44,,
0:12.0,,,59-47,3,D. Wade makes 3-pt shot from 23 ft (assist by T. Johnson)
0:04.0,,,59-47,,Personal foul by M. Chalmers (drawn by R. Evans)
0:04.0,R. Evans makes free throw 1 of 2,1,60-47,,
0:04.0,O. Casspi enters the game for R. Gay,,60-47,,
0:04.0,,,60-47,,S. Napier enters the game for M. Chalmers
0:04.0,R. Evans makes free throw 2 of 2,1,61-47,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,,,61-47,,M. Beasley misses 2-pt shot from 17 ft
11:40.0,Defensive rebound by D. Cousins,,61-47,,
11:26.0,R. Gay misses 3-pt shot from 24 ft,,61-47,,
11:25.0,,,61-47,,Defensive rebound by C. Andersen
11:19.0,,,61-49,2,S. Napier makes 2-pt shot from 18 ft
11:02.0,D. Cousins misses 2-pt shot from 1 ft,,61-49,,
11:01.0,,,61-49,,Defensive rebound by M. Beasley
10:49.0,,,61-49,,S. Napier misses 3-pt shot from 23 ft
10:48.0,Defensive rebound by R. Gay,,61-49,,
10:39.0,B. McLemore makes 2-pt shot from 1 ft,2,63-49,,
10:13.0,,,63-51,2,D. Wade makes 2-pt shot at rim
10:00.0,B. McLemore misses 3-pt shot from 25 ft,,63-51,,
9:59.0,,,63-51,,Defensive rebound by T. Johnson
9:43.0,,,63-51,,Turnover by D. Wade (bad pass; steal by J. Thompson)
9:38.0,R. McCallum misses 2-pt shot from 1 ft (block by C. Andersen),,63-51,,
9:37.0,,,63-51,,Defensive rebound by T. Johnson
9:32.0,,,63-53,2,M. Beasley makes 2-pt shot from 14 ft (assist by T. Johnson)
9:18.0,Shooting foul by M. Beasley (drawn by J. Thompson),,63-53,,
9:18.0,J. Thompson makes free throw 1 of 2,1,64-53,,
9:18.0,J. Thompson makes free throw 2 of 2,1,65-53,,
9:02.0,,,65-55,2,D. Wade makes 2-pt shot from 20 ft
9:02.0,,,65-55,,Shooting foul by R. McCallum (drawn by D. Wade)
9:02.0,,,65-56,1,D. Wade makes free throw 1 of 1
8:41.0,R. McCallum misses 2-pt shot from 21 ft,,65-56,,
8:40.0,,,65-56,,Defensive rebound by M. Beasley
8:31.0,,,65-56,,D. Wade misses 2-pt shot from 16 ft
8:30.0,Defensive rebound by D. Cousins,,65-56,,
8:23.0,,,65-56,,Personal foul by M. Beasley (drawn by D. Cousins)
8:10.0,D. Cousins misses 2-pt shot from 14 ft,,65-56,,
8:09.0,Offensive rebound by J. Thompson,,65-56,,
8:09.0,Turnover by Team (shot clock),,65-56,,
7:44.0,,,65-56,,S. Napier misses 3-pt shot from 24 ft
7:43.0,Defensive rebound by D. Cousins,,65-56,,
7:31.0,,,65-56,,Personal foul by M. Beasley (drawn by D. Cousins)
7:31.0,,,65-56,,H. Walker enters the game for M. Beasley
7:28.0,D. Cousins makes 2-pt shot at rim (assist by R. McCallum),2,67-56,,
7:07.0,,,67-56,,Turnover by T. Johnson (lost ball; steal by D. Cousins)
6:57.0,B. McLemore misses 2-pt shot from 3 ft,,67-56,,
6:56.0,Offensive rebound by D. Cousins,,67-56,,
6:55.0,D. Cousins makes 2-pt shot at rim,2,69-56,,
6:55.0,,,69-56,,Miami full timeout
6:40.0,,,69-58,2,D. Wade makes 2-pt shot from 4 ft
6:25.0,R. McCallum misses 2-pt shot from 10 ft,,69-58,,
6:24.0,Offensive rebound by Team,,69-58,,
6:08.0,Turnover by D. Cousins (bad pass; steal by H. Walker),,69-58,,
5:59.0,,,69-58,,D. Wade misses 3-pt shot from 24 ft
5:58.0,Defensive rebound by Team,,69-58,,
5:44.0,R. Gay makes 3-pt shot from 25 ft (assist by D. Cousins),3,72-58,,
5:25.0,,,72-58,,Turnover by H. Walker (traveling)
5:25.0,D. Williams enters the game for J. Thompson,,72-58,,
5:00.0,B. McLemore misses 3-pt shot from 23 ft,,72-58,,
4:59.0,,,72-58,,Defensive rebound by D. Wade
4:44.0,,,72-58,,Turnover by D. Wade (bad pass; steal by D. Williams)
4:39.0,R. Gay misses 2-pt shot at rim,,72-58,,
4:38.0,,,72-58,,Defensive rebound by C. Andersen
4:34.0,,,72-58,,Turnover by S. Napier (discontinued dribble)
4:34.0,,,72-58,,M. Chalmers enters the game for D. Wade
4:24.0,D. Cousins makes 2-pt shot at rim (assist by R. Gay),2,74-58,,
4:09.0,,,74-58,,H. Walker misses 3-pt shot from 24 ft
4:08.0,Defensive rebound by R. Gay,,74-58,,
4:05.0,Offensive charge foul by R. Gay,,74-58,,
4:05.0,Turnover by R. Gay (offensive foul),,74-58,,
4:05.0,,,74-58,,J. Ennis enters the game for S. Napier
3:50.0,,,74-58,,T. Johnson misses 2-pt shot at rim (block by B. McLemore)
3:49.0,Defensive rebound by R. Gay,,74-58,,
3:38.0,R. McCallum misses 2-pt shot at rim (block by H. Walker),,74-58,,
3:37.0,,,74-58,,Defensive rebound by T. Johnson
3:35.0,,,74-58,,Shooting foul by B. McLemore (drawn by T. Johnson)
3:35.0,Sacramento full timeout,,74-58,,
3:35.0,R. Evans enters the game for D. Cousins,,74-58,,
3:35.0,,,74-58,,M. Beasley enters the game for C. Andersen
3:35.0,,,74-59,1,T. Johnson makes free throw 1 of 2
3:35.0,,,74-60,1,T. Johnson makes free throw 2 of 2
3:20.0,R. Evans misses 2-pt shot from 1 ft (block by H. Walker),,74-60,,
3:19.0,,,74-60,,Defensive rebound by Team
3:19.0,Personal foul by R. Evans (drawn by M. Beasley),,74-60,,
2:55.0,,,74-60,,M. Chalmers misses 3-pt shot from 24 ft
2:54.0,Defensive rebound by R. Gay,,74-60,,
2:43.0,D. Williams misses 3-pt shot from 23 ft,,74-60,,
2:42.0,,,74-60,,Defensive rebound by T. Johnson
2:33.0,,,74-62,2,T. Johnson makes 2-pt shot from 2 ft
2:16.0,D. Williams misses 2-pt shot from 3 ft (block by M. Beasley),,74-62,,
2:15.0,,,74-62,,Defensive rebound by Team
2:15.0,A. Miller enters the game for R. McCallum,,74-62,,
2:02.0,,,74-62,,J. Ennis misses 3-pt shot from 23 ft
2:01.0,Defensive rebound by A. Miller,,74-62,,
1:53.0,Shooting foul by J. Ennis (drawn by D. Williams),,74-62,,
1:53.0,D. Williams makes free throw 1 of 2,1,75-62,,
1:53.0,O. Casspi enters the game for B. McLemore,,75-62,,
1:53.0,D. Williams makes free throw 2 of 2,1,76-62,,
1:37.0,,,76-64,2,H. Walker makes 2-pt shot from 1 ft (assist by J. Ennis)
1:15.0,D. Williams makes 2-pt shot at rim (assist by O. Casspi),2,78-64,,
1:02.0,,,78-66,2,M. Beasley makes 2-pt shot from 1 ft (assist by M. Chalmers)
0:41.0,Turnover by D. Williams (lost ball),,78-66,,
0:29.0,,,78-68,2,M. Beasley makes 2-pt shot from 16 ft (assist by M. Chalmers)
0:06.0,A. Miller misses 3-pt shot from 24 ft,,78-68,,
0:05.0,,,78-68,,Defensive rebound by H. Walker
0:00.0,,,78-68,,M. Chalmers misses 3-pt shot from 24 ft
0:00.0,,,78-68,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:38.0,R. Gay makes 2-pt shot from 1 ft (assist by A. Miller),2,80-68,,
11:13.0,,,80-68,,M. Beasley misses 2-pt shot from 15 ft
11:12.0,Defensive rebound by O. Casspi,,80-68,,
11:03.0,R. Gay misses 2-pt shot from 4 ft,,80-68,,
11:02.0,,,80-68,,Defensive rebound by M. Beasley
10:56.0,,,80-70,2,J. Ennis makes 2-pt shot from 2 ft (assist by M. Chalmers)
10:38.0,O. Casspi misses 3-pt shot from 24 ft,,80-70,,
10:37.0,,,80-70,,Defensive rebound by T. Johnson
10:29.0,,,80-73,3,M. Chalmers makes 3-pt shot from 23 ft (assist by T. Johnson)
10:28.0,Sacramento full timeout,,80-73,,
10:28.0,B. McLemore enters the game for R. Gay,,80-73,,
10:06.0,B. McLemore misses 3-pt shot from 23 ft,,80-73,,
10:05.0,Offensive rebound by Team,,80-73,,
9:50.0,Turnover by D. Williams (lost ball; steal by H. Walker),,80-73,,
9:38.0,,,80-75,2,M. Beasley makes 2-pt shot from 3 ft
9:27.0,Turnover by O. Casspi (bad pass; steal by M. Chalmers),,80-75,,
9:25.0,Clear path foul by D. Cousins,,80-75,,
9:25.0,,,80-76,1,M. Chalmers makes clear path free throw 1 of 2
9:25.0,R. McCallum enters the game for D. Williams,,80-76,,
9:25.0,,,80-76,,M. Chalmers misses clear path free throw 2 of 2
9:25.0,,,80-76,,Offensive rebound by Team
9:09.0,,,80-76,,M. Beasley misses 2-pt shot from 16 ft
9:08.0,Defensive rebound by B. McLemore,,80-76,,
9:04.0,Shooting foul by H. Walker (drawn by D. Cousins),,80-76,,
9:04.0,D. Cousins makes free throw 1 of 2,1,81-76,,
9:04.0,D. Cousins makes free throw 2 of 2,1,82-76,,
8:47.0,,,82-76,,H. Walker misses 3-pt shot from 24 ft
8:46.0,Defensive rebound by A. Miller,,82-76,,
8:35.0,Turnover by A. Miller (bad pass; steal by M. Chalmers),,82-76,,
8:32.0,,,82-76,,Shooting foul by B. McLemore (drawn by T. Johnson)
8:32.0,,,82-76,,T. Johnson misses free throw 1 of 2
8:32.0,,,82-76,,Offensive rebound by Team
8:32.0,R. Gay enters the game for O. Casspi,,82-76,,
8:32.0,,,82-76,,T. Johnson misses free throw 2 of 2
8:31.0,Defensive rebound by D. Cousins,,82-76,,
8:05.0,D. Cousins makes 2-pt shot at rim (assist by R. McCallum),2,84-76,,
8:05.0,,,84-76,,Miami full timeout
7:41.0,,,84-76,,Turnover by Team (shot clock)
7:19.0,A. Miller misses 2-pt shot from 11 ft,,84-76,,
7:18.0,Offensive rebound by D. Cousins,,84-76,,
7:17.0,Turnover by Team (shot clock),,84-76,,
7:17.0,,,84-76,,D. Wade enters the game for J. Ennis
7:00.0,,,84-78,2,M. Beasley makes 2-pt shot from 1 ft (assist by H. Walker)
6:49.0,Turnover by B. McLemore (bad pass; steal by T. Johnson),,84-78,,
6:43.0,,,84-80,2,M. Chalmers makes 2-pt shot from 1 ft (assist by T. Johnson)
6:23.0,Shooting foul by H. Walker (drawn by R. Gay),,84-80,,
6:23.0,R. Gay makes 2-pt shot from 10 ft (assist by R. McCallum),2,86-80,,
6:23.0,R. Gay misses free throw 1 of 1,,86-80,,
6:22.0,,,86-80,,Defensive rebound by H. Walker
6:11.0,,,86-83,3,T. Johnson makes 3-pt shot from 23 ft (assist by D. Wade)
5:49.0,R. Gay misses 3-pt shot from 23 ft,,86-83,,
5:48.0,,,86-83,,Defensive rebound by T. Johnson
5:36.0,Personal foul by R. McCallum (drawn by M. Beasley),,86-83,,
5:25.0,,,86-83,,T. Johnson misses 3-pt shot from 24 ft
5:24.0,,,86-83,,Offensive rebound by M. Beasley
5:22.0,,,86-85,2,M. Beasley makes 2-pt shot from 9 ft
4:56.0,A. Miller makes 2-pt shot from 8 ft,2,88-85,,
4:38.0,,,88-85,,D. Wade misses 3-pt shot from 25 ft
4:37.0,Defensive rebound by D. Cousins,,88-85,,
4:28.0,R. Gay makes 2-pt shot from 2 ft (assist by A. Miller),2,90-85,,
4:20.0,,,90-85,,Miami full timeout
4:04.0,,,90-85,,M. Beasley misses 2-pt shot from 11 ft
4:03.0,Defensive rebound by B. McLemore,,90-85,,
3:55.0,R. McCallum misses 3-pt shot from 24 ft,,90-85,,
3:54.0,,,90-85,,Defensive rebound by M. Chalmers
3:49.0,,,90-85,,Shooting foul by R. Gay (drawn by T. Johnson)
3:49.0,,,90-86,1,T. Johnson makes free throw 1 of 2
3:49.0,,,90-87,1,T. Johnson makes free throw 2 of 2
3:30.0,Offensive charge foul by R. McCallum,,90-87,,
3:30.0,Turnover by R. McCallum (offensive foul),,90-87,,
3:15.0,Personal foul by D. Cousins (drawn by H. Walker),,90-87,,
3:15.0,,,90-88,1,H. Walker makes free throw 1 of 2
3:15.0,,,90-89,1,H. Walker makes free throw 2 of 2
2:59.0,Turnover by D. Cousins (lost ball; steal by D. Wade),,90-89,,
2:36.0,,,90-91,2,D. Wade makes 2-pt shot from 17 ft
2:36.0,Sacramento full timeout,,90-91,,
2:36.0,Official timeout,,90-91,,
2:12.0,A. Miller misses 3-pt shot from 24 ft,,90-91,,
2:11.0,,,90-91,,Defensive rebound by H. Walker
2:00.0,,,90-94,3,H. Walker makes 3-pt shot from 24 ft (assist by T. Johnson)
1:50.0,D. Cousins makes 2-pt shot from 1 ft (assist by A. Miller),2,92-94,,
1:32.0,,,92-96,2,D. Wade makes 2-pt shot at rim (assist by M. Chalmers)
1:13.0,,,92-96,,Personal foul by M. Beasley (drawn by D. Cousins)
1:07.0,Shooting foul by M. Beasley (drawn by D. Cousins),,92-96,,
1:07.0,,,92-96,,C. Andersen enters the game for M. Beasley
1:07.0,D. Cousins makes free throw 1 of 2,1,93-96,,
1:07.0,D. Cousins makes free throw 2 of 2,1,94-96,,
0:48.0,,,94-96,,D. Wade misses 2-pt shot from 18 ft
0:47.0,Defensive rebound by A. Miller,,94-96,,
0:40.0,A. Miller makes 2-pt shot from 1 ft,2,96-96,,
0:40.0,,,96-96,,Miami full timeout
