time,Brooklyn,pts.away,score,pts.home,New Orleans
4:00.0,,,6-15,,L. Babbitt enters the game for D. Cunningham
4:00.0,,,6-15,,N. Cole enters the game for E. Gordon
3:42.0,,,6-15,,T. Evans misses 2-pt shot from 1 ft (block by B. Lopez)
3:40.0,Defensive rebound by B. Lopez,,6-15,,
3:35.0,D. Williams misses 2-pt shot from 1 ft,,6-15,,
3:34.0,Offensive rebound by B. Lopez,,6-15,,
3:34.0,B. Lopez makes 2-pt shot from 1 ft,2,8-15,,
3:34.0,Shooting foul by O. Asik (drawn by B. Lopez),,8-15,,
3:34.0,B. Lopez makes free throw 1 of 1,1,9-15,,
3:12.0,,,9-17,2,O. Asik makes 2-pt shot at rim (assist by L. Babbitt)
2:55.0,Shooting foul by L. Babbitt (drawn by T. Young),,9-17,,
2:55.0,T. Young makes free throw 1 of 2,1,10-17,,
2:55.0,A. Anderson enters the game for D. Williams,,10-17,,
2:55.0,,,10-17,,A. Ajinca enters the game for O. Asik
2:55.0,T. Young makes free throw 2 of 2,1,11-17,,
2:44.0,,,11-17,,Turnover by A. Ajinca (lost ball; steal by M. Brown)
2:40.0,M. Brown makes 2-pt shot at rim,2,13-17,,
2:16.0,,,13-20,3,Q. Pondexter makes 3-pt shot from 25 ft (assist by T. Evans)
2:07.0,J. Jack misses 2-pt shot from 1 ft,,13-20,,
2:07.0,,,13-20,,Defensive rebound by Team
1:51.0,,,13-20,,T. Evans misses 2-pt shot from 1 ft
1:50.0,Defensive rebound by A. Anderson,,13-20,,
1:41.0,A. Anderson makes 2-pt shot from 14 ft,2,15-20,,
1:25.0,,,15-23,3,N. Cole makes 3-pt shot from 25 ft (assist by T. Evans)
1:07.0,Shooting foul by A. Ajinca (drawn by M. Brown),,15-23,,
1:07.0,M. Brown makes free throw 1 of 2,1,16-23,,
1:07.0,M. Brown makes free throw 2 of 2,1,17-23,,
0:51.0,,,17-25,2,A. Ajinca makes 2-pt shot from 6 ft
0:42.0,A. Anderson misses 2-pt shot from 3 ft,,17-25,,
0:41.0,Offensive rebound by B. Lopez,,17-25,,
0:40.0,B. Lopez makes 2-pt shot from 1 ft,2,19-25,,
0:32.0,,,19-27,2,Q. Pondexter makes 2-pt shot from 1 ft (assist by T. Evans)
0:12.0,B. Lopez misses 2-pt shot from 11 ft,,19-27,,
0:10.0,Offensive rebound by T. Young,,19-27,,
0:08.0,T. Young makes 2-pt shot from 1 ft,2,21-27,,
0:04.0,Personal take foul by A. Anderson (drawn by T. Evans),,21-27,,
0:00.0,,,21-27,,L. Babbitt misses 2-pt shot from 18 ft (block by M. Brown)
0:00.0,,,21-27,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:38.0,,,21-30,3,E. Gordon makes 3-pt shot from 25 ft (assist by L. Babbitt)
11:16.0,B. Lopez misses 2-pt shot from 7 ft,,21-30,,
11:15.0,,,21-30,,Defensive rebound by L. Babbitt
11:07.0,,,21-30,,N. Cole misses 3-pt shot from 25 ft
11:05.0,Defensive rebound by J. Johnson,,21-30,,
10:54.0,B. Lopez makes 2-pt shot from 1 ft (assist by J. Jack),2,23-30,,
10:34.0,,,23-30,,E. Gordon misses 3-pt shot from 26 ft
10:33.0,Defensive rebound by J. Johnson,,23-30,,
10:29.0,T. Young makes 2-pt shot at rim (assist by J. Johnson),2,25-30,,
10:09.0,,,25-30,,L. Babbitt misses 3-pt shot from 26 ft
10:07.0,Defensive rebound by J. Johnson,,25-30,,
9:56.0,T. Young makes 2-pt shot at rim,2,27-30,,
9:45.0,,,27-32,2,A. Ajinca makes 2-pt shot from 7 ft (assist by E. Gordon)
9:25.0,A. Anderson misses 3-pt shot from 25 ft,,27-32,,
9:24.0,,,27-32,,Defensive rebound by N. Cole
9:15.0,,,27-32,,Offensive foul by A. Ajinca
9:15.0,,,27-32,,Turnover by A. Ajinca (offensive foul)
9:04.0,J. Jack makes 2-pt shot from 11 ft,2,29-32,,
8:50.0,,,29-32,,Shooting foul by J. Johnson (drawn by E. Gordon)
8:50.0,Official timeout,,29-32,,
8:50.0,,,29-33,1,E. Gordon makes free throw 1 of 2
8:50.0,,,29-34,1,E. Gordon makes free throw 2 of 2
8:37.0,T. Young misses 2-pt shot from 6 ft,,29-34,,
8:34.0,,,29-34,,Defensive rebound by A. Ajinca
8:34.0,,,29-34,,Turnover by A. Ajinca (lost ball)
8:26.0,B. Lopez makes 2-pt shot from 6 ft (assist by A. Anderson),2,31-34,,
8:08.0,,,31-34,,Turnover by E. Gordon (traveling)
7:50.0,,,31-34,,Personal foul by E. Gordon (drawn by A. Anderson)
7:50.0,,,31-34,,O. Asik enters the game for A. Ajinca
7:45.0,,,31-34,,Personal foul by N. Cole (drawn by B. Lopez)
7:45.0,,,31-34,,T. Evans enters the game for E. Gordon
7:39.0,J. Jack misses 2-pt shot from 19 ft,,31-34,,
7:38.0,Offensive rebound by B. Lopez,,31-34,,
7:38.0,B. Lopez makes 2-pt shot from 2 ft,2,33-34,,
7:21.0,,,33-36,2,L. Babbitt makes 2-pt shot from 18 ft (assist by D. Cunningham)
7:03.0,J. Johnson misses 3-pt shot from 24 ft,,33-36,,
7:02.0,,,33-36,,Defensive rebound by T. Evans
6:51.0,Personal foul by T. Young (drawn by L. Babbitt),,33-36,,
6:51.0,D. Williams enters the game for A. Anderson,,33-36,,
6:42.0,,,33-36,,Turnover by N. Cole (step out of bounds)
6:30.0,T. Young makes 2-pt shot from 1 ft (assist by D. Williams),2,35-36,,
6:07.0,,,35-39,3,T. Evans makes 3-pt shot from 22 ft
5:53.0,B. Lopez makes 2-pt shot from 22 ft (assist by J. Jack),2,37-39,,
5:27.0,,,37-39,,T. Evans misses 3-pt shot from 23 ft
5:26.0,,,37-39,,Offensive rebound by D. Cunningham
5:26.0,,,37-41,2,D. Cunningham makes 2-pt shot from 1 ft
5:11.0,B. Lopez makes 2-pt shot from 10 ft (assist by D. Williams),2,39-41,,
4:44.0,,,39-43,2,N. Cole makes 2-pt shot from 13 ft
4:27.0,B. Lopez misses 2-pt shot from 6 ft,,39-43,,
4:25.0,,,39-43,,Defensive rebound by D. Cunningham
4:17.0,,,39-43,,L. Babbitt misses 2-pt shot from 5 ft
4:16.0,Defensive rebound by B. Lopez,,39-43,,
4:10.0,D. Williams makes 2-pt shot from 3 ft,2,41-43,,
4:04.0,,,41-43,,New Orleans full timeout
4:04.0,M. Brown enters the game for J. Jack,,41-43,,
4:04.0,,,41-43,,E. Gordon enters the game for L. Babbitt
4:04.0,,,41-43,,Q. Pondexter enters the game for N. Cole
3:54.0,,,41-43,,D. Cunningham misses 2-pt shot from 17 ft
3:52.0,Defensive rebound by M. Brown,,41-43,,
3:47.0,M. Brown misses 2-pt shot from 1 ft,,41-43,,
3:44.0,Offensive rebound by T. Young,,41-43,,
3:44.0,T. Young misses 2-pt shot from 1 ft,,41-43,,
3:41.0,,,41-43,,Defensive rebound by D. Cunningham
3:37.0,,,41-43,,E. Gordon misses 2-pt shot from 21 ft
3:35.0,Defensive rebound by T. Young,,41-43,,
3:18.0,T. Young makes 3-pt shot from 26 ft,3,44-43,,
2:57.0,,,44-46,3,E. Gordon makes 3-pt shot from 25 ft (assist by T. Evans)
2:33.0,B. Lopez misses 2-pt shot from 12 ft,,44-46,,
2:32.0,,,44-46,,Defensive rebound by T. Evans
2:24.0,,,44-46,,Turnover by O. Asik (lost ball)
2:24.0,Brooklyn full timeout,,44-46,,
2:09.0,B. Lopez misses 2-pt shot from 7 ft,,44-46,,
2:09.0,Offensive rebound by Team,,44-46,,
2:09.0,,,44-46,,Loose ball foul by Q. Pondexter (drawn by B. Lopez)
2:02.0,J. Johnson makes 2-pt shot from 17 ft,2,46-46,,
1:47.0,,,46-48,2,T. Evans makes 2-pt shot from 3 ft
1:34.0,D. Williams makes 2-pt shot from 20 ft,2,48-48,,
1:12.0,,,48-48,,Shooting foul by J. Johnson (drawn by Q. Pondexter)
1:12.0,,,48-49,1,Q. Pondexter makes free throw 1 of 2
1:12.0,A. Anderson enters the game for J. Johnson,,48-49,,
1:12.0,,,48-49,,N. Cole enters the game for E. Gordon
1:12.0,,,48-50,1,Q. Pondexter makes free throw 2 of 2
1:03.0,Turnover by D. Williams (lost ball),,48-50,,
0:51.0,,,48-50,,Q. Pondexter misses 3-pt shot from 24 ft
0:50.0,Defensive rebound by M. Brown,,48-50,,
0:43.0,Turnover by D. Williams (lost ball),,48-50,,
0:35.0,,,48-50,,T. Evans misses 3-pt shot from 24 ft
0:33.0,Defensive rebound by T. Young,,48-50,,
0:14.0,D. Williams makes 2-pt shot from 11 ft,2,50-50,,
0:03.0,,,50-53,3,N. Cole makes 3-pt shot from 26 ft (assist by T. Evans)
0:00.0,D. Williams misses 3-pt shot from 67 ft,,50-53,,
0:00.0,Offensive rebound by Team,,50-53,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,Personal foul by A. Anderson (drawn by O. Asik),,50-53,,
11:37.0,,,50-55,2,O. Asik makes 2-pt shot from 1 ft (assist by E. Gordon)
11:18.0,D. Williams misses 2-pt shot from 7 ft,,50-55,,
11:17.0,,,50-55,,Defensive rebound by E. Gordon
11:12.0,,,50-57,2,Q. Pondexter makes 2-pt shot from 3 ft (assist by T. Evans)
10:50.0,M. Brown misses 3-pt shot from 25 ft,,50-57,,
10:49.0,,,50-57,,Defensive rebound by Q. Pondexter
10:38.0,,,50-57,,T. Evans misses 3-pt shot from 25 ft
10:36.0,Defensive rebound by A. Anderson,,50-57,,
10:28.0,A. Anderson misses 3-pt shot from 25 ft,,50-57,,
10:26.0,,,50-57,,Defensive rebound by T. Evans
10:18.0,,,50-57,,D. Cunningham misses 2-pt shot from 20 ft
10:17.0,Defensive rebound by M. Plumlee,,50-57,,
10:03.0,A. Anderson misses 2-pt shot from 3 ft (block by T. Evans),,50-57,,
10:01.0,Offensive rebound by M. Plumlee,,50-57,,
9:55.0,J. Johnson makes 3-pt shot from 25 ft (assist by D. Williams),3,53-57,,
9:41.0,,,53-57,,Offensive foul by O. Asik
9:41.0,,,53-57,,Turnover by O. Asik (offensive foul)
9:17.0,M. Plumlee misses 2-pt shot from 9 ft,,53-57,,
9:16.0,,,53-57,,Defensive rebound by O. Asik
9:00.0,,,53-57,,E. Gordon misses 2-pt shot from 8 ft
9:00.0,Defensive rebound by Team,,53-57,,
9:00.0,,,53-57,,Loose ball foul by O. Asik (drawn by M. Plumlee)
8:42.0,J. Johnson makes 2-pt shot from 9 ft,2,55-57,,
8:28.0,,,55-57,,Offensive foul by D. Cunningham
8:28.0,,,55-57,,Turnover by D. Cunningham (offensive foul)
8:15.0,J. Johnson makes 3-pt shot from 25 ft,3,58-57,,
7:59.0,,,58-57,,Turnover by T. Evans (lost ball)
7:40.0,J. Johnson misses 3-pt shot from 25 ft,,58-57,,
7:38.0,,,58-57,,Defensive rebound by E. Gordon
7:32.0,Personal foul by D. Williams (drawn by E. Gordon),,58-57,,
7:31.0,,,58-57,,Turnover by Q. Pondexter (bad pass; steal by M. Plumlee)
7:28.0,M. Plumlee misses 2-pt shot from 1 ft,,58-57,,
7:25.0,,,58-57,,Defensive rebound by O. Asik
7:19.0,,,58-57,,E. Gordon misses 3-pt shot from 26 ft
7:18.0,Defensive rebound by J. Johnson,,58-57,,
7:09.0,D. Williams misses 2-pt shot from 1 ft (block by T. Evans),,58-57,,
7:05.0,,,58-57,,Defensive rebound by E. Gordon
7:03.0,,,58-57,,Turnover by E. Gordon (lost ball; steal by M. Brown)
6:51.0,J. Johnson misses 2-pt shot from 9 ft,,58-57,,
6:50.0,,,58-57,,Defensive rebound by O. Asik
6:48.0,,,58-57,,Offensive foul by T. Evans
6:48.0,,,58-57,,Turnover by T. Evans (offensive foul)
6:48.0,,,58-57,,Technical foul by Q. Pondexter
6:48.0,Brooklyn full timeout,,58-57,,
6:48.0,D. Williams makes technical free throw,1,59-57,,
6:38.0,Turnover by D. Williams (bad pass; steal by D. Cunningham),,59-57,,
6:33.0,,,59-59,2,D. Cunningham makes 2-pt shot from 2 ft (assist by Q. Pondexter)
6:08.0,J. Johnson makes 2-pt shot from 6 ft,2,61-59,,
5:52.0,,,61-59,,Turnover by E. Gordon (lost ball)
5:52.0,B. Lopez enters the game for M. Plumlee,,61-59,,
5:33.0,J. Johnson misses 2-pt shot from 16 ft,,61-59,,
5:32.0,Offensive rebound by J. Johnson,,61-59,,
5:28.0,D. Williams misses 3-pt shot from 25 ft,,61-59,,
5:27.0,,,61-59,,Defensive rebound by D. Cunningham
5:17.0,,,61-59,,E. Gordon misses 2-pt shot from 2 ft
5:14.0,,,61-59,,Offensive rebound by O. Asik
5:14.0,,,61-61,2,O. Asik makes 2-pt shot from 1 ft
5:06.0,M. Brown misses 3-pt shot from 24 ft,,61-61,,
5:04.0,,,61-61,,Defensive rebound by D. Cunningham
4:54.0,,,61-63,2,D. Cunningham makes 2-pt shot from 1 ft (assist by O. Asik)
4:54.0,Brooklyn full timeout,,61-63,,
4:54.0,T. Young enters the game for A. Anderson,,61-63,,
4:41.0,J. Johnson makes 2-pt shot from 11 ft,2,63-63,,
4:28.0,,,63-66,3,Q. Pondexter makes 3-pt shot from 22 ft (assist by T. Evans)
4:02.0,,,63-66,,Personal foul by O. Asik (drawn by J. Johnson)
4:02.0,,,63-66,,N. Cole enters the game for E. Gordon
3:54.0,T. Young makes 2-pt shot from 1 ft,2,65-66,,
3:39.0,,,65-66,,D. Cunningham misses 2-pt shot from 21 ft
3:38.0,Defensive rebound by J. Johnson,,65-66,,
3:22.0,T. Young makes 2-pt shot from 6 ft,2,67-66,,
3:06.0,,,67-66,,T. Evans misses 2-pt shot from 1 ft (block by B. Lopez)
3:03.0,,,67-66,,Offensive rebound by O. Asik
3:03.0,,,67-68,2,O. Asik makes 2-pt shot from 1 ft
2:55.0,M. Brown makes 2-pt shot at rim (assist by D. Williams),2,69-68,,
2:34.0,,,69-68,,Q. Pondexter misses 3-pt shot from 25 ft
2:33.0,Defensive rebound by B. Lopez,,69-68,,
2:17.0,M. Brown misses 2-pt shot from 17 ft,,69-68,,
2:15.0,,,69-68,,Defensive rebound by N. Cole
2:12.0,,,69-68,,Shooting foul by D. Williams (drawn by T. Evans)
2:12.0,,,69-68,,New Orleans full timeout
2:12.0,,,69-68,,A. Ajinca enters the game for O. Asik
2:12.0,J. Jack enters the game for M. Brown,,69-68,,
2:12.0,,,69-69,1,T. Evans makes free throw 1 of 2
2:12.0,,,69-70,1,T. Evans makes free throw 2 of 2
1:53.0,Turnover by J. Johnson (lost ball),,69-70,,
1:37.0,,,69-72,2,D. Cunningham makes 2-pt shot from 1 ft (assist by A. Ajinca)
1:20.0,T. Young makes 2-pt shot from 9 ft,2,71-72,,
0:57.0,,,71-74,2,Q. Pondexter makes 2-pt shot from 17 ft (assist by T. Evans)
0:40.0,Shooting foul by T. Evans (drawn by D. Williams),,71-74,,
0:40.0,D. Williams misses free throw 1 of 2,,71-74,,
0:40.0,Offensive rebound by Team,,71-74,,
0:40.0,,,71-74,,L. Babbitt enters the game for D. Cunningham
0:40.0,D. Williams misses free throw 2 of 2,,71-74,,
0:39.0,,,71-74,,Defensive rebound by Team
0:24.0,,,71-74,,Shooting foul by J. Jack (drawn by A. Ajinca)
0:24.0,,,71-75,1,A. Ajinca makes free throw 1 of 2
0:24.0,,,71-76,1,A. Ajinca makes free throw 2 of 2
0:04.0,J. Jack makes 2-pt shot from 19 ft,2,73-76,,
0:00.0,,,73-76,,Q. Pondexter misses 3-pt shot from 39 ft
0:00.0,,,73-76,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,Turnover by J. Jack (bad pass; steal by A. Ajinca),,73-76,,
11:42.0,,,73-76,,Shooting foul by M. Brown (drawn by N. Cole)
11:42.0,,,73-76,,N. Cole misses free throw 1 of 2
11:42.0,,,73-76,,Offensive rebound by Team
11:42.0,,,73-77,1,N. Cole makes free throw 2 of 2
11:27.0,,,73-77,,Def 3 sec tech foul by Q. Pondexter
11:27.0,J. Jack makes technical free throw,1,74-77,,
11:18.0,Shooting foul by Q. Pondexter (drawn by T. Young),,74-77,,
11:18.0,T. Young misses free throw 1 of 2,,74-77,,
11:18.0,Offensive rebound by Team,,74-77,,
11:18.0,T. Young misses free throw 2 of 2,,74-77,,
11:17.0,,,74-77,,Defensive rebound by A. Ajinca
10:55.0,,,74-79,2,A. Ajinca makes 2-pt shot from 1 ft (assist by N. Cole)
10:32.0,T. Young misses 2-pt shot from 7 ft (block by A. Ajinca),,74-79,,
10:29.0,,,74-79,,Defensive rebound by A. Ajinca
10:15.0,,,74-79,,A. Ajinca misses 2-pt shot from 11 ft
10:14.0,Defensive rebound by T. Young,,74-79,,
10:08.0,J. Jack makes 2-pt shot from 3 ft,2,76-79,,
10:08.0,Shooting foul by A. Ajinca (drawn by J. Jack),,76-79,,
10:08.0,J. Jack makes free throw 1 of 1,1,77-79,,
9:52.0,,,77-79,,Turnover by L. Babbitt (bad pass; steal by M. Brown)
9:44.0,Turnover by M. Brown (bad pass),,77-79,,
9:32.0,,,77-81,2,N. Cole makes 2-pt shot from 19 ft
9:15.0,A. Anderson makes 3-pt shot from 22 ft (assist by M. Brown),3,80-81,,
9:00.0,,,80-83,2,Q. Pondexter makes 2-pt shot from 2 ft (assist by A. Ajinca)
8:48.0,Shooting foul by L. Babbitt (drawn by J. Jack),,80-83,,
8:48.0,Official timeout,,80-83,,
8:48.0,J. Jack makes free throw 1 of 2,1,81-83,,
8:48.0,J. Jack makes free throw 2 of 2,1,82-83,,
8:36.0,,,82-86,3,L. Babbitt makes 3-pt shot from 23 ft (assist by N. Cole)
8:18.0,B. Lopez misses 2-pt shot from 12 ft,,82-86,,
8:18.0,,,82-86,,Defensive rebound by Team
8:18.0,Loose ball foul by B. Lopez (drawn by A. Ajinca),,82-86,,
8:04.0,,,82-86,,N. Cole misses 3-pt shot from 25 ft
8:03.0,Defensive rebound by B. Lopez,,82-86,,
7:52.0,J. Jack misses 2-pt shot from 14 ft,,82-86,,
7:52.0,Offensive rebound by Team,,82-86,,
7:52.0,,,82-86,,Loose ball foul by Q. Pondexter (drawn by T. Young)
7:52.0,M. Plumlee enters the game for B. Lopez,,82-86,,
7:52.0,J. Johnson enters the game for M. Brown,,82-86,,
7:39.0,Turnover by J. Jack (bad pass; steal by A. Ajinca),,82-86,,
7:25.0,,,82-86,,L. Babbitt misses 2-pt shot from 9 ft
7:23.0,Defensive rebound by J. Jack,,82-86,,
7:15.0,A. Anderson misses 2-pt shot from 20 ft,,82-86,,
7:14.0,,,82-86,,Defensive rebound by Team
6:51.0,,,82-86,,N. Cole misses 2-pt shot from 21 ft
6:50.0,Defensive rebound by J. Johnson,,82-86,,
6:39.0,J. Jack misses 2-pt shot from 2 ft,,82-86,,
6:37.0,,,82-86,,Defensive rebound by A. Ajinca
6:24.0,,,82-88,2,A. Ajinca makes 2-pt shot from 17 ft (assist by N. Cole)
6:01.0,J. Johnson misses 2-pt shot from 1 ft (block by A. Ajinca),,82-88,,
6:00.0,,,82-88,,Defensive rebound by L. Babbitt
5:49.0,,,82-88,,Offensive foul by A. Ajinca
5:49.0,,,82-88,,Turnover by A. Ajinca (offensive foul)
5:49.0,,,82-88,,New Orleans full timeout
5:49.0,D. Williams enters the game for A. Anderson,,82-88,,
5:49.0,,,82-88,,T. Evans enters the game for N. Cole
5:30.0,D. Williams misses 2-pt shot from 11 ft,,82-88,,
5:29.0,,,82-88,,Defensive rebound by Team
5:29.0,Loose ball foul by T. Young (drawn by A. Ajinca),,82-88,,
5:17.0,,,82-91,3,L. Babbitt makes 3-pt shot from 25 ft (assist by Q. Pondexter)
4:57.0,T. Young misses 2-pt shot from 11 ft,,82-91,,
4:55.0,,,82-91,,Defensive rebound by E. Gordon
4:49.0,,,82-93,2,T. Evans makes 2-pt shot from 2 ft (assist by E. Gordon)
4:49.0,Brooklyn full timeout,,82-93,,
4:49.0,B. Lopez enters the game for M. Plumlee,,82-93,,
4:49.0,A. Anderson enters the game for T. Young,,82-93,,
4:38.0,Turnover by J. Johnson (lost ball; steal by T. Evans),,82-93,,
4:19.0,,,82-93,,Turnover by T. Evans (bad pass; steal by B. Lopez)
4:08.0,J. Jack makes 3-pt shot from 25 ft (assist by D. Williams),3,85-93,,
3:44.0,,,85-93,,A. Ajinca misses 2-pt shot from 11 ft
3:42.0,Defensive rebound by A. Anderson,,85-93,,
3:32.0,J. Johnson makes 2-pt shot from 7 ft,2,87-93,,
3:31.0,,,87-93,,New Orleans full timeout
3:05.0,,,87-95,2,T. Evans makes 2-pt shot from 22 ft
2:49.0,J. Jack misses 3-pt shot from 23 ft,,87-95,,
2:47.0,,,87-95,,Defensive rebound by Q. Pondexter
2:31.0,,,87-97,2,T. Evans makes 2-pt shot from 2 ft
2:20.0,D. Williams makes 2-pt shot from 9 ft,2,89-97,,
2:20.0,Shooting foul by A. Ajinca (drawn by D. Williams),,89-97,,
2:20.0,D. Williams makes free throw 1 of 1,1,90-97,,
2:01.0,,,90-97,,Shooting foul by D. Williams (drawn by T. Evans)
2:01.0,,,90-98,1,T. Evans makes free throw 1 of 2
2:01.0,,,90-98,,O. Asik enters the game for A. Ajinca
2:01.0,,,90-98,,D. Cunningham enters the game for L. Babbitt
2:01.0,,,90-98,,T. Evans misses free throw 2 of 2
2:00.0,Defensive rebound by J. Johnson,,90-98,,
1:48.0,A. Anderson makes 3-pt shot from 25 ft (assist by D. Williams),3,93-98,,
1:27.0,,,93-98,,T. Evans misses 2-pt shot from 2 ft
1:21.0,Defensive rebound by A. Anderson,,93-98,,
1:10.0,J. Jack misses 3-pt shot from 25 ft,,93-98,,
1:09.0,,,93-98,,Defensive rebound by T. Evans
0:50.0,,,93-101,3,Q. Pondexter makes 3-pt shot from 25 ft (assist by T. Evans)
0:50.0,Brooklyn full timeout,,93-101,,
0:43.0,J. Johnson makes 3-pt shot from 25 ft (assist by J. Jack),3,96-101,,
0:24.0,,,96-101,,D. Cunningham misses 2-pt shot from 3 ft (block by B. Lopez)
0:22.0,Defensive rebound by J. Jack,,96-101,,
0:16.0,A. Anderson misses 3-pt shot from 25 ft,,96-101,,
0:14.0,,,96-101,,Defensive rebound by O. Asik
0:12.0,Personal take foul by J. Johnson (drawn by T. Evans),,96-101,,
0:12.0,,,96-101,,T. Evans misses free throw 1 of 2
0:12.0,,,96-101,,Offensive rebound by Team
