time,Minnesota,pts.away,score,pts.home,Phoenix
3:04.0,,,65-70,,Defensive rebound by M. Thornton
2:58.0,,,65-72,2,B. Wright makes 2-pt shot at rim (assist by E. Bledsoe)
2:58.0,Minnesota full timeout,,65-72,,
2:47.0,G. Neal misses 2-pt shot from 18 ft,,65-72,,
2:46.0,,,65-72,,Defensive rebound by B. Wright
2:40.0,,,65-72,,Turnover by E. Bledsoe (bad pass)
2:25.0,R. Rubio misses 3-pt shot from 23 ft,,65-72,,
2:24.0,,,65-72,,Defensive rebound by M. Thornton
2:13.0,,,65-74,2,M. Morris makes 2-pt shot at rim (assist by M. Morris)
2:00.0,R. Rubio makes 2-pt shot from 1 ft,2,67-74,,
1:44.0,,,67-76,2,M. Morris makes 2-pt shot from 16 ft
1:22.0,A. Payne misses 2-pt shot at rim,,67-76,,
1:22.0,,,67-76,,Defensive rebound by B. Wright
1:18.0,,,67-76,,M. Thornton misses 2-pt shot from 1 ft
1:17.0,,,67-76,,Offensive rebound by M. Morris
1:17.0,,,67-78,2,M. Morris makes 2-pt shot at rim
0:58.0,A. Wiggins makes 2-pt shot from 3 ft,2,69-78,,
0:35.0,,,69-78,,Turnover by E. Bledsoe (bad pass)
0:35.0,,,69-78,,A. Goodwin enters the game for E. Bledsoe
0:35.0,Z. LaVine enters the game for R. Rubio,,69-78,,
0:21.0,A. Wiggins misses 2-pt shot at rim,,69-78,,
0:20.0,Offensive rebound by A. Payne,,69-78,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,Shooting foul by B. Wright (drawn by A. Payne),,69-78,,
11:43.0,A. Payne makes free throw 1 of 2,1,70-78,,
11:43.0,A. Payne makes free throw 2 of 2,1,71-78,,
11:25.0,Personal foul by G. Neal (drawn by M. Thornton),,71-78,,
11:25.0,C. Budinger enters the game for A. Wiggins,,71-78,,
11:18.0,,,71-80,2,M. Morris makes 2-pt shot from 19 ft (assist by A. Goodwin)
10:57.0,Z. LaVine misses 3-pt shot from 23 ft,,71-80,,
10:56.0,,,71-80,,Defensive rebound by M. Thornton
10:48.0,,,71-82,2,M. Thornton makes 2-pt shot from 19 ft
10:31.0,J. Hamilton makes 2-pt shot from 4 ft,2,73-82,,
10:19.0,,,73-85,3,M. Thornton makes 3-pt shot from 24 ft (assist by A. Goodwin)
9:58.0,Turnover by J. Hamilton (lost ball; steal by M. Thornton),,73-85,,
9:52.0,,,73-85,,M. Thornton misses 3-pt shot from 25 ft
9:50.0,Defensive rebound by G. Neal,,73-85,,
9:37.0,G. Neal misses 3-pt shot from 25 ft,,73-85,,
9:36.0,,,73-85,,Defensive rebound by T. Warren
9:18.0,,,73-85,,A. Goodwin misses 3-pt shot from 24 ft
9:17.0,Defensive rebound by J. Hamilton,,73-85,,
9:15.0,,,73-85,,Personal foul by A. Goodwin (drawn by J. Hamilton)
9:15.0,Minnesota full timeout,,73-85,,
9:06.0,Turnover by Z. LaVine (lost ball; steal by M. Thornton),,73-85,,
9:01.0,,,73-87,2,B. Wright makes 2-pt shot from 1 ft
9:01.0,,,73-87,,A. Goodwin misses 2-pt shot from 1 ft
9:01.0,,,73-87,,Offensive rebound by B. Wright
8:45.0,C. Budinger makes 2-pt shot from 3 ft (assist by Z. LaVine),2,75-87,,
8:22.0,,,75-87,,M. Morris misses 2-pt shot from 21 ft
8:22.0,,,75-87,,Offensive rebound by A. Goodwin
8:22.0,,,75-87,,Shooting foul by G. Neal (drawn by A. Goodwin)
8:22.0,,,75-87,,A. Goodwin misses free throw 1 of 2
8:22.0,,,75-87,,Offensive rebound by Team
8:22.0,,,75-88,1,A. Goodwin makes free throw 2 of 2
8:08.0,Shooting foul by M. Thornton (drawn by G. Neal),,75-88,,
8:08.0,G. Neal makes free throw 1 of 2,1,76-88,,
8:08.0,,,76-88,,P. Tucker enters the game for M. Morris
8:08.0,G. Neal makes free throw 2 of 2,1,77-88,,
7:45.0,,,77-88,,P. Tucker misses 2-pt shot from 1 ft
7:44.0,Defensive rebound by C. Budinger,,77-88,,
7:38.0,Z. LaVine misses 2-pt shot from 3 ft,,77-88,,
7:37.0,,,77-88,,Defensive rebound by T. Warren
7:33.0,,,77-88,,Offensive charge foul by T. Warren
7:33.0,,,77-88,,Turnover by T. Warren (offensive foul)
7:24.0,G. Neal makes 2-pt shot from 18 ft (assist by Z. LaVine),2,79-88,,
7:07.0,,,79-88,,Turnover by P. Tucker (bad pass; steal by Z. LaVine)
7:04.0,Shooting foul by A. Goodwin (drawn by Z. LaVine),,79-88,,
7:04.0,Z. LaVine makes free throw 1 of 2,1,80-88,,
7:04.0,,,80-88,,E. Bledsoe enters the game for A. Goodwin
7:04.0,Z. LaVine makes free throw 2 of 2,1,81-88,,
6:41.0,,,81-90,2,T. Warren makes 2-pt shot from 3 ft (assist by E. Bledsoe)
6:31.0,G. Neal misses 2-pt shot from 20 ft,,81-90,,
6:30.0,,,81-90,,Defensive rebound by B. Wright
6:13.0,,,81-90,,M. Thornton misses 3-pt shot from 24 ft
6:12.0,Defensive rebound by C. Budinger,,81-90,,
6:00.0,,,81-90,,Personal foul by M. Thornton (drawn by G. Neal)
6:00.0,,,81-90,,Technical foul by M. Thornton (drawn by G. Neal)
6:00.0,G. Neal makes technical free throw,1,82-90,,
6:00.0,G. Neal makes free throw 1 of 2,1,83-90,,
6:00.0,R. Rubio enters the game for Z. LaVine,,83-90,,
6:00.0,G. Neal makes free throw 2 of 2,1,84-90,,
5:47.0,,,84-92,2,E. Bledsoe makes 2-pt shot from 20 ft
5:31.0,A. Payne misses 2-pt shot from 8 ft,,84-92,,
5:30.0,,,84-92,,Defensive rebound by B. Wright
5:21.0,,,84-92,,E. Bledsoe misses 2-pt shot from 4 ft
5:20.0,,,84-92,,Offensive rebound by B. Wright
5:15.0,Official timeout,,84-92,,
5:15.0,K. Martin enters the game for G. Neal,,84-92,,
5:15.0,A. Wiggins enters the game for C. Budinger,,84-92,,
5:03.0,Personal foul by A. Payne (drawn by P. Tucker),,84-92,,
5:03.0,,,84-92,,M. Morris enters the game for M. Thornton
4:51.0,,,84-92,,P. Tucker misses 2-pt shot from 4 ft (block by J. Hamilton)
4:49.0,Defensive rebound by R. Rubio,,84-92,,
4:44.0,K. Martin makes 2-pt shot from 9 ft (assist by R. Rubio),2,86-92,,
4:22.0,,,86-94,2,M. Morris makes 2-pt shot from 5 ft
4:00.0,A. Payne misses 2-pt shot from 21 ft,,86-94,,
4:00.0,,,86-94,,Defensive rebound by P. Tucker
3:50.0,,,86-96,2,M. Morris makes 2-pt shot from 16 ft (assist by E. Bledsoe)
3:49.0,Minnesota full timeout,,86-96,,
3:49.0,G. Dieng enters the game for A. Payne,,86-96,,
3:39.0,,,86-96,,Personal foul by T. Warren (drawn by K. Martin)
3:39.0,K. Martin misses free throw 1 of 2,,86-96,,
3:39.0,Offensive rebound by Team,,86-96,,
3:39.0,K. Martin makes free throw 2 of 2,1,87-96,,
3:20.0,,,87-98,2,T. Warren makes 2-pt shot at rim (assist by B. Wright)
3:20.0,,,87-98,,Shooting foul by G. Dieng (drawn by T. Warren)
3:20.0,,,87-99,1,T. Warren makes free throw 1 of 1
2:59.0,J. Hamilton makes 3-pt shot from 24 ft (assist by R. Rubio),3,90-99,,
2:33.0,,,90-99,,M. Morris misses 2-pt shot from 10 ft
2:29.0,Defensive rebound by G. Dieng,,90-99,,
2:29.0,Turnover by G. Dieng (lost ball; steal by T. Warren),,90-99,,
2:27.0,,,90-101,2,T. Warren makes 2-pt shot from 1 ft
2:17.0,A. Wiggins misses 3-pt shot from 25 ft,,90-101,,
2:17.0,,,90-101,,Defensive rebound by B. Wright
2:17.0,Personal foul by G. Dieng (drawn by B. Wright),,90-101,,
2:17.0,,,90-101,,B. Wright misses free throw 1 of 2
2:17.0,,,90-101,,Offensive rebound by Team
2:17.0,,,90-102,1,B. Wright makes free throw 2 of 2
2:05.0,A. Wiggins makes 2-pt shot from 4 ft,2,92-102,,
1:41.0,,,92-104,2,E. Bledsoe makes 2-pt shot from 15 ft
1:34.0,Turnover by G. Dieng (bad pass; steal by B. Wright),,92-104,,
1:15.0,,,92-104,,Shooting foul by J. Hamilton (drawn by E. Bledsoe)
1:15.0,,,92-105,1,E. Bledsoe makes free throw 1 of 2
1:15.0,A. Payne enters the game for K. Martin,,92-105,,
1:15.0,L. Brown enters the game for R. Rubio,,92-105,,
1:15.0,Z. LaVine enters the game for G. Dieng,,92-105,,
1:15.0,C. Budinger enters the game for A. Wiggins,,92-105,,
1:15.0,,,92-105,,E. Barron enters the game for T. Warren
1:15.0,,,92-105,,M. Thornton enters the game for M. Morris
