time,Sacramento,pts.away,score,pts.home,Charlotte
7:20.0,,,13-7,,Offensive charge foul by G. Henderson
7:20.0,,,13-7,,Turnover by G. Henderson (offensive foul)
7:09.0,Offensive charge foul by R. Gay,,13-7,,
7:09.0,Turnover by R. Gay (offensive foul),,13-7,,
6:53.0,,,13-7,,G. Henderson misses 3-pt shot from 25 ft
6:51.0,Defensive rebound by D. Cousins,,13-7,,
6:42.0,D. Cousins misses 2-pt shot from 1 ft,,13-7,,
6:41.0,,,13-7,,Defensive rebound by M. Kidd-Gilchrist
6:36.0,,,13-9,2,M. Kidd-Gilchrist makes 2-pt shot at rim (assist by G. Henderson)
6:18.0,R. Gay misses 3-pt shot from 26 ft,,13-9,,
6:16.0,Offensive rebound by Team,,13-9,,
6:06.0,D. Cousins misses 2-pt shot from 18 ft,,13-9,,
6:05.0,,,13-9,,Defensive rebound by M. Kidd-Gilchrist
5:56.0,,,13-9,,M. Williams misses 2-pt shot from 17 ft
5:55.0,Defensive rebound by C. Landry,,13-9,,
5:42.0,D. Cousins misses 2-pt shot from 2 ft (block by M. Williams),,13-9,,
5:39.0,,,13-9,,Defensive rebound by G. Henderson
5:36.0,,,13-11,2,G. Henderson makes 2-pt shot at rim
5:29.0,R. McCallum misses 3-pt shot from 23 ft,,13-11,,
5:28.0,,,13-11,,Defensive rebound by A. Jefferson
5:17.0,,,13-14,3,M. Williams makes 3-pt shot from 25 ft (assist by G. Henderson)
5:17.0,Sacramento full timeout,,13-14,,
4:59.0,C. Landry misses 2-pt shot from 2 ft (block by M. Kidd-Gilchrist),,13-14,,
4:54.0,,,13-14,,Defensive rebound by M. Kidd-Gilchrist
4:52.0,,,13-16,2,G. Henderson makes 2-pt shot at rim (assist by M. Williams)
4:33.0,B. McLemore makes 3-pt shot from 25 ft (assist by R. McCallum),3,16-16,,
4:16.0,,,16-16,,M. Williams misses 3-pt shot from 25 ft
4:15.0,Defensive rebound by R. McCallum,,16-16,,
3:59.0,C. Landry makes 2-pt shot at rim (assist by R. McCallum),2,18-16,,
3:44.0,,,18-16,,M. Williams misses 3-pt shot from 25 ft
3:42.0,,,18-16,,Offensive rebound by M. Kidd-Gilchrist
3:39.0,,,18-18,2,A. Jefferson makes 2-pt shot from 15 ft (assist by M. Kidd-Gilchrist)
3:13.0,R. Gay misses 2-pt shot from 1 ft,,18-18,,
3:11.0,,,18-18,,Defensive rebound by A. Jefferson
3:07.0,,,18-18,,M. Williams misses 2-pt shot from 1 ft
3:06.0,Defensive rebound by B. McLemore,,18-18,,
2:53.0,C. Landry makes 2-pt shot from 1 ft (assist by R. McCallum),2,20-18,,
2:33.0,,,20-18,,Shooting foul by C. Landry (drawn by M. Kidd-Gilchrist)
2:33.0,,,20-19,1,M. Kidd-Gilchrist makes free throw 1 of 2
2:33.0,O. Casspi enters the game for C. Landry,,20-19,,
2:33.0,D. Williams enters the game for D. Cousins,,20-19,,
2:33.0,J. Thompson enters the game for B. McLemore,,20-19,,
2:33.0,A. Miller enters the game for R. McCallum,,20-19,,
2:33.0,,,20-19,,K. Walker enters the game for M. Williams
2:33.0,,,20-19,,B. Biyombo enters the game for A. Jefferson
2:33.0,,,20-19,,J. Maxiell enters the game for G. Henderson
2:33.0,,,20-19,,M. Kidd-Gilchrist misses free throw 2 of 2
2:31.0,Defensive rebound by O. Casspi,,20-19,,
2:07.0,D. Williams misses 3-pt shot from 26 ft,,20-19,,
2:06.0,,,20-19,,Defensive rebound by K. Walker
1:55.0,,,20-19,,K. Walker misses 2-pt shot from 21 ft
1:54.0,Defensive rebound by O. Casspi,,20-19,,
1:47.0,Shooting foul by J. Maxiell (drawn by R. Gay),,20-19,,
1:47.0,R. Gay makes free throw 1 of 2,1,21-19,,
1:47.0,R. Gay misses free throw 2 of 2,,21-19,,
1:46.0,,,21-19,,Defensive rebound by M. Kidd-Gilchrist
1:32.0,,,21-19,,J. Maxiell misses 2-pt shot from 6 ft
1:31.0,,,21-19,,Offensive rebound by J. Maxiell
1:31.0,,,21-19,,Shooting foul by J. Thompson (drawn by J. Maxiell)
1:31.0,,,21-19,,J. Maxiell misses free throw 1 of 2
1:31.0,,,21-19,,Offensive rebound by Team
1:31.0,,,21-19,,J. Maxiell misses free throw 2 of 2
1:28.0,,,21-19,,Offensive rebound by J. Maxiell
1:26.0,,,21-19,,J. Maxiell misses 2-pt shot at rim
1:24.0,,,21-19,,Offensive rebound by B. Biyombo
1:24.0,,,21-21,2,B. Biyombo makes 2-pt shot at rim
1:06.0,R. Gay makes 2-pt shot from 6 ft,2,23-21,,
0:50.0,,,23-21,,M. Williams misses 2-pt shot from 19 ft
0:49.0,Defensive rebound by J. Thompson,,23-21,,
0:45.0,Shooting foul by B. Biyombo (drawn by R. Gay),,23-21,,
0:45.0,R. Gay makes free throw 1 of 2,1,24-21,,
0:45.0,R. Gay misses free throw 2 of 2,,24-21,,
0:44.0,,,24-21,,Defensive rebound by M. Kidd-Gilchrist
0:26.0,,,24-21,,K. Walker misses 3-pt shot from 25 ft
0:24.0,,,24-21,,Offensive rebound by J. Maxiell
0:22.0,,,24-21,,Offensive charge foul by M. Kidd-Gilchrist
0:22.0,,,24-21,,Turnover by M. Kidd-Gilchrist (offensive foul)
0:22.0,,,24-21,,L. Stephenson enters the game for M. Kidd-Gilchrist
0:01.0,D. Williams misses 3-pt shot from 24 ft,,24-21,,
0:00.0,Offensive rebound by Team,,24-21,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,,,24-21,,L. Stephenson misses 2-pt shot from 17 ft (block by O. Casspi)
11:47.0,Defensive rebound by J. Thompson,,24-21,,
11:47.0,,,24-21,,Personal foul by B. Biyombo (drawn by J. Thompson)
11:33.0,Turnover by R. Gay (bad pass),,24-21,,
11:10.0,,,24-24,3,K. Walker makes 3-pt shot from 25 ft (assist by G. Henderson)
10:45.0,A. Miller makes 2-pt shot from 17 ft,2,26-24,,
10:30.0,,,26-26,2,G. Henderson makes 2-pt shot from 16 ft (assist by K. Walker)
10:17.0,Shooting foul by K. Walker (drawn by O. Casspi),,26-26,,
10:17.0,O. Casspi makes free throw 1 of 2,1,27-26,,
10:17.0,B. McLemore enters the game for R. Gay,,27-26,,
10:17.0,O. Casspi makes free throw 2 of 2,1,28-26,,
9:58.0,,,28-28,2,L. Stephenson makes 2-pt shot from 2 ft (assist by G. Henderson)
9:47.0,,,28-28,,Personal foul by L. Stephenson (drawn by O. Casspi)
9:41.0,B. McLemore makes 2-pt shot from 18 ft (assist by A. Miller),2,30-28,,
9:28.0,,,30-30,2,L. Stephenson makes 2-pt shot from 2 ft
9:15.0,D. Williams makes 3-pt shot from 25 ft (assist by A. Miller),3,33-30,,
9:02.0,,,33-30,,Turnover by L. Stephenson (lost ball)
9:02.0,Sacramento full timeout,,33-30,,
8:48.0,O. Casspi misses 2-pt shot from 7 ft,,33-30,,
8:46.0,Offensive rebound by J. Thompson,,33-30,,
8:46.0,J. Thompson makes 2-pt shot at rim,2,35-30,,
8:33.0,,,35-30,,Shooting foul by B. McLemore (drawn by G. Henderson)
8:33.0,,,35-30,,G. Henderson misses free throw 1 of 2
8:33.0,,,35-30,,Offensive rebound by Team
8:33.0,,,35-31,1,G. Henderson makes free throw 2 of 2
8:21.0,Turnover by A. Miller (bad pass),,35-31,,
8:06.0,,,35-31,,K. Walker misses 2-pt shot from 2 ft (block by J. Thompson)
8:06.0,,,35-31,,Offensive rebound by Team
8:06.0,D. Cousins enters the game for J. Thompson,,35-31,,
7:59.0,,,35-31,,Turnover by K. Walker (bad pass; steal by B. McLemore)
7:53.0,B. McLemore makes 3-pt shot from 25 ft (assist by A. Miller),3,38-31,,
7:31.0,,,38-34,3,K. Walker makes 3-pt shot from 25 ft (assist by G. Henderson)
7:13.0,Shooting foul by K. Walker (drawn by D. Cousins),,38-34,,
7:13.0,D. Cousins makes free throw 1 of 2,1,39-34,,
7:13.0,,,39-34,,A. Jefferson enters the game for G. Henderson
7:13.0,,,39-34,,M. Kidd-Gilchrist enters the game for B. Biyombo
7:13.0,,,39-34,,M. Williams enters the game for K. Walker
7:13.0,D. Cousins makes free throw 2 of 2,1,40-34,,
6:56.0,,,40-34,,L. Stephenson misses 2-pt shot from 21 ft
6:55.0,Defensive rebound by O. Casspi,,40-34,,
6:44.0,A. Miller misses 2-pt shot at rim,,40-34,,
6:43.0,,,40-34,,Defensive rebound by M. Kidd-Gilchrist
6:40.0,,,40-36,2,M. Kidd-Gilchrist makes 2-pt shot at rim
6:40.0,,,40-36,,Shooting foul by O. Casspi (drawn by M. Kidd-Gilchrist)
6:40.0,,,40-36,,M. Williams enters the game for J. Maxiell
6:40.0,,,40-37,1,M. Kidd-Gilchrist makes free throw 1 of 1
6:26.0,Turnover by A. Miller (bad pass; steal by A. Jefferson),,40-37,,
6:19.0,,,40-37,,M. Williams misses 2-pt shot from 8 ft
6:19.0,,,40-37,,Offensive rebound by Team
6:16.0,,,40-39,2,M. Kidd-Gilchrist makes 2-pt shot at rim (assist by M. Williams)
5:52.0,O. Casspi misses 2-pt shot from 6 ft,,40-39,,
5:50.0,,,40-39,,Defensive rebound by M. Williams
5:41.0,,,40-39,,M. Kidd-Gilchrist misses 2-pt shot from 19 ft
5:40.0,Defensive rebound by D. Cousins,,40-39,,
5:37.0,Official timeout,,40-39,,
5:37.0,R. Gay enters the game for O. Casspi,,40-39,,
5:21.0,D. Cousins misses 2-pt shot from 3 ft (block by M. Williams),,40-39,,
5:20.0,,,40-39,,Defensive rebound by M. Williams
5:14.0,,,40-41,2,M. Williams makes 2-pt shot from 2 ft
5:07.0,A. Miller misses 2-pt shot from 4 ft (block by A. Jefferson),,40-41,,
5:05.0,Offensive rebound by A. Miller,,40-41,,
5:02.0,B. McLemore misses 3-pt shot from 24 ft,,40-41,,
5:01.0,,,40-41,,Defensive rebound by M. Williams
4:43.0,,,40-41,,Turnover by A. Jefferson (lost ball; steal by D. Williams)
4:37.0,B. McLemore misses 2-pt shot from 1 ft,,40-41,,
4:36.0,,,40-41,,Defensive rebound by M. Williams
4:23.0,,,40-41,,A. Jefferson misses 2-pt shot from 15 ft
4:22.0,Defensive rebound by D. Williams,,40-41,,
4:12.0,R. Gay makes 2-pt shot at rim (assist by A. Miller),2,42-41,,
3:56.0,Personal foul by R. Gay (drawn by A. Jefferson),,42-41,,
3:56.0,,,42-41,,G. Henderson enters the game for M. Kidd-Gilchrist
3:56.0,R. McCallum enters the game for A. Miller,,42-41,,
3:50.0,,,42-41,,Turnover by L. Stephenson (bad pass)
3:33.0,Turnover by D. Williams (traveling),,42-41,,
3:15.0,,,42-41,,M. Williams misses 2-pt shot from 18 ft
3:14.0,Defensive rebound by D. Cousins,,42-41,,
3:07.0,Shooting foul by A. Jefferson (drawn by R. McCallum),,42-41,,
3:07.0,R. McCallum makes free throw 1 of 2,1,43-41,,
3:07.0,R. McCallum makes free throw 2 of 2,1,44-41,,
2:53.0,,,44-41,,Turnover by A. Jefferson (lost ball)
2:53.0,,,44-41,,Charlotte full timeout
2:53.0,,,44-41,,Technical foul by A. Jefferson
2:53.0,C. Landry enters the game for D. Williams,,44-41,,
2:53.0,R. Gay makes technical free throw,1,45-41,,
2:31.0,D. Cousins misses 2-pt shot from 5 ft,,45-41,,
2:30.0,,,45-41,,Defensive rebound by A. Jefferson
2:22.0,,,45-41,,A. Jefferson misses 2-pt shot from 16 ft
2:21.0,Defensive rebound by R. Gay,,45-41,,
2:14.0,Turnover by D. Cousins (bad pass),,45-41,,
2:02.0,,,45-41,,M. Williams misses 2-pt shot from 12 ft
2:01.0,Defensive rebound by D. Cousins,,45-41,,
1:57.0,B. McLemore misses 2-pt shot from 2 ft,,45-41,,
1:54.0,,,45-41,,Defensive rebound by M. Williams
1:50.0,,,45-41,,M. Williams misses 2-pt shot from 17 ft
1:48.0,Defensive rebound by R. McCallum,,45-41,,
1:42.0,B. McLemore misses 2-pt shot from 2 ft,,45-41,,
1:38.0,Offensive rebound by C. Landry,,45-41,,
1:38.0,C. Landry makes 2-pt shot from 1 ft,2,47-41,,
1:15.0,,,47-44,3,M. Williams makes 3-pt shot from 25 ft (assist by M. Williams)
1:00.0,D. Cousins makes 2-pt shot from 1 ft (assist by R. McCallum),2,49-44,,
0:47.0,,,49-44,,L. Stephenson misses 2-pt shot from 20 ft
0:46.0,Defensive rebound by D. Cousins,,49-44,,
0:33.0,D. Cousins makes 2-pt shot from 17 ft (assist by B. McLemore),2,51-44,,
0:18.0,,,51-46,2,A. Jefferson makes 2-pt shot from 1 ft
0:05.0,R. Gay misses 2-pt shot from 17 ft,,51-46,,
0:03.0,,,51-46,,Defensive rebound by L. Stephenson
0:03.0,Personal foul by D. Cousins (drawn by L. Stephenson),,51-46,,
0:00.0,,,51-46,,M. Williams misses 3-pt shot from 30 ft
0:00.0,,,51-46,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,,,51-46,,Turnover by M. Williams (bad pass; steal by D. Cousins)
11:27.0,R. Gay makes 3-pt shot from 25 ft (assist by R. McCallum),3,54-46,,
11:11.0,,,54-46,,Shooting foul by B. McLemore (drawn by G. Henderson)
11:11.0,,,54-47,1,G. Henderson makes free throw 1 of 2
11:11.0,,,54-48,1,G. Henderson makes free throw 2 of 2
11:00.0,Shooting foul by M. Williams (drawn by C. Landry),,54-48,,
11:00.0,C. Landry makes free throw 1 of 2,1,55-48,,
11:00.0,C. Landry makes free throw 2 of 2,1,56-48,,
10:44.0,,,56-50,2,A. Jefferson makes 2-pt shot from 9 ft (assist by G. Henderson)
10:28.0,D. Cousins misses 2-pt shot from 2 ft (block by M. Williams),,56-50,,
10:26.0,,,56-50,,Defensive rebound by M. Williams
10:21.0,,,56-50,,G. Henderson misses 2-pt shot from 10 ft
10:18.0,Defensive rebound by D. Cousins,,56-50,,
10:12.0,Shooting foul by M. Williams (drawn by R. McCallum),,56-50,,
10:12.0,R. McCallum misses free throw 1 of 2,,56-50,,
10:12.0,Offensive rebound by Team,,56-50,,
10:12.0,R. McCallum makes free throw 2 of 2,1,57-50,,
9:58.0,,,57-52,2,M. Kidd-Gilchrist makes 2-pt shot from 1 ft (assist by G. Henderson)
9:46.0,,,57-52,,Personal foul by M. Williams (drawn by C. Landry)
9:38.0,R. Gay makes 2-pt shot from 16 ft (assist by R. McCallum),2,59-52,,
9:19.0,,,59-52,,M. Williams misses 2-pt shot from 2 ft
9:18.0,Defensive rebound by R. McCallum,,59-52,,
9:09.0,B. McLemore makes 2-pt shot from 8 ft (assist by R. McCallum),2,61-52,,
8:53.0,,,61-55,3,M. Williams makes 3-pt shot from 24 ft (assist by A. Jefferson)
8:40.0,R. McCallum misses 2-pt shot from 1 ft (block by A. Jefferson),,61-55,,
8:40.0,Offensive rebound by Team,,61-55,,
8:36.0,R. Gay misses 2-pt shot from 8 ft,,61-55,,
8:34.0,,,61-55,,Defensive rebound by G. Henderson
8:28.0,,,61-55,,M. Williams misses 3-pt shot from 25 ft
8:25.0,,,61-55,,Offensive rebound by A. Jefferson
8:21.0,,,61-55,,A. Jefferson misses 2-pt shot from 1 ft
8:20.0,Defensive rebound by D. Cousins,,61-55,,
8:03.0,R. Gay misses 2-pt shot from 6 ft,,61-55,,
8:02.0,,,61-55,,Defensive rebound by M. Williams
7:51.0,,,61-57,2,G. Henderson makes 2-pt shot from 1 ft (assist by M. Williams)
7:27.0,R. McCallum misses 2-pt shot from 18 ft,,61-57,,
7:26.0,,,61-57,,Defensive rebound by M. Williams
7:20.0,,,61-59,2,M. Kidd-Gilchrist makes 2-pt shot from 1 ft (assist by M. Williams)
7:11.0,B. McLemore misses 2-pt shot from 1 ft,,61-59,,
7:10.0,,,61-59,,Defensive rebound by A. Jefferson
7:04.0,,,61-59,,M. Williams misses 2-pt shot from 10 ft
7:02.0,Defensive rebound by D. Cousins,,61-59,,
6:40.0,R. McCallum misses 2-pt shot from 2 ft,,61-59,,
6:39.0,,,61-59,,Defensive rebound by A. Jefferson
6:34.0,,,61-59,,G. Henderson misses 3-pt shot from 23 ft
6:32.0,Defensive rebound by D. Cousins,,61-59,,
6:32.0,Sacramento full timeout,,61-59,,
6:15.0,R. Gay misses 2-pt shot from 2 ft,,61-59,,
6:13.0,,,61-59,,Defensive rebound by G. Henderson
6:05.0,,,61-59,,M. Kidd-Gilchrist misses 2-pt shot from 15 ft
6:04.0,Defensive rebound by B. McLemore,,61-59,,
5:45.0,R. McCallum misses 3-pt shot from 23 ft,,61-59,,
5:44.0,,,61-59,,Defensive rebound by G. Henderson
5:33.0,,,61-61,2,A. Jefferson makes 2-pt shot from 15 ft (assist by G. Henderson)
5:20.0,R. McCallum makes 2-pt shot at rim,2,63-61,,
5:20.0,Shooting foul by M. Williams (drawn by R. McCallum),,63-61,,
5:20.0,A. Miller enters the game for C. Landry,,63-61,,
5:20.0,R. McCallum makes free throw 1 of 1,1,64-61,,
4:58.0,,,64-63,2,M. Kidd-Gilchrist makes 2-pt shot from 18 ft (assist by G. Henderson)
4:48.0,Turnover by A. Miller (bad pass),,64-63,,
4:22.0,,,64-63,,G. Henderson misses 2-pt shot from 19 ft
4:19.0,Defensive rebound by R. McCallum,,64-63,,
4:17.0,B. McLemore makes 2-pt shot at rim (assist by R. McCallum),2,66-63,,
4:17.0,,,66-63,,Charlotte full timeout
4:17.0,,,66-63,,L. Stephenson enters the game for M. Williams
4:17.0,,,66-63,,K. Walker enters the game for A. Jefferson
4:17.0,,,66-63,,B. Biyombo enters the game for G. Henderson
4:04.0,,,66-65,2,M. Williams makes 2-pt shot from 16 ft
3:52.0,Turnover by D. Cousins (lost ball; steal by M. Kidd-Gilchrist),,66-65,,
3:52.0,Loose ball foul by D. Cousins (drawn by M. Kidd-Gilchrist),,66-65,,
3:41.0,,,66-67,2,M. Williams makes 2-pt shot from 18 ft (assist by M. Kidd-Gilchrist)
3:16.0,A. Miller makes 2-pt shot from 16 ft,2,68-67,,
3:01.0,Personal foul by A. Miller (drawn by K. Walker),,68-67,,
3:01.0,J. Thompson enters the game for D. Cousins,,68-67,,
3:01.0,O. Casspi enters the game for B. McLemore,,68-67,,
2:53.0,,,68-69,2,L. Stephenson makes 2-pt shot from 17 ft
2:35.0,R. McCallum misses 2-pt shot at rim (block by B. Biyombo),,68-69,,
2:33.0,Offensive rebound by J. Thompson,,68-69,,
2:33.0,J. Thompson makes 2-pt shot at rim,2,70-69,,
2:15.0,,,70-69,,Shooting foul by J. Thompson (drawn by B. Biyombo)
2:15.0,Technical foul by A. Miller,,70-69,,
2:15.0,,,70-70,1,M. Williams makes technical free throw
2:15.0,,,70-71,1,B. Biyombo makes free throw 1 of 2
2:15.0,,,70-71,,J. Maxiell enters the game for M. Kidd-Gilchrist
2:15.0,D. Williams enters the game for R. McCallum,,70-71,,
2:15.0,,,70-71,,B. Biyombo misses free throw 2 of 2
2:13.0,Defensive rebound by A. Miller,,70-71,,
1:53.0,R. Gay makes 2-pt shot from 8 ft,2,72-71,,
1:40.0,,,72-71,,K. Walker misses 2-pt shot from 7 ft
1:39.0,,,72-71,,Offensive rebound by B. Biyombo
1:39.0,,,72-73,2,B. Biyombo makes 2-pt shot from 1 ft
1:29.0,A. Miller misses 2-pt shot from 6 ft,,72-73,,
1:28.0,Offensive rebound by O. Casspi,,72-73,,
1:25.0,O. Casspi makes 2-pt shot from 3 ft,2,74-73,,
1:25.0,Violation by Team (delay of game),,74-73,,
1:17.0,,,74-76,3,M. Williams makes 3-pt shot from 25 ft (assist by K. Walker)
0:56.0,A. Miller misses 3-pt shot from 23 ft,,74-76,,
0:55.0,,,74-76,,Defensive rebound by J. Maxiell
0:46.0,,,74-78,2,M. Williams makes 2-pt shot from 8 ft (assist by L. Stephenson)
0:28.0,O. Casspi makes 3-pt shot from 25 ft (assist by J. Thompson),3,77-78,,
0:06.0,,,77-78,,Shooting foul by R. Gay (drawn by K. Walker)
0:06.0,,,77-78,,K. Walker misses free throw 1 of 2
0:06.0,,,77-78,,Offensive rebound by Team
0:06.0,,,77-78,,K. Walker misses free throw 2 of 2
0:06.0,Defensive rebound by Team,,77-78,,
0:06.0,,,77-78,,Loose ball foul by B. Biyombo (drawn by J. Thompson)
0:06.0,J. Thompson misses free throw 1 of 2,,77-78,,
0:06.0,Offensive rebound by Team,,77-78,,
0:06.0,B. McLemore enters the game for R. Gay,,77-78,,
0:06.0,J. Thompson makes free throw 2 of 2,1,78-78,,
0:00.0,,,78-78,,K. Walker misses 2-pt shot from 15 ft
0:00.0,,,78-78,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:50.0,Turnover by A. Miller (bad pass; steal by B. Biyombo),,78-78,,
11:45.0,,,78-78,,L. Stephenson misses 2-pt shot from 1 ft
11:42.0,Defensive rebound by O. Casspi,,78-78,,
11:34.0,B. McLemore makes 2-pt shot from 18 ft (assist by D. Williams),2,80-78,,
11:18.0,,,80-80,2,G. Henderson makes 2-pt shot from 18 ft (assist by L. Stephenson)
10:59.0,O. Casspi misses 2-pt shot from 2 ft,,80-80,,
10:58.0,Offensive rebound by J. Thompson,,80-80,,
10:58.0,J. Thompson makes 2-pt shot from 1 ft,2,82-80,,
10:39.0,,,82-82,2,B. Biyombo makes 2-pt shot at rim (assist by G. Henderson)
10:24.0,B. McLemore makes 3-pt shot from 24 ft (assist by A. Miller),3,85-82,,
10:06.0,,,85-82,,G. Henderson misses 2-pt shot from 19 ft
10:05.0,,,85-82,,Offensive rebound by Team
10:05.0,Loose ball foul by D. Williams (drawn by B. Biyombo),,85-82,,
9:52.0,,,85-82,,K. Walker misses 2-pt shot from 2 ft
9:52.0,,,85-82,,Offensive rebound by Team
9:52.0,Loose ball foul by J. Thompson (drawn by J. Maxiell),,85-82,,
9:52.0,,,85-82,,Offensive foul by J. Maxiell
9:52.0,,,85-82,,Turnover by J. Maxiell (offensive foul)
9:38.0,D. Williams misses 3-pt shot from 23 ft,,85-82,,
9:36.0,,,85-82,,Defensive rebound by L. Stephenson
9:26.0,,,85-82,,G. Henderson misses 2-pt shot at rim
9:25.0,Defensive rebound by J. Thompson,,85-82,,
9:20.0,O. Casspi misses 2-pt shot from 1 ft (block by K. Walker),,85-82,,
9:18.0,,,85-82,,Defensive rebound by B. Biyombo
9:14.0,,,85-84,2,L. Stephenson makes 2-pt shot from 1 ft (assist by G. Henderson)
8:59.0,A. Miller makes 3-pt shot from 25 ft (assist by O. Casspi),3,88-84,,
8:33.0,,,88-84,,K. Walker misses 3-pt shot from 25 ft
8:31.0,Defensive rebound by J. Thompson,,88-84,,
8:20.0,J. Thompson misses 2-pt shot at rim (block by B. Biyombo),,88-84,,
8:18.0,,,88-84,,Defensive rebound by G. Henderson
8:14.0,,,88-84,,G. Henderson misses 2-pt shot from 1 ft
8:14.0,Defensive rebound by Team,,88-84,,
8:14.0,Official timeout,,88-84,,
8:14.0,,,88-84,,M. Williams enters the game for J. Maxiell
8:00.0,A. Miller misses 2-pt shot from 17 ft,,88-84,,
7:59.0,,,88-84,,Defensive rebound by L. Stephenson
7:36.0,,,88-84,,L. Stephenson misses 3-pt shot from 26 ft
7:35.0,Defensive rebound by O. Casspi,,88-84,,
7:32.0,B. McLemore makes 2-pt shot at rim (assist by O. Casspi),2,90-84,,
7:32.0,Shooting foul by L. Stephenson (drawn by B. McLemore),,90-84,,
7:32.0,,,90-84,,Technical foul by L. Stephenson (drawn by B. McLemore)
7:32.0,B. McLemore makes technical free throw,1,91-84,,
7:32.0,R. McCallum enters the game for A. Miller,,91-84,,
7:32.0,R. Gay enters the game for D. Williams,,91-84,,
7:32.0,D. Cousins enters the game for J. Thompson,,91-84,,
7:32.0,B. McLemore makes free throw 1 of 1,1,92-84,,
7:20.0,,,92-84,,G. Henderson misses 2-pt shot from 17 ft
7:18.0,Defensive rebound by O. Casspi,,92-84,,
7:13.0,,,92-84,,Personal foul by B. Biyombo (drawn by D. Cousins)
7:13.0,,,92-84,,M. Kidd-Gilchrist enters the game for G. Henderson
7:13.0,,,92-84,,M. Williams enters the game for K. Walker
7:05.0,,,92-84,,Personal foul by L. Stephenson (drawn by O. Casspi)
6:53.0,Turnover by D. Cousins (traveling),,92-84,,
6:40.0,,,92-84,,Shooting foul by O. Casspi (drawn by M. Kidd-Gilchrist)
6:40.0,,,92-86,2,M. Kidd-Gilchrist makes 2-pt shot from 2 ft (assist by L. Stephenson)
6:40.0,,,92-87,1,M. Kidd-Gilchrist makes free throw 1 of 1
6:25.0,B. McLemore makes 2-pt shot from 18 ft,2,94-87,,
6:07.0,,,94-87,,Shooting foul by D. Cousins (drawn by M. Kidd-Gilchrist)
6:07.0,,,94-87,,M. Kidd-Gilchrist misses free throw 1 of 2
6:07.0,,,94-87,,Offensive rebound by Team
6:07.0,,,94-88,1,M. Kidd-Gilchrist makes free throw 2 of 2
5:55.0,B. McLemore misses 2-pt shot from 2 ft (block by B. Biyombo),,94-88,,
