time,Toronto,pts.away,score,pts.home,New Orleans
2:14.0,J. Johnson makes 2-pt shot from 3 ft (assist by K. Lowry),2,51-33,,
1:56.0,,,51-36,3,E. Gordon makes 3-pt shot from 25 ft (assist by T. Evans)
1:37.0,Shooting foul by Q. Pondexter (drawn by J. Valanciunas),,51-36,,
1:37.0,J. Valanciunas makes free throw 1 of 2,1,52-36,,
1:37.0,,,52-36,,L. Babbitt enters the game for D. Cunningham
1:37.0,J. Valanciunas makes free throw 2 of 2,1,53-36,,
1:19.0,,,53-39,3,L. Babbitt makes 3-pt shot from 23 ft (assist by E. Gordon)
1:04.0,K. Lowry misses 2-pt shot from 7 ft,,53-39,,
1:03.0,Offensive rebound by J. Valanciunas,,53-39,,
1:00.0,J. Valanciunas misses 2-pt shot from 1 ft,,53-39,,
0:59.0,Offensive rebound by J. Valanciunas,,53-39,,
0:59.0,J. Valanciunas misses 2-pt shot from 1 ft,,53-39,,
0:59.0,Offensive rebound by Team,,53-39,,
0:59.0,Toronto full timeout,,53-39,,
0:59.0,,,53-39,,Loose ball foul by O. Asik (drawn by K. Lowry)
0:59.0,K. Lowry makes free throw 1 of 2,1,54-39,,
0:59.0,K. Lowry misses free throw 2 of 2,,54-39,,
0:58.0,,,54-39,,Defensive rebound by O. Asik
0:44.0,,,54-42,3,L. Babbitt makes 3-pt shot from 22 ft (assist by T. Evans)
0:35.0,Shooting foul by O. Asik (drawn by K. Lowry),,54-42,,
0:35.0,K. Lowry makes free throw 1 of 2,1,55-42,,
0:35.0,K. Lowry makes free throw 2 of 2,1,56-42,,
0:18.0,,,56-42,,Q. Pondexter misses 3-pt shot from 24 ft
0:17.0,,,56-42,,Offensive rebound by Team
0:17.0,Loose ball foul by K. Lowry (drawn by O. Asik),,56-42,,
0:17.0,,,56-42,,New Orleans full timeout
0:05.0,,,56-44,2,T. Evans makes 2-pt shot from 2 ft
0:01.0,T. Ross misses 3-pt shot from 25 ft,,56-44,,
0:00.0,,,56-44,,Defensive rebound by L. Babbitt
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,,,56-44,,O. Asik misses 2-pt shot at rim
11:45.0,Defensive rebound by J. Valanciunas,,56-44,,
11:34.0,J. Johnson misses 3-pt shot from 25 ft,,56-44,,
11:32.0,,,56-44,,Defensive rebound by E. Gordon
11:19.0,,,56-44,,Shooting foul by A. Johnson (drawn by O. Asik)
11:19.0,,,56-45,1,O. Asik makes free throw 1 of 2
11:19.0,,,56-46,1,O. Asik makes free throw 2 of 2
11:01.0,J. Johnson makes 2-pt shot from 10 ft (assist by D. DeRozan),2,58-46,,
10:46.0,,,58-46,,Shooting foul by J. Valanciunas (drawn by D. Cunningham)
10:46.0,,,58-47,1,D. Cunningham makes free throw 1 of 2
10:46.0,,,58-47,,D. Cunningham misses free throw 2 of 2
10:46.0,Defensive rebound by J. Johnson,,58-47,,
10:30.0,D. DeRozan misses 2-pt shot from 19 ft,,58-47,,
10:29.0,,,58-47,,Defensive rebound by E. Gordon
10:22.0,,,58-47,,E. Gordon misses 2-pt shot from 19 ft
10:21.0,Defensive rebound by D. DeRozan,,58-47,,
10:05.0,J. Johnson makes 2-pt shot from 1 ft,2,60-47,,
9:48.0,,,60-47,,Turnover by T. Evans (bad pass; steal by A. Johnson)
9:36.0,D. DeRozan misses 2-pt shot from 14 ft (block by Q. Pondexter),,60-47,,
9:34.0,,,60-47,,Defensive rebound by O. Asik
9:33.0,Personal foul by D. DeRozan (drawn by T. Evans),,60-47,,
9:21.0,,,60-47,,Turnover by E. Gordon (traveling)
9:09.0,D. DeRozan misses 2-pt shot from 18 ft (block by E. Gordon),,60-47,,
9:06.0,,,60-47,,Defensive rebound by E. Gordon
8:47.0,,,60-49,2,D. Cunningham makes 2-pt shot from 10 ft (assist by T. Evans)
8:26.0,J. Valanciunas misses 2-pt shot from 18 ft,,60-49,,
8:25.0,,,60-49,,Defensive rebound by T. Evans
8:19.0,,,60-49,,T. Evans misses 2-pt shot from 3 ft (block by J. Johnson)
8:18.0,Defensive rebound by D. DeRozan,,60-49,,
8:12.0,D. DeRozan makes 2-pt shot at rim (assist by K. Lowry),2,62-49,,
7:54.0,,,62-49,,Turnover by E. Gordon (bad pass; steal by K. Lowry)
7:54.0,Toronto full timeout,,62-49,,
7:37.0,D. DeRozan misses 2-pt shot from 18 ft,,62-49,,
7:36.0,,,62-49,,Defensive rebound by O. Asik
7:19.0,,,62-52,3,E. Gordon makes 3-pt shot from 26 ft (assist by T. Evans)
6:52.0,J. Johnson makes 2-pt shot at rim,2,64-52,,
6:37.0,,,64-52,,Q. Pondexter misses 3-pt shot from 26 ft
6:36.0,,,64-52,,Offensive rebound by O. Asik
6:33.0,,,64-54,2,O. Asik makes 2-pt shot from 1 ft
6:24.0,Shooting foul by D. Cunningham (drawn by D. DeRozan),,64-54,,
6:24.0,D. DeRozan makes free throw 1 of 2,1,65-54,,
6:24.0,,,65-54,,A. Ajinca enters the game for D. Cunningham
6:24.0,D. DeRozan misses free throw 2 of 2,,65-54,,
6:21.0,Offensive rebound by A. Johnson,,65-54,,
6:12.0,Turnover by D. DeRozan (lost ball; steal by E. Gordon),,65-54,,
6:07.0,,,65-54,,Q. Pondexter misses 2-pt shot from 1 ft
6:06.0,,,65-54,,Offensive rebound by T. Evans
6:05.0,Personal foul by J. Johnson (drawn by T. Evans),,65-54,,
6:05.0,,,65-54,,D. Cunningham enters the game for Q. Pondexter
6:02.0,Personal foul by J. Johnson (drawn by T. Evans),,65-54,,
6:02.0,,,65-55,1,T. Evans makes free throw 1 of 2
6:02.0,,,65-55,,T. Evans misses free throw 2 of 2
6:01.0,,,65-55,,Offensive rebound by D. Cunningham
5:56.0,,,65-58,3,T. Evans makes 3-pt shot from 24 ft (assist by D. Cunningham)
5:31.0,J. Johnson makes 3-pt shot from 24 ft (assist by K. Lowry),3,68-58,,
5:17.0,,,68-58,,T. Evans misses 2-pt shot from 3 ft
5:16.0,,,68-58,,Offensive rebound by A. Ajinca
5:16.0,,,68-60,2,A. Ajinca makes 2-pt shot from 1 ft
5:01.0,K. Lowry misses 3-pt shot from 25 ft,,68-60,,
4:59.0,,,68-60,,Defensive rebound by A. Ajinca
4:39.0,,,68-60,,Turnover by T. Evans (offensive foul)
4:39.0,,,68-60,,Loose ball foul by T. Evans (drawn by J. Valanciunas)
4:39.0,L. Williams enters the game for J. Johnson,,68-60,,
4:39.0,,,68-60,,N. Cole enters the game for T. Evans
4:33.0,,,68-60,,Personal foul by N. Cole (drawn by K. Lowry)
4:27.0,K. Lowry misses 3-pt shot from 25 ft,,68-60,,
4:26.0,,,68-60,,Defensive rebound by D. Cunningham
4:16.0,,,68-62,2,O. Asik makes 2-pt shot at rim (assist by N. Cole)
3:59.0,Turnover by K. Lowry (bad pass; steal by N. Cole),,68-62,,
3:50.0,,,68-62,,Turnover by A. Ajinca (lost ball; steal by L. Williams)
3:38.0,Shooting foul by D. Cunningham (drawn by J. Valanciunas),,68-62,,
3:38.0,J. Valanciunas misses free throw 1 of 2,,68-62,,
3:38.0,Offensive rebound by Team,,68-62,,
3:38.0,J. Valanciunas misses free throw 2 of 2,,68-62,,
3:37.0,,,68-62,,Defensive rebound by O. Asik
3:22.0,,,68-62,,Turnover by E. Gordon (bad pass; steal by L. Williams)
3:16.0,K. Lowry makes 2-pt shot at rim (assist by L. Williams),2,70-62,,
3:03.0,,,70-64,2,A. Ajinca makes 2-pt shot at rim (assist by N. Cole)
2:40.0,Shooting foul by O. Asik (drawn by A. Johnson),,70-64,,
2:40.0,,,70-64,,New Orleans full timeout
2:40.0,A. Johnson misses free throw 1 of 2,,70-64,,
2:40.0,Offensive rebound by Team,,70-64,,
2:40.0,A. Johnson misses free throw 2 of 2,,70-64,,
2:39.0,,,70-64,,Defensive rebound by N. Cole
2:25.0,,,70-66,2,D. Cunningham makes 2-pt shot from 20 ft (assist by A. Ajinca)
2:02.0,A. Johnson misses 2-pt shot from 13 ft,,70-66,,
2:01.0,,,70-66,,Defensive rebound by A. Ajinca
1:57.0,,,70-66,,Turnover by A. Ajinca (bad pass)
1:47.0,Turnover by L. Williams (traveling),,70-66,,
1:33.0,,,70-66,,Turnover by E. Gordon (bad pass; steal by K. Lowry)
1:26.0,,,70-66,,Personal foul by A. Ajinca (drawn by J. Valanciunas)
1:26.0,J. Valanciunas makes free throw 1 of 2,1,71-66,,
1:26.0,T. Ross enters the game for D. DeRozan,,71-66,,
1:26.0,J. Valanciunas makes free throw 2 of 2,1,72-66,,
1:15.0,,,72-66,,E. Gordon misses 3-pt shot from 26 ft
1:14.0,Defensive rebound by J. Valanciunas,,72-66,,
1:01.0,K. Lowry makes 2-pt shot from 13 ft,2,74-66,,
