time,Utah,pts.away,score,pts.home,Boston
1:09.0,R. Hood misses 2-pt shot from 2 ft,,17-16,,
1:08.0,,,17-16,,Defensive rebound by Team
1:07.0,E. Millsap enters the game for G. Hayward,,17-16,,
1:07.0,Loose ball foul by T. Booker (drawn by J. Crowder),,17-16,,
0:56.0,,,17-16,,M. Smart misses 3-pt shot from 22 ft
0:55.0,,,17-16,,Offensive rebound by J. Crowder
0:54.0,,,17-18,2,J. Crowder makes 2-pt shot at rim
0:37.0,T. Burke makes 2-pt shot at rim,2,19-18,,
0:24.0,,,19-18,,K. Olynyk misses 2-pt shot from 16 ft
0:24.0,Defensive rebound by E. Millsap,,19-18,,
0:04.0,R. Hood misses 3-pt shot from 24 ft,,19-18,,
0:02.0,Offensive rebound by T. Booker,,19-18,,
0:01.0,T. Booker misses 2-pt shot from 14 ft,,19-18,,
0:00.0,Offensive rebound by Team,,19-18,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,,,19-18,,M. Smart misses 2-pt shot at rim
11:42.0,Defensive rebound by J. Evans,,19-18,,
11:20.0,J. Evans makes 2-pt shot at rim (assist by T. Burke),2,21-18,,
10:56.0,,,21-18,,M. Smart misses 3-pt shot from 25 ft
10:54.0,,,21-18,,Offensive rebound by I. Thomas
10:45.0,,,21-18,,J. Jerebko misses 3-pt shot from 25 ft
10:44.0,,,21-18,,Offensive rebound by J. Young
10:37.0,,,21-18,,I. Thomas misses 3-pt shot from 25 ft
10:37.0,,,21-18,,Offensive rebound by K. Olynyk
10:34.0,,,21-18,,K. Olynyk misses 2-pt shot from 7 ft
10:33.0,Defensive rebound by T. Booker,,21-18,,
10:11.0,Turnover by Team (shot clock),,21-18,,
10:11.0,D. Favors enters the game for T. Booker,,21-18,,
9:58.0,,,21-18,,I. Thomas misses 3-pt shot from 24 ft
9:56.0,Defensive rebound by R. Hood,,21-18,,
9:37.0,Shooting foul by I. Thomas (drawn by T. Burke),,21-18,,
9:37.0,T. Burke misses free throw 1 of 2,,21-18,,
9:37.0,Offensive rebound by Team,,21-18,,
9:37.0,T. Burke misses free throw 2 of 2,,21-18,,
9:37.0,,,21-18,,Defensive rebound by J. Jerebko
9:17.0,,,21-18,,J. Jerebko misses 2-pt shot from 21 ft
9:16.0,Defensive rebound by J. Evans,,21-18,,
8:54.0,J. Evans misses 2-pt shot from 4 ft,,21-18,,
8:53.0,,,21-18,,Defensive rebound by M. Smart
8:49.0,,,21-18,,Shooting foul by R. Hood (drawn by J. Jerebko)
8:49.0,Official timeout,,21-18,,
8:49.0,,,21-18,,A. Bradley enters the game for I. Thomas
8:49.0,J. Ingles enters the game for E. Millsap,,21-18,,
8:49.0,,,21-18,,J. Jerebko misses free throw 1 of 2
8:49.0,,,21-18,,Offensive rebound by Team
8:49.0,,,21-19,1,J. Jerebko makes free throw 2 of 2
8:28.0,T. Burke misses 3-pt shot from 24 ft,,21-19,,
8:26.0,Offensive rebound by Team,,21-19,,
8:16.0,R. Hood misses 3-pt shot from 24 ft,,21-19,,
8:15.0,,,21-19,,Defensive rebound by A. Bradley
7:57.0,,,21-22,3,J. Young makes 3-pt shot from 24 ft (assist by K. Olynyk)
7:42.0,Turnover by R. Hood (traveling),,21-22,,
7:21.0,,,21-22,,J. Jerebko misses 3-pt shot from 25 ft
7:21.0,,,21-22,,Offensive rebound by Team
7:21.0,Loose ball foul by J. Ingles (drawn by K. Olynyk),,21-22,,
7:21.0,D. Exum enters the game for R. Hood,,21-22,,
7:21.0,T. Booker enters the game for J. Evans,,21-22,,
7:21.0,,,21-22,,B. Bass enters the game for J. Jerebko
7:16.0,,,21-22,,A. Bradley misses 2-pt shot from 18 ft
7:15.0,Defensive rebound by D. Exum,,21-22,,
7:05.0,,,21-22,,Personal foul by K. Olynyk (drawn by D. Favors)
6:56.0,T. Booker makes 2-pt shot from 14 ft (assist by T. Burke),2,23-22,,
6:40.0,,,23-22,,K. Olynyk misses 2-pt shot from 18 ft
6:39.0,Defensive rebound by J. Ingles,,23-22,,
6:21.0,,,23-22,,Shooting block foul by K. Olynyk (drawn by T. Booker)
6:21.0,T. Booker makes free throw 1 of 2,1,24-22,,
6:21.0,,,24-22,,J. Crowder enters the game for K. Olynyk
6:21.0,T. Booker misses free throw 2 of 2,,24-22,,
6:21.0,,,24-22,,Defensive rebound by B. Bass
6:10.0,,,24-24,2,M. Smart makes 2-pt shot from 15 ft
5:43.0,J. Ingles misses 3-pt shot from 26 ft,,24-24,,
5:42.0,,,24-24,,Defensive rebound by A. Bradley
5:35.0,,,24-24,,M. Smart misses 3-pt shot from 26 ft
5:34.0,Defensive rebound by D. Exum,,24-24,,
5:20.0,T. Burke misses 2-pt shot from 9 ft,,24-24,,
5:19.0,Offensive rebound by D. Favors,,24-24,,
5:19.0,D. Favors makes 2-pt shot at rim,2,26-24,,
5:00.0,,,26-24,,J. Young misses 3-pt shot from 25 ft
4:59.0,,,26-24,,Offensive rebound by Team
4:59.0,,,26-24,,Boston full timeout
4:59.0,,,26-24,,E. Turner enters the game for J. Young
4:59.0,G. Hayward enters the game for T. Burke,,26-24,,
4:35.0,,,26-24,,M. Smart misses 2-pt shot from 11 ft
4:34.0,Defensive rebound by T. Booker,,26-24,,
4:22.0,D. Favors makes 2-pt shot at rim (assist by D. Exum),2,28-24,,
4:15.0,,,28-24,,Shooting foul by D. Favors (drawn by J. Crowder)
4:15.0,,,28-24,,J. Crowder misses free throw 1 of 2
4:15.0,,,28-24,,Offensive rebound by Team
4:15.0,R. Gobert enters the game for D. Favors,,28-24,,
4:15.0,,,28-24,,I. Thomas enters the game for M. Smart
4:15.0,,,28-24,,J. Crowder misses free throw 2 of 2
4:15.0,Defensive rebound by R. Gobert,,28-24,,
4:00.0,Shooting foul by I. Thomas (drawn by R. Gobert),,28-24,,
4:00.0,R. Gobert makes free throw 1 of 2,1,29-24,,
4:00.0,R. Gobert makes free throw 2 of 2,1,30-24,,
3:42.0,,,30-26,2,B. Bass makes 2-pt shot from 16 ft (assist by I. Thomas)
3:25.0,,,30-26,,T. Zeller enters the game for B. Bass
3:17.0,T. Booker misses 3-pt shot from 23 ft,,30-26,,
3:16.0,Offensive rebound by Team,,30-26,,
3:16.0,,,30-26,,Loose ball foul by T. Zeller (drawn by R. Gobert)
3:16.0,R. Gobert misses free throw 1 of 2,,30-26,,
3:16.0,Offensive rebound by Team,,30-26,,
3:16.0,R. Gobert makes free throw 2 of 2,1,31-26,,
3:00.0,,,31-26,,Offensive foul by I. Thomas
3:00.0,,,31-26,,Turnover by I. Thomas (offensive foul)
3:00.0,Utah full timeout,,31-26,,
3:00.0,,,31-26,,M. Smart enters the game for I. Thomas
2:38.0,G. Hayward misses 3-pt shot from 25 ft,,31-26,,
2:37.0,,,31-26,,Defensive rebound by T. Zeller
2:25.0,,,31-29,3,J. Crowder makes 3-pt shot from 24 ft (assist by A. Bradley)
2:01.0,Turnover by G. Hayward (lost ball),,31-29,,
2:01.0,R. Hood enters the game for D. Exum,,31-29,,
2:01.0,T. Burke enters the game for J. Ingles,,31-29,,
1:47.0,,,31-29,,T. Zeller misses 2-pt shot from 6 ft
1:46.0,Defensive rebound by T. Booker,,31-29,,
1:33.0,R. Gobert misses 2-pt shot from 9 ft,,31-29,,
1:32.0,,,31-29,,Defensive rebound by M. Smart
1:26.0,,,31-31,2,J. Crowder makes 2-pt shot at rim (assist by M. Smart)
1:03.0,T. Booker makes 2-pt shot at rim (assist by T. Burke),2,33-31,,
0:51.0,,,33-31,,A. Bradley misses 2-pt shot from 18 ft
0:49.0,Defensive rebound by R. Gobert,,33-31,,
0:35.0,T. Burke misses 2-pt shot from 17 ft,,33-31,,
0:34.0,,,33-31,,Defensive rebound by E. Turner
0:25.0,,,33-31,,E. Turner misses 2-pt shot from 15 ft
0:24.0,Defensive rebound by T. Burke,,33-31,,
0:04.0,Turnover by G. Hayward (bad pass; steal by M. Smart),,33-31,,
0:01.0,,,33-33,2,M. Smart makes 2-pt shot at rim
0:01.0,,,33-33,,Shooting foul by R. Hood (drawn by M. Smart)
0:01.0,,,33-34,1,M. Smart makes free throw 1 of 1
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:38.0,,,33-37,3,A. Bradley makes 3-pt shot from 24 ft (assist by M. Smart)
11:19.0,R. Gobert makes 2-pt shot at rim (assist by G. Hayward),2,35-37,,
10:57.0,,,35-39,2,A. Bradley makes 2-pt shot from 19 ft (assist by J. Crowder)
10:47.0,R. Gobert misses 2-pt shot at rim,,35-39,,
10:46.0,,,35-39,,Defensive rebound by T. Zeller
10:31.0,,,35-39,,A. Bradley misses 2-pt shot from 21 ft
10:30.0,,,35-39,,Offensive rebound by T. Zeller
10:27.0,,,35-39,,M. Smart misses 3-pt shot from 24 ft
10:26.0,,,35-39,,Offensive rebound by A. Bradley
10:22.0,,,35-42,3,A. Bradley makes 3-pt shot from 23 ft
10:03.0,D. Favors misses 2-pt shot from 1 ft,,35-42,,
10:03.0,,,35-42,,Defensive rebound by J. Crowder
9:52.0,,,35-42,,J. Crowder misses 3-pt shot from 24 ft
9:52.0,Defensive rebound by R. Gobert,,35-42,,
9:35.0,J. Ingles makes 2-pt shot at rim (assist by D. Favors),2,37-42,,
9:35.0,Shooting foul by E. Turner (drawn by J. Ingles),,37-42,,
9:35.0,J. Ingles makes free throw 1 of 1,1,38-42,,
9:20.0,,,38-42,,Turnover by T. Zeller (lost ball)
9:02.0,G. Hayward misses 2-pt shot from 17 ft,,38-42,,
9:01.0,,,38-42,,Defensive rebound by A. Bradley
8:49.0,,,38-45,3,A. Bradley makes 3-pt shot from 24 ft
8:26.0,J. Ingles misses 2-pt shot from 2 ft,,38-45,,
8:25.0,Offensive rebound by D. Favors,,38-45,,
8:25.0,Shooting foul by J. Crowder (drawn by D. Favors),,38-45,,
8:25.0,D. Favors misses free throw 1 of 2,,38-45,,
8:25.0,Offensive rebound by Team,,38-45,,
8:25.0,D. Favors makes free throw 2 of 2,1,39-45,,
8:13.0,Personal foul by D. Favors (drawn by J. Crowder),,39-45,,
7:59.0,,,39-45,,A. Bradley misses 3-pt shot from 26 ft
7:58.0,Defensive rebound by G. Hayward,,39-45,,
7:43.0,D. Exum misses 3-pt shot from 26 ft,,39-45,,
7:42.0,,,39-45,,Defensive rebound by T. Zeller
7:32.0,,,39-45,,Shooting foul by D. Favors (drawn by T. Zeller)
7:32.0,,,39-45,,T. Zeller misses free throw 1 of 2
7:32.0,,,39-45,,Offensive rebound by Team
7:32.0,T. Booker enters the game for D. Favors,,39-45,,
7:32.0,E. Millsap enters the game for J. Ingles,,39-45,,
7:32.0,,,39-45,,T. Zeller misses free throw 2 of 2
7:32.0,Defensive rebound by R. Gobert,,39-45,,
7:27.0,,,39-45,,Personal foul by A. Bradley (drawn by D. Exum)
7:17.0,G. Hayward makes 2-pt shot from 19 ft,2,41-45,,
7:02.0,,,41-45,,M. Smart misses 2-pt shot from 19 ft
7:01.0,Defensive rebound by T. Booker,,41-45,,
6:46.0,E. Millsap misses 2-pt shot from 18 ft,,41-45,,
6:45.0,,,41-45,,Defensive rebound by M. Smart
6:34.0,,,41-45,,M. Smart misses 3-pt shot from 22 ft
6:33.0,Defensive rebound by R. Gobert,,41-45,,
6:17.0,D. Exum misses 3-pt shot from 22 ft,,41-45,,
6:14.0,,,41-45,,Defensive rebound by A. Bradley
6:07.0,,,41-45,,A. Bradley misses 2-pt shot from 1 ft (block by R. Gobert)
6:07.0,,,41-45,,Offensive rebound by Team
6:07.0,,,41-45,,Boston full timeout
6:07.0,,,41-45,,I. Thomas enters the game for M. Smart
6:07.0,T. Burke enters the game for D. Exum,,41-45,,
6:07.0,Personal foul by E. Millsap (drawn by A. Bradley),,41-45,,
5:56.0,Personal foul by G. Hayward (drawn by I. Thomas),,41-45,,
5:42.0,,,41-45,,J. Crowder misses 3-pt shot from 25 ft
5:41.0,Defensive rebound by Team,,41-45,,
5:29.0,T. Burke makes 2-pt shot from 18 ft (assist by R. Gobert),2,43-45,,
5:16.0,,,43-45,,E. Turner misses 2-pt shot from 15 ft
5:15.0,Defensive rebound by R. Gobert,,43-45,,
5:09.0,G. Hayward makes 2-pt shot from 1 ft (assist by T. Burke),2,45-45,,
4:56.0,,,45-47,2,I. Thomas makes 2-pt shot from 10 ft
4:39.0,,,45-47,,Personal foul by J. Crowder (drawn by G. Hayward)
4:39.0,,,45-47,,J. Jerebko enters the game for E. Turner
4:32.0,T. Burke makes 2-pt shot from 18 ft (assist by R. Gobert),2,47-47,,
4:16.0,,,47-47,,Turnover by A. Bradley (bad pass; steal by R. Gobert)
4:14.0,Offensive foul by T. Booker,,47-47,,
4:14.0,Turnover by T. Booker (offensive foul),,47-47,,
4:03.0,,,47-49,2,T. Zeller makes 2-pt shot at rim (assist by I. Thomas)
3:40.0,R. Gobert misses 2-pt shot from 11 ft,,47-49,,
3:39.0,,,47-49,,Defensive rebound by A. Bradley
3:38.0,Personal foul by E. Millsap (drawn by I. Thomas),,47-49,,
3:38.0,,,47-50,1,I. Thomas makes free throw 1 of 2
3:38.0,,,47-50,,M. Smart enters the game for A. Bradley
3:38.0,,,47-50,,I. Thomas misses free throw 2 of 2
3:38.0,Defensive rebound by T. Burke,,47-50,,
3:21.0,G. Hayward misses 3-pt shot from 26 ft,,47-50,,
3:20.0,Offensive rebound by T. Booker,,47-50,,
2:59.0,T. Booker misses 2-pt shot from 17 ft,,47-50,,
2:59.0,Offensive rebound by E. Millsap,,47-50,,
2:58.0,E. Millsap misses 2-pt shot at rim,,47-50,,
2:57.0,Offensive rebound by E. Millsap,,47-50,,
2:52.0,Turnover by E. Millsap (bad pass; steal by M. Smart),,47-50,,
2:47.0,,,47-50,,J. Crowder misses 2-pt shot at rim
2:46.0,Defensive rebound by T. Booker,,47-50,,
2:40.0,T. Booker makes 2-pt shot from 1 ft (assist by T. Burke),2,49-50,,
2:28.0,,,49-52,2,I. Thomas makes 2-pt shot from 4 ft
2:28.0,Utah full timeout,,49-52,,
2:28.0,,,49-52,,B. Bass enters the game for T. Zeller
2:28.0,R. Hood enters the game for G. Hayward,,49-52,,
2:06.0,T. Burke misses 2-pt shot from 16 ft,,49-52,,
2:05.0,,,49-52,,Defensive rebound by Team
1:48.0,J. Evans enters the game for T. Booker,,49-52,,
1:44.0,,,49-54,2,J. Jerebko makes 2-pt shot from 19 ft (assist by M. Smart)
1:20.0,R. Hood makes 2-pt shot from 19 ft,2,51-54,,
1:08.0,,,51-57,3,J. Jerebko makes 3-pt shot from 24 ft (assist by I. Thomas)
0:51.0,J. Evans makes 2-pt shot from 10 ft,2,53-57,,
0:51.0,Shooting foul by J. Jerebko (drawn by J. Evans),,53-57,,
0:51.0,J. Evans misses free throw 1 of 1,,53-57,,
0:51.0,,,53-57,,Defensive rebound by B. Bass
0:39.0,,,53-57,,Shooting foul by R. Gobert (drawn by I. Thomas)
0:39.0,,,53-58,1,I. Thomas makes free throw 1 of 2
0:39.0,J. Ingles enters the game for E. Millsap,,53-58,,
0:39.0,,,53-58,,E. Turner enters the game for J. Crowder
0:39.0,,,53-59,1,I. Thomas makes free throw 2 of 2
0:31.0,T. Burke makes 2-pt shot from 16 ft,2,55-59,,
0:12.0,,,55-59,,I. Thomas misses 2-pt shot from 2 ft
0:11.0,,,55-59,,Offensive rebound by I. Thomas
0:11.0,Personal foul by J. Evans (drawn by I. Thomas),,55-59,,
0:11.0,,,55-60,1,I. Thomas makes free throw 1 of 2
0:11.0,,,55-60,,T. Zeller enters the game for J. Jerebko
0:11.0,,,55-61,1,I. Thomas makes free throw 2 of 2
0:01.0,Turnover by T. Burke (lost ball; steal by T. Zeller),,55-61,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,T. Burke misses 3-pt shot from 26 ft,,55-61,,
11:42.0,,,55-61,,Defensive rebound by Team
11:30.0,,,55-61,,E. Turner misses 2-pt shot from 13 ft
11:29.0,Defensive rebound by J. Evans,,55-61,,
11:12.0,Turnover by R. Hood (lost ball; steal by E. Turner),,55-61,,
11:08.0,,,55-63,2,E. Turner makes 2-pt shot at rim
11:08.0,Utah full timeout,,55-63,,
11:08.0,G. Hayward enters the game for J. Evans,,55-63,,
11:08.0,T. Booker enters the game for R. Hood,,55-63,,
10:47.0,T. Burke makes 2-pt shot from 19 ft (assist by J. Ingles),2,57-63,,
10:26.0,,,57-66,3,I. Thomas makes 3-pt shot from 25 ft (assist by J. Jerebko)
10:06.0,Shooting foul by J. Jerebko (drawn by T. Booker),,57-66,,
10:06.0,T. Booker makes free throw 1 of 2,1,58-66,,
10:06.0,T. Booker makes free throw 2 of 2,1,59-66,,
9:49.0,,,59-66,,I. Thomas misses 2-pt shot at rim
9:48.0,,,59-66,,Offensive rebound by J. Jerebko
9:36.0,,,59-66,,E. Turner misses 2-pt shot from 16 ft
9:35.0,Defensive rebound by T. Burke,,59-66,,
9:18.0,T. Burke misses 3-pt shot from 25 ft,,59-66,,
9:17.0,,,59-66,,Defensive rebound by M. Smart
8:52.0,,,59-68,2,M. Smart makes 2-pt shot from 2 ft (assist by E. Turner)
8:36.0,T. Burke misses 3-pt shot from 22 ft,,59-68,,
8:35.0,Offensive rebound by T. Booker,,59-68,,
8:31.0,T. Booker makes 2-pt shot at rim,2,61-68,,
8:20.0,Personal block foul by J. Ingles (drawn by I. Thomas),,61-68,,
8:20.0,,,61-68,,A. Bradley enters the game for E. Turner
8:20.0,R. Hood enters the game for J. Ingles,,61-68,,
8:20.0,,,61-68,,J. Crowder enters the game for I. Thomas
8:07.0,,,61-70,2,B. Bass makes 2-pt shot from 4 ft
7:50.0,D. Favors makes 2-pt shot from 7 ft (assist by T. Booker),2,63-70,,
7:50.0,Shooting foul by B. Bass (drawn by D. Favors),,63-70,,
7:50.0,D. Favors makes free throw 1 of 1,1,64-70,,
7:26.0,,,64-70,,M. Smart misses 3-pt shot from 24 ft
7:26.0,,,64-70,,Offensive rebound by Team
7:26.0,Loose ball foul by T. Booker (drawn by J. Jerebko),,64-70,,
7:26.0,R. Gobert enters the game for T. Booker,,64-70,,
7:08.0,,,64-70,,J. Crowder misses 2-pt shot from 19 ft
7:06.0,Defensive rebound by Team,,64-70,,
6:41.0,R. Hood makes 2-pt shot at rim (assist by T. Burke),2,66-70,,
6:23.0,,,66-70,,J. Crowder misses 3-pt shot from 24 ft
6:22.0,,,66-70,,Offensive rebound by B. Bass
6:22.0,,,66-70,,Shooting foul by R. Gobert (drawn by B. Bass)
6:22.0,,,66-70,,B. Bass misses free throw 1 of 2
6:22.0,,,66-70,,Offensive rebound by Team
6:22.0,,,66-71,1,B. Bass makes free throw 2 of 2
6:15.0,,,66-71,,Personal foul by J. Jerebko (drawn by R. Gobert)
6:15.0,,,66-71,,T. Zeller enters the game for J. Jerebko
6:04.0,D. Favors makes 2-pt shot from 17 ft (assist by G. Hayward),2,68-71,,
5:55.0,,,68-71,,Boston full timeout
5:55.0,,,68-71,,I. Thomas enters the game for B. Bass
5:37.0,,,68-71,,I. Thomas misses 2-pt shot at rim
5:35.0,Defensive rebound by T. Burke,,68-71,,
5:25.0,G. Hayward misses 2-pt shot at rim (block by T. Zeller),,68-71,,
5:24.0,,,68-71,,Defensive rebound by T. Zeller
5:20.0,,,68-71,,Shooting foul by T. Burke (drawn by J. Crowder)
5:20.0,,,68-72,1,J. Crowder makes free throw 1 of 2
5:20.0,,,68-72,,J. Crowder misses free throw 2 of 2
5:20.0,,,68-72,,Offensive rebound by T. Zeller
5:03.0,,,68-74,2,J. Crowder makes 2-pt shot from 6 ft (assist by A. Bradley)
4:53.0,,,68-74,,Personal foul by M. Smart (drawn by G. Hayward)
4:38.0,D. Favors makes 2-pt shot at rim,2,70-74,,
4:27.0,,,70-74,,A. Bradley misses 3-pt shot from 26 ft
4:26.0,Defensive rebound by R. Gobert,,70-74,,
4:16.0,T. Burke misses 2-pt shot from 6 ft,,70-74,,
4:15.0,Offensive rebound by R. Gobert,,70-74,,
4:14.0,Shooting foul by T. Zeller (drawn by R. Gobert),,70-74,,
4:14.0,R. Gobert misses free throw 1 of 2,,70-74,,
4:14.0,Offensive rebound by Team,,70-74,,
4:14.0,R. Gobert makes free throw 2 of 2,1,71-74,,
4:00.0,,,71-76,2,J. Crowder makes 2-pt shot from 5 ft (assist by I. Thomas)
3:43.0,D. Favors makes 2-pt shot from 12 ft (assist by T. Burke),2,73-76,,
3:27.0,,,73-79,3,I. Thomas makes 3-pt shot from 25 ft
3:06.0,Turnover by T. Burke (bad pass),,73-79,,
2:46.0,,,73-79,,M. Smart misses 2-pt shot from 7 ft
2:45.0,Defensive rebound by T. Burke,,73-79,,
2:39.0,R. Gobert misses 2-pt shot from 1 ft (block by J. Crowder),,73-79,,
2:37.0,,,73-79,,Defensive rebound by J. Crowder
2:32.0,,,73-81,2,I. Thomas makes 2-pt shot from 14 ft (assist by T. Zeller)
2:17.0,,,73-81,,Personal foul by A. Bradley (drawn by T. Burke)
2:17.0,Official timeout,,73-81,,
2:17.0,T. Burke makes free throw 1 of 2,1,74-81,,
2:17.0,T. Burke makes free throw 2 of 2,1,75-81,,
1:57.0,,,75-81,,T. Zeller misses 2-pt shot at rim (block by R. Gobert)
1:55.0,Defensive rebound by D. Favors,,75-81,,
1:44.0,G. Hayward makes 3-pt shot from 22 ft (assist by R. Gobert),3,78-81,,
1:36.0,Personal foul by D. Favors (drawn by I. Thomas),,78-81,,
1:36.0,,,78-82,1,I. Thomas makes free throw 1 of 2
1:36.0,,,78-83,1,I. Thomas makes free throw 2 of 2
1:22.0,R. Hood makes 2-pt shot from 7 ft,2,80-83,,
1:02.0,,,80-83,,J. Crowder misses 2-pt shot from 18 ft
1:01.0,Defensive rebound by R. Gobert,,80-83,,
