time,Portland,pts.away,score,pts.home,Charlotte
4:41.0,S. Blake enters the game for W. Matthews,,21-16,,
4:41.0,,,21-16,,C. Zeller enters the game for M. Williams
4:30.0,N. Batum makes 2-pt shot from 20 ft (assist by L. Aldridge),2,23-16,,
4:10.0,,,23-16,,K. Walker misses 2-pt shot from 15 ft
4:08.0,Defensive rebound by S. Blake,,23-16,,
3:56.0,S. Blake misses 3-pt shot from 23 ft,,23-16,,
3:55.0,,,23-16,,Defensive rebound by A. Jefferson
3:49.0,Personal foul by S. Blake (drawn by G. Henderson),,23-16,,
3:49.0,C. Kaman enters the game for R. Lopez,,23-16,,
3:49.0,,,23-16,,B. Biyombo enters the game for L. Stephenson
3:49.0,,,23-16,,B. Roberts enters the game for A. Jefferson
3:40.0,,,23-18,2,C. Zeller makes 2-pt shot from 18 ft (assist by G. Henderson)
3:21.0,L. Aldridge misses 2-pt shot from 8 ft,,23-18,,
3:20.0,,,23-18,,Defensive rebound by G. Henderson
3:06.0,,,23-20,2,C. Zeller makes 2-pt shot from 3 ft (assist by K. Walker)
2:53.0,D. Lillard makes 2-pt shot from 1 ft,2,25-20,,
2:42.0,,,25-22,2,B. Roberts makes 2-pt shot from 16 ft (assist by K. Walker)
2:30.0,Turnover by N. Batum (traveling),,25-22,,
2:30.0,,,25-22,,Charlotte full timeout
2:30.0,,,25-22,,P. Hairston enters the game for G. Henderson
2:30.0,A. Crabbe enters the game for N. Batum,,25-22,,
2:30.0,W. Matthews enters the game for D. Lillard,,25-22,,
2:21.0,Def 3 sec tech foul by C. Kaman,,25-22,,
2:21.0,,,25-23,1,B. Roberts makes technical free throw
2:11.0,,,25-23,,P. Hairston misses 3-pt shot from 25 ft
2:09.0,Defensive rebound by A. Crabbe,,25-23,,
1:46.0,L. Aldridge misses 2-pt shot from 21 ft,,25-23,,
1:45.0,,,25-23,,Defensive rebound by Team
1:36.0,,,25-23,,K. Walker misses 2-pt shot from 17 ft
1:35.0,Defensive rebound by C. Kaman,,25-23,,
1:23.0,C. Kaman misses 2-pt shot from 14 ft,,25-23,,
1:22.0,,,25-23,,Defensive rebound by P. Hairston
1:06.0,,,25-23,,B. Biyombo misses 2-pt shot from 6 ft
1:04.0,Defensive rebound by C. Kaman,,25-23,,
0:42.0,A. Crabbe makes 3-pt shot from 25 ft (assist by S. Blake),3,28-23,,
0:27.0,,,28-26,3,B. Roberts makes 3-pt shot from 26 ft (assist by K. Walker)
0:04.0,L. Aldridge misses 2-pt shot from 10 ft,,28-26,,
0:03.0,,,28-26,,Defensive rebound by Team
0:03.0,Technical foul by C. Kaman,,28-26,,
0:03.0,,,28-26,,B. Roberts misses technical free throw
0:03.0,,,28-26,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,,,28-26,,Offensive foul by B. Biyombo
11:49.0,,,28-26,,Turnover by B. Biyombo (offensive foul)
11:36.0,Shooting foul by B. Biyombo (drawn by S. Blake),,28-26,,
11:36.0,C. Kaman makes free throw 1 of 2,1,29-26,,
11:36.0,C. Kaman makes free throw 2 of 2,1,30-26,,
11:27.0,,,30-26,,C. Zeller misses 2-pt shot from 3 ft
11:25.0,,,30-26,,Offensive rebound by B. Biyombo
11:25.0,,,30-26,,B. Biyombo misses 2-pt shot at rim
11:22.0,Defensive rebound by J. Freeland,,30-26,,
11:19.0,J. Freeland misses 2-pt shot from 2 ft,,30-26,,
11:04.0,,,30-26,,Defensive rebound by Team
10:49.0,,,30-26,,P. Hairston misses 2-pt shot from 13 ft
10:49.0,Defensive rebound by Team,,30-26,,
10:26.0,C. Kaman misses 2-pt shot from 2 ft (block by B. Biyombo),,30-26,,
10:24.0,,,30-26,,Defensive rebound by C. Zeller
10:16.0,,,30-26,,C. Zeller misses 2-pt shot from 1 ft
10:13.0,,,30-26,,Offensive rebound by B. Biyombo
10:10.0,,,30-28,2,B. Biyombo makes 2-pt shot from 1 ft
10:01.0,W. Matthews misses 3-pt shot from 26 ft,,30-28,,
10:00.0,,,30-28,,Defensive rebound by B. Roberts
9:53.0,,,30-30,2,B. Roberts makes 2-pt shot from 14 ft
9:39.0,Turnover by J. Freeland (bad pass),,30-30,,
9:29.0,,,30-30,,C. Zeller misses 2-pt shot from 21 ft
9:28.0,Defensive rebound by A. Crabbe,,30-30,,
9:09.0,C. Kaman makes 2-pt shot from 1 ft,2,32-30,,
8:54.0,,,32-32,2,B. Roberts makes 2-pt shot from 1 ft (assist by L. Stephenson)
8:40.0,C. Kaman misses 2-pt shot from 2 ft,,32-32,,
8:39.0,,,32-32,,Defensive rebound by C. Zeller
8:30.0,,,32-32,,L. Stephenson misses 2-pt shot at rim
8:29.0,Defensive rebound by J. Freeland,,32-32,,
8:21.0,S. Blake makes 3-pt shot from 27 ft (assist by W. Matthews),3,35-32,,
8:01.0,,,35-35,3,B. Roberts makes 3-pt shot from 24 ft (assist by C. Zeller)
7:45.0,C. Kaman misses 2-pt shot from 15 ft,,35-35,,
7:44.0,,,35-35,,Defensive rebound by C. Zeller
7:33.0,,,35-37,2,C. Zeller makes 2-pt shot from 19 ft (assist by B. Roberts)
7:32.0,Portland full timeout,,35-37,,
7:32.0,,,35-37,,A. Jefferson enters the game for C. Zeller
7:32.0,,,35-37,,M. Williams enters the game for B. Biyombo
7:32.0,R. Lopez enters the game for W. Matthews,,35-37,,
7:32.0,N. Batum enters the game for C. Kaman,,35-37,,
7:31.0,D. Lillard enters the game for S. Blake,,35-37,,
7:17.0,N. Batum misses 3-pt shot from 26 ft,,35-37,,
7:16.0,,,35-37,,Defensive rebound by L. Stephenson
7:03.0,,,35-39,2,B. Roberts makes 2-pt shot from 7 ft
6:49.0,D. Lillard misses 2-pt shot from 2 ft,,35-39,,
6:46.0,Offensive rebound by J. Freeland,,35-39,,
6:46.0,J. Freeland misses 2-pt shot at rim,,35-39,,
6:45.0,Offensive rebound by J. Freeland,,35-39,,
6:42.0,A. Crabbe misses 3-pt shot from 29 ft,,35-39,,
6:41.0,,,35-39,,Defensive rebound by P. Hairston
6:33.0,,,35-41,2,A. Jefferson makes 2-pt shot from 16 ft (assist by L. Stephenson)
6:15.0,D. Lillard misses 3-pt shot from 26 ft,,35-41,,
6:14.0,,,35-41,,Defensive rebound by A. Jefferson
6:02.0,,,35-43,2,A. Jefferson makes 2-pt shot from 15 ft (assist by L. Stephenson)
5:40.0,J. Freeland makes 2-pt shot from 17 ft (assist by N. Batum),2,37-43,,
5:21.0,,,37-43,,M. Williams misses 3-pt shot from 26 ft
5:20.0,Defensive rebound by N. Batum,,37-43,,
5:11.0,N. Batum makes 2-pt shot from 15 ft,2,39-43,,
4:57.0,Personal foul by R. Lopez (drawn by A. Jefferson),,39-43,,
4:57.0,Official timeout,,39-43,,
4:57.0,L. Aldridge enters the game for J. Freeland,,39-43,,
4:57.0,,,39-43,,G. Henderson enters the game for B. Roberts
4:57.0,,,39-43,,K. Walker enters the game for P. Hairston
4:42.0,,,39-43,,L. Stephenson misses 2-pt shot from 14 ft
4:41.0,Defensive rebound by L. Aldridge,,39-43,,
4:36.0,N. Batum makes 2-pt shot from 2 ft (assist by D. Lillard),2,41-43,,
4:21.0,,,41-43,,L. Stephenson misses 2-pt shot from 22 ft
4:19.0,,,41-43,,Offensive rebound by A. Jefferson
4:19.0,,,41-45,2,A. Jefferson makes 2-pt shot at rim
4:07.0,,,41-45,,Personal foul by G. Henderson (drawn by N. Batum)
4:05.0,Shooting foul by M. Williams (drawn by R. Lopez),,41-45,,
4:05.0,R. Lopez makes free throw 1 of 2,1,42-45,,
4:05.0,,,42-45,,C. Zeller enters the game for M. Williams
4:05.0,R. Lopez makes free throw 2 of 2,1,43-45,,
3:46.0,,,43-47,2,C. Zeller makes 2-pt shot from 1 ft (assist by L. Stephenson)
3:46.0,,,43-47,,Shooting foul by A. Crabbe (drawn by C. Zeller)
3:46.0,,,43-48,1,C. Zeller makes free throw 1 of 1
3:35.0,,,43-48,,Personal foul by C. Zeller (drawn by L. Aldridge)
3:24.0,L. Aldridge misses 2-pt shot from 6 ft,,43-48,,
3:22.0,,,43-48,,Defensive rebound by A. Jefferson
3:15.0,,,43-48,,Turnover by C. Zeller (bad pass; steal by N. Batum)
3:08.0,A. Crabbe misses 3-pt shot from 23 ft,,43-48,,
3:08.0,Offensive rebound by Team,,43-48,,
3:08.0,,,43-48,,Loose ball foul by K. Walker (drawn by L. Aldridge)
3:08.0,L. Aldridge makes free throw 1 of 2,1,44-48,,
3:08.0,W. Matthews enters the game for A. Crabbe,,44-48,,
3:08.0,L. Aldridge makes free throw 2 of 2,1,45-48,,
2:54.0,,,45-50,2,G. Henderson makes 2-pt shot from 18 ft (assist by K. Walker)
2:34.0,Turnover by D. Lillard (bad pass; steal by L. Stephenson),,45-50,,
2:29.0,,,45-50,,L. Stephenson misses 2-pt shot at rim
2:25.0,,,45-50,,Offensive rebound by G. Henderson
2:18.0,,,45-50,,A. Jefferson misses 2-pt shot at rim
2:17.0,,,45-50,,Offensive rebound by L. Stephenson
2:17.0,,,45-52,2,L. Stephenson makes 2-pt shot from 1 ft
1:55.0,W. Matthews misses 2-pt shot from 6 ft,,45-52,,
1:53.0,,,45-52,,Defensive rebound by L. Stephenson
1:32.0,,,45-52,,A. Jefferson misses 2-pt shot from 18 ft (block by L. Aldridge)
1:32.0,,,45-52,,Offensive rebound by Team
1:32.0,,,45-52,,Charlotte full timeout
1:32.0,,,45-52,,B. Roberts enters the game for L. Stephenson
1:30.0,,,45-54,2,A. Jefferson makes 2-pt shot from 14 ft (assist by B. Roberts)
1:06.0,L. Aldridge misses 2-pt shot from 20 ft,,45-54,,
1:05.0,,,45-54,,Defensive rebound by G. Henderson
0:48.0,,,45-54,,A. Jefferson misses 2-pt shot from 6 ft
0:47.0,Defensive rebound by R. Lopez,,45-54,,
0:42.0,Turnover by N. Batum (bad pass; steal by C. Zeller),,45-54,,
0:31.0,,,45-54,,B. Roberts misses 2-pt shot from 1 ft
0:29.0,,,45-54,,Offensive rebound by C. Zeller
0:07.0,,,45-56,2,A. Jefferson makes 2-pt shot from 6 ft (assist by K. Walker)
0:07.0,Portland full timeout,,45-56,,
0:07.0,,,45-56,,P. Hairston enters the game for G. Henderson
0:07.0,,,45-56,,B. Biyombo enters the game for A. Jefferson
0:07.0,S. Blake enters the game for R. Lopez,,45-56,,
0:07.0,,,45-56,,G. Henderson enters the game for B. Biyombo
0:03.0,D. Lillard misses 2-pt shot from 1 ft (block by C. Zeller),,45-56,,
0:01.0,Offensive rebound by L. Aldridge,,45-56,,
0:01.0,L. Aldridge misses 2-pt shot at rim,,45-56,,
0:00.0,Offensive rebound by Team,,45-56,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:39.0,,,45-58,2,G. Henderson makes 2-pt shot from 8 ft (assist by L. Stephenson)
11:14.0,N. Batum misses 3-pt shot from 26 ft,,45-58,,
11:12.0,,,45-58,,Defensive rebound by L. Stephenson
11:01.0,,,45-58,,C. Zeller misses 2-pt shot from 1 ft (block by L. Aldridge)
11:01.0,Defensive rebound by Team,,45-58,,
11:01.0,Jump ball: L. Aldridge vs. C. Zeller (W. Matthews gains possession),,,,Jump ball: L. Aldridge vs. C. Zeller (W. Matthews gains possession)
10:46.0,W. Matthews makes 3-pt shot from 24 ft (assist by D. Lillard),3,48-58,,
10:29.0,,,48-58,,C. Zeller misses 2-pt shot from 2 ft (block by L. Aldridge)
10:29.0,,,48-58,,Offensive rebound by Team
10:23.0,,,48-58,,K. Walker misses 3-pt shot from 25 ft
10:22.0,Defensive rebound by L. Aldridge,,48-58,,
10:06.0,L. Aldridge misses 2-pt shot from 14 ft,,48-58,,
10:05.0,,,48-58,,Defensive rebound by K. Walker
10:03.0,Personal foul by D. Lillard (drawn by K. Walker),,48-58,,
9:57.0,,,48-58,,L. Stephenson misses 2-pt shot from 17 ft
9:56.0,Defensive rebound by L. Aldridge,,48-58,,
9:49.0,D. Lillard makes 2-pt shot from 19 ft,2,50-58,,
9:22.0,,,50-58,,A. Jefferson misses 2-pt shot from 15 ft
9:21.0,Defensive rebound by D. Lillard,,50-58,,
9:15.0,R. Lopez makes 2-pt shot from 1 ft (assist by N. Batum),2,52-58,,
9:15.0,Shooting foul by C. Zeller (drawn by R. Lopez),,52-58,,
9:15.0,R. Lopez makes free throw 1 of 1,1,53-58,,
8:55.0,,,53-60,2,G. Henderson makes 2-pt shot at rim (assist by A. Jefferson)
8:36.0,,,53-60,,Personal foul by C. Zeller (drawn by L. Aldridge)
8:31.0,N. Batum misses 2-pt shot from 20 ft,,53-60,,
8:30.0,,,53-60,,Defensive rebound by L. Stephenson
8:17.0,,,53-60,,L. Stephenson misses 3-pt shot from 25 ft
8:16.0,Defensive rebound by L. Aldridge,,53-60,,
8:04.0,W. Matthews makes 3-pt shot from 25 ft (assist by D. Lillard),3,56-60,,
8:04.0,,,56-60,,Charlotte full timeout
8:04.0,,,56-60,,B. Roberts enters the game for L. Stephenson
7:42.0,,,56-62,2,K. Walker makes 2-pt shot from 2 ft (assist by A. Jefferson)
7:42.0,,,56-62,,Shooting foul by R. Lopez (drawn by K. Walker)
7:42.0,,,56-63,1,K. Walker makes free throw 1 of 1
7:22.0,L. Aldridge makes 2-pt shot from 9 ft,2,58-63,,
7:18.0,,,58-63,,Charlotte full timeout
7:18.0,,,58-63,,P. Hairston enters the game for K. Walker
7:07.0,,,58-63,,P. Hairston misses 3-pt shot from 25 ft
7:06.0,Defensive rebound by R. Lopez,,58-63,,
6:58.0,L. Aldridge misses 2-pt shot from 21 ft,,58-63,,
6:57.0,,,58-63,,Defensive rebound by G. Henderson
6:41.0,,,58-63,,Turnover by P. Hairston (bad pass; steal by D. Lillard)
6:39.0,D. Lillard makes 2-pt shot from 2 ft,2,60-63,,
6:39.0,,,60-63,,Violation by G. Henderson (def goaltending)
6:39.0,Shooting foul by P. Hairston (drawn by D. Lillard),,60-63,,
6:39.0,D. Lillard makes free throw 1 of 1,1,61-63,,
6:24.0,,,61-65,2,B. Roberts makes 2-pt shot from 7 ft
5:59.0,L. Aldridge misses 2-pt shot from 15 ft,,61-65,,
5:57.0,Offensive rebound by W. Matthews,,61-65,,
5:53.0,W. Matthews makes 3-pt shot from 27 ft,3,64-65,,
5:38.0,,,64-67,2,G. Henderson makes 2-pt shot from 20 ft (assist by C. Zeller)
5:19.0,W. Matthews makes 2-pt shot from 19 ft,2,66-67,,
4:55.0,,,66-69,2,B. Roberts makes 2-pt shot at rim
4:42.0,D. Lillard makes 3-pt shot from 26 ft (assist by L. Aldridge),3,69-69,,
4:21.0,,,69-69,,B. Roberts misses 2-pt shot from 20 ft
4:19.0,Defensive rebound by N. Batum,,69-69,,
4:11.0,L. Aldridge misses 2-pt shot from 18 ft,,69-69,,
4:10.0,Offensive rebound by R. Lopez,,69-69,,
4:07.0,R. Lopez makes 2-pt shot from 1 ft,2,71-69,,
3:59.0,,,71-69,,Charlotte full timeout
3:59.0,S. Blake enters the game for R. Lopez,,71-69,,
3:59.0,C. Kaman enters the game for W. Matthews,,71-69,,
3:59.0,,,71-69,,J. Maxiell enters the game for C. Zeller
3:43.0,,,71-69,,J. Maxiell misses 2-pt shot from 10 ft
3:41.0,Defensive rebound by L. Aldridge,,71-69,,
3:24.0,C. Kaman makes 2-pt shot from 7 ft,2,73-69,,
3:13.0,,,73-69,,Turnover by B. Roberts (bad pass; steal by N. Batum)
3:10.0,Shooting foul by P. Hairston (drawn by L. Aldridge),,73-69,,
3:10.0,L. Aldridge makes free throw 1 of 2,1,74-69,,
3:10.0,,,74-69,,K. Walker enters the game for G. Henderson
3:10.0,L. Aldridge misses free throw 2 of 2,,74-69,,
3:09.0,,,74-69,,Defensive rebound by A. Jefferson
2:57.0,Personal foul by C. Kaman (drawn by A. Jefferson),,74-69,,
2:57.0,A. Crabbe enters the game for D. Lillard,,74-69,,
2:42.0,,,74-69,,K. Walker misses 2-pt shot from 1 ft
2:41.0,Defensive rebound by C. Kaman,,74-69,,
2:29.0,C. Kaman misses 2-pt shot from 13 ft (block by A. Jefferson),,74-69,,
2:27.0,,,74-69,,Defensive rebound by A. Jefferson
2:21.0,Personal foul by S. Blake (drawn by B. Roberts),,74-69,,
2:16.0,,,74-69,,B. Roberts misses 2-pt shot from 17 ft
2:14.0,Defensive rebound by L. Aldridge,,74-69,,
2:03.0,L. Aldridge misses 2-pt shot from 9 ft,,74-69,,
2:01.0,Offensive rebound by C. Kaman,,74-69,,
1:51.0,L. Aldridge misses 2-pt shot from 17 ft,,74-69,,
1:49.0,,,74-69,,Defensive rebound by A. Jefferson
1:34.0,,,74-69,,Shooting foul by C. Kaman (drawn by A. Jefferson)
1:34.0,,,74-70,1,A. Jefferson makes free throw 1 of 2
1:34.0,,,74-71,1,A. Jefferson makes free throw 2 of 2
1:16.0,C. Kaman makes 2-pt shot from 12 ft (assist by A. Crabbe),2,76-71,,
1:02.0,,,76-71,,A. Jefferson misses 2-pt shot from 3 ft
1:00.0,Defensive rebound by L. Aldridge,,76-71,,
0:45.0,L. Aldridge makes 2-pt shot from 4 ft,2,78-71,,
0:30.0,,,78-73,2,A. Jefferson makes 2-pt shot from 10 ft (assist by K. Walker)
0:30.0,,,78-73,,Shooting foul by N. Batum (drawn by A. Jefferson)
0:30.0,W. Matthews enters the game for N. Batum,,78-73,,
0:30.0,,,78-74,1,A. Jefferson makes free throw 1 of 1
0:30.0,Portland full timeout,,78-74,,
0:30.0,,,78-74,,B. Biyombo enters the game for A. Jefferson
0:21.0,,,78-74,,Personal foul by J. Maxiell (drawn by S. Blake)
0:21.0,S. Blake makes free throw 1 of 2,1,79-74,,
0:21.0,R. Lopez enters the game for L. Aldridge,,79-74,,
0:21.0,S. Blake misses free throw 2 of 2,,79-74,,
0:20.0,,,79-74,,Defensive rebound by B. Biyombo
0:03.0,,,79-76,2,K. Walker makes 2-pt shot from 5 ft
0:01.0,S. Blake misses 3-pt shot from 40 ft,,79-76,,
0:00.0,Offensive rebound by Team,,79-76,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,C. Kaman makes 2-pt shot from 4 ft,2,81-76,,
11:29.0,,,81-78,2,K. Walker makes 2-pt shot from 7 ft (assist by J. Maxiell)
11:29.0,,,81-78,,Shooting foul by S. Blake (drawn by K. Walker)
11:29.0,,,81-79,1,K. Walker makes free throw 1 of 1
11:17.0,W. Matthews makes 3-pt shot from 24 ft (assist by S. Blake),3,84-79,,
11:09.0,,,84-79,,Offensive foul by P. Hairston
11:09.0,,,84-79,,Turnover by P. Hairston (offensive foul)
10:55.0,W. Matthews makes 2-pt shot from 11 ft (assist by C. Kaman),2,86-79,,
10:55.0,Shooting foul by B. Roberts (drawn by W. Matthews),,86-79,,
10:55.0,W. Matthews makes free throw 1 of 1,1,87-79,,
10:44.0,,,87-79,,B. Roberts misses 2-pt shot from 20 ft
10:43.0,Defensive rebound by C. Kaman,,87-79,,
10:34.0,C. Kaman misses 2-pt shot from 10 ft,,87-79,,
10:34.0,,,87-79,,Defensive rebound by Team
10:34.0,Loose ball foul by J. Freeland (drawn by J. Maxiell),,87-79,,
10:13.0,,,87-79,,P. Hairston misses 2-pt shot from 8 ft
10:12.0,Defensive rebound by C. Kaman,,87-79,,
9:59.0,W. Matthews misses 3-pt shot from 26 ft,,87-79,,
9:56.0,,,87-79,,Defensive rebound by K. Walker
9:48.0,,,87-79,,K. Walker misses 2-pt shot from 14 ft
9:47.0,,,87-79,,Offensive rebound by K. Walker
9:39.0,,,87-82,3,P. Hairston makes 3-pt shot from 25 ft (assist by K. Walker)
9:26.0,Offensive foul by W. Matthews,,87-82,,
9:26.0,Turnover by W. Matthews (offensive foul),,87-82,,
9:26.0,D. Lillard enters the game for A. Crabbe,,87-82,,
9:15.0,,,87-82,,K. Walker misses 2-pt shot from 14 ft
9:14.0,Defensive rebound by S. Blake,,87-82,,
9:05.0,Offensive foul by W. Matthews,,87-82,,
9:05.0,Turnover by W. Matthews (offensive foul),,87-82,,
9:05.0,,,87-82,,Technical foul by P. Hairston
9:05.0,D. Lillard makes technical free throw,1,88-82,,
8:47.0,,,88-82,,B. Roberts misses 3-pt shot from 25 ft
8:45.0,Defensive rebound by D. Lillard,,88-82,,
8:37.0,D. Lillard makes 3-pt shot from 24 ft (assist by S. Blake),3,91-82,,
8:18.0,Personal foul by S. Blake (drawn by K. Walker),,91-82,,
8:18.0,Official timeout,,91-82,,
8:18.0,N. Batum enters the game for W. Matthews,,91-82,,
8:18.0,,,91-82,,A. Jefferson enters the game for B. Biyombo
8:18.0,,,91-82,,C. Zeller enters the game for P. Hairston
8:18.0,,,91-82,,G. Henderson enters the game for J. Maxiell
8:08.0,,,91-82,,Turnover by K. Walker (lost ball; steal by S. Blake)
7:57.0,C. Kaman misses 2-pt shot from 20 ft,,91-82,,
7:56.0,,,91-82,,Defensive rebound by C. Zeller
7:46.0,,,91-82,,A. Jefferson misses 2-pt shot from 6 ft
7:45.0,Defensive rebound by N. Batum,,91-82,,
7:25.0,D. Lillard makes 3-pt shot from 26 ft (assist by C. Kaman),3,94-82,,
6:58.0,,,94-82,,B. Roberts misses 2-pt shot from 17 ft
6:57.0,Defensive rebound by C. Kaman,,94-82,,
6:47.0,C. Kaman makes 2-pt shot from 17 ft (assist by D. Lillard),2,96-82,,
6:40.0,,,96-82,,Charlotte full timeout
6:40.0,L. Aldridge enters the game for C. Kaman,,96-82,,
6:40.0,R. Lopez enters the game for J. Freeland,,96-82,,
6:35.0,,,96-84,2,B. Roberts makes 2-pt shot from 15 ft (assist by C. Zeller)
6:16.0,R. Lopez makes 2-pt shot from 15 ft (assist by D. Lillard),2,98-84,,
6:04.0,,,98-86,2,A. Jefferson makes 2-pt shot from 9 ft (assist by K. Walker)
5:43.0,L. Aldridge misses 2-pt shot from 3 ft,,98-86,,
5:41.0,Offensive rebound by R. Lopez,,98-86,,
5:27.0,D. Lillard misses 2-pt shot from 18 ft (block by K. Walker),,98-86,,
5:27.0,Offensive rebound by Team,,98-86,,
5:18.0,D. Lillard misses 3-pt shot from 23 ft,,98-86,,
5:16.0,,,98-86,,Defensive rebound by B. Roberts
5:07.0,,,98-88,2,G. Henderson makes 2-pt shot at rim (assist by C. Zeller)
4:44.0,N. Batum misses 2-pt shot from 7 ft,,98-88,,
4:43.0,,,98-88,,Defensive rebound by A. Jefferson
4:38.0,,,98-88,,Shooting foul by D. Lillard (drawn by B. Roberts)
4:38.0,,,98-88,,B. Roberts misses free throw 1 of 2
4:38.0,,,98-88,,Offensive rebound by Team
4:38.0,W. Matthews enters the game for S. Blake,,98-88,,
4:38.0,,,98-88,,B. Roberts misses free throw 2 of 2
4:36.0,Defensive rebound by L. Aldridge,,98-88,,
4:23.0,N. Batum makes 2-pt shot from 15 ft,2,100-88,,
