time,Portland,pts.away,score,pts.home,Cleveland
7:46.0,N. Batum misses 3-pt shot from 25 ft,,7-7,,
7:45.0,,,7-7,,Defensive rebound by K. Love
7:27.0,,,7-7,,T. Mozgov misses 2-pt shot from 5 ft
7:26.0,,,7-7,,Offensive rebound by K. Love
7:26.0,,,7-7,,Shooting foul by W. Matthews (drawn by K. Love)
7:26.0,,,7-8,1,K. Love makes free throw 1 of 2
7:26.0,,,7-9,1,K. Love makes free throw 2 of 2
7:10.0,C. Kaman misses 2-pt shot from 1 ft,,7-9,,
7:07.0,,,7-9,,Defensive rebound by T. Mozgov
6:54.0,,,7-12,3,K. Love makes 3-pt shot from 26 ft (assist by K. Irving)
6:37.0,C. Kaman makes 2-pt shot from 14 ft (assist by N. Batum),2,9-12,,
6:21.0,Def 3 sec tech foul by C. Kaman,,9-12,,
6:21.0,,,9-13,1,K. Irving makes technical free throw
6:11.0,,,9-13,,K. Irving misses 2-pt shot from 13 ft
6:08.0,,,9-13,,Offensive rebound by T. Mozgov
6:08.0,,,9-13,,T. Mozgov misses 2-pt shot from 1 ft
6:05.0,Defensive rebound by C. Kaman,,9-13,,
6:02.0,Turnover by D. Lillard (lost ball; steal by J. Smith),,9-13,,
5:54.0,,,9-16,3,K. Love makes 3-pt shot from 26 ft (assist by J. Smith)
5:54.0,Portland full timeout,,9-16,,
5:54.0,C. McCollum enters the game for C. Kaman,,9-16,,
5:54.0,M. Leonard enters the game for W. Matthews,,9-16,,
5:54.0,,,9-16,,M. Dellavedova enters the game for S. Marion
5:54.0,,,9-16,,I. Shumpert enters the game for K. Irving
5:40.0,M. Leonard makes 2-pt shot from 14 ft (assist by D. Lillard),2,11-16,,
5:24.0,,,11-16,,K. Love misses 2-pt shot from 21 ft
5:23.0,Defensive rebound by N. Batum,,11-16,,
5:18.0,Shooting foul by M. Dellavedova (drawn by D. Lillard),,11-16,,
5:18.0,D. Lillard makes free throw 1 of 2,1,12-16,,
5:18.0,,,12-16,,T. Thompson enters the game for T. Mozgov
5:18.0,D. Lillard makes free throw 2 of 2,1,13-16,,
5:01.0,,,13-16,,M. Dellavedova misses 3-pt shot from 26 ft
5:00.0,Defensive rebound by Team,,13-16,,
4:46.0,D. Lillard misses 2-pt shot from 1 ft,,13-16,,
4:44.0,,,13-16,,Defensive rebound by K. Love
4:30.0,,,13-16,,J. Smith misses 3-pt shot from 25 ft
4:29.0,,,13-16,,Offensive rebound by Team
4:22.0,,,13-16,,T. Thompson misses 2-pt shot from 3 ft
4:20.0,,,13-16,,Offensive rebound by T. Thompson
4:20.0,,,13-18,2,T. Thompson makes 2-pt shot at rim
4:01.0,L. Aldridge makes 2-pt shot from 5 ft,2,15-18,,
3:42.0,,,15-20,2,T. Thompson makes 2-pt shot from 2 ft (assist by J. Smith)
3:23.0,L. Aldridge makes 2-pt shot from 14 ft,2,17-20,,
2:58.0,,,17-20,,T. Thompson misses 2-pt shot from 2 ft (block by L. Aldridge)
2:58.0,Defensive rebound by Team,,17-20,,
2:58.0,,,17-20,,Cleveland full timeout
2:58.0,S. Blake enters the game for N. Batum,,17-20,,
2:58.0,W. Matthews enters the game for D. Lillard,,17-20,,
2:58.0,,,17-20,,K. Irving enters the game for K. Love
2:58.0,,,17-20,,T. Mozgov enters the game for J. Smith
2:32.0,C. McCollum misses 2-pt shot from 17 ft,,17-20,,
2:31.0,,,17-20,,Defensive rebound by T. Thompson
2:22.0,,,17-20,,I. Shumpert misses 3-pt shot from 25 ft
2:21.0,,,17-20,,Offensive rebound by T. Mozgov
2:02.0,,,17-20,,K. Irving misses 2-pt shot from 18 ft
2:01.0,Defensive rebound by L. Aldridge,,17-20,,
1:51.0,M. Leonard misses 3-pt shot from 24 ft,,17-20,,
1:50.0,,,17-20,,Defensive rebound by M. Dellavedova
1:43.0,,,17-20,,K. Irving misses 2-pt shot from 7 ft
1:42.0,,,17-20,,Offensive rebound by Team
1:39.0,,,17-23,3,K. Irving makes 3-pt shot from 24 ft (assist by M. Dellavedova)
1:29.0,M. Leonard misses 3-pt shot from 25 ft,,17-23,,
1:28.0,,,17-23,,Defensive rebound by T. Thompson
1:22.0,,,17-23,,Shooting foul by S. Blake (drawn by K. Irving)
1:22.0,,,17-25,2,K. Irving makes 2-pt shot from 1 ft
1:22.0,,,17-26,1,K. Irving makes free throw 1 of 1
1:05.0,Shooting foul by T. Thompson (drawn by L. Aldridge),,17-26,,
1:05.0,L. Aldridge makes free throw 1 of 2,1,18-26,,
1:05.0,L. Aldridge makes free throw 2 of 2,1,19-26,,
0:44.0,,,19-29,3,K. Irving makes 3-pt shot from 22 ft (assist by M. Dellavedova)
0:32.0,S. Blake misses 3-pt shot from 24 ft,,19-29,,
0:31.0,,,19-29,,Defensive rebound by K. Irving
0:12.0,,,19-29,,Shooting foul by M. Leonard (drawn by K. Irving)
0:12.0,,,19-30,1,K. Irving makes free throw 1 of 2
0:12.0,,,19-31,1,K. Irving makes free throw 2 of 2
0:02.0,L. Aldridge makes 2-pt shot from 15 ft,2,21-31,,
0:00.0,,,21-31,,K. Irving misses 3-pt shot from 57 ft
0:00.0,,,21-31,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,,,21-31,,Def 3 sec tech foul by T. Mozgov
11:45.0,W. Matthews misses technical free throw,,21-31,,
11:45.0,Offensive rebound by Team,,21-31,,
11:37.0,W. Matthews misses 2-pt shot at rim,,21-31,,
11:35.0,Offensive rebound by T. Robinson,,21-31,,
11:35.0,T. Robinson misses 2-pt shot from 1 ft,,21-31,,
11:32.0,Offensive rebound by T. Robinson,,21-31,,
11:32.0,T. Robinson makes 2-pt shot at rim,2,23-31,,
11:20.0,,,23-31,,K. Love misses 3-pt shot from 25 ft
11:18.0,,,23-31,,Offensive rebound by K. Love
11:14.0,,,23-31,,K. Love misses 3-pt shot from 23 ft
11:13.0,Defensive rebound by W. Barton,,23-31,,
11:08.0,W. Barton makes 2-pt shot at rim,2,25-31,,
10:52.0,Personal foul by T. Robinson (drawn by I. Shumpert),,25-31,,
10:52.0,,,25-31,,J. Smith enters the game for M. Dellavedova
10:44.0,,,25-33,2,J. Smith makes 2-pt shot from 19 ft
10:27.0,W. Barton misses 2-pt shot from 15 ft,,25-33,,
10:26.0,,,25-33,,Defensive rebound by K. Love
10:18.0,,,25-33,,J. Smith misses 2-pt shot from 1 ft
10:17.0,Defensive rebound by T. Robinson,,25-33,,
10:11.0,W. Barton makes 2-pt shot at rim (assist by S. Blake),2,27-33,,
9:55.0,,,27-33,,Shooting foul by M. Leonard (drawn by K. Irving)
9:55.0,,,27-34,1,K. Irving makes free throw 1 of 2
9:55.0,C. Kaman enters the game for M. Leonard,,27-34,,
9:55.0,,,27-34,,M. Miller enters the game for I. Shumpert
9:55.0,,,27-35,1,K. Irving makes free throw 2 of 2
9:32.0,W. Matthews makes 2-pt shot from 5 ft,2,29-35,,
9:10.0,,,29-38,3,K. Irving makes 3-pt shot from 25 ft (assist by K. Love)
8:49.0,Turnover by S. Blake (lost ball),,29-38,,
8:49.0,Official timeout,,29-38,,
8:49.0,N. Batum enters the game for W. Matthews,,29-38,,
8:49.0,D. Lillard enters the game for S. Blake,,29-38,,
8:38.0,,,29-38,,K. Love misses 2-pt shot from 17 ft
8:36.0,Defensive rebound by W. Barton,,29-38,,
8:26.0,Turnover by W. Barton (lost ball; steal by K. Irving),,29-38,,
8:21.0,,,29-38,,Turnover by T. Mozgov (lost ball; steal by N. Batum)
8:09.0,C. Kaman misses 2-pt shot from 15 ft,,29-38,,
8:08.0,,,29-38,,Defensive rebound by M. Miller
7:47.0,,,29-41,3,M. Miller makes 3-pt shot from 29 ft (assist by J. Smith)
7:20.0,Turnover by W. Barton (offensive foul),,29-41,,
7:20.0,Offensive charge foul by W. Barton,,29-41,,
7:20.0,L. Aldridge enters the game for T. Robinson,,29-41,,
7:20.0,,,29-41,,T. Thompson enters the game for T. Mozgov
7:09.0,,,29-41,,K. Love misses 3-pt shot from 25 ft
7:08.0,Defensive rebound by N. Batum,,29-41,,
6:59.0,N. Batum makes 2-pt shot from 3 ft,2,31-41,,
6:43.0,,,31-44,3,K. Irving makes 3-pt shot from 26 ft
6:14.0,L. Aldridge misses 2-pt shot from 7 ft,,31-44,,
6:12.0,Offensive rebound by C. Kaman,,31-44,,
6:07.0,D. Lillard misses 3-pt shot from 26 ft,,31-44,,
6:06.0,,,31-44,,Defensive rebound by K. Love
6:00.0,Personal foul by D. Lillard (drawn by K. Irving),,31-44,,
6:00.0,,,31-44,,M. Dellavedova enters the game for K. Irving
5:52.0,,,31-44,,K. Love misses 2-pt shot from 14 ft
5:51.0,Defensive rebound by W. Barton,,31-44,,
5:39.0,L. Aldridge makes 2-pt shot at rim,2,33-44,,
5:22.0,,,33-46,2,J. Smith makes 2-pt shot from 16 ft
5:10.0,Shooting foul by M. Miller (drawn by D. Lillard),,33-46,,
5:10.0,,,33-46,,Cleveland full timeout
5:10.0,W. Matthews enters the game for W. Barton,,33-46,,
5:10.0,,,33-46,,S. Marion enters the game for M. Miller
5:10.0,D. Lillard misses free throw 1 of 2,,33-46,,
5:10.0,Offensive rebound by Team,,33-46,,
5:10.0,D. Lillard makes free throw 2 of 2,1,34-46,,
4:51.0,,,34-46,,K. Love misses 2-pt shot from 6 ft
4:48.0,Defensive rebound by L. Aldridge,,34-46,,
4:42.0,D. Lillard misses 3-pt shot from 24 ft,,34-46,,
4:41.0,,,34-46,,Defensive rebound by T. Thompson
4:22.0,,,34-46,,T. Thompson misses 2-pt shot from 5 ft
4:21.0,Defensive rebound by C. Kaman,,34-46,,
4:01.0,N. Batum makes 3-pt shot from 22 ft (assist by L. Aldridge),3,37-46,,
3:43.0,,,37-46,,Turnover by M. Dellavedova (lost ball; steal by L. Aldridge)
3:36.0,L. Aldridge misses 3-pt shot from 25 ft,,37-46,,
3:32.0,,,37-46,,Defensive rebound by S. Marion
3:26.0,,,37-46,,Turnover by J. Smith (lost ball; steal by W. Matthews)
3:25.0,,,37-46,,Personal foul by J. Smith (drawn by W. Matthews)
3:25.0,,,37-46,,T. Mozgov enters the game for K. Love
3:25.0,,,37-46,,K. Irving enters the game for M. Dellavedova
3:09.0,W. Matthews misses 3-pt shot from 25 ft,,37-46,,
3:08.0,,,37-46,,Defensive rebound by T. Mozgov
2:45.0,,,37-46,,J. Smith misses 3-pt shot from 29 ft
2:44.0,Defensive rebound by L. Aldridge,,37-46,,
2:36.0,Shooting foul by S. Marion (drawn by C. Kaman),,37-46,,
2:36.0,Portland full timeout,,37-46,,
2:36.0,C. Kaman misses free throw 1 of 2,,37-46,,
2:36.0,Offensive rebound by Team,,37-46,,
2:36.0,C. Kaman makes free throw 2 of 2,1,38-46,,
2:19.0,,,38-48,2,K. Irving makes 2-pt shot at rim
1:59.0,,,38-48,,I. Shumpert enters the game for S. Marion
1:59.0,M. Leonard enters the game for C. Kaman,,38-48,,
1:52.0,L. Aldridge makes 2-pt shot from 16 ft (assist by N. Batum),2,40-48,,
1:40.0,Personal foul by D. Lillard (drawn by K. Irving),,40-48,,
1:30.0,,,40-51,3,K. Irving makes 3-pt shot from 22 ft
1:15.0,D. Lillard misses 2-pt shot from 4 ft,,40-51,,
1:11.0,,,40-51,,Defensive rebound by T. Mozgov
1:03.0,,,40-54,3,K. Irving makes 3-pt shot from 25 ft
0:46.0,Shooting foul by T. Thompson (drawn by L. Aldridge),,40-54,,
0:46.0,L. Aldridge makes free throw 1 of 2,1,41-54,,
0:46.0,,,41-54,,K. Love enters the game for T. Thompson
0:46.0,S. Blake enters the game for D. Lillard,,41-54,,
0:46.0,L. Aldridge makes free throw 2 of 2,1,42-54,,
0:30.0,,,42-54,,T. Mozgov misses 2-pt shot from 4 ft (block by N. Batum)
0:29.0,Defensive rebound by Team,,42-54,,
0:29.0,D. Lillard enters the game for S. Blake,,42-54,,
0:09.0,D. Lillard misses 3-pt shot from 25 ft,,42-54,,
0:08.0,Offensive rebound by M. Leonard,,42-54,,
0:00.0,Shooting foul by T. Mozgov (drawn by L. Aldridge),,42-54,,
0:00.0,L. Aldridge makes free throw 1 of 2,1,43-54,,
0:00.0,L. Aldridge makes free throw 2 of 2,1,44-54,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,D. Lillard misses 3-pt shot from 28 ft,,44-54,,
11:43.0,,,44-54,,Defensive rebound by T. Mozgov
11:25.0,,,44-54,,Turnover by K. Irving (bad pass)
11:08.0,C. Kaman makes 2-pt shot at rim,2,46-54,,
10:46.0,,,46-56,2,T. Mozgov makes 2-pt shot from 4 ft
10:37.0,,,46-56,,Personal foul by J. Smith (drawn by W. Matthews)
10:22.0,W. Matthews misses 3-pt shot from 25 ft,,46-56,,
10:21.0,Offensive rebound by W. Matthews,,46-56,,
10:17.0,L. Aldridge makes 3-pt shot from 22 ft (assist by W. Matthews),3,49-56,,
9:53.0,,,49-56,,K. Love misses 2-pt shot from 7 ft
9:51.0,Defensive rebound by W. Matthews,,49-56,,
9:42.0,L. Aldridge makes 2-pt shot from 12 ft,2,51-56,,
9:27.0,,,51-56,,Shooting foul by C. Kaman (drawn by T. Mozgov)
9:27.0,,,51-57,1,T. Mozgov makes free throw 1 of 2
9:27.0,,,51-58,1,T. Mozgov makes free throw 2 of 2
9:11.0,Shooting foul by K. Love (drawn by L. Aldridge),,51-58,,
9:11.0,L. Aldridge makes free throw 1 of 2,1,52-58,,
9:11.0,L. Aldridge makes free throw 2 of 2,1,53-58,,
8:52.0,,,53-61,3,K. Irving makes 3-pt shot from 24 ft (assist by J. Smith)
8:40.0,L. Aldridge makes 2-pt shot from 18 ft (assist by D. Lillard),2,55-61,,
8:22.0,,,55-61,,K. Irving misses 2-pt shot from 1 ft
8:20.0,Defensive rebound by C. Kaman,,55-61,,
8:16.0,D. Lillard makes 2-pt shot at rim,2,57-61,,
8:07.0,Personal foul by C. Kaman (drawn by T. Mozgov),,57-61,,
7:54.0,,,57-61,,J. Smith misses 3-pt shot from 24 ft
7:52.0,,,57-61,,Offensive rebound by I. Shumpert
7:42.0,,,57-63,2,J. Smith makes 2-pt shot at rim (assist by K. Irving)
7:24.0,L. Aldridge misses 2-pt shot from 19 ft,,57-63,,
7:23.0,,,57-63,,Defensive rebound by K. Love
7:15.0,,,57-63,,K. Irving misses 3-pt shot from 25 ft
7:14.0,Defensive rebound by L. Aldridge,,57-63,,
7:02.0,W. Matthews makes 3-pt shot from 25 ft (assist by D. Lillard),3,60-63,,
6:43.0,,,60-63,,J. Smith misses 3-pt shot from 25 ft
6:41.0,Defensive rebound by C. Kaman,,60-63,,
6:34.0,D. Lillard misses 2-pt shot from 1 ft,,60-63,,
6:32.0,,,60-63,,Defensive rebound by K. Love
6:22.0,,,60-63,,Shooting foul by C. Kaman (drawn by T. Mozgov)
6:22.0,,,60-63,,T. Mozgov misses free throw 1 of 2
6:22.0,,,60-63,,Offensive rebound by Team
6:22.0,M. Leonard enters the game for C. Kaman,,60-63,,
6:22.0,,,60-63,,T. Mozgov misses free throw 2 of 2
6:21.0,Defensive rebound by L. Aldridge,,60-63,,
6:12.0,,,60-63,,Personal foul by T. Mozgov (drawn by D. Lillard)
6:03.0,N. Batum misses 2-pt shot from 3 ft,,60-63,,
6:02.0,,,60-63,,Defensive rebound by K. Love
5:40.0,,,60-65,2,I. Shumpert makes 2-pt shot at rim
5:22.0,N. Batum misses 3-pt shot from 24 ft,,60-65,,
5:21.0,,,60-65,,Defensive rebound by I. Shumpert
5:17.0,Personal foul by N. Batum (drawn by I. Shumpert),,60-65,,
5:17.0,,,60-65,,Cleveland full timeout
5:17.0,W. Barton enters the game for W. Matthews,,60-65,,
5:17.0,,,60-65,,M. Dellavedova enters the game for K. Irving
5:06.0,,,60-65,,J. Smith misses 3-pt shot from 24 ft
5:05.0,,,60-65,,Offensive rebound by M. Dellavedova
4:49.0,,,60-65,,Turnover by J. Smith (lost ball; steal by W. Barton)
4:47.0,,,60-65,,Personal foul by M. Dellavedova (drawn by W. Barton)
4:28.0,N. Batum misses 3-pt shot from 26 ft,,60-65,,
4:26.0,Offensive rebound by L. Aldridge,,60-65,,
4:23.0,L. Aldridge misses 2-pt shot from 14 ft,,60-65,,
4:22.0,,,60-65,,Defensive rebound by I. Shumpert
4:12.0,,,60-67,2,I. Shumpert makes 2-pt shot from 14 ft
4:00.0,D. Lillard misses 2-pt shot from 1 ft,,60-67,,
3:57.0,Offensive rebound by M. Leonard,,60-67,,
3:57.0,M. Leonard makes 2-pt shot from 1 ft,2,62-67,,
3:33.0,,,62-69,2,T. Mozgov makes 2-pt shot from 10 ft
3:16.0,,,62-69,,Violation by J. Smith (kicked ball)
3:16.0,Portland full timeout,,62-69,,
3:16.0,,,62-69,,K. Irving enters the game for K. Love
3:16.0,,,62-69,,T. Thompson enters the game for J. Smith
3:16.0,,,62-69,,M. Miller enters the game for M. Dellavedova
3:05.0,L. Aldridge misses 2-pt shot from 1 ft (block by T. Mozgov),,62-69,,
3:04.0,Offensive rebound by N. Batum,,62-69,,
2:58.0,D. Lillard makes 3-pt shot from 26 ft (assist by N. Batum),3,65-69,,
2:42.0,,,65-71,2,T. Mozgov makes 2-pt shot at rim
2:26.0,L. Aldridge makes 2-pt shot from 20 ft (assist by D. Lillard),2,67-71,,
2:09.0,,,67-71,,T. Mozgov misses 2-pt shot from 6 ft
2:04.0,,,67-71,,Offensive rebound by T. Thompson
1:59.0,,,67-74,3,K. Irving makes 3-pt shot from 24 ft (assist by M. Miller)
1:45.0,D. Lillard makes 3-pt shot from 25 ft (assist by L. Aldridge),3,70-74,,
1:23.0,,,70-76,2,K. Irving makes 2-pt shot from 11 ft
1:10.0,L. Aldridge makes 2-pt shot from 20 ft (assist by D. Lillard),2,72-76,,
0:48.0,,,72-76,,K. Irving misses 2-pt shot from 14 ft
0:47.0,Defensive rebound by W. Barton,,72-76,,
0:33.0,N. Batum misses 3-pt shot from 24 ft,,72-76,,
0:32.0,,,72-76,,Defensive rebound by I. Shumpert
0:26.0,,,72-79,3,K. Irving makes 3-pt shot from 25 ft (assist by I. Shumpert)
0:07.0,D. Lillard misses 2-pt shot from 19 ft,,72-79,,
0:05.0,Offensive rebound by L. Aldridge,,72-79,,
0:05.0,L. Aldridge makes 2-pt shot from 1 ft,2,74-79,,
0:00.0,,,74-79,,K. Irving misses 3-pt shot from 25 ft
0:00.0,,,74-79,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,,,74-79,,K. Irving misses 3-pt shot from 25 ft
11:46.0,Defensive rebound by L. Aldridge,,74-79,,
11:28.0,W. Matthews misses 3-pt shot from 25 ft,,74-79,,
11:28.0,Offensive rebound by Team,,74-79,,
11:28.0,,,74-79,,Loose ball foul by T. Thompson (drawn by M. Leonard)
11:16.0,L. Aldridge misses 2-pt shot from 16 ft,,74-79,,
11:15.0,,,74-79,,Defensive rebound by K. Love
11:15.0,Personal foul by M. Leonard (drawn by K. Love),,74-79,,
11:06.0,,,74-79,,K. Love misses 2-pt shot from 7 ft
11:04.0,Defensive rebound by L. Aldridge,,74-79,,
10:52.0,M. Leonard makes 2-pt shot from 17 ft,2,76-79,,
10:31.0,,,76-81,2,K. Irving makes 2-pt shot from 15 ft
10:09.0,W. Matthews makes 3-pt shot from 24 ft,3,79-81,,
9:55.0,,,79-81,,K. Irving misses 2-pt shot from 13 ft
9:54.0,,,79-81,,Offensive rebound by K. Irving
9:54.0,,,79-81,,K. Irving misses 2-pt shot from 13 ft
9:52.0,,,79-81,,Offensive rebound by T. Thompson
9:51.0,,,79-81,,T. Thompson misses 2-pt shot from 2 ft (block by L. Aldridge)
9:50.0,,,79-81,,Offensive rebound by K. Irving
9:47.0,,,79-81,,I. Shumpert misses 3-pt shot from 26 ft
9:47.0,Defensive rebound by Team,,79-81,,
9:47.0,,,79-81,,Loose ball foul by T. Thompson (drawn by M. Leonard)
9:47.0,,,79-81,,J. Smith enters the game for M. Miller
9:33.0,L. Aldridge misses 2-pt shot from 12 ft,,79-81,,
9:32.0,,,79-81,,Defensive rebound by I. Shumpert
9:08.0,,,79-83,2,K. Irving makes 2-pt shot from 4 ft
8:49.0,W. Barton misses 3-pt shot from 24 ft,,79-83,,
8:48.0,,,79-83,,Defensive rebound by T. Thompson
8:39.0,Personal foul by S. Blake (drawn by K. Irving),,79-83,,
8:39.0,,,79-83,,Cleveland full timeout
8:39.0,,,79-83,,M. Dellavedova enters the game for I. Shumpert
8:39.0,C. Kaman enters the game for L. Aldridge,,79-83,,
8:39.0,D. Lillard enters the game for W. Matthews,,79-83,,
8:39.0,N. Batum enters the game for W. Barton,,79-83,,
8:29.0,,,79-83,,K. Love misses 3-pt shot from 24 ft
8:27.0,Defensive rebound by C. Kaman,,79-83,,
8:07.0,D. Lillard misses 3-pt shot from 24 ft,,79-83,,
8:06.0,,,79-83,,Defensive rebound by K. Love
7:48.0,,,79-83,,K. Irving misses 3-pt shot from 24 ft
7:47.0,Defensive rebound by C. Kaman,,79-83,,
7:37.0,M. Leonard makes 3-pt shot from 25 ft (assist by N. Batum),3,82-83,,
7:18.0,,,82-83,,K. Irving misses 3-pt shot from 25 ft
7:17.0,Defensive rebound by C. Kaman,,82-83,,
7:09.0,D. Lillard misses 2-pt shot from 21 ft,,82-83,,
7:08.0,,,82-83,,Defensive rebound by T. Thompson
7:00.0,,,82-85,2,K. Irving makes 2-pt shot at rim
6:33.0,S. Blake makes 2-pt shot from 14 ft,2,84-85,,
6:06.0,,,84-85,,K. Love misses 3-pt shot from 24 ft
6:05.0,,,84-85,,Offensive rebound by M. Dellavedova
6:00.0,,,84-85,,T. Thompson misses 2-pt shot from 3 ft (block by C. Kaman)
6:00.0,,,84-85,,Offensive rebound by Team
6:00.0,,,84-85,,Cleveland full timeout
6:00.0,,,84-85,,I. Shumpert enters the game for K. Irving
6:00.0,,,84-85,,T. Mozgov enters the game for T. Thompson
6:00.0,L. Aldridge enters the game for M. Leonard,,84-85,,
6:00.0,W. Matthews enters the game for S. Blake,,84-85,,
5:47.0,,,84-85,,J. Smith misses 2-pt shot from 7 ft
5:46.0,,,84-85,,Offensive rebound by T. Mozgov
5:46.0,Personal foul by W. Matthews (drawn by T. Mozgov),,84-85,,
5:34.0,,,84-85,,T. Mozgov misses 2-pt shot from 10 ft
5:33.0,,,84-85,,Offensive rebound by I. Shumpert
5:32.0,,,84-85,,Turnover by Team (shot clock)
5:15.0,Turnover by W. Matthews (traveling),,84-85,,
4:58.0,,,84-87,2,J. Smith makes 2-pt shot from 16 ft (assist by M. Dellavedova)
4:34.0,L. Aldridge makes 3-pt shot from 22 ft (assist by W. Matthews),3,87-87,,
4:07.0,,,87-87,,Turnover by I. Shumpert (lost ball)
4:07.0,,,87-87,,K. Irving enters the game for M. Dellavedova
3:52.0,W. Matthews makes 3-pt shot from 23 ft (assist by N. Batum),3,90-87,,
3:44.0,,,90-87,,Cleveland full timeout
3:44.0,,,90-87,,M. Dellavedova enters the game for I. Shumpert
3:39.0,Personal foul by N. Batum (drawn by K. Irving),,90-87,,
3:25.0,,,90-87,,Turnover by K. Irving (traveling)
3:13.0,D. Lillard misses 2-pt shot from 20 ft,,90-87,,
3:12.0,Offensive rebound by C. Kaman,,90-87,,
3:07.0,Turnover by W. Matthews (lost ball),,90-87,,
2:54.0,Personal foul by W. Matthews (drawn by K. Irving),,90-87,,
2:54.0,Portland full timeout,,90-87,,
2:54.0,,,90-88,1,K. Irving makes free throw 1 of 2
2:54.0,,,90-89,1,K. Irving makes free throw 2 of 2
2:40.0,,,90-89,,Personal foul by T. Mozgov (drawn by L. Aldridge)
2:29.0,L. Aldridge makes 2-pt shot from 6 ft,2,92-89,,
2:09.0,,,92-89,,K. Irving misses 2-pt shot from 16 ft
2:08.0,Defensive rebound by N. Batum,,92-89,,
1:47.0,L. Aldridge misses 2-pt shot from 8 ft,,92-89,,
1:45.0,Offensive rebound by L. Aldridge,,92-89,,
1:45.0,Portland full timeout,,92-89,,
1:34.0,W. Matthews misses 3-pt shot from 25 ft,,92-89,,
1:32.0,,,92-89,,Defensive rebound by J. Smith
1:16.0,,,92-92,3,K. Irving makes 3-pt shot from 24 ft (assist by K. Love)
0:59.0,W. Matthews misses 3-pt shot from 24 ft,,92-92,,
0:58.0,,,92-92,,Defensive rebound by T. Mozgov
0:39.0,,,92-92,,K. Irving misses 3-pt shot from 23 ft
0:37.0,,,92-92,,Offensive rebound by Team
0:37.0,Loose ball foul by L. Aldridge (drawn by T. Mozgov),,92-92,,
0:37.0,,,92-93,1,T. Mozgov makes free throw 1 of 2
0:37.0,,,92-94,1,T. Mozgov makes free throw 2 of 2
0:37.0,Portland full timeout,,92-94,,
0:28.0,Shooting foul by J. Smith (drawn by L. Aldridge),,92-94,,
0:28.0,L. Aldridge makes free throw 1 of 2,1,93-94,,
0:28.0,L. Aldridge makes free throw 2 of 2,1,94-94,,
0:28.0,,,94-94,,Cleveland full timeout
0:06.0,,,94-97,3,K. Irving makes 3-pt shot from 25 ft
0:06.0,Portland full timeout,,94-97,,
0:06.0,,,94-97,,I. Shumpert enters the game for K. Love
0:06.0,D. Wright enters the game for C. Kaman,,94-97,,
0:03.0,D. Lillard misses 3-pt shot from 23 ft,,94-97,,
0:02.0,,,94-97,,Defensive rebound by K. Irving
0:02.0,Personal foul by L. Aldridge (drawn by K. Irving),,94-97,,
0:02.0,,,94-98,1,K. Irving makes free throw 1 of 2
0:02.0,,,94-99,1,K. Irving makes free throw 2 of 2
