time,Utah,pts.away,score,pts.home,Minnesota
11:22.0,T. Burke makes 3-pt shot from 27 ft (assist by E. Millsap),3,28-18,,
10:59.0,,,28-18,,L. Brown misses 2-pt shot from 12 ft
10:57.0,Defensive rebound by C. Johnson,,28-18,,
10:48.0,J. Ingles makes 3-pt shot from 24 ft (assist by E. Millsap),3,31-18,,
10:48.0,,,31-18,,Minnesota full timeout
10:48.0,,,31-18,,Z. LaVine enters the game for A. Wiggins
10:34.0,,,31-18,,C. Budinger misses 2-pt shot from 9 ft
10:32.0,Defensive rebound by T. Burke,,31-18,,
10:26.0,T. Burke makes 2-pt shot at rim,2,33-18,,
10:05.0,,,33-18,,C. Budinger misses 2-pt shot from 11 ft (block by J. Ingles)
10:04.0,,,33-18,,Offensive rebound by Team
10:02.0,,,33-20,2,Z. LaVine makes 2-pt shot from 18 ft (assist by C. Budinger)
9:41.0,E. Millsap misses 3-pt shot from 25 ft,,33-20,,
9:40.0,,,33-20,,Defensive rebound by A. Payne
9:25.0,,,33-23,3,L. Brown makes 3-pt shot from 24 ft (assist by R. Hummel)
9:12.0,C. Johnson misses 3-pt shot from 22 ft,,33-23,,
9:11.0,,,33-23,,Defensive rebound by R. Hummel
9:08.0,Personal foul by E. Millsap (drawn by Z. LaVine),,33-23,,
9:08.0,R. Hood enters the game for C. Johnson,,33-23,,
8:54.0,,,33-23,,Z. LaVine misses 2-pt shot from 8 ft
8:53.0,,,33-23,,Offensive rebound by C. Budinger
8:53.0,,,33-23,,Shooting foul by R. Hood (drawn by C. Budinger)
8:53.0,,,33-24,1,C. Budinger makes free throw 1 of 2
8:53.0,T. Booker enters the game for R. Hood,,33-24,,
8:53.0,,,33-24,,C. Budinger misses free throw 2 of 2
8:52.0,Defensive rebound by T. Booker,,33-24,,
8:34.0,J. Ingles misses 3-pt shot from 24 ft,,33-24,,
8:31.0,,,33-24,,Defensive rebound by C. Budinger
8:16.0,,,33-27,3,C. Budinger makes 3-pt shot from 23 ft (assist by L. Brown)
7:58.0,T. Burke misses 2-pt shot from 20 ft,,33-27,,
7:57.0,,,33-27,,Defensive rebound by Z. LaVine
7:51.0,,,33-29,2,Z. LaVine makes 2-pt shot at rim
7:49.0,Utah full timeout,,33-29,,
7:49.0,G. Hayward enters the game for E. Millsap,,33-29,,
7:25.0,T. Burke misses 3-pt shot from 27 ft (block by L. Brown),,33-29,,
7:24.0,Offensive rebound by Team,,33-29,,
7:24.0,Turnover by Team (shot clock),,33-29,,
7:05.0,,,33-29,,L. Brown misses 2-pt shot from 15 ft
7:04.0,Defensive rebound by J. Evans,,33-29,,
6:59.0,T. Booker makes 2-pt shot at rim (assist by J. Ingles),2,35-29,,
6:44.0,R. Gobert enters the game for J. Evans,,35-29,,
6:44.0,D. Exum enters the game for T. Burke,,35-29,,
6:44.0,,,35-29,,A. Wiggins enters the game for C. Budinger
6:32.0,,,35-29,,Turnover by Team (shot clock)
6:08.0,D. Exum misses 3-pt shot from 24 ft,,35-29,,
6:05.0,,,35-29,,Defensive rebound by R. Hummel
5:44.0,,,35-29,,R. Hummel misses 3-pt shot from 23 ft
5:42.0,,,35-29,,Offensive rebound by A. Wiggins
5:32.0,,,35-32,3,R. Hummel makes 3-pt shot from 24 ft (assist by L. Brown)
5:08.0,Turnover by G. Hayward (lost ball; steal by A. Wiggins),,35-32,,
5:02.0,,,35-32,,A. Wiggins misses 2-pt shot from 14 ft
5:00.0,,,35-32,,Offensive rebound by Z. LaVine
4:52.0,,,35-34,2,A. Wiggins makes 2-pt shot at rim (assist by L. Brown)
4:46.0,Utah full timeout,,35-34,,
4:34.0,Shooting foul by R. Hummel (drawn by R. Gobert),,35-34,,
4:34.0,R. Gobert misses free throw 1 of 2,,35-34,,
4:34.0,Offensive rebound by Team,,35-34,,
4:34.0,C. Johnson enters the game for J. Ingles,,35-34,,
4:34.0,R. Gobert makes free throw 2 of 2,1,36-34,,
4:19.0,,,36-34,,A. Wiggins misses 2-pt shot at rim (block by R. Gobert)
4:17.0,Defensive rebound by T. Booker,,36-34,,
4:12.0,G. Hayward makes 2-pt shot from 1 ft,2,38-34,,
4:12.0,Shooting foul by R. Hummel (drawn by G. Hayward),,38-34,,
4:12.0,G. Hayward makes free throw 1 of 1,1,39-34,,
3:55.0,,,39-34,,Z. LaVine misses 2-pt shot from 16 ft
3:54.0,Jump ball: R. Gobert vs. A. Payne (T. Booker gains possession),,,,Jump ball: R. Gobert vs. A. Payne (T. Booker gains possession)
3:54.0,Offensive rebound by Team,,39-34,,
3:38.0,Offensive charge foul by T. Booker,,39-34,,
3:38.0,Turnover by T. Booker (offensive foul),,39-34,,
3:38.0,T. Burke enters the game for D. Exum,,39-34,,
3:21.0,,,39-36,2,R. Hummel makes 2-pt shot from 17 ft (assist by A. Payne)
3:09.0,G. Hayward misses 2-pt shot from 12 ft,,39-36,,
3:04.0,Offensive rebound by T. Burke,,39-36,,
2:59.0,Shooting foul by L. Brown (drawn by R. Gobert),,39-36,,
2:59.0,Utah full timeout,,39-36,,
2:59.0,R. Gobert makes free throw 1 of 2,1,40-36,,
2:59.0,R. Gobert makes free throw 2 of 2,1,41-36,,
2:43.0,,,41-36,,A. Payne misses 2-pt shot from 6 ft
2:42.0,Defensive rebound by G. Hayward,,41-36,,
2:36.0,T. Burke makes 3-pt shot from 25 ft (assist by G. Hayward),3,44-36,,
2:14.0,,,44-36,,A. Payne misses 2-pt shot from 2 ft
2:13.0,Defensive rebound by R. Gobert,,44-36,,
2:09.0,Shooting foul by R. Hummel (drawn by G. Hayward),,44-36,,
2:09.0,G. Hayward makes free throw 1 of 2,1,45-36,,
2:09.0,,,45-36,,C. Budinger enters the game for R. Hummel
2:09.0,,,45-36,,Minnesota full timeout
2:09.0,G. Hayward makes free throw 2 of 2,1,46-36,,
1:51.0,,,46-38,2,L. Brown makes 2-pt shot from 14 ft (assist by Z. LaVine)
1:32.0,C. Johnson misses 3-pt shot from 24 ft,,46-38,,
1:31.0,,,46-38,,Defensive rebound by A. Wiggins
1:23.0,,,46-38,,Z. LaVine misses 3-pt shot from 24 ft
1:22.0,Defensive rebound by G. Hayward,,46-38,,
1:16.0,J. Ingles enters the game for C. Johnson,,46-38,,
1:03.0,T. Burke makes 2-pt shot at rim,2,48-38,,
0:42.0,,,48-38,,Turnover by C. Budinger (bad pass; steal by T. Burke)
0:38.0,T. Burke misses 2-pt shot from 1 ft (block by L. Brown),,48-38,,
0:37.0,Offensive rebound by R. Gobert,,48-38,,
0:37.0,R. Gobert makes 2-pt shot at rim,2,50-38,,
0:33.0,,,50-40,2,Z. LaVine makes 2-pt shot at rim
0:12.0,Turnover by T. Booker (step out of bounds),,50-40,,
0:12.0,E. Millsap enters the game for J. Ingles,,50-40,,
0:06.0,Personal take foul by E. Millsap (drawn by Z. LaVine),,50-40,,
0:06.0,D. Exum enters the game for T. Burke,,50-40,,
0:01.0,,,50-40,,Z. LaVine misses 2-pt shot from 21 ft
0:00.0,Defensive rebound by E. Millsap,,50-40,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:36.0,,,50-40,,Turnover by A. Payne (traveling)
11:14.0,G. Hayward makes 2-pt shot from 12 ft,2,52-40,,
10:53.0,,,52-40,,L. Brown misses 2-pt shot from 13 ft
10:51.0,Defensive rebound by G. Hayward,,52-40,,
10:32.0,D. Exum makes 3-pt shot from 23 ft (assist by G. Hayward),3,55-40,,
10:31.0,,,55-40,,Minnesota full timeout
10:14.0,,,55-40,,Z. LaVine misses 2-pt shot at rim
10:12.0,,,55-40,,Offensive rebound by Z. LaVine
9:55.0,,,55-40,,A. Payne misses 2-pt shot from 7 ft
9:53.0,Defensive rebound by R. Gobert,,55-40,,
9:38.0,G. Hayward makes 3-pt shot from 24 ft (assist by R. Gobert),3,58-40,,
9:23.0,,,58-40,,Offensive foul by A. Wiggins
9:23.0,,,58-40,,Turnover by A. Wiggins (offensive foul)
9:23.0,,,58-40,,C. Budinger enters the game for Z. LaVine
9:01.0,Shooting foul by A. Wiggins (drawn by G. Hayward),,58-40,,
9:01.0,G. Hayward makes free throw 1 of 2,1,59-40,,
9:01.0,,,59-40,,Z. LaVine enters the game for L. Brown
9:01.0,G. Hayward makes free throw 2 of 2,1,60-40,,
8:51.0,Personal foul by R. Hood (drawn by A. Wiggins),,60-40,,
8:51.0,J. Ingles enters the game for R. Hood,,60-40,,
8:45.0,,,60-40,,J. Hamilton misses 2-pt shot from 18 ft
8:44.0,Defensive rebound by T. Booker,,60-40,,
8:21.0,J. Ingles makes 2-pt shot from 20 ft,2,62-40,,
8:05.0,,,62-40,,Turnover by Z. LaVine (bad pass; steal by R. Gobert)
8:01.0,T. Booker makes 2-pt shot at rim (assist by R. Gobert),2,64-40,,
8:00.0,,,64-40,,Minnesota full timeout
8:00.0,,,64-40,,R. Hummel enters the game for A. Payne
7:38.0,,,64-40,,R. Hummel misses 2-pt shot from 7 ft
7:37.0,Defensive rebound by G. Hayward,,64-40,,
7:21.0,D. Exum misses 3-pt shot from 22 ft,,64-40,,
7:20.0,,,64-40,,Defensive rebound by C. Budinger
7:16.0,,,64-42,2,Z. LaVine makes 2-pt shot at rim (assist by C. Budinger)
7:00.0,R. Gobert misses 2-pt shot from 8 ft,,64-42,,
6:59.0,,,64-42,,Defensive rebound by J. Hamilton
6:41.0,,,64-42,,A. Wiggins misses 2-pt shot from 19 ft
6:39.0,Defensive rebound by T. Booker,,64-42,,
6:33.0,G. Hayward misses 2-pt shot from 22 ft,,64-42,,
6:30.0,,,64-42,,Defensive rebound by A. Wiggins
6:26.0,,,64-42,,Shooting foul by D. Exum (drawn by Z. LaVine)
6:26.0,,,64-44,2,Z. LaVine makes 2-pt shot from 5 ft (assist by A. Wiggins)
6:26.0,,,64-45,1,Z. LaVine makes free throw 1 of 1
6:17.0,G. Hayward misses 2-pt shot from 18 ft,,64-45,,
6:16.0,Offensive rebound by T. Booker,,64-45,,
6:15.0,Shooting foul by C. Budinger (drawn by T. Booker),,64-45,,
6:15.0,T. Booker makes free throw 1 of 2,1,65-45,,
6:15.0,T. Burke enters the game for D. Exum,,65-45,,
6:15.0,T. Booker makes free throw 2 of 2,1,66-45,,
6:06.0,,,66-45,,Turnover by Z. LaVine (bad pass; steal by G. Hayward)
6:02.0,,,66-45,,Personal foul by Z. LaVine (drawn by G. Hayward)
5:51.0,T. Booker misses 2-pt shot from 4 ft,,66-45,,
5:50.0,Offensive rebound by R. Gobert,,66-45,,
5:35.0,T. Booker makes 2-pt shot from 20 ft (assist by J. Ingles),2,68-45,,
5:23.0,,,68-45,,J. Hamilton misses 2-pt shot from 2 ft
5:22.0,Defensive rebound by T. Booker,,68-45,,
5:12.0,T. Booker misses 3-pt shot from 24 ft,,68-45,,
5:11.0,,,68-45,,Defensive rebound by C. Budinger
5:03.0,,,68-45,,R. Hummel misses 2-pt shot from 21 ft
5:02.0,Defensive rebound by Team,,68-45,,
4:45.0,T. Burke misses 2-pt shot from 3 ft,,68-45,,
4:44.0,,,68-45,,Defensive rebound by R. Hummel
4:29.0,,,68-45,,Shooting foul by T. Burke (drawn by A. Wiggins)
4:29.0,,,68-46,1,A. Wiggins makes free throw 1 of 2
4:29.0,J. Evans enters the game for T. Booker,,68-46,,
4:29.0,,,68-47,1,A. Wiggins makes free throw 2 of 2
4:19.0,Offensive foul by G. Hayward,,68-47,,
4:19.0,Turnover by G. Hayward (offensive foul),,68-47,,
4:04.0,,,68-50,3,C. Budinger makes 3-pt shot from 22 ft (assist by A. Wiggins)
3:45.0,J. Ingles makes 3-pt shot from 23 ft (assist by T. Burke),3,71-50,,
3:28.0,,,71-50,,A. Wiggins misses 2-pt shot from 22 ft
3:27.0,Defensive rebound by R. Gobert,,71-50,,
3:18.0,T. Burke makes 2-pt shot from 17 ft,2,73-50,,
3:01.0,,,73-50,,R. Hummel misses 3-pt shot from 25 ft
3:00.0,,,73-50,,Offensive rebound by Team
3:00.0,,,73-50,,L. Brown enters the game for Z. LaVine
2:46.0,,,73-52,2,A. Wiggins makes 2-pt shot from 9 ft
2:46.0,Technical foul by J. Ingles,,73-52,,
2:46.0,Utah full timeout,,73-52,,
2:46.0,,,73-52,,C. Budinger misses technical free throw
2:46.0,Offensive rebound by Team,,73-52,,
2:23.0,T. Burke misses 2-pt shot from 9 ft,,73-52,,
2:22.0,Offensive rebound by J. Evans,,73-52,,
2:22.0,J. Evans makes 2-pt shot at rim,2,75-52,,
2:10.0,,,75-54,2,C. Budinger makes 2-pt shot from 7 ft (assist by L. Brown)
1:51.0,G. Hayward misses 2-pt shot from 19 ft,,75-54,,
1:50.0,,,75-54,,Defensive rebound by C. Budinger
1:45.0,,,75-54,,A. Wiggins misses 2-pt shot from 1 ft
1:44.0,,,75-54,,Offensive rebound by A. Wiggins
1:43.0,,,75-54,,Shooting foul by J. Evans (drawn by A. Wiggins)
1:43.0,,,75-54,,A. Wiggins misses free throw 1 of 2
1:43.0,,,75-54,,Offensive rebound by Team
1:43.0,C. Johnson enters the game for G. Hayward,,75-54,,
1:43.0,,,75-55,1,A. Wiggins makes free throw 2 of 2
1:29.0,Jump ball: C. Budinger vs. J. Ingles (J. Evans gains possession),,,,Jump ball: C. Budinger vs. J. Ingles (J. Evans gains possession)
1:22.0,T. Burke misses 3-pt shot from 23 ft,,75-55,,
1:21.0,,,75-55,,Defensive rebound by C. Budinger
1:10.0,,,75-55,,Turnover by A. Wiggins (lost ball; steal by C. Johnson)
1:04.0,C. Johnson makes 2-pt shot at rim (assist by J. Ingles),2,77-55,,
0:55.0,,,77-55,,L. Brown misses 2-pt shot from 6 ft (block by R. Gobert)
0:53.0,Defensive rebound by T. Burke,,77-55,,
0:48.0,J. Evans makes 2-pt shot from 2 ft (assist by T. Burke),2,79-55,,
0:36.0,,,79-55,,C. Budinger misses 3-pt shot from 24 ft
0:35.0,,,79-55,,Offensive rebound by J. Hamilton
0:33.0,,,79-57,2,J. Hamilton makes 2-pt shot from 1 ft
0:12.0,T. Burke misses 2-pt shot from 8 ft,,79-57,,
0:11.0,Offensive rebound by R. Gobert,,79-57,,
0:10.0,R. Gobert misses 2-pt shot from 1 ft,,79-57,,
0:09.0,Offensive rebound by R. Gobert,,79-57,,
0:08.0,R. Gobert makes 2-pt shot at rim,2,81-57,,
0:01.0,,,81-57,,A. Wiggins misses 2-pt shot from 12 ft
0:00.0,,,81-57,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,C. Johnson misses 3-pt shot from 23 ft,,81-57,,
11:43.0,Offensive rebound by J. Evans,,81-57,,
11:39.0,C. Johnson makes 2-pt shot from 1 ft (assist by J. Ingles),2,83-57,,
11:22.0,,,83-59,2,C. Budinger makes 2-pt shot from 3 ft (assist by Z. LaVine)
10:55.0,E. Millsap makes 3-pt shot from 24 ft (assist by C. Johnson),3,86-59,,
10:36.0,,,86-61,2,A. Wiggins makes 2-pt shot at rim (assist by Z. LaVine)
10:15.0,,,86-61,,Personal foul by Z. LaVine (drawn by T. Burke)
10:15.0,,,86-61,,R. Hummel enters the game for A. Wiggins
10:15.0,T. Booker enters the game for C. Johnson,,86-61,,
9:59.0,T. Burke misses 3-pt shot from 25 ft,,86-61,,
9:59.0,,,86-61,,Defensive rebound by Team
9:51.0,,,86-63,2,C. Budinger makes 2-pt shot from 13 ft (assist by A. Bennett)
9:51.0,,,86-63,,Shooting foul by E. Millsap (drawn by C. Budinger)
9:51.0,D. Exum enters the game for T. Burke,,86-63,,
9:51.0,C. Johnson enters the game for E. Millsap,,86-63,,
9:51.0,,,86-64,1,C. Budinger makes free throw 1 of 1
9:35.0,Turnover by T. Booker (lost ball; steal by C. Budinger),,86-64,,
9:27.0,,,86-64,,Z. LaVine misses 2-pt shot from 5 ft (block by T. Booker)
9:26.0,,,86-64,,Offensive rebound by Team
9:20.0,Violation by T. Booker (kicked ball),,86-64,,
9:15.0,Shooting block foul by J. Evans (drawn by Z. LaVine),,86-64,,
9:15.0,,,86-65,1,Z. LaVine makes free throw 1 of 2
9:15.0,G. Hayward enters the game for C. Johnson,,86-65,,
9:15.0,R. Gobert enters the game for J. Evans,,86-65,,
9:15.0,,,86-66,1,Z. LaVine makes free throw 2 of 2
9:02.0,Turnover by G. Hayward (bad pass; steal by A. Payne),,86-66,,
8:59.0,,,86-66,,Turnover by A. Payne (lost ball)
8:59.0,Utah full timeout,,86-66,,
8:54.0,G. Hayward makes 2-pt shot from 7 ft,2,88-66,,
8:35.0,,,88-68,2,A. Bennett makes 2-pt shot from 17 ft (assist by A. Payne)
8:15.0,D. Exum misses 3-pt shot from 23 ft,,88-68,,
8:13.0,Offensive rebound by T. Booker,,88-68,,
7:58.0,Turnover by G. Hayward (bad pass),,88-68,,
7:48.0,,,88-71,3,A. Bennett makes 3-pt shot from 24 ft (assist by Z. LaVine)
7:23.0,T. Booker makes 2-pt shot from 15 ft (assist by G. Hayward),2,90-71,,
7:12.0,,,90-71,,Z. LaVine misses 3-pt shot from 24 ft
7:11.0,Defensive rebound by T. Booker,,90-71,,
7:04.0,G. Hayward misses 2-pt shot from 1 ft (block by Z. LaVine),,90-71,,
7:03.0,,,90-71,,Defensive rebound by Z. LaVine
7:00.0,,,90-73,2,R. Hummel makes 2-pt shot at rim (assist by Z. LaVine)
6:40.0,,,90-73,,Personal foul by Z. LaVine (drawn by D. Exum)
6:40.0,C. Johnson enters the game for J. Ingles,,90-73,,
6:40.0,,,90-73,,A. Wiggins enters the game for R. Hummel
6:34.0,Shooting foul by C. Budinger (drawn by R. Gobert),,90-73,,
6:34.0,R. Gobert misses free throw 1 of 2,,90-73,,
6:34.0,Offensive rebound by Team,,90-73,,
6:34.0,R. Gobert makes free throw 2 of 2,1,91-73,,
6:25.0,,,91-73,,Shooting foul by R. Gobert (drawn by Z. LaVine)
6:25.0,,,91-74,1,Z. LaVine makes free throw 1 of 2
6:25.0,,,91-75,1,Z. LaVine makes free throw 2 of 2
6:11.0,C. Johnson misses 3-pt shot from 22 ft,,91-75,,
6:10.0,Offensive rebound by G. Hayward,,91-75,,
6:07.0,G. Hayward makes 2-pt shot from 8 ft,2,93-75,,
5:57.0,,,93-75,,A. Payne misses 2-pt shot from 13 ft
5:55.0,Defensive rebound by R. Gobert,,93-75,,
5:47.0,R. Gobert makes 2-pt shot from 1 ft,2,95-75,,
5:31.0,,,95-75,,Turnover by A. Payne (lost ball; steal by G. Hayward)
5:25.0,C. Johnson makes 2-pt shot at rim (assist by T. Booker),2,97-75,,
5:23.0,,,97-75,,Minnesota full timeout
5:23.0,,,97-75,,J. Hamilton enters the game for A. Payne
5:23.0,,,97-75,,R. Hummel enters the game for A. Bennett
5:11.0,,,97-75,,R. Hummel misses 2-pt shot from 21 ft
5:10.0,Defensive rebound by D. Exum,,97-75,,
4:51.0,Shooting foul by J. Hamilton (drawn by R. Gobert),,97-75,,
4:51.0,R. Gobert makes free throw 1 of 2,1,98-75,,
4:51.0,T. Burke enters the game for D. Exum,,98-75,,
4:51.0,R. Gobert makes free throw 2 of 2,1,99-75,,
4:33.0,,,99-75,,A. Wiggins misses 2-pt shot from 15 ft
4:32.0,Defensive rebound by T. Burke,,99-75,,
4:10.0,G. Hayward misses 3-pt shot from 24 ft,,99-75,,
4:09.0,,,99-75,,Defensive rebound by R. Hummel
4:00.0,,,99-75,,Shooting foul by R. Gobert (drawn by J. Hamilton)
4:00.0,,,99-77,2,J. Hamilton makes 2-pt shot from 6 ft (assist by Z. LaVine)
4:00.0,D. Exum enters the game for C. Johnson,,99-77,,
4:00.0,,,99-78,1,J. Hamilton makes free throw 1 of 1
3:49.0,T. Booker makes 2-pt shot from 14 ft (assist by T. Burke),2,101-78,,
3:37.0,,,101-78,,Shooting foul by T. Booker (drawn by J. Hamilton)
3:37.0,,,101-79,1,J. Hamilton makes free throw 1 of 2
3:37.0,,,101-80,1,J. Hamilton makes free throw 2 of 2
3:12.0,D. Exum misses 3-pt shot from 23 ft,,101-80,,
3:11.0,Offensive rebound by Team,,101-80,,
3:11.0,Turnover by Team (shot clock),,101-80,,
3:11.0,E. Millsap enters the game for G. Hayward,,101-80,,
3:11.0,J. Evans enters the game for R. Gobert,,101-80,,
3:02.0,,,101-80,,Shooting foul by J. Evans (drawn by A. Wiggins)
3:02.0,,,101-81,1,A. Wiggins makes free throw 1 of 2
3:02.0,,,101-81,,A. Wiggins misses free throw 2 of 2
3:02.0,Defensive rebound by T. Booker,,101-81,,
2:47.0,T. Burke makes 2-pt shot from 13 ft,2,103-81,,
2:47.0,Shooting foul by Z. LaVine (drawn by T. Burke),,103-81,,
2:47.0,Utah full timeout,,103-81,,
2:47.0,,,103-81,,L. Brown enters the game for A. Wiggins
2:47.0,J. Cooley enters the game for T. Booker,,103-81,,
2:47.0,T. Burke makes free throw 1 of 1,1,104-81,,
