time,Houston,pts.away,score,pts.home,Indiana
3:37.0,C. Brewer misses 2-pt shot from 19 ft,,16-11,,
3:35.0,,,16-11,,Defensive rebound by R. Hibbert
3:17.0,,,16-11,,G. Hill misses 3-pt shot from 28 ft
3:16.0,Defensive rebound by J. Dorsey,,16-11,,
3:12.0,Shooting foul by S. Hill (drawn by J. Harden),,16-11,,
3:12.0,J. Harden makes free throw 1 of 2,1,17-11,,
3:12.0,,,17-11,,I. Mahinmi enters the game for R. Hibbert
3:12.0,,,17-11,,C. Watson enters the game for G. Hill
3:12.0,J. Terry enters the game for P. Beverley,,17-11,,
3:12.0,J. Harden makes free throw 2 of 2,1,18-11,,
2:57.0,,,18-11,,Turnover by S. Hill (bad pass)
2:57.0,Houston full timeout,,18-11,,
2:43.0,J. Smith misses 2-pt shot from 2 ft,,18-11,,
2:42.0,,,18-11,,Defensive rebound by I. Mahinmi
2:33.0,,,18-11,,D. West misses 2-pt shot from 4 ft
2:31.0,,,18-11,,Offensive rebound by I. Mahinmi
2:31.0,,,18-13,2,I. Mahinmi makes 2-pt shot at rim
2:17.0,J. Dorsey misses 2-pt shot from 1 ft,,18-13,,
2:16.0,Offensive rebound by J. Smith,,18-13,,
2:16.0,J. Smith makes 2-pt shot from 1 ft,2,20-13,,
1:51.0,,,20-13,,D. West misses 2-pt shot from 10 ft
1:51.0,Defensive rebound by J. Dorsey,,20-13,,
1:38.0,J. Smith misses 2-pt shot from 9 ft,,20-13,,
1:38.0,,,20-13,,Defensive rebound by I. Mahinmi
1:38.0,Loose ball foul by J. Dorsey (drawn by I. Mahinmi),,20-13,,
1:38.0,,,20-13,,L. Scola enters the game for D. West
1:25.0,,,20-13,,L. Scola misses 2-pt shot from 19 ft
1:24.0,Defensive rebound by J. Dorsey,,20-13,,
1:13.0,J. Harden makes 2-pt shot at rim,2,22-13,,
1:00.0,,,22-13,,Turnover by D. Rudez (bad pass; steal by J. Harden)
0:52.0,Shooting foul by I. Mahinmi (drawn by J. Harden),,22-13,,
0:52.0,J. Harden makes free throw 1 of 2,1,23-13,,
0:52.0,J. Harden makes free throw 2 of 2,1,24-13,,
0:30.0,,,24-15,2,C. Watson makes 2-pt shot from 20 ft
0:08.0,Shooting foul by S. Hill (drawn by J. Harden),,24-15,,
0:08.0,J. Harden makes free throw 1 of 2,1,25-15,,
0:08.0,P. Beverley enters the game for J. Terry,,25-15,,
0:08.0,T. Ariza enters the game for J. Dorsey,,25-15,,
0:08.0,,,25-15,,C. Miles enters the game for S. Hill
0:08.0,J. Harden makes free throw 2 of 2,1,26-15,,
0:01.0,,,26-15,,C. Miles misses 2-pt shot from 20 ft
0:00.0,Defensive rebound by T. Ariza,,26-15,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,J. Smith makes 3-pt shot from 26 ft (assist by T. Ariza),3,29-15,,
11:28.0,,,29-15,,Turnover by L. Scola (lost ball; steal by J. Smith)
11:23.0,T. Ariza makes 2-pt shot at rim (assist by C. Brewer),2,31-15,,
11:01.0,,,31-17,2,C. Watson makes 2-pt shot from 15 ft
10:49.0,Turnover by C. Brewer (bad pass; steal by C. Watson),,31-17,,
10:44.0,,,31-17,,C. Watson misses 2-pt shot at rim
10:42.0,Defensive rebound by J. Terry,,31-17,,
10:35.0,J. Terry makes 3-pt shot from 27 ft (assist by D. Motiejunas),3,34-17,,
10:23.0,,,34-17,,Turnover by I. Mahinmi (bad pass; steal by T. Ariza)
10:11.0,D. Motiejunas makes 2-pt shot at rim (assist by J. Smith),2,36-17,,
10:11.0,,,36-17,,Indiana full timeout
9:55.0,Personal foul by T. Ariza (drawn by C. Miles),,36-17,,
9:48.0,,,36-17,,Shooting foul by J. Terry (drawn by L. Scola)
9:48.0,,,36-18,1,L. Scola makes free throw 1 of 2
9:48.0,,,36-18,,L. Scola misses free throw 2 of 2
9:48.0,Defensive rebound by J. Terry,,36-18,,
9:36.0,Turnover by J. Terry (lost ball; steal by C. Watson),,36-18,,
9:29.0,,,36-18,,D. Rudez misses 2-pt shot at rim
9:28.0,,,36-18,,Offensive rebound by L. Scola
9:28.0,,,36-18,,L. Scola misses 2-pt shot at rim
9:27.0,,,36-18,,Offensive rebound by Team
9:23.0,,,36-18,,I. Mahinmi misses 2-pt shot from 3 ft
9:22.0,,,36-18,,Offensive rebound by L. Scola
9:22.0,,,36-20,2,L. Scola makes 2-pt shot from 1 ft
9:20.0,,,36-20,,Technical foul by R. Hibbert
9:20.0,J. Terry misses technical free throw,,36-20,,
9:20.0,Offensive rebound by Team,,36-20,,
9:07.0,J. Smith makes 2-pt shot from 1 ft (assist by J. Terry),2,38-20,,
8:55.0,,,38-20,,L. Scola misses 2-pt shot from 18 ft
8:52.0,Defensive rebound by C. Brewer,,38-20,,
8:31.0,J. Smith makes 3-pt shot from 26 ft,3,41-20,,
8:14.0,,,41-23,3,C. Watson makes 3-pt shot from 27 ft (assist by C. Miles)
7:53.0,J. Smith misses 2-pt shot from 7 ft,,41-23,,
7:53.0,,,41-23,,Defensive rebound by I. Mahinmi
7:38.0,,,41-23,,D. Rudez misses 3-pt shot from 25 ft
7:36.0,Defensive rebound by J. Smith,,41-23,,
7:29.0,J. Smith misses 2-pt shot from 2 ft (block by I. Mahinmi),,41-23,,
7:29.0,,,41-23,,Defensive rebound by Team
7:29.0,,,41-23,,G. Hill enters the game for D. Rudez
7:15.0,,,41-25,2,G. Hill makes 2-pt shot from 1 ft
7:05.0,Turnover by J. Smith (offensive foul),,41-25,,
7:05.0,Offensive foul by J. Smith,,41-25,,
7:05.0,J. Dorsey enters the game for J. Smith,,41-25,,
7:05.0,P. Beverley enters the game for J. Terry,,41-25,,
7:05.0,J. Harden enters the game for T. Ariza,,41-25,,
6:48.0,,,41-25,,L. Scola misses 2-pt shot from 1 ft
6:46.0,Defensive rebound by J. Dorsey,,41-25,,
6:31.0,J. Harden misses 2-pt shot from 11 ft,,41-25,,
6:30.0,Offensive rebound by J. Harden,,41-25,,
6:27.0,C. Brewer makes 3-pt shot from 25 ft (assist by J. Harden),3,44-25,,
6:13.0,,,44-27,2,G. Hill makes 2-pt shot from 2 ft (assist by C. Watson)
6:03.0,J. Harden misses 3-pt shot from 26 ft,,44-27,,
6:02.0,,,44-27,,Defensive rebound by L. Scola
5:55.0,,,44-27,,C. Miles misses 2-pt shot at rim
5:55.0,Defensive rebound by Team,,44-27,,
5:55.0,Official timeout,,44-27,,
5:55.0,,,44-27,,R. Hibbert enters the game for I. Mahinmi
5:36.0,C. Brewer misses 2-pt shot from 1 ft,,44-27,,
5:35.0,,,44-27,,Defensive rebound by L. Scola
5:17.0,,,44-30,3,C. Watson makes 3-pt shot from 25 ft (assist by G. Hill)
4:51.0,D. Motiejunas makes 2-pt shot from 7 ft (assist by J. Harden),2,46-30,,
4:29.0,,,46-32,2,G. Hill makes 2-pt shot from 18 ft (assist by C. Watson)
4:02.0,J. Harden misses 2-pt shot from 16 ft,,46-32,,
4:02.0,,,46-32,,Defensive rebound by C. Watson
3:56.0,,,46-34,2,L. Scola makes 2-pt shot at rim (assist by C. Watson)
3:46.0,,,46-34,,Personal foul by C. Watson (drawn by P. Beverley)
3:46.0,T. Ariza enters the game for C. Brewer,,46-34,,
3:31.0,P. Beverley makes 2-pt shot from 6 ft,2,48-34,,
3:19.0,,,48-34,,L. Scola misses 2-pt shot at rim (block by P. Beverley)
3:17.0,,,48-34,,Offensive rebound by Team
3:17.0,J. Smith enters the game for J. Dorsey,,48-34,,
3:17.0,Inbound foul by J. Smith,,48-34,,
3:17.0,,,48-34,,C. Watson misses free throw 1 of 2
3:17.0,,,48-34,,Offensive rebound by Team
3:17.0,,,48-34,,D. West enters the game for L. Scola
3:17.0,,,48-35,1,C. Watson makes free throw 2 of 2
2:58.0,D. Motiejunas misses 2-pt shot from 8 ft (block by G. Hill),,48-35,,
2:58.0,,,48-35,,Defensive rebound by Team
2:58.0,Houston full timeout,,48-35,,
2:42.0,,,48-35,,D. West misses 2-pt shot from 17 ft
2:42.0,Defensive rebound by T. Ariza,,48-35,,
2:30.0,J. Smith makes 2-pt shot from 6 ft,2,50-35,,
2:16.0,,,50-37,2,C. Miles makes 2-pt shot from 22 ft (assist by C. Watson)
2:07.0,,,50-37,,Personal foul by G. Hill (drawn by D. Motiejunas)
1:51.0,P. Beverley misses 2-pt shot from 7 ft,,50-37,,
1:50.0,,,50-37,,Defensive rebound by D. West
1:43.0,,,50-37,,C. Miles misses 3-pt shot from 23 ft
1:42.0,,,50-37,,Offensive rebound by G. Hill
1:39.0,,,50-39,2,G. Hill makes 2-pt shot from 5 ft
1:17.0,Offensive charge foul by T. Ariza,,50-39,,
1:17.0,Turnover by T. Ariza (offensive foul),,50-39,,
1:02.0,,,50-39,,C. Miles misses 3-pt shot from 23 ft
1:01.0,Defensive rebound by T. Ariza,,50-39,,
0:47.0,J. Harden misses 3-pt shot from 24 ft,,50-39,,
0:46.0,,,50-39,,Defensive rebound by G. Hill
0:29.0,,,50-39,,C. Miles misses 2-pt shot from 1 ft
0:28.0,Defensive rebound by J. Smith,,50-39,,
0:05.0,J. Harden misses 2-pt shot from 23 ft,,50-39,,
0:04.0,Offensive rebound by J. Smith,,50-39,,
0:01.0,J. Harden makes 3-pt shot from 25 ft (assist by J. Smith),3,53-39,,
0:00.0,,,53-39,,Turnover by R. Hibbert (bad pass; steal by D. Motiejunas)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:52.0,Turnover by T. Ariza (step out of bounds),,53-39,,
11:32.0,,,53-41,2,D. West makes 2-pt shot from 17 ft (assist by S. Hill)
11:21.0,Turnover by T. Ariza (bad pass; steal by R. Hibbert),,53-41,,
11:01.0,,,53-41,,R. Hibbert misses 2-pt shot from 8 ft
11:00.0,Defensive rebound by J. Dorsey,,53-41,,
10:46.0,Turnover by D. Motiejunas (lost ball),,53-41,,
10:25.0,,,53-43,2,R. Hibbert makes 2-pt shot from 8 ft (assist by D. West)
10:13.0,P. Beverley makes 3-pt shot from 27 ft,3,56-43,,
9:57.0,,,56-45,2,R. Hibbert makes 2-pt shot from 4 ft (assist by C. Miles)
9:39.0,J. Harden misses 3-pt shot from 26 ft,,56-45,,
9:38.0,,,56-45,,Defensive rebound by R. Hibbert
9:16.0,,,56-45,,R. Hibbert misses 2-pt shot from 9 ft
9:15.0,Defensive rebound by J. Dorsey,,56-45,,
8:55.0,J. Harden makes 2-pt shot at rim (assist by D. Motiejunas),2,58-45,,
8:29.0,,,58-45,,G. Hill misses 2-pt shot from 14 ft
8:26.0,Defensive rebound by T. Ariza,,58-45,,
8:19.0,Shooting foul by S. Hill (drawn by J. Harden),,58-45,,
8:19.0,J. Harden makes free throw 1 of 3,1,59-45,,
8:19.0,J. Harden makes free throw 2 of 3,1,60-45,,
8:19.0,J. Terry enters the game for P. Beverley,,60-45,,
8:19.0,J. Harden makes free throw 3 of 3,1,61-45,,
8:04.0,,,61-45,,Turnover by C. Miles (bad pass)
7:54.0,D. Motiejunas misses 3-pt shot from 25 ft,,61-45,,
7:53.0,,,61-45,,Defensive rebound by R. Hibbert
7:53.0,Loose ball foul by J. Dorsey (drawn by R. Hibbert),,61-45,,
7:40.0,,,61-48,3,G. Hill makes 3-pt shot from 25 ft (assist by C. Miles)
7:25.0,J. Terry makes 3-pt shot from 26 ft (assist by D. Motiejunas),3,64-48,,
7:07.0,,,64-50,2,C. Miles makes 2-pt shot from 3 ft
6:51.0,T. Ariza misses 2-pt shot from 6 ft,,64-50,,
6:51.0,,,64-50,,Defensive rebound by Team
6:51.0,Loose ball foul by J. Dorsey (drawn by C. Miles),,64-50,,
6:51.0,Technical foul by J. Dorsey (drawn by C. Miles),,64-50,,
6:51.0,,,64-50,,G. Hill misses technical free throw
6:51.0,,,64-50,,Offensive rebound by Team
6:51.0,J. Smith enters the game for J. Dorsey,,64-50,,
6:33.0,,,64-53,3,S. Hill makes 3-pt shot from 24 ft (assist by G. Hill)
6:22.0,J. Harden misses 2-pt shot from 8 ft,,64-53,,
6:20.0,,,64-53,,Defensive rebound by G. Hill
6:14.0,,,64-55,2,G. Hill makes 2-pt shot from 1 ft
5:56.0,J. Terry misses 2-pt shot from 16 ft,,64-55,,
5:55.0,,,64-55,,Defensive rebound by R. Hibbert
5:48.0,,,64-55,,Indiana full timeout
5:48.0,C. Brewer enters the game for T. Ariza,,64-55,,
5:40.0,,,64-55,,R. Hibbert misses 2-pt shot from 6 ft
5:39.0,Defensive rebound by J. Harden,,64-55,,
5:32.0,Turnover by D. Motiejunas (lost ball; steal by G. Hill),,64-55,,
5:27.0,,,64-55,,D. West misses 2-pt shot from 1 ft
5:26.0,,,64-55,,Offensive rebound by R. Hibbert
5:26.0,,,64-57,2,R. Hibbert makes 2-pt shot at rim
5:09.0,D. Motiejunas makes 2-pt shot at rim,2,66-57,,
4:51.0,,,66-57,,C. Miles misses 2-pt shot from 15 ft
4:50.0,,,66-57,,Offensive rebound by R. Hibbert
4:48.0,,,66-57,,Turnover by R. Hibbert (bad pass; steal by J. Terry)
4:39.0,J. Terry misses 2-pt shot from 1 ft (block by R. Hibbert),,66-57,,
4:37.0,,,66-57,,Defensive rebound by C. Miles
4:17.0,,,66-57,,D. West misses 2-pt shot at rim
4:16.0,,,66-57,,Offensive rebound by D. West
4:16.0,,,66-59,2,D. West makes 2-pt shot at rim
3:56.0,Turnover by J. Terry (offensive foul),,66-59,,
3:56.0,Offensive foul by J. Terry,,66-59,,
3:56.0,,,66-59,,I. Mahinmi enters the game for R. Hibbert
3:42.0,,,66-59,,D. West misses 2-pt shot from 17 ft
3:41.0,,,66-59,,Offensive rebound by I. Mahinmi
3:35.0,,,66-59,,C. Miles misses 3-pt shot from 26 ft
3:34.0,Defensive rebound by J. Harden,,66-59,,
3:28.0,J. Harden makes 2-pt shot from 1 ft,2,68-59,,
3:15.0,Personal foul by J. Terry (drawn by G. Hill),,68-59,,
3:15.0,,,68-59,,Technical foul by G. Hill
3:15.0,Technical foul by J. Terry (drawn by G. Hill),,68-59,,
3:15.0,,,68-59,,C. Watson enters the game for C. Miles
3:15.0,,,68-59,,D. Rudez enters the game for G. Hill
2:59.0,,,68-62,3,D. Rudez makes 3-pt shot from 27 ft
2:33.0,C. Brewer misses 3-pt shot from 26 ft,,68-62,,
2:32.0,,,68-62,,Defensive rebound by D. West
2:28.0,,,68-64,2,D. Rudez makes 2-pt shot at rim (assist by D. West)
2:01.0,J. Harden misses 3-pt shot from 29 ft,,68-64,,
1:59.0,,,68-64,,Defensive rebound by I. Mahinmi
1:48.0,,,68-64,,I. Mahinmi misses 2-pt shot from 1 ft
1:47.0,Defensive rebound by D. Motiejunas,,68-64,,
1:37.0,Turnover by J. Harden (bad pass; steal by I. Mahinmi),,68-64,,
1:23.0,,,68-66,2,S. Hill makes 2-pt shot at rim
1:16.0,Houston full timeout,,68-66,,
1:03.0,Shooting foul by I. Mahinmi (drawn by D. Motiejunas),,68-66,,
1:03.0,D. Motiejunas makes free throw 1 of 2,1,69-66,,
1:03.0,D. Motiejunas makes free throw 2 of 2,1,70-66,,
0:57.0,,,70-66,,C. Watson misses 2-pt shot from 17 ft
0:56.0,,,70-66,,Offensive rebound by I. Mahinmi
0:54.0,,,70-66,,Turnover by I. Mahinmi (bad pass)
0:37.0,J. Smith makes 3-pt shot from 26 ft (assist by J. Harden),3,73-66,,
0:31.0,,,73-66,,Offensive foul by I. Mahinmi
0:31.0,,,73-66,,Turnover by I. Mahinmi (offensive foul)
0:31.0,,,73-66,,L. Scola enters the game for D. West
0:20.0,Offensive foul by J. Harden,,73-66,,
0:20.0,Turnover by J. Harden (offensive foul),,73-66,,
0:05.0,Shooting block foul by J. Harden (drawn by C. Watson),,73-66,,
0:05.0,,,73-67,1,C. Watson makes free throw 1 of 2
0:05.0,,,73-67,,G. Hill enters the game for S. Hill
0:05.0,,,73-67,,C. Miles enters the game for D. Rudez
0:05.0,,,73-68,1,C. Watson makes free throw 2 of 2
0:01.0,D. Motiejunas makes 3-pt shot from 31 ft (assist by J. Harden),3,76-68,,
0:00.0,,,76-68,,C. Miles misses 3-pt shot from 61 ft
0:00.0,,,76-68,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,,,76-70,2,D. Rudez makes 2-pt shot from 22 ft (assist by C. Watson)
11:32.0,J. Terry misses 3-pt shot from 27 ft,,76-70,,
11:32.0,,,76-70,,Defensive rebound by I. Mahinmi
11:13.0,,,76-70,,C. Watson misses 3-pt shot from 22 ft
11:11.0,Defensive rebound by C. Brewer,,76-70,,
11:07.0,,,76-70,,Shooting block foul by C. Watson (drawn by C. Brewer)
11:07.0,C. Brewer makes free throw 1 of 2,1,77-70,,
11:07.0,C. Brewer makes free throw 2 of 2,1,78-70,,
10:50.0,Personal foul by J. Dorsey (drawn by L. Scola),,78-70,,
10:50.0,T. Ariza enters the game for J. Dorsey,,78-70,,
10:43.0,,,78-70,,I. Mahinmi misses 2-pt shot from 2 ft (block by J. Harden)
10:43.0,,,78-70,,Offensive rebound by Team
10:34.0,,,78-72,2,G. Hill makes 2-pt shot from 13 ft
10:13.0,Shooting foul by I. Mahinmi (drawn by C. Brewer),,78-72,,
10:13.0,C. Brewer makes free throw 1 of 2,1,79-72,,
10:13.0,P. Prigioni enters the game for J. Terry,,79-72,,
10:13.0,C. Brewer makes free throw 2 of 2,1,80-72,,
10:03.0,Personal foul by T. Ariza (drawn by L. Scola),,80-72,,
10:00.0,,,80-72,,Shooting foul by J. Harden (drawn by L. Scola)
10:00.0,,,80-72,,L. Scola misses free throw 1 of 2
10:00.0,,,80-72,,Offensive rebound by Team
10:00.0,,,80-72,,L. Scola misses free throw 2 of 2
10:00.0,Defensive rebound by T. Ariza,,80-72,,
9:47.0,Shooting foul by I. Mahinmi (drawn by J. Harden),,80-72,,
9:47.0,J. Harden makes free throw 1 of 2,1,81-72,,
9:47.0,,,81-72,,R. Hibbert enters the game for I. Mahinmi
9:47.0,J. Harden makes free throw 2 of 2,1,82-72,,
9:25.0,,,82-72,,G. Hill misses 3-pt shot from 25 ft
9:24.0,,,82-72,,Offensive rebound by C. Watson
9:20.0,,,82-72,,G. Hill misses 2-pt shot at rim
9:18.0,,,82-72,,Offensive rebound by L. Scola
9:18.0,,,82-74,2,L. Scola makes 2-pt shot at rim
8:54.0,J. Harden misses 2-pt shot from 13 ft,,82-74,,
8:53.0,,,82-74,,Defensive rebound by L. Scola
8:49.0,Official timeout,,82-74,,
8:32.0,,,82-76,2,R. Hibbert makes 2-pt shot from 12 ft (assist by D. Rudez)
8:12.0,,,82-76,,Personal foul by R. Hibbert (drawn by J. Smith)
8:08.0,J. Smith misses 3-pt shot from 26 ft,,82-76,,
8:07.0,,,82-76,,Defensive rebound by L. Scola
7:47.0,,,82-76,,Turnover by D. Rudez (bad pass; steal by J. Harden)
7:47.0,,,82-76,,Personal take foul by R. Hibbert (drawn by J. Harden)
7:47.0,J. Harden makes free throw 1 of 2,1,83-76,,
7:47.0,D. Motiejunas enters the game for C. Brewer,,83-76,,
7:47.0,J. Harden makes free throw 2 of 2,1,84-76,,
7:40.0,,,84-76,,Turnover by C. Watson (lost ball; steal by P. Prigioni)
7:40.0,,,84-76,,Loose ball foul by C. Watson (drawn by P. Prigioni)
7:40.0,P. Prigioni makes free throw 1 of 2,1,85-76,,
7:40.0,,,85-76,,S. Hill enters the game for G. Hill
7:40.0,,,85-76,,C. Miles enters the game for D. Rudez
7:40.0,P. Prigioni makes free throw 2 of 2,1,86-76,,
7:33.0,Personal foul by P. Prigioni (drawn by C. Watson),,86-76,,
7:33.0,,,86-77,1,C. Watson makes free throw 1 of 2
7:33.0,J. Dorsey enters the game for J. Smith,,86-77,,
7:33.0,,,86-78,1,C. Watson makes free throw 2 of 2
7:19.0,J. Harden makes 3-pt shot from 26 ft,3,89-78,,
7:01.0,,,89-80,2,C. Miles makes 2-pt shot from 17 ft (assist by L. Scola)
6:45.0,D. Motiejunas makes 2-pt shot from 6 ft (assist by J. Harden),2,91-80,,
6:31.0,Personal foul by D. Motiejunas (drawn by L. Scola),,91-80,,
6:31.0,,,91-81,1,L. Scola makes free throw 1 of 2
6:31.0,,,91-82,1,L. Scola makes free throw 2 of 2
6:20.0,J. Harden makes 3-pt shot from 26 ft,3,94-82,,
6:16.0,,,94-82,,Indiana full timeout
6:16.0,,,94-82,,G. Hill enters the game for S. Hill
6:01.0,,,94-82,,C. Miles misses 3-pt shot from 26 ft
5:59.0,Defensive rebound by T. Ariza,,94-82,,
5:42.0,J. Dorsey misses 2-pt shot from 2 ft (block by G. Hill),,94-82,,
5:42.0,Offensive rebound by Team,,94-82,,
5:42.0,,,94-82,,D. West enters the game for L. Scola
5:37.0,J. Harden makes 2-pt shot from 16 ft,2,96-82,,
5:20.0,,,96-82,,D. West misses 2-pt shot from 16 ft
5:18.0,Defensive rebound by T. Ariza,,96-82,,
5:02.0,J. Harden misses 2-pt shot from 17 ft,,96-82,,
5:01.0,,,96-82,,Defensive rebound by Team
4:42.0,,,96-82,,C. Miles misses 2-pt shot from 1 ft
4:41.0,,,96-82,,Offensive rebound by R. Hibbert
4:41.0,,,96-84,2,R. Hibbert makes 2-pt shot at rim
4:26.0,Offensive foul by J. Dorsey,,96-84,,
4:26.0,Turnover by J. Dorsey (offensive foul),,96-84,,
4:26.0,J. Smith enters the game for J. Dorsey,,96-84,,
4:14.0,Personal foul by P. Prigioni (drawn by D. West),,96-84,,
4:14.0,,,96-85,1,D. West makes free throw 1 of 2
4:14.0,,,96-85,,D. West misses free throw 2 of 2
4:14.0,Defensive rebound by T. Ariza,,96-85,,
3:54.0,Shooting foul by G. Hill (drawn by J. Harden),,96-85,,
3:54.0,J. Harden makes free throw 1 of 2,1,97-85,,
3:54.0,J. Harden makes free throw 2 of 2,1,98-85,,
3:36.0,,,98-88,3,C. Watson makes 3-pt shot from 27 ft
3:09.0,Offensive charge foul by J. Harden,,98-88,,
3:09.0,Turnover by J. Harden (offensive foul),,98-88,,
3:05.0,Personal foul by D. Motiejunas (drawn by R. Hibbert),,98-88,,
3:05.0,,,98-89,1,R. Hibbert makes free throw 1 of 2
3:05.0,Houston full timeout,,98-89,,
3:05.0,,,98-90,1,R. Hibbert makes free throw 2 of 2
2:40.0,J. Smith makes 3-pt shot from 26 ft (assist by J. Harden),3,101-90,,
2:21.0,,,101-92,2,D. West makes 2-pt shot from 6 ft
2:05.0,Turnover by J. Smith (bad pass),,101-92,,
1:55.0,,,101-92,,D. West misses 2-pt shot from 18 ft
