time,Boston,pts.away,score,pts.home,Houston
5:44.0,,,30-46,,J. Harden misses 2-pt shot from 20 ft
5:42.0,Defensive rebound by K. Olynyk,,30-46,,
5:25.0,J. Green misses 2-pt shot from 15 ft,,30-46,,
5:23.0,,,30-46,,Defensive rebound by J. Harden
5:15.0,,,30-46,,T. Jones misses 2-pt shot from 4 ft
5:13.0,,,30-46,,Offensive rebound by T. Black
5:13.0,,,30-46,,Shooting foul by K. Olynyk (drawn by T. Black)
5:13.0,,,30-46,,T. Black misses free throw 1 of 2
5:13.0,,,30-46,,Offensive rebound by Team
5:13.0,T. Zeller enters the game for K. Olynyk,,30-46,,
5:13.0,,,30-47,1,T. Black makes free throw 2 of 2
4:49.0,M. Smart misses 3-pt shot from 26 ft,,30-47,,
4:47.0,Offensive rebound by B. Bass,,30-47,,
4:44.0,M. Smart misses 2-pt shot at rim (block by T. Black),,30-47,,
4:42.0,,,30-47,,Defensive rebound by T. Jones
4:35.0,,,30-47,,Shooting foul by T. Zeller (drawn by T. Black)
4:35.0,,,30-47,,T. Black misses free throw 1 of 2
4:35.0,,,30-47,,Offensive rebound by Team
4:35.0,,,30-48,1,T. Black makes free throw 2 of 2
4:25.0,M. Smart misses 2-pt shot from 2 ft,,30-48,,
4:23.0,,,30-48,,Defensive rebound by T. Black
4:09.0,,,30-48,,J. Harden misses 3-pt shot from 24 ft
4:06.0,,,30-48,,Offensive rebound by T. Jones
4:04.0,,,30-48,,Shooting foul by T. Zeller (drawn by J. Harden)
4:04.0,,,30-49,1,J. Harden makes free throw 1 of 2
4:04.0,,,30-49,,D. Howard enters the game for T. Black
4:04.0,E. Turner enters the game for M. Smart,,30-49,,
4:04.0,R. Rondo enters the game for B. Bass,,30-49,,
4:04.0,,,30-50,1,J. Harden makes free throw 2 of 2
3:48.0,J. Green misses 2-pt shot from 21 ft,,30-50,,
3:47.0,,,30-50,,Defensive rebound by T. Ariza
3:31.0,,,30-52,2,D. Howard makes 2-pt shot from 6 ft (assist by I. Canaan)
3:14.0,A. Bradley misses 2-pt shot from 20 ft,,30-52,,
3:12.0,,,30-52,,Defensive rebound by T. Ariza
2:53.0,,,30-52,,J. Harden misses 3-pt shot from 25 ft
2:52.0,Defensive rebound by J. Green,,30-52,,
2:46.0,T. Zeller makes 2-pt shot at rim (assist by E. Turner),2,32-52,,
2:27.0,,,32-52,,D. Howard misses 2-pt shot at rim
2:25.0,,,32-52,,Offensive rebound by T. Jones
2:20.0,,,32-52,,I. Canaan misses 3-pt shot from 25 ft
2:20.0,Defensive rebound by Team,,32-52,,
2:20.0,,,32-52,,Loose ball foul by D. Howard (drawn by T. Zeller)
2:20.0,Boston full timeout,,32-52,,
2:20.0,,,32-52,,J. Terry enters the game for I. Canaan
2:08.0,,,32-52,,Personal foul by T. Ariza (drawn by A. Bradley)
1:59.0,A. Bradley makes 2-pt shot from 6 ft (assist by R. Rondo),2,34-52,,
1:33.0,,,34-55,3,T. Jones makes 3-pt shot from 26 ft (assist by D. Howard)
1:14.0,J. Green makes 2-pt shot from 4 ft,2,36-55,,
0:56.0,,,36-55,,T. Ariza misses 3-pt shot from 24 ft
0:55.0,Defensive rebound by A. Bradley,,36-55,,
0:43.0,A. Bradley makes 2-pt shot from 1 ft (assist by R. Rondo),2,38-55,,
0:27.0,,,38-55,,Shooting foul by A. Bradley (drawn by J. Harden)
0:27.0,,,38-56,1,J. Harden makes free throw 1 of 2
0:27.0,,,38-56,,K. Papanikolaou enters the game for T. Ariza
0:27.0,,,38-57,1,J. Harden makes free throw 2 of 2
0:02.0,J. Green misses 3-pt shot from 26 ft,,38-57,,
0:01.0,,,38-57,,Defensive rebound by T. Jones
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:36.0,A. Bradley misses 3-pt shot from 25 ft,,38-57,,
11:33.0,Offensive rebound by R. Rondo,,38-57,,
11:31.0,Turnover by R. Rondo (bad pass; steal by J. Harden),,38-57,,
11:13.0,,,38-60,3,I. Canaan makes 3-pt shot from 23 ft (assist by J. Harden)
10:58.0,Turnover by R. Rondo (bad pass),,38-60,,
10:44.0,,,38-60,,Turnover by J. Harden (bad pass; steal by J. Sullinger)
10:39.0,A. Bradley misses 3-pt shot from 23 ft,,38-60,,
10:37.0,,,38-60,,Defensive rebound by T. Jones
10:26.0,,,38-60,,T. Ariza misses 3-pt shot from 24 ft
10:25.0,Defensive rebound by J. Sullinger,,38-60,,
10:10.0,B. Bass makes 2-pt shot from 3 ft (assist by R. Rondo),2,40-60,,
9:41.0,,,40-60,,Turnover by T. Jones (lost ball; steal by R. Rondo)
9:41.0,,,40-60,,Personal foul by T. Jones (drawn by R. Rondo)
9:28.0,R. Rondo misses 3-pt shot from 25 ft,,40-60,,
9:27.0,,,40-60,,Defensive rebound by T. Ariza
9:21.0,,,40-60,,I. Canaan misses 2-pt shot from 1 ft (block by J. Sullinger)
9:18.0,Defensive rebound by J. Sullinger,,40-60,,
9:09.0,J. Green misses 3-pt shot from 25 ft,,40-60,,
9:08.0,Offensive rebound by Team,,40-60,,
9:08.0,,,40-60,,Loose ball foul by D. Howard (drawn by A. Bradley)
8:57.0,R. Rondo misses 2-pt shot from 3 ft (block by T. Jones),,40-60,,
8:55.0,,,40-60,,Defensive rebound by D. Howard
8:50.0,,,40-60,,J. Harden misses 2-pt shot from 2 ft
8:48.0,,,40-60,,Offensive rebound by I. Canaan
8:35.0,,,40-60,,T. Jones misses 3-pt shot from 24 ft
8:34.0,Defensive rebound by A. Bradley,,40-60,,
8:30.0,,,40-60,,Personal foul by T. Jones (drawn by J. Sullinger)
8:25.0,A. Bradley makes 2-pt shot from 19 ft (assist by J. Sullinger),2,42-60,,
8:24.0,,,42-60,,Houston full timeout
7:59.0,,,42-60,,J. Harden misses 3-pt shot from 24 ft
7:59.0,,,42-60,,Offensive rebound by Team
7:59.0,,,42-60,,Turnover by Team (shot clock)
7:47.0,J. Sullinger misses 2-pt shot from 7 ft,,42-60,,
7:46.0,Offensive rebound by J. Sullinger,,42-60,,
7:45.0,J. Sullinger makes 2-pt shot from 1 ft,2,44-60,,
7:31.0,,,44-60,,Shooting foul by B. Bass (drawn by D. Howard)
7:31.0,,,44-60,,D. Howard misses free throw 1 of 2
7:31.0,,,44-60,,Offensive rebound by Team
7:31.0,,,44-60,,D. Howard misses free throw 2 of 2
7:31.0,Defensive rebound by B. Bass,,44-60,,
7:16.0,J. Sullinger misses 2-pt shot from 8 ft,,44-60,,
7:15.0,Offensive rebound by J. Sullinger,,44-60,,
7:14.0,J. Sullinger makes 2-pt shot from 1 ft,2,46-60,,
7:14.0,Shooting foul by D. Howard (drawn by J. Sullinger),,46-60,,
7:14.0,J. Sullinger makes free throw 1 of 1,1,47-60,,
6:52.0,,,47-62,2,T. Ariza makes 2-pt shot from 2 ft (assist by I. Canaan)
6:40.0,A. Bradley misses 2-pt shot from 19 ft,,47-62,,
6:38.0,,,47-62,,Defensive rebound by D. Howard
6:32.0,,,47-62,,Shooting foul by R. Rondo (drawn by J. Harden)
6:32.0,,,47-63,1,J. Harden makes free throw 1 of 2
6:32.0,T. Zeller enters the game for B. Bass,,47-63,,
6:32.0,,,47-64,1,J. Harden makes free throw 2 of 2
6:18.0,,,47-64,,Personal foul by T. Jones (drawn by T. Zeller)
6:18.0,T. Zeller makes free throw 1 of 2,1,48-64,,
6:18.0,,,48-64,,D. Motiejunas enters the game for T. Jones
6:18.0,T. Zeller makes free throw 2 of 2,1,49-64,,
6:03.0,,,49-64,,D. Motiejunas misses 3-pt shot from 23 ft
6:02.0,Defensive rebound by J. Green,,49-64,,
5:51.0,J. Sullinger misses 3-pt shot from 26 ft,,49-64,,
5:51.0,,,49-64,,Defensive rebound by Team
5:51.0,Personal foul by T. Zeller (drawn by D. Motiejunas),,49-64,,
5:32.0,Personal foul by A. Bradley (drawn by J. Harden),,49-64,,
5:26.0,,,49-64,,Turnover by I. Canaan (bad pass; steal by R. Rondo)
5:22.0,R. Rondo makes 2-pt shot at rim,2,51-64,,
5:16.0,Personal foul by A. Bradley (drawn by I. Canaan),,51-64,,
5:16.0,,,51-64,,I. Canaan misses free throw 1 of 2
5:16.0,,,51-64,,Offensive rebound by Team
5:16.0,,,51-64,,I. Canaan misses free throw 2 of 2
5:16.0,Defensive rebound by J. Green,,51-64,,
5:08.0,A. Bradley misses 2-pt shot at rim,,51-64,,
5:07.0,Offensive rebound by J. Sullinger,,51-64,,
5:07.0,J. Sullinger makes 2-pt shot at rim,2,53-64,,
5:04.0,,,53-64,,Houston full timeout
5:04.0,,,53-64,,J. Terry enters the game for I. Canaan
5:04.0,,,53-64,,K. Papanikolaou enters the game for D. Howard
4:36.0,A. Bradley misses 2-pt shot from 2 ft,,53-64,,
4:35.0,,,53-64,,Defensive rebound by Team
4:35.0,Loose ball foul by A. Bradley (drawn by D. Motiejunas),,53-64,,
4:35.0,,,53-65,1,D. Motiejunas makes free throw 1 of 2
4:35.0,E. Turner enters the game for J. Sullinger,,53-65,,
4:35.0,M. Thornton enters the game for A. Bradley,,53-65,,
4:35.0,,,53-66,1,D. Motiejunas makes free throw 2 of 2
4:20.0,Turnover by R. Rondo (bad pass; steal by K. Papanikolaou),,53-66,,
4:14.0,,,53-69,3,J. Harden makes 3-pt shot from 25 ft (assist by K. Papanikolaou)
3:57.0,E. Turner misses 2-pt shot from 15 ft,,53-69,,
3:55.0,,,53-69,,Defensive rebound by J. Terry
3:49.0,,,53-69,,Shooting foul by T. Zeller (drawn by J. Harden)
3:49.0,,,53-70,1,J. Harden makes free throw 1 of 2
3:49.0,K. Olynyk enters the game for T. Zeller,,53-70,,
3:49.0,,,53-71,1,J. Harden makes free throw 2 of 2
3:38.0,J. Green misses 2-pt shot from 9 ft,,53-71,,
3:36.0,,,53-71,,Defensive rebound by T. Ariza
3:33.0,,,53-71,,Turnover by J. Harden (bad pass)
3:10.0,J. Green makes 2-pt shot from 20 ft (assist by R. Rondo),2,55-71,,
2:42.0,,,55-71,,K. Papanikolaou misses 3-pt shot from 25 ft
2:40.0,,,55-71,,Offensive rebound by T. Ariza
2:38.0,,,55-71,,Turnover by K. Papanikolaou (bad pass; steal by K. Olynyk)
2:30.0,R. Rondo misses 2-pt shot from 19 ft,,55-71,,
2:28.0,,,55-71,,Defensive rebound by T. Ariza
2:19.0,,,55-71,,J. Harden misses 2-pt shot at rim
2:18.0,,,55-71,,Offensive rebound by D. Motiejunas
2:18.0,,,55-73,2,D. Motiejunas makes 2-pt shot from 1 ft
2:01.0,J. Green misses 2-pt shot from 4 ft (block by J. Harden),,55-73,,
2:00.0,Offensive rebound by Team,,55-73,,
2:00.0,Boston full timeout,,55-73,,
2:00.0,M. Smart enters the game for R. Rondo,,55-73,,
2:00.0,,,55-73,,I. Canaan enters the game for T. Ariza
1:58.0,J. Green makes 2-pt shot from 9 ft (assist by E. Turner),2,57-73,,
1:32.0,,,57-76,3,K. Papanikolaou makes 3-pt shot from 23 ft (assist by J. Harden)
1:24.0,Turnover by M. Smart (lost ball; steal by J. Harden),,57-76,,
1:20.0,,,57-78,2,J. Harden makes 2-pt shot at rim
1:09.0,,,57-78,,Shooting block foul by J. Harden (drawn by J. Green)
1:09.0,J. Green makes free throw 1 of 2,1,58-78,,
1:09.0,J. Green makes free throw 2 of 2,1,59-78,,
0:53.0,B. Bass enters the game for J. Green,,59-78,,
0:46.0,,,59-78,,J. Harden misses 2-pt shot from 14 ft
0:46.0,,,59-78,,Offensive rebound by Team
0:46.0,Loose ball foul by K. Olynyk (drawn by D. Motiejunas),,59-78,,
0:46.0,,,59-78,,D. Motiejunas misses free throw 1 of 2
0:46.0,,,59-78,,Offensive rebound by Team
0:46.0,,,59-78,,D. Motiejunas misses free throw 2 of 2
0:46.0,Defensive rebound by K. Olynyk,,59-78,,
0:36.0,,,59-78,,Def 3 sec tech foul by D. Motiejunas
0:36.0,M. Thornton makes technical free throw,1,60-78,,
0:27.0,E. Turner misses 2-pt shot from 11 ft (block by J. Terry),,60-78,,
0:26.0,Offensive rebound by K. Olynyk,,60-78,,
0:25.0,Shooting foul by D. Motiejunas (drawn by K. Olynyk),,60-78,,
0:25.0,K. Olynyk makes free throw 1 of 2,1,61-78,,
0:25.0,K. Olynyk makes free throw 2 of 2,1,62-78,,
0:03.0,,,62-81,3,J. Harden makes 3-pt shot from 25 ft
0:00.0,M. Smart misses 3-pt shot from 53 ft,,62-81,,
0:00.0,Offensive rebound by Team,,62-81,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:49.0,,,62-81,,D. Howard misses 2-pt shot from 9 ft
11:47.0,Defensive rebound by R. Rondo,,62-81,,
11:35.0,B. Bass misses 3-pt shot from 23 ft,,62-81,,
11:34.0,Offensive rebound by J. Sullinger,,62-81,,
11:34.0,J. Sullinger misses 2-pt shot from 1 ft,,62-81,,
11:33.0,Offensive rebound by R. Rondo,,62-81,,
11:31.0,R. Rondo misses 2-pt shot from 2 ft (block by D. Howard),,62-81,,
11:30.0,Offensive rebound by R. Rondo,,62-81,,
11:26.0,,,62-81,,Personal foul by D. Howard (drawn by R. Rondo)
11:21.0,J. Sullinger misses 3-pt shot from 24 ft,,62-81,,
11:20.0,,,62-81,,Defensive rebound by I. Canaan
11:07.0,,,62-84,3,J. Terry makes 3-pt shot from 25 ft (assist by D. Howard)
10:49.0,M. Thornton makes 2-pt shot from 3 ft,2,64-84,,
10:37.0,,,64-84,,J. Terry misses 3-pt shot from 26 ft
10:35.0,Defensive rebound by B. Bass,,64-84,,
10:25.0,Shooting foul by D. Howard (drawn by J. Sullinger),,64-84,,
10:25.0,J. Sullinger misses free throw 1 of 2,,64-84,,
10:25.0,Offensive rebound by Team,,64-84,,
10:25.0,J. Sullinger makes free throw 2 of 2,1,65-84,,
10:17.0,Violation by E. Turner (kicked ball),,65-84,,
10:13.0,,,65-84,,Turnover by K. Papanikolaou (lost ball; steal by R. Rondo)
10:04.0,B. Bass misses 2-pt shot from 4 ft (block by D. Howard),,65-84,,
10:02.0,Offensive rebound by J. Sullinger,,65-84,,
10:00.0,J. Sullinger misses 2-pt shot from 6 ft,,65-84,,
9:58.0,,,65-84,,Defensive rebound by D. Howard
9:42.0,,,65-84,,T. Jones misses 2-pt shot from 6 ft (block by J. Sullinger)
9:40.0,Defensive rebound by E. Turner,,65-84,,
9:34.0,M. Thornton misses 2-pt shot from 2 ft,,65-84,,
9:33.0,Offensive rebound by J. Sullinger,,65-84,,
9:33.0,J. Sullinger makes 2-pt shot from 1 ft,2,67-84,,
9:13.0,,,67-84,,Shooting foul by J. Sullinger (drawn by D. Howard)
9:13.0,,,67-84,,D. Howard misses free throw 1 of 2
9:13.0,,,67-84,,Offensive rebound by Team
9:13.0,,,67-84,,T. Ariza enters the game for I. Canaan
9:13.0,,,67-84,,D. Howard misses free throw 2 of 2
9:13.0,Defensive rebound by R. Rondo,,67-84,,
9:06.0,E. Turner misses 2-pt shot at rim,,67-84,,
9:04.0,Offensive rebound by M. Thornton,,67-84,,
9:03.0,M. Thornton misses 2-pt shot from 1 ft,,67-84,,
9:00.0,,,67-84,,Defensive rebound by Team
8:38.0,,,67-86,2,T. Jones makes 2-pt shot from 2 ft (assist by D. Howard)
8:38.0,,,67-86,,Shooting foul by J. Sullinger (drawn by T. Jones)
8:38.0,,,67-86,,Houston full timeout
8:38.0,,,67-87,1,T. Jones makes free throw 1 of 1
8:22.0,M. Thornton makes 2-pt shot from 1 ft (assist by J. Sullinger),2,69-87,,
